"S0100-72032011001100001-scl","A mulher e o uso de álcool","Mendes, Maria Célia, Cunha, José Renato Ferreira da, Nogueira, Antônio Alberto","Revista Brasileira de Ginecologia e Obstetrícia; 33(11); 323-327","Revista Brasileira de Ginecologia e Obstetrícia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032011001100001&lang=pt" 
"S0188-49992011000400001-mex","Análisis de la concentración de fluoruro en agua potable de la delegación Tláhuac, Ciudad de México","GALICIA CHACÓN, Luis, MOLINA FRECHERO, Nelly, OROPEZA OROPEZA, Anastacio, GAONA, Enrique, JUÁREZ LÓPEZ, Lilia","Revista internacional de contaminación ambiental; 27(4); 283-289","Revista internacional de contaminación ambiental","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992011000400001&lang=pt" 
"S1665-24362011000300001-mex","Quince años y nuevos retos para Relime","Cantoral Uriza, Ricardo","Revista latinoamericana de investigación en matemática educativa; 14(3); 275-276","Revista latinoamericana de investigación en matemática educativa","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-24362011000300001&lang=pt" 
"S1665-24362011000300002-mex","Significados pretendidos y personales en un proceso de estudio con el límite funcional","Contreras de la Fuente, Ángel, García Armenteros, Manuel","Revista latinoamericana de investigación en matemática educativa; 14(3); 277-310","Revista latinoamericana de investigación en matemática educativa","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-24362011000300002&lang=pt" 
"S1665-24362011000300003-mex","O ensino de aritmética na escola nova: contribuições de dois escritos autobiográficos para a história da educação matemática (Minas Gerais, Brasil, primeiras décadas do século xx)","Magalhães Gomes, Maria Laura","Revista latinoamericana de investigación en matemática educativa; 14(3); 311-334","Revista latinoamericana de investigación en matemática educativa","Português","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-24362011000300003&lang=pt" 
"S1665-24362011000300004-mex","O potencial das atividades centradas em produções de alunos na formação de professores de matemática","Oliveira, Ana Teresa de, Rocque Palis, Gilda de la","Revista latinoamericana de investigación en matemática educativa; 14(3); 335-359","Revista latinoamericana de investigación en matemática educativa","Português","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-24362011000300004&lang=pt" 
"S1665-24362011000300005-mex","Análisis del funcionamiento de una clase de matemáticas no significativa","Pochulu, Marcel, Font, Vicenç","Revista latinoamericana de investigación en matemática educativa; 14(3); 361-394","Revista latinoamericana de investigación en matemática educativa","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-24362011000300005&lang=pt" 
"S0120-53072011000300020-col","El rigor científico en la investigación cualitativa","Arias Valencia, María Mercedes, Giraldo Mora, Clara Victoria","Investigación y Educación en Enfermería; 29(3); 500-514","Investigación y Educación en Enfermería","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300020&lang=pt" 
"S0120-53072011000300008-col","Géneros discursivos y errores más frecuentes en los informes académicos de estudiantes de enfermería","Arechabala Mantuliz, María Cecilia, Catoni Salamanca, María Isabel, Ávila Reyes, Natalia Alejandra, Riquelme Hernández, Giselle France, Aedo Carreño, Vivian","Investigación y Educación en Enfermería; 29(3); 400-406","Investigación y Educación en Enfermería","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300008&lang=pt" 
"S0120-53072011000300009-col","Significado da morte e de morrer para os alunos de enfermagem","Soares Cantídio, Farley, Vieira, Maria Aparecida, de Sena, Roseni Rosângela","Investigación y Educación en Enfermería; 29(3); 407-418","Investigación y Educación en Enfermería","Português","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300009&lang=pt" 
"S0120-53072011000300004-col","Miedo e inseguridad de la gestante durante el trabajo de parto como motivos para la demanda de internación precoz","Peron Giaxa, Thais Erika, da Silva Marques Ferreira, Maria de Lourdes","Investigación y Educación en Enfermería; 29(3); 363-369","Investigación y Educación en Enfermería","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300004&lang=pt" 
"S0120-53072011000300005-col","Lectura de cuentos infantiles como estrategia de humanización en el cuidado del niño encamado en ambiente hospitalario","Soares Albano, Maíra Aparecida, Correa, Ione","Investigación y Educación en Enfermería; 29(3); 370-380","Investigación y Educación en Enfermería","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300005&lang=pt" 
"S0120-53072011000300006-col","Educação em saúde: Relatos das vivências de enfermeiros com a Estratégia da Saúde Familiar","Roecker, Simone, Silva Marcon, Sonia","Investigación y Educación en Enfermería; 29(3); 381-390","Investigación y Educación en Enfermería","Português","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300006&lang=pt" 
"S0120-53072011000300007-col","Percepção da equipe de enfermagem no acompanhamento do processo de trabalho no Programa Saúde da Família","Silveira Cardoso, Leticia, Cezar-Vaz, Marta Regina, Zavarese da Costa, Valdecir, de Souza Soares, Jorgana Fernanda, Santos da Silva, Mara Regina","Investigación y Educación en Enfermería; 29(3); 391-399","Investigación y Educación en Enfermería","Português","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300007&lang=pt" 
"S0120-53072011000300001-col","Nuestra revista tiene un especial afecto por la investigación cualitativa","Rodríguez Gázquez, María de los Ángeles","Investigación y Educación en Enfermería; 29(3); 341-342","Investigación y Educación en Enfermería","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300001&lang=pt" 
"S0120-53072011000300002-col","Rechazo de los pacientes del cuidado enfermero","Beltrán Salazar, Óscar Alberto","Investigación y Educación en Enfermería; 29(3); 343-352","Investigación y Educación en Enfermería","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300002&lang=pt" 
"S0120-53072011000300003-col","Narrativas de travestis sobre su vivencia con el VIH/Sida","Lafaurie Villamil, María Mercedes, Forero Rozo, Ana Elizabeth, Miranda Jiménez, Rafael José","Investigación y Educación en Enfermería; 29(3); 353-362","Investigación y Educación en Enfermería","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300003&lang=pt" 
"S0120-53072011000300010-col","La experiencia de sufrir una insuficiencia cardiaca crónica: Un padecimiento que acerca a la muerte","Zapata Gómez, Nora Eugenia","Investigación y Educación en Enfermería; 29(3); 419-426","Investigación y Educación en Enfermería","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072011000300010&lang=pt" 
"S0104-44782011000400002-scl","Apresentação","Cepik, Marco","Revista de Sociologia e Política; 19(); 7-8","Revista de Sociologia e Política","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782011000400002&lang=pt" 
"S0104-44782011000400001-scl","Editorial","Lacerda, Gustavo Biscaia de","Revista de Sociologia e Política; 19(); 5-5","Revista de Sociologia e Política","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782011000400001&lang=pt" 
"S0104-44782011000400004-scl","O que esperar das relações Brasil-China?","Becard, Danielly Silva Ramos","Revista de Sociologia e Política; 19(); 31-44","Revista de Sociologia e Política","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782011000400004&lang=pt" 
"S0104-44782011000400009-scl","A novíssima China e o Sistema Internacional","Visentini, Paulo G. Fagundes","Revista de Sociologia e Política; 19(); 131-141","Revista de Sociologia e Política","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782011000400009&lang=pt" 
"S0104-44782011000400003-scl","A China e o Brasil na Nova Ordem Internacional","Cunha, André Moreira","Revista de Sociologia e Política; 19(); 9-29","Revista de Sociologia e Política","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782011000400003&lang=pt" 
"S0104-44782011000400005-scl","A economia continental chinesa e seu efeito gravitacional","Pautasso, Diego","Revista de Sociologia e Política; 19(); 45-56","Revista de Sociologia e Política","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782011000400005&lang=pt" 
"S0104-44782011000400006-scl","A China na América do Sul e as implicações geopolíticas do Consenso do Pacífico","Vadell, Javier","Revista de Sociologia e Política; 19(); 57-79","Revista de Sociologia e Política","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782011000400006&lang=pt" 
"S0104-44782011000400007-scl","A política da cooperação espacial chinesa: contexto estratégico e alcance internacional","Cepik, Marco","Revista de Sociologia e Política; 19(); 81-104","Revista de Sociologia e Política","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782011000400007&lang=pt" 
"S0104-44782011000400008-scl","As relações entre China e América Latina: impactos de curta ou longa duração?","Ferchen, Matt","Revista de Sociologia e Política; 19(); 105-130","Revista de Sociologia e Política","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782011000400008&lang=pt" 
"S1130-01082011001100009-esp","Wernicke&#039;s encephalopathy after cephalic pancreaticoduodenectomy","Onieva-González, Francisco Gabriel, Blanco-Fernández, Gerardo, Munuera-Romero, Luis, Márquez-Rojas, Jesús, Robles-Marcos, Manuel, Solórzano-Peck, Guillermo","Revista Española de Enfermedades Digestivas; 103(11); 594-596","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011001100009&lang=pt" 
"S1130-01082011001100013-esp","Colocolonic intussusception secondary to high grade colonic leiomysarcoma","Bellver, Manuel, Rodríguez Lago, Iago, Queipo, Francisco, Pastor, Carlos, Arredondo, Jorge, Hernández-Lizoaín, José Luis","Revista Española de Enfermedades Digestivas; 103(11); 602-603","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011001100013&lang=pt" 
"S1130-01082011001100011-esp","Not only aondyloma acuminata of the anal canal: a rare case with coexisting adenocarcinoma","Lin, Chin-Ta, Lee, Ying-Yu, Chen, Chao-Yang, Wu, Chang-Chieh, Jin, Jong-Shiaw, Jao, Shu-Wen","Revista Española de Enfermedades Digestivas; 103(11); 598-599","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011001100011&lang=pt" 
"S1130-01082011001100004-esp","Argon plasma coagulation and hyperbaric oxygen therapy in chronic radiation proctopathy, effectiveness and impact on tissue toxicity","Álvaro-Villegas, Julio César, Sobrino-Cossio, Sergio, Tenorio-Téllez, Luisa Catalina, Mora-Levy, José Guillermo de la, Hernández-Guerrero, Angélica, Alonso-Lárraga, Juan Octavio, Vela-Chávez, Teresa","Revista Española de Enfermedades Digestivas; 103(11); 576-581","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011001100004&lang=pt" 
"S1130-01082011001100002-esp","Malondialdehyde in early phase of acute pancreatitis","Hernández, Vicent, Miranda, María, Pascual, Isabel, Sánchiz, Vicente, Almela, Pedro, Añón, Ramón, Cuadrado, Esperanza, Sanz, María Isabel, Mínguez, Miguel, Mora, Francisco, Romero, Francisco Javier, Benages, Adolfo","Revista Española de Enfermedades Digestivas; 103(11); 563-569","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011001100002&lang=pt" 
"S1130-01082011001100001-esp","Oxidative stress and acute pancreatitis","López Martín, Aurelio, Carrillo Alcaraz, Andrés","Revista Española de Enfermedades Digestivas; 103(11); 559-562","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011001100001&lang=pt" 
"S1130-01082011001100014-esp","Endoscopic ultrasound guided fistulization between left intrahepatic duct and jejunum in a patient with Roux-en-Y anastomosis and jaundice","Artifon, Everson L.A., Vila, Juan J., Aparicio, Dayse, Paione, José L.B.","Revista Española de Enfermedades Digestivas; 103(11); 604-605","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011001100014&lang=pt" 
"S1130-01082011001100010-esp","Hepatitis aguda alcohólica","Parés, Albert","Revista Española de Enfermedades Digestivas; 103(11); 597-597","Revista Española de Enfermedades Digestivas","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011001100010&lang=pt" 
"S1130-01082011001100007-esp","Nodular colonic lesion in a nephrectomized patient","Fernández-Salazar, Luis Ignacio, Soto de Prado-Otero, Diego, Velayos-Jiménez, Benito, González-Hernández, José Manuel","Revista Española de Enfermedades Digestivas; 103(11); 591-591","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011001100007&lang=pt" 
"S1130-01082011001100012-esp","Refractory ulcerative chronic pouchitis in a patient with Gardner syndrome following restorative proctocolectomy with ileal pouch-anal anastomosis","Sebastián-Domingo, Juan J., Charro-Calvillo, Mara, Navarro-Dourdil, Mónica, Cabrera-Chaves, Tomás, Ceña-Lázaro, Gloria, Ortíz-Lucas, María","Revista Española de Enfermedades Digestivas; 103(11); 600-601","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011001100012&lang=pt" 
"S1130-01082011001100006-esp","New clinical and toxicological scenario of gammaglutamyltranspeptidase","Bataller-Sifre, Ramón, Guiral-Olivan, Victoria, Bataller-Alberola, Luis","Revista Española de Enfermedades Digestivas; 103(11); 586-590","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011001100006&lang=pt" 
"S1130-01082011001100008-esp","Ascaris lumbricoides as etiologic factor for pancreas inflammatory tumor","Casado-Maestre, María Dolores, Álamo-Martínez, José María, Segura-Sampedro, Juan José, Durán-Izquierdo, Elena, Marín-Gómez, Luis Miguel, Bernal-Bellido, Carmen, Suárez-Artacho, Gonzalo, Serrano-Díez-Canedo, Juan, Gómez-Bravo, Miguel Ángel, Padillo-Ruiz, Francisco Javier","Revista Española de Enfermedades Digestivas; 103(11); 592-593","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011001100008&lang=pt" 
"S1130-01082011001100016-esp","Porto-mesenteric thrombosis of congenital origin: an infrequent cause of acute abdomen","Díaz-Roca, Ana Belén, Martínez-Garbaye, Silvia, Baranda-Martín, Amaia, Blanco-Sampascual, Sonia, Calderón-García, Ángel, Ruiz-Eguiluz, Pablo, Menéndez-Blazquez, Fernando, Orive-Cura, Victor","Revista Española de Enfermedades Digestivas; 103(11); 608-609","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011001100016&lang=pt" 
"S1130-01082011001100015-esp","Rectal bleeding in a young woman","Carrión-García, Fuensanta, Maté-Ambelez, Ana, Morán-Sánchez, Senador, Ramos-Alcalá, Aida, López-Peña, Carmen","Revista Española de Enfermedades Digestivas; 103(11); 606-607","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011001100015&lang=pt" 
"S0071-17132011000200008-chl","Poética &quot;neoarábigoandalusa&quot; en el escritor chileno Sergio Macías","Samamé B, María Olga","Estudios filológicos; (48); 103-118","Estudios filológicos","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132011000200008&lang=pt" 
"S0071-17132011000200009-chl","La ambivalente representación del roto en la poesía popular chilena","Tala Ruiz, Pamela","Estudios filológicos; (48); 119-132","Estudios filológicos","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132011000200009&lang=pt" 
"S0071-17132011000200010-chl","Contextos. Revista Crítica de Literatura. Año 1. N°1. 2010","Rodríguez M, Claudia","Estudios filológicos; (48); 133-135","Estudios filológicos","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132011000200010&lang=pt" 
"S0071-17132011000200011-chl","NÉSTOR GARCÍA CANCLINI. 2010. La Sociedad Sin Relato. Antropología y Estética de la Inminencia","Palencia Triana, César","Estudios filológicos; (48); 135-137","Estudios filológicos","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132011000200011&lang=pt" 
"S0071-17132011000200012-chl","MAGDALENA CHOCANO, WILLIAM ROWE, HELENA USANDIZAGA. 2011. Huellas del mito prehispánico en la literatura latinoamericana","Sancho, Noemí","Estudios filológicos; (48); 137-138","Estudios filológicos","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132011000200012&lang=pt" 
"S0071-17132011000200013-chl","UMBERTO ECO. 2009. Cultura y semiótica","Tesche, Paula","Estudios filológicos; (48); 138-140","Estudios filológicos","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132011000200013&lang=pt" 
"S0071-17132011000200014-chl","BARRAZA. 2010. (In) Subordinadas. Raza, clase y filiación en la narrativa de mujeres latinoamericanas","Traverso, Ana","Estudios filológicos; (48); 140-142","Estudios filológicos","Espanhol","2011","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0071-17132011000200014&lang=pt" 
"S0872-81782011000600001-prt","A Gastrostomia Endoscópica na Nutrição Entérica da Criança","Pereira, Fernando","Jornal Português de Gastrenterologia; 18(6); 268-269","Jornal Português de Gastrenterologia","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-81782011000600001&lang=pt" 
"S0872-81782011000600002-prt","Cálculos de Grandes Dimensões na Via Biliar Principal: Alternativas Terapêuticas","Marques, António","Jornal Português de Gastrenterologia; 18(6); 272-272","Jornal Português de Gastrenterologia","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-81782011000600002&lang=pt" 
"S0872-81782011000600003-prt","Nutrição Entérica por Gastrostomia Endoscópica em Doentes com Idade Pediátrica: Avaliação Retrospectiva em 40 Doentes Consecutivos","Carido, Joana, Santos, Carla, Ferreira, Maria Gomes, Fonseca, Jorge","Jornal Português de Gastrenterologia; 18(6); 273-278","Jornal Português de Gastrenterologia","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-81782011000600003&lang=pt" 
"S0872-81782011000600004-prt","Dilatação Papilar com Balão de Grande Diâmetro Precedida de Esfincterotomia para Remoção de Cálculos da Via Biliar Principal: Casuística de Um Ano","Rego, Ana Catarina, Nunes, Nuno, Pereira, José Renato, Paz, Nuno, Duarte, Maria Antónia","Jornal Português de Gastrenterologia; 18(6); 279-284","Jornal Português de Gastrenterologia","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-81782011000600004&lang=pt" 
"S0872-81782011000600005-prt","Lesões Precursoras de Cancro do Fígado","Velosa, José","Jornal Português de Gastrenterologia; 18(6); 285-297","Jornal Português de Gastrenterologia","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-81782011000600005&lang=pt" 
"S0872-81782011000600006-prt","Diarreia Intratável: Doença de Inclusão das Microvilosidades num Recém-Nascido","Valente, Isabel, Lima, Rosa, Carvalho, Carmen, Ferreira, Helena, Marcelino, Fernanda, Mota, Céu, Ramos, Ana, Duarte, Carlos, Carneiro, Fátima, Pereira, Fernando, Rocha, Herculano","Jornal Português de Gastrenterologia; 18(6); 298-302","Jornal Português de Gastrenterologia","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-81782011000600006&lang=pt" 
"S0872-81782011000600007-prt","Enteroscopia Intra-Operatória e Hemorragia Enteral: A Indicação Mantém-se","Figueiredo, Pedro, Duarte, Alexandre, Duarte, Patrícia, Oliva, André, Gregório, Carlos, Gouveia, Hermano, Leitão, Maximino","Jornal Português de Gastrenterologia; 18(6); 303-305","Jornal Português de Gastrenterologia","Português","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-81782011000600007&lang=pt" 
"S0872-19042011000600001-prt","Corrosion Inhibition of Carbon Steel by Imidazolium and Pyridinium Cations Ionic Liquids in Acidic Environment","Ibrahim, Magdy A.M., Messali, Mouslim, Moussa, Ziad, Alzahrani, Abdullah Y., Alamry, Saleh N., Hammouti, Belkheir","Portugaliae Electrochimica Acta; 29(6); 375-389","Portugaliae Electrochimica Acta","Inglês","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042011000600001&lang=pt" 
"S0872-19042011000600002-prt","Inhibition of Mild Steel Corrosion Using L-tryptophan and Synergistic Surfactant Additives","Mobin, M., Parveen, Mosarrat, Khan, M. Alam","Portugaliae Electrochimica Acta; 29(6); 391-403","Portugaliae Electrochimica Acta","Inglês","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042011000600002&lang=pt" 
"S0872-19042011000600003-prt","Musa Paradisiaca Extract as a Green Inhibitor for Corrosion of Mild Steel in 0.5 M Sulphuric Acid Solution","Mayanglambam, Ramananda S., Sharma, Vivek, Singh, Gurmeet","Portugaliae Electrochimica Acta; 29(6); 405-417","Portugaliae Electrochimica Acta","Inglês","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042011000600003&lang=pt" 
"S0872-19042011000600004-prt","Corrosion Inhibitive Effect of Ocimum Gratissimum Extract on Zinc - Aluminium Alloy in Hydrochloric Acid","Nkiko, Mojisola O., Bamgbose, Janet T.","Portugaliae Electrochimica Acta; 29(6); 419-427","Portugaliae Electrochimica Acta","Inglês","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042011000600004&lang=pt" 
"S0872-19042011000600005-prt","Corrosion Inhibition by an Aqueous Extract of Phyllanthus Amarus","Sangeetha, M., Rajendran, S., Sathiyabama, J., Krishnaveni, A., Shanthy, P., Manimaran, N., Shyamaladevi, B.","Portugaliae Electrochimica Acta; 29(6); 429-444","Portugaliae Electrochimica Acta","Inglês","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042011000600005&lang=pt" 
"S0872-19042011000600006-prt","3-Ethyl-4-amino-5-mercapto-1,2,4-triazole as Corrosion Inhibitor for 6061-Alloy in Sodium Hydroxide Solution","Kumari, P.D. Reena, Nayak, Jagannath, Shetty, A. Nityananda","Portugaliae Electrochimica Acta; 29(6); 445-462","Portugaliae Electrochimica Acta","Inglês","2011","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042011000600006&lang=pt" 
"S0100-879X2011001100002-scl","STIM1/Orai1-mediated store-operated Ca2+ entry: the tip of the iceberg","Giachini, F.R., Lima, V.V., Hannan, J.L., Carneiro, F.S., Webb, R.C., Tostes, R.C.","Brazilian Journal of Medical and Biological Research; 44(11); 1080-1087","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001100002&lang=pt" 
"S0100-879X2011001100006-scl","Polymorphism of the aryl-hydrocarbon receptor gene in intron 10 of human cancers","Rocas, M., Jakubauskiene, E., Kanopka, A.","Brazilian Journal of Medical and Biological Research; 44(11); 1112-1117","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001100006&lang=pt" 
"S0100-879X2011001100001-scl","Functional and morphological effects of resistance exercise on disuse-induced skeletal muscle atrophy","Nicastro, H., Zanchi, N.E., da Luz, C.R., Lancha Jr., A.H.","Brazilian Journal of Medical and Biological Research; 44(11); 1070-1079","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001100001&lang=pt" 
"S0100-879X2011001100003-scl","TRP channels, omega-3 fatty acids, and oxidative stress in neurodegeneration: from the cell membrane to intracellular cross-links","Leonelli, M., Graciano, M.F.R., Britto, L.R.G.","Brazilian Journal of Medical and Biological Research; 44(11); 1088-1096","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001100003&lang=pt" 
"S0100-879X2011001100015-scl","Antiretroviral therapy-associated dyslipidemia in patients from a reference center in Brazil","Ceccato, M.G.B., Bonolo, P.F., Souza Neto, A.I., Araújo, F.S., Freitas, M.I.F.","Brazilian Journal of Medical and Biological Research; 44(11); 1177-1183","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001100015&lang=pt" 
"S0100-879X2011001100014-scl","Identification of sarcopenic obesity in postmenopausal women: a cutoff proposal","Oliveira, R.J., Bottaro, M., Júnior, J.T., Farinatti, P.T.V., Bezerra, L.A., Lima, R.M.","Brazilian Journal of Medical and Biological Research; 44(11); 1171-1176","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001100014&lang=pt" 
"S0103-50532011001100014-scl","Action of successive heat treatments in bovine milk fatty acids","Costa, Edvaldo N., Lacerda, Ellen C. Q., Santos, Suian M. S., Santos, Carilan M. S., Franco, Marcelo, Silva, Robério R., Simionato, Julliana I.","Journal of the Brazilian Chemical Society; 22(11); 2115-2120","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100014&lang=pt" 
"S0103-50532011001100001-scl","Algae biodiesel: a promise or the future?","Suarez, Paulo A. Z., Pinto, Angelo C.","Journal of the Brazilian Chemical Society; 22(11); 2023-2026","Journal of the Brazilian Chemical Society","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100001&lang=pt" 
"S0103-50532011001100025-scl","Alum-catalyzed one-pot synthesis of dihydropyrano[3,2-b]chromenediones","Li, Wei Lin, Wu, Li Qiang, Yan, Fu Lin","Journal of the Brazilian Chemical Society; 22(11); 2202-2205","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100025&lang=pt" 
"S0103-50532011001100023-scl","DBU as a catalyst for the synthesis of amides via aminolysis of methyl esters","Lima, Evanoel Crizanto de, Souza, Carolina C. de, Soares, Renato de O., Vaz, Boniek Gontijo, Eberlin, Marcos N., Dias, Ayres G., Costa, Paulo R. R.","Journal of the Brazilian Chemical Society; 22(11); 2186-2190","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100023&lang=pt" 
"S0103-50532011001100027-scl","Alkaloid and other chemical constituents from Psychotria stachyoides Benth.","Pimenta, Antonia T. A., Uchôa, Daniel E. A., Braz-Filho, Raimundo, Silveira, Edilberto R., Lima, Mary Anne S.","Journal of the Brazilian Chemical Society; 22(11); 2216-2219","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100027&lang=pt" 
"S0103-50532011001100003-scl","Microwave-assisted synthesis of indole-2-carboxylic acid esters in ionic liquid","Gu, Lijun, Li, Xiangguang","Journal of the Brazilian Chemical Society; 22(11); 2036-2039","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011001100003&lang=pt" 
