"S0103-90162008000400006-scl","Temperature and modified atmosphere affect the quality of okra","Finger, Fernando Luiz, Della-Justina, Maria Edith, Casali, Vicente Wagner Dias, Puiatti, Mário","Scientia Agricola; 65(4); 360-364","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000400006&lang=pt" 
"S0102-79722008000300008-scl","Crenças e práticas de mães sobre o desenvolvimento infantil nos contextos rural e urbano","Kobarg, Ana Paula Ribeiro, Vieira, Mauro Luis","Psicologia: Reflexão e Crítica; 21(3); 401-408","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300008&lang=pt" 
"S0102-79722008000300011-scl","Avaliação dos efeitos de uma modalidade de treinamento de habilidades sociais para crianças","Gonçalves, Elaine Sabino, Murta, Sheila Giardini","Psicologia: Reflexão e Crítica; 21(3); 430-436","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300011&lang=pt" 
"S0102-79722008000300013-scl","Exploração sexual de crianças e adolescentes: uma análise comparativa entre caminhoneiros clientes e não-clientes do comércio sexual","Cerqueira-Santos, Elder, Morais, Normanda A., Moura, Andreína S., Koller, Silvia Helena","Psicologia: Reflexão e Crítica; 21(3); 446-454","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300013&lang=pt" 
"S0102-79722008000300014-scl","Entre o aborto e a pesquisa: o embrião na imprensa Brasileira","Aléssio, Renata Lira dos Santos, Apostolidis, Thémis, Santos, Maria de Fátima de Souza","Psicologia: Reflexão e Crítica; 21(3); 455-463","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300014&lang=pt" 
"S0102-79722008000300015-scl","Escala de bem-estar afetivo no trabalho (Jaws): evidências de validade fatorial e consistência interna","Gouveia, Valdiney Veloso, Fonsêca, Patrícia Nunes da, Lins, Samuel Lincoln Bezerra, Lima, Aline Vieira de, Gouveia, Rildésia S. V.","Psicologia: Reflexão e Crítica; 21(3); 464-473","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300015&lang=pt" 
"S0102-79722008000300016-scl","Funcionamento diferencial de itens para avaliar a agressividade de universitários","Sisto, Fermino Fernandes, Bartholomeu, Daniel, Santos, Acácia Aparecida Angeli dos, Rueda, Fabián Javier Marín, Suehiro, Adriana Cristina Boulhoça","Psicologia: Reflexão e Crítica; 21(3); 474-481","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300016&lang=pt" 
"S0102-79722008000300020-scl","Descrição do comportamento de superfície do boto cinza, Sotalia guianensis, na Praia de Pipa - RN","Nascimento, Lídio França do, Medeiros, Priscila Izabel A. P., Yamamoto, Maria Emilia","Psicologia: Reflexão e Crítica; 21(3); 509-517","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300020&lang=pt" 
"S0102-79722008000300022-scl","Piaget e as teorias da evolução orgânica","Almeida, Argus Vasconcelos de, Falcão, Jorge Tarcísio da Rocha","Psicologia: Reflexão e Crítica; 21(3); 525-532","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300022&lang=pt" 
"S0085-56262008000400006-scl","Espécies novas de Anthrenoides Ducke (Hymenoptera, Apidae, Andreninae) do Rio Grande do Sul e notas descritivas","Urban, Danúncia","Revista Brasileira de Entomologia; 52(4); 575-587","Revista Brasileira de Entomologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262008000400006&lang=pt" 
"S0085-56262008000400009-scl","Catalogue of type specimens of invertebrates in the collection of the Instituto Nacional de Pesquisas da Amazônia, Manaus, Brazil. II. Hexapoda: Collembola, Diplura, Archaeognatha, Ephemeroptera and Blattaria","Ribeiro, José Moacir Ferreira, Magalhães, Célio, Rafael, José Albertino, Henriques, Augusto Loureiro","Revista Brasileira de Entomologia; 52(4); 595-598","Revista Brasileira de Entomologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262008000400009&lang=pt" 
"S0085-56262008000400011-scl","Sarcophagidae (Insecta, Diptera) associados à decomposição de carcaças de Sus scrofa Linnaeus (Suidae) em área de Cerrado do Distrito Federal, Brasil","Barros, Rodrigo Meneses de, Mello-Patiu, Cátia Antunes de, Pujol-Luz, José Roberto","Revista Brasileira de Entomologia; 52(4); 606-609","Revista Brasileira de Entomologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262008000400011&lang=pt" 
"S0085-56262008000400016-scl","Insects of forensic importance from Rio Grande do Sul state in southern Brazil","Souza, Alex Sandro Barros de, Kirst, Frederico Dutra, Krüger, Rodrigo Ferreira","Revista Brasileira de Entomologia; 52(4); 641-646","Revista Brasileira de Entomologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262008000400016&lang=pt" 
"S0085-56262008000400017-scl","Three new cecidogenous Palaeomystella Fletcher (Lepidoptera, Coleophoridae, Momphinae) associated with Melastomataceae in Brazil","Becker, Vitor O., Adamski, David","Revista Brasileira de Entomologia; 52(4); 647-657","Revista Brasileira de Entomologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262008000400017&lang=pt" 
"S0085-56262008000400018-scl","Vector competence of Culex quinquefasciatus Say, 1823 exposed to different densities of microfilariae of Dirofilaria immitis (Leidy, 1856)","Carvalho, Gílcia Aparecida de, Alves, Leucio Câmara, Maia, Rafael Trindade, Andrade, Carlos Fernando Salgueirosa de, Ramos, Rafael Antonio do Nascimento, Faustino, Maria Aparecida da Glória","Revista Brasileira de Entomologia; 52(4); 658-662","Revista Brasileira de Entomologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262008000400018&lang=pt" 
"S0102-79722008000300003-scl","Explorações acerca da construção de significados na brincadeira infantil","Correia, Mônica F. B., Meira, Luciano R. L.","Psicologia: Reflexão e Crítica; 21(3); 356-364","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300003&lang=pt" 
"S0102-79722008000300010-scl","Desempenho de pessoas com autismo em tarefas de emparelhamento com o modelo por identidade: efeitos da organização dos estímulos","Gomes, Camila Graciella Santos, Souza, Deisy das Graças de","Psicologia: Reflexão e Crítica; 21(3); 418-429","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300010&lang=pt" 
"S0102-79722008000300007-scl","Contribuições da psicologia Brasileira para o estudo da surdez","Bisol, Cláudia A., Simioni, Janaína, Sperb, Tânia","Psicologia: Reflexão e Crítica; 21(3); 392-400","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300007&lang=pt" 
"S0085-56262008000400013-scl","Drosophilids (Diptera) from an Atlantic Forest Area in Santa Catarina, Southern Brazil","Döge, Jonas S., Valente, Vera L. S., Hofmann, Paulo R. P.","Revista Brasileira de Entomologia; 52(4); 615-624","Revista Brasileira de Entomologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262008000400013&lang=pt" 
"S0717-93082008000200001-chl","NUESTRA REVISTA EN LA EVOLUCIÓN DE LA TRANSMISIÓN Y ARCHIVO DEL CONOCIMIENTO MEDICO","Moënne B, Karla","Revista chilena de radiología; 14(2); 55-55","Revista chilena de radiología","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-93082008000200001&lang=pt" 
"S0717-93082008000200002-chl","DOLOR COLICO Y DISTENSION ABDOMINAL","Avaria, Pablo, O&#039;Brien, Andrés","Revista chilena de radiología; 14(2); 99-101","Revista chilena de radiología","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-93082008000200002&lang=pt" 
"S0717-93082008000200003-chl","OBTENCIÓN DE COORDENADAS TALAIRACH A PARTIR DE MAPAS CORTICALES DE AREA VISUAL CON RESONANCIA MAGNÉTICA FUNCIONAL","Rojas C, Gonzalo, Cordovez M, Jorge, Gálvez M, Marcelo, Asahi K, Takeshi, Bravo C, Eduardo","Revista chilena de radiología; 14(2); 57-61","Revista chilena de radiología","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-93082008000200003&lang=pt" 
"S0717-93082008000200004-chl","ESTUDIO RADIOLÓGICO SIMPLE EN EL DIAGNOSTICO DEL TUMOR DE CÉLULAS GIGANTES EN POBLACIÓN PEDIÁTRICA: CORRELACIÓN ANATOMORADIOLOGICA","Llanos C, Jorge, García B, Cristián, Oyanedel Q, Roberto, Villanueva A, Eduardo, Otero 0, Johana, Fortune H, J, Contreras 0, Oscar, Solar G, Antonieta","Revista chilena de radiología; 14(2); 62-67","Revista chilena de radiología","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-93082008000200004&lang=pt" 
"S0717-93082008000200005-chl","NEUMATOSIS INTESTINAL Y ALERGIA A LA PROTEINA DE LA LECHE DE VACA","Pose L, Georgette, Arancibia S, María Eugenia, Soto G, Gloria, Espinoza G, Aníbal, Fuentealba T, Isabel, Reginensi R, Carmen G","Revista chilena de radiología; 14(2); 68-72","Revista chilena de radiología","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-93082008000200005&lang=pt" 
"S0717-93082008000200006-chl","ANGIOTOMOGRAFIA COMPUTADA EN PEDIATRIA: EXPERIENCIA EN UN HOSPITAL PEDIÁTRICO","Merchak A, Adriana","Revista chilena de radiología; 14(2); 73-79","Revista chilena de radiología","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-93082008000200006&lang=pt" 
"S0717-93082008000200007-chl","REPERCUSIÓN DE UN SISTEMA DE RECONOCIMIENTO DEL HABLA INTEGRADO EN UN PACS/RIS CON RESPECTO AL TIEMPO INVERTIDO EN ELABORAR Y PONER A DISPOSICIÓN LOS INFORMES RADIOLÓGICOS","Trumm, C. G, Glaser, C, Paasche, V, Crispin, A, Popp, P, Küttner, B, Francke, M, Nissen-Meyer, S, Reiser, M","Revista chilena de radiología; 14(2); 83-93","Revista chilena de radiología","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-93082008000200007&lang=pt" 
"S0717-93082008000200008-chl","ESTUDIO DE LAS COMPETENCIAS DE LIDERAZGO","Castro S, Marcelo, Rinaldi C, Stefano, Selaive R, Reinaldo","Revista chilena de radiología; 14(2); 94-98","Revista chilena de radiología","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-93082008000200008&lang=pt" 
"S0717-93082008000200009-chl","ACREDITACIÓN Y CERTIFICACIÓN DE LA MEDICINA DE POST-TITULO EN CHILE: ESTADO ACTUAL","Heerlein, Andrés","Revista chilena de radiología; 14(2); 105-106","Revista chilena de radiología","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-93082008000200009&lang=pt" 
"S0717-93082008000200010-chl","CALCINOSIS TUMORAL EN PEDIATRÍA: REPORTE DE UN CASO CLÍNICO Y REVISIÓN DE LA LITERATURA","Espinoza G, Aníbal, Céspedes V, María José, Kakarieka, Elena","Revista chilena de radiología; 14(2); E1-E5","Revista chilena de radiología","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-93082008000200010&lang=pt" 
"S0717-93082008000200011-chl","HAMARTOMA HIPOTALAMICO ASOCIADO A DOS QUISTES ARACNOIDEOS: A PROPOSITO DE UN CASO","Martín H, Diana, Prieto M, Pablo, Paniagua E, Juan Carlos, Benito D, Joaquin, Prieto V, Jesús","Revista chilena de radiología; 14(2); E6-E8","Revista chilena de radiología","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-93082008000200011&lang=pt" 
"S0717-93082008000200012-chl","MÚSCULO SOLEO ACCESORIO: PRESENTACIÓN DE UN CASO Y REVISIÓN DE LA BIBLIOGRAFÍA","Santos S, José Ángel, Gutiérrez D, José Antonio, Cebrian V, Paloma, Domínguez, Miguel G","Revista chilena de radiología; 14(2); E9-E12","Revista chilena de radiología","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-93082008000200012&lang=pt" 
"S0717-66432008000100001-chl","HOMENAJE: Otto Zöllner Schorr 1909-2007","Marticorena, Alicia","Gayana. Botánica; 65(1); VII-XI","Gayana. Botánica","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-66432008000100001&lang=pt" 
"S0717-66432008000100002-chl","GERMINACION DE LA ESPORA,MORFOLOGIA DEL GAMETOFITO Y EXPRESION SEXUAL DE POLYPODIUM FEUILLEI BERTERO (POLYPODIACEAE)","Gabriel y Galán, Jose María, Prada, Carmen, Rolleri, Cristina H","Gayana. Botánica; 65(1); 1-9","Gayana. Botánica","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-66432008000100002&lang=pt" 
"S0717-66432008000100003-chl","ROL DEL VERMICOMPOST FRENTE AL ESTRES POR CLORURO DE SODIO EN EL CRECIMIENTO Y FOTOSINTESIS EN PLANTULAS DE TAMARINDO (TAMARINDUSINDICA L.)","Oliva, María A, Rincón, Reiner, Zenteno, Eucario, Pinto, Arturo, Dendooven, Luc, Gutiérrez, Federico","Gayana. Botánica; 65(1); 10-17","Gayana. Botánica","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-66432008000100003&lang=pt" 
"S0717-66432008000100004-chl","XYLEMANATOMYOF BETULAPENDULA ROTHSAPLINGS: RELATIONSHIP TO PHYSICAL VASCULAR MODELS","Átala, Cristian, Lusk, Christopher H","Gayana. Botánica; 65(1); 18-27","Gayana. Botánica","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-66432008000100004&lang=pt" 
"S0717-66432008000100005-chl","A COMPARATIVE ANATOMICAL STUDY OF THE STEMS OF CLIMBING PLANTS FROM THE FOREST REMNANTS OF MARINGA, BRAZIL","Lopes, Willian A. L., Souza, Luiz A, Moscheta, Ismar M, Albiero, Adriana L. M, Mourão, Káthia S. M","Gayana. Botánica; 65(1); 28-38","Gayana. Botánica","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-66432008000100005&lang=pt" 
"S0717-66432008000100006-chl","PLANTAS VASCULARES DE LOS RIOS BAKER Y PASCUA, REGION DE AISEN, CHILE","Rodriguez, Roberto, Marticorena, Alicia, Teneb, Ernesto","Gayana. Botánica; 65(1); 39-70","Gayana. Botánica","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-66432008000100006&lang=pt" 
"S0717-66432008000100007-chl","RIQUEZA FLORISTICA DEL SANTUARIO DE LA NATURALEZA PALMAR EL SALTO, VIÑA DEL MAR, REGION DE VALPARAISO, CHILE","Flores-Toro, Lorena, Aguirre-Saavedra, Francisco","Gayana. Botánica; 65(1); 71-83","Gayana. Botánica","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-66432008000100007&lang=pt" 
"S0717-66432008000100008-chl","COMPARATIVE FOLIAR EPIDERMAL MORPHOLOGY OF THE WEST AFRICAN SPECIES OF THE GENUS AFZELIA SMITH (LEGUMINOSAE: AESALPINIOIDEAE)","Babalola Kadiri, Akeem, Dele Olowokudejo, James","Gayana. Botánica; 65(1); 84-92","Gayana. Botánica","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-66432008000100008&lang=pt" 
"S0717-66432008000100009-chl","ALGAL STUDIES IN BOLIVIA: A COMPILATION AND PRELIMINARY ANALYSIS OF EXISTING PHYCOLOGICAL LITERATURE","Morales, Eduardo A, Fernández, Erika, Fernandez, Carla E, Lizarro, Dennis, Alcoreza, Pamela","Gayana. Botánica; 65(1); 93-108","Gayana. Botánica","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-66432008000100009&lang=pt" 
"S0717-66432008000100010-chl","NUEVA LOCALIDAD GEOGRAFICA PARA BERBERIS NEGERIANA TISCHLER (BERBERIDACEAE) EN LA PROVINCIA DE ARAUCO, REGION DEL BIO-BIO, CHILE","Gómez, Persy, Belov, Michail, San Martín, José","Gayana. Botánica; 65(1); 109-110","Gayana. Botánica","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-66432008000100010&lang=pt" 
"S0717-66432008000100011-chl","REDESCUBRIMIENTO DE UNA ESPECIE DE CALCEOLARIA (CALCEOLARIACEAE)","Muñoz-Schick, Mélica, Moreira-Muñoz, Andrés","Gayana. Botánica; 65(1); 111-114","Gayana. Botánica","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-66432008000100011&lang=pt" 
"S0717-66432008000100012-chl","OXALIS NOVEMFOLIALATA, A NEW SPECIES OF OXALIS SECT: CARNOSAE ENDEMIC TO THE ATACAMA DESERT OF NORTHERN CHILE","Heibl, Christoph, Marticorena, Clodomiro","Gayana. Botánica; 65(1); 115-118","Gayana. Botánica","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-66432008000100012&lang=pt" 
"S0717-66432008000100013-chl","HALLAZGO DE ADESMIA BIJUGA PHIL. (FABACEAE) EN LA ZONA COSTERA, REGION DEL MAULE, CHILE CENTRAL","Hahn, Steffen, Gómez, Persy","Gayana. Botánica; 65(1); 119-121","Gayana. Botánica","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-66432008000100013&lang=pt" 
"S0717-66432008000100014-chl","RELACION ENTRE EL ORIGEN FLORAL Y EL PERFIL DE ELEMENTOS MINERALES EN MIELES CHILENAS","Montenegro, Gloria, Fredes, Carolina","Gayana. Botánica; 65(1); 122-125","Gayana. Botánica","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-66432008000100014&lang=pt" 
"S0102-79722008000300001-scl","Editorial","","Psicologia: Reflexão e Crítica; 21(3); iii-iii","Psicologia: Reflexão e Crítica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722008000300001&lang=pt" 
"S0103-64402008000400009-scl","Effect of different modes of light modulation on the bond strength and knoop hardness of a dental composite","Dalli&#039;Magro, Eduardo, Sinhoreti, Mário Alexandre Coelho, Correr, Américo Bortolazzo, Consani, Rafael Leonardo Xediek, Sicoli, Eliseu Augusto, Mendoça, Marcio José, Correr-Sobrinho, Lourenço","Brazilian Dental Journal; 19(4); 334-340","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000400009&lang=pt" 
"S0103-64402008000400010-scl","Bond strength of a pit-and-fissure sealant associated to etch-and-rinse and self-etching adhesive systems to saliva-contaminated enamel: individual vs. simultaneous light curing","Gomes-Silva, Jaciara Miranda, Torres, Carolina Paes, Contente, Marta Maria Martins Giamatei, Oliveira, Maria Angélica Hueb de Menezes, Palma-Dibb, Regina Guenka, Borsatto, Maria Cristina","Brazilian Dental Journal; 19(4); 341-347","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000400010&lang=pt" 
"S0717-68482008000100001-chl","Presentación","Zapata G, Juan","Acta literaria; (36); 5-7","Acta literaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482008000100001&lang=pt" 
"S0717-68482008000100002-chl","Memoria de historias menores en Basuras de Shanghai de Germán Marín","Fuentes Leal, Mariela","Acta literaria; (36); 9-26","Acta literaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482008000100002&lang=pt" 
"S0717-68482008000100003-chl","La isla-mujer: Lo femenino como liberación en El beso de la mujer araña de Manuel Puig","ESCOBAR VERA, HERNANDO","Acta literaria; (36); 27-45","Acta literaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482008000100003&lang=pt" 
"S0717-68482008000100004-chl","Intertextualidad en Beatriz Viterbo, un acercamiento a la configuración del personaje borgeano","DEL ROSARIO PÉREZ BERNAL, ANGELES MA","Acta literaria; (36); 47-60","Acta literaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482008000100004&lang=pt" 
"S0717-68482008000100005-chl","La búsqueda del diálogo cultural en Sueño con menguante: Biografía de una machi de Sonia Montecino","PARRA TRIANA, CLARA MARÍA","Acta literaria; (36); 61-71","Acta literaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482008000100005&lang=pt" 
"S0717-68482008000100006-chl","Naciste pintada de Carmen Berenguer o el desplazamiento de los géneros literarios/sexuales","GARRIDO DONOSO, LORENA","Acta literaria; (36); 73-86","Acta literaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482008000100006&lang=pt" 
"S0717-68482008000100007-chl","La poesía chilena: Representaciones de terror y fragmentación del sujeto en los primeros años de dictadura","NÓMEZ, NAÍN","Acta literaria; (36); 87-101","Acta literaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482008000100007&lang=pt" 
"S0717-68482008000100008-chl","Los modelos de la niña mala de Mario Vargas Llosa","RUIZ, MARÍA REGINA","Acta literaria; (36); 103-107","Acta literaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482008000100008&lang=pt" 
"S0717-68482008000100009-chl","La escritura de la rabia: Luisa Valenzuela y la mirada de la dictadura","CAVALLÍN CALANCHE, CLAUDIA","Acta literaria; (36); 109-115","Acta literaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482008000100009&lang=pt" 
"S0717-68482008000100010-chl","Juan Florit. Caudillo de los veleros. Introducción, recopilación, bibliografía y notas de Andrés Florit Cento","ARÁNGUIZ PINTO, SANTIAGO","Acta literaria; (36); 117-119","Acta literaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482008000100010&lang=pt" 
"S0301-732X2008000200001-chl","40 años de Archivos de Medicina Veterinaria","Martin, M.V., Rodolfo","Archivos de medicina veterinaria; 40(2); 113-113","Archivos de medicina veterinaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2008000200001&lang=pt" 
"S0301-732X2008000200002-chl","Terapias hormonales utilizadas en el control artificial de la madurez sexual en peces de cultivo: una revisión","Valdebenito, I","Archivos de medicina veterinaria; 40(2); 115-123","Archivos de medicina veterinaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2008000200002&lang=pt" 
"S0301-732X2008000200003-chl","Claudicaciones en vacas de rebaños lecheros grandes y pequeños del sur de Chile","Flor, E, Tadich, N","Archivos de medicina veterinaria; 40(2); 125-134","Archivos de medicina veterinaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2008000200003&lang=pt" 
"S0301-732X2008000200004-chl","Efecto de la suplementación de grasas sobre las concentraciones séricas de progesterona, insulina, somatotropina y algunos metabolitos de los lípidos en ovejas Pelibuey","Espinoza, JL, Palacios, A, Ortega, R, Guillén, A","Archivos de medicina veterinaria; 40(2); 135-140","Archivos de medicina veterinaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2008000200004&lang=pt" 
"S0301-732X2008000200005-chl","Detection of Brucella melitensis DNA in the milk of sheep after abortion by PCR assay","Ilhan, Z, Solmaz, H, Aksakal, A, Gulhan, T, Ekin, IH, Boynukara, B","Archivos de medicina veterinaria; 40(2); 141-146","Archivos de medicina veterinaria","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2008000200005&lang=pt" 
"S0301-732X2008000200006-chl","Estudio del comportamiento serológico de Actinobacillus pleuropneumoniae (App) en planteles porcinos comerciales de la zona central de Chile","Muñoz, D, Quezada, M, Ruiz, A","Archivos de medicina veterinaria; 40(2); 147-153","Archivos de medicina veterinaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2008000200006&lang=pt" 
"S0301-732X2008000200007-chl","Niveles de factor de crecimiento transformante beta-3 y óxido nítrico en cuatro concentrados autólogos de plaquetas y plasma derivados de sangre equina","Carmona, JU, Argüelles, D, Prades, M","Archivos de medicina veterinaria; 40(2); 155-160","Archivos de medicina veterinaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2008000200007&lang=pt" 
"S0301-732X2008000200008-chl","Effects of artificially induced spinal cord compression on the canine cervical internal vertebral venous plexus: comparative evaluation of computed tomographic venography and digital subtraction venography","Gómez, M, Lanz, O, Jones, J, Broadstone, R, Inzana, K, Freeman, L","Archivos de medicina veterinaria; 40(2); 161-168","Archivos de medicina veterinaria","Inglês","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2008000200008&lang=pt" 
"S0301-732X2008000200009-chl","Estudio histopatológico e inmunohistoquímico de páncreas en perros diabéticos inducidos con aloxano","Cubillos, V, López, C, Alberdi, A","Archivos de medicina veterinaria; 40(2); 169-177","Archivos de medicina veterinaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2008000200009&lang=pt" 
"S0301-732X2008000200010-chl","Relación entre variables sociales, productivas y económicas en 16 predios campesinos lecheros de la provincia de Valdivia, Chile","Lerdon, J, Báez, A, Azócar, G","Archivos de medicina veterinaria; 40(2); 179-185","Archivos de medicina veterinaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2008000200010&lang=pt" 
"S0301-732X2008000200011-chl","Genotipos de aislados de campo de Brucella abortus de distintas regiones geográficas de Chile","Mancilla, M, Villarroel, M, Saldías, ME, Soto, J, Zárraga, AM","Archivos de medicina veterinaria; 40(2); 187-192","Archivos de medicina veterinaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2008000200011&lang=pt" 
"S0301-732X2008000200012-chl","Parásitos en perros de San Juan Bautista, Isla Robinson Crusoe, Chile","González-Acuña, D, Moreno, L, Hermosilla, C","Archivos de medicina veterinaria; 40(2); 193-195","Archivos de medicina veterinaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2008000200012&lang=pt" 
"S0301-732X2008000200013-chl","Prevención de la infección por Salmonella enterica subespecie enterica serotipo Enteritidis (Salmonella Enteritidis) en pollos mediante un bacteriófago","Borie, C, Zurita, P, Sánchez, ML, Rojas, V, Santander, J, Robeson, J","Archivos de medicina veterinaria; 40(2); 197-201","Archivos de medicina veterinaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2008000200013&lang=pt" 
"S0301-732X2008000200014-chl","Detección del virus de la necrosis pancreática infecciosa (IPNV) en sedimentos de agua dulce","Labraña, R, Espinoza, JC, Kuznar, J","Archivos de medicina veterinaria; 40(2); 203-205","Archivos de medicina veterinaria","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2008000200014&lang=pt" 
