"S1516-84842016000200158-scl","Involvement of cranial nerves in a patient with secondary central nervous system lymphoma","Azevedo, Roberta Dantas, Reis, Fabiano, Delamain, Marcia Torresan, Souza, Cármino Antônio de","Revista Brasileira de Hematologia e Hemoterapia; 38(2); 158-160","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000200158&lang=pt" 
"S0100-15742016000200504-scl","O plano nacional de educação e a educação especial","Celio Sobrinho, Reginaldo, Pantaleão, Edson, Sá, Maria das Graças Carvalho Silva de","Cadernos de Pesquisa; 46(160); 504-525","Cadernos de Pesquisa","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742016000200504&lang=pt" 
"S0080-62342016001100017-scl","Analysis of Service-learning activities adopted in health courses of Federal University of Bahia","Baldoino, Aline Silva, Veras, Renata Meira","Revista da Escola de Enfermagem da USP; 50(spe); 17-24","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016001100017&lang=pt" 
"S1679-78252016000601030-scl","Experimentally Validated Combustion and Piston Fatigue Life Evaluation Procedures for the Bi-Fuel Engines, Using an Integral-Type Fatigue Criterion","Shariyat, M., Sola, J. Fathi, Jazayeri, S.A.","Latin American Journal of Solids and Structures; 13(6); 1030-1053","Latin American Journal of Solids and Structures","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252016000601030&lang=pt" 
"S0080-62342016001100081-scl","The family experience of care in chronic situation","Bellato, Roseney, Araújo, Laura Filomena Santos de, Dolina, Janderléia Valéria, Musquim, Cleciene dos Anjos, Corrêa, Geovana Hagata de Lima Souza Thaines","Revista da Escola de Enfermagem da USP; 50(spe); 81-88","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016001100081&lang=pt" 
"S0080-62342016001100025-scl","Medical training and nurses of Family Health strategy on worker health aspect","Mori, Érika Chediak, Naghettini, Alessandra Vitorino","Revista da Escola de Enfermagem da USP; 50(spe); 25-31","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016001100025&lang=pt" 
"S1414-753X2016000200245-scl","THE HISTORICAL TRAJECTORY OF THE BELO MONTE HYDROELECTRIC PLANT&#039;S ENVIRONMENTAL LICENSING PROCESS","FAINGUELERNT, MAÍRA BORGES","Ambiente &amp; Sociedade; 19(2); 245-264","Ambiente &amp; Sociedade","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2016000200245&lang=pt" 
"S1414-753X2016000200265-scl","DIFFERENCES AND SIMILARITIES IN IMPACTS OF HYDROELETRIC DAMS BETWEEN NORTH AND SOUTH OF BRAZIL","LETURCQ, GUILLAUME","Ambiente &amp; Sociedade; 19(2); 265-286","Ambiente &amp; Sociedade","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2016000200265&lang=pt" 
"S1414-753X2016000200287-scl","THE CONSTRUCTION OF HEALTH CAUSAL RELATIONS IN THE BELO MONTE DAM CONTEXT","GRISOTTI, MÁRCIA","Ambiente &amp; Sociedade; 19(2); 287-304","Ambiente &amp; Sociedade","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2016000200287&lang=pt" 
"S1679-78252016000601107-scl","Nonlinear Dynamic Analysis of Telescopic Mechanism for Truss Structure Bridge Inspection Vehicle Under Pedestrian Excitation","Sui, Wenwen, Zhu, Zhencai, Cao, Guohua, Chen, Guoan","Latin American Journal of Solids and Structures; 13(6); 1107-1125","Latin American Journal of Solids and Structures","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252016000601107&lang=pt" 
"S0080-62342016001100061-scl","Perception of hypertensive patients about their non-adherence to the use of medication","Marin, Nadia Sanches, Santos, Mariana Fonseca dos, Moro, André dos Santos","Revista da Escola de Enfermagem da USP; 50(spe); 61-67","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016001100061&lang=pt" 
"S0080-62342016001100009-scl","Understanding the curriculum the light of training guiding health in Brazil","Moraes, Bibiana Arantes, Costa, Nilce Maria da Silva","Revista da Escola de Enfermagem da USP; 50(spe); 9-16","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016001100009&lang=pt" 
"S1414-753X2016000200045-scl","THE SOCIOPOLITICAL CONFLICT IN HYDROELECTRIC ENTERPRISES","PASE, HEMERSON LUIZ, ROCHA, HUMBERTO JOSÉ DA, SANTOS, EVERTON RODRIGO DOS, PATELLA, ANA PAULA DUPUY","Ambiente &amp; Sociedade; 19(2); 45-66","Ambiente &amp; Sociedade","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2016000200045&lang=pt" 
"S1414-753X2016000200207-scl","ROADS AND DAMS: INFRASTRUCTURE-DRIVEN TRANSFORMATIONS IN THE BRAZILIAN AMAZON","MORAN, EMILIO F.","Ambiente &amp; Sociedade; 19(2); 207-220","Ambiente &amp; Sociedade","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2016000200207&lang=pt" 
"S0100-15742016000200484-scl","Jongo e Educação Escolar Quilombola: diálogos no campo do currículo","Maroun, Kalyla","Cadernos de Pesquisa; 46(160); 484-502","Cadernos de Pesquisa","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742016000200484&lang=pt" 
"S0080-62342016001100074-scl","30 years later: Social Representations about AIDS and sexual practices of rural towns residents","Furtado, Francisca Marina de Souza Freire, Santos, José Anderson Galdino, Loredanna, Stedile, Araújo, Eunice, Saldanha, Ana Alayde Werba, Silva, Josevânia da","Revista da Escola de Enfermagem da USP; 50(spe); 74-80","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016001100074&lang=pt" 
"S0100-15742016000200442-scl","Criacionismo: transformações históricas e implicações para o ensino de ciências e biologia","Dorvillé, Luís Fernando Marques, Selles, Sandra Lúcia Escovedo","Cadernos de Pesquisa; 46(160); 442-465","Cadernos de Pesquisa","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742016000200442&lang=pt" 
"S0080-62342016001100130-scl","Analysis of Family Clinical, vision of service nurses","Raimundi, Daniele Merisio, Ferreira, Francieli Furtado, Lima, Fernanda Cristina Aguiar, Siqueira, Valeria de Carvalho Araújo","Revista da Escola de Enfermagem da USP; 50(spe); 130-138","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016001100130&lang=pt" 
"S1679-78252016000601186-scl","Crashworthiness Analysis and Evaluation of Fuselage Section with Sub-floor Composite Sinusoidal Specimens","Mou, H.L., Zou, T.C., Feng, Z.Y., Xie, J.","Latin American Journal of Solids and Structures; 13(6); 1186-1202","Latin American Journal of Solids and Structures","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252016000601186&lang=pt" 
"S1679-78252016000601126-scl","Analysis and Design of Reinforced Concrete Deep Beams by a Manual Approach of Stringer-Panel Method","Mello, André Felipe Aparecido de, Souza, Rafael Alves de","Latin American Journal of Solids and Structures; 13(6); 1126-1151","Latin American Journal of Solids and Structures","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252016000601126&lang=pt" 
"S1414-753X2016000200002-scl","ALTERNATIVE FOOD NETWORKS AND NEW PRODUCER-CONSUMER RELATIONS IN FRANCE AND IN BRAZIL","DAROLT, MOACIR ROBERTO, LAMINE, CLAIRE, BRANDENBURG, ALFIO, ALENCAR, MARIA DE CLÉOFAS FAGGION, ABREU, LUCIMAR SANTIAGO","Ambiente &amp; Sociedade; 19(2); 1-22","Ambiente &amp; Sociedade","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2016000200002&lang=pt" 
"S1414-753X2016000200169-scl","ASSOCIATIONS IN PROTECTED AREAS: RESTRICTIONS AND POSSIBILITIES IN THE EXPERIENCE OF TOURIST GUIDES IN CATIMBAU, PERNAMBUCO","SILVA, JOSILENE HENRIQUES DA, PIRES, MARIA LUIZA LINS E SILVA","Ambiente &amp; Sociedade; 19(2); 169-186","Ambiente &amp; Sociedade","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2016000200169&lang=pt" 
"S1414-753X2016000200117-scl","REVERSE LOGISTICS OF E-WASTE IN DEVELOPING COUNTRIES: CHALLENGES AND PROSPECTS FOR THE BRAZILIAN MODEL","DEMAJOROVIC, JACQUES, AUGUSTO, ERYKA EUGÊNIA FERNANDES, SOUZA, MARIA TEREZA SARAIVA DE","Ambiente &amp; Sociedade; 19(2); 117-136","Ambiente &amp; Sociedade","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2016000200117&lang=pt" 
"S0100-15742016000200362-scl","Las concepciones del mundo y los valores en la investigación psicológica","Antonio Castorina, José","Cadernos de Pesquisa; 46(160); 362-385","Cadernos de Pesquisa","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742016000200362&lang=pt" 
"S0100-15742016000200286-scl","Referentes e critérios para a ação docente","Silva, Vandré Gomes da, Almeida, Patrícia Cristina Albieri de, Gatti, Bernardete Angelina","Cadernos de Pesquisa; 46(160); 286-311","Cadernos de Pesquisa","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742016000200286&lang=pt" 
"S0080-62342016001100054-scl","The applicability of the concept of treatment adherence in the context of the Brazilian mental health system","Alvarez, Patricia Elizabeth Sanz de, Rosendo, Ernestina, Alchieri, João Carlos","Revista da Escola de Enfermagem da USP; 50(spe); 54-60","Revista da Escola de Enfermagem da USP","Inglês, Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016001100054&lang=pt" 
"S1414-753X2016000200023-scl","PERCEPTION OF SOCIO-ENVIRONMENTAL CONFLICTS IN MINING AREAS: THE CASE OF THE MIRADOR PROJECT IN ECUADOR","SÁNCHEZ-VÁZQUEZ, LUIS, ESPINOSA, MARÍA GABRIELA, EGUIGUREN, MARÍA BEATRIZ","Ambiente &amp; Sociedade; 19(2); 23-44","Ambiente &amp; Sociedade","Inglês, Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2016000200023&lang=pt" 
"S1414-753X2016000200187-scl","SOCIAL REPRESENTATION OF SUSTAINABILITY IN CIVIL CONSTRUCTION AMONG COLLEGE STUDENTS","TECHIO, ELZA MARIA, GONÇALVES, JARDEL PEREIRA, COSTA, POLIANA NERES","Ambiente &amp; Sociedade; 19(2); 187-204","Ambiente &amp; Sociedade","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2016000200187&lang=pt" 
"S0100-15742016000200466-scl","Yalorixás e educação: discutindo o ensino religioso nas escolas","Russo, Kelly, Almeida, Alessandra","Cadernos de Pesquisa; 46(160); 466-483","Cadernos de Pesquisa","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742016000200466&lang=pt" 
"S0080-62342016001100089-scl","Moral Distress in Family Health Strategy: experiences expressed by daily life","Cardoso, Cecília Maria Lima, Pereira, Maria Odete, Moreira, Danielle de Araújo, Tibães, Hanna Beatriz Bacelar, Ramos, Flávia Regina Souza, Brito, Maria José Menezes","Revista da Escola de Enfermagem da USP; 50(spe); 89-95","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016001100089&lang=pt" 
"S0100-15742016000200526-scl","Representações das categorias de sexo em crianças no contexto escolar","Morin-Messabel, Christine, Ferrière, Séverine, Lainé, Aurélie, Mieyaa, Yoan, Rouyer, Véronique","Cadernos de Pesquisa; 46(160); 526-546","Cadernos de Pesquisa","Francês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742016000200526&lang=pt" 
"S0080-62342016001100101-scl","Minimum Map of Social Institutional Network: a multidimensional strategy for research in Nursing","Carlos, Diene Monique, Pádua, Elisabete Matallo Marchesini de, Nakano, Ana Márcia Spanó, Ferriani, Maria das Graças Carvalho","Revista da Escola de Enfermagem da USP; 50(spe); 101-106","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016001100101&lang=pt" 
"S0719-367X2016000100001-chl","Comunicación y salud","Busse, Peter, Godoy, Sergio","Cuadernos.info; (38); 10-13","Cuadernos.info","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-367X2016000100001&lang=pt" 
"S0256-95742016000600007-sza","Occupational injuries - radiologists lose patience, sue government","Bateman, Chris","SAMJ: South African Medical Journal; 106(6); 542-542","SAMJ: South African Medical Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742016000600007&lang=pt" 
"S0256-95742016000600006-sza","Quality of care responsible for soaring maternal deaths - report","Bateman, Chris","SAMJ: South African Medical Journal; 106(6); 540-541","SAMJ: South African Medical Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742016000600006&lang=pt" 
"S0256-95742016000600008-sza","Newer drugs keep multiple sclerosis patients out of wheelchairs - expert","Bateman, Chris","SAMJ: South African Medical Journal; 106(6); 543-543","SAMJ: South African Medical Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742016000600008&lang=pt" 
"S0256-95742016000600003-sza","Medical malpractice crisis deepens: New approach","Archer, Chris","SAMJ: South African Medical Journal; 106(6); 536-536","SAMJ: South African Medical Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742016000600003&lang=pt" 
"S0256-95742016000600005-sza","Occupational health and safety and the National Public Health Institute of South Africa: Deliberations from a national consultative meeting","Myers, J E, London, L, Badenhorst, C, Bida, M, Carstens, S, Davies, K, Fox, F, Hyera, F, Jeebhay, M, Naidoo, R N, Reagon, G, Rose, A, Walters-Girout, B, Voyi, K, Vundle, Z, Rispel, L","SAMJ: South African Medical Journal; 106(6); 538-539","SAMJ: South African Medical Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742016000600005&lang=pt" 
"S1414-753X2016000200001-scl","EDITORIAL","Jacobi, Pedro Roberto","Ambiente &amp; Sociedade; 19(2); -","Ambiente &amp; Sociedade","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2016000200001&lang=pt" 
"S0100-15742016000200386-scl","Princípios de justiça e justiça escolar: a educação multicultural e a equidade","Rohling, Marcos, Valle, Ione Ribeiro","Cadernos de Pesquisa; 46(160); 386-409","Cadernos de Pesquisa","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742016000200386&lang=pt" 
"S1414-753X2016000200093-scl","RISK, VULNERABILITY AND ADAPTATION TO CLIMATE CHANGE: AN INTERDISCIPLINARY APPROACH","Iwama, Allan Yu, Batistella, Mateus, Ferreira, Lúcia da Costa, Alves, Diogenes Salas, Ferreira, Leila da Costa","Ambiente &amp; Sociedade; 19(2); 93-116","Ambiente &amp; Sociedade","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2016000200093&lang=pt" 
"S1414-753X2016000200221-scl","BLAMING THE WEATHER, BLAMING THE PEOPLE: SOCIO-ENVIRONMENTAL GOVERNANCE AND A CRISIS ATTITUDE IN THE BRAZILIAN ELECTRICITY SECTOR","FUCHS, VANESSA BOANADA","Ambiente &amp; Sociedade; 19(2); 221-246","Ambiente &amp; Sociedade","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2016000200221&lang=pt" 
"S1414-753X2016000200137-scl","ENVIRONMENTAL SERVICES ASSOCIATED WITH THE RECLAMATION OF AREAS DEGRADED BY MINING: POTENTIAL FOR PAYMENTS FOR ENVIRONMENTAL SERVICES","SOUZA, CAROLINE ALMEIDA, GALLARDO, AMARILIS LUCIA CASTELI FIGUEIREDO, SILVA, ÉRICA DONAIRE DA, MELLO, YOHANA CUNHA DE, RIGHI, CIRO ABBUD, SOLERA, MARIA LUCIA","Ambiente &amp; Sociedade; 19(2); 137-168","Ambiente &amp; Sociedade","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2016000200137&lang=pt" 
"S1414-753X2016000200067-scl","STRATEGIC ENVIRONMENTAL ASSESSMENT FOR PLANNING SUGARCANE EXPANSION: A FRAMEWORK PROPOSAL","GALLARDO, AMARILIS LUCIA CASTELI FIGUEIREDO, DUARTE, CARLA GRIGOLETTO, DIBO, ANA PAULA ALVES","Ambiente &amp; Sociedade; 19(2); 67-92","Ambiente &amp; Sociedade","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2016000200067&lang=pt" 
"S1679-78252016000601086-scl","Fracture Failure of Reinforced Concrete Slabs Subjected to Blast Loading Using the Combined Finite-Discrete Element Method","Jaini, Z. M., Feng, Y. T., Owen, D. R. J., Mokhatar, S. N.","Latin American Journal of Solids and Structures; 13(6); 1086-1106","Latin American Journal of Solids and Structures","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252016000601086&lang=pt" 
"S0100-15742016000200410-scl","Religião e educação no Brasil: uma leitura em periódicos (2003-2013)","Setton, Maria da Graça J., Valente, Gabriela","Cadernos de Pesquisa; 46(160); 410-440","Cadernos de Pesquisa","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742016000200410&lang=pt" 
"S0719-367X2016000100012-chl","Narrativas transmedia y contenidos generados por los usuarios: El caso de los crossovers","Guerrero-Pico, Mar, Scolari, Carlos A","Cuadernos.info; (38); 183-200","Cuadernos.info","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-367X2016000100012&lang=pt" 
"S0256-95742016000600014-sza","The role of appropriate diagnostic testing in acute respiratory tract infections: An antibiotic stewardship strategy to minimise diagnostic uncertainty in primary care","Brink, A J, van Wyk, J, Moodley, V M, Corcoran, C, Ekermans, P, Nutt, L, Boyles, T, Perovic, O, Feldman, C, Richards, G A, Mendelson, M","SAMJ: South African Medical Journal; 106(6); 554-561","SAMJ: South African Medical Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742016000600014&lang=pt" 
"S0719-367X2016000100003-chl","Comunicación sobre el cáncer en Facebook: Las asociaciones de Argentina, Chile, Colombia y España","Fernández-Gómez, Erika, Díaz-Campo, Jesús","Cuadernos.info; (38); 35-50","Cuadernos.info","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-367X2016000100003&lang=pt" 
"S0719-367X2016000100002-chl","Explaining voluntary blood donation from a communication perspective","Abril, Eulàlia P","Cuadernos.info; (38); 17-33","Cuadernos.info","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-367X2016000100002&lang=pt" 
"S0719-367X2016000100005-chl","Representación de las enfermedades en la ficción española de médicos Hospital Central (Telecinco: 2000-2012)","González de Garay Domínguez, Beatriz, Frutos Esteban, Francisco Javier, del Arco Bóveda, Irene","Cuadernos.info; (38); 69-84","Cuadernos.info","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-367X2016000100005&lang=pt" 
"S0719-367X2016000100006-chl","Adultos mayores en Chile: descripción de sus necesidades en comunicación en salud preventiva","Condeza, Ana Rayén, Bastías, Gabriel, Valdivia, Gonzalo, Cheix, Consuelo, Barrios, Ximena, Rojas, Rodrigo, Gálvez, Myrna, Fernández, Francisco","Cuadernos.info; (38); 85-104","Cuadernos.info","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-367X2016000100006&lang=pt" 
"S0719-367X2016000100008-chl","Radiografía de las exclusivas en el periodismo político español: Seguimiento y factores de competencia","Lamelas, Marcos, Pont-Sorribes, Carles, Alsius, Salvador","Cuadernos.info; (38); 121-136","Cuadernos.info","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-367X2016000100008&lang=pt" 
"S0719-367X2016000100014-chl","Jugar en red social: ¿Adicción digital versus comunicación e interacción en CityVille?","del Moral Pérez, Mª Esther, Guzmán Duque, Alba Patricia","Cuadernos.info; (38); 217-231","Cuadernos.info","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-367X2016000100014&lang=pt" 
"S1677-55382016000300531-scl","Argus T® versus Advance® Sling for postprostatectomy urinary incontinence: A randomized clinical trial","Lima, João Paulo Cunha, Pompeo, Antonio Carlos Lima, Bezerra, Carlos Alberto","International braz j urol; 42(3); 531-539","International braz j urol","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382016000300531&lang=pt" 
"S0102-09352016000300571-scl","Endoparasites of wild animals from three biomes in the State of Mato Grosso, Brazil","Ramos, D.G.S., Santos, A.R.G.L.O., Freitas, L.C., Correa, S.H.R., Kempe, G.V., Morgado, T.O., Aguiar, D.M., Wolf, R.W., Rossi, R.V., Sinkoc, A.L., Pacheco, R.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 68(3); 571-578","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352016000300571&lang=pt" 
"S0102-09352016000300611-scl","Avaliação e comparação entre métodos de mensuração de pressão arterial sistólica em gatos hígidos conscientes","Anjos, T.M., Veado, J.C.C., Araújo, R.B., Leme, F.O.P, Diniz, S.A., Castro, M.C.N., Costa, F.V.A, Tavares, C.A.P., David, L.M., Quites, K.X., Maia, M.Q.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 68(3); 611-619","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352016000300611&lang=pt" 
"S0102-09352016000300761-scl","Consumo, digestibilidade e balanço de nitrogênio em ovinos alimentados com rações contendo torta de Crambe","Mizubuti, I.Y., Syperreck, M.A., Ribeiro, E.L.A., Pereira, E.S., Pinto, A.P., Prado, O.P.P., Peixoto, E.L.T., Parra, A.R.P., Massaro Júnior, F.L., Guerra, G.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 68(3); 761-768","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352016000300761&lang=pt" 
"S0102-77862016000200202-scl","Solution of the Atmospheric Diffusion Equation with Longitudinal Wind Speed Depending on Source Distance","Moreira, Davidson Martins, Albuquerque, Taciana Toledo de Almeida","Revista Brasileira de Meteorologia; 31(2); 202-210","Revista Brasileira de Meteorologia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862016000200202&lang=pt" 
"S0102-09352016000300641-scl","Effects of timolol maleate, levobunolol and apraclonidine on intraocular pressure, pupil size, blood pressure and heart rate in beagles","Padua, I.R.M., Ribeiro, A.P., Padua, P.P.M., Guimarães, P.J., Silva, M.L., Piso, D.Y.T., Martins, B., Aldrovani, M., Semolin, L.M.S., Camacho, A.A., Laus, J.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 68(3); 641-650","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352016000300641&lang=pt" 
"S1677-55382016000300438-scl","4-Ports endoscopic extraperitoneal radical prostatectomy: preliminary and learning curve results","Barbosa Junior, Humberto do Nascimento, Siqueira Junior, Tiberio Moreno, Barreto, Françualdo, Menezes, Leonardo Gomes, Luna, Mauro José Catunda, Calado, Adriano Almeida","International braz j urol; 42(3); 438-448","International braz j urol","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382016000300438&lang=pt" 
"S1677-55382016000300558-scl","Is there a trans-abdominal testicular descent during the second gestational trimester? Study in human fetuses between 13 and 23 weeks post conception","Favorito, Luciano A., Bernardo, Fabio O., Costa, Suelen F., Sampaio, Francisco J. B.","International braz j urol; 42(3); 558-563","International braz j urol","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382016000300558&lang=pt" 
"S0102-77862016000200229-scl","Análise Estatística e Geoestatística da Precipitação Média para o Município de Joinville (SC)","Mello, Yara Rúbia de, Oliveira, Therezinha Maria Novais de","Revista Brasileira de Meteorologia; 31(2); 229-239","Revista Brasileira de Meteorologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862016000200229&lang=pt" 
"S1677-55382016000300614-scl","Nitric oxide and asymmetric dimethyl arginine (ADMA) levels in an experimental hydronephrotic kidney caused by unilateral partial ureteral obstruction","Alan, Cabir, Kurt, Hasan Anil, Topaloğlu, Naci, Ersay, Ahmet Reşit, Çakir, Dilek Ülker, Baştürk, Gökhan","International braz j urol; 42(3); 614-620","International braz j urol","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382016000300614&lang=pt" 
"S0102-09352016000300785-scl","Capacidade produtiva e qualidade nutricional de gramíneas perenes submetidas a sistema contínuo de cortes","Poczynek, M., Neumann, M., Horst, E.H., Leão, G.F.M., Poczynek, M., Ueno, R.K.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 68(3); 785-794","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352016000300785&lang=pt" 
"S1677-55382016000300449-scl","Evaluation of PCA3 and multiparametric MRI’s: collective benefits before deciding initial prostate biopsy for patients with PSA level between 3-10ng/mL","Okcelik, Sezgin, Soydan, Hasan, Ates, Ferhat, Berber, Ufuk, Saygin, Hasan, Sönmez, Güner, Karademir, Kenan","International braz j urol; 42(3); 449-455","International braz j urol","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382016000300449&lang=pt" 
"S0102-77862016000200114-scl","Tendência da Temperatura e Precipitação na Península Antártica","Wanderley, Henderson Silva, Justino, Flávio Barbosa, Sediyama, Gilberto Chuaco","Revista Brasileira de Meteorologia; 31(2); 114-121","Revista Brasileira de Meteorologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862016000200114&lang=pt" 
"S0102-09352016000300587-scl","Perfil sérico proteico de vacas Holandesas no período de transição","Reis, J.F., Madureira, K.M., Silva, C.P.C., Baldacim, V.P.A., Fagliari, J.J., Gomes, V.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 68(3); 587-595","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352016000300587&lang=pt" 
"S1677-55382016000300479-scl","A prospective multicenter European study on flexible ureterorenoscopy for the management of renal stone","Berardinelli, Francesco, Proietti, Silvia, Cindolo, Luca, Pellegrini, Fabrizio, Peschechera, Roberto, Derek, Hennessey, Dalpiaz, Orietta, Schips, Luigi, Giusti, Guido","International braz j urol; 42(3); 479-486","International braz j urol","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382016000300479&lang=pt" 
