"S0103-05822009000100005-scl","Soropositividade para doença celíaca em crianças e adolescentes com baixa estatura","Gueiros, Ana Carla L. N., Silva, Giselia Alves P.","Revista Paulista de Pediatria; 27(1); 28-32","Revista Paulista de Pediatria","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822009000100005&lang=pt" 
"S0120-53072009000100009-col","Bienestar espiritual de enfermos terminales y de personas aparentemente sanas","Sánchez Herrera, Beatriz","Investigación y Educación en Enfermería; 27(1); 86-95","Investigación y Educación en Enfermería","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072009000100009&lang=pt" 
"S0120-53072009000100008-col","Relaciones contractuales entre las instituciones prestadoras y aseguradoras de servicios de salud del municipio de Medellín, Colombia, 2005-2006","Rodríguez Corredor, Zuly Andrea, Molina Marín, Gloria","Investigación y Educación en Enfermería; 27(1); 78-85","Investigación y Educación en Enfermería","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072009000100008&lang=pt" 
"S1415-47142009000100013-scl","Medicina, educação e psiquiatria para a infância: o Pavilhão-Escola Bourneville no início do século XX","Silva, Renata Prudencio da","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 195-208","Revista Latinoamericana de Psicopatologia Fundamental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100013&lang=pt" 
"S1415-47142009000100017-scl","Apresentação","Lucchesi, Marco","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 225-227","Revista Latinoamericana de Psicopatologia Fundamental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100017&lang=pt" 
"S1415-47142009000100015-scl","As paixões em geral: da sabedoria, livro I, capítulo 20","Charron, Pierre","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 218-220","Revista Latinoamericana de Psicopatologia Fundamental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100015&lang=pt" 
"S1415-47142009000100003-scl","Da perversão à expiação: uma mudança de perspectiva","Frota Neto, Eduardo Hugo, Rudge, Ana Maria","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 31-44","Revista Latinoamericana de Psicopatologia Fundamental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100003&lang=pt" 
"S1415-47142009000100002-scl","Cultura, poder e violência","Neder, Gizlene","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 17-30","Revista Latinoamericana de Psicopatologia Fundamental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100002&lang=pt" 
"S1415-47142009000100014-scl","A subversão das paixões na primeira modernidade: entre psicopatologia e sabedoria","Silva, Paulo José Carvalho da","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 209-217","Revista Latinoamericana de Psicopatologia Fundamental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100014&lang=pt" 
"S1415-47142009000100007-scl","Jacques Lacan vers le réel (1936-1962)","Pellion, Fréderic","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 99-115","Revista Latinoamericana de Psicopatologia Fundamental","Francês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100007&lang=pt" 
"S1415-47142009000100009-scl","Acesso, acolhimento e acompanhamento: três desafios para o cotidiano da clínica em saúde mental","Schmidt, Moema Belloni, Figueiredo, Ana Cristina","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 130-140","Revista Latinoamericana de Psicopatologia Fundamental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100009&lang=pt" 
"S1415-47142009000100001-scl","Perspectivas e desafios para a disseminação em nível internacional para a produção brasileira","Koller, Silvia H.","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 13-16","Revista Latinoamericana de Psicopatologia Fundamental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100001&lang=pt" 
"S1415-47142009000100011-scl","Kraepelin e a questão da manifestação clínica das doenças mentais","Pereira, Mário Eduardo Costa","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 161-166","Revista Latinoamericana de Psicopatologia Fundamental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100011&lang=pt" 
"S1415-47142009000100019-scl","&quot;Não fica louco quem quer&quot;","Gutman, Guilherme","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 233-238","Revista Latinoamericana de Psicopatologia Fundamental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100019&lang=pt" 
"S1415-47142009000100018-scl","Estridente Strindberg","Silva, Daniella Amaral Diniz da","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 228-232","Revista Latinoamericana de Psicopatologia Fundamental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100018&lang=pt" 
"S1415-47142009000100016-scl","Orientações para uma psicanálise contemporânea","Candi, Talya","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 221-224","Revista Latinoamericana de Psicopatologia Fundamental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100016&lang=pt" 
"S1415-47142009000100005-scl","Da empatia à compreensão do lebenswelt (mundo vivido) na psicoterapia humanista-fenomenológica","Moreira, Virginia","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 59-70","Revista Latinoamericana de Psicopatologia Fundamental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100005&lang=pt" 
"S1415-47142009000100006-scl","Weaponization of the body and politicization of death","Movahedi, Siamak","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 71-98","Revista Latinoamericana de Psicopatologia Fundamental","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100006&lang=pt" 
"S1415-47142009000100008-scl","A psicose ordinária e os fenômenos de corpo","Rosa, Márcia","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 116-129","Revista Latinoamericana de Psicopatologia Fundamental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100008&lang=pt" 
"S1415-47142009000100010-scl","Padrão global de discriminação experimentada e antecipada contra pessoas com esquizofrenia: estudo transversal","Thornicroft, Graham, Brohan, Elaine, Rose, Diana, Sartorius, Norman, Leese, Morven","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 141-160","Revista Latinoamericana de Psicopatologia Fundamental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100010&lang=pt" 
"S1415-47142009000100012-scl","As formas de manifestação da insanidade","Kraepelin, Emil","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 167-194","Revista Latinoamericana de Psicopatologia Fundamental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100012&lang=pt" 
"S1415-47142009000100004-scl","As relações entre construção da imagem corporal, função paterna e hiperatividade: reflexões a partir da Pesquisa IRDI","Kupfer, Maria Cristina Machado, Bernardino, Leda Mariza Fischer","Revista Latinoamericana de Psicopatologia Fundamental; 12(1); 45-58","Revista Latinoamericana de Psicopatologia Fundamental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142009000100004&lang=pt" 
"S0100-69162009000100003-scl","Simulação da uniformidade da irrigação de sistemas convencionais de aspersão operando sob diferentes condições de vento","Faria, Lessandro C., Colombo, Alberto, Oliveira, Henrique F. E., Prado, Giuliani do","Engenharia Agrícola; 29(1); 19-27","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000100003&lang=pt" 
"S0100-69162009000100014-scl","Reatores anaeróbios operados em batelada sequencial seguidos de lagoas de polimento para o tratamento de águas residuárias de suinocultura. Parte II: remoção de nutrientes e coliformes","Duda, Rose M., Oliveira, Roberto A. de","Engenharia Agrícola; 29(1); 135-147","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000100014&lang=pt" 
"S0873-21592009000200001-prt","Editorial","Luís, António Segorbe","Revista Portuguesa de Pneumologia; 15(2); 149-150","Revista Portuguesa de Pneumologia","Português","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592009000200001&lang=pt" 
"S0873-21592009000200002-prt","Braquiterapia endoluminal HDR no tratamento de tumores primários ou recidivas na árvore traqueobrônquica","Fortunato, Maria, Feijó, Salvato, Almeida, Telma, Mendonça, Vera, Aguiar, Margarida, Jorge, Marília, Grillo, Isabel Monteiro","Revista Portuguesa de Pneumologia; 15(2); 151-164","Revista Portuguesa de Pneumologia","Português","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592009000200002&lang=pt" 
"S0873-21592009000200003-prt","Abcessos pulmonares: Revisão de 60 casos","Magalhães, Luísa, Valadares, Diana, Oliveira, Júlio R, Reis, Ernestina","Revista Portuguesa de Pneumologia; 15(2); 165-178","Revista Portuguesa de Pneumologia","Português","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592009000200003&lang=pt" 
"S0873-21592009000200005-prt","Influência da função pulmonar e da força muscular na capacidade funcional de portadores de doença pulmonar obstrutiva crónica","Rodrigues, Sérgio Leite, Silva, César Augusto Melo e, Lima, Tereza, Viegas, Carlos Alberto de Assis, Rodrigues, Marcelo Palmeira, Ribeiro, Fernanda Almeida","Revista Portuguesa de Pneumologia; 15(2); 199-214","Revista Portuguesa de Pneumologia","Português","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592009000200005&lang=pt" 
"S0873-21592009000200006-prt","Estudo sobre o impacto do uso de aparelho de emissão de pressão positiva contínua nas vias aéreas superiores na hipersonia diurna em portadores da síndroma de apneia do sono","Franco, Clélia Maria Ribeiro, Bonanni, Juliana Cestaro, Jaguaribe, Anna Myrna, Ataíde Jr, Luiz","Revista Portuguesa de Pneumologia; 15(2); 215-226","Revista Portuguesa de Pneumologia","Português","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592009000200006&lang=pt" 
"S0873-21592009000200007-prt","Traqueostomia: Indicações e complicações em doentes pediátricos","Sousa, Artur, Nunes, Teresa, Farinha, Rosa Roque, Bandeira, Teresa","Revista Portuguesa de Pneumologia; 15(2); 227-239","Revista Portuguesa de Pneumologia","Português","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592009000200007&lang=pt" 
"S0873-21592009000200008-prt","Derrames pleurais parapneumónicos em pediatria: Experiência num hospital central universitário","Soares, Paulo, Barreira, João, Pissarra, Susana, Nunes, Teresa, Azevedo, Inês, Vaz, Luísa","Revista Portuguesa de Pneumologia; 15(2); 241-259","Revista Portuguesa de Pneumologia","Português","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592009000200008&lang=pt" 
"S0873-21592009000200009-prt","Nanoradioliposomes molecularly modulated to study the lung deep lymphatic drainage","Botelho, Maria Filomena Rabaça Roque, Marques, Maria Alcide Tavares, Gomes, Célia Maria Freitas, Silva, Augusto Marques Ferreira da, Bairos, Vasco António Andrade Figueiredo, Rosa, Manuel Amaro de Matos Santos, Abrunhosa, Antero Pena, Lima, João José Pedroso de","Revista Portuguesa de Pneumologia; 15(2); 261-293","Revista Portuguesa de Pneumologia","Inglês","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592009000200009&lang=pt" 
"S0873-21592009000200010-prt","Teste tuberculínico. Como optimizar?","Duarte, Raquel","Revista Portuguesa de Pneumologia; 15(2); 295-304","Revista Portuguesa de Pneumologia","Português","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592009000200010&lang=pt" 
"S0873-21592009000200011-prt","Exacerbação aguda da fibrose pulmonar idiopática","Melo, Natália, Damas, Carla, Moura, Conceição Souto, Morais, António","Revista Portuguesa de Pneumologia; 15(2); 305-312","Revista Portuguesa de Pneumologia","Português","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592009000200011&lang=pt" 
"S0873-21592009000200012-prt","Alveolite alérgica extrínseca com expressão imunológica atípica","Costa, Teresa, Rodrigues, Cidália, Arrobas, Ana","Revista Portuguesa de Pneumologia; 15(2); 313-318","Revista Portuguesa de Pneumologia","Português","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592009000200012&lang=pt" 
"S0873-21592009000200013-prt","Abcessos cerebrais múltiplos - Uma complicação rara de bronquiectasias","Melo, Natália, Diaz-Brito, Vicens, Chamadoira, Clara, Gomes, Isabel, Amorim, Adelina","Revista Portuguesa de Pneumologia; 15(2); 319-324","Revista Portuguesa de Pneumologia","Português","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592009000200013&lang=pt" 
"S0873-21592009000200014-prt","Tuberculose miliar e febre Q em doente imunocompetente","Simões, Sandra, Santos, Arsénio, Vaio, Teresa, Leitão, Sara, Santos, Rui M, Costa, Nascimento","Revista Portuguesa de Pneumologia; 15(2); 325-329","Revista Portuguesa de Pneumologia","Português","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592009000200014&lang=pt" 
"S0873-21592009000200015-prt","Telangiectasia hemorrágica hereditária e malformações arteriovenosas pulmonares - Embolização com rolhão vascular Amplatzer","Santos, Cláudia Sofia, Norte, Ana, Ferreira, Ilda, Almeida, Paulo, Luís, A Segorbe, Loureiro, Mário, Baganha, M Fontes","Revista Portuguesa de Pneumologia; 15(2); 331-337","Revista Portuguesa de Pneumologia","Português","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592009000200015&lang=pt" 
"S0873-21592009000200004-prt","Casuística de quatro anos de uma consulta de apoio ao fumador","Aguiar, M, Todo-Bom, F, Felizardo, M, Macedo, R, Caeiro, F, Sotto-Mayor, R, Almeida, A Bugalho de","Revista Portuguesa de Pneumologia; 15(2); 179-197","Revista Portuguesa de Pneumologia","Português","2009","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592009000200004&lang=pt" 
"S0376-78922009000100016-esp","Reparación quirúrgica de fístula traqueocutánea y de cicatriz postraqueotomía mediante colgajo dermograso de rotación","Passos da Rocha, F., Franchini Torres, V.","Cirugía Plástica Ibero-Latinoamericana; 35(1); 85-88","Cirugía Plástica Ibero-Latinoamericana","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0376-78922009000100016&lang=pt" 
"S0100-69162009000100001-scl","Desenvolvimento e validação de um modelo matemático para o cálculo da área superficial de frangos de corte","Silva, Eberson, Yanagi Júnior, Tadayuki, Braga Júnior, Roberto A., Lopes, Marcos A., Damasceno, Flávio A., Silva, Gleice C. A. E","Engenharia Agrícola; 29(1); 1-7","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000100001&lang=pt" 
"S0100-69162009000100006-scl","Estimativa da evapotranspiração a partir de variação de nível estático de aquífero","Barreto, Carlos E. A. G., Wendland, Edson, Marcuzzo, Francisco F. N.","Engenharia Agrícola; 29(1); 52-61","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000100006&lang=pt" 
"S0100-69162009000100016-scl","Caracterização da produção agroecológica do sul do Rio Grande do Sul e sua relação com a mecanização agrícola","Teixeira, Sandro S., Machado, Antônio L. T., Reis, Ângelo V. dos, Oldoni, André","Engenharia Agrícola; 29(1); 162-171","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000100016&lang=pt" 
"S0100-69162009000100004-scl","Perda de carga localizada em emissores não coaxiais integrados a tubos de polietileno","Rettore Neto, Osvaldo, Frizzone, José A., Miranda, Jarbas H., Botrel, Tarlei A.","Engenharia Agrícola; 29(1); 28-39","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000100004&lang=pt" 
"S0100-69162009000100005-scl","Aspectos lineares e espaciais da correlação entre a produtividade de forragem de milho e a porosidade do solo sob plantio direto","Lima, Ronaldo C., Mello, Luiz M. M. de, Carvalho, Morel de P. e, Lima, Cesar G. da R., Mello, Arthur M. de","Engenharia Agrícola; 29(1); 40-51","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000100005&lang=pt" 
"S0100-69162009000100009-scl","Qualidade de sementes de feijão colhidas por colhedora autopropelida em sistema semimecanizado","Tertuliano, Paulo C., Souza, Cristiano M. A. de, Rafull, Leidy Z. L., Souza, Luiz C. F. de, Robaina, Antônio D.","Engenharia Agrícola; 29(1); 81-90","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000100009&lang=pt" 
"S0100-69162009000100010-scl","Armazenamento de soja em silos tipo bolsa","Faroni, Lêda R. A., Alencar, Ernandes R. de, Paes, Juliana L., Costa, André R. da, Roma, Rafaela C. C.","Engenharia Agrícola; 29(1); 91-100","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000100010&lang=pt" 
"S0100-69162009000100011-scl","Modelo para estimativa do potencial produtivo em trigo e cevada por meio do sensor GreenSeeker","Grohs, Daniel S., Bredemeier, Christian, Mundstock, Claudio M., Poletto, Naracelis","Engenharia Agrícola; 29(1); 101-112","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000100011&lang=pt" 
"S0100-69162009000100012-scl","Tratamento anaeróbio de resíduos orgânicos com baixa concentração de sólidos","Luna, Maria L. D. de, Leite, Valderi D., Lopes, Wilton S., Sousa, José T. de, Silva, Salomão A.","Engenharia Agrícola; 29(1); 113-121","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000100012&lang=pt" 
"S0100-69162009000100013-scl","Reatores anaeróbios operados em batelada sequencial, seguidos de lagoas de polimento, para o tratamento de águas residuárias de suinocultura. Parte I: produção de metano e remoção de DQO e de sólidos suspensos","Duda, Rose M., Oliveira, Roberto A. de","Engenharia Agrícola; 29(1); 122-134","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000100013&lang=pt" 
"S0100-69162009000100015-scl","Remoção de matéria orgânica, de nutrientes e de coliformes no processo anaeróbio em dois estágios (reator compartimentado seguido de reator UASB) para o tratamento de águas residuárias de suinocultura","Abreu Neto, Mário S. de, Oliveira, Roberto A. de","Engenharia Agrícola; 29(1); 148-161","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000100015&lang=pt" 
"S0100-69162009000100002-scl","Perdas de solo e nutrientes por erosão num Argissolo com resíduos vegetais de cana-de-açúcar","Martins Filho, Marcílio V., Liccioti, Thiago T., Pereira, Gener T., Marques Júnior, José, Sanchez, Rodrigo B.","Engenharia Agrícola; 29(1); 8-18","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000100002&lang=pt" 
"S0100-204X2009000300008-scl","Controle genético do comprimento do pedúnculo em feijão-caupi","Rocha, Maurisrael de Moura, Carvalho, Kênnya Jhouanny Martins de, Freire Filho, Francisco Rodrigues, Lopes, Ângela Celis de Almeida, Gomes, Regina Lúcia Ferreira, Sousa, Iradenia da Silva","Pesquisa Agropecuária Brasileira; 44(3); 270-275","Pesquisa Agropecuária Brasileira","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2009000300008&lang=pt" 
"S0073-47212009000100009-scl","Suscetibilidade de operárias e larvas de abelhas sociais em relação à ricinina","Rother, Débora C., Souza, Tiago F., Malaspina, Osmar, Bueno, Odair C., Silva, Maria de Fátima das G. F. da, Vieira, Paulo C., Fernandes, João B.","Iheringia. Série Zoologia; 99(1); 61-65","Iheringia. Série Zoologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212009000100009&lang=pt" 
"S0073-47212009000100002-scl","Abundância, distribuição espacial de ninhos de abelhas Meliponina (Hymenoptera, Apidae, Apini) e espécies vegetais utilizadas para nidificação em áreas de cerrado do Maranhão","Serra, Bruna D. V., Drummond, Murilo S., Lacerda, Lenira de M., Akatsu, Ivan P.","Iheringia. Série Zoologia; 99(1); 12-17","Iheringia. Série Zoologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212009000100002&lang=pt" 
"S0073-47212009000100003-scl","Variação temporal do zooplâncton da Praia de Tramandaí, Rio Grande do Sul, com ênfase em Copepoda","Avila, Tatiana R., Pedrozo, Catarina S., Bersano, José Guilherme F.","Iheringia. Série Zoologia; 99(1); 18-26","Iheringia. Série Zoologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212009000100003&lang=pt" 
"S0073-47212009000100004-scl","Ascídias (Tunicata, Ascidiacea) introduzidas no Arquipélago de Alcatrazes, São Paulo","Rocha, Rosana M. da, Bonnet, Nadia Y. K.","Iheringia. Série Zoologia; 99(1); 27-35","Iheringia. Série Zoologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212009000100004&lang=pt" 
"S0123-12942009000100010-col","Liderazgo y conflicto en las organizaciones educativas","Pareja Fernández de la Reguera, José Antonio","Educación y Educadores; 12(1); 137-152","Educación y Educadores","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942009000100010&lang=pt" 
"S0123-12942009000100011-col","Universidades populares en España y su relación con la universidad suramericana","López-Núñez, Juan Antonio, Lorenzo-Martín, Manuel Enrique","Educación y Educadores; 12(1); 153-167","Educación y Educadores","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942009000100011&lang=pt" 
"S0123-12942009000100009-col","La cooperación en educación: una visión organizativa de la escuela","Escorcia-Caballero, Rolando, Gutiérrez-Moreno, Alex","Educación y Educadores; 12(1); 121-133","Educación y Educadores","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942009000100009&lang=pt" 
"S0123-12942009000100008-col","Formación profesional: sistema educativo y empresa","Sotés-Elizalde, María Ángeles","Educación y Educadores; 12(1); 109-118","Educación y Educadores","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942009000100008&lang=pt" 
"S0123-12942009000100003-col","La pertinencia curricular: un estudio en tres programas universitarios","Malagón-Plata, Luis Alberto","Educación y Educadores; 12(1); 11-27","Educación y Educadores","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942009000100003&lang=pt" 
"S0123-12942009000100002-col","Reseña de la obra pictórica de Amparo G. de Aponte","","Educación y Educadores; 12(1); 8-8","Educación y Educadores","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942009000100002&lang=pt" 
"S0123-12942009000100001-col","Presentación","Parra M, Ciro H","Educación y Educadores; 12(1); 7-7","Educación y Educadores","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942009000100001&lang=pt" 
"S0123-12942009000100007-col","Subjetividad y subjetivación de las prácticas pedagógicas en la universidad","Patiño-Garzón, Luceli, Rojas-Betancur, Mauricio","Educación y Educadores; 12(1); 93-105","Educación y Educadores","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942009000100007&lang=pt" 
"S0123-12942009000100006-col","Función versus institución: imaginarios de profesores y estudiantes universitarios","Murcia-Peña, Napoleón, Pintos De Cea Naharro, Juan Luís, Ospina-Serna, Héctor Fabio","Educación y Educadores; 12(1); 63-91","Educación y Educadores","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942009000100006&lang=pt" 
"S0123-12942009000100005-col","Identidad personal y profesional de los docentes de preescolar en el distrito de Santa Marta","Mieles-Barrera, María Dilia, Henríquez-Linero, Iliana Margarita, Sánchez-Castellón, Ligia María","Educación y Educadores; 12(1); 43-59","Educación y Educadores","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942009000100005&lang=pt" 
"S0123-12942009000100004-col","Cartografías contemporáneas de la investigación","Castaño-Giraldo, Etna, Fonseca-Díaz, Andrés David","Educación y Educadores; 12(1); 29-42","Educación y Educadores","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942009000100004&lang=pt" 
"S0798-72692009000200012-ven","Evaluación de un programa de control selectivo en becerros doble propósito infectados con estróngilos digestivos","Sandoval, Espartaco, Morales, Gustavo, Jiménez, Delia, Pino, Luz A, Marquez, Oswaldo","Zootecnia Tropical; 27(2); 215-219","Zootecnia Tropical","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692009000200012&lang=pt" 
"S0798-72692009000200011-ven","Prevalencia de Isospora suis en granjas porcinas intensivas ubicadas en el estado Aragua, Venezuela","Pinilla León, Juan C","Zootecnia Tropical; 27(2); 205-213","Zootecnia Tropical","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692009000200011&lang=pt" 
"S0798-72692009000200010-ven","Contribución al conocimiento de los macromoluscos bentónicos asociados a la pepitona, Arca zebra (Swainson, 1833), del banco natural de Chacopata, Península de Araya, Venezuela","Berenice, Licet, Vanesa, Acosta, Antulio, Prieto, Natividad, Garcia","Zootecnia Tropical; 27(2); 195-203","Zootecnia Tropical","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692009000200010&lang=pt" 
"S0798-72692009000200008-ven","Efecto de la edad de la codorniz (Coturnix coturnix japonica) y del aturdimiento eléctrico al momento del beneficio sobre las características de la canal","Cori, Marta E, De Basilio, Vasco, Figueroa Ruiz, Rosana, Michelangeli, Coromoto, Galíndez, Rafael, García, Jhonel","Zootecnia Tropical; 27(2); 175-185","Zootecnia Tropical","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692009000200008&lang=pt" 
"S0798-72692009000200009-ven","Influencia del contenido proteico en el crecimiento de alevines de bagre yaque, Leiarius marmoratus, alimentados con concentrados comerciales","Mora Sánchez, José A, Moyetones, Francis, Jover Cerdá, Miguel","Zootecnia Tropical; 27(2); 187-194","Zootecnia Tropical","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692009000200009&lang=pt" 
"S0798-72692009000200004-ven","Composición química de la pulpa de café a diferentes tiempos de ensilaje para su uso potencial en la alimentación animal","Noriega Salazar, Adrianyela, Silva Acuña, Ramón, García de Salcedo, Moraima","Zootecnia Tropical; 27(2); 135-141","Zootecnia Tropical","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692009000200004&lang=pt" 
"S0798-72692009000200005-ven","Respuesta agronómica de cultivares de caña de azúcar con potencial forrajero a diferentes intervalos de corte en Yaracuy, Venezuela","Ruiz Silvera, Carlos, Urdaneta, July, Borges, Jorge, Verde, Omar","Zootecnia Tropical; 27(2); 143-150","Zootecnia Tropical","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692009000200005&lang=pt" 
