"S0034-89101986000300009-spa","Identificação de Aedes (Stegomyia) Albopictus (Skuse) no Brasil","Forattini, Oswaldo Paulo","Revista de Saúde Pública; 20(3); 244-245","Revista de Saúde Pública","Inglês, Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000300009&lang=pt" 
"S0102-311X1986000100005-scl","Situação atual da detecção precoce do câncer cérvico-uterino no Brasil","Aquino, Estela Maria Leão de, Carvalho, Antonio Ivo de, Faerstein, Eduardo, Ribeiro, Dora Chor de Souza","Cadernos de Saúde Pública; 2(1); 53-65","Cadernos de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X1986000100005&lang=pt" 
"S0102-311X1986000100006-scl","AIDS: o que fazer?","Castro, Bernardo Galvão, Pereira, Gelli, Souza, Herber de","Cadernos de Saúde Pública; 2(1); 66-83","Cadernos de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X1986000100006&lang=pt" 
"S0102-311X1986000100001-scl","Saúde e nutrição: os grandes desafios","Arruda, Bertoldo Kruse Grande de","Cadernos de Saúde Pública; 2(1); 9-12","Cadernos de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X1986000100001&lang=pt" 
"S0102-311X1986000100008-scl","","Canesqui, Ana Maria","Cadernos de Saúde Pública; 2(1); 104-106","Cadernos de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X1986000100008&lang=pt" 
"S0102-311X1986000100004-scl","Isolamento do Histoplasma capsulatum de animais silvestres no município do Rio de Janeiro","Zancopé-Oliveira, Rosely Maria, Wanke, Bodo","Cadernos de Saúde Pública; 2(1); 42-52","Cadernos de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X1986000100004&lang=pt" 
"S0102-311X1986000100009-scl","Qual é a questão do controle da natalidade","Kloetzel, Kurt","Cadernos de Saúde Pública; 2(1); 106-106","Cadernos de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X1986000100009&lang=pt" 
"S0102-311X1986000100007-spa","Perspectivas de controle da doença de Chagas no Brasil","Dias, João Carlos Pinto","Cadernos de Saúde Pública; 2(1); 84-103","Cadernos de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X1986000100007&lang=pt" 
"S0102-311X1986000100004-spa","Isolamento do Histoplasma capsulatum de animais silvestres no município do Rio de Janeiro","Zancopé-Oliveira, Rosely Maria, Wanke, Bodo","Cadernos de Saúde Pública; 2(1); 42-52","Cadernos de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X1986000100004&lang=pt" 
"S0102-311X1986000100002-spa","A hospitalização como fator de seleção em estudo de casos e controles","Klein, Carlos Henrique","Cadernos de Saúde Pública; 2(1); 13-18","Cadernos de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X1986000100002&lang=pt" 
"S0102-311X1986000100001-spa","Saúde e nutrição: os grandes desafios","Arruda, Bertoldo Kruse Grande de","Cadernos de Saúde Pública; 2(1); 9-12","Cadernos de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X1986000100001&lang=pt" 
"S0102-311X1986000100009-spa","Qual é a questão do controle da natalidade","Kloetzel, Kurt","Cadernos de Saúde Pública; 2(1); 106-106","Cadernos de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X1986000100009&lang=pt" 
"S0102-311X1986000100008-spa","","Canesqui, Ana Maria","Cadernos de Saúde Pública; 2(1); 104-106","Cadernos de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X1986000100008&lang=pt" 
"S0102-311X1986000100010-spa","Aos nossos leitores e colaboradores","","Cadernos de Saúde Pública; 2(1); 107-108","Cadernos de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X1986000100010&lang=pt" 
"S0102-311X1986000100005-spa","Situação atual da detecção precoce do câncer cérvico-uterino no Brasil","Aquino, Estela Maria Leão de, Carvalho, Antonio Ivo de, Faerstein, Eduardo, Ribeiro, Dora Chor de Souza","Cadernos de Saúde Pública; 2(1); 53-65","Cadernos de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X1986000100005&lang=pt" 
"S0102-311X1986000100006-spa","AIDS: o que fazer?","Castro, Bernardo Galvão, Pereira, Gelli, Souza, Herber de","Cadernos de Saúde Pública; 2(1); 66-83","Cadernos de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X1986000100006&lang=pt" 
"S0102-311X1986000100003-spa","Mortalidade por causas externas no estado do Rio de Janeiro no período de 1976 a 1980","Szwarcwald, Célia Landmann, Castilho, Euclides Ayres de","Cadernos de Saúde Pública; 2(1); 19-41","Cadernos de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X1986000100003&lang=pt" 
"S0102-311X1986000100003-scl","Mortalidade por causas externas no estado do Rio de Janeiro no período de 1976 a 1980","Szwarcwald, Célia Landmann, Castilho, Euclides Ayres de","Cadernos de Saúde Pública; 2(1); 19-41","Cadernos de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X1986000100003&lang=pt" 
"S0102-311X1986000100007-scl","Perspectivas de controle da doença de Chagas no Brasil","Dias, João Carlos Pinto","Cadernos de Saúde Pública; 2(1); 84-103","Cadernos de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X1986000100007&lang=pt" 
"S0036-46651986000100012-scl","","","Revista do Instituto de Medicina Tropical de São Paulo; 28(1); 65-66","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000100012&lang=pt" 
"S0036-46651986000100011-scl","Síndrome de compressão da veia cava inferior na paracoccidioidomicose","Carvalho, Silvino Alves de, Cerri, Giovanni Guido, Shiroma, Mario, Shikanai-Yasuda, Maria Aparecida, Barone, Antonio Alci, Amato Neto, Vicente","Revista do Instituto de Medicina Tropical de São Paulo; 28(1); 61-64","Revista do Instituto de Medicina Tropical de São Paulo","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000100011&lang=pt" 
"S0036-46651986000100004-scl","Ação de raios gama sobre formas sanguícolas de Trypanosoma cruzi: estudo experimental em camundongos","Takeda, Gentilda K. F., Campos, Rubens, Kieffer, Julio, Moreira, Antonio Augusto B., Amato Neto, Vicente, Castilho, Vera Lúcia P., Pinto, Pedro Luiz S., Duarte, Maria Irma Seixas","Revista do Instituto de Medicina Tropical de São Paulo; 28(1); 15-18","Revista do Instituto de Medicina Tropical de São Paulo","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000100004&lang=pt" 
"S0036-46651986000100003-scl","Efeito da talidomida sobre os níveis séricos de imunoglobulinas IgM e IgA, fator reumatóide e isohemaglutinina anti-A e anti-B em pacientes com lepra lepromatosa: um estudo duplo-cego","Arruda, Walter Oleschko, Hacbarth, Elisa, Döi, Elvira, Santa-Maria, Jesus R., Barbosa, Jânio, Kajdacsy-Balla, André A.","Revista do Instituto de Medicina Tropical de São Paulo; 28(1); 12-14","Revista do Instituto de Medicina Tropical de São Paulo","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000100003&lang=pt" 
"S0036-46651986000100001-scl","Evaluacion de un conjugado antirrabico por titulacion en diferentes microscopios fluorescentes","Larghi, O. P., Oliva-Pinheiro, O., Gonzalez-Luarca, E.","Revista do Instituto de Medicina Tropical de São Paulo; 28(1); 2-5","Revista do Instituto de Medicina Tropical de São Paulo","Espanhol","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000100001&lang=pt" 
"S0036-46651986000100002-scl","Pesquisa de anticorpos IgM anti-Toxoplasma gondii por meio de técnica imunoenzimática reversa","Mineo, José Roberto, Camargo, Mário Endsfeldz, Ferreira, Antonio Walter, Almeida, Gastão","Revista do Instituto de Medicina Tropical de São Paulo; 28(1); 6-11","Revista do Instituto de Medicina Tropical de São Paulo","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000100002&lang=pt" 
"S0036-46651986000100005-scl","Paracoccidioidomicose enzoótica em tatus (Dasypus novemcinctus) no estado do Pará","Naiff, Roberto D., Ferreira, Luiz C. L., Barrett, Toby V., Naiff, Maricleide F., Arias, Jorge R.","Revista do Instituto de Medicina Tropical de São Paulo; 28(1); 19-27","Revista do Instituto de Medicina Tropical de São Paulo","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000100005&lang=pt" 
"S0036-46651986000100009-scl","Acute pulmonary histoplasmosis and first isolation of Histoplasma capsulatum from soil of Rio Grande do Sul, Brazil","Severo, L. C., Petrillo, V. F., Camargo, J. J., Geyer, G. R., Porto, N. S.","Revista do Instituto de Medicina Tropical de São Paulo; 28(1); 51-55","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000100009&lang=pt" 
"S0036-46651986000100008-scl","Comprometimento hepático na brucelose humana. Apresentação de 2 casos clínicos","Pignatari, Antonio Carlos Campos, Castelo Filho, Adauto, Stavale, João Norberto, Matas, Sandro Luiz de Andrade, Jamnik, Sergio, Kim, Su Bong","Revista do Instituto de Medicina Tropical de São Paulo; 28(1); 46-50","Revista do Instituto de Medicina Tropical de São Paulo","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000100008&lang=pt" 
"S0036-46651986000100010-scl","Paracoccidioidomicose genital feminina. Descrição de um caso clínico","Campos, E. P., Torchio, L. N., Lima, P. R. L., Gomes, F. C. B., Feracin, A. C. M., Schellini, R. C., Bacchi, C. E.","Revista do Instituto de Medicina Tropical de São Paulo; 28(1); 56-60","Revista do Instituto de Medicina Tropical de São Paulo","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000100010&lang=pt" 
"S0036-46651986000100006-scl","Dinâmica da transmissão do Trypanosoma cruzi numa área rural da Argentina. 1 — Os cães como reservatórios: um perfil epidemiológico","Gürtler, Ricardo E., Lauricelia, Marta, Solakz, Nora D., Bujas, Marcos A., Wisnivesky-Colli, Cristina","Revista do Instituto de Medicina Tropical de São Paulo; 28(1); 28-35","Revista do Instituto de Medicina Tropical de São Paulo","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000100006&lang=pt" 
"S0036-46651986000100007-scl","Efeito do Mycobacterium bovis BCG, lipopolissacarideo bacteriano e hidrocortisona no desenvolvimento de imunidade ao Plasmodium berghei em camundongos","Ferraroni, José J., Douglass, Thomas G., Speer, Clarence A.","Revista do Instituto de Medicina Tropical de São Paulo; 28(1); 36-45","Revista do Instituto de Medicina Tropical de São Paulo","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46651986000100007&lang=pt" 
"S0034-89101986000100004-scl","Pesquisa de ovos de helmintos e de cistos de protozoários em dinheiro","Levai, Eduardo Virgilio, Amato Neto, Vicente, Campos, Rubens, Pinto, Pedro Luiz Silva, Moreira, Antonio Augusto Baillot, Sant&#039;Ana, Eunice José de, Padilha, Liliana Aparecida Araújo","Revista de Saúde Pública; 20(1); 33-36","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000100004&lang=pt" 
"S0034-89101986000100008-scl","Ruralização da Lutzomyia intermedia, um provável caso de pré-adaptação","Lima, Lais Clark","Revista de Saúde Pública; 20(1); 102-104","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000100008&lang=pt" 
"S0034-89101986000100006-scl","Educação nutricional na escola do primeiro grau: uma proposição para Pernambuco (Brasil)","Lima, Eronides da Silva, Monteiro, Emília Aureliano de Alencar, Andrade, Astrogilda Paes de","Revista de Saúde Pública; 20(1); 62-82","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000100006&lang=pt" 
"S0034-89101986000100009-scl","Epidemiologistas se posicionam contra armas nucleares","","Revista de Saúde Pública; 20(1); 105-106","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000100009&lang=pt" 
"S0034-89101986000100003-scl","A inadequação dos exames radiológicos periódicos indiscriminados em saúde ocupacional: resultados do censo de 1984 em uma empresa de grande porte","Algranti, Eduardo, Ali, Salim Amed, Cuginotti, Aloisio Punhagui","Revista de Saúde Pública; 20(1); 26-32","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000100003&lang=pt" 
"S0034-89101986000100002-scl","Informações que antecederam o diagnóstico de tuberculose pulmonar e tempo decorrido até o início do tratamento em pacientes matriculados em Centro de Saúde, São Paulo (Brasil)","Job, José Roberto Pretel Pereira, Gozzano, José Otávio Alquezar, Bernardes Júnior, Odilon Ribeiro, Garcia, Regina Helena, Miralhes, Otávio José Castanha, Miranda, Marco Aurélio Perosa de","Revista de Saúde Pública; 20(1); 21-25","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000100002&lang=pt" 
"S0034-89101986000100008-spa","Ruralização da Lutzomyia intermedia, um provável caso de pré-adaptação","Lima, Lais Clark","Revista de Saúde Pública; 20(1); 102-104","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000100008&lang=pt" 
"S0034-89101986000100006-spa","Educação nutricional na escola do primeiro grau: uma proposição para Pernambuco (Brasil)","Lima, Eronides da Silva, Monteiro, Emília Aureliano de Alencar, Andrade, Astrogilda Paes de","Revista de Saúde Pública; 20(1); 62-82","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000100006&lang=pt" 
"S0034-89101986000100004-spa","Pesquisa de ovos de helmintos e de cistos de protozoários em dinheiro","Levai, Eduardo Virgilio, Amato Neto, Vicente, Campos, Rubens, Pinto, Pedro Luiz Silva, Moreira, Antonio Augusto Baillot, Sant&#039;Ana, Eunice José de, Padilha, Liliana Aparecida Araújo","Revista de Saúde Pública; 20(1); 33-36","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000100004&lang=pt" 
"S0034-89101986000100010-spa","Errata","","Revista de Saúde Pública; 20(1); -","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000100010&lang=pt" 
"S0034-89101986000100009-spa","Epidemiologistas se posicionam contra armas nucleares","","Revista de Saúde Pública; 20(1); 105-106","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000100009&lang=pt" 
"S0034-89101986000100003-spa","A inadequação dos exames radiológicos periódicos indiscriminados em saúde ocupacional: resultados do censo de 1984 em uma empresa de grande porte","Algranti, Eduardo, Ali, Salim Amed, Cuginotti, Aloisio Punhagui","Revista de Saúde Pública; 20(1); 26-32","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000100003&lang=pt" 
"S0034-89101986000100002-spa","Informações que antecederam o diagnóstico de tuberculose pulmonar e tempo decorrido até o início do tratamento em pacientes matriculados em Centro de Saúde, São Paulo (Brasil)","Job, José Roberto Pretel Pereira, Gozzano, José Otávio Alquezar, Bernardes Júnior, Odilon Ribeiro, Garcia, Regina Helena, Miralhes, Otávio José Castanha, Miranda, Marco Aurélio Perosa de","Revista de Saúde Pública; 20(1); 21-25","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000100002&lang=pt" 
"S0034-89101986000100001-spa","Observações sobre atividade de mosquitos Culicidae em mata primitiva da encosta no Vale do Ribeira, São Paulo, Brasil","Forattini, Oswaldo Paulo, Alves, Almério de Castro, Natal, Délsio, Santos, Jair Lício Ferreira","Revista de Saúde Pública; 20(1); 1-20","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000100001&lang=pt" 
"S0034-89101986000100001-scl","Observações sobre atividade de mosquitos Culicidae em mata primitiva da encosta no Vale do Ribeira, São Paulo, Brasil","Forattini, Oswaldo Paulo, Alves, Almério de Castro, Natal, Délsio, Santos, Jair Lício Ferreira","Revista de Saúde Pública; 20(1); 1-20","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000100001&lang=pt" 
"S0034-89101986000100005-scl","A Técnica Q - como instrumento de medida na área da educação em saúde","Balduino, Maria Aparecida, Lessa, Zenaide Lázara","Revista de Saúde Pública; 20(1); 37-61","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000100005&lang=pt" 
"S0034-89101986000100007-scl","Aspectos sócio-econômicos da desnutrição no Brasil","Campino, Antonio Carlos Coelho","Revista de Saúde Pública; 20(1); 83-101","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000100007&lang=pt" 
"S0034-89101986000100005-spa","A Técnica Q - como instrumento de medida na área da educação em saúde","Balduino, Maria Aparecida, Lessa, Zenaide Lázara","Revista de Saúde Pública; 20(1); 37-61","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000100005&lang=pt" 
"S0034-89101986000100007-spa","Aspectos sócio-econômicos da desnutrição no Brasil","Campino, Antonio Carlos Coelho","Revista de Saúde Pública; 20(1); 83-101","Revista de Saúde Pública","Português","1986","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89101986000100007&lang=pt" 
"S0034-89101986000100010-scl","Errata","","Revista de Saúde Pública; 20(1); -","Revista de Saúde Pública","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89101986000100010&lang=pt" 
"S0370-41061986000100008-chl","Anticuerpos Contra Virus Rubéola y Herpes en Mujeres que Atienden Recién Nacidos Hospitalizados","Montero B, Tamara, Banaza C, Pamela, Suárez G, Mónica, Avendaño C, Luis F","Revista chilena de pediatría; 57(1); 46-50","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000100008&lang=pt" 
"S0370-41061986000100001-chl","Alteraciones Hematológicas de la Fiebre Tifoidea","Becker K, Ana, Duran G, lima, Larco C, Rafael, Taboada L, Hernan","Revista chilena de pediatría; 57(1); 13-17","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000100001&lang=pt" 
"S0370-41061986000100002-chl","Correlaciones entre la Edad de Menarquia y Variables Hematológicas en Niñas del Área Norte de Santiago","Trujillo V, Sergio, Valenzuela Y, Carlos","Revista chilena de pediatría; 57(1); 18-21","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000100002&lang=pt" 
"S0370-41061986000100003-chl","Estudio Exploratorio sobre una Escala de Auto evaluación para la Depresión en Niños y Adolescentes","Álvarez M, Eliana, Guajardo S, Humberto, Messen H, Ricardo","Revista chilena de pediatría; 57(1); 21-25","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000100003&lang=pt" 
"S0370-41061986000100007-chl","Función Renal en Recién Nacidos de Termino y Pretérmino Durante el Segundo Día de Vida","Olavarría U, Fernando, Krause H, Sergio, Barranco C, Luis, Harding I, Carmen, Lopez N, Maria I","Revista chilena de pediatría; 57(1); 39-45","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000100007&lang=pt" 
"S0370-41061986000100011-chl","Lupus Eritematoso Neonatal: Bloqueo Aurículo-Ventricular Complete","González M, Benito, Álvarez L, Jorge","Revista chilena de pediatría; 57(1); 61-63","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000100011&lang=pt" 
"S0370-41061986000100012-chl","Pericarditis y Vasculitis Secundarias a la Administración de Propiltiouracilo","Gleisner E, Andrea, Wilhelm P, Vera","Revista chilena de pediatría; 57(1); 64-66","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000100012&lang=pt" 
"S0370-41061986000100013-chl","Quiste Renal Simple","Hannig K, Sonia, del Valle M, Marisa, Iglesias C, Mónica, Cerón C, Alejandra, Izzo S, Cesar","Revista chilena de pediatría; 57(1); 67-69","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000100013&lang=pt" 
"S0370-41061986000100004-chl","Uretrocistografía, Efectos Colaterales y Prevención de Infecciones Secundarias: Secondary Effects and Prevention of Related Infections","Vargas M, Belisario, García V, Gonzalo, Prado H, Gladys, Castellon T, Patricia, Vasquez D, Franka, Aramayo F, Simona, Zapata Q, Isabel, Lopez I, Nilsa, Candia P, Sandra, Mondaca N, Lorena, Gutierrez G, Alicia, Caceres E, Juana","Revista chilena de pediatría; 57(1); 26-30","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000100004&lang=pt" 
"S0370-41061986000100005-chl","Biopsia Endoscopica del Yeyuno","Kirberg B, Arturo, Latorre L, Juan José, Paves U, Gastón, Benard S, Denise, Aguilar T, Enriqueta","Revista chilena de pediatría; 57(1); 31-34","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000100005&lang=pt" 
"S0370-41061986000100006-chl","Riñón Poliquístico Infantil","Barrera V, Magaly, Quezada S, Laura","Revista chilena de pediatría; 57(1); 35-38","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000100006&lang=pt" 
"S0370-41061986000100009-chl","Seguimiento de Niños con Peso de Nacimiento Inferior A 1.500g.","Weldt S, Elizabeth, Hering A, Enrique, Valenzuela M, Bolívar, Angulo M, Gloria, Neira G, Ana","Revista chilena de pediatría; 57(1); 51-56","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000100009&lang=pt" 
"S0370-41061986000100010-chl","Enfermedad de Von Willebrand: Utilidad Diagnostica de la Prueba de Tolerancia al Acido Acetilsalicílico","Ríos L, Ernesto, Marzouka B, Esperanza, Cataldo T, Cecilia","Revista chilena de pediatría; 57(1); 57-60","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000100010&lang=pt" 
"S0370-41061986000100014-chl","Pancreatitis Traumática","Saelzer W, Eric, Aldunate N, Gustavo, Almarza B, Isabel, Alarcon O, Teresa","Revista chilena de pediatría; 57(1); 70-73","Revista chilena de pediatría","Espanhol","1986","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41061986000100014&lang=pt" 
"S0102-695X1986000100006-scl","Morfodiagnose de Mikania laevigata Schultz Bip. ex Baker - guaco-do-mato - estudo do Axófito","Oliveira, Fernando de, Akisue, Gokithi, Akisue, Maria K., Jorge, Luzia Ilza Ferreira","Revista Brasileira de Farmacognosia; 1(1); 45-57","Revista Brasileira de Farmacognosia","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X1986000100006&lang=pt" 
"S0102-695X1986000100010-scl","Pfaffia paniculata (Martius) Kuntze: o ginseng-brasileiro","Oliveira, Fernando de","Revista Brasileira de Farmacognosia; 1(1); 86-92","Revista Brasileira de Farmacognosia","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X1986000100010&lang=pt" 
"S0102-695X1986000100002-scl","Características físicas e químicas do extrato fluido de Cordia ecalyoulata Vell - Boragináceae","Saito, Maria Lúcia, Oliveira, Fernando de","Revista Brasileira de Farmacognosia; 1(1); 3-11","Revista Brasileira de Farmacognosia","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X1986000100002&lang=pt" 
"S0102-695X1986000100001-scl","É preciso acreditar","Oliveira, Fernando de","Revista Brasileira de Farmacognosia; 1(1); 1-2","Revista Brasileira de Farmacognosia","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X1986000100001&lang=pt" 
"S0102-695X1986000100003-scl","Composição química da própolis: vitaminas e aminoácidos","Moreira, Telma Franco","Revista Brasileira de Farmacognosia; 1(1); 12-19","Revista Brasileira de Farmacognosia","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X1986000100003&lang=pt" 
"S0102-695X1986000100004-scl","Morfodiagnose das folhas e das partes reprodutivas de Mikania laevigata Schultz Blp. ex Baker","Oliveira, Fernando de, Akisue, Gokithi, Akisue, Maria K., Jorge, Luzia Ilza Ferreira","Revista Brasileira de Farmacognosia; 1(1); 20-34","Revista Brasileira de Farmacognosia","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X1986000100004&lang=pt" 
"S0102-695X1986000100005-scl","Identificação de alcalóides xantínicos do guaraná (Paullinia cupana KBK) por cromatografia em camada delgada em amostras de urina","Mousinho, Maurílio de Carvalho, Oliveira, Fernando de","Revista Brasileira de Farmacognosia; 1(1); 35-44","Revista Brasileira de Farmacognosia","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X1986000100005&lang=pt" 
"S0102-695X1986000100007-scl","Caracterização farmacognóstica da pata-de-vaca Bauhinia forficata Link","Miyake, Edna Tomiko, Akisue, Gokithi, Akisue, Maria Kubota","Revista Brasileira de Farmacognosia; 1(1); 58-68","Revista Brasileira de Farmacognosia","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X1986000100007&lang=pt" 
"S0102-695X1986000100008-scl","Princípios tóxicos e alucinogênicos de cogumelos","Ferro, Vicente de Oliveira","Revista Brasileira de Farmacognosia; 1(1); 69-73","Revista Brasileira de Farmacognosia","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X1986000100008&lang=pt" 
"S0102-695X1986000100009-scl","Confrei: virtudes e problemas","Saito, Maria Lúcia, Oliveira, Fernando de","Revista Brasileira de Farmacognosia; 1(1); 74-85","Revista Brasileira de Farmacognosia","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X1986000100009&lang=pt" 
"S0102-695X1986000100012-scl","Considerações sobre a pariparoba oficial Pothomorphe umbellata (L.) Miq.","Moraes, Marlene Silva","Revista Brasileira de Farmacognosia; 1(1); 101-108","Revista Brasileira de Farmacognosia","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X1986000100012&lang=pt" 
"S0102-695X1986000100011-scl","Ação anti-úlcera e cicatrizante de algumas plantas brasileiras","Bacchi, Elfriede Marianne","Revista Brasileira de Farmacognosia; 1(1); 93-100","Revista Brasileira de Farmacognosia","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X1986000100011&lang=pt" 
