"S1413-86702008000200002-scl","Congenital toxoplasmosis: public health policy concerns","Vanni, Tazio, Ribeiro, Rodrigo A., Varella, Ivana S., Polanczyk, Carisi A., Fonseca, Benedito A. L., Kuchenbecker, Ricardo","Brazilian Journal of Infectious Diseases; 12(2); 107-107","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000200002&lang=pt" 
"S0036-36342008000200008-spa","Conducta del enfermo ante el dolor crónico","Lavielle, Pilar, Clark, Patricia, Martínez, Homero, Mercado, Francisco, Ryan, Gery","Salud Pública de México; 50(2); 147-154","Salud Pública de México","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342008000200008&lang=pt" 
"S0036-36342008000200005-spa","Factores pronósticos relacionados con la supervivencia del cáncer de mama","Flores-Luna, Lourdes, Salazar-Martínez, Eduardo, Duarte-Torres, Reyna Margarita, Torres-Mejía, Gabriela, Alonso-Ruiz, Patricia, Lazcano-Ponce, Eduardo","Salud Pública de México; 50(2); 119-125","Salud Pública de México","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342008000200005&lang=pt" 
"S0036-36342008000200004-spa","Relación costo-efectividad de las intervenciones preventivas contra el cáncer cervical en mujeres mexicanas","Gutiérrez-Delgado, Cristina, Báez-Mendoza, Camilo, González-Pier, Eduardo, de la Rosa, Alejandra Prieto, Witlen, Renee","Salud Pública de México; 50(2); 107-118","Salud Pública de México","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342008000200004&lang=pt" 
"S0034-89102008000200018-scl","Confiabilidade do Instrumento para Classificação de Idosos quanto à Capacidade para o Autocuidado","Almeida, Maria Helena Morgani de, Spínola, Aracy Witt de Pinho, Iwamizu, Paula Stefanoni, Okura, Roberta Irie Sumi, Barroso, Lucia Pereira, Lima, Antonio Carlos Pedroso de","Revista de Saúde Pública; 42(2); 317-323","Revista de Saúde Pública","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102008000200018&lang=pt" 
"S0034-89102008000200018-spa","Confiabilidade do Instrumento para Classificação de Idosos quanto à Capacidade para o Autocuidado","Almeida, Maria Helena Morgani de, Spínola, Aracy Witt de Pinho, Iwamizu, Paula Stefanoni, Okura, Roberta Irie Sumi, Barroso, Lucia Pereira, Lima, Antonio Carlos Pedroso de","Revista de Saúde Pública; 42(2); 317-323","Revista de Saúde Pública","Inglês, Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102008000200018&lang=pt" 
"S0103-90162008000200016-scl","Investigation of Leptin gene in broiler and layer chicken lines","Ninov, Kerli, Ledur, Mônica Corrêa, Alves, Helena Javiel, Rosário, Millor Fernandes do, Nones, Kátia, Coutinho, Luiz Lehmann","Scientia Agricola; 65(2); 214-219","Scientia Agricola","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162008000200016&lang=pt" 
"S0718-34372008000100001-chl","Regulaciones, Controles y Responsabilidades","Vivanco Martínez, Ángela","Revista chilena de derecho; 35(1); 7-8","Revista chilena de derecho","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372008000100001&lang=pt" 
"S0718-34372008000100002-chl","¿CAPTURADOS POR NUESTRA SUSPICACIA?: ALGUNAS APROXIMACIONES ACERCA DEL ORIGEN, DESARROLLO Y EXTINCIÓN DE LAS REGULACIONES","Romero Guzmán, Juan José","Revista chilena de derecho; 35(1); 9-35","Revista chilena de derecho","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372008000100002&lang=pt" 
"S0718-34372008000100003-chl","EL PRECEDENTE EN EL DERECHO INGLÉS: UNA VISIÓN DESDE LA CIUDADELA","Whittaker, Simon, Banfi del Río, Cristian","Revista chilena de derecho; 35(1); 37-83","Revista chilena de derecho","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372008000100003&lang=pt" 
"S0718-34372008000100004-chl","DEL DAÑO MORAL AL DAÑO EXTRAPATRIMONIAL: LA SUPERACIÓN DEL PRETIUM DOLORIS","Barrientos Zamorano, Marcelo","Revista chilena de derecho; 35(1); 85-106","Revista chilena de derecho","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372008000100004&lang=pt" 
"S0718-34372008000100005-chl","MODELOS DE REGULACIÓN DEL LOBBY EN EL DERECHO COMPARADO","García, José Francisco","Revista chilena de derecho; 35(1); 107-134","Revista chilena de derecho","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372008000100005&lang=pt" 
"S0718-34372008000100006-chl","Derribando mitos sobre el estado empresario","Vallejo Garretón, Rodrigo, Pardow Lorenzo, Diego","Revista chilena de derecho; 35(1); 135-156","Revista chilena de derecho","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372008000100006&lang=pt" 
"S0718-34372008000100007-chl","EL PRINCIPIO DEl CONSENSO DE LAS PARTES EN EL PROCESO PENAL Y ENJUICIAMIENTO JURISDICCIONAL: ACLARACIONES CONCEPTUALES NECESARIAS","del Río Ferretti, Carlos","Revista chilena de derecho; 35(1); 157-182","Revista chilena de derecho","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372008000100007&lang=pt" 
"S0718-34372008000100008-chl","Amenaza de difundir información íntima: El caso que afectó al Conservador de Bienes Raíces de Santiago","Fernández Díaz, Álvaro","Revista chilena de derecho; 35(1); 183-191","Revista chilena de derecho","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372008000100008&lang=pt" 
"S0718-34372008000100009-chl","EL ARTÍCULO 42 DE LA LEY DE CONCESIONES: JUSTICIA Y PROPORCIONALIDAD DE LA SANCIÓN: Comentario a la Sentencia del Tribunal Constitucional de fecha 26 de diciembre de 2006 (Rol N° 541-2006)","Carrasco Quiroga, Edesio","Revista chilena de derecho; 35(1); 193-205","Revista chilena de derecho","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372008000100009&lang=pt" 
"S0718-34372008000100010-chl","FABIO ESBORRAZ, David (2006): Contrato y sistema en América Latina","Mejías Alonzo, Claudia","Revista chilena de derecho; 35(1); 207-209","Revista chilena de derecho","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372008000100010&lang=pt" 
"S0718-34372008000100011-chl","Contrapunto sobre la modificación al artículo 234 del Código Civil relativo a la facultad de los padres de corregir a los hijos","Baraona, Jorge, Tapia, Mauricio","Revista chilena de derecho; 35(1); 211-215","Revista chilena de derecho","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372008000100011&lang=pt" 
"S0102-86502008000200002-scl","Burn wound angiogenesis is increased by exogenously administered recombinant leptin in rats","Liapakis, Ioannis, Anagnostoulis, Stavros, Karayiannakis, Anastasios, Korkolis, Dimitris, Lambropoulou, Maria, Matarasso, Alan, Simopoulos, Constantinos","Acta Cirurgica Brasileira; 23(2); 118-124","Acta Cirurgica Brasileira","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502008000200002&lang=pt" 
"S1315-64112008000100011-ven","Política, protagonismo y rendición de cuentas en la Venezuela bolivariana","Buxton, Julia, McCoy, Jennifer","Revista Venezolana de Economía y Ciencias Sociales; 14(1); 183-188","Revista Venezolana de Economía y Ciencias Sociales","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-64112008000100011&lang=pt" 
"S1315-64112008000100010-ven","¿Cómo entiende el “Pueblo” la democracia protagónica? Resultados de una encuesta","Hellinger, Daniel","Revista Venezolana de Economía y Ciencias Sociales; 14(1); 153-181","Revista Venezolana de Economía y Ciencias Sociales","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-64112008000100010&lang=pt" 
"S1315-64112008000100005-ven","Las tensiones entre la base y la dirigencia en las filas del chavismo","Ellner, Steve","Revista Venezolana de Economía y Ciencias Sociales; 14(1); 49-64","Revista Venezolana de Economía y Ciencias Sociales","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-64112008000100005&lang=pt" 
"S1315-64112008000100006-ven","Innovaciones participativas en la Caracas bolivariana: La MTA de la pedrera y la OCA de barrio Unión-Carpintero","López Maya, Margarita","Revista Venezolana de Economía y Ciencias Sociales; 14(1); 65-93","Revista Venezolana de Economía y Ciencias Sociales","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-64112008000100006&lang=pt" 
"S1315-64112008000100007-ven","Cooperativismo en Venezuela: Teoría y praxis","Melcher, Dorothea","Revista Venezolana de Economía y Ciencias Sociales; 14(1); 95-106","Revista Venezolana de Economía y Ciencias Sociales","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-64112008000100007&lang=pt" 
"S1315-64112008000100001-ven","","","Revista Venezolana de Economía y Ciencias Sociales; 14(1); 07-09","Revista Venezolana de Economía y Ciencias Sociales","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-64112008000100001&lang=pt" 
"S1315-64112008000100002-ven","Antropología, historia colonial y descolonización del pasado","Tiapa, Francisco","Revista Venezolana de Economía y Ciencias Sociales; 14(1); 13-29","Revista Venezolana de Economía y Ciencias Sociales","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-64112008000100002&lang=pt" 
"S1315-64112008000100003-ven","El imaginario de militares (Carcelario Militar).: La dinámica del imaginario en el cuartel San Carlos a través del graffiti","Ramírez C, Daniel","Revista Venezolana de Economía y Ciencias Sociales; 14(1); 31-43","Revista Venezolana de Economía y Ciencias Sociales","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-64112008000100003&lang=pt" 
"S1315-64112008000100008-ven","Los consejos comunales en Venezuela: ¿Democracia participativa o delegativa?","Lovera, Alberto","Revista Venezolana de Economía y Ciencias Sociales; 14(1); 107-124","Revista Venezolana de Economía y Ciencias Sociales","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-64112008000100008&lang=pt" 
"S1315-64112008000100009-ven","La praxis de los consejos comunales en Venezuela: ¿Poder popular o instancia clientelar?","García-Guadilla, María Pilar","Revista Venezolana de Economía y Ciencias Sociales; 14(1); 125-151","Revista Venezolana de Economía y Ciencias Sociales","Espanhol","2008","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-64112008000100009&lang=pt" 
"S0100-15742008000100006-scl","Cursos diurnos e noturnos: fatores de aprovação no vestibular da UFMG","Dias, Talita F. S., Lage, Ludmila V., Ribeiro, Raphael L. F., Rocha, Gustavo H. M. A., Rodrigues, Junio G., Santos, Thiago R., Franco, Glaura C., Loschi, Rosangela H., Braga, Mauro M.","Cadernos de Pesquisa; 38(133); 127-146","Cadernos de Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742008000100006&lang=pt" 
"S0365-66912008000400007-esp","Influencia de la función visual en la calidad de vida de los pacientes con glaucoma","Carrasco-Font, C., Lorenzo-Martínez, S., Gili-Manzanaro, P., Arias-Puente, A., Andrés-Alba, Y., Matilla-Rodríguez, A., Ortigueira, J.A.","Archivos de la Sociedad Española de Oftalmología; 83(4); 249-256","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000400007&lang=pt" 
"S0365-66912008000400004-esp","Idoneidad del injerto corneal de donante neonato en la queratoplastia penetrante","Belmonte, J., Moral, R., Vallcanera, S.","Archivos de la Sociedad Española de Oftalmología; 83(4); 219-230","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000400004&lang=pt" 
"S0365-66912008000400003-esp","Lentes intraoculares fáquicas de cámara posterior: Estudio comparativo entre los modelos PRL e ICL. Criterios de elección","Díaz-Llopis, M., Montero, J., Amselem, L., Udaondo, P, García-Delpech, S.","Archivos de la Sociedad Española de Oftalmología; 83(4); 215-218","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000400003&lang=pt" 
"S0365-66912008000400001-esp","Incisiones valvuladas sin sutura: de la cirugía de catarata a la cirugía vitreorretiniana","López-Guajardo, L., González-del-Valle, F., Teus-Guezala, M.","Archivos de la Sociedad Española de Oftalmología; 83(4); 211-212","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000400001&lang=pt" 
"S0365-66912008000400013-esp","Stevie Wonder: Saginaw (eeuu), 1950","Noguera-Palau, J.J.","Archivos de la Sociedad Española de Oftalmología; 83(4); 281-282","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000400013&lang=pt" 
"S0365-66912008000400010-esp","OCT y fototoxicidad macular","Rodríguez-Marco, N.A., Andonegui-Navarro, J., Compains-Silva, E., Rebollo-Aguayo, A., Aliseda-Pérez-de-Madrid, D., Aranguren-Laflin, M.","Archivos de la Sociedad Española de Oftalmología; 83(4); 267-272","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000400010&lang=pt" 
"S0365-66912008000400009-esp","Esclerosis inflamatoria orbitaria y síndrome de fibrosis multifocal","Mataix, B., López-Navarrete, E., López-Domínguez, M., Ángeles, R.","Archivos de la Sociedad Española de Oftalmología; 83(4); 263-266","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000400009&lang=pt" 
"S0365-66912008000400002-esp","Terapia génica contra la retinosis pigmentaria","Vecino, E","Archivos de la Sociedad Española de Oftalmología; 83(4); 213-214","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000400002&lang=pt" 
"S0100-15742008000100014-scl","Política, gestão e financiamento de sistemas municipais públicos de educação no Brasil: bibliografia analítica (1996-2002)","Arruda, Maria da Conceição Calmon","Cadernos de Pesquisa; 38(133); 274-275","Cadernos de Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742008000100014&lang=pt" 
"S0100-15742008000100001-scl","Editorial","","Cadernos de Pesquisa; 38(133); 9-10","Cadernos de Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742008000100001&lang=pt" 
"S0100-15742008000100005-scl","Desmistificando a concepção de adolescência","Ozella, Sergio, Aguiar, Wanda Maria Junqueira de","Cadernos de Pesquisa; 38(133); 97-125","Cadernos de Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742008000100005&lang=pt" 
"S0100-15742008000100003-scl","A escola como fator de proteção à conduta infracional de adolescentes","Gallo, Alex Eduardo, Williams, Lúcia Cavalcanti de Albuquerque","Cadernos de Pesquisa; 38(133); 41-59","Cadernos de Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742008000100003&lang=pt" 
"S0100-15742008000100013-scl","La construcción del género en las políticas públicas: perspectivas comparadas desde América Latina","Schilling, Flávia","Cadernos de Pesquisa; 38(133); 272-274","Cadernos de Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742008000100013&lang=pt" 
"S0100-15742008000100009-scl","Formação docente e educação inclusiva","Senna, Luiz Antonio Gomes","Cadernos de Pesquisa; 38(133); 195-219","Cadernos de Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742008000100009&lang=pt" 
"S0100-15742008000100012-scl","Organisation sociale, pratiques sexuelles et religion: le cas des trois religions monothéistes","Santos, Naira Carla Di Giuseppe Pinheiro dos","Cadernos de Pesquisa; 38(133); 269-272","Cadernos de Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742008000100012&lang=pt" 
"S0100-15742008000100002-scl","Universo moral de jovens internos da Febem","Noguchi, Natália Felix de Carvalho, de la Taille, Yves","Cadernos de Pesquisa; 38(133); 11-40","Cadernos de Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742008000100002&lang=pt" 
"S0100-15742008000100004-scl","Exercício da sexualidade por adolescentes em ambientes de privação de liberdade","Mattar, Laura Davis","Cadernos de Pesquisa; 38(133); 61-95","Cadernos de Pesquisa","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742008000100004&lang=pt" 
"S0100-15742008000100007-scl","Desafios metodológicos na perspectiva da rede de significações","Rossetti-Ferreira, Maria Clotilde, Amorim, Kátia de Souza, Soares-Silva, Ana Paula, Oliveira, Zilma de Moraes Ramos de","Cadernos de Pesquisa; 38(133); 147-170","Cadernos de Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742008000100007&lang=pt" 
"S0100-15742008000100010-scl","Envolvimento docente na interpretação do seu trabalho: uma estratégia metodológica","Duarte, Adriana, Oliveira, Dalila Andrade, Augusto, Maria Helena, Melo, Savana","Cadernos de Pesquisa; 38(133); 221-236","Cadernos de Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742008000100010&lang=pt" 
"S0100-15742008000100011-scl","Histórias sociais e singulares de inclusão: exclusão na aula de química","Gomes, Maria de Fátima Cardoso, Mortimer, Eduardo Fleury","Cadernos de Pesquisa; 38(133); 237-266","Cadernos de Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742008000100011&lang=pt" 
"S0365-66912008000400012-esp","El maristán y Al-Madrasa: Hospital-Escuela de Medicina (II)","Said-Farah, M.","Archivos de la Sociedad Española de Oftalmología; 83(4); 277-280","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000400012&lang=pt" 
"S0365-66912008000400005-esp","Queratoplastia penetrante protegida: técnica quirúrgica y respuesta del endotelio","López-Plandolit, S., Etxebarría, J., Acera, A., Castiella, G., Durán, J.A.","Archivos de la Sociedad Española de Oftalmología; 83(4); 231-236","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000400005&lang=pt" 
"S0365-66912008000400006-esp","Impacto de la cirugía de catarata: agudeza visual y calidad de vida","Cabezas-León, M., García-Caballero, J., Morente-Matas, P.","Archivos de la Sociedad Española de Oftalmología; 83(4); 237-248","Archivos de la Sociedad Española de Oftalmología","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912008000400006&lang=pt" 
"S0212-16112008000200003-esp","Ingesta de leche y derivados lácteos en la población universitaria","Durá Travé, T.","Nutrición Hospitalaria; 23(2); 89-94","Nutrición Hospitalaria","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112008000200003&lang=pt" 
"S0212-16112008000200007-esp","Evaluación de dos métodos de corrección del Factor de Impacto utilizando la investigación del H.U. &quot;Del rio Hortega&quot; (1999-2007) como fuentes de datos","González-Sagrado, M., Luis Román, D. A. de, Conde-Vicente, R., Izaola, O., Aller, R., Pérez-Castrillón, J. L.","Nutrición Hospitalaria; 23(2); 111-118","Nutrición Hospitalaria","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112008000200007&lang=pt" 
"S0100-879X2008000400005-scl","Transient high-level expression of ß-galactosidase after transfection of fibroblasts from GM1 gangliosidosis patients with plasmid DNA","Balestrin, R.C., Baldo, G., Vieira, M.B., Sano, R., Coelho, J.C., Giugliani, R., Matte, U.","Brazilian Journal of Medical and Biological Research; 41(4); 283-288","Brazilian Journal of Medical and Biological Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2008000400005&lang=pt" 
"S0100-879X2008000400009-scl","Intrinsic denervation of the colon is associated with a decrease of some colonic preneoplastic markers in rats treated with a chemical carcinogen","Vespúcio, M.V.O., Turatti, A., Modiano, P., Oliveira, E.C. de, Chicote, S.R.M., Pinto, A.M.P., Garcia, S.B.","Brazilian Journal of Medical and Biological Research; 41(4); 311-317","Brazilian Journal of Medical and Biological Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2008000400009&lang=pt" 
"S0100-879X2008000400001-scl","Comparison of scientists of the Brazilian Academy of Sciences and of the National Academy of Sciences of the USA on the basis of the h-index","Mugnaini, R., Packer, A.L., Meneghini, R.","Brazilian Journal of Medical and Biological Research; 41(4); 258-262","Brazilian Journal of Medical and Biological Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2008000400001&lang=pt" 
"S0100-879X2008000400002-scl","Serotonergic modulation of face-emotion recognition","Del-Ben, C.M., Ferreira, C.A.Q., Alves-Neto, W.C., Graeff, F.G.","Brazilian Journal of Medical and Biological Research; 41(4); 263-269","Brazilian Journal of Medical and Biological Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2008000400002&lang=pt" 
"S0100-879X2008000400014-scl","Correction","","Brazilian Journal of Medical and Biological Research; 41(4); 343-343","Brazilian Journal of Medical and Biological Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2008000400014&lang=pt" 
"S0100-879X2008000400013-scl","Correction","","Brazilian Journal of Medical and Biological Research; 41(4); 342-342","Brazilian Journal of Medical and Biological Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2008000400013&lang=pt" 
"S0100-879X2008000400008-scl","Paullinia cupana Mart var. sorbilis, guaraná, reduces cell proliferation and increases apoptosis of B16/F10 melanoma lung metastases in mice","Fukumasu, H., Avanzo, J.L., Nagamine, M.K., Barbuto, J.A., Rao, K.V., Dagli, M.L.Z.","Brazilian Journal of Medical and Biological Research; 41(4); 305-310","Brazilian Journal of Medical and Biological Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2008000400008&lang=pt" 
"S1413-81232008000700004-scl","Comentário ao texto &quot;Farmacêutico: profissional de saúde e cidadão&quot;","Barros, José Augusto Cabral","Ciência &amp; Saúde Coletiva; 13(); 571-572","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700004&lang=pt" 
"S1413-81232008000700019-scl","Fatores associados à automedicação em dor de dente: análise a partir dos profissionais dos estabelecimentos farmacêuticos da cidade do Recife, PE","Silva, Rafaella Arcoverde, Marques, Flávia Duarte, Goes, Paulo Sávio Angeiras de","Ciência &amp; Saúde Coletiva; 13(); 697-701","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700019&lang=pt" 
"S1413-81232008000700031-scl","Violência e saúde","Montagner, Miguel Ângelo, Amorim, Rosendo Freitas de, Silva, Juliana Guimarães e, Lira, Samira Valentim Gama","Ciência &amp; Saúde Coletiva; 13(); 805-806","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700031&lang=pt" 
"S1413-81232008000700023-scl","Por que o uso racional de medicamentos deve ser uma prioridade?","Aquino, Daniela Silva de","Ciência &amp; Saúde Coletiva; 13(); 733-736","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700023&lang=pt" 
"S1413-81232008000700030-scl","Saúde, corpo e sociedade","Aguiar, Adriana Cavalcanti de","Ciência &amp; Saúde Coletiva; 13(); 803-804","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700030&lang=pt" 
"S1413-81232008000700003-scl","Uso racional de medicamentos: o papel fundamental do farmacêutico","Bergsten-Mendes, Gun","Ciência &amp; Saúde Coletiva; 13(); 569-571","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000700003&lang=pt" 
"S0100-879X2008000400006-scl","Different responses of the GlnB and GlnZ proteins upon in vitro uridylylation by the Azospirillum brasilense GlnD protein","Araújo, L.M., Huergo, L.F., Invitti, A.L., Gimenes, C.I., Bonatto, A.C., Monteiro, R.A., Souza, E.M., Pedrosa, F.O., Chubatsu, L.S.","Brazilian Journal of Medical and Biological Research; 41(4); 289-294","Brazilian Journal of Medical and Biological Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2008000400006&lang=pt" 
"S1413-81232008000700023-spa","Por que o uso racional de medicamentos deve ser uma prioridade?","Aquino, Daniela Silva de","Ciência &amp; Saúde Coletiva; 13(); 733-736","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700023&lang=pt" 
"S1413-81232008000700006-spa","O autor responde","","Ciência &amp; Saúde Coletiva; 13(); 575-577","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700006&lang=pt" 
"S1413-81232008000700005-spa","Farmacêutico: ser profissional de saúde e cidadão exige responsabilização","Osorio-de-Castro, Claudia Garcia Serpa","Ciência &amp; Saúde Coletiva; 13(); 572-575","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700005&lang=pt" 
"S1413-81232008000700003-spa","Uso racional de medicamentos: o papel fundamental do farmacêutico","Bergsten-Mendes, Gun","Ciência &amp; Saúde Coletiva; 13(); 569-571","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700003&lang=pt" 
"S1413-81232008000700004-spa","Comentário ao texto &quot;Farmacêutico: profissional de saúde e cidadão&quot;","Barros, José Augusto Cabral","Ciência &amp; Saúde Coletiva; 13(); 571-572","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700004&lang=pt" 
"S1413-81232008000700001-spa","Medicamentos, profissionais e atenção a saúde","Rozenfeld, Suely","Ciência &amp; Saúde Coletiva; 13(); 558-558","Ciência &amp; Saúde Coletiva","Inglês, Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700001&lang=pt" 
"S1413-81232008000700029-spa","Estudos de utilização de medicamentos: uma síntese de artigos publicados no Brasil e América Latina","Leite, Silvana Nair, Vieira, Mônica, Veber, Ana Paula","Ciência &amp; Saúde Coletiva; 13(); 793-802","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700029&lang=pt" 
"S1413-81232008000700026-spa","Perfil de utilização de medicamentos em usuários da rede básica de saúde de Lorena, SP","Fleith, Valeska Danielli, Figueiredo, Marco Aurélio, Figueiredo, Karina Fernanda Lais Rainho de Oliveira, Moura, Erly Catarina","Ciência &amp; Saúde Coletiva; 13(); 755-762","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000700026&lang=pt" 
