"S0213-91112015000400001-esp","¿Es posible una atención primaria &quot;amigable para las/los jóvenes&quot; en España?","Goicolea, Isabel, Aguiló, Elena, Madrid, Juan","Gaceta Sanitaria; 29(4); 241-243","Gaceta Sanitaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112015000400001&lang=pt" 
"S2218-36202015000200024-cub","Tratamiento de las habilidades comunicativas en el contexto universitario","Tejera Concepción, Juan Francisco, Cardoso Sarduy, María Antonia","Revista Universidad y Sociedad; 7(2); 168-172","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200024&lang=pt" 
"S2218-36202015000200022-cub","Tecnología para integrar la dimensión ambiental en el proceso de formación del capital humano","Ortiz Chávez, Yunelsy, Rodríguez Córdova, Roberto Guillermo, Isaac-Godínez, Cira Lidia","Revista Universidad y Sociedad; 7(2); 64-71","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200022&lang=pt" 
"S2218-36202015000200013-cub","Los costos por pacientes atendidos con catarata en el Hospital Provincial de Cienfuegos","Reyes Hernández, Reynier, Martín García, Marili Silvana, Pérez Guevara, David Anacleto","Revista Universidad y Sociedad; 7(2); 87-95","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200013&lang=pt" 
"S2218-36202015000200023-cub","La competencia comunicativa en la labor pedagógica","Pompa Montes de Oca, Yanelis de la Caridad, Pérez López, Idalberto Amado","Revista Universidad y Sociedad; 7(2); 160-167","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200023&lang=pt" 
"S2218-36202015000200007-cub","Diagnóstico del proceso de gestión de categorías docentes en la Universidad de Sancti Spíritus","Gómez Estévez, Irelys, Román Cao, Eldis, Pérez Medinilla, Teresita Yamilet","Revista Universidad y Sociedad; 7(2); 45-51","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200007&lang=pt" 
"S2218-36202015000200014-cub","La gestión universitaria en auditoría interna a estados financieros","Silva López, Celia A, Chapis Cabrera, Edelmis","Revista Universidad y Sociedad; 7(2); 96-103","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200014&lang=pt" 
"S2218-36202015000200005-cub","Dirigir personas: Un factor crítico de éxito en la universidad actual","Galarza López, Judith, Almuiñas Rivero, José Luis","Revista Universidad y Sociedad; 7(2); 28-33","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200005&lang=pt" 
"S2218-36202015000200011-cub","La gestión de la información: Herramienta esencial para el desarrollo de habilidades en la comunidad estudiantil universitaria","Suárez Alfonso, Amarilys, Cruz Rodríguez, Ivian, Pérez Macías, Yoendy","Revista Universidad y Sociedad; 7(2); 72-79","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200011&lang=pt" 
"S2218-36202015000200020-cub","El juego del cuarenta, una opción para la enseñanza de las matemáticas y las ciencias sociales en Ecuador","Barros Morales, Roosvelt, Rodríguez Domínguez, Luisa de los Ángeles, Barros Bastida, Carlos Isaa","Revista Universidad y Sociedad; 7(2); 137-144","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200020&lang=pt" 
"S2218-36202015000200021-cub","La evaluación psicopedagógica de niños (as) con trastornos del espectro autista mediante el perfil psicoeducativo","Massani Enríquez, Jorge Félix, García Navarro, Xiomara, Hernández Ochoa, Elsa","Revista Universidad y Sociedad; 7(2); 145-151","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200021&lang=pt" 
"S2218-36202015000200001-cub","","Urquiola Sánchez, Orquídea","Revista Universidad y Sociedad; 7(2); 6-6","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200001&lang=pt" 
"S2218-36202015000200012-cub","Las franquicias sociales, una alternativa educativa para la regulación del comercio informal","Ronquillo Briones, Sixto","Revista Universidad y Sociedad; 7(2); 80-86","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200012&lang=pt" 
"S0375-07602015000200003-cub","Evaluación externa de la calidad en la descentralización del diagnóstico de VIH en Cuba","Hernández Almaguer, Maelys, Silva Cabrera, Eladio, Pérez Guevara, María Teresa, Romero Martínez, Kenia, Sánchez Diéguez, Esperanza","Revista Cubana de Medicina Tropical; 67(2); -","Revista Cubana de Medicina Tropical","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07602015000200003&lang=pt" 
"S0375-07602015000200001-cub","Prueba RPR-Carbón (Centis, Cuba) en líquido cefalorraquídeo como alternativa para el diagnóstico de neurosífilis","Rodríguez González, Islay, Noda Ramos, Angel Alberto, Echevarria Pérez, Eduardo","Revista Cubana de Medicina Tropical; 67(2); -","Revista Cubana de Medicina Tropical","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07602015000200001&lang=pt" 
"S0375-07602015000200006-cub","Evaluación de diferentes muestras para la detección molecular de Mycobacterium leprae en Cuba","Ruiz-Fuentes, Jenny Laura, Diaz-Garcia, Alexis, Suárez Moreno, Odelaisy, Torres, Pedro, Acosta Soto, Lucrecia","Revista Cubana de Medicina Tropical; 67(2); -","Revista Cubana de Medicina Tropical","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07602015000200006&lang=pt" 
"S0375-07602015000200004-cub","Evaluación del desempeño del sistema inmunoenzimático de diagnóstico DAVIH-HTLV-I, para la detección de anticuerpos contra el Virus Linfotrópico de células T humanas tipo 1 (HTLV-I)","Romero Martínez, Kenia, Pérez Guevara, María T, Hernández Almaguer, Maelys, Sánchez Dieguez, Esperanza, Martín Alfonso, Dayamí","Revista Cubana de Medicina Tropical; 67(2); -","Revista Cubana de Medicina Tropical","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07602015000200004&lang=pt" 
"S0375-07602015000200007-cub","Comportamiento sexual y uso del condón en estudiantes de la facultad de tecnología de la salud","Cortés Alfaro, Alba, García Roche, René, Ochoa Soto, Rosaida","Revista Cubana de Medicina Tropical; 67(2); -","Revista Cubana de Medicina Tropical","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07602015000200007&lang=pt" 
"S0375-07602015000200012-cub","Riqueza y distribución de especies de culícidos en la provincia La Habana, Cuba","Peraza Cuesta, Iris, Pérez Castillo, Magalys, Mendizábal Alcalá, María Elena, Valdés Miró, Vivian, Leyva Silva, Maureen, Marquetti Fernández, María del Carmen","Revista Cubana de Medicina Tropical; 67(2); -","Revista Cubana de Medicina Tropical","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07602015000200012&lang=pt" 
"S0375-07602015000200011-cub","Evaluación de un sistema inmunocromatográfico de flujo lateral para la pesquisa de la leptospirosis humana","Pérez Elías, Yendrys, Obregón Fuentes, Ana Margarita, Lemos Pérez, Gilda, Machado Morales, Héctor L, Rodríguez Reyes, Isabel del Carmen, Rodríguez Silveira, José","Revista Cubana de Medicina Tropical; 67(2); -","Revista Cubana de Medicina Tropical","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07602015000200011&lang=pt" 
"S0375-07602015000200002-cub","Prevalencia de dengue, leptospirosis y rickettsiosis en pacientes sospechosos de dengue atendidos en el Instituto Mexicano del Seguro Social, 2012","Navarrete Espinosa, Joel, Rivas Sánchez, Beatriz, Grajales Muñíz, Concepción, González Bonilla, César R, Marín Pavón, Marina Cecilia, Carmona González, Emma, López Balam, Marcelino, Blanco Ortega, Ricardo, Borja Aburto, Víctor H","Revista Cubana de Medicina Tropical; 67(2); -","Revista Cubana de Medicina Tropical","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07602015000200002&lang=pt" 
"S0375-07602015000200010-cub","Oxidative-nitrosative stress and dengue disease: a systematic review of in vivo/in vitro studies","Castro Orozco, Raimundo, Pinzón-Redondo, Hernando Samuel, Alvis-Guzmán, Nelson Rafael","Revista Cubana de Medicina Tropical; 67(2); -","Revista Cubana de Medicina Tropical","Inglês","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07602015000200010&lang=pt" 
"S0375-07602015000200005-cub","Detección de Brucella spp. por un sistema inmunocromatográfico comercial, en muestras ambientales cubanas","Obregón Fuentes, Ana Margarita, Cabrera Alvarado, Ariana, Echevarría Pérez, Eduardo, Rodríguez Olivera, Yaindrys, Rodríguez Silveira, José","Revista Cubana de Medicina Tropical; 67(2); -","Revista Cubana de Medicina Tropical","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07602015000200005&lang=pt" 
"S0375-07602015000200013-cub","Relación inter específica de Aedes albopictus (Diptera:Culicidae) con especies de culícidos en La Habana, Cuba","Marquetti Fernández, María del Carmen, Pérez Castillo, Magalys, Mendizábal Alcalá, María Elena, Peraza Cuesta, Iris, Eulalio, Roberto, Torriente, Molina, Leyva Silva, Maureen","Revista Cubana de Medicina Tropical; 67(2); -","Revista Cubana de Medicina Tropical","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07602015000200013&lang=pt" 
"S0375-07602015000200008-cub","Caracterización bioquímica y biológica del veneno de la serpiente Neotropical Macagua (Bothrops Colombiensis) de la región de Barlovento, estado Miranda, Venezuela","Sánchez, Elda E, Girón, María E, Guerrero, Belsy, Uzcátegui, Néstor L, Rodríguez-Acosta, Alexis","Revista Cubana de Medicina Tropical; 67(2); -","Revista Cubana de Medicina Tropical","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07602015000200008&lang=pt" 
"S0375-07602015000200009-cub","Clave ilustrada y comentada para la identificación de moluscos gastrópodos fluviales de Cuba","Vázquez Perera, Antonio Alejandro, Sánchez Noda, Jorge","Revista Cubana de Medicina Tropical; 67(2); -","Revista Cubana de Medicina Tropical","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0375-07602015000200009&lang=pt" 
"S1132-05592015000200007-esp","Implantación piloto de dos programas basados en la evidencia (SafeCare e Incredible Years) en los Servicios de Protección Infantil de Gipuzkoa (España)","Paul, Joaquín de, Arruabarrena, Ignacia, Indias, Silvia","Psychosocial Intervention; 24(2); 105-120","Psychosocial Intervention","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592015000200007&lang=pt" 
"S1132-05592015000200006-esp","Multisystemic therapy in Chile: a public sector innovation case study","Pantoja, Rodrigo","Psychosocial Intervention; 24(2); 97-103","Psychosocial Intervention","Inglês","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592015000200006&lang=pt" 
"S1132-05592015000200001-esp","Análisis psicométrico de la Escala de Ajuste Escolar Percibido por el Profesor (PROF-A)","Cava, María-Jesús, Povedano, Amapola, Buelga, Sofía, Musitu, Gonzalo","Psychosocial Intervention; 24(2); 63-69","Psychosocial Intervention","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592015000200001&lang=pt" 
"S1132-05592015000200005-esp","Public child welfare staff knowledge, attitudes, and referral behaviors for an evidence based parenting program","Whitaker, Daniel J., Rogers-Brown, Jessica S., Cowart-Osborne, Melissa, Self-Brown, Shannon, Lutzker, John R.","Psychosocial Intervention; 24(2); 89-95","Psychosocial Intervention","Inglês","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592015000200005&lang=pt" 
"S1132-05592015000200002-esp","El perdón ante transgresiones en las relaciones interpersonales","Beltrán-Morillas, Ana Mª, Valor-Segura, Inmaculada, Expósito, Francisca","Psychosocial Intervention; 24(2); 71-78","Psychosocial Intervention","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592015000200002&lang=pt" 
"S2218-36202015000200019-cub","La promoción de la lectura en la Universidad: Experiencias del uso de una herramienta informática creada con estos fines","Martínez León, Alicia, Gómez Sarría, Ariel, Sarría Stuart, Ángela","Revista Universidad y Sociedad; 7(2); 128-136","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200019&lang=pt" 
"S2218-36202015000200008-cub","Los retos actuales de las instituciones de educación superior en el área de la gestión","Rodríguez Varela, Dianni, de León La fuente, Lourdes A, Galarza López, Judith","Revista Universidad y Sociedad; 7(2); 52-55","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200008&lang=pt" 
"S2218-36202015000200016-cub","Uso del método de aprendizaje basado en proyectos (Abp), para la carrera de arquitectura","Pinos Medrano, Hitler Alexander","Revista Universidad y Sociedad; 7(2); 112-116","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200016&lang=pt" 
"S2218-36202015000200006-cub","Procedimiento para evaluar el impacto del postgrado en los directivos organizacionales en Cienfuegos","Alonso García, Yuneisy, Castillo Coto, Ana Lilia","Revista Universidad y Sociedad; 7(2); 34-44","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200006&lang=pt" 
"S2218-36202015000200025-cub","El acercamiento genético creador en el análisis de Oda al Niágara: Reflexiones didácticas sobre el rescate de un método","Madruga Torreira, Esperanza Andrea, Álvarez González, Arelys Rebeca, Núñez Sobrino, Dulce María","Revista Universidad y Sociedad; 7(2); 173-186","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200025&lang=pt" 
"S2218-36202015000200004-cub","Impactos de la asignatura distribución en planta en la formación de estudiantes para la gestión de procesos en ingeniería industrial","González Rivera, Dayami","Revista Universidad y Sociedad; 7(2); 23-27","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200004&lang=pt" 
"S2218-36202015000200026-cub","El texto científico-profesional: Necesidad de la educación superior","León Pérez, Miguel Ángel, Álvarez Cuéllar, Yaskil Moisés, Tamayo Valdés, María Cristina","Revista Universidad y Sociedad; 7(2); 187-195","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200026&lang=pt" 
"S2218-36202015000200010-cub","Selección de un colector solar para aumentar la temperatura del agua de alimentación al generador de vapor de la Universidad de Cienfuegos","Jiménez Borges, Reinier, Madrigal Monzón, José Alejandro, Cabello Eras, Juan José","Revista Universidad y Sociedad; 7(2); 64-71","Revista Universidad y Sociedad","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2218-36202015000200010&lang=pt" 
"S0012-73532015000400006-col","Voltage regulation in a power inverter using a quasi-sliding control technique","Toro-García, Nicolás, Garcés-Gómez, Yeison Alberto, Hoyos-Velasco, Fredy Edimer","DYNA; 82(192); 52-59","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400006&lang=pt" 
"S0012-73532015000400022-col","Water quality modeling of the Medellin river in the Aburrá Valley","Giraldo-B., Lina Claudia, Palacio, Carlos Alberto, Molina, Rubén, Agudelo, Rubén Alberto","DYNA; 82(192); 195-202","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400022&lang=pt" 
"S0012-73532015000400020-col","A new method to characterize power quality disturbances resulting from expulsion and current-limiting fuse operation","Ortiz-Silva, Neil A., Blanco-Solano, Jairo, Petit-Suárez, Johann F., Ordóñez-Plata, Gabriel, Barrera-Núñez, Víctor","DYNA; 82(192); 177-184","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400020&lang=pt" 
"S0012-73532015000400021-col","Time-varying harmonic analysis of electric power systems with wind farms, by employing the possibility theory","Romero-Quete, Andrés Arturo, Suvire, Gastón Orlando, Zini, Humberto Cassiano, Rattá, Giuseppe","DYNA; 82(192); 185-194","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400021&lang=pt" 
"S0012-73532015000400024-col","Settlement analysis of friction piles in consolidating soft soils","Rodríguez-Rebolledo, Juan F., Auvinet-Guichard, Gabriel Y., Martínez-Carvajal, Hernán E.","DYNA; 82(192); 211-220","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400024&lang=pt" 
"S0012-73532015000400025-col","Influence of biomineralization on a profile of a tropical soil affected by erosive processes","Valencia-González, Yamile, Carvalho-Camapum, José de, Lara-Valencia, Luis Augusto","DYNA; 82(192); 221-229","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400025&lang=pt" 
"S0012-73532015000400028-col","Aplicativo en Fortran para resolver sistemas de ALN usando formatos comprimidos","Rodríguez-Calderón, Wilson, Pallares-Muñoz, Myriam Rocío","DYNA; 82(192); 249-256","DYNA","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400028&lang=pt" 
"S0012-73532015000400017-col","The impact of supply voltage distortion on the harmonic current emission of non-linear loads","Blanco, Ana Maria, Yanchenko, Sergey, Meyer, Jan, Schegner, Peter","DYNA; 82(192); 150-159","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400017&lang=pt" 
"S0012-73532015000400016-col","Complete power distribution system representation and state determination for fault location","Panesso-Hernández, Andres Felipe, Mora-Flórez, Juan, Pérez-Londoño, Sandra","DYNA; 82(192); 141-149","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400016&lang=pt" 
"S0012-73532015000400015-col","Measurement-based exponential recovery load model: Development and validation","Rodríguez-García, Luis, Pérez-Londoño, Sandra, Mora-Flórez, Juan","DYNA; 82(192); 131-140","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400015&lang=pt" 
"S0012-73532015000400013-col","Generalities about design and operation of microgrids","Rey-López, Juan Manuel, Vergara-Barrios, Pedro Pablo, Osma-Pinto, Germán Alfonso, Ordóñez-Plata, Gabriel","DYNA; 82(192); 109-119","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400013&lang=pt" 
"S0012-73532015000400012-col","An epidemiological approach to assess risk factors and current distortion incidence on distribution networks","Romero, Miguel Fernando, Gallego, Luis Eduardo, Pavas, Fabio Andrés","DYNA; 82(192); 101-108","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400012&lang=pt" 
"S0012-73532015000400010-col","Spinning reserve analysis in a microgrid","Luna-Ramírez, Luis Ernesto, Torres-Sánchez, Horacio, Pavas-Martínez, Fabio Andrés","DYNA; 82(192); 85-93","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400010&lang=pt" 
"S0012-73532015000400030-col","Cost estimation in software engineering projects with web components development","Andrés, Javier de, Fernández-Lanvin, Daniel, Lorca, Pedro","DYNA; 82(192); 266-275","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400030&lang=pt" 
"S0012-73532015000400008-col","Representation of electric power systems by complex networks with applications to risk vulnerability assessment","Correa-Henao, Gabriel Jaime, Yusta-Loyo, José María","DYNA; 82(192); 68-77","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400008&lang=pt" 
"S0012-73532015000400001-col","How to promote distributed resource supply in a Colombian microgrid with economic mechanism?: System dynamics approach","Arango-Manrique, Adriana, Carvajal-Quintero, Sandra Ximena, Younes-Velosa, Camilo","DYNA; 82(192); 11-18","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400001&lang=pt" 
"S0012-73532015000400007-col","Distributed generation placement in radial distribution networks using a bat-inspired algorithm","Candelo-Becerra, John Edwin, Hernández-Riaño, Helman Enrique","DYNA; 82(192); 60-67","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400007&lang=pt" 
"S0012-73532015000400023-col","","Astaiza-Hoyos, Evelio, Jojoa-Gómez, Pablo Emilio, Bermúdez-Orozco, Héctor Fabio","DYNA; 82(192); 203-210","DYNA","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400023&lang=pt" 
"S0012-73532015000400026-col","Analysis of the investment costs in municipal wastewater treatment plants in Cundinamarca","Rodríguez-Miranda, Juan Pablo, García-Ubaque, César Augusto, Penagos-Londoño, Juan Carlos","DYNA; 82(192); 230-238","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400026&lang=pt" 
"S0012-73532015000400029-col","Factores conformantes del riesgo percibido en los trabajadores de la construcción","Rodríguez-Garzón, Ignacio, Martínez-Fiestas, Myriam, Delgado-Padial, Antonio, Lucas-Ruiz, Valeriano","DYNA; 82(192); 257-265","DYNA","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400029&lang=pt" 
"S0012-73532015000400019-col","Modeling dynamic procurement auctions of standardized supply contracts in electricity markets including bidders adaptation","Torres-Valderrama, Henry Camilo, Gallego-Vega, Luis Eduardo","DYNA; 82(192); 168-176","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400019&lang=pt" 
"S0012-73532015000400018-col","Design and construction of a reduced scale model to measure lightning induced voltages over inclined terrain","Soto-Ríos, Edison, Pérez-González, Ernesto, Herrera-Murcia, Javier","DYNA; 82(192); 160-167","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400018&lang=pt" 
"S0012-73532015000400014-col","Energy considerations of social dwellings in Colombia according to the NZEB concept","Osma-Pinto, Germán Alfonso, Sarmiento-Nova, David Andrés, Barbosa-Calderón, Nelly Catherine, Ordóñez-Plata, Gabriel","DYNA; 82(192); 120-130","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400014&lang=pt" 
"S0012-73532015000400027-col","Fast pyrolysis of biomass: A review of relevant aspects.: Part I: Parametric study","Montoya, Jorge Iván, Chejne-Janna, Farid, Garcia-Pérez, Manuel","DYNA; 82(192); 239-248","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000400027&lang=pt" 
"S0213-91112015000400019-spa","Qué hacemos contra recortes y privatizaciones por un modelo universal y equitativo de la sanidad pública","","Gaceta Sanitaria; 29(4); 322-322","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000400019&lang=pt" 
"S0871-34132015000400002-prt","Aplicação de um caso prático de doenças profissionais: relevância médico-legal metais pesados e carcinogénese","Leite, Ana, Silva, Ricardo, Cunha, Elisabete","Arquivos de Medicina; 29(4); 93-97","Arquivos de Medicina","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-34132015000400002&lang=pt" 
"S0871-34132015000400001-prt","Alterações morfológicas e bioquímicas na trissomia 21","Reis, Ana Paula, Azevedo, Sara, Lebre, Andrea, Valente, Eduarda, Lima, Lurdes, Cunha, Ana","Arquivos de Medicina; 29(4); 88-92","Arquivos de Medicina","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-34132015000400001&lang=pt" 
"S0213-91112015000400010-spa","Conocimiento y percepción de la nocividad del cigarrillo electrónico en población adulta de Barcelona","Martínez-Sánchez, José M., Fu, Marcela, Ballbè, Montse, Martín-Sánchez, Juan Carlos, Saltó, Esteve, Fernández, Esteve","Gaceta Sanitaria; 29(4); 296-299","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000400010&lang=pt" 
"S0213-91112015000400009-spa","Implicaciones del consumo de sustancias psicoactivas sobre la salud de hombres privados de libertad","Caravaca-Sánchez, Francisco, Sánchez-Alcaraz Martínez, Cristóbal, Osuna, Eduardo, Falcón Romero, María, Luna, Aurelio","Gaceta Sanitaria; 29(4); 292-295","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000400009&lang=pt" 
"S0213-91112015000400005-spa","How much do workers&#039; health examinations add to health and safety at the workplace?: occupational preventive usefulness of routine health examinations","Rodríguez-Jareño, Maria Cruz, Molinero, Emilia, Montserrat, Jaume de, Vallès, Antoni, Aymerich, Marta","Gaceta Sanitaria; 29(4); 266-273","Gaceta Sanitaria","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000400005&lang=pt" 
"S0213-91112015000400012-spa","Control de la dispensación de medicamentos esteroides anabolizantes androgénicos","Vázquez-Mourelle, Raquel, Carracedo-Martínez, Eduardo, Ces Gens, Eugenio, Cadórniga Valiño, Luis, Álvaro Esteban, Pilar, Pose Reino, José Manuel","Gaceta Sanitaria; 29(4); 304-307","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000400012&lang=pt" 
"S0213-91112015000400003-spa","Explicaciones de las prácticas sexuales de riesgo en hombres que tienen sexo con hombres","Jacques Aviñó, Constanza, García de Olalla, Patricia, Díez, Elia, Martín, Silvia, Caylà, Joan A.","Gaceta Sanitaria; 29(4); 252-257","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000400003&lang=pt" 
"S0213-91112015000400011-spa","Estrés emocional y calidad de vida en personas con diabetes y sus familiares","Beléndez Vázquez, Marina, Lorente Armendáriz, Iñaki, Maderuelo Labrador, Mercedes","Gaceta Sanitaria; 29(4); 300-303","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000400011&lang=pt" 
"S0213-91112015000400001-spa","¿Es posible una atención primaria &quot;amigable para las/los jóvenes&quot; en España?","Goicolea, Isabel, Aguiló, Elena, Madrid, Juan","Gaceta Sanitaria; 29(4); 241-243","Gaceta Sanitaria","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000400001&lang=pt" 
"S0213-91112015000400008-spa","Prevalence of Chagas disease in the Bolivian population of Majorca (Spain)","Favila Escobio, Pedro, Ribas, Joana, Morillo, Marta G., Rodríguez-Ramírez, Ginna, Vicens-Ferrer, Jeronima, Esteva, Magdalena","Gaceta Sanitaria; 29(4); 288-291","Gaceta Sanitaria","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112015000400008&lang=pt" 
