"S1516-05722016000100168-scl","Técnicas de conservação pós-colheita para o manjericão","TEIXEIRA, D.A., GOMES, J.A.O., BONFIM, F.P.G., PARDO, P.I., MAYOBRE, M.T.","Revista Brasileira de Plantas Medicinais; 18(1); 168-171","Revista Brasileira de Plantas Medicinais","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722016000100168&lang=pt" 
"S0120-62302016000100010-col","Biomechanical analysis of damaged intervertebral disc using reflective photoelasticity","Rodríguez-Cañizo, Ricardo Gustavo, Hernández-Gomez, Luis Héctor, Fuerte-Hernández, Ariel, Merchán-Cruz, Emmanuel Alejandro, González-Rebatu, Alejandro, Tamayo-Meza, Pedro Alejandro","Revista Facultad de Ingeniería Universidad de Antioquia; (78); 73-79","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302016000100010&lang=pt" 
"S0120-62302016000100016-col","Behavior of turbidity, pH, alkalinity and color in Sinú River raw water treated by natural coagulants","Feria-Díaz, Jhon Jairo, Rodiño-Arguello, Johana Paola, Gutiérrez-Ribon, Guillermo Enrique","Revista Facultad de Ingeniería Universidad de Antioquia; (78); 112-118","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302016000100016&lang=pt" 
"S0120-62302016000100004-col","Effect of different combinations of size and shape parameters in the percentage error of classification of structural elements in vegetal tissue of the pumpkin Cucurbita pepo L. using probabilistic neural networks","Oblitas-Cruz, Jimy Frank, Castro-Silupu, Wilson Manuel, Mayor-López, Luis","Revista Facultad de Ingeniería Universidad de Antioquia; (78); 30-37","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302016000100004&lang=pt" 
"S0120-62302016000100007-col","Analysis of the quality of the welding process in the exchange of component of BGA technology","Marques-Costa, Robson, da Silva-Vieira, Antonio, Valdan Pereira-Lopes, Raimundo, Cabral-Leite, Jandecy, Tetsuo-Fujiyama, Roberto","Revista Facultad de Ingeniería Universidad de Antioquia; (78); 55-61","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302016000100007&lang=pt" 
"S0120-62302016000100002-col","A matheuristic algorithm for the three-dimensional loading capacitated vehicle routing problem (3L-CVRP)","Escobar-Falcón, Luis Miguel, Álvarez-Martínez, David, Granada-Echeverri, Mauricio, Escobar, John Willmer, Romero-Lázaro, Rubén Augusto","Revista Facultad de Ingeniería Universidad de Antioquia; (78); 09-20","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302016000100002&lang=pt" 
"S0120-62302016000100006-col","Using factorial design to increase the efficiency on a small-scale ethanol distillation","Dias-Mayer, Flávio, Fumagalli-Schettert, Giseane, dos Santos-Salbego, Paulo Roberto, Islongo-Canabarro, Nicholas, Baldo, Vanessa, Mazutti, Marcio Antonio, Foletto, Edson Luiz, Hoffmann, Ronaldo","Revista Facultad de Ingeniería Universidad de Antioquia; (78); 48-54","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302016000100006&lang=pt" 
"S0120-62302016000100017-col","Behavior of a warm mix asphalt using a chemical additive to foam the asphalt binder","Rondón-Quintana, Hugo Alexander, Fernández-Gómez, Wilmar Darío, Zafra-Mejía, Carlos Alfonso","Revista Facultad de Ingeniería Universidad de Antioquia; (78); 129-138","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302016000100017&lang=pt" 
"S0101-73302016000100017-scl","PRIVATIZAÇÃO DA EDUCAÇÃO NA AMÉRICA LATINA E NO CARIBE: TENDÊNCIAS E RISCOS PARA OS SISTEMAS PÚBLICOS DE ENSINO","Croso, Camilla, Magalhães, Giovanna Modé","Educação &amp; Sociedade; 37(134); 17-33","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000100017&lang=pt" 
"S0101-73302016000100011-scl","PRIVATIZAÇÃO DA EDUCAÇÃO NA AMÉRICA LATINA: ESTRATÉGIAS RECENTES EM DESTAQUE","Adrião, Theresa, Pinto, José Marcelino de Rezende","Educação &amp; Sociedade; 37(134); 11-15","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000100011&lang=pt" 
"S0101-73302016000100113-scl","GRUPOS EMPRESARIAIS NA EDUCAÇÃO BÁSICA PÚBLICA BRASILEIRA: LIMITES À EFETIVAÇÃO DO DIREITO À EDUCAÇÃO","Adrião, Theresa Maria de Freitas, Garcia, Teise de Oliveira Guaranha, Borghi, Raquel Fontes, Bertagna, Regiane Helena, Paiva, Gustavo Bottura, Ximenes, Salomão Barros","Educação &amp; Sociedade; 37(134); 113-131","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000100113&lang=pt" 
"S0101-73302016000100133-scl","UMA ANÁLISE DA DESTINAÇÃO DOS RECURSOS PÚBLICOS, DIRETA OU INDIRETAMENTE, AO SETOR PRIVADO DE ENSINO NO BRASIL","Pinto, José Marcelino de Rezende","Educação &amp; Sociedade; 37(134); 133-152","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000100133&lang=pt" 
"S0101-73302016000100073-scl","EL PROGRESIVO ENCANTO POR LA GESTIÓN PRIVADA: ANÁLISIS DE LOS MODELOS DE LA GESTIÓN PÚBLICA-PRIVADA EN ENSEÑANZA MEDIA EN URUGUAY (2002-2013)","Bordoli, Eloísa, Conde, Stefanía","Educação &amp; Sociedade; 37(134); 73-90","Educação &amp; Sociedade","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000100073&lang=pt" 
"S0101-73302016000100035-scl","Médiatisation du processus de privatisation de ─ et dans ─ l&#039;éducation en Amérique Latine et Caraïbes: une étude du discours des médias","Porta, Eva da, Cianci, Maria","Educação &amp; Sociedade; 37(134); 35-54","Educação &amp; Sociedade","Francês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000100035&lang=pt" 
"S0101-73302016000100091-scl","PRIVATIZACIÓN DE LA PROVISIÓN EDUCATIVA EN CHILE: CARACTERIZACIÓN DE LOS PROVEEDORES EDUCATIVOS DE UNA COMUNA POPULAR URBANA","López, Juan González, Moreno, Diego Parra","Educação &amp; Sociedade; 37(134); 91-112","Educação &amp; Sociedade","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000100091&lang=pt" 
"S0101-73302016000100195-scl","CONDICIONANTES DEL RENDIMIENTO ACADÉMICO EN LA ESCOLARIDAD PRIMARIA EN BRASIL: UN ANÁLISIS MULTIFACTORIAL","Mediavilla, Mauro, Gallego, Liliana","Educação &amp; Sociedade; 37(134); 195-216","Educação &amp; Sociedade","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000100195&lang=pt" 
"S0101-73302016000100171-scl","DESAFIOS URBANOS À DEMOCRATIZAÇÃO DO ACESSO ÀS OPORTUNIDADES EDUCACIONAIS NAS METRÓPOLES BRASILEIRAS","Ribeiro, Luiz Cesar de Queiroz, Koslinski, Mariane Campelo, Zuccarelli, Carolina, Christovão, Ana Carolina","Educação &amp; Sociedade; 37(134); 171-193","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000100171&lang=pt" 
"S0101-73302016000100055-scl","DE LAS ROCALLOSAS A LOS ANDES: EL EXPERIMENTO DE ESCUELAS CHARTER EN EL CONTEXTO POLÍTICO ARGENTINO","Moschetti, Mauro Carlos, Gottau, Verónica","Educação &amp; Sociedade; 37(134); 55-72","Educação &amp; Sociedade","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000100055&lang=pt" 
"S0101-73302016000100153-scl","HOMESCHOOLING NO BRASIL: AMPLIAÇÃO DO DIREITO À EDUCAÇÃO OU VIA DE PRIVATIZAÇÃO?","Barbosa, Luciane Muniz Ribeiro","Educação &amp; Sociedade; 37(134); 153-168","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000100153&lang=pt" 
"S0101-73302016000100245-scl","DO PROJETO POLÍTICO-PEDAGÓGICO DE ROUSSEAU: ALGUMAS CONSIDERAÇÕES","Paiva, Wilson Alves de","Educação &amp; Sociedade; 37(134); 245-262","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000100245&lang=pt" 
"S1516-635X2016000100087-scl","Serological Detection of Newcastle Disease Virus Antibodies in Local Chickens and Guinea Fowls in the Area of Kumasi, Ghana","Boakye, OD, Emikpe, BO, Folitse, RD, Bonnah, SG, Adusei, K, Owusu, M, Oyebanji, VO","Revista Brasileira de Ciência Avícola; 18(1); 87-92","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100087&lang=pt" 
"S1516-635X2016000100197-scl","Pathological Aspects of a Subclinical Marek&#039;s Disease Case in Free-Range Chickens","Abreu, DLC, Santos, FF, José, DS, Tortelly, R, Nascimento, ER, Pereira, VLA","Revista Brasileira de Ciência Avícola; 18(1); 197-200","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100197&lang=pt" 
"S1516-635X2016000100193-scl","Determination of Moisture Levels, Protein and Water Absorption of Chicken Giblets","Scaratti, D, Geremias, R, Franchin, PR, Scaratti, G","Revista Brasileira de Ciência Avícola; 18(1); 193-196","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100193&lang=pt" 
"S1516-635X2016000100009-scl","Yolk Color and Lipid Oxidation of the Eggs of Commercial White Layers Fed Diets Supplemented with Vegetable Oils","Faitarone, ABG, Garcia, EA, Roça, RO, Andrade, EN, Vercese, F, Pelícia, K","Revista Brasileira de Ciência Avícola; 18(1); 9-16","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100009&lang=pt" 
"S1516-635X2016000100125-scl","Reduced Nutrient Excretion and Environmental Microbial Load with the Addition of a Combination of Enzymes and Direct-Fed Microbials to the Diet of Broiler Chickens","Praes, MFFM, Lucas Junior, J, Duarte, KF, Sorbara, JOB, Matos Junior, JB, Sgavioli, S, Domingues, CHF, Garcia, RG, Hermes, RG","Revista Brasileira de Ciência Avícola; 18(1); 125-132","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100125&lang=pt" 
"S1516-635X2016000100163-scl","Helminthic Parasites of Chickens (Gallus Domesticus) in Different Regions of São Paulo State, Brazil","Silva, GS da, Romera, DM, Fonseca, LEC, Meireles, MV","Revista Brasileira de Ciência Avícola; 18(1); 163-168","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100163&lang=pt" 
"S1516-635X2016000100057-scl","Comparison of Three Temperatures for the Hatching Phase in the Artificial Incubation of Red-legged Partridge (Alectoris rufa) Eggs","González-Redondo, P, Díaz-Merino, R","Revista Brasileira de Ciência Avícola; 18(1); 57-62","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100057&lang=pt" 
"S1516-635X2016000100153-scl","Effect of In-Ovo Ascorbic Acid Injection on the Bone Development of Broiler Chickens Submitted to Heat Stress During Incubation and Rearing","Sgavioli, S, Domingues, CHF, Santos, ET, Quadros, TCO de, Borges, LL, Garcia, RG, Louzada, MJQL, Boleli, IC","Revista Brasileira de Ciência Avícola; 18(1); 153-162","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100153&lang=pt" 
"S1516-635X2016000100001-scl","Hatching Characteristics and Growth Performance of Eggs with Different Egg Shapes","Alasahan, S, Copur, AG","Revista Brasileira de Ciência Avícola; 18(1); 1-8","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100001&lang=pt" 
"S1516-635X2016000100169-scl","Technical Performance and Cost Analysis of Broiler Production in Turkey","Tandoğan, M, Çiçek, H","Revista Brasileira de Ciência Avícola; 18(1); 169-174","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100169&lang=pt" 
"S1516-635X2016000100041-scl","Melaleuca alternifolia Essential Oil against the Lesser Mealworm (Alphitobius diaperinus) and Its Possible Effect on the Soil Fauna","Volpato, A, Lorenzetti, WR, Zortea, T, Giombelli, LCDD, Baretta, D, Santos, RCV, Vaucher, RA, Raffin, RP, Souza, ME, Stefani, LM, Boligon, AA, Athayde, ML, Silva, AS da","Revista Brasileira de Ciência Avícola; 18(1); 41-46","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100041&lang=pt" 
"S1516-635X2016000100029-scl","Effects of the Addition of Glucose, Sodium Bicarbonate, and Vitamin E to the Drinking Water of Pre-Slaughter Broiler Chickens on Carcass Yield, Gastric Emptying and Meat Quality","Petrolli, TG, Junqueira, OM, Domingues, CHF, Pereira, ASC, Santos, ET, Rocha, RX","Revista Brasileira de Ciência Avícola; 18(1); 29-34","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100029&lang=pt" 
"S1516-635X2016000100141-scl","Live Performance, Carcass Yield, and Welfare of Broilers of Different Genetic Strains Reared at Different Housing Densities","Arruda, JNT, Mendes, AS, Guirro, ECBP, Schneider, M, Sikorski, RR, Sausen, L, Dias, ER, Bonamigo, DV","Revista Brasileira de Ciência Avícola; 18(1); 141-152","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100141&lang=pt" 
"S1516-635X2016000100117-scl","Detection of Salmonella spp. by Conventional Bacteriology and by Quantitative Polymerase-Chain Reaction in Commercial Egg Structures","Moraes, DMC, Duarte, SC, Bastos, TSA, Rezende, CLG, Leandro, NSM, Café, MB, Stringhini, JH, Andrade, MA","Revista Brasileira de Ciência Avícola; 18(1); 117-124","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100117&lang=pt" 
"S1516-635X2016000100023-scl","Evaluation of the Direct and Enrichment Iso 10272 Methods for the Detection of Campylobacter Spp. in Chicken Meat","Benetti, TM, Abrahão, WM, Ferro, ID, Macedo, REF, Oliveira, TCRM","Revista Brasileira de Ciência Avícola; 18(1); 23-28","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100023&lang=pt" 
"S1516-635X2016000100063-scl","Campylobacter Jejuni Increases Transcribed Il-1 B and Causes Morphometric Changes in the Ileal Enterocytes of Chickens","Fonseca, BB, Ferreira Júnior, A, Santos, JP dos, Coelho, LR, Rossi, DA, Melo, RT, Mendonça, EP, Araújo, TG, Alves, RN, Beletti, ME","Revista Brasileira de Ciência Avícola; 18(1); 63-68","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100063&lang=pt" 
"S1516-635X2016000100035-scl","Effec t of Freeze-Thaw Cycles on Lipid Oxidation and Myowater in Broiler Chickens","Ali, S, Rajput, N, Li, C, Zhang, W, Zhou, G","Revista Brasileira de Ciência Avícola; 18(1); 35-40","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100035&lang=pt" 
"S1516-635X2016000100187-scl","Expression of Nerve Growth Factor (NGF) and Its Receptors TrkA and p75 in the Reproductive Organs of Laying Hens","Shaoxia, PU, Changwei, QU, Zhi, LI, Yansen, LI, ChunMei, LI","Revista Brasileira de Ciência Avícola; 18(1); 187-192","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100187&lang=pt" 
"S1516-635X2016000100093-scl","Dexamethasone Regulates Macrophage and Cd4+Cd25+ Cell Numbers in the Chicken Spleen","Calefi, AS, Quinteiro-Filho, WM, Fukushima, AR, Cruz, DSG da, Siqueira, A de, Salvagni, FA, Namazu, LB, Gomes, COMS, Ferreira, AJP, Palermo Neto, J","Revista Brasileira de Ciência Avícola; 18(1); 93-100","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100093&lang=pt" 
"S1516-635X2016000100181-scl","Effects of Arginine Supplementation on Organ Development, Egg Quality, Serum Biochemical parameters, and Immune Status of Laying Hens","Yang, H, Ju, X, Wang, Z, Yang, Z, Lu, J, Wang, W","Revista Brasileira de Ciência Avícola; 18(1); 181-186","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100181&lang=pt" 
"S1516-635X2016000100047-scl","The Efficiency of AMEn and TMEn Utilization for NE in Broiler Diets","Yaghobfar, A","Revista Brasileira de Ciência Avícola; 18(1); 47-56","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100047&lang=pt" 
"S1516-635X2016000100201-scl","Erratum","","Revista Brasileira de Ciência Avícola; 18(1); 201-201","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100201&lang=pt" 
"S1676-06032016000100201-scl","Amphibians of varzea environments and floating meadows of the oxbow lakes of the Middle Purus River, Amazonas, Brazil","Ramalho, Werther Pereira, Andrade, Murilo Sousa, Matos, Lucicléia Railene Assis de, Vieira, Lisandro Juno Soares","Biota Neotropica; 16(1); -","Biota Neotropica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032016000100201&lang=pt" 
"S1676-06032016000100402-scl","Annual changes in a bird assembly on artificial perches: Implications for ecological restoration in a subtropical agroecosystem","Vogel, Huilquer Francisco, Spotswood, Erica, Campos, João Batista, Bechara, Fernando Campanhã","Biota Neotropica; 16(1); -","Biota Neotropica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032016000100402&lang=pt" 
"S1676-06032016000100401-scl","First report on dung beetles in intra-Amazonian savannahs in Roraima, Brazil","França, Filipe M., Korasaki, Vanesca, Louzada, Julio, Vaz-de-Mello, Fernando Z.","Biota Neotropica; 16(1); -","Biota Neotropica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032016000100401&lang=pt" 
"S1676-06032016000100105-scl","Leguminosae in an altitudinal gradient in the Atlantic Forest of Serra do Mar State Park, São Paulo, Brazil","Silva, Edson Dias da, Tozzi, Ana Maria Goulart de Azevedo, Meireles, Leonardo Dias","Biota Neotropica; 16(1); -","Biota Neotropica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032016000100105&lang=pt" 
"S1676-06032016000100202-scl","Insect galls from Serra Geral, Caetité, BA, Brazil","Nogueira, Ravena Malheiros, Costa, Elaine Cotrim, Carvalho-Fernandes, Sheila Patrícia, Santos-Silva, Juliana","Biota Neotropica; 16(1); -","Biota Neotropica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032016000100202&lang=pt" 
"S1516-635X2016000100073-scl","Effects of 1.25-Dihydroxycholecalciferol and Hydroalcoholic Extract of Withania Coagulans Fruit on Bone Mineralization and Mechanical and Histological Properties of Male Broiler Chickens","Hosseini, SJ, Kermanshahi, H, Nassirimoghaddam, H, Nabipour, A, Mirakzeh, MT, Saleh, H, Kazemifard, M","Revista Brasileira de Ciência Avícola; 18(1); 73-86","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100073&lang=pt" 
"S1516-635X2016000100133-scl","Assessment of Broiler Chicken Welfare in Southern Brazil","Federici, JF, Vanderhasselt, R, Sans, ECO, Tuyttens, FAM, Souza, APO, Molento, CFM","Revista Brasileira de Ciência Avícola; 18(1); 133-140","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100133&lang=pt" 
"S1516-635X2016000100101-scl","The Effects of Different Types of Antioxidants (Se, Vitamin E and Carotenoids) in Broiler Diets on the Growth Performance, Skin Pigmentation and Liver and Plasma Antioxidant Concentrations","Karadas, F, Erdoğan, S, Kor, D, Oto, G, Uluman, M","Revista Brasileira de Ciência Avícola; 18(1); 101-116","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000100101&lang=pt" 
"S1021-20192016000100005-sza","Hydraulic model study of the blowback behaviour of the bottom outlet of the Berg River Dam, South Africa","Bosman, A, Basson, G R, Bosman, D E","Journal of the South African Institution of Civil Engineering; 58(1); 43-52","Journal of the South African Institution of Civil Engineering","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-20192016000100005&lang=pt" 
"S1518-70122016000100015-scl","Efeitos do Programa Nacional de Produção e Uso de Biodiesel no território camponês em assentamento rural","Ribeiro, Dinalva Donizete, Dias, Mariza Souza","Interações (Campo Grande); 17(1); 15-21","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000100015&lang=pt" 
"S1518-70122016000100066-scl","Comunidades ribeirinhas na Amazônia: organização sociocultural e política","Lira, Talita de Melo, Chaves, Maria do Perpétuo Socorro Rodrigues","Interações (Campo Grande); 17(1); 66-76","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000100066&lang=pt" 
"S1021-20192016000100002-sza","A comparison of technical and practical aspects of Eurocode 3-1-1 and SANS 10162-1 hot-rolled steelwork design codes","Walls, R S, Viljoen, C","Journal of the South African Institution of Civil Engineering; 58(1); 16-25","Journal of the South African Institution of Civil Engineering","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-20192016000100002&lang=pt" 
"S1021-20192016000100006-sza","Electricity generation as a beneficial post-closure land use option for a dormant tailings storage facility","van Eeden, S J, Jacobsz, S W, Rust, M, Rust, E","Journal of the South African Institution of Civil Engineering; 58(1); 53-61","Journal of the South African Institution of Civil Engineering","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-20192016000100006&lang=pt" 
"S1518-70122016000100134-scl","Dinâmicas institucionais e interações sociais: os efeitos não planejados da modernização da agricultura no Brasil e na França","Gomes, Ramonildes Alves, Miranda, Roberto de Sousa","Interações (Campo Grande); 17(1); 134-144","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000100134&lang=pt" 
"S1518-70122016000100054-scl","O efeito do Programa Territorial nas relações sociais dos agricultores familiares do Território da Cidadania do Vale do Rio Vermelho, em Goiás, Brasil","Camargo, Ricardo de Siqueira, Medina, Gabriel","Interações (Campo Grande); 17(1); 54-65","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000100054&lang=pt" 
"S1518-70122016000100046-scl","Los procesos de transformación territorial del área hortícola próxima a la ciudad de Bahía Blanca abordados a partir de talleres participativos con alumnos de las escuelas rurales y su aporte al desarrollo local","Fuente, Laura de la, Lorda, María Amalia","Interações (Campo Grande); 17(1); 46-53","Interações (Campo Grande)","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000100046&lang=pt" 
"S1518-70122016000100110-scl","O Português Centro Histórico de São Francisco do Sul (BR): um atributo para o turismo cultural","Rossini, Diva de Mello, Tricárico, Luciano Torres, Tomelin, Carlos Alberto","Interações (Campo Grande); 17(1); 110-125","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000100110&lang=pt" 
"S1518-70122016000100126-scl","Fatores determinantes da dependência de crack na tríplice fronteira - Brasil, Bolívia e Paraguai","Veras, André Barciela","Interações (Campo Grande); 17(1); 126-133","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000100126&lang=pt" 
"S1021-20192016000100001-sza","Are estimates of catchment response time inconsistent as used in current flood hydrology practice in South Africa?","Gericke, O J, Smithers, J C","Journal of the South African Institution of Civil Engineering; 58(1); 02-15","Journal of the South African Institution of Civil Engineering","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-20192016000100001&lang=pt" 
"S1518-70122016000100004-scl","Crédito e conservação ambiental no extrativismo da carnaúba (Copernicia prunifera (Mill.) H. E. Moore) no nordeste brasileiro no período de 2007 a 2012","Costa, Vera Lúcia dos Santos, Gomes, Jaíra Maria Alcobaça","Interações (Campo Grande); 17(1); 4-14","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000100004&lang=pt" 
"S1518-70122016000100033-scl","Entidades performáticas e desestabilização: o desenvolvimento local para além do mainstream","Meyer, Gustavo, Marques, Flávia Charão, Barbosa, Gabriel Túlio de Oliveira","Interações (Campo Grande); 17(1); 33-45","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000100033&lang=pt" 
"S1518-70122016000100145-scl","Mensuração de ativos biológicos pelo método de custo histórico e valor justo na pecuária leiteira","Vieira, Eloir Trindade Vasques, Itavo, Luis Carlos Vinhas, Aranha, Jose Aparecido Moura","Interações (Campo Grande); 17(1); 145-153","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000100145&lang=pt" 
"S1518-70122016000100099-scl","Desenvolvimento local e inovação em atividades tradicionais: o arranjo produtivo local de turismo Lagoas e Mares do Sul, Alagoas, Brasil","Lustosa, Maria Cecilia Junqueira, Rosário, Francisco José Peixoto","Interações (Campo Grande); 17(1); 99-109","Interações (Campo Grande)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000100099&lang=pt" 
"S1518-70122016000100087-scl","¿Son las emociones un motor de acción política? Las inundaciones en el Valle de Chalco como conflictos socioambientales","Alba, Felipe de, Martín, Juana, Macario, Alexia","Interações (Campo Grande); 17(1); 87-98","Interações (Campo Grande)","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122016000100087&lang=pt" 
"S1021-20192016000100003-sza","The identification and treatment of poor durability Karoo dolerite base course aggregate - evidence from case studies","Leyland, R C, Momayez, M, van Rooy, J L","Journal of the South African Institution of Civil Engineering; 58(1); 26-33","Journal of the South African Institution of Civil Engineering","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-20192016000100003&lang=pt" 
