"S1516-44462013000100010-scl","The panic disorder respiratory ratio: a dimensional approach to the respiratory subtype","Freire, Rafael Christophe, Nascimento, Isabella, Valença, Alexandre Martins, Lopes, Fabiana Leão, Mezzasalma, Marco André, Melo Neto, Valfrido Leão de, Zin, Walter Araujo, Nardi, Antonio Egidio","Revista Brasileira de Psiquiatria; 35(1); 57-62","Revista Brasileira de Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462013000100010&lang=pt" 
"S1984-29612013000100001-scl","Editorial","Machado, Rosangela Zacarias","Revista Brasileira de Parasitologia Veterinária; 22(1); I-I","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100001&lang=pt" 
"S1984-29612013000100159-scl","Noteworthy records of Ixodes schulzei(Acari: Ixodidae) on rodents from the State of Parana, southern Brazil","Onofrio, Valeria Castilho, Nieri-Bastos, Fernanda Aparecida, Sampaio, Janio dos Santos, Soares, João Fábio, Silva, Maria José de Jesus, Barros-Battesti, Darci Moraes","Revista Brasileira de Parasitologia Veterinária; 22(1); 159-161","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100159&lang=pt" 
"S1984-29612013000100104-scl","Serosurvey of tick-borne pathogens in dogs from urban and rural areas from Parana State, Brazil","Vieira, Thállitha Samih Wischral Jayme, Vieira, Rafael Felipe da Costa, Nascimento, Denise Amaral Gomes do, Tamekuni, Kátia, Toledo, Roberta dos Santos, Chandrashekar, Ramaswamy, Marcondes, Mary, Biondo, Alexander Welker, Vidotto, Odilon","Revista Brasileira de Parasitologia Veterinária; 22(1); 104-109","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100104&lang=pt" 
"S1984-29612013000100002-scl","A new laboratorial method for the diagnosis of gastrointestinal parasites in dogs","Coelho, Willian Marinho Dourado, Gomes, Jancarlo Ferreira, Amarante, Alessandro Francisco Talamini do, Bresciani, Katia Denise Saraiva, Lumina, Giuliano, Koshino-Shimizu, Sumie, Leme, Denise Pereira, Falcão, Alexandre Xavier","Revista Brasileira de Parasitologia Veterinária; 22(1); 1-5","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100002&lang=pt" 
"S1984-29612013000100003-scl","Ticks infesting birds in Atlantic Forest fragments in Rio Claro, State of Sao Paulo, Brazil","Sanches, Gustavo Seron, Martins, Thiago Fernandes, Lopes, Ileyne Tenório, Costa, Luís Flávio da Silva, Nunes, Pablo Henrique, Camargo-Mathias, Maria Izabel, Labruna, Marcelo Bahia","Revista Brasileira de Parasitologia Veterinária; 22(1); 6-12","Revista Brasileira de Parasitologia Veterinária","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612013000100003&lang=pt" 
"S0101-28002013000100008-scl","Injúria Renal Aguda no paciente politraumatizado","Romano, Thiago Gomes, Tierno, Paulo Fernando Guimarães Morando Marzocchi","Jornal Brasileiro de Nefrologia; 35(1); 48-56","Jornal Brasileiro de Nefrologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002013000100008&lang=pt" 
"S1130-52742013000100003-esp","Tratamiento del Síndrome del Cromosoma X Frágil desde la atención infantil temprana en España","Robles-Bello, María Auxiliadora, Sánchez-Teruel, David","Clínica y Salud; 24(1); 19-26","Clínica y Salud","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742013000100003&lang=pt" 
"S1130-52742013000100005-esp","Salud y sobrecarga percibida en personas cuidadoras familiares de una zona rural","Manso Martínez, Mª Esperanza, Sánchez López, Mª del Pilar, Cuéllar Flores, Isabel","Clínica y Salud; 24(1); 37-45","Clínica y Salud","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742013000100005&lang=pt" 
"S1130-52742013000100001-esp","La atención psicológica a pacientes con cáncer: de la evaluación al tratamiento","Hernández, Manuel, Cruzado, Juan Antonio","Clínica y Salud; 24(1); 1-9","Clínica y Salud","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742013000100001&lang=pt" 
"S1130-52742013000100006-esp","Recommendations for the use of statistics in Clinical and Health Psychology","Palmer, Alfonso, Sesé, Albert","Clínica y Salud; 24(1); 47-54","Clínica y Salud","Inglês","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742013000100006&lang=pt" 
"S1130-52742013000100004-esp","Daño cerebral adquirido: percepción del familiar de las secuelas y su malestar psicológico","López de Arróyabe Castillo, Elena, Calvete Zumalde, Esther","Clínica y Salud; 24(1); 27-35","Clínica y Salud","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742013000100004&lang=pt" 
"S1130-52742013000100002-esp","Integrative behavioral couple therapy vs. traditional behavioral couple therapy: a theoretical review of the differential effectiveness","Perissutti, Christina, Barraca, Jorge","Clínica y Salud; 24(1); 11-18","Clínica y Salud","Inglês","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742013000100002&lang=pt" 
"S0717-97072013000100007-chl","PALLADIUM COMPLEX BEARING 3,5-BIS(BENZOTRIAZOL-1-YLMETHYL)TOLUENE LIGAND CATALYZES OXIDATIVE AMINATION OF ALLYL BUTYL ETHER","HURTADO, JOHN, ROJAS, RENÉ S, PÉREZ, EDWIN G, VALDERRAMA, MAURICIO","Journal of the Chilean Chemical Society; 58(1); 1534-1536","Journal of the Chilean Chemical Society","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072013000100007&lang=pt" 
"S0717-97072013000100001-chl","SYNTHESIS, CRYSTAL STRUCTURE AND ANTIOXIDANT POTENTIAL OF DI-(TV-CINNAMYL) FLUOXETINE CHLORIDE","KANWAL, NOSHEEN, SAHIN, ONUR, HUSAAIN, ERUM A, ULLAHKHAN, ISLAM, BUYUKGUNGOR, ORHAN","Journal of the Chilean Chemical Society; 58(1); 1508-1512","Journal of the Chilean Chemical Society","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072013000100001&lang=pt" 
"S0717-97072013000100022-chl","NANOPARTICLES DISPERSION IN PROCESSING NANOSTRUCTURE CHIRAL POLY(AMIDE-IMIDE)S BASED ON 7V-TRIMELLITYLIMIDO-Z,-LEUCINE/TiO2 NANOCOMPOSITES: ALLOCATION AND PROPERTIES","MALLAKPOUR, SHADPOUR, KHANI, MARZIYEH","Journal of the Chilean Chemical Society; 58(1); 1603-1608","Journal of the Chilean Chemical Society","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072013000100022&lang=pt" 
"S0717-95022013000100043-chl","Body Height and Its Estimation Utilizing Arm Span Measurements in Serbian Adults","Popovic, Stevo, Bjelica, Dusko, Molnar, Slavko, Jaksic, Damjan, Akpinar, Selcuk","International Journal of Morphology; 31(1); 271-279","International Journal of Morphology","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000100043&lang=pt" 
"S0716-078X2013000100007-chl","The Chacoan bat fauna identity: Patterns of distributional congruence and conservation implications","SANDOVAL, M. LEONOR, BARQUEZ, RUBÉN M","Revista chilena de historia natural; 86(1); 75-94","Revista chilena de historia natural","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2013000100007&lang=pt" 
"S0716-078X2013000100006-chl","Nurse effect and herbivory exclusion facilitate plant colonization in abandoned mine tailings storage facilities in north-central Chile","CUEVAS, JAIME G, SILVA, SERGIO I, LEÓN-LOBOS, PEDRO, GINOCCHIO, ROSANNA","Revista chilena de historia natural; 86(1); 63-74","Revista chilena de historia natural","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2013000100006&lang=pt" 
"S0717-92272013000100006-chl","Conductas autolesivas no suicidas en la práctica clínica: Primera parte: conceptualización y diagnóstico","Villarroel G, Juana, Jerez C, Sonia, Montenegro M, M. Angélica, Montes A, Cristian, Igor M, Mirko, Silva I, Hernán","Revista chilena de neuro-psiquiatría; 51(1); 38-45","Revista chilena de neuro-psiquiatría","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272013000100006&lang=pt" 
"S0717-97072013000100029-chl","SYNTHESIS, CHARACTERIZATION, DNA BINDING AND CLEAVAGE ACTIVITY OF RUTHENIUM(II) COMPLEXES WITH HETEROCYCLIC SUBSTITUTED THIOSEMICARBAZONES","SATHIYARAJ, SUBBAIYAN, JAYABALAKRISHNAN, CHINNASAMY","Journal of the Chilean Chemical Society; 58(1); 1637-1642","Journal of the Chilean Chemical Society","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072013000100029&lang=pt" 
"S0717-92272013000100007-chl","Trastorno esquizoafectivo: ¿Cuánto de esquizofrenia? ¿Cuánto de bipolar?","Lermanda S, Víctor, Holmgren G, Dagmar, Soto-Aguilar B, Francisca, Sapag S, Fuad","Revista chilena de neuro-psiquiatría; 51(1); 46-60","Revista chilena de neuro-psiquiatría","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272013000100007&lang=pt" 
"S0716-078X2013000100008-chl","Diet of the coati Nasua nasua (Carnivora: Procyonidae) in an area of woodland inserted in an urban environment in Brazil","FERREIRA, GIOVANNE A, NAKANO-OLIVEIRA, EDUARDO, GENARO, GELSON, LACERDA-CHAVES, ADMA K","Revista chilena de historia natural; 86(1); 95-102","Revista chilena de historia natural","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2013000100008&lang=pt" 
"S0717-95022013000100020-chl","Digestive Peritoneum in Wistar Rat (Rattus norvegicus)","Möller, Richard, Vazquez, Noelia, Teliz, Diana, Méndez, Virginia","International Journal of Morphology; 31(1); 128-130","International Journal of Morphology","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000100020&lang=pt" 
"S0717-95022013000100014-chl","Radiologic Evaluation of Clavicular Morphology in Southern Nigerians","Udoaka, A. I, Nwokediuko, A. U","International Journal of Morphology; 31(1); 94-99","International Journal of Morphology","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000100014&lang=pt" 
"S0717-95022013000100009-chl","Effects of Lipokit® Centrifugation on Morphology and Resident Cells of Adipose Tissue","Duman, Selcuk, Aktan, Tahsin Murad, Cuce, Gokhan, Cihantimur, Bulent, Tokac, Mehmet, Akbulut, Habip","International Journal of Morphology; 31(1); 64-69","International Journal of Morphology","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000100009&lang=pt" 
"S0717-95022013000100017-chl","An Anatomical Study of Variations of Sacral Hiatus in Sacra of North Indian Origin and Its Clinical Significance","Seema, , Singh, M, Mahajan, A","International Journal of Morphology; 31(1); 110-114","International Journal of Morphology","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022013000100017&lang=pt" 
"S0717-73482013000100004-chl","Tratamiento del tabaquismo en pacientes con enfermedad pulmonar obstructiva crónica","Bello S, Sergio, CHamorro R, Haydee, Barrientos R, Andrea","Revista chilena de enfermedades respiratorias; 29(1); 24-30","Revista chilena de enfermedades respiratorias","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482013000100004&lang=pt" 
"S1870-199X2013000100007-mex","Manejo protésico-quirúrgico del paciente hemimandibulectomizado","Sistos Ramírez, Jorge Ernesto, Jiménez Castillo, René, Benavides Ríos, Alejandro","Revista odontológica mexicana; 17(1); 42-46","Revista odontológica mexicana","Inglês, Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-199X2013000100007&lang=pt" 
"S1870-199X2013000100004-mex","Evaluación del sellado apical de tres técnicas de obturación en presencia de instrumentos rotatorios de NiTi fracturados","Moreno González, Vera A, Argüello Regalado, Gustavo, Pérez Tejada, Haroldo Elorza","Revista odontológica mexicana; 17(1); 20-25","Revista odontológica mexicana","Inglês, Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-199X2013000100004&lang=pt" 
"S1870-199X2013000100006-mex","Evaluación de la citotoxicidad de distintos cementos selladores endodónticos en cultivos de fibroblastos gingivales","Cortázar Fernández, Claudia, García Aranda, Raúl Luis, Willershausen, Inés, Willershausen, Brita, Briseño Marroquín, Benjamín","Revista odontológica mexicana; 17(1); 33-41","Revista odontológica mexicana","Inglês, Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-199X2013000100006&lang=pt" 
"S1870-199X2013000100001-mex","Algunas recomendaciones en la práctica de la anatomía patológica","Valenzuela Espinoza, M Alfonso","Revista odontológica mexicana; 17(1); 6-6","Revista odontológica mexicana","Inglês, Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-199X2013000100001&lang=pt" 
"S1646-88722013000100001-prt","Gestão de Praias no Brasil: Subsídios para uma Reflexão","Scherer, Marinez","Revista de Gestão Costeira Integrada; 13(1); 3-13","Revista de Gestão Costeira Integrada","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-88722013000100001&lang=pt" 
"S1646-88722013000100002-prt","Indices to monitor coastal ecological quality of rocky shores based on seaweed communities: simplification for wide geographical use","Wallenstein, Francisco M., Neto, Ana I., Patarra, Rita F., Prestes, Afonso C. L., Álvaro, Nuno V., Rodrigues, Armindo S., Wilkinson, Martin","Revista de Gestão Costeira Integrada; 13(1); 15-25","Revista de Gestão Costeira Integrada","Inglês","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-88722013000100002&lang=pt" 
"S1646-88722013000100003-prt","Mapas de Risco das Zonas Costeiras por Efeito da Ação Energética do Mar","Pereira, Carla, Coelho, Carlos","Revista de Gestão Costeira Integrada; 13(1); 27-43","Revista de Gestão Costeira Integrada","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-88722013000100003&lang=pt" 
"S1646-88722013000100004-prt","Paisagem costeira do litoral oriental do estado do Rio Grande do Norte (Brasil): evolução temporal e padrões espaciais dos campos de dunas móveis","Fernandes, Lucyanno dos Reis, Amaral, Ricardo Farias do","Revista de Gestão Costeira Integrada; 13(1); 45-49","Revista de Gestão Costeira Integrada","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-88722013000100004&lang=pt" 
"S1646-88722013000100005-prt","Experimento de Fluxo de Sedimentos em um Segmento de Campo de Dunas Eólicas Costeiras de Jenipabu - Litoral Oriental do Rio Grande do Norte, Brasil","Malta, Júlia Varella, Amaral, Ricardo Farias do","Revista de Gestão Costeira Integrada; 13(1); 61-78","Revista de Gestão Costeira Integrada","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-88722013000100005&lang=pt" 
"S1646-88722013000100006-prt","Expansão Portuária, Desenvolvimento Municipal e Alterações Ambientais no Brasil: Desafios para a gestão costeira","Oliveira, D. S., Domingues, M. V. D. R., Asmus, M. L., Abdallah, P. R.","Revista de Gestão Costeira Integrada; 13(1); 79-87","Revista de Gestão Costeira Integrada","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-88722013000100006&lang=pt" 
"S1646-88722013000100007-prt","Identificação de áreas de sedimentos compatíveis na plataforma continental interna para recuperação de praias entre as cidades de Niterói e Macaé - Rio de Janeiro, Brasil","Oliveira, Julio F. de, Muehe, Dieter","Revista de Gestão Costeira Integrada; 13(1); 89-99","Revista de Gestão Costeira Integrada","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-88722013000100007&lang=pt" 
"S1646-88722013000100008-prt","Factors affecting the distribution of epibenthic biodiversity in the Cávado estuary (NW Portugal)","Carvalho, A. N., Santos, P. T.","Revista de Gestão Costeira Integrada; 13(1); 101-111","Revista de Gestão Costeira Integrada","Inglês","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-88722013000100008&lang=pt" 
"S1646-88722013000100009-prt","Análise da evolução da linha de costa entre as Praias do Futuro e Porto das Dunas, Região Metropolitana de Fortaleza (RMF), estado do Ceará, Brasil","Marino, Márcia Thelma Rios Donato, Freire, George Satander Sá","Revista de Gestão Costeira Integrada; 13(1); 113-129","Revista de Gestão Costeira Integrada","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-88722013000100009&lang=pt" 
"S0101-32892013000100001-scl","Uma nova etapa da RBCE","Vaz, Alexandre Fernandez, Almeida, Felipe Quintão de, Bassani, Jaison José","Revista Brasileira de Ciências do Esporte; 35(1); 1-2","Revista Brasileira de Ciências do Esporte","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892013000100001&lang=pt" 
"S0101-32892013000100007-scl","Limiar anaeróbico ventilatório em adolescentes brasileiros de ambos os sexos","Gomes, Kamilla Bolonha, Carletti, Luciana, Perez, Anselmo José, Rodrigues, Anabel Nunes","Revista Brasileira de Ciências do Esporte; 35(1); 65-80","Revista Brasileira de Ciências do Esporte","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892013000100007&lang=pt" 
"S0101-32892013000100002-scl","Indicativo de transtorno do desenvolvimento da coordenação de escolares com idade entre 7 e 10 anos","Silva, Juliana da, Beltrame, Thaís Silva","Revista Brasileira de Ciências do Esporte; 35(1); 3-14","Revista Brasileira de Ciências do Esporte","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892013000100002&lang=pt" 
"S0101-32892013000100003-scl","Efeito da direção da transferência interlateral no aprendizado de tarefa de sequência de toques de dedos","Andrean, Paulo César, Faquin, Bruno Secco, Dascal, Juliana Bayeux, Okazaki, Victor Hugo Alves","Revista Brasileira de Ciências do Esporte; 35(1); 15-26","Revista Brasileira de Ciências do Esporte","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892013000100003&lang=pt" 
"S0101-32892013000100004-scl","Consumo de suplementos nutricionais por frequentadores de academias da cidade de Porto Alegre","Fayh, Ana Paula Trussardi, Silva, Cláudia Villela da, Jesus, Flávia Roanna Dotto de, Costa, Gabriela Kerpel","Revista Brasileira de Ciências do Esporte; 35(1); 27-37","Revista Brasileira de Ciências do Esporte","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892013000100004&lang=pt" 
"S0101-32892013000100005-scl","Perfil lipídico e glicêmico de ratos treinados em exercício aeróbio ou anaeróbio e suplementados com maltodextrina","Leite, Cátia Fernandes, Hartleben, Cláudia Pinho, Magalhães, Caroline Soares, Rombaldi, Airton José","Revista Brasileira de Ciências do Esporte; 35(1); 39-50","Revista Brasileira de Ciências do Esporte","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892013000100005&lang=pt" 
"S0101-32892013000100006-scl","Insatisfação com o peso e a massa corporal em estudantes do ensino fundamental e médio do sexo feminino no município do Rio de Janeiro","Palma, Alexandre, Resende, Fabiana, Marques, Rodrigo Sant&#039;anna, Assis, Monique, Teves, Nilda, Moreira, Jéssica Pronestino de Lima","Revista Brasileira de Ciências do Esporte; 35(1); 51-64","Revista Brasileira de Ciências do Esporte","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892013000100006&lang=pt" 
"S0101-32892013000100008-scl","Prática de futebol e fatores sociodemográficos associados em adolescentes","Silva, Diego Augusto Santos, Silva, Roberto Jerônimo dos Santos, Petroski, Edio Luiz","Revista Brasileira de Ciências do Esporte; 35(1); 81-93","Revista Brasileira de Ciências do Esporte","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892013000100008&lang=pt" 
"S0101-32892013000100009-scl","A esportivização do skate (1960-1990): relações entre o macro e o micro","Honorato, Tony","Revista Brasileira de Ciências do Esporte; 35(1); 95-112","Revista Brasileira de Ciências do Esporte","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892013000100009&lang=pt" 
"S0101-32892013000100010-scl","Sem tempo de ser criança: a pressa no contexto da educação de crianças e implicações nas aulas de educação física","Staviski, Gilmar, Surdi, Aguinaldo, Kunz, Elenor","Revista Brasileira de Ciências do Esporte; 35(1); 113-128","Revista Brasileira de Ciências do Esporte","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892013000100010&lang=pt" 
"S0101-32892013000100011-scl","Competição e cooperação: na procura do equilíbrio","Lovisolo, Hugo Rodolfo, Borges, Carlos Nazareno Ferreira, Muniz, Igor Barbarioli","Revista Brasileira de Ciências do Esporte; 35(1); 129-143","Revista Brasileira de Ciências do Esporte","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892013000100011&lang=pt" 
"S0101-32892013000100012-scl","A juventude rumo à docência: considerações acerca da formação profissional em educação física","Cruz Junior, Gilson, Caparróz, Francisco Eduardo","Revista Brasileira de Ciências do Esporte; 35(1); 145-159","Revista Brasileira de Ciências do Esporte","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892013000100012&lang=pt" 
"S0101-32892013000100014-scl","Jogando com as feminilidades: um estudo etnográfico em um time de futsal feminino de Porto Alegre","Silveira, Raquel da, Stigger, Marco Paulo","Revista Brasileira de Ciências do Esporte; 35(1); 179-194","Revista Brasileira de Ciências do Esporte","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892013000100014&lang=pt" 
"S0101-32892013000100015-scl","Olhando futebol: jeitos Xavantes de torcer","Jahnecka, Luciano, Rigo, Luiz Carlos, Silva, Méri Rosane Santos da","Revista Brasileira de Ciências do Esporte; 35(1); 195-210","Revista Brasileira de Ciências do Esporte","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892013000100015&lang=pt" 
"S0101-32892013000100016-scl","Los cuerpos y sus marcas socio-étnicas: futbol, identidades e historia en los valles orientales de Jujuy (Argentina)","Fernández, Federico","Revista Brasileira de Ciências do Esporte; 35(1); 211-225","Revista Brasileira de Ciências do Esporte","Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892013000100016&lang=pt" 
"S0101-32892013000100017-scl","Corpo e religião: marcas da educação evangélica no corpo feminino","Rigoni, Ana Carolina Capellini, Prodócimo, Elaine","Revista Brasileira de Ciências do Esporte; 35(1); 227-243","Revista Brasileira de Ciências do Esporte","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892013000100017&lang=pt" 
"S0101-32892013000100018-scl","Efeitos da perda rápida de peso em atletas de combate","Lorenço-Lima, Leandro de, Hirabara, Sandro Massao","Revista Brasileira de Ciências do Esporte; 35(1); 245-260","Revista Brasileira de Ciências do Esporte","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892013000100018&lang=pt" 
"S0101-32892013000100013-scl","Prioridades dos Programas de Pós-Fraduação Stricto Sensu em Educação Física: a visão dos egressos","Moreira, Evando Carlos, Tojal, João Batista Andreotti Gomes","Revista Brasileira de Ciências do Esporte; 35(1); 161-178","Revista Brasileira de Ciências do Esporte","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892013000100013&lang=pt" 
"S1413-73722013000100002-scl","A etérea duração do dia: gênero na poética encarnada de Adélia Prado","Scorsolini-Comin, Fabio, Santos, Manoel Antônio dos","Psicologia em Estudo; 18(1); 3-13","Psicologia em Estudo","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722013000100002&lang=pt" 
"S1413-73722013000100003-scl","Comunicação afetiva nos cuidados parentais","Mendes, Deise Maria L. Fernandes, Pessôa, Luciana Fontes","Psicologia em Estudo; 18(1); 15-25","Psicologia em Estudo","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722013000100003&lang=pt" 
"S1413-73722013000100004-scl","Vivendo a vizinhança: interfaces pessoa-ambiente na produção de vizinhanças &quot;Vivas&quot;","Farias, Tadeu Mattos, Pinheiro, José Q.","Psicologia em Estudo; 18(1); 27-36","Psicologia em Estudo","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722013000100004&lang=pt" 
"S1413-73722013000100005-scl","Negociação de significados associados às sexualidades: análise de narrativa construída em interação","Bordini, Gabriela Sagebin, Sperb, Tânia Mara","Psicologia em Estudo; 18(1); 37-47","Psicologia em Estudo","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722013000100005&lang=pt" 
"S1413-73722013000100006-scl","A ideologia do corpo feminino perfeito: questões com o real","Lima, Aluísio Ferreira de, Batista, Karina de Andrade, Lara Junior, Nadir","Psicologia em Estudo; 18(1); 49-59","Psicologia em Estudo","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722013000100006&lang=pt" 
"S1413-73722013000100007-scl","Período de latência e tempo para compreender nas aprendizagens","Corrêa, Crístia Rosineiri Gonçalves Lopes, Pinheiro, Glaúcia da Silva","Psicologia em Estudo; 18(1); 61-69","Psicologia em Estudo","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722013000100007&lang=pt" 
"S1413-73722013000100008-scl","Mudanças nas trajetórias de vida e identidades de mulheres na contemporaneidade","Borges, Carolina de Campos","Psicologia em Estudo; 18(1); 71-81","Psicologia em Estudo","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722013000100008&lang=pt" 
"S1413-73722013000100009-scl","Metaparentagem: uma nova possibilidade de avaliar a parentagem","D&#039;Affonseca, Sabrina Mazo, Williams, Lúcia Cavalcanti de Albuquerque","Psicologia em Estudo; 18(1); 83-92","Psicologia em Estudo","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722013000100009&lang=pt" 
"S1413-73722013000100010-scl","A voz do paciente: por que ele se sente coagido?","Bittencourt, Ana Luiza Portela, Quintana, Alberto Manuel, Velho, Maria Teresa Aquino de Campos, Goldim, José Roberto, Wottrich, Laura Anelise Faccio, Cherer, Evandro de Quadros","Psicologia em Estudo; 18(1); 93-101","Psicologia em Estudo","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722013000100010&lang=pt" 
"S1413-73722013000100011-scl","O discurso pastoral-gerencial em O monge e o executivo","Germano, Idilva Maria Pires, Sá, Danielle Rebouças","Psicologia em Estudo; 18(1); 103-113","Psicologia em Estudo","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722013000100011&lang=pt" 
"S1413-73722013000100012-scl","Fontes de apoio social a idosos portadores de doença pulmonar obstrutiva crônica","Andrade, Danyelle Almeida de, Eulálio, Maria do Carmo, Melo, Rômulo Lustosa Pimenteira de","Psicologia em Estudo; 18(1); 115-123","Psicologia em Estudo","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722013000100012&lang=pt" 
"S1413-73722013000100013-scl","A nova lei nacional de adoção: desafios para a reinserção familiar","Silva, Milena Leite, Arpini, Dorian Mônica","Psicologia em Estudo; 18(1); 125-135","Psicologia em Estudo","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722013000100013&lang=pt" 
