"S1414-32832011000400014-spa","Formação do psicólogo para a saúde mental: a psicologia piauiense em análise","Macedo, João Paulo, Dimenstein, Magda","Interface - Comunicação, Saúde, Educação; 15(39); 1145-1158","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832011000400014&lang=pt" 
"S1808-86942011000600016-scl","Estudo audiológico e genético de lactentes de alto risco","Colella-Santos, Maria Francisca, Françozo, Maria de Fátima de Campos, Couto, Christiane Marques do, Lima, Maria Cecilia Marconi Pinheiro, Tazinazzio, Tatiana Guilhermino, Castilho, Arthur Menino, Sartorato, Edi Lucia","Brazilian Journal of Otorhinolaryngology; 77(6); 784-790","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600016&lang=pt" 
"S1808-86942011000600017-scl","Correlação entre equilíbrio corporal e capacidade funcional de idosos com disfunções vestibulares crônicas","Sousa, Raquel Ferreira de, Gazzola, Juliana Maria, Ganança, Maurício Malavasi, Paulino, Célia Aparecida","Brazilian Journal of Otorhinolaryngology; 77(6); 791-798","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942011000600017&lang=pt" 
"S1516-89132011000600001-scl","Formulated products containing a new phytase from Schyzophyllum sp. phytase for application in feed and food processing","Salmon, Denise Naomi, Piva, Luíza Cesca, Binati, Renato Leal, Vandenberghe, Luciana Porto de Souza, Soccol, Vanete Thomaz, Soccol, Carlos Ricardo, Spier, Michele Rigon","Brazilian Archives of Biology and Technology; 54(6); 1069-1074","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000600001&lang=pt" 
"S1516-89132011000600003-scl","In Vitro antifungal potency of plant extracts against five phytopathogens","Tapwal, Ashwani, Nisha, , Garg, Shipra, Gautam, Nandini, Kumar, Rajesh","Brazilian Archives of Biology and Technology; 54(6); 1093-1098","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000600003&lang=pt" 
"S1516-89132011000600004-scl","Molecular Analysis in the differentiation of Colletotrichum gloeosporioides isolates from the cashew and mango trees","Serra, Ilka Márcia Ribeiro de Souza, Menezes, Maria, Coelho, Rildo Sartori Barbosa, Ferraz, Gabriela Moraes Guerra, Montarroyos, Angélica Virginia Valois, Martins, Luiza Suely Semem","Brazilian Archives of Biology and Technology; 54(6); 1099-1108","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000600004&lang=pt" 
"S1516-89132011000600021-scl","Effect of gamma radiation on lipids by the TBARS and NMR","Silva, Adriana Cristina de Oliveira, Mársico, Eliane Teixeira, Jesus, Edgar Francisco Oliveira de, Guimarães, Carlos Frederico, Cortez, Marco Antonio Sloboda","Brazilian Archives of Biology and Technology; 54(6); 1343-1348","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000600021&lang=pt" 
"S1516-89132011000600009-scl","Embryo transfer in no cycling Crioula and Quarter horse breeds treated with estradiol cipionate and long-acting progesterone","Kaercher, Fernanda, Siqueira, Marlon, Mercadante, Alessandro, Figueiredo, Tatiana, Weiss, Romildo Romualdo, Siqueira, Felipe, Kozicki, Luiz Ernandes","Brazilian Archives of Biology and Technology; 54(6); 1147-1150","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000600009&lang=pt" 
"S1516-89132011000600010-scl","Prevalence of estrogen receptor alpha PvuII (c454-397T&gt;C) and XbaI (c454A&gt;G) polymorphisms in a population of Brazilian women","Araújo, Karine Lourenzone, Rezende, Lucas Cunha Dias de, Souza, Letícia Soncini, Daltoé, Renata Dalmaschio, Madeira, Klesia Pirola, Paes, Marcela Ferreira, Herkenhoff, Fernando Luiz, Rangel, Letícia Batista Azevedo, Silva, Ian Victor","Brazilian Archives of Biology and Technology; 54(6); 1151-1158","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000600010&lang=pt" 
"S1516-89132011000600011-scl","The cytogenetic effects of black tea and green tea on cultured human lymphocytes","Eroğlu, Halil Erhan","Brazilian Archives of Biology and Technology; 54(6); 1159-1166","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000600011&lang=pt" 
"S1516-89132011000600014-scl","Alkaline phosphatase activity in plasma and liver of rats submitted to chronic exposure to fluoride","Fernandes, Mileni da Silva, Iano, Flávia Godoy, Rocia, Vivian, Yanai, Marcela Mitsuko, Leite, Aline de Lima, Furlani, Tatiana Almeida, Buzalaf, Marília Afonso Rabelo, Oliveira, Rodrigo Cardoso de","Brazilian Archives of Biology and Technology; 54(6); 1187-1192","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000600014&lang=pt" 
"S1516-89132011000600018-scl","A Biosensor Using Poly(4-Aminophenol)/acetylcholinesterase modified graphite electrode for the detection of dichlorvos","Melo, Edmar Isaías, Franco, Diego Leoni, Afonso, André Santiago, Rezende, Hélen Cristine, Brito-Madurro, Ana Graci, Madurro, João Marcos, Coelho, Nívia Maria Melo","Brazilian Archives of Biology and Technology; 54(6); 1217-1222","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000600018&lang=pt" 
"S1516-89132011000600019-scl","Properties of extruded xanthan-starch-clay nanocomposite films","Melo, Cristina de, Garcia, Patrícia Salomão, Grossmann, Maria Victória Eiras, Yamashita, Fábio, Dall&#039;Antônia, Luiz Henrique, Mali, Suzana","Brazilian Archives of Biology and Technology; 54(6); 1223-1333","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000600019&lang=pt" 
"S1516-89132011000600022-scl","Evaluation of red cabbage anthocyanins after partial purification on clay","Lopes, Toni Jefferson, Yaginuma, Sandra Regina, Quadri, Mara Gabriela Novy, Quadri, Marintho Bastos","Brazilian Archives of Biology and Technology; 54(6); 1349-1356","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000600022&lang=pt" 
"S1516-89132011000600024-scl","Biodegradation of blend films PVA/PVC, PVA/PCL in soil and soil with landfill leachate","Campos, Adriana de, Marconato, José Carlos, Martins-Franchetti, Sandra Mara","Brazilian Archives of Biology and Technology; 54(6); 1367-1378","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000600024&lang=pt" 
"S1516-89132011000600025-scl","Effect of soil contaminated by diesel oil on the germination of seeds and the growth of Schinus terebinthifolius Raddi (Anacardiaceae) Seedlings","Bona, Cleusa, Rezende, Igor Mendonça de, Santos, Gedir de Oliveira, Souza, Luiz Antônio de","Brazilian Archives of Biology and Technology; 54(6); 1379-1387","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000600025&lang=pt" 
"S1516-89132011000600020-scl","Beer Clarification with polysulfone membrane and study on fouling mechanism","Oliveira, Ricardo Cardoso de, Barros, Sueli Teresa Davantel de","Brazilian Archives of Biology and Technology; 54(6); 1335-1342","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000600020&lang=pt" 
"S1516-89132011000600023-scl","Growth characteristics modeling of Bifidobacterium bifidum using RSM and ANN","Meena, Ganga S., Gupta, Suneel, Majumdar, Gautam C., Banerjee, Rintu","Brazilian Archives of Biology and Technology; 54(6); 1357-1366","Brazilian Archives of Biology and Technology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132011000600023&lang=pt" 
"S1806-83242011000600001-scl","Editorial","Nicolau, José","Brazilian Oral Research; 25(6); 476-477","Brazilian Oral Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242011000600001&lang=pt" 
"S1806-83242011000600002-scl","Impact of the implantation of a new curriculum in the process of learning in a Faculty of Dentistry in Brazil","Junges, Roger, Stello, Ruggiero Silveira, Portella, Fernando Freitas, Rösing, Cassiano Kuchenbecker, Samuel, Susana Maria Werner","Brazilian Oral Research; 25(6); 478-484","Brazilian Oral Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242011000600002&lang=pt" 
"S1806-83242011000600004-scl","Effect of a cordless retraction paste material on implant surfaces: an in vitro study","Chang, Yin-Szu (Madison), Bennani, Vincent, Tawse-Smith, Andrew, Girvan, Liz","Brazilian Oral Research; 25(6); 492-499","Brazilian Oral Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242011000600004&lang=pt" 
"S1414-32832011000400020-scl","Conhecendo pessoas - uma ciência, uma arte: breve relato de uma experiência na graduação médica da EPM-Unifesp","De Marco, Mario Alfredo, Degiovani, Mariella Vargas, Gallian, Dante Marcello Claramonte, Lucchese, Ana Cecília","Interface - Comunicação, Saúde, Educação; 15(39); 1219-1222","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832011000400020&lang=pt" 
"S1414-32832011000400001-scl","APRESENTAÇÃO","Cunha, Maria Isabel da","Interface - Comunicação, Saúde, Educação; 15(39); 971-972","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832011000400001&lang=pt" 
"S1414-32832011000400021-scl","De que forma","Duarte, Renan do Espírito Santo Tobias, Inforsato, Erika Alvarez","Interface - Comunicação, Saúde, Educação; 15(39); 1225-1228","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832011000400021&lang=pt" 
"S1414-32832011000400015-scl","Sistematização de estratégias de ensinar-aprender pesquisa na graduação","Patrício, Zuleica Maria, Silvério, Maria Regina, Ribeiro, Ivete Maria, Felisbino, Janete Elza, Brodbeck, Ingrid May, Martins, Greice Wessler Medeiros, Silva, Gilmara Medeiros Vieira da, Reis, Adriana Elias dos","Interface - Comunicação, Saúde, Educação; 15(39); 1159-1172","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832011000400015&lang=pt" 
"S1516-14392011000400001-scl","Mix design of high-performance concrete","Laskar, Aminul Islam","Materials Research; 14(4); 429-433","Materials Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392011000400001&lang=pt" 
"S1516-14392011000400003-scl","Degradation study of polypropylene (PP) and bioriented polypropylene (BOPP) in the environment","Longo, Carina, Savaris, Michele, Zeni, Mára, Brandalise, Rosmary Nichele, Grisa, Ana Maria Coulon","Materials Research; 14(4); 442-448","Materials Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392011000400003&lang=pt" 
"S1516-14392011000400006-scl","Conformational analysis and electronic structure of chiral carbon and carbon nitride nanotubes","Faria, Cristiano Geraldo de, Grassi, Mariza, Carvalho, Ana Claudia Monteiro","Materials Research; 14(4); 461-465","Materials Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392011000400006&lang=pt" 
"S1516-14392011000400005-scl","Incorporation of strontium up to 5 Mol. (%) to hydroxyapatite did not affect its cytocompatibility","Tavares, Débora dos Santos, Resende, Cristiane Xavier, Quitan, Maíra Paiva, Castro, Letícia de Oliveira, Granjeiro, José Mauro, Soares, Gloria de Almeida","Materials Research; 14(4); 456-460","Materials Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392011000400005&lang=pt" 
"S1516-14392011000400015-scl","Si3N4 ceramic cutting tool sintered with CeO2 and Al2O3 additives with AlCrN coating","Souza, José Vitor Candido, Silva, Olivério Moreira de Macedo, Nono, Maria do Carmo Andrade, Machado, João Paulo Barros, Pimenta, Marcelo, Ribeiro, Marcos Valério","Materials Research; 14(4); 514-518","Materials Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392011000400015&lang=pt" 
"S1516-14392011000400008-scl","Synthesis and characterization of Ca2CoTaO6, a new monoclinically distorted double perovskite","Lavat, Araceli Elisabet, Baran, Enrique José","Materials Research; 14(4); 472-474","Materials Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392011000400008&lang=pt" 
"S1516-14392011000400012-scl","Microstructural analysis of carbon nanomaterials produced from pyrolysis/combustion of Styrene-Butadiene-Rubber (SBR)","Alves, Joner Oliveira, Zhuo, Chuanwei, Levendis, Yiannis Angelo, Tenório, Jorge Alberto Soares","Materials Research; 14(4); 499-504","Materials Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392011000400012&lang=pt" 
"S1516-14392011000400013-scl","Structural and photocatalytic characterization of BaFe2O4 obtained at low temperatures","Da Dalt, Silvana, Sousa, Bruna Berti, Alves, Annelise Kopp, Bergmann, Carlos Pérez","Materials Research; 14(4); 505-507","Materials Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392011000400013&lang=pt" 
"S1516-14392011000400014-scl","Addition of magnetic markers for non-destructive evaluation of polymer composites","Fulco, Ana Paula Pereira, Melo, José Daniel Diniz, Paskocimas, Carlos Alberto, Medeiros, Suzana Nóbrega de, Machado, Fernando Luis de Araujo, Rodrigues, Alexandre Ricalde","Materials Research; 14(4); 508-513","Materials Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392011000400014&lang=pt" 
"S1516-14392011000400022-scl","Evaluation of carbon fiber composites modified by in situ incorporation of carbon nanofibers","Miranda, André Navarro de, Pardini, Luiz Claudio, Santos, Carlos Alberto Moreira dos, Vieira, Ricardo","Materials Research; 14(4); 560-563","Materials Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392011000400022&lang=pt" 
"S1516-14392011000400017-scl","Corrosion behavior of mild steel and SS 304L in presence of dissolved nickel under aerated and deaerated conditions","Mobin, Mohd, Shabnam, Hina","Materials Research; 14(4); 524-531","Materials Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392011000400017&lang=pt" 
"S1517-45222011000300002-scl","Apresentação","Silva, Marcelo Kunrath","Sociologias; 13(28); 14-16","Sociologias","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222011000300002&lang=pt" 
"S1517-45222011000300001-scl","","Baumgarten, Maíra, Côrtes, Soraya Vargas","Sociologias; 13(28); 9-11","Sociologias","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222011000300001&lang=pt" 
"S1517-45222011000300010-scl","Imagens: documentos de visões de mundo","Weller, Wivian, Bassalo, Lucélia de Moraes Braga","Sociologias; 13(28); 284-314","Sociologias","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222011000300010&lang=pt" 
"S1517-45222011000300011-scl","O que é a política científica e tecnológica?","Dias, Rafael de Brito","Sociologias; 13(28); 316-344","Sociologias","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222011000300011&lang=pt" 
"S1517-45222011000300009-scl","O estudo dos efeitos não intencionais da ação intencional na teoria sociológica","Higgins, Silvio Salej","Sociologias; 13(28); 258-282","Sociologias","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222011000300009&lang=pt" 
"S1517-45222011000300013-scl","Segurança, território, população","Rondon Filho, Edson Benedito","Sociologias; 13(28); 370-380","Sociologias","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222011000300013&lang=pt" 
"S1517-45222011000300012-scl","Profissão e corporação: limites éticos da atuação do advogado","Mello, Marcelo Pereira de, Barroso, Márcia Regina C.","Sociologias; 13(28); 346-369","Sociologias","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222011000300012&lang=pt" 
"S1517-97022011000400002-scl","A teoria de Norbert Elias: uma análise do ser professor","Hunger, Dagmar, Rossi, Fernanda, Souza Neto, Samuel de","Educação e Pesquisa; 37(4); 697-710","Educação e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022011000400002&lang=pt" 
"S1517-97022011000400003-scl","Teorias da socialização: um estudo sobre as relações entre indivíduo e sociedade","Setton, Maria Graça Jacintho","Educação e Pesquisa; 37(4); 711-724","Educação e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022011000400003&lang=pt" 
"S1517-97022011000400004-scl","Reflexões sobre homofobia e educação em escolas do interior paulista","Teixeira-Filho, Fernando Silva, Rondini, Carina Alexandra, Bessa, Juliana Cristina","Educação e Pesquisa; 37(4); 725-741","Educação e Pesquisa","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022011000400004&lang=pt" 
"S1517-97022011000400005-scl","Moral no mundo adulto: a visão dos jovens sobre os adultos de hoje","Imanishi, Helena Amstalden, Passarelli, Vanessa Lopes dos Santos, Taille, Yves Joel Jean-Marie Rodolphe de La","Educação e Pesquisa; 37(4); 743-762","Educação e Pesquisa","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022011000400005&lang=pt" 
"S1517-97022011000400006-scl","A recontextualização e o nível de exigência conceitual do conhecimento escolar","Galian, Claúdia V.","Educação e Pesquisa; 37(4); 763-777","Educação e Pesquisa","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022011000400006&lang=pt" 
"S1517-97022011000400007-scl","Experiência e observação: de Rousseau ao Referencial Curricular Nacional para a Educação Infantil","Batista, Sueli Soares dos Santos","Educação e Pesquisa; 37(4); 779-792","Educação e Pesquisa","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022011000400007&lang=pt" 
"S1517-97022011000400008-scl","Os conflitos de licenciandos e o desenvolvimento profissional docente","Massabni, Vânia G.","Educação e Pesquisa; 37(4); 793-808","Educação e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022011000400008&lang=pt" 
"S1517-97022011000400009-scl","Formação continuada de professores e resultados dos alunos no SARESP: propostas e realizações","Bauer, Adriana","Educação e Pesquisa; 37(4); 809-824","Educação e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022011000400009&lang=pt" 
"S1517-97022011000400010-scl","A prática esportiva como ferramenta educacional: trabalhando valores e a resiliência","Sanches, Simone Meyer, Rubio, Kátia","Educação e Pesquisa; 37(4); 825-841","Educação e Pesquisa","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022011000400010&lang=pt" 
"S0104-07072011000400006-scl","Estudo estrutural das representações sociais do trabalho noturno das enfermeiras","Veiga, Kátia Conceição Guimarães, Fernandes, Josicélia Dumêt, Paiva, Mirian Santos","Texto &amp; Contexto - Enfermagem; 20(4); 682-690","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400006&lang=pt" 
"S0104-07072011000400007-scl","O cotidiano do indivíduo com ferida crônica e sua saúde mental","Waidman, Maria Angélica Pagliarini, Rocha, Sheila Cristina, Correa, Juliana Landi, Brischiliari, Adriano, Marcon, Sonia Silva","Texto &amp; Contexto - Enfermagem; 20(4); 691-699","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400007&lang=pt" 
"S0104-07072011000400008-scl","O ensino da psiquiatria e o poder disciplinar da enfermagem religiosa: o hospício de Pedro II no segundo reinado","Peres, Maria Angélica de Almeida, Barreira, Ieda de Alencar, Santos, Tânia Cristina Franco, Almeida Filho, Antonio José de, Oliveira, Alexandre Barbosa de","Texto &amp; Contexto - Enfermagem; 20(4); 700-708","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400008&lang=pt" 
"S0104-07072011000400009-scl","A autonomia da enfermagem gerontológica no Brasil, segundo as pioneiras (1970-1996)","Kletemberg, Denise Faucz, Padilha, Maria Itayra","Texto &amp; Contexto - Enfermagem; 20(4); 709-716","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400009&lang=pt" 
"S0104-07072011000400010-scl","Movimentação e dieta durante o trabalho de parto: a percepção de um grupo de puerpéras","Wei, Chang Yi, Gualda, Dulce Maria Rosa, Santos Junior, Hudson Pires de Oliveira","Texto &amp; Contexto - Enfermagem; 20(4); 717-725","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400010&lang=pt" 
"S0104-07072011000400011-scl","Comunicação entre a equipe de saúde e a família da criança com asfixia perinatal grave","Milbrath, Viviane Marten, Siqueira, Hedi Crecencia Heckler de, Motta, Maria da Graça Corso da, Amestoy, Simone Coelho","Texto &amp; Contexto - Enfermagem; 20(4); 726-734","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400011&lang=pt" 
"S0104-07072011000400012-scl","Carga de trabalho de enfermagem em unidade de terapia intensiva de cardiologia e fatores clínicos associados","Coelho, Filipe Utuari de Andrade, Queijo, Alda Ferreira, Andolhe, Rafaela, Gonçalves, Leilane Andrade, Padilha, Katia Grillo","Texto &amp; Contexto - Enfermagem; 20(4); 735-741","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400012&lang=pt" 
"S0104-07072011000400013-scl","Aborto provocado: o discurso das mulheres sobre suas relações familiares","Souza, Zannety Conceição Silva do Nascimento, Diniz, Normélia Maria Freire","Texto &amp; Contexto - Enfermagem; 20(4); 742-750","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400013&lang=pt" 
"S0104-07072011000400014-scl","Resiliência de pessoas com Diabetes Mellitus","Tavares, Bárbara Cristina, Barreto, Francine do Amaral, Lodetti, Marília Lima, Silva, Denise Maria Guerreiro Vieira da, Lessmann, Juliana Cristina","Texto &amp; Contexto - Enfermagem; 20(4); 751-757","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400014&lang=pt" 
"S0104-07072011000400015-scl","Fatores facilitadores e impeditivos no cuidar de si para docentes de enfermagem","Soares, Raquel Juliana de Oliveira, Zeitoune, Regina Célia Gollner, Lisboa, Márcia Tereza Luz, Mauro, Maria Yvone Chaves","Texto &amp; Contexto - Enfermagem; 20(4); 758-765","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400015&lang=pt" 
"S0104-07072011000400016-scl","Literatura de cordel como estratégia educativa para prevenção da dengue","Oliveira, Paula Marciana Pinheiro de, Paiva, Jamile de Souza Pacheco, Cezario, Kariane Gomes, Pagliuca, Lorita Marlena Freitag","Texto &amp; Contexto - Enfermagem; 20(4); 766-773","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400016&lang=pt" 
"S0104-07072011000400017-scl","Percepção de familiares sobre o cuidado à pessoa com câncer em estágio avançado","Sena, Edite Lago da Silva, Carvalho, Patrícia Anjos Lima de, Reis, Helca Franciolli Teixeira, Rocha, Maricélia Braga","Texto &amp; Contexto - Enfermagem; 20(4); 774-781","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400017&lang=pt" 
"S0104-07072011000400018-scl","Avaliação de duas intervenções educativas para a prevenção do Diabetes Mellitus tipo 2 em adolescentes","Silva, Ana Roberta Vilarouca da, Zanetti, Maria Lúcia, Forti, Adriana Costa e, Freitas, Roberto Wagner Júnior Freire de, Hissa, Miguel Nasser, Damasceno, Marta Maria Coelho","Texto &amp; Contexto - Enfermagem; 20(4); 782-787","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400018&lang=pt" 
"S0104-07072011000400019-scl","Marketing profissional e visibilidade social na enfermagem: uma estratégia de valorização de recursos humanos","Mendes, Isabel Amélia Costa, Trevizan, Maria Auxiliadora, Mazzo, Alessandra, Godoy, Simone de, Ventura, Carla Aparecida Arena","Texto &amp; Contexto - Enfermagem; 20(4); 788-795","Texto &amp; Contexto - Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072011000400019&lang=pt" 
"S1414-32832011000400001-spa","APRESENTAÇÃO","Cunha, Maria Isabel da","Interface - Comunicação, Saúde, Educação; 15(39); 971-972","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832011000400001&lang=pt" 
"S1414-32832011000400021-spa","De que forma","Duarte, Renan do Espírito Santo Tobias, Inforsato, Erika Alvarez","Interface - Comunicação, Saúde, Educação; 15(39); 1225-1228","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832011000400021&lang=pt" 
"S1414-32832011000400007-spa","O ensino de pediatria na atenção básica em saúde entre as fronteiras do modelo biomédico e a perspectiva da integralidade do cuidado: a visão dos médicos supervisores","Prearo, Alice Yamashita, Rizzato, Agueda Beatriz Pires, Martins, Sueli Terezinha Ferreira","Interface - Comunicação, Saúde, Educação; 15(39); 1039-1052","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832011000400007&lang=pt" 
"S1414-32832011000400020-spa","Conhecendo pessoas - uma ciência, uma arte: breve relato de uma experiência na graduação médica da EPM-Unifesp","De Marco, Mario Alfredo, Degiovani, Mariella Vargas, Gallian, Dante Marcello Claramonte, Lucchese, Ana Cecília","Interface - Comunicação, Saúde, Educação; 15(39); 1219-1222","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832011000400020&lang=pt" 
"S1414-32832011000400018-spa","Educação a Distância (EaD) em Física Médica","Neves-Junior, Wellington Furtado Pimenta, Haddad, Cecília Maria Kalil, Sousa, Fernando Sequeira, Pisa, Ivan Torres","Interface - Comunicação, Saúde, Educação; 15(39); 1199-1206","Interface - Comunicação, Saúde, Educação","Português","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832011000400018&lang=pt" 
"S1852-73102011000200001-arg","Validez de contenido del Inventario de Respuestas de Afrontamiento de Moos a través del escalamiento multidimensional","Ahumada, Marcelo, Escalante, Eduardo","Subjetividad y procesos cognitivos; 15(2); 17-26","Subjetividad y procesos cognitivos","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73102011000200001&lang=pt" 
