"S0188-49992016000100035-mex","Análisis costo-beneficio de la calefacción distrital en la zona central de Chile","Carrasco Vidal, Rudy, Jiménez del Río, Jorge, Mardones Poblete, Cristian","Revista internacional de contaminación ambiental; 32(1); 35-45","Revista internacional de contaminación ambiental","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992016000100035&lang=pt" 
"S1517-97022016005008101-scl","Reflexiones en comunidad de práctica sobre Triángulos imposibles en clase de matemáticas","Solano, Luis Alexander Conde, Rico, Sandra Evely Parada, Leal, Jorge Enrique Fiallo","Educação e Pesquisa; (ahead); -","Educação e Pesquisa","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022016005008101&lang=pt" 
"S0716-97602016000100043-chl","In vitro assessment of a computer-designed potential anticancer agent in cervical cancer cells","Visagie, Michelle Helen, Jaiswal, Seema Rummurat, Joubert, Anna Margaretha","Biological Research; 49(); 1-13","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100043&lang=pt" 
"S0716-97602016000100042-chl","Cadmium-induced apoptosis of Siberian tiger fibroblasts via disrupted intracellular homeostasis","Wang, Hui, Liu, Zheng, Zhang, Wenxiu, Yuan, Ziao, Yuan, Hongyi, Liu, Xueting, Yang, Chunwen, Guan, Weijun","Biological Research; 49(); 1-14","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100042&lang=pt" 
"S0036-46652016005000267-scl","RISK FACTORS ASSOCIATED WITH AMERICAN CUTANEOUS LEISHMANIASIS IN AN ENDEMIC AREA OF BRAZIL","ARAUJO, Alberon Ribeiro de, PORTELA, Nairomberg Cavalcanti, FEITOSA, Ana Paula Sampaio, SILVA, Otamires Alves da, XIMENES, Ricardo Andrade Arraes, ALVES, Luiz Carlos, BRAYNER, Fábio André","Revista do Instituto de Medicina Tropical de São Paulo; 58(); -","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652016005000267&lang=pt" 
"S0036-46652016005000408-scl","VERTICAL TRANSMISSION OF DENGUE INFECTION: THE FIRST PUTATIVE CASE REPORTED IN CHINA","YIN, Xueru, ZHONG, Xiaozhu, PAN, Shilei","Revista do Instituto de Medicina Tropical de São Paulo; 58(); -","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652016005000408&lang=pt" 
"S1516-89132016000200201-scl","Research on the spatial distribution characteristics of arable land economic quality composite grade and ecology environment in Yunnan Province, China","ZHANG, Gengjie, ZHANG, Chuan, Liu, Shuxia, Zheng, Honggang","Brazilian Archives of Biology and Technology; 59(spe); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000200201&lang=pt" 
"S0101-90742016000100307-scl","O CÍRCULO DE SÍMACO: acordos e desacordos entre os seus membros","BOCH, Viviana","História (São Paulo); 35(); -","História (São Paulo)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-90742016000100307&lang=pt" 
"S2007-49642016000100002-mex","Una derrota literaria: narrando la dictadura chilena","Mercier, Claire","Intersticios sociales; (11); -","Intersticios sociales","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-49642016000100002&lang=pt" 
"S0101-90742016000100310-scl","DO IMPERIUM AO REGNUM NA ANTIGUIDADE TARDIA: o exemplo do reino hispano-visigodo de Toledo (séculos VI-VII)","FRIGHETTO, Renan","História (São Paulo); 35(); -","História (São Paulo)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-90742016000100310&lang=pt" 
"S2007-49642016000100005-mex","Visualización de la ebriedad en Ciudad Juárez durante la época de la prohibición del alcohol en El Paso, Texas 1918-1933","García Pereyra, Rutilio, Balderrama Armendáriz, Cesar Omar","Intersticios sociales; (11); -","Intersticios sociales","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-49642016000100005&lang=pt" 
"S1415-47572016005015101-scl","Sequencing and de novo assembly of the Asian gypsy moth transcriptome using the Illumina platform","Xiaojun, Fan, Chun, Yang, Jianhong, Liu, Chang, Zhang, Yao, Li","Genetics and Molecular Biology; (ahead); -","Genetics and Molecular Biology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572016005015101&lang=pt" 
"S0101-90742016000100305-scl","CONSIDERAÇÕES SOBRE MEMÓRIA E MORTE DO IMPERADOR JULIANO NOS TESTEMUNHOS DE LIBÂNIO E AMIANO MARCELINO (SÉCULO IV d.C.)","OMENA, Luciane Munhoz de, CARVALHO, Margarida Maria de","História (São Paulo); 35(); -","História (São Paulo)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-90742016000100305&lang=pt" 
"S0104-83332016000300501-scl","Espelho mágico: produção e recepção de imagens de empregadas domésticas em uma telenovela brasileira","Macedo, Renata Mourão","Cadernos Pagu; (48); -","Cadernos Pagu","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332016000300501&lang=pt" 
"S1981-86372016005000001-scl","ERRATA: Degenerative bone changes in TMJ assessed by cone beam computed tomography","","RGO - Revista Gaúcha de Odontologia; (ahead); -","RGO - Revista Gaúcha de Odontologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-86372016005000001&lang=pt" 
"S1516-89132016000200205-scl","Effects of organic fertilizers on the growth and yield of bush bean, winged bean and yard long bean","Islam, Mohammad Aminul, Boyce, Amru Nasrulhaq, Rahman, Md Motior, Azirun, Mohd Sofian, Ashraf, Muhammad Aqeel","Brazilian Archives of Biology and Technology; 59(spe); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000200205&lang=pt" 
"S1516-89132016000200203-scl","Impact of Simulated Warming on Growthand Floral Characteristics of Two Varieties of Medicinal Epimedium","Xuemei, Zhang, Zengli, Fan, Qiumei, Quan","Brazilian Archives of Biology and Technology; 59(spe); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000200203&lang=pt" 
"S2007-49642016000100007-mex","Los colectivos de familiares de personas desaparecidas y la procuración de justicia","Villarreal Martínez, María Teresa","Intersticios sociales; (11); -","Intersticios sociales","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-49642016000100007&lang=pt" 
"S2007-49642016000100006-mex","Los jóvenes, la comunicación afectiva y las tecnologías: entre la ritualización de la expresión y la regulación emocional","Rodríguez Morales, Zeyda, Rodríguez Salazar, Tania","Intersticios sociales; (11); -","Intersticios sociales","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-49642016000100006&lang=pt" 
"S0104-83332016000300302-scl","Desvendando sexos, produzindo gêneros e medicamentos: a promoção das descobertas científicas em torno da ocitocina","Rohden, Fabíola, Alzuguir, Fernanda Vecchi","Cadernos Pagu; (48); -","Cadernos Pagu","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332016000300302&lang=pt" 
"S0101-90742016000100306-scl","HADRIAN THE TRAVELER: Motifs and Expressions of Roman Imperial Power in the Vita Hadriani","GREY, Cam","História (São Paulo); 35(); -","História (São Paulo)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-90742016000100306&lang=pt" 
"S1415-47572016005015102-scl","Investigator Argus X-12 study on the population of northern Croatia","Crnjac, Josip, Ozretić, Petar, Merkaš, Siniša, Ratko, Martina, Lozančić, Mateja, Korolija, Marina, Popović, Maja, Mršić, Gordan","Genetics and Molecular Biology; (ahead); -","Genetics and Molecular Biology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572016005015102&lang=pt" 
"S0104-83332016000300301-scl","Em busca pelo campo – Mulheres em Expedições Científicas no Brasil em meados do século XX","Sombrio, Mariana Moraes de Oliveira","Cadernos Pagu; (48); -","Cadernos Pagu","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332016000300301&lang=pt" 
"S2007-49642016000100009-mex","María Luisa Tarrés, Laura B. Montes de Oca y Diana A. Silva Maldonado. Arenas de conflicto y experiencias colectivas. Horizontes utópicos y dominación","Guerra, Edgar","Intersticios sociales; (11); -","Intersticios sociales","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-49642016000100009&lang=pt" 
"S1516-89132016000200700-scl","Research on Value Assessment and Compensation for Health Hazards of Urban Air Pollution-A Case Study of Urumqi","Yu, Chen, Hui, Sun","Brazilian Archives of Biology and Technology; 59(spe); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000200700&lang=pt" 
"S1516-89132016000200704-scl","Experimental Study on the Changing Rules of Coal Fire Indictor Gases of the Whole Combustion Phases in Confined Space","Lei, Baiwei, Wu, Bing, Wang, Xuyang","Brazilian Archives of Biology and Technology; 59(spe); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000200704&lang=pt" 
"S0101-90742016000100308-scl","CRISTIANISMO, PODER E ESPAÇO NA ANTIGUIDADE TARDIA: o episkopeion como expressão do poder do bispo","SILVA, Érica Cristhyane Morais da","História (São Paulo); 35(); -","História (São Paulo)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-90742016000100308&lang=pt" 
"S0101-90742016000100201-scl","ENTREVISTA COM JEAN-MICHEL CARRIÈ","CARVALHO, Margarida Maria de","História (São Paulo); 35(); -","História (São Paulo)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-90742016000100201&lang=pt" 
"S2007-49642016000100003-mex","El culto a la Virgen de Zapopan durante el periodo colonial: el paso de una imagen sin origen milagroso al de una reliquia taumatúrgica","Aceves Ávila, Roberto","Intersticios sociales; (11); -","Intersticios sociales","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-49642016000100003&lang=pt" 
"S1516-89132016000200601-scl","Research and Applications of Shop Scheduling Based on Genetic Algorithms","ZHAO, Hang, KONG, Fansen","Brazilian Archives of Biology and Technology; 59(spe); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000200601&lang=pt" 
"S1516-89132016000200500-scl","Effects of Leached Amylose and Amylopectin in Rice Cooking Liquidon Texture and Structure of Cooked Rice","Yang, Liu, Sun, Yong-Hai, Liu, Yang, Mao, Qian, You, Li-Xin, Hou, Ju-Min, Ashraf, Muhammad Aqeel","Brazilian Archives of Biology and Technology; 59(spe); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000200500&lang=pt" 
"S0104-07072016000400303-scl","NURSES&#039; KNOWLEDGE IN CHILD HEALTH PRIMARY CARE PRIMARY","Yakuwa, Marina Sayuri, Andrade, Raquel Dully, Wernet, Monika, Fonseca, Luciana Mara Monti, Furtado, Maria Cândida de Carvalho, Mello, Débora Falleiros de","Texto &amp; Contexto - Enfermagem; 25(4); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000400303&lang=pt" 
"S0100-06832016000100540-scl","Addition of Urease Inhibitor Has No Effect on Ammonia Volatilization Following Soil Application of Poultry Litter or Organomineral Fertilizer, Unlike Urea","Lourenço, Késia Silva, Ernani, Paulo Roberto, Corrêa, Juliano Corulli, Molin, Sulian Junkes Dal, Lourenço, Lucas Silva","Revista Brasileira de Ciência do Solo; 40(); -","Revista Brasileira de Ciência do Solo","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832016000100540&lang=pt" 
"S0303-76572016000100205-scl","Relações de poder na atenção à saúde do trabalhador formal: o caso da indústria de abate e processamento de carnes","Dal Magro, Márcia Luíza Pit, Coutinho, Maria Chalfin, Moré, Carmen Leontina Ojeda Ocampo","Revista Brasileira de Saúde Ocupacional; 41(); -","Revista Brasileira de Saúde Ocupacional","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0303-76572016000100205&lang=pt" 
"S1519-69842016005124103-scl","Chronic effects of nitrogenous compounds on survival and growth of juvenile pink shrimp","Wasielesky, W. J., Poersch, L. H., Martins, T. G., Miranda-Filho, K. C.","Brazilian Journal of Biology; (ahead); -","Brazilian Journal of Biology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842016005124103&lang=pt" 
"S1519-69842016005124106-scl","Variability study of entomopathogenic nematode populations (Heterorhabditidae) from Argentina","Achinelly, M. F., Eliceche, D. P., Belaich, M. N., Ghiringhelli, P. D.","Brazilian Journal of Biology; (ahead); -","Brazilian Journal of Biology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842016005124106&lang=pt" 
"S0100-06832016000100539-scl","Nitrogen and Potassium Fertilization in a Guava Orchard Evaluated for Five Cycles: Soil Cationic Balance","Montes, Rafael Marangoni, Parent, Léon Étienne, Amorim, Daniel Angelucci de, Rozane, Danilo Eduardo, Parent, Sergie-Étienne, Natale, William, Modesto, Viviane Cristina","Revista Brasileira de Ciência do Solo; 40(); -","Revista Brasileira de Ciência do Solo","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832016000100539&lang=pt" 
"S1414-32832016005022102-spa","Significados e sentidos atribuídos ao Centro de Atenção Psicossocial Álcool e outras Drogas (CAPS AD) por seus usuários: um estudo de caso","Lacerda, Clarissa de Barros, Fuentes-Rojas, Marta","Interface - Comunicação, Saúde, Educação; (ahead); -","Interface - Comunicação, Saúde, Educação","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832016005022102&lang=pt" 
"S1519-69842016005124105-scl","Effects of changes in micro-weather conditions on structural features, total protein and carbohydrate content in leaves of the Atlantic rain forest tree golden trumpet (Tabebuia chrysotricha)","Moura, B. B., Almeida, P. H., Balliana, A. G., Cobos, J. Y. G., Erbano, M., do Prado, K. A., Vudala, S. M., Wosch, L., Pereira-Netto, A. B.","Brazilian Journal of Biology; (ahead); -","Brazilian Journal of Biology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842016005124105&lang=pt" 
"S0104-07072016000400301-scl","GENOGRAM AND ECO-MAP AS TOOLS FOR UNDERSTANDING FAMILY CARE IN CHRONIC ILLNESS OF THE YOUNG","Souza, Ítala Paris de, Bellato, Roseney, Araújo, Laura Filomena Santos de, Almeida, Karla Beatriz Barros de","Texto &amp; Contexto - Enfermagem; 25(4); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000400301&lang=pt" 
"S0100-06832016000100542-scl","Sampling Layer for Soil Fertility Evaluation in Long-Term No-Tillage Systems","Vieira, Renan Costa Beber, Fontoura, Sandra Mara Vieira, Bayer, Cimélio, Ernani, Paulo Roberto, Anghinoni, Ibanor, Moraes, Renato Paulo de","Revista Brasileira de Ciência do Solo; 40(); -","Revista Brasileira de Ciência do Solo","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832016000100542&lang=pt" 
"S0100-06832016000100541-scl","Soil Properties and Plant Biomass Production in Natural Rangeland Management Systems","Werner, Romeu de Souza, Barbosa, Fabrício Tondello, Bertol, Ildegardis, Wolshick, Neuro Hilton, Santos, Kristiana Fiorentin dos, Mota, Josie Moraes","Revista Brasileira de Ciência do Solo; 40(); -","Revista Brasileira de Ciência do Solo","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832016000100541&lang=pt" 
"S0104-07072016000400302-scl","NURSING EDUCATION AT THE BRAZILIAN NEW STATE ERA: THE CASE OF THE MEDALHA MILAGROSA SCHOOL","Abrão, Fatima Maria Da Silva, Santos, Tânia Cristina Franco, Góis, Amanda Regina da Silva, Oliveira, Rezilda Rodrigues","Texto &amp; Contexto - Enfermagem; 25(4); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000400302&lang=pt" 
"S0100-06832016000100422-scl","Mild and Moderate Extraction Methods to Assess Potentially Available Soil Organic Nitrogen","Braos, Bruno Boscov, Ferreira, Manoel Evaristo, Cruz, Mara Cristina Pessôa da, Braos, Lucas Boscov, Barbosa, José Carlos","Revista Brasileira de Ciência do Solo; 40(); -","Revista Brasileira de Ciência do Solo","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832016000100422&lang=pt" 
"S1808-16572016000100404-scl","Uso de aditivo alimentar equilibrador da flora intestinal em aves de corte e de postura","Lemos, Marina Jorge de, Calixto, Lígia Fátima Lima, Torres-Cordido, Karoll Andrea Alfonso, Reis, Túlio Leite","Arquivos do Instituto Biológico; 83(); -","Arquivos do Instituto Biológico","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572016000100404&lang=pt" 
"S0100-06832016000100423-scl","Rhizobial Inoculation, Alone or Coinoculated with Azospirillum brasilense, Promotes Growth of Wetland Rice","Hahn, Leandro, Sá, Enilson Luiz Saccol de, Osório Filho, Benjamin Dias, Machado, Rafael Goulart, Damasceno, Raquel Garibaldi, Giongo, Adriana","Revista Brasileira de Ciência do Solo; 40(); -","Revista Brasileira de Ciência do Solo","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832016000100423&lang=pt" 
"S1519-69842016005124107-scl","Prospective study of the fishery of the shrimp Plesionika narval (Fabricius, 1787) in the Northeastern Atlantic","Sousa, R., Pinho, M. R., Delgado, J., Biscoito, M., Pinto, A. R., Dellinger, T., Gouveia, L., Carvalho, D., Henriques, P.","Brazilian Journal of Biology; (ahead); -","Brazilian Journal of Biology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842016005124107&lang=pt" 
"S1519-69842016005124102-scl","Seasonal composition, abundance and biomass of the subestuarine fish assemblage in Solís Chico (Río de la Plata estuary, Uruguay)","Plavan, A. Acuña, Gurdek, R., Muñoz, N., Gutierrez, J. M., Spósito, M., Correa, P., Caride, A.","Brazilian Journal of Biology; (ahead); -","Brazilian Journal of Biology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842016005124102&lang=pt" 
"S0100-06832016000100543-scl","Iron Availability in Tropical Soils and Iron Uptake by Plants","Mielki, Guilherme Furlan, Novais, Roberto Ferreira, Ker, João Carlos, Vergütz, Leonardus, Castro, Gustavo Franco de","Revista Brasileira de Ciência do Solo; 40(); -","Revista Brasileira de Ciência do Solo","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832016000100543&lang=pt" 
"S0104-07072016000400305-scl","NURSE LEADERSHIP PRACTICES IN PRIMARY HEALTH CARE: A GROUNDED THEORY","Lanzoni, Gabriela Marcellino de Melo, Meirelles, Betina Hörner Schlindwein, Cummings, Greta","Texto &amp; Contexto - Enfermagem; 25(4); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000400305&lang=pt" 
"S0716-97602016000100044-chl","Olfactomedin-like 2 A and Β (OLFML2A and OLFML2B) expression profile in primates (human and baboon)","Pérez-Ibave, Diana Cristina, González-Alvarez, Rafael, Martinez-Fierro, Margarita de La Luz, Ruiz-Ayma, Gabriel, Luna-Munoz, Maricela, Martínez-De-Villarreal, Laura Elia, Garza-Rodríguez, María De Lourdes, Reséndez-Pérez, Diana, Mohamed-Noriega, Jibran, Garza-Guajardo, Raquel, Bautista-De-Lucío, Victor Manuel, Mohamed-Noriega, Karim, Barboza-Quintana, Oralia, Arámburo-De-La-Hoz, Carlos, Barrera-Saldana, Hugo Alberto, Rodríguez-Sánchez, Irám Pablo","Biological Research; 49(); 1-12","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100044&lang=pt" 
"S0104-83332016000300304-scl","Gênero, ciências e tecnologias: caminhos percorridos e novos desafios","Lima, Betina Stefanello, Costa, Maria Conceição da","Cadernos Pagu; (48); -","Cadernos Pagu","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332016000300304&lang=pt" 
"S1516-89132016000100516-scl","Optimization of Malaxation Process using Major Aroma Compounds in Virgin Olive Oil","Cevik, Serife, Ozkan, Gulcan, Kıralan, Mustafa","Brazilian Archives of Biology and Technology; 59(); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000100516&lang=pt" 
"S1516-89132016000100436-scl","A comparison of efficiency parameters of SSR markers and genetic diversity analysis in Amorphophallus paeoniifolius (Dennst.) Nicolson","Mandal, Rupsanatan, Nag, Sumita, Tarafdar, Jayanta, Mitra, Surajit","Brazilian Archives of Biology and Technology; 59(); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000100436&lang=pt" 
"S1516-89132016000100605-scl","Purification and characterization of extracellular α-amylase from a thermophilic Anoxybacillus thermarum A4 strain","Baltas, Nimet, Dincer, Barbaros, Ekinci, Arife Pinar, Kolayli, Sevgi, Adiguzel, Ahmet","Brazilian Archives of Biology and Technology; 59(); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000100605&lang=pt" 
"S1516-89132016000100437-scl","In Silico Identification of MicroRNAs with B/CYDV Gene Silencing Potential","Bouallègue, Maryem, Bouktila, Dhia, Mezghani-Khemakhem, Maha, Capy, Pierre, Makni, Mohamed","Brazilian Archives of Biology and Technology; 59(); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000100437&lang=pt" 
"S0104-83332016000300305-scl","Os textos da cientista Marta Vannucci sobre o plâncton no Instituto Oceanográfico da Universidade de São Paulo (1946-1969)","Varela, Alex Gonçalves","Cadernos Pagu; (48); -","Cadernos Pagu","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332016000300305&lang=pt" 
"S0104-83332016000300504-scl","Cruzando fronteiras de gênero: a docência feminina em campos profissionais “masculinos”","Furlin, Neiva","Cadernos Pagu; (48); -","Cadernos Pagu","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332016000300504&lang=pt" 
"S1516-89132016000100434-scl","Assessment of Genetic Fidelity of in vitro Raised Plants in Swertia chirayita through ISSR, RAPD analysis and Peroxidase Profiling during Organogenesis","Sharma, Vikas, Belwal, Nidhi, Kamal, Barkha, Dobriyal, Anoop Kumar, Jadon, Vikash Singh","Brazilian Archives of Biology and Technology; 59(); -","Brazilian Archives of Biology and Technology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132016000100434&lang=pt" 
"S0104-83332016000300303-scl","Mulheres sem fronteiras? Uma análise da participação das mulheres no Programa Ciência sem Fronteiras da Unicamp: motivações, desafios e impactos na trajetória profissional","Feltrin, Rebeca Buzzo, Costa, Janaina Oliveira Pamplona da, Velho, Léa","Cadernos Pagu; (48); -","Cadernos Pagu","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-83332016000300303&lang=pt" 
"S0716-97602016000100039-chl","Improved assembly procedure of viral RNA genomes amplified with Phi29 polymerase from new generation sequencing data","Berthet, Nicolas, Descorps-Declère, Stéphane, Nkili-Meyong, Andriniaina Andy, Nakouné, Emmanuel, Gessain, Antoine, Manuguerra, Jean-Claude, Kazanji, Mirdad","Biological Research; 49(); 1-8","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100039&lang=pt" 
"S0716-97602016000100036-chl","Long non-coding RNA AFAP1-AS1 facilitates tumor growth and promotes metastasis in colorectal cancer","Han, Xu, Wang, Lingling, Ning, Yu, Li, Shuang, Wang, Zhenjun","Biological Research; 49(); 1-7","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100036&lang=pt" 
"S0716-97602016000100032-chl","Effects and molecular mechanism of chitosan-coated levodopa nanoliposomes on behavior of dyskinesia rats","Cao, Xuebing, Hou, Dongzhi, Wang, Lei, Li, Sai, Sun, Shengang, Ping, Qineng, Xu, Yan","Biological Research; 49(); 1-9","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100032&lang=pt" 
"S0716-97602016000100029-chl","Protective roles of free avian respiratory macrophages in captive birds","Mutua, Mbuvi P., Muya, Shadrack, Gicheru, Muita M.","Biological Research; 49(); 1-5","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100029&lang=pt" 
"S0716-97602016000100041-chl","Anti-inflammatory effects of Salvia plebeia R. Br extract in vitro and in ovalbumin-induced mouse model","Hwan-Hee, Jang, Su-Yeon, Cho, Mi-Ju, Kim, Jung-Bong, Kim, Sung-Hyen, Lee, Mee-Young, Lee, Young-Min, Lee","Biological Research; 49(); 1-11","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100041&lang=pt" 
"S0716-97602016000100028-chl","Progress in tear microdesiccate analysis by combining various transmitted-light microscope techniques","Traipe-Salas, Felipe, Traipe-Castro, Leonidas, Salinas-Toro, Daniela, López, Daniela, Valenzuela, Felipe, Cartes, Christian, Toledo-Araya, Héctor, Pérez, Claudio, Solís, Remigio López","Biological Research; 49(); 1-10","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100028&lang=pt" 
"S0716-97602016000100026-chl","Knockdown of ZFR suppresses cell proliferation and invasion of human pancreatic cancer","Zhao, Xiaolan, Chen, Man, Tan, Jishan","Biological Research; 49(); 1-8","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100026&lang=pt" 
"S0716-97602016000100023-chl","The p. N103K mutation of leptin (LEP) gene and severe early onset obesity in Pakistan","Shabana, , Hasnain, Shahida","Biological Research; 49(); 1-5","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100023&lang=pt" 
"S0716-97602016000100025-chl","Candidate genes and pathogenesis investigation for sepsis-related acute respiratory distress syndrome based on gene expression profile","Wang, Min, Yan, Jingjun, He, Xingxing, Zhong, Qiang, Zhan, Chengye, Li, Shusheng","Biological Research; 49(); 1-9","Biological Research","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602016000100025&lang=pt" 
"S0036-46652016005000602-scl","REPORTING DELAY DURING THE YELLOW FEVER OUTBREAK, ANGOLA, 2016","ROSSETTO, Erika Valeska, LUNA, Expedito José de Albuquerque","Revista do Instituto de Medicina Tropical de São Paulo; 58(); -","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652016005000602&lang=pt" 
