"S0100-204X2014000900665-scl","Biologia e tabela de vida de fertilidade do pulgão-preto em cultivares de videira","Baronio, Cléber Antonio, Andzeiewski, Simone, Cunha, Uemerson Silva da, Botton, Marcos","Pesquisa Agropecuária Brasileira; 49(9); 665-672","Pesquisa Agropecuária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2014000900665&lang=pt" 
"S1983-40632014000300001-scl","Variabilidade espacial da estabilidade de agregados e estoque de carbono em Cambissolo e Argissolo","Alho, Leandro Coutinho, Campos, Milton César Costa, Silva, Douglas Marcelo Pinheiro da, Mantovanelli, Bruno Campos, Souza, Zigomar Menezes de","Pesquisa Agropecuária Tropical; 44(3); 246-254","Pesquisa Agropecuária Tropical","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632014000300001&lang=pt" 
"S1983-40632014000300002-scl","Potencial agrícola do uso de resíduo de indústria de carnes em Latossolo Vermelho","Somavilla, André, Silva, Vanderlei Rodrigues da, Da Ros, Clovis Orlando, Moraes, Moacir Tuzzin de, Luz, Felipe Bonini da","Pesquisa Agropecuária Tropical; 44(3); 311-317","Pesquisa Agropecuária Tropical","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632014000300002&lang=pt" 
"S1983-40632014000300003-scl","In-house validation of a method for determining aflatoxins B1, B2, G1 and G2 in wheat and wheat by-products","Trombete, Felipe Machado, Santos, Thaís Barbosa, Direito, Glória Maria, Fraga, Marcelo Elias, Saldanha, Tatiana","Pesquisa Agropecuária Tropical; 44(3); 255-262","Pesquisa Agropecuária Tropical","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632014000300003&lang=pt" 
"S1983-40632014000300008-scl","Tensões de água no solo no cultivo de mamoneira","Rios, Gervásio Fernando Alves, Carvalho, Luiz Gonsaga de, Silva, Bruno Montoani, Rezende, Fátima Conceição, Pereira, Geraldo Magela","Pesquisa Agropecuária Tropical; 44(3); 287-293","Pesquisa Agropecuária Tropical","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632014000300008&lang=pt" 
"S1983-40632014000300009-scl","Isotermas de dessorção de folhas in natura de juazeiro e mororó","Sousa, Francinalva Cordeiro de, Rocha, Ana Paula Trindade, Gomes, Josivanda Palmeira, Martins, Jorge Jacó Alves, Martins, Joabis Nobre","Pesquisa Agropecuária Tropical; 44(3); 304-310","Pesquisa Agropecuária Tropical","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632014000300009&lang=pt" 
"S1413-65382014000300001-scl","Editorial","Manzini, Eduardo José, Nunes, Débora Regina de Paula, Fujisawa, Dirce Shizuko, Cia, Fabiana, Pletsch, Márcia Denise","Revista Brasileira de Educação Especial; 20(3); 323-324","Revista Brasileira de Educação Especial","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382014000300001&lang=pt" 
"S1413-65382014000300007-scl","Relatos de músicos cegos: subsídios para o ensino de música para alunos com deficiência visual","Oliveira, Leonardo Augusto Cardoso de, Reily, Lucia Helena","Revista Brasileira de Educação Especial; 20(3); 405-420","Revista Brasileira de Educação Especial","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382014000300007&lang=pt" 
"S1609-91172014000300009-per","Descripción de paritos presentes en muestras fecales recolectadas en plazas del sector cítrico de la ciudad de Temuco, Chile","Olivares, Pamela, Valenzuela, Gastón, Tuemmers, Christian, Parodi, Jorge","Revista de Investigaciones Veterinarias del Perú; 25(3); 406-413","Revista de Investigaciones Veterinarias del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172014000300009&lang=pt" 
"S1609-91172014000300008-per","Casuística de enfermedades cardiacas en caninos de la clínica de animales menores de la Facultad de Medicina Veterinaria, Universidad Nacional Mayor de San Marcos, durante el periodo 2007-2009","Calderón O, Karla, Dávila F, Roberto, Gavidia C, César","Revista de Investigaciones Veterinarias del Perú; 25(3); 399-405","Revista de Investigaciones Veterinarias del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172014000300008&lang=pt" 
"S1413-65382014000300010-scl","Interações entre o aluno com surdez, o professor e o intérprete em aulas de física: uma perspectiva Vygotskiana","Vargas, Jaqueline Santos, Gobara, Shirley Takeco","Revista Brasileira de Educação Especial; 20(3); 449-460","Revista Brasileira de Educação Especial","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382014000300010&lang=pt" 
"S1413-65382014000300009-scl","Caracterização das ações motoras de crianças com baixa visão e visão normal durante o brincar: cubos com e sem estímulo luminoso ou alto contraste","Schmitt, Beatriz Dittrich, Pereira, Karina","Revista Brasileira de Educação Especial; 20(3); 435-448","Revista Brasileira de Educação Especial","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382014000300009&lang=pt" 
"S1017-04992014000200008-sza","The leadership of the Methodist Church of Southern Africa during the 1980s and 90s: The transition from apartheid to the democratic era in South Africa","Madise, Mokhele","Studia Historiae Ecclesiasticae; 40(); 117-127","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200008&lang=pt" 
"S1017-04992014000200009-sza","A historical survey of a failed medical venture? The attempts of the London Missionary Society (LMS) to establish a mission hospital in Sefhare 1934-1952","Mgadla, Part T.","Studia Historiae Ecclesiasticae; 40(); 129-152","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200009&lang=pt" 
"S1017-04992014000200002-sza","A time of transition: Theological trends in the issues of Studia Historiae Ecclesiasticae from 1997-2004","Vorster, Koos (JM)","Studia Historiae Ecclesiasticae; 40(); 1-15","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200002&lang=pt" 
"S1017-04992014000200003-sza","Celebrating 40 years of the Church History Society of Southern Africa in 2010, and 40 years of the journal Studia Historiae Ecclesiasticae in 2014","Hofmeyr, Hoffte (JW)","Studia Historiae Ecclesiasticae; 40(); 17-30","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200003&lang=pt" 
"S1017-04992014000200001-sza","Studia Historiae Ecclesiasticae is 40 years old!","Landman, Christina","Studia Historiae Ecclesiasticae; 40(); xv-xvii","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200001&lang=pt" 
"S1017-04992014000200006-sza","The remarkable career of Christina Landman, pioneer feminist theologian rooted in the reformed tradition","van Huffel, Mary-Anne Plaatjies","Studia Historiae Ecclesiasticae; 40(); 64-83","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200006&lang=pt" 
"S1017-04992014000200007-sza","Mandela and the Methodists: Faith, fallacy and fact","Forster, Dion","Studia Historiae Ecclesiasticae; 40(); 87-115","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200007&lang=pt" 
"S1017-04992014000200004-sza","Gabriel Molehe Setiloane: His intellectual legacy","Masoga, Mogomme Alpheus","Studia Historiae Ecclesiasticae; 40(); 33-52","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200004&lang=pt" 
"S1017-04992014000200005-sza","The life and times of Professor Mary-Anne Plaatjies van Huffel: A transformative church leader in sub-Saharan Africa","Flaendorp, Charles","Studia Historiae Ecclesiasticae; 40(); 53-63","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200005&lang=pt" 
"S1017-04992014000200020-sza","Book reviews","","Studia Historiae Ecclesiasticae; 40(); 351-365","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200020&lang=pt" 
"S1017-04992014000200021-sza","","","Studia Historiae Ecclesiasticae; 40(); 360-365","Studia Historiae Ecclesiasticae","Africaner","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200021&lang=pt" 
"S1413-99362014000300011-scl","Situación y perspectivas de la investigación científica en la Escuela de Bibliotecología y Ciencias de la Información de la Universidad Nacional Mayor de San Marcos: 2000-2012","Estrada-Cuzcano, Alonso, Alfaro-Mendives, Karen Lizeth","Perspectivas em Ciência da Informação; 19(3); 207-222","Perspectivas em Ciência da Informação","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362014000300011&lang=pt" 
"S1609-91172014000300014-per","Búsqueda de Trichinella spiralis en cerdos de crianza no tecnificada en zonas periurbanas de Lima, Perú","Arrese H, Giovanna, Ramos D, Daphne, Casas A, Eva, Guevara F, José, Lucas L, Juan","Revista de Investigaciones Veterinarias del Perú; 25(3); 444-448","Revista de Investigaciones Veterinarias del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172014000300014&lang=pt" 
"S1609-91172014000300012-per","Estrategias pedagógicas para la mejora de las habilidades cognitivas y emocionales de los alumnos de la Facultad de Medicina Veterinaria y Zootecnia, UPCH, Perú","Grandez R, Ricardo, Miguel de Priego G, Claudia, Cáceres L, Silvana, Rojas M, Ricardo, Hinostroza M, Elizabeth","Revista de Investigaciones Veterinarias del Perú; 25(3); 430-437","Revista de Investigaciones Veterinarias del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172014000300012&lang=pt" 
"S1609-91172014000300013-per","Tromboembolismo aórtico felino: relato de caso","Figueroa A, Lizbeth, Paz M, Ricardo, Díaz C, Diego, Dávila F, Roberto","Revista de Investigaciones Veterinarias del Perú; 25(3); 438-443","Revista de Investigaciones Veterinarias del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172014000300013&lang=pt" 
"S1609-91172014000300010-per","Infección elevada de Nilonema senticosum en adultos de Arapaima gigas cultivados en la Amazonía peruana","Mathews D, Patrick, Ismiño O, Rosa, Malheiros, Antonio Francisco","Revista de Investigaciones Veterinarias del Perú; 25(3); 414-418","Revista de Investigaciones Veterinarias del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172014000300010&lang=pt" 
"S1609-91172014000300011-per","Expresión In vitro de las interleucinas 2 y 10 de linfocitos de alpacas (Vicugna pacos) en presencia de antígenos clostridiales","Watanabe W, Raquel, Manchego S, Alberto, Rivera G, Hermelinda","Revista de Investigaciones Veterinarias del Perú; 25(3); 419-429","Revista de Investigaciones Veterinarias del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172014000300011&lang=pt" 
"S1415-47142014000300501-scl","A educação física no âmbito do tratamento em saúde mental: um esforço coletivo e integrado","Melo, Lígia Gizely dos Santos Chaves, Oliveira, Kleber Roberto da Silva Gonçalves de, Vasconcelos-Raposo, José","Revista Latinoamericana de Psicopatologia Fundamental; 17(3); 501-514","Revista Latinoamericana de Psicopatologia Fundamental","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142014000300501&lang=pt" 
"S0366-69132014000300001-scl","Editorial","","Cerâmica; 60(355); -","Cerâmica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300001&lang=pt" 
"S0366-69132014000300004-scl","Instrumentação para espectroscopia de ressonância de ultrassom","Lorenzi, R. F. de L., Zorzi, J. E., Perottoni, C. A.","Cerâmica; 60(355); 332-339","Cerâmica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300004&lang=pt" 
"S1415-47142014000300403-scl","As bases do amor materno, fundamento da melancolia","Berlinck, Manoel Tosta","Revista Latinoamericana de Psicopatologia Fundamental; 17(3); 403-406","Revista Latinoamericana de Psicopatologia Fundamental","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142014000300403&lang=pt" 
"S1415-47142014000300528-scl","Modelos animais em psiquiatria: avanços e desafios","Nunes, Emerson Arcoverde, Hallak, Jaime Eduardo Cecílio","Revista Latinoamericana de Psicopatologia Fundamental; 17(3); 528-543","Revista Latinoamericana de Psicopatologia Fundamental","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142014000300528&lang=pt" 
"S1415-47142014000300544-scl","Drogadicção e adolescência: o &quot;corpo do transbordamento&quot;","Adesse, Diana Borschiver, Santos, Vera Lucia Alves dos, Cardoso, Marta Rezende","Revista Latinoamericana de Psicopatologia Fundamental; 17(3); 544-556","Revista Latinoamericana de Psicopatologia Fundamental","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142014000300544&lang=pt" 
"S1415-47142014000300561-scl","As três viagens de Abrão Slavutzky","Mezan, Renato","Revista Latinoamericana de Psicopatologia Fundamental; 17(3); 561-563","Revista Latinoamericana de Psicopatologia Fundamental","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142014000300561&lang=pt" 
"S0066-782X2014002100014-scl","Sudden Cardiac Death and Short QT Syndrome","Pavão, Maria Lícia Ribeiro Cury, Ono, Viviane Cristina, Arfelli, Elerson, Simões, Marcus Vinícius, Marin Neto, José Antonio, Schmidt, André","Arquivos Brasileiros de Cardiologia; 103(3); e37-e40","Arquivos Brasileiros de Cardiologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2014002100014&lang=pt" 
"S0066-782X2014002100013-scl","Case 4/2014 - A 66-Year-Old Man with Acute Myocardial Infarction and Death in Asystole after Primary Coronary Angioplasty","Ribeiro, Wilma Noia, Yamada, Alice Tatsuko, Benvenuti, Luiz Alberto","Arquivos Brasileiros de Cardiologia; 103(3); e31-e36","Arquivos Brasileiros de Cardiologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2014002100013&lang=pt" 
"S0066-782X2014002100012-scl","Is Sildenafil a Therapeutic Option for Noncompaction?","Finsterer, Josef, Stöllberger, Claudia","Arquivos Brasileiros de Cardiologia; 103(3); 264-265","Arquivos Brasileiros de Cardiologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2014002100012&lang=pt" 
"S1415-47142014000300407-scl","O outro do texto: o pathos na criação literária","Almeida, Ronaldo Monte de","Revista Latinoamericana de Psicopatologia Fundamental; 17(3); 407-415","Revista Latinoamericana de Psicopatologia Fundamental","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142014000300407&lang=pt" 
"S1413-65382014000300011-scl","Revisão sistemática acerca das políticas de educação inclusiva para a formação de professores","Ingles, Maria Amélia, Antoszczyszen, Samuel, Semkiv, Silvia Iris Afonso Lopes, Oliveira, Jáima Pinheiro de","Revista Brasileira de Educação Especial; 20(3); 461-478","Revista Brasileira de Educação Especial","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382014000300011&lang=pt" 
"S1017-04992014000200019-sza","The ethical demise of the political policy of affirmative action as a motive for enhancing women and education in South Africa: A double setback of a reverse strategy","Slater, Jennifer","Studia Historiae Ecclesiasticae; 40(); 329-348","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200019&lang=pt" 
"S1017-04992014000200018-sza","The liberation potential of the Shona culture and the Gospel: A post-feminist perspective","Chimhanda, Francisca","Studia Historiae Ecclesiasticae; 40(); 305-328","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200018&lang=pt" 
"S1017-04992014000200011-sza","One legacy of Landtnarkism: Its impact on racial struggles in the Southern Baptist Convention","Maples, James","Studia Historiae Ecclesiasticae; 40(); 175-194","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200011&lang=pt" 
"S1017-04992014000200010-sza","The growth of Pentecostalism and Christian umbrella organisations in Botswana","Nkomazana, Fidelis","Studia Historiae Ecclesiasticae; 40(); 153-173","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200010&lang=pt" 
"S1017-04992014000200013-sza","Botho/Ubuntu: Perspectives of Black Consciousness and Black Theology","Dolamo, Ramathate TH","Studia Historiae Ecclesiasticae; 40(); 215-229","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200013&lang=pt" 
"S1017-04992014000200012-sza","The Black Church and family empowerment in South Africa","Molobi, Masilo VS","Studia Historiae Ecclesiasticae; 40(); 195-211","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200012&lang=pt" 
"S1017-04992014000200015-sza","Servant leadership: A required leadership model for efficient and effective service delivery in a democratic South Africa","Manala, Matsobane J","Studia Historiae Ecclesiasticae; 40(); 249-266","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200015&lang=pt" 
"S1017-04992014000200017-sza","The culturally gendered pastoral care model of women caring for refugee girls in a context of HIV/AIDS","Chisale, Sinenhlanhla S, Buffel, Olehile","Studia Historiae Ecclesiasticae; 40(); 285-303","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200017&lang=pt" 
"S1017-04992014000200016-sza","The vhusadzi theology of ministry","Mudimeli, Lufuluvhi M, Landman, Christina","Studia Historiae Ecclesiasticae; 40(); 269-283","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200016&lang=pt" 
"S1415-47142014000300485-scl","Um caso de anorexia nervosa: a condução do tratamento","Val, Alexandre Costa, Cunha, Cristiane de Freitas, Ferreira, Roberto Assis, Carvalho, Maria Bernadete de","Revista Latinoamericana de Psicopatologia Fundamental; 17(3); 485-500","Revista Latinoamericana de Psicopatologia Fundamental","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142014000300485&lang=pt" 
"S1017-04992014000200014-sza","Re-imagining African Reformed Praxis in theological education: A Missiological dialogue with the Northern Theological Seminary (NTS)","Nel, Reginald W, Makofane, Mpeane K","Studia Historiae Ecclesiasticae; 40(); 231-248","Studia Historiae Ecclesiasticae","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1017-04992014000200014&lang=pt" 
"S1413-99362014000300008-scl","Requisitos para métricas em arquivos: critérios específicos para arquivometria","Pinto, Adilson Luiz, Elias, Ezmir Dippe, Vianna, William Barbosa","Perspectivas em Ciência da Informação; 19(3); 134-148","Perspectivas em Ciência da Informação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362014000300008&lang=pt" 
"S1609-91172014000300005-per","Datos demográficos de animales de compañía atendidos en consulta de oftalmología y de las personas a su cargo","Hugues H, Beatriz, Torres L, Miguel","Revista de Investigaciones Veterinarias del Perú; 25(3); 374-380","Revista de Investigaciones Veterinarias del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172014000300005&lang=pt" 
"S1609-91172014000300004-per","Estimación de la población de perros callejeros en el distrito de Los Olivos, Lima, Perú","Ochoa A, Yaliní, Falcón P, Néstor, Zuazo R, José, Guevara P, Beder","Revista de Investigaciones Veterinarias del Perú; 25(3); 366-373","Revista de Investigaciones Veterinarias del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172014000300004&lang=pt" 
"S1609-91172014000300007-per","Comparación de modelos no lineales para describir curvas de crecimiento en la cabra catalana","Parés-Casanova, Pere M, Kucherova, Irina","Revista de Investigaciones Veterinarias del Perú; 25(3); 390-398","Revista de Investigaciones Veterinarias del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172014000300007&lang=pt" 
"S1609-91172014000300006-per","Efecto de la suplementación de ácidos orgánicos sobre parámetros productivos del cuy (Cavia porcellus)","Sánchez-Silva G, Milena, Carcelén C, Fernando, Ara G, Miguel, Gonzáles V, Rosa, Quevedo G, William, Jiménez A, Ronald","Revista de Investigaciones Veterinarias del Perú; 25(3); 381-389","Revista de Investigaciones Veterinarias del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172014000300006&lang=pt" 
"S1609-91172014000300001-per","Caracterización histológica y dinámica linfoide de las placas de Peyer en crías de alpaca durante los 45 primeros días de vida","Roca L, Víctor, Manchego S, Alberto, Sandoval C, Nieves, Chiok C, Kim Lam, Rivera G, Hermelinda","Revista de Investigaciones Veterinarias del Perú; 25(3); 341-349","Revista de Investigaciones Veterinarias del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172014000300001&lang=pt" 
"S1609-91172014000300003-per","Percepción de los beneficios de la tenencia de animales de compañía en tres grupos poblacionales de la Habana, cuba","Hugues H, Beatriz, Álvarez A, Aimee, Castelo E.C, Lizet, Ledón L, Loraine, Mendoza T, Madelín, Domínguez A, Emma","Revista de Investigaciones Veterinarias del Perú; 25(3); 355-365","Revista de Investigaciones Veterinarias del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172014000300003&lang=pt" 
"S1609-91172014000300002-per","Niveles de potasio sérico y estudio electrocardiográfico en crías de alpaca (Vicugna pacos)","Dávila F, Roberto, Navarrete Z, Miluska, Lira M, Boris, Vásquez C, María, Paredes P, Manuel, Rodríguez G, José","Revista de Investigaciones Veterinarias del Perú; 25(3); 350-354","Revista de Investigaciones Veterinarias del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172014000300002&lang=pt" 
"S1415-47142014000300515-scl","Criação e extinção do primeiro Manicômio Judiciário do Brasil","Santos, Ana Luiza Gonçalves dos, Farias, Francisco Ramos de","Revista Latinoamericana de Psicopatologia Fundamental; 17(3); 515-527","Revista Latinoamericana de Psicopatologia Fundamental","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142014000300515&lang=pt" 
"S0366-69132014000300013-scl","Non isothermal kinetic study of the aluminium titanate formation in alumina-titania mixtures","Rendtorff, N. M., Suárez, G., Aglietti, E. F.","Cerâmica; 60(355); 411-416","Cerâmica","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300013&lang=pt" 
"S0366-69132014000300017-scl","Membrana cerâmica assimétrica à base de argila para aplicação em processos de microfiltração: influência do tempo de deposição","Silva, M. C. da, Lucena Lira, H. de, Freitas, N. L. de","Cerâmica; 60(355); 436-442","Cerâmica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300017&lang=pt" 
"S0366-69132014000300011-scl","Síntese de nanocatalisador cerâmico a base de SnO2 pelo método hidrotermal assistido por micro-ondas aplicado a reação de transesterificação do óleo de babaçu","Santos, A. M. dos, Vasconcelos, J. S., Rangel, J. H. G., Longo, E., Oliveira, M. M.","Cerâmica; 60(355); 397-401","Cerâmica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300011&lang=pt" 
"S0366-69132014000300010-scl","Mixing ratio of zinc nitrate and phosphoric acid for preparation of zinc phosphate white pigments","Onoda, H., Haruki, M.","Cerâmica; 60(355); 392-396","Cerâmica","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300010&lang=pt" 
"S0366-69132014000300015-scl","Crystallographic and optical studies on Cr doped ZnS nanocrystals","Bodke, M. R., Purushotham, Y., Dole, B. N.","Cerâmica; 60(355); 425-428","Cerâmica","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300015&lang=pt" 
"S0366-69132014000300018-scl","Projeto de um banco de ensaio de desgaste do tipo &quot;pin-on-disc&quot;","Ramos, D. T. L., Pallone, E. M. J. A., Purquerio, B. M., Fortulan, C. A.","Cerâmica; 60(355); 443-448","Cerâmica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300018&lang=pt" 
"S1415-47142014000300557-scl","Freud: a cien años de Tótem y tabú","Castañón, Adolfo","Revista Latinoamericana de Psicopatologia Fundamental; 17(3); 557-560","Revista Latinoamericana de Psicopatologia Fundamental","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142014000300557&lang=pt" 
"S0066-782X2014002100001-scl","Percutaneous Treatment of Functional Mitral Regurgitation in Heart Failure","Attizzani, Guilherme F., Lemos, Pedro A.","Arquivos Brasileiros de Cardiologia; 103(3); 172-173","Arquivos Brasileiros de Cardiologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2014002100001&lang=pt" 
"S0066-782X2014002100008-scl","Assessing Strategies for Heart Failure with Preserved Ejection Fraction at the Outpatient Clinic","Jorge, Antonio José Lagoeiro, Rosa, Maria Luiza Garcia, Ribeiro, Mario Luiz, Fernandes, Luiz Claudio Maluhy, Freire, Monica Di Calafiori, Correia, Dayse Silva, Teixeira, Patrick Duarte, Mesquita, Evandro Tinoco","Arquivos Brasileiros de Cardiologia; 103(3); 231-237","Arquivos Brasileiros de Cardiologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2014002100008&lang=pt" 
"S0366-69132014000300007-scl","Physical properties and hydration evolution of dispersant containing calcium aluminate cement compositions for endodontic applications","Luz, A. P., Pandolfelli, V. C.","Cerâmica; 60(355); 366-370","Cerâmica","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300007&lang=pt" 
"S0366-69132014000300002-scl","Avaliação da influência de diferentes tratamentos térmicos sobre as transformações de fases esmectitas","Gonçalves, W. P., Silva, V. J., Gomes, J., Menezes, R. R., Neves, G. A., Ferreira, H. C., Santana, L. N. L.","Cerâmica; 60(355); 316-322","Cerâmica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132014000300002&lang=pt" 
"S1415-47142014000300431-scl","A origem da palavra narcisismo","Guimarães, Luiz Moreno, Endo, Paulo Cesar","Revista Latinoamericana de Psicopatologia Fundamental; 17(3); 431-449","Revista Latinoamericana de Psicopatologia Fundamental","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142014000300431&lang=pt" 
"S1415-47142014000300416-scl","O sujeito psicótico e a função do delírio","Briggs, Raquel, Rinaldi, Doris","Revista Latinoamericana de Psicopatologia Fundamental; 17(3); 416-430","Revista Latinoamericana de Psicopatologia Fundamental","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142014000300416&lang=pt" 
"S1413-65382014000300005-scl","Capacitação de agentes educacionais: proposta de desenvolvimento de estratégias inclusivas","Benitez, Priscila, Domeniconi, Camila","Revista Brasileira de Educação Especial; 20(3); 371-386","Revista Brasileira de Educação Especial","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382014000300005&lang=pt" 
