"S1415-65552010000200001-scl","Editorial","Quintella, Rogério H.","Revista de Administração Contemporânea; 14(2); -","Revista de Administração Contemporânea","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552010000200001&lang=pt" 
"S0100-736X2010000400008-scl","Segurança e eficácia da técnica de biopsia pulmonar transtorácica percutânea para avaliação histopatológica do parênquima pulmonar de ovinos clinicamente sadios","Silva, Andreza Amaral da, Ferreira, Danilo Otávio Laurenti, Porto, Camila Dias, Santarosa, Bianca Paola, Sequeira, Júlio Lopes, Gonçalves, Roberto Calderon","Pesquisa Veterinária Brasileira; 30(4); 328-334","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000400008&lang=pt" 
"S0100-06832010000200001-scl","Potencial de sequestro de carbono em diferentes biomas do Brasil","Carvalho, João Luis Nunes, Avanzi, Junior Cesar, Silva, Marx Leandro Naves, Mello, Carlos Rogério de, Cerri, Carlos Eduardo Pellegrino","Revista Brasileira de Ciência do Solo; 34(2); 277-290","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200001&lang=pt" 
"S0100-06832010000200003-scl","Influência do tipo de amostragem na constante dielétrica do solo e na calibração de sondas de TDR","Santos, Marcelo Rocha dos, Zonta, João Henrique, Martinez, Mauro Aparecido","Revista Brasileira de Ciência do Solo; 34(2); 299-308","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200003&lang=pt" 
"S0100-06832010000200004-scl","Estabilidade de agregados de um latossolo amarelo distrocoeso de tabuleiro costeiro sob diferentes aportes de resíduos orgânicos da cana-de-açúcar","Vasconcelos, Romero Falcão Bezerra de, Cantalice, José Ramon Barros, Oliveira, Veronildo Souza de, Costa, Yuri Daniel Jatobá da, Cavalcante, Douglas Monteiro","Revista Brasileira de Ciência do Solo; 34(2); 309-316","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200004&lang=pt" 
"S0100-06832010000200005-scl","Nutrient supply by mass flow and diffusion to maize plants in response to soil aggregate size and water potential","Oliveira, Ermelinda Maria Mota, Ruiz, Hugo Alberto, Alvarez V, Víctor Hugo, Ferreira, Paulo Afonso, Costa, Fernanda Oliveira, Almeida, Ivan Carlos Carreiro","Revista Brasileira de Ciência do Solo; 34(2); 317-328","Revista Brasileira de Ciência do Solo","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200005&lang=pt" 
"S0100-06832010000200007-scl","Teores e características da matéria orgânica de solos hidromórficos do Espírito Santo","Nascimento, Paulo César do, Lani, João Luis, Mendonça, Eduardo de Sá, Zoffoli, Hugo José de Oliveira, Peixoto, Henrique Theodoro Martins","Revista Brasileira de Ciência do Solo; 34(2); 339-348","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200007&lang=pt" 
"S0100-06832010000200009-scl","Isolation and characterization of two plant growth-promoting bacteria from the rhizoplane of a legume (Lupinus albescens) in sandy soil","Giongo, Adriana, Beneduzi, Anelise, Ambrosini, Adriana, Vargas, Luciano Kayser, Stroschein, Marcos Roberto, Eltz, Flávio Luiz, Bodanese-Zanettini, Maria Helena, Passaglia, Luciane Maria Pereira","Revista Brasileira de Ciência do Solo; 34(2); 361-369","Revista Brasileira de Ciência do Solo","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200009&lang=pt" 
"S0100-06832010000200010-scl","Bermuda grass sod production as related to nitrogen rates","Lima, Claudinei Paulo de, Backes, Clarice, Villas Bôas, Roberto Lyra, Oliveira, Mauricio Roberto de, Kiihl, Tammy Aparecida Manabe, Freitag, Elisa Eni","Revista Brasileira de Ciência do Solo; 34(2); 371-378","Revista Brasileira de Ciência do Solo","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200010&lang=pt" 
"S0100-06832010000200011-scl","Nitrate and ammonium in soil solution in tobacco management systems","Kaiser, Douglas Rodrigo, Reinert, Dalvan José, Reichert, José Miguel, Streck, Carlos Arnoldo, Pellegrini, André","Revista Brasileira de Ciência do Solo; 34(2); 379-388","Revista Brasileira de Ciência do Solo","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200011&lang=pt" 
"S0100-06832010000200012-scl","Variabilidade espacial dos teores de macronutrientes em latossolos sob sistema plantio direto","Zanão Júnior, Luiz Antônio, Lana, Regina Maria Quintão, Guimarães, Ednaldo Carvalho, Pereira, Josefa Monteiro de Araújo","Revista Brasileira de Ciência do Solo; 34(2); 389-400","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200012&lang=pt" 
"S0100-06832010000200013-scl","Soil-applied silicon decreases severity of wheat spot blotch on silicon-deficient soils","Zanão Júnior, Luiz Antônio, Fontes, Renildes Lúcio Ferreira, Coelho, Paulo Henrique Moreira, Korndörfer, Gaspar Henrique, Zambolim, Laércio","Revista Brasileira de Ciência do Solo; 34(2); 401-408","Revista Brasileira de Ciência do Solo","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200013&lang=pt" 
"S0100-06832010000200014-scl","Gesso agrícola e rendimento de grãos de soja na região do sudoeste de Goiás","Neis, Lucimeire, Paulino, Helder Barbosa, Souza, Edicarlos Damacena de, Reis, Edésio Fialho dos, Pinto, Flávio Araújo","Revista Brasileira de Ciência do Solo; 34(2); 409-416","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200014&lang=pt" 
"S0100-06832010000200015-scl","Disponibilidade de zinco para milho pelos extratores Mehlich-1, Mehlich-3 e DPTA em solos de Minas Gerais, na presença e ausência de calagem","Menezes, Agna Almeida, Dias, Luiz Eduardo, Neves, Julio César Lima, Silva, Joelson Virginio Orrico da","Revista Brasileira de Ciência do Solo; 34(2); 417-424","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200015&lang=pt" 
"S0100-06832010000200017-scl","Dry matter production and nutrient accumulation after successive crops of lettuce, tomato, rice, and andropogongrass in a substrate with zeolite","Bernardi, Alberto C. de Campos, Monte, Marisa Bezerra de Mello, Paiva, Paulo Renato Perdigão, Werneck, Carlos Guarino, Haim, Patrick Gesualdi, Barros, Fernando de Souza","Revista Brasileira de Ciência do Solo; 34(2); 435-442","Revista Brasileira de Ciência do Solo","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200017&lang=pt" 
"S0100-06832010000200018-scl","Rugosidade da superfície do solo sob diferentes sistemas de manejo e influenciada por chuva artificial","Panachuki, Elói, Bertol, Ildegardis, Alves Sobrinho, Teodorico, Vitorino, Antônio Carlos Tadeu, Souza, Cristiano Márcio Alves de, Urchei, Mário Artemio","Revista Brasileira de Ciência do Solo; 34(2); 443-452","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200018&lang=pt" 
"S0100-06832010000200023-scl","Liberação de macronutrientes das palhadas de milheto solteiro e consorciado com feijão-de-porco sob cultivo de feijão","Teixeira, Cícero Monti, Carvalho, Gabriel José de, Silva, Carlos Alberto, Andrade, Messias José Bastos de, Pereira, Janser Moura","Revista Brasileira de Ciência do Solo; 34(2); 497-506","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200023&lang=pt" 
"S0100-06832010000200026-scl","Avaliação do transporte de atrazina em solos sob diferentes condições de manejo agrícola","Correia, Fabio Veríssimo, Langenbach, Tomaz, Campos, Tácio Mauro","Revista Brasileira de Ciência do Solo; 34(2); 525-534","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200026&lang=pt" 
"S0100-06832010000200027-scl","Uso de lodo de esgoto estabilizado em um solo decapitado: I - atributos físicos e revegetação","Ricci, Alexandro Batista, Padovani, Vera Cristina Ramalho, Paula Júnior, Durval Rodrigues de","Revista Brasileira de Ciência do Solo; 34(2); 535-542","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200027&lang=pt" 
"S0100-06832010000200029-scl","Sewage sludge as nitrogen and phosphorus source for cane-plant and first ratoon crops","Franco, Ademir, Abreu Junior, Cassio Hamilton, Perecin, Dilermando, Oliveira, Fernando Carvalho, Granja, Ana Carolina Ribeiro, Braga, Vivian Santoro","Revista Brasileira de Ciência do Solo; 34(2); 553-561","Revista Brasileira de Ciência do Solo","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200029&lang=pt" 
"S0100-69912010000200005-scl","Repercussão da perda de peso sobre parâmetros nutricionais e metabólicos de pacientes obesos graves após um ano de gastroplastia em Y-de-Roux","Costa, Luziane Della, Valezi, Antonio Carlos, Matsuo, Tiemi, Dichi, Isaias, Dichi, Jane Bandeira","Revista do Colégio Brasileiro de Cirurgiões; 37(2); 096-101","Revista do Colégio Brasileiro de Cirurgiões","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912010000200005&lang=pt" 
"S0100-69912010000200007-scl","Níveis séricos pré-operatórios dos marcadores CEA e CA19-9 e imunoexpressão tecidual do marcador CA19-9 no carcinoma colorretal: relação com os aspectos morfológicos da neoplasia","Souza, José Roberto Martins de, Gonçalves, José Eduardo, Matos, Leandro Luongo, Mader, Ana Maria Amaral Antonio, Capelozzi, Vera Luiza, Waisberg, Jaques","Revista do Colégio Brasileiro de Cirurgiões; 37(2); 106-113","Revista do Colégio Brasileiro de Cirurgiões","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912010000200007&lang=pt" 
"S0100-69912010000200008-scl","Foco de criptas aberrantes e câncer da junção colorretal: análise da presença de lesões precoces microscópicas na periferia do câncer colorretal e correlação com a expressão da β-catenina e Ki-67","Ogata, Daniel Cury, Greca, Fernando Hintz, Luz, Murilo de Almeida, Ioshii, Sérgio Ossamu, Tomasich, Flávio Daniel Saavedra","Revista do Colégio Brasileiro de Cirurgiões; 37(2); 114-120","Revista do Colégio Brasileiro de Cirurgiões","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912010000200008&lang=pt" 
"S0100-69912010000200011-scl","Uso de 2-octil cianoacrilato em anastomose colônica: estudo experimental em ratos wistar","Soares Júnior, Cleber, Souza, Cláudio de","Revista do Colégio Brasileiro de Cirurgiões; 37(2); 135-142","Revista do Colégio Brasileiro de Cirurgiões","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912010000200011&lang=pt" 
"S0100-69912010000200010-scl","Expressão imunohistoquímica de P53 e Ki-67 na carcinogênese esofágica induzida pela dietilnitrosamina: modelo experimental","Castro Junior, Miguel Angelo Martins de, Kruel, Cleber Dario Pinto, Meurer, Luise, Castro, Angela Potter de","Revista do Colégio Brasileiro de Cirurgiões; 37(2); 128-134","Revista do Colégio Brasileiro de Cirurgiões","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912010000200010&lang=pt" 
"S0100-69912010000200009-scl","Avaliação de cicatrizes cutâneas: apresentação de um método quantitativo","Vidigal, Fernando Mendonça, Petroianu, Andy","Revista do Colégio Brasileiro de Cirurgiões; 37(2); 121-127","Revista do Colégio Brasileiro de Cirurgiões","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912010000200009&lang=pt" 
"S1134-80462010000300004-esp","Hidromorfona: una alternativa en el tratamiento del dolor","García, B., Latorre, S., Torre, F., Gómez, C., Postigo, S., Callejo, A., Arizaga, A.","Revista de la Sociedad Española del Dolor; 17(3); 53-161","Revista de la Sociedad Española del Dolor","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462010000300004&lang=pt" 
"S0100-06832010000200008-scl","Seleção de bactérias promotoras de crescimento no abacaxizeiro cultivar Vitória durante a aclimatização","Baldotto, Lílian Estrela Borges, Baldotto, Marihus Altoé, Olivares, Fábio Lopes, Viana, Alexandre Pio, Bressan-Smith, Ricardo","Revista Brasileira de Ciência do Solo; 34(2); 349-360","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200008&lang=pt" 
"S0100-06832010000200021-scl","Atributos químicos, mineralógicos e micromorfológicos de horizontes coesos de latossolos e argissolos dos tabuleiros costeiros do estado de Alagoas","Lima Neto, José de Almeida, Ribeiro, Mateus Rosas, Corrêa, Marcelo Metri, Souza-Júnior, Valdomiro Severino de, Araújo Filho, José Coelho de, Lima, José Fernando W.F","Revista Brasileira de Ciência do Solo; 34(2); 473-486","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200021&lang=pt" 
"S0100-06832010000200024-scl","Postharvest nitrous oxide emissions from a subtropical oxisol as influenced by summer crop residues and their management","Escobar, Luisa Fernanda, Amado, Telmo Jorge Carneiro, Bayer, Cimélio, Chavez, Luis Fernando, Zanatta, Josiléia Acordi, Fiorin, Jackson Ernani","Revista Brasileira de Ciência do Solo; 34(2); 507-516","Revista Brasileira de Ciência do Solo","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200024&lang=pt" 
"S0100-06832010000200032-scl","Propriedades físicas e químicas do solo em áreas com sistemas produtivos e mata na região da Zona da Mata mineira","Portugal, Arley Figueiredo, Costa, Oldair Del&#039;Arco Vinhas, Costa, Liovando Marciano da","Revista Brasileira de Ciência do Solo; 34(2); 575-585","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200032&lang=pt" 
"S0100-69912010000200012-scl","Tratamento endoscópico das lesões biliares","Artifon, Everson L. A., Couto Júnior, Décio Sampaio, Sakai, Paulo","Revista do Colégio Brasileiro de Cirurgiões; 37(2); 143-152","Revista do Colégio Brasileiro de Cirurgiões","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912010000200012&lang=pt" 
"S0100-736X2010000400012-scl","Morphological features and vascularization study of caprine cyclic corpus luteum","Miranda-Moura, Maria Tereza M., Fonseca, Vanessa Uemura da, Silva, Naisandra Bezerra da, Freitas, Maria de Lourdes, Almeida, Osiel Benedito de, Rocha, Hugo Alexandre de Oliveira, Papa, Paula de Carvalho, Moura, Carlos Eduardo Bezerra de","Pesquisa Veterinária Brasileira; 30(4); 351-357","Pesquisa Veterinária Brasileira","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000400012&lang=pt" 
"S0100-736X2010000400014-scl","Establishment of a protocol for obtention of neuronal stem cells lineages from the dog olfactory epithelium","Alves, Flávio R., Guerra, Ricardo R., Fioretto, Emerson T., Delgado, Juliana C., Machado Júnior, Antônio A. N., Ambrósio, Carlos E., Kerkis, I., Miglino, Maria A.","Pesquisa Veterinária Brasileira; 30(4); 363-372","Pesquisa Veterinária Brasileira","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000400014&lang=pt" 
"S0100-736X2010000400015-scl","Análise histológica das glândulas uretrais da capivara (Hydrochoerus hydrochaeris)","Fernandez, Daniela S., Ferraz, Rosa H.S., Melo, Alan P.F., Rodrigues, Rosangela F., Souza, Wilson M.","Pesquisa Veterinária Brasileira; 30(4); 373-377","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000400015&lang=pt" 
"S0100-06832010000200002-scl","Uso de sistema GPR (Ground Penetring Radar) na avaliação de atributos de um solo sob plantio de cana-de-açúcar","Cezar, Everson, Nanni, Marcos Rafael, Chicati, Marcelo Luiz, Fabrio, Felipe Derbocio, Hata, Fernando Teruhiko, Oliveira, Roney Berty de","Revista Brasileira de Ciência do Solo; 34(2); 291-298","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200002&lang=pt" 
"S0100-06832010000200019-scl","Esterco de gado leiteiro associado à adubação mineral e sua influência na fertilidade de um latossolo sob plantio direto","Silva, José Carlos Peixoto Modesto da, Motta, Antônio Carlos Vargas, Pauletti, Volnei, Veloso, Cristina Mattos, Favaretto, Nerilde, Barcellos, Milena, Oliveira, André Soares de, Silva, Luiz Fernando Costa e","Revista Brasileira de Ciência do Solo; 34(2); 453-463","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200019&lang=pt" 
"S0100-06832010000200028-scl","Uso de lodo de esgoto estabilizado em um solo decapitado: II - atributos químicos e revegetação","Ricci, Alexandro Batista, Padovani, Vera Cristina Ramalho, Paula Júnior, Durval Rodrigues de","Revista Brasileira de Ciência do Solo; 34(2); 543-551","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200028&lang=pt" 
"S0100-06832010000200016-scl","Marcha de absorção de macronutrientes na cultura do girassol","Zobiole, Luiz Henrique Saes, Castro, César de, Oliveira, Fabio Alvares de, Oliveira Junior, Adilson de","Revista Brasileira de Ciência do Solo; 34(2); 425-434","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200016&lang=pt" 
"S0100-06832010000200031-scl","Programa de ajuste multiparamétrico de curvas de titulação potenciométricas de ácidos húmicos","Reis, Clausius Duque Gonçalves, Fonseca, Rita A. Dutra, Reis, Efraim Lázaro, Reis, César, Brighenti, Carla Regina Guimarães, Matias, Alexsandro Antônio","Revista Brasileira de Ciência do Solo; 34(2); 569-573","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200031&lang=pt" 
"S0100-06832010000200030-scl","Rizobactérias formadoras de endósporos associadas a Tibouchina urvilleana de áreas impactadas por rejeitos da mineração do carvão","Pereira, Bianca de Aguiar, Castro-Silva, Marcus Adonai","Revista Brasileira de Ciência do Solo; 34(2); 563-567","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200030&lang=pt" 
"S0100-06832010000200020-scl","Alterações nas concentrações de fósforo em solos cultivados com arroz irrigado no Rio Grande do Sul","Gonçalves, Gustavo Kruger, Meurer, Egon José","Revista Brasileira de Ciência do Solo; 34(2); 465-472","Revista Brasileira de Ciência do Solo","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832010000200020&lang=pt" 
"S0104-026X2010000100003-scl","Os psicólogos na rede de assistência a mulheres em situação de violência","Hanada, Heloisa, D&#039;Oliveira, Ana Flávia Pires Lucas, Schraiber, Lilia Blima","Revista Estudos Feministas; 18(1); 33-60","Revista Estudos Feministas","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2010000100003&lang=pt" 
"S0104-026X2010000100004-scl","A maternidade na política de humanização dos cuidados ao bebê prematuro e/ou de baixo peso: Programa Canguru","Véras, Renata Meira, Traverso-Yépez, Martha Azucena","Revista Estudos Feministas; 18(1); 61-80","Revista Estudos Feministas","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2010000100004&lang=pt" 
"S0104-026X2010000100005-scl","Do campo à &quot;Campanha&quot;: gênero, performance e narrativas orais na fronteira entre o Brasil e o Uruguai","Hartmann, Luciana","Revista Estudos Feministas; 18(1); 81-100","Revista Estudos Feministas","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2010000100005&lang=pt" 
"S0104-026X2010000100006-scl","O cinema como pedagogia cultural: significações por mulheres idosas","Fernandes, Wânia Ribeiro, Siqueira, Vera Helena Ferraz de","Revista Estudos Feministas; 18(1); 101-120","Revista Estudos Feministas","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2010000100006&lang=pt" 
"S0104-026X2010000100007-scl","Prostitución en Galicia: clientes e imaginarios femeninos","Suárez, Agueda Gómez, Freire, Silvia Pérez","Revista Estudos Feministas; 18(1); 121-140","Revista Estudos Feministas","Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2010000100007&lang=pt" 
"S0104-026X2010000100008-scl","De Gabriela a Juma: imagens eróticas femininas nas telenovelas brasileiras","Klanovicz, Luciana Rosar Fornazari","Revista Estudos Feministas; 18(1); 141-160","Revista Estudos Feministas","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2010000100008&lang=pt" 
"S0104-026X2010000100012-scl","Feminismo, psicanálise, gênero: viagens e traduções","Lago, Mara Coelho de Souza","Revista Estudos Feministas; 18(1); 189-204","Revista Estudos Feministas","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2010000100012&lang=pt" 
"S0104-026X2010000100013-scl","Cartografias clínicas, dispositivos de gêneros, estratégia saúde da família","Peres, Wiliam Siqueira","Revista Estudos Feministas; 18(1); 205-220","Revista Estudos Feministas","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2010000100013&lang=pt" 
"S0104-026X2010000100014-scl","Os relatórios Masters &amp; Johnson: gênero e as práticas psicoterapêuticas sexuais a partir da década de 70","Sena, Tito","Revista Estudos Feministas; 18(1); 221-240","Revista Estudos Feministas","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2010000100014&lang=pt" 
"S0104-026X2010000100015-scl","Os segredos da adoção e o imperativo da matriz bioparental","Teixeira Filho, Fernando Silva","Revista Estudos Feministas; 18(1); 241-262","Revista Estudos Feministas","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2010000100015&lang=pt" 
"S0102-09352010000200003-scl","Apoptose e expressão de Bcl-2 e das caspases 3 e 8 em placenta bovina, em diferentes estádios de gestação","Meça, K.K.O.L., Martins, A.S., Del Puerto, H.L, Vasconcelos, A.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 62(2); 258-264","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352010000200003&lang=pt" 
"S0102-09352010000200004-scl","Haematological and biochemical parameters in Churra-da-Terra-Quente ewes from the northeast of Portugal","Dias, I.R., Viegas, C.A., Silva, A.M., Pereira, H.F., Sousa, C.P., Carvalho, P.P., Cabrita, A.S., Fontes, P.J., Silva, S.R., Azevedo, J.M.T.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 62(2); 265-272","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352010000200004&lang=pt" 
"S0102-09352010000200005-scl","Influência da gestação e do puerpério no lipidograma de bovinos da raça Holandesa","Pogliani, F.C., Azedo, M.R., Souza, R.M., Raimondo, R.F.S., Birgel Junior, E.H.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 62(2); 273-280","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352010000200005&lang=pt" 
"S0102-09352010000200006-scl","Efeito da frequência de amamentação sobre a taxa de ovulação após tratamento com desmame temporário + GnRH, sobre a incidência de luteólise prematura no primeiro ciclo estral pós-parto e sobre o desempenho da progênie de vacas Nelore","Claro Junior, I., Sá Filho, O.G., Rodrigues Junior, M.M., Vasconcelos, J.L.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 62(2); 281-288","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352010000200006&lang=pt" 
"S0102-09352010000200009-scl","Efeitos da infusão contínua de propofol ou etomidato sobre variáveis intracranianas em cães","Paula, D.P., Nunes, N., Nishimori, C.T.D., Lopes, P.C.F., Carareto, R., Santos, P.S.P.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 62(2); 302-308","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352010000200009&lang=pt" 
"S0102-09352010000200010-scl","Effects of carprofen administered by different routes to control experimental uveitis in dogs","Ribeiro, A.P., Escobar, A., Motheo, T.F., Sakamoto, C.A.M., Godoy, G.S., Costa, M.A.N., Laus, J.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 62(2); 309-317","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352010000200010&lang=pt" 
"S0102-09352010000200011-scl","Reactivity of p53 protein in canine transmissible venereal tumor","Moro, J.V., Tinucci-Costa, M., Silveira, A.C.T., Gerardi, D.G., Alessi, A.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 62(2); 318-323","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352010000200011&lang=pt" 
"S0102-09352010000200012-scl","Eletroacupuntura no reparo do tendão calcanear comum em coelhos após enxertia com peritônio bovino","Freitas, P.M.C., Daleck, C.R., Nunes, L.C., Eurides, D., Beletti, M.E., Melo, M.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 62(2); 324-331","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352010000200012&lang=pt" 
"S0102-09352010000200015-scl","Hematological and biochemical profiles of rats submitted to experimental poisoning with Tityus serrulatus venom","Pinto, M.C.L., Melo, M.M., Costa, M.E.R., Labarrere, C.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 62(2); 350-356","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352010000200015&lang=pt" 
"S0102-09352010000200016-scl","Consumo de nutrientes e parâmetros ruminais de vacas alimentadas com diferentes níveis de energia na dieta","Goularte, S.R., Ítavo, L.C.V., Morais, M.G., Ítavo, C.C.B.F., Santos, G.T., Dias, A.M., Bezerra, F.S., Azevedo Júnior, N.P., Calvis, D.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 62(2); 357-364","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352010000200016&lang=pt" 
"S0102-09352010000200017-scl","Consumo e digestibilidade de nutrientes em novilhos suplementados e terminados em pasto, na seca","Baroni, C.E.S., Lana, R.P., Mancio, A.B., Mendonça, B.P.C., Leão, M.I., Sverzut, C.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 62(2); 365-372","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352010000200017&lang=pt" 
