"S2007-11322010000100002-mex","La verdadera cosecha maderable en México","Caballero Deloya, Miguel","Revista mexicana de ciencias forestales; 1(1); 6-16","Revista mexicana de ciencias forestales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322010000100002&lang=pt" 
"S1679-45082010000200192-scl","Urinary incontinence after vaginal delivery or cesarean section","Borges, João Bosco Ramos, Guarisi, Telma, Camargo, Ana Carolina Marchesini de, Gollop, Thomaz Rafael, Machado, Rogério Bonassi, Borges, Pítia Cárita de Godoy","Einstein (São Paulo); 8(2); 192-196","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200192&lang=pt" 
"S1679-45082010000200180-scl","Follow-up of premature children with high risk for growth and development delay: a multiprofessional assessment","Freitas, Marcia de, Kernkraut, Ana Merzel, Guerrero, Simone Maria Amadio, Akopian, Sonia Teresa Gaidzakian, Murakami, Sandra Harumi, Madaschi, Vanessa, Rueg, Danielle, Almeida, Cristiane Isabela de, Deutsch, Alice D&#039;Agostini","Einstein (São Paulo); 8(2); 180-186","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200180&lang=pt" 
"S1679-45082010000200228-scl","Pleuropericardial cyst torsion: case report","Kang, Davi Wen Wei, Corpa, Maria Carolina Ercoli, Racy, Marcelo de Castro Jorge, Baroni, Ronaldo Hueb, Engel, Fabiano Cataldi, Andrade Filho, Laert de Oliveira, Bueno, Marco Aurélio Scarpinella","Einstein (São Paulo); 8(2); 228-231","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200228&lang=pt" 
"S1679-45082010000200259-scl","Erratum","","Einstein (São Paulo); 8(2); 259-259","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200259&lang=pt" 
"S1679-45082010000200200-scl","Comparative analysis of radical prostatectomy techniques using perineal or suprapubic approach in the treatment of localized prostate cancer","Amorim, Gelbert Luiz Chamon do Carmo, Cruz, Geraldo Magela Gomes da, Veloso, Denny Fabrício Magalhães, Kartabil, José David, Vieira, José Carlos, Alves, Paulo Roberto","Einstein (São Paulo); 8(2); 200-204","Einstein (São Paulo)","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082010000200200&lang=pt" 
"S0717-34582010000300001-chl","Assessment of genetic diversity among Pakistani wheat (Triticum aestivum L.) advanced breeding lines using RAPD and SDS-PAGE","Ahmed, Muhammad Farooq, Iqbal, Muhammad, Masood, Muhammad Shahid, Rabbani, Malik Ashiq, Munir, Muhammad","Electronic Journal of Biotechnology; 13(3); 1-2","Electronic Journal of Biotechnology","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582010000300001&lang=pt" 
"S0717-34582010000300002-chl","Kinetic analysis and effect of culture medium and coating materials during free and immobilized cell cultures of Bifidobacterium animalis subsp. lactis Bb 12","Jalili, Hasan, Razavi, Hadi, Safari, Mohammad, Amrane, Abdeltif","Electronic Journal of Biotechnology; 13(3); 2-3","Electronic Journal of Biotechnology","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582010000300002&lang=pt" 
"S0717-34582010000300003-chl","Artificial neural network modeling studies to predict the yield of enzymatic synthesis of betulinic acid ester","Moghaddam, Mansour Ghaffari, Ahmad, Faujan Bin H, Basri, Mahiran, Rahman, Mohd Basyaruddin Abdul","Electronic Journal of Biotechnology; 13(3); 3-4","Electronic Journal of Biotechnology","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582010000300003&lang=pt" 
"S0717-34582010000300004-chl","Genetic diversity associated with agronomic traits using microsatellite markers in Pakistani rice landraces","Pervaiz, Zahida Hassan, Rabbani, M. Ashiq, Khaliq, Ishtiaq, Pearce, Stephen R, Malik, Salman A","Electronic Journal of Biotechnology; 13(3); 4-5","Electronic Journal of Biotechnology","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582010000300004&lang=pt" 
"S0717-34582010000300005-chl","Human sulfatase transiently and functionally active expressed in E. coli K12","Poutou-Piñales, Raúl A, Vanegas Niño, Adriana, Landázuri, Patricia, Sáenz, Homero, Lareo, Leonardo, Echeverri Peña, Olga Yaneth, Barrera Avellaneda, Luis A","Electronic Journal of Biotechnology; 13(3); 5-6","Electronic Journal of Biotechnology","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582010000300005&lang=pt" 
"S0717-34582010000300006-chl","Biodeterioration patterns found in dammar resin used as art material","Romero-Noguera, Julio, Martín-Sánchez, Inés, López-Miras, María del Mar, Ramos-López, José Miguel, Bolívar-Galiano, Fernando","Electronic Journal of Biotechnology; 13(3); 6-7","Electronic Journal of Biotechnology","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582010000300006&lang=pt" 
"S0717-34582010000300007-chl","EST sequencing and SSR marker development from cultivated peanut (Arachis hypogaea L.)","Song, Guo Qi, Li, Meng Jun, Xiao, Han, Wang, Xing Jun, Tang, Rong Hua, Xia, Han, Zhao, Chuan Zhi, Bi, Yu Ping","Electronic Journal of Biotechnology; 13(3); 7-8","Electronic Journal of Biotechnology","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582010000300007&lang=pt" 
"S0717-34582010000300008-chl","Genotypic variation of Agrobacterium-mediated transformation of Italian ryegrass","Lee, Ki-Won, Choi, Gi Jun, Kim, Ki-Yong, Yoon, Sei Hyung, Ji, Hee Chung, Park, Hyung Soo, Lim, Young Chul, Lee, Sang-Hoon","Electronic Journal of Biotechnology; 13(3); 8-9","Electronic Journal of Biotechnology","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582010000300008&lang=pt" 
"S0717-34582010000300009-chl","Improved sanitary landfill design using recirculation of anaerobically treated leachates: generation of advanced design criteria","Schiappacasse, MarÃa Cristina, Palma, Juan, Poirrier, Paola, Ruiz-Filippi, Gonzalo, Chamy, Rolando","Electronic Journal of Biotechnology; 13(3); 9-10","Electronic Journal of Biotechnology","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582010000300009&lang=pt" 
"S0717-34582010000300010-chl","Sugar cane bagasse as feedstock for second generation ethanol production: Part I: Diluted acid pretreatment optimization","Vargas Betancur, Gabriel J, Pereira Jr, Nei","Electronic Journal of Biotechnology; 13(3); 10-11","Electronic Journal of Biotechnology","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582010000300010&lang=pt" 
"S1516-84842010000700012-scl","Transplante de célula-tronco hematopoética para síndrome mielodisplásica","Tabak, Daniel G., Pereira, Simone C. M., Nogueira, Marta C.","Revista Brasileira de Hematologia e Hemoterapia; 32(); 66-70","Revista Brasileira de Hematologia e Hemoterapia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000700012&lang=pt" 
"S1516-84842010000700006-scl","Doença enxerto versus hospedeiro aguda A- GVHD","Azevedo, Wellington","Revista Brasileira de Hematologia e Hemoterapia; 32(); 16-21","Revista Brasileira de Hematologia e Hemoterapia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000700006&lang=pt" 
"S1516-84842010000700010-scl","Indicações em transplante de células-tronco hematopoéticas em pacientes adultos com leucemia linfoide aguda","Zanichelli, Maria Aparecida, Colturato, Vergilio R., Sobrinho, Jairo","Revista Brasileira de Hematologia e Hemoterapia; 32(); 54-60","Revista Brasileira de Hematologia e Hemoterapia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000700010&lang=pt" 
"S1516-84842010000700002-scl","Seleção de doador de medula óssea ou sangue periférico","Pereira, Noemi F., Oliveira, Danielli C. M., Torres, Margareth, Rodrigues, Celso A., Alencar, Iracema S. B., Salomão, Izabella, Mauad, Marcos A., Colturato, Vergílio A. R., Bouzas, Luis Fernando S., Moraes, Maria Elisa","Revista Brasileira de Hematologia e Hemoterapia; 32(); 03-05","Revista Brasileira de Hematologia e Hemoterapia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000700002&lang=pt" 
"S1516-84842010000700011-scl","Transplante de células-tronco hematopoéticas e leucemia mieloide aguda: diretrizes brasileiras","Silla, Lucia Mariano R., Dulley, Frederico, Saboya, Rosaura, Paton, Eduardo, Kerbauy, Fabio, Arantes, Adriano M., Hamerschlak, Nelson","Revista Brasileira de Hematologia e Hemoterapia; 32(); 61-65","Revista Brasileira de Hematologia e Hemoterapia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000700011&lang=pt" 
"S1516-84842010000700003-scl","Seleção de doador não aparentado","Torres, Margareth, Oliveira, Danielli C. M., Pereira, Noemi F., Alencar, Iracema S. B., Rodrigues, Celso A., Salomão, Izabella, Mauad, Marcos A., Colturato, Vergílio A. R., Bouzas, Luis F., Moraes, Maria Elisa de","Revista Brasileira de Hematologia e Hemoterapia; 32(); 06-07","Revista Brasileira de Hematologia e Hemoterapia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000700003&lang=pt" 
"S1516-84842010000700019-scl","Transplante de células-tronco hematopoéticas para tumores sólidos: recomendações do Consenso Brasileiro de Transplante de Medula Óssea","Lerner, Décio, Arcuri, Leonardo J., Colares, Marta","Revista Brasileira de Hematologia e Hemoterapia; 32(); 136-139","Revista Brasileira de Hematologia e Hemoterapia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000700019&lang=pt" 
"S1516-84842010000700016-scl","O transplante de células-tronco hematopoéticas no tratamento dos linfomas não Hodgkin","Baldissera, Renata, Bigni, Ricardo, Haallack Neto, Abrahão E., Dias, Daniela F., Souza, Robenilson A., Chiattone, Carlos S., Souza, Cármino A. de","Revista Brasileira de Hematologia e Hemoterapia; 32(); 106-114","Revista Brasileira de Hematologia e Hemoterapia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000700016&lang=pt" 
"S1516-84842010000700001-scl","I Reunião da SBTMO de Diretrizes Brasileiras em Transplante de Células-Tronco Hematopoéticas","Bouzas, Luis Fernando S.","Revista Brasileira de Hematologia e Hemoterapia; 32(); 1-2","Revista Brasileira de Hematologia e Hemoterapia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000700001&lang=pt" 
"S1516-84842010000700008-scl","Anemia aplásica adquirida e anemia de Fanconi - Diretrizes Brasileiras em Transplante de Células-Tronco Hematopoéticas","Medeiros, Larissa A., Pasquini, Ricardo","Revista Brasileira de Hematologia e Hemoterapia; 32(); 40-45","Revista Brasileira de Hematologia e Hemoterapia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000700008&lang=pt" 
"S0103-84782010000500002-scl","Expolinear model on soybean growth in Argentina and Brazil","Confalone, Adriana Elisabet, Bernardes, Marcos Silveira, Costa, Luiz Claudio, Righi, Ciro Abbud, Dourado Neto, Durval, Martin, Thomas Newton, Manfron, Paulo Augusto, Pereira, Carlos Rodrigues","Ciência Rural; 40(5); 1009-1016","Ciência Rural","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010000500002&lang=pt" 
"S0103-84782010000500017-scl","Intoxicação em cães e gatos: diagnóstico toxicológico empregando cromatografia em camada delgada e cromatografia líquida de alta pressão com detecção ultravioleta em amostras estomacais","Bulcão, Rachel Picada, Tonello, Raquel, Piva, Sílvia Juliane, Schmitt, Gabriela Cristina, Emanuelli, Tatiana, Dallegrave, Eliane, Garcia, Solange Cristina","Ciência Rural; 40(5); 1109-1113","Ciência Rural","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010000500017&lang=pt" 
"S0103-84782010000500007-scl","Factor analysis and SREG GGE biplot for the genotype × environment interaction stratification in maize","Fritsche-Neto, Roberto, Miranda, Glauco Vieira, DeLima, Rodrigo Oliveira, Souza, Heraldo Namorato de","Ciência Rural; 40(5); 1043-1048","Ciência Rural","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782010000500007&lang=pt" 
"S0066-782X2010000500025-scl","Utilidade da pericardioscopia no diagnóstico de derrame pericárdico","Abrão, Fernando Conrado, Bibas, Benoit Jacques, Pêgo-Fernandes, Paulo Manuel, Jatene, Fabio Biscegli","Arquivos Brasileiros de Cardiologia; 94(5); e128-e130","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500025&lang=pt" 
"S0066-782X2010000500024-scl","Miocárdio não compactado em paciente com infarto agudo do miocárdio","Correia, Emanuel, Santos, Luís Ferreira, Rodrigues, Bruno, Gama, Pedro, Cabral, Costa, Santos, Oliveira","Arquivos Brasileiros de Cardiologia; 94(5); e125-e127","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500024&lang=pt" 
"S0066-782X2010000500021-scl","Exercício físico para diabéticos: tratamento ou diminuição dos fatores de risco?","Pimentel, Gustavo Duarte, Zemdegs, Juliane Costa Silva","Arquivos Brasileiros de Cardiologia; 94(5); 704-705","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500021&lang=pt" 
"S0066-782X2010000500020-scl","Qualidade de vida em doenças crônicas","Zortéa, Karine","Arquivos Brasileiros de Cardiologia; 94(5); 703-703","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500020&lang=pt" 
"S0066-782X2010000500009-scl","Associação independente do tabagismo aos eventos cardíacos pós-operatórios e à mortalidade em 30 dias","Sakuma, Luciane Midory, Machado, Fabio Santana, Martins, Milton de Arruda","Arquivos Brasileiros de Cardiologia; 94(5); 625-632","Arquivos Brasileiros de Cardiologia","Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500009&lang=pt" 
"S0066-782X2010000500023-scl","Posicionamento ectópico de eletrodo de marcapasso","Mota, Gildo, Prazeres, Juliana, Freitas, Nelmacy, Magalhães, Luiz, Reis, Francisco, Aras, Roque","Arquivos Brasileiros de Cardiologia; 94(5); e122-e124","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500023&lang=pt" 
"S0066-782X2010000500022-scl","Caso 3/2010 - Lactente de dois meses de idade, do sexo masculino, com fístula da artéria coronária interventricular anterior e o tronco pulmonar","Atik, Edmar, Cauduro, Alexandre S., Jatene, Marcelo","Arquivos Brasileiros de Cardiologia; 94(5); e120-e121","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500022&lang=pt" 
"S0066-782X2010000500026-scl","Origem anômala das coronárias: tronco único","Continentino, Marcelo Abramoff, Silva, João Luis G. da","Arquivos Brasileiros de Cardiologia; 94(5); e131-e131","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500026&lang=pt" 
"S0066-782X2010000500006-scl","Drenagem anômala total das veias pulmonares: 29 anos de experiência em uma única instituição","Basso, Maira L., Pacheco, Gisele C., Netto, Octavio S. S., Abuchaim, Juliana S., Ferreira, Wanderley S., Sallum, Fabio S., Miyague, Nelson Itiro","Arquivos Brasileiros de Cardiologia; 94(5); 608-612","Arquivos Brasileiros de Cardiologia","Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500006&lang=pt" 
"S0066-782X2010000500008-scl","Distrofia muscular de Duchenne: análise eletrocardiográfica de 131 pacientes","Santos, Maria Auxiliadora Bonfim, Costa, Francisco de Assis, Travessa, Aline Ferreira, Bombig, Maria Teresa Nogueira, Fonseca, Francisco Helfenstein, Luna Filho, Bráulio, Mussi, Aurélia, Souza, Dilma de, Oliveira, Acary de, Povoa, Rui","Arquivos Brasileiros de Cardiologia; 94(5); 620-624","Arquivos Brasileiros de Cardiologia","Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500008&lang=pt" 
"S0066-782X2010000500016-scl","Seguimento de dois anos em pacientes com hipertensão arterial pulmonar sob tratamento com sildenafila","Franchi, Sonia Meiken, Barreto, Alessandra Costa, Cícero, Cristina, Castro, Claudia Regina Pinheiro, Ribeiro, Zilma Verçosa de Sá, Lopes, Antonio Augusto","Arquivos Brasileiros de Cardiologia; 94(5); 671-677","Arquivos Brasileiros de Cardiologia","Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500016&lang=pt" 
"S0066-782X2010000500002-scl","Polar S810 como recurso alternativo ao eletrocardiograma no teste de exercício de 4 segundos","Pimentel, Alan Santos, Alves, Eduardo da Silva, Alvim, Rafael de Oliveira, Nunes, Rogério Tasca, Costa, Carlos Magno Amaral, Lovisi, Júlio Cesar Moraes, Lima, Jorge Roberto Perrout de","Arquivos Brasileiros de Cardiologia; 94(5); 580-584","Arquivos Brasileiros de Cardiologia","Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500002&lang=pt" 
"S0066-782X2010000500013-scl","Controle inadequado da pressão arterial em pacientes com diabete melito tipo 2","Pinto, Lana C., Ricardo, Eliza D., Leitão, Cristiane B., Kramer, Caroline K., Zanatta, Claudete M., Gross, Jorge L., Canani, Luís H.","Arquivos Brasileiros de Cardiologia; 94(5); 651-655","Arquivos Brasileiros de Cardiologia","Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500013&lang=pt" 
"S0066-782X2010000500007-scl","Valor prognóstico do Escore de Risco GRACE versus Escore de Risco TIMI em síndromes coronarianas agudas","Correia, Luis C. L., Freitas, Rafael, Bittencourt, Ana P., Souza, Alexandre C., Almeida, Maria C., Leal, Jamile, Esteves, José Péricles","Arquivos Brasileiros de Cardiologia; 94(5); 613-619","Arquivos Brasileiros de Cardiologia","Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500007&lang=pt" 
"S0066-782X2010000500018-scl","Desbalanço redox: NADPH oxidase como um alvo terapêutico no manejo cardiovascular","Rabêlo, Luiza A., Souza, Valéria Nunes de, Fonseca, Lucas José Sá da, Sampaio, Walkyria O.","Arquivos Brasileiros de Cardiologia; 94(5); 684-693","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500018&lang=pt" 
"S0066-782X2010000500019-scl","Insuficiência cardíaca com fração de ejeção normal","Roscani, Meliza Goi, Matsubara, Luiz Shiguero, Matsubara, Beatriz Bojikian","Arquivos Brasileiros de Cardiologia; 94(5); 694-702","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500019&lang=pt" 
"S0066-782X2010000500012-scl","Relação entre a esfericidade, a função ventricular e o tamanho do infarto em ratos","Minicucci, Marcos F., Azevedo, Paula S., Matsubara, Beatriz B., Matsubara, Luiz S., Paiva, Sergio A. R., Zornoff, Leonardo A. M.","Arquivos Brasileiros de Cardiologia; 94(5); 645-650","Arquivos Brasileiros de Cardiologia","Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500012&lang=pt" 
"S0066-782X2010000500003-scl","Impacto da proteína-C reativa no risco cardiovascular de adolescentes","Silva, Isis Tande da, Sanches, Letícia Bertoldi, Mello, Ana Paula de Queiroz, Damasceno, Nágila Raquel Teixeira","Arquivos Brasileiros de Cardiologia; 94(5); 585-591","Arquivos Brasileiros de Cardiologia","Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500003&lang=pt" 
"S0066-782X2010000500011-scl","Hipertensão arterial e estilo de vida em Sinop, Município da Amazônia Legal","Martins, Maria Silvia Amicucci Soares, Ferreira, Márcia Gonçalves, Guimarães, Lenir Vaz, Vianna, Lucila Amaral Carneiro","Arquivos Brasileiros de Cardiologia; 94(5); 639-644","Arquivos Brasileiros de Cardiologia","Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500011&lang=pt" 
"S0066-782X2010000500010-scl","Índices de obesidade central e fatores de risco cardiovascular na síndrome dos ovários policísticos","Costa, Eduardo Caldas, Soares, Elvira Maria Mafaldo, Lemos, Telma Maria Araujo Moura, Maranhão, Técia Maria de Oliveira, Azevedo, George Dantas","Arquivos Brasileiros de Cardiologia; 94(5); 633-638","Arquivos Brasileiros de Cardiologia","Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500010&lang=pt" 
"S0066-782X2010000500014-scl","Pressão arterial obtida pelos métodos oscilométrico e auscultatório antes e após exercício em idosos","Scher, Luria Melo de Lima, Ferriolli, Eduardo, Moriguti, Julio C., Lima, Nereida K. C.","Arquivos Brasileiros de Cardiologia; 94(5); 656-662","Arquivos Brasileiros de Cardiologia","Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500014&lang=pt" 
"S0066-782X2010000500017-scl","Ausência de influência da massa corporal na redução da pressão arterial após exercício físico","Bündchen, Daiana Cristine, Panigas, Cristiano Facchini, Dipp, Thiago, Panigas, Tiago Facchini, Richter, Cleusa Maria, Belli, Karlyse Claudino, Viecili, Paulo Ricardo Nazário","Arquivos Brasileiros de Cardiologia; 94(5); 678-683","Arquivos Brasileiros de Cardiologia","Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500017&lang=pt" 
"S0066-782X2010000500005-scl","Atividade física, consumo de lipídios e fatores de risco para aterosclerose em adolescentes","Campos, Wagner de, Stabelini Neto, Antonio, Bozza, Rodrigo, Ulbrich, Anderson Zampier, Bertin, Renata Labronici, Mascarenhas, Luis Paulo Gomes, Silva, Sérgio Gregório da, Sasaki, Jeffer Eidi","Arquivos Brasileiros de Cardiologia; 94(5); 601-607","Arquivos Brasileiros de Cardiologia","Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500005&lang=pt" 
"S0066-782X2010000500001-scl","Confiabilidade e validade da escala de depressão geriátrica em idosos com doença arterial coronariana","Pinho, Míriam Ximenes, Custódio, Osvladir, Makdisse, Marcia, Carvalho, Antonio Carlos C.","Arquivos Brasileiros de Cardiologia; 94(5); 570-579","Arquivos Brasileiros de Cardiologia","Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500001&lang=pt" 
"S0066-782X2010000500015-scl","Controle da pressão arterial em pacientes sob tratamento anti-hipertensivo no Brasil: Controlar Brasil","Nobre, Fernando, Ribeiro, Artur Beltrame, Mion Jr, Décio","Arquivos Brasileiros de Cardiologia; 94(5); 663-670","Arquivos Brasileiros de Cardiologia","Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500015&lang=pt" 
"S0066-782X2010000500004-scl","Ecocardiografia-doppler e parâmetros hemodinâmicos em cardiopatias congênitas com hiperfluxo pulmonar","Ribeiro, Zilma Verçosa de Sá, Tsutsui, Jeane Mike, Miranda, Rogério dos Anjos, Mohry, Samira, Mathias, Wilson, Lopes, Antonio Augusto","Arquivos Brasileiros de Cardiologia; 94(5); 592-600","Arquivos Brasileiros de Cardiologia","Português, Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2010000500004&lang=pt" 
"S0100-204X2010000500001-scl","Histologia da embriogênese somática induzida em embriões de sementes maduras de Urochloa brizantha apomítica","Lenis-Manzano, Sandra Janeth, Araujo, Ana Claudia Guerra de, Valle, Cacilda Borges do, Santana, Eliana de Fátima, Carneiro, Vera Tavares de Campos","Pesquisa Agropecuária Brasileira; 45(5); 435-441","Pesquisa Agropecuária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2010000500001&lang=pt" 
"S0100-204X2010000500002-scl","Egg parasitoid wasps as natural enemies of the neotropical stink bug Dichelops melacanthus","Laumann, Raúl Alberto, Moraes, Maria Carolina Blassioli, Silva, Joseane Padilha da, Vieira, Afrânio Márcio Corrêa, Silveira, Samantha da, Borges, Miguel","Pesquisa Agropecuária Brasileira; 45(5); 442-449","Pesquisa Agropecuária Brasileira","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2010000500002&lang=pt" 
"S0100-204X2010000500003-scl","Atividade do sistema antioxidante e desenvolvimento de aerênquima em raízes de milho &#039;Saracura&#039;","Pereira, Fabricio José, Magalhães, Paulo César, Souza, Thiago Corrêa de, Castro, Evaristo Mauro de, Alves, José Donizeti","Pesquisa Agropecuária Brasileira; 45(5); 451-456","Pesquisa Agropecuária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2010000500003&lang=pt" 
"S0100-204X2010000500004-scl","Resposta fisiológica de clone de café Conilon sensível à deficiência hídrica enxertado em porta-enxerto tolerante","Silva, Vânia Aparecida, Antunes, Werner Camargos, Guimarães, Breno Lourenzzo Salgado, Paiva, Rita Márcia Cardoso, Silva, Vanisse de Fátima, Ferrão, Maria Amélia Gava, DaMatta, Fábio Murilo, Loureiro, Marcelo Ehlers","Pesquisa Agropecuária Brasileira; 45(5); 457-464","Pesquisa Agropecuária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2010000500004&lang=pt" 
"S0100-204X2010000500005-scl","Herança de caracteres associados à eficiência de utilização do fósforo em milho","Fritsche-Neto, Roberto, Miranda, Glauco Vieira, DeLima, Rodrigo Oliveira, Souza, Leandro Vagno de, Silva, Jaeveson da","Pesquisa Agropecuária Brasileira; 45(5); 465-471","Pesquisa Agropecuária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2010000500005&lang=pt" 
"S0100-204X2010000500006-scl","Mapeamento de QTL para conteúdos de proteína e óleo em soja","Rodrigues, Josiane Isabela da Silva, Miranda, Fábio Demolinari de, Ferreira, Adésio, Borges, Leandro Luiz, Ferreira, Marcia Flores da Silva, Good-God, Pedro Ivo Vieira, Piovesan, Newton Deniz, Barros, Everaldo Gonçalves de, Cruz, Cosme Damião, Moreira, Maurilio Alves","Pesquisa Agropecuária Brasileira; 45(5); 472-480","Pesquisa Agropecuária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2010000500006&lang=pt" 
"S0100-204X2010000500007-scl","Variabilidade genética em tambaquis (Teleostei: Characidae) de diferentes regiões do Brasil","Jacometo, Carolina Bespalhok, Barrero, Nelson Maurício Lopera, Rodriguez-Rodriguez, Maria Del Pilar, Gomes, Patrícia Cristina, Povh, Jayme Aparecido, Streit Junior, Danilo Pedro, Vargas, Lauro, Resende, Emiko Kawakami de, Ribeiro, Ricardo Pereira","Pesquisa Agropecuária Brasileira; 45(5); 481-487","Pesquisa Agropecuária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2010000500007&lang=pt" 
