"S0101-74382006000200005-scl","Um algoritmo evolutivo híbrido para a formação de células de manufatura em sistemas de produção","Trindade, Áthila Rocha, Ochi, Luiz Satoru","Pesquisa Operacional; 26(2); 255-294","Pesquisa Operacional","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000200005&lang=pt" 
"S0036-36342006000400010-mex","Uso de la variabilidad de la frecuencia cardiaca como marcador de los efectos cardiovasculares asociados con la contaminación del aire","Riojas-Rodríguez, Horacio, Holguin, Fernando, González-Hermosillo, Antonio, Romieu, Isabelle","Salud Pública de México; 48(4); 348-357","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000400010&lang=pt" 
"S0036-36342006000400008-mex","Aplicación de la perspectiva de género en artículos publicados en cuatro revistas nacionales de salud, México, 2000-2003","Cerón-Mireles, Prudencia, Sánchez-Carrillo, Constanza I., Robledo-Vera, Cecilia, Zolezzi, Aurora del Río, Pedrosa-Islas, Laura, Reyes-Zapata, Hilda, Cerón-Mireles, Berta, Ordaz-Hernández, Guadalupe, Olaiz-Fernández, Gustavo Adolfo","Salud Pública de México; 48(4); 332-340","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000400008&lang=pt" 
"S0036-36342006000400005-mex","Estrategias novedosas de prevención de embarazo e ITS/VIH/sida entre adolescentes escolarizados mexicanos","Torres, Pilar, Walker, Dilys M., Gutiérrez, Juan Pablo, Bertozzi, Stefano M.","Salud Pública de México; 48(4); 308-316","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000400005&lang=pt" 
"S0104-11692006000400019-scl","Professional socialization: students becoming nurses","Shinyashiki, Gilberto Tadeu, Mendes, Isabel Amélia Costa, Trevizan, Maria Auxiliadora, Day, René A","Revista Latino-Americana de Enfermagem; 14(4); 601-607","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400019&lang=pt" 
"S0036-36342006000400006-mex","Acceptability and perceived side effects of insecticide indoor residual spraying under different resistance management strategies","Rodríguez, Américo David, Penilla, Rosa Patricia, Rodríguez, Mario Henry, Hemingway, Janet, Trejo, Antonio, Hernández-Avila, Juan Eugenio","Salud Pública de México; 48(4); 317-324","Salud Pública de México","Inglês","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000400006&lang=pt" 
"S0036-36342006000400007-mex","Aceptabilidad de los suplementos alimenticios del programa Oportunidades","Zarco, Angel, Mora, Gerardo, Pelcastre, Blanca, Flores, Mario, Bronfman, Mario","Salud Pública de México; 48(4); 325-331","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000400007&lang=pt" 
"S0036-36342006000400011-mex","Salud infantil y medio ambiente en América del Norte: Un primer informe de indicadores y mediciones disponibles","Vargas, Alvaro R. Osornio, Buka, Irena","Salud Pública de México; 48(4); 358-359","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000400011&lang=pt" 
"S1413-24782006000200001-scl","Editorial","Fávero, Osmar","Revista Brasileira de Educação; 11(32); 209-210","Revista Brasileira de Educação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782006000200001&lang=pt" 
"S1413-24782006000200015-scl","Políticas de currículo em múltiplos contextos","Barreiros, Débora","Revista Brasileira de Educação; 11(32); 364-368","Revista Brasileira de Educação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782006000200015&lang=pt" 
"S1413-24782006000200012-scl","História intelectual e história da educação","Neves, Luiz Felipe Baêta","Revista Brasileira de Educação; 11(32); 340-345","Revista Brasileira de Educação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782006000200012&lang=pt" 
"S1413-24782006000200014-scl","Improving urban science education, new roles for teachers, students and researchers","Amorim, Antonio Carlos R.","Revista Brasileira de Educação; 11(32); 362-363","Revista Brasileira de Educação","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782006000200014&lang=pt" 
"S0104-11692006000400001-scl","A construção do conhecimento da enfermagem no paradigma reflexivo-compreensivo","Marziale, Maria Helena Palucci","Revista Latino-Americana de Enfermagem; 14(4); 469-469","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400001&lang=pt" 
"S0104-11692006000400021-scl","Pesquisa brasileira em enfermagem oncológica: uma revisão integrativa","Silveira, Camila Santejo, Zago, Márcia Maria Fontão","Revista Latino-Americana de Enfermagem; 14(4); 614-619","Revista Latino-Americana de Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692006000400021&lang=pt" 
"S0036-36342006000400009-mex","Tratamiento estadístico de la falta de respuesta en estudios epidemiológicos transversales","Carracedo-Martínez, Eduardo, Figueiras, Adolfo","Salud Pública de México; 48(4); 341-347","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000400009&lang=pt" 
"S0021-75572006000500002-scl","Quando tratar as crianças com HIV?","Oleske, James M.","Jornal de Pediatria; 82(4); 243-245","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000500002&lang=pt" 
"S0021-75572006000500001-scl","A infecção parasitária protege contra a alergia?","Sorensen, Ricardo U., Sakali, Pierre","Jornal de Pediatria; 82(4); 241-242","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000500001&lang=pt" 
"S0021-75572006000500003-scl","Que padrões usar para medir obesidade em crianças?","Tomkins, Andrew","Jornal de Pediatria; 82(4); 246-248","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000500003&lang=pt" 
"S0021-75572006000500005-scl","Nível sérico de IgE total em alergia respiratória: estudo em pacientes com alto risco de infecção por helmintos","Medeiros, Décio, Silva, Almerinda Rego, Rizzo, José Angelo, Motta, Maria Eugênia, Oliveira, Francisca Hosana Bezerra de, Sarinho, Emanuel Sávio Cavalcanti","Jornal de Pediatria; 82(4); 255-259","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000500005&lang=pt" 
"S0100-879X2006000800001-scl","Brazilian medical publications: citation patterns for Brazilian-edited and non-Brazilian literature","Cunha-Melo, J.R., Santos, G.C., Andrade, M.V.","Brazilian Journal of Medical and Biological Research; 39(8); 997-1002","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000800001&lang=pt" 
"S0100-879X2006000800013-scl","Gene expression profiling of clinical stages II and III breast cancer","Folgueira, M.A.A.K., Brentani, H., Katayama, M.L.H., Patrão, D.F.C., Carraro, D.M., Mourão Netto, M., Barbosa, E.M., Caldeira, J.R.F., Abreu, A.P.S., Lyra, E.C., Kaiano, J.H.L., Mota, L.D., Campos, A.H.J.F.M., Maciel, M.S., Dellamano, M., Caballero, O.L.S.D., Brentani, M.M.","Brazilian Journal of Medical and Biological Research; 39(8); 1101-1113","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000800013&lang=pt" 
"S0100-879X2006000800014-scl","Effect of the consumption of tomato paste on plasma prostate-specific antigen levels in patients with benign prostate hyperplasia","Edinger, M.S., Koff, W.J.","Brazilian Journal of Medical and Biological Research; 39(8); 1115-1119","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000800014&lang=pt" 
"S0100-879X2006000800016-scl","Striatal and extrastriatal atrophy in Huntington&#039;s disease and its relationship with length of the CAG repeat","Ruocco, H.H., Lopes-Cendes, I., Li, L.M., Santos-Silva, M., Cendes, F.","Brazilian Journal of Medical and Biological Research; 39(8); 1129-1136","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000800016&lang=pt" 
"S0100-879X2006000800004-scl","Elevated amniotic fluid amino acid levels in fetuses with gastroschisis","Kale, A., Kale, E., Akdeniz, N., Canoruc, N.","Brazilian Journal of Medical and Biological Research; 39(8); 1021-1025","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000800004&lang=pt" 
"S0100-879X2006000800005-scl","Primary and secondary esophageal contractions in patients with gastroesophageal reflux disease","Aben-Athar, C.G., Dantas, R.O.","Brazilian Journal of Medical and Biological Research; 39(8); 1027-1031","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000800005&lang=pt" 
"S0100-879X2006000800003-scl","Depressive symptoms and C-reactive protein in a Brazilian urban community","Dressler, W.W., Balieiro, M.C., Ribeiro, R.P., Dos-Santos, J.E.","Brazilian Journal of Medical and Biological Research; 39(8); 1013-1019","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000800003&lang=pt" 
"S0100-879X2006000800009-scl","Urinary NO3 excretion and renal failure in indinavir-treated patients","Eira, M., Araujo, M., Seguro, A.C.","Brazilian Journal of Medical and Biological Research; 39(8); 1065-1070","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000800009&lang=pt" 
"S0100-879X2006000800010-scl","An immunohistochemical, clinical and electroneuromyographic correlative study of the neural markers in the neuritic form of leprosy","Antunes, S.L.G., Chimelli, L.M., Rabello, E.T., Valentim, V.C., Corte-Real, S., Sarno, E.N., Jardim, M.R.","Brazilian Journal of Medical and Biological Research; 39(8); 1071-1081","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000800010&lang=pt" 
"S0100-879X2006000800015-scl","Prolactin and cortisol levels in women with endometriosis","Lima, A.P., Moura, M.D., Rosa e Silva, A.A.M.","Brazilian Journal of Medical and Biological Research; 39(8); 1121-1127","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000800015&lang=pt" 
"S0100-879X2006000800012-scl","The effect of performing corrections on reported uterine cancer mortality data in the city of São Paulo","Antunes, J.L.F., Wünsch-Filho, V.","Brazilian Journal of Medical and Biological Research; 39(8); 1091-1099","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000800012&lang=pt" 
"S0100-879X2006000800011-scl","Prevalence of serological markers of hepatitis B virus in pregnant women from Paraná State, Brazil","Bertolini, D.A., Pinho, J.R.R., Saraceni, C.P., Moreira, R.C., Granato, C.F.H., Carrilho, F.J.","Brazilian Journal of Medical and Biological Research; 39(8); 1083-1090","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000800011&lang=pt" 
"S0100-879X2006000800006-scl","Proliferative diabetic retinopathy is associated with microalbuminuria in patients with type 2 diabetes","Boelter, M.C., Gross, J.L., Canani, L.H., Costa, L.A., Lisboa, H.R., Três, G.S., Lavinsky, J., Azevedo, M.J.","Brazilian Journal of Medical and Biological Research; 39(8); 1033-1039","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000800006&lang=pt" 
"S0100-879X2006000800008-scl","Repercussions of a sleep medicine outreach program","Conway, S.G., Tufik, S., Frussa Filho, R., Bittencourt, L.R.A.","Brazilian Journal of Medical and Biological Research; 39(8); 1057-1063","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000800008&lang=pt" 
"S0100-879X2006000800007-scl","Health in early adulthood: the contribution of the 1978/79 Ribeirão Preto birth cohort","Barbieri, M.A., Bettiol, H., Silva, A.A.M., Cardoso, V.C., Simões, V.M.F., Gutierrez, M.R.P., Castro, J.A.S., Vianna, E.S.O., Foss, M.C., Dos Santos, J.E., Queiroz, R.G.P.","Brazilian Journal of Medical and Biological Research; 39(8); 1041-1055","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000800007&lang=pt" 
"S0100-879X2006000800017-scl","Obese obstructive sleep apnea patients with tonsil hypertrophy submitted to tonsillectomy","Martinho, F.L., Zonato, A.I., Bittencourt, L.R.A., Soares, M.C.M., Silva, R.F.N., Gregório, L.C., Tufik, S.","Brazilian Journal of Medical and Biological Research; 39(8); 1137-1142","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000800017&lang=pt" 
"S0100-879X2006000800002-scl","Novel mechanisms of growth hormone regulation: growth hormone-releasing peptides and ghrelin","Lengyel, A.-M.J.","Brazilian Journal of Medical and Biological Research; 39(8); 1003-1011","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000800002&lang=pt" 
"S0004-27302006000400002-scl","C&#039;est si bone","Kater, Claudio E.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 576-577","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400002&lang=pt" 
"S0004-27302006000400001-scl","Hormones, the endocrinologist and osteoporosis","Bandeira, Francisco, Borges, Joao Lindolfo C., Bilezikian, John P.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 575-575","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400001&lang=pt" 
"S0004-27302006000400022-scl","Low bone mass in children and adolescents","Borges, João Lindolfo C., Brandão, Cynthia M.A.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 775-782","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400022&lang=pt" 
"S0004-27302006000400003-scl","Bone quality: what is it and how is it measured?","Compston, Juliet","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 579-585","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400003&lang=pt" 
"S0004-27302006000400005-scl","Peripheral bone densitometry: clinical applications","Eis, Sergio Ragi, Lewiecki, E. Michael","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 596-602","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400005&lang=pt" 
"S0004-27302006000400010-scl","Asymptomatic primary hyperparathyroidism","Bilezikian, John P., Rubin, Mishaela, Silverberg, Shonni J.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 647-656","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400010&lang=pt" 
"S0004-27302006000400007-scl","Evolution of PTH assays","Vieira, José Gilberto H., Kunii, Ilda, Nishida, Sônia","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 621-627","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400007&lang=pt" 
"S0004-27302006000400009-scl","Vitamin D deficiency: a global perspective","Bandeira, Francisco, Griz, Luiz, Dreyer, Patricia, Eufrazino, Catia, Bandeira, Cristina, Freese, Eduardo","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 640-646","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400009&lang=pt" 
"S0004-27302006000400011-scl","From mild to severe primary hyperparathyroidism: the Brazilian experience","Bandeira, Francisco, Griz, Luiz, Caldas, Gustavo, Bandeira, Cristina, Freese, Eduardo","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 657-663","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400011&lang=pt" 
"S0004-27302006000400012-scl","Hypoparathyroidism and pseudohypoparathyroidism","Maeda, Sergio S., Fortes, Erika M., Oliveira, Ulisses M., Borba, Victoria C.Z., Lazaretti-Castro, Marise","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 664-673","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400012&lang=pt" 
"S0004-27302006000400014-scl","Calcium intake and disease prevention","Heaney, Robert P.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 685-693","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400014&lang=pt" 
"S0004-27302006000400017-scl","Selective estrogen receptor modulators (SERMS)","Diez-Perez, Adolfo","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 720-734","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400017&lang=pt" 
"S0004-27302006000400018-scl","Bisphosphonates","McClung, Michael","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 735-744","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400018&lang=pt" 
"S0004-27302006000400020-scl","Update on osteoporosis therapy","Borges, João Lindolfo C., Bilezikian, John P.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 755-763","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400020&lang=pt" 
"S0004-27302006000400021-scl","Osteoporosis in men","Binkley, Neil","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 764-774","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400021&lang=pt" 
"S0004-27302006000400023-scl","Transplantation osteoporosis","Kulak, Carolina A.M., Borba, Victoria Z.C., Kulak Júnior, Jaime, Shane, Elizabeth","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 783-792","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400023&lang=pt" 
"S0004-27302006000400004-scl","Bone density testing in clinical practice","Lewiecki, E. Michael, Borges, João Lindolfo C.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 586-595","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400004&lang=pt" 
"S0004-27302006000400006-scl","Clinical application of biochemical markers of bone turnover","Seibel, Markus J.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 603-620","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400006&lang=pt" 
"S0004-27302006000400008-scl","The calcium-sensing receptor and related diseases","D&#039;Souza-Li, Lília","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 628-639","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400008&lang=pt" 
"S0004-27302006000400013-scl","Office practice of osteoporosis evaluation","Lacativa, Paulo Gustavo S., Farias, Maria Lucia F. de","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 674-684","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400013&lang=pt" 
"S0004-27302006000400015-scl","Redefining osteoporosis treatment: who to treat and how long to treat","Lewiecki, E. Michael, Silverman, Stuart L.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 694-704","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400015&lang=pt" 
"S0004-27302006000400016-scl","Estrogen therapy for postmenopausal osteoporosis","Fitzpatrick, Lorraine A.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 705-719","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400016&lang=pt" 
"S0004-27302006000400019-scl","Anabolic skeletal therapy for osteoporosis","Girotra, Monica, Rubin, Mishaela R., Bilezikian, John P.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 745-754","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400019&lang=pt" 
"S0004-27302006000400024-scl","Glucocorticoid-induced osteoporosis","Gregório, Luiz Henrique de, Lacativa, Paulo G. Sampaio, Melazzi, Ana Cláudia C., Russo, Luis Augusto Tavares","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 793-801","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400024&lang=pt" 
"S0004-27302006000400025-scl","Hypophosphatemic rickets and osteomalacia","Menezes Filho, Hamilton de, Castro, Luiz Claudio G. de, Damiani, Durval","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 802-813","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400025&lang=pt" 
"S0004-27302006000400026-scl","Paget&#039;s disease of bone","Griz, Luiz, Caldas, Gustavo, Bandeira, Cristina, Assunção, Viviane, Bandeira, Francisco","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 814-822","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400026&lang=pt" 
"S0004-27302006000400027-scl","Renal stone disease: causes, evaluation and medical treatment","Heilberg, Ita Pfeferman, Schor, Nestor","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 50(4); 823-831","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302006000400027&lang=pt" 
"S0034-75072006000200001-cub","Análisis de la situación de salud bucal del Consultorio No. 27 del área Sur del municipio Güines","Rodríguez Aparicio, Aileneg, Rodríguez Calzadilla, Orlando L., Castillo Arango, Mabelys","Revista Cubana de Estomatología; 43(2); -","Revista Cubana de Estomatología","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072006000200001&lang=pt" 
"S0034-75072006000200002-cub","Fracturas orbitocigomáticas, valor de la clasificación de Knight y North en su terapéutica","García-Roco Pérez, Oscar N.","Revista Cubana de Estomatología; 43(2); -","Revista Cubana de Estomatología","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072006000200002&lang=pt" 
"S0034-75072006000200003-cub","Rinorrea traumática de líquido cefalorraquídeo: Nuestra experiencia en su diagnóstico y tratamiento","García-Roco Pérez, Oscar N.","Revista Cubana de Estomatología; 43(2); -","Revista Cubana de Estomatología","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072006000200003&lang=pt" 
"S0034-75072006000200004-cub","Evaluación periodontal de pacientes portadores de diabetes mellitus","Ribeiro Fontanini, Carlos Rogério, Ribeiro, Adair, Átilas Aleva, Natanael, Abreu Alves, Fábio","Revista Cubana de Estomatología; 43(2); -","Revista Cubana de Estomatología","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072006000200004&lang=pt" 
"S0034-75072006000200005-cub","Componente educativo-recreativo-asociativo en estrategias promotoras de salud bucal en preescolares","Álvarez Montero, Carmen Julia, Navas Perozo, Rita, Rojas de Morales, Thaís","Revista Cubana de Estomatología; 43(2); -","Revista Cubana de Estomatología","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072006000200005&lang=pt" 
"S0034-75072006000200007-cub","Prácticas sociales asociadas con el uso de la planta de tomatera en afecciones bucales en un grupo de adultos, 2004","Sarrazola Moncada, Ángela María, Martínez Herrera, Eliana, Alonso Agudelo Suárez, Andrés, Alzate Suárez, Marcela, Arango García, Leidy Catalina, Aristizábal Giraldo, Mónica, Patricia Morillo, Jheny","Revista Cubana de Estomatología; 43(2); -","Revista Cubana de Estomatología","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072006000200007&lang=pt" 
"S0034-75072006000200008-cub","Prótesis radífera: alternativa en el tratamiento de neoplasias de cabeza y cuello","Coelho Goiato, Marcelo, Miyashita, Márcia, Micheline dos Santos, Daniela, Ricardo Barão, Valentim Adelino","Revista Cubana de Estomatología; 43(2); -","Revista Cubana de Estomatología","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072006000200008&lang=pt" 
"S0034-75072006000200011-cub","Odontoma compuesto como causa de retención dentaria: Presentación de un caso","Quintana Díaz, Juan Carlos, Castillo Coto, Armando, Fernández Fregio, María Josefa","Revista Cubana de Estomatología; 43(2); -","Revista Cubana de Estomatología","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072006000200011&lang=pt" 
"S0034-75072006000200006-cub","Evaluación clínica de la efectividad de bórax en el tratamiento de la estomatitis aftosa","Bellón Leyva, Susana, Echarry Cano, Oneida","Revista Cubana de Estomatología; 43(2); -","Revista Cubana de Estomatología","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072006000200006&lang=pt" 
"S0034-75072006000200009-cub","Técnicas actuales utilizadas en el tratamiento de la caries dental","Duque de Estrada Riverón, Johany, Hidalgo-Gato Fuentes, Iliana, Pérez Quiñónez, José Alberto","Revista Cubana de Estomatología; 43(2); -","Revista Cubana de Estomatología","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072006000200009&lang=pt" 
"S0034-75072006000200010-cub","La ficha dental: Una necesidad actual","Miranda Tarragó, Josefa D","Revista Cubana de Estomatología; 43(2); -","Revista Cubana de Estomatología","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072006000200010&lang=pt" 
