"S0188-25032015000300007-mex","La política en los bordes del liberalismo: Diferencia, populismo, revolución, emancipación","Cabrera A., Raúl E.","Revista mexicana de sociología; 77(3); 502-505","Revista mexicana de sociología","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032015000300007&lang=pt" 
"S1578-84232015000300020-esp","Campeonas del Mundo de Baloncesto: factores determinantes para el rendimiento de excelencia","Galatti, Larissa R., Paes, Roberto R., Machado, Gisele V., Montero Seoane, Antonio","Cuadernos de Psicología del Deporte; 15(3); 187-192","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300020&lang=pt" 
"S1578-84232015000300004-esp","Development and preliminary psychometric characteristics of the PODIUM questionnaire for recreational marathon runners","Larumbe, E., Perez-Llantada, M.C., Lopez de la Llave, A., Buceta, J.M.","Cuadernos de Psicología del Deporte; 15(3); 41-52","Cuadernos de Psicología del Deporte","Inglês","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300004&lang=pt" 
"S1578-84232015000300018-esp","Efectos de la asistencia, densidad de la misma y la capacidad del pabellón en las victorias conseguidas en casa en función de la conferencia en la NBA","García Rubio, Javier, Cañadas Alonso, María, Antúnez Medina, Antonio","Cuadernos de Psicología del Deporte; 15(3); 175-180","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300018&lang=pt" 
"S1578-84232015000300015-esp","Influencia de enseñar minibasket desde las reglas en la disminución de las infracciones reglamentarias","Fernández-Ozcorta, E.J., Vizcaíno, C., Sáenz-López, P., Rebollo, J.A.","Cuadernos de Psicología del Deporte; 15(3); 157-162","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300015&lang=pt" 
"S1578-84232015000300013-esp","Portuguese version of the Physical Education State Anxiety Scale: psychometric properties and its association with gender, age and extracurricular physical activity","Lima, Flávia, Saavedra, Francisco, Fernandes, Helder Miguel, Lazuras, Lambros, Barkoukis, Vassilis","Cuadernos de Psicología del Deporte; 15(3); 135-144","Cuadernos de Psicología del Deporte","Inglês","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300013&lang=pt" 
"S1578-84232015000300003-esp","Como distinguir jovens atletas que tencionam continuar a praticar desporto dos que não tencionam continuar a fazê-lo?","Dias, Cláudia, Corte-Real, Nuno, Barreiros, André, Brustad, Robert, Fonseca, António Manuel","Cuadernos de Psicología del Deporte; 15(3); 27-40","Cuadernos de Psicología del Deporte","Português","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300003&lang=pt" 
"S1578-84232015000300005-esp","Estados de ánimo precompetitivos y resultados deportivos en jugadores de bolos cántabros","Díaz, J., Gutiérrez, J.N., Hoyos, J.A.","Cuadernos de Psicología del Deporte; 15(3); 53-64","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300005&lang=pt" 
"S1578-84232015000300011-esp","Validación española de la Escala de Evaluación de la Competencia Docente en Educación Física de secundaria","Baena-Extremera, Antonio, Granero-Gallegos, Antonio, Martínez-Molina, Marina","Cuadernos de Psicología del Deporte; 15(3); 113-122","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300011&lang=pt" 
"S1578-84232015000300016-esp","Efectos del entrenamiento en la habilidad para repetir sprints (RSA) en arbitros de baloncesto","Bayón, P., Vaquera, A., García-Tormo, J.V., Dehesa, R.","Cuadernos de Psicología del Deporte; 15(3); 163-168","Cuadernos de Psicología del Deporte","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1578-84232015000300016&lang=pt" 
"S0138-65572015000300009-cub","Quiste periapical con inflamación crónica agudizada","Gumila Jardines, Maylen, Peña Ménde, Aliana, Saldivar Carmenate, Leonides","Revista Cubana de Medicina Militar; 44(3); 353-358","Revista Cubana de Medicina Militar","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572015000300009&lang=pt" 
"S1983-21252015000300215-scl","COMPOSIÇÃO QUÍMICA E DIGESTIBILIDADE DA PORNUNÇA SOB DUAS FONTES DE ADUBAÇÃO ORGÂNICA E CORTES","ALENCAR, FRANCISCO HUGO HERMÓGENES DE, SILVA, DIVAN SOARES DA, ANDRADE, ALBERÍCIO PEREIRA DE, CARNEIRO, MARIA SOCORRO DE SOUZA, FEITOSA, JOSÉ VALMIR","Revista Caatinga; 28(3); 215-222","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300215&lang=pt" 
"S1983-21252015000300230-scl","MORPHOLOGICAL AND PRODUCTIVE CHARACTERIZATION OF FORAGE CACTUS VARIETIES","AMORIM, PHILIPE LIMA DE, MARTUSCELLO, JANAINA AZEVEDO, ARAÚJO FILHO, JOSÉ TEODORICO DE, CUNHA, DANIEL DE NORONHA FIGUEIREDO VIEIRA DA, JANK, LIANA","Revista Caatinga; 28(3); 230-238","Revista Caatinga","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300230&lang=pt" 
"S0138-65572015000300003-cub","Recubrimiento radicular","Castillo Castillo, Arturo, Doncel Pérez, Clara","Revista Cubana de Medicina Militar; 44(3); 359-368","Revista Cubana de Medicina Militar","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572015000300003&lang=pt" 
"S1983-21252015000300079-scl","EFICIÊNCIA AGRONÔMICA DO CONSÓRCIO ALFACE-RÚCULA FERTILIZADO COM FLOR-DE-SEDA","ALMEIDA, ANTONIO EWERTON DA SILVA, BEZERRA NETO, FRANCISCO, COSTA, LUCAS RAMOS, SILVA, MAIELE LEANDRO DA, LIMA, JAILMA SUERDA SILVA DE, BARROS JÚNIOR, AURÉLIO PAES","Revista Caatinga; 28(3); 79-85","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300079&lang=pt" 
"S0138-65572015000300004-cub","Aplicación del Sistema Aterométrico en fallecidos por muerte violenta con aterosclerosis coronaria","Hernández Puentes, Yaimara Zunen, Fernández-Britto Rodríguez, José Emilio","Revista Cubana de Medicina Militar; 44(3); 289-300","Revista Cubana de Medicina Militar","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572015000300004&lang=pt" 
"S0138-65572015000300008-cub","Medicina militar para lesionados con secuelas de los conflictos bélicos","González Valladares, Gustavo Jorge, Massón López, Ana del Carmen, González Massón, Adrián, Páez del Amo, Nelson","Revista Cubana de Medicina Militar; 44(3); 346-352","Revista Cubana de Medicina Militar","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572015000300008&lang=pt" 
"S0138-65572015000300006-cub","Instrumento para la evaluación del desempeño pedagógico de los tutores en especialidades médicas","Alpizar Caballero, Lourdes Bárbara, Añorga Morales, Julia, Borges Oquendo, Lourdes de la Caridad","Revista Cubana de Medicina Militar; 44(3); 314-333","Revista Cubana de Medicina Militar","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572015000300006&lang=pt" 
"S0138-65572015000300002-cub","Factores pronósticos de mortalidad por hemorragia intracerebral en el periodo agudo","Pérez García, Alexei Rafael, García Monter, Amel, Sosa Acosta, Elder Fernando, Padrón Valdés, Froilán","Revista Cubana de Medicina Militar; 44(3); 277-288","Revista Cubana de Medicina Militar","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572015000300002&lang=pt" 
"S0138-65572015000300001-cub","Síndrome metabólico y riesgo cardiovascular en trabajadoras(es) de una institución de salud","González Sotolongo, Odalys Carolina, Arpa Gámez, Ángel, Ferrandiz Batista, Eleane","Revista Cubana de Medicina Militar; 44(3); 263-276","Revista Cubana de Medicina Militar","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572015000300001&lang=pt" 
"S0138-65572015000300005-cub","Situación social del desarrollo de un grupo de jóvenes alcohólicos","Contreras Olive, Yanetsi, Domínguez García, Laura, Sánchez Arrastía, Dagmara","Revista Cubana de Medicina Militar; 44(3); 301-313","Revista Cubana de Medicina Militar","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572015000300005&lang=pt" 
"S1983-21252015000300223-scl","CARACTERÍSTICAS QUANTITATIVAS E QUALITATIVAS DE CAATINGA RALEADA SOB PASTEJO DE OVINOS, SERRA TALHADA (PE)","OLIVEIRA, OSNIEL FARIA DE, SANTOS, MÉRCIA VIRGINIA FERREIRA DOS, CUNHA, MÁRCIO VIEIRA DA, MELLO, ALEXANDRE CARNEIRO LEÃO DE, LIRA, MÁRIO DE ANDRADE, BARROS, GUSTAVO FERRAZ NOGUEIRA PINHEIRO DE","Revista Caatinga; 28(3); 223-229","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300223&lang=pt" 
"S1983-21252015000300166-scl","GERMINAÇÃO E MORFOLOGIA DE SEMENTES E PLÂNTULAS DE Albizia edwallii (Hoehne) Barneby &amp; J. W. Grimes","DUARTE, MANOELA MENDES, MILANI, JAÇANAN ELOÍSA DE FREITAS, BLUM, CHRISTOPHER THOMAS, NOGUEIRA, ANTONIO CARLOS","Revista Caatinga; 28(3); 166-173","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300166&lang=pt" 
"S0138-65572015000300007-cub","Efeitos do Trabalho em Turnos na Qualidade do Sono de Policiais: Uma Revisão Sistemática","Bernardo, Valdeni Manoel, Cascaes da Silva, Franciele, Gonçalves, Elizandra, Soleman Hernández, Salma Stéphany, Valdivia Arancibia, Beatriz Angélica, da Silva, Rudney","Revista Cubana de Medicina Militar; 44(3); 334-345","Revista Cubana de Medicina Militar","Português","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572015000300007&lang=pt" 
"S1983-21252015000300174-scl","CHARACTERIZATION MORPHOAGRONOMIC OF GUAVA FRUITS UNDER DIFFERENT WATER DEPTHS AND NITROGEN FERTLIZATION LEVELS","DANTAS NETO, JOSÉ, ALVES, AARON DE SOUSA, AZEVEDO, CARLOS ALBERTO VIEIRA DE, FERNANDES, PEDRO DANTAS, LIMA, VERA LÚCIA ANTUNES DE","Revista Caatinga; 28(3); 174-183","Revista Caatinga","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300174&lang=pt" 
"S1983-21252015000300061-scl","CONSERVAÇÃO DE INFLORESCÊNCIAS DE HELICÔNIAS PREVIAMENTE ADUBADAS COM DOSES CRESCENTES DE NITROGÊNIO E POTÁSSIO","AMARAL, GENILDA CANUTO, BECKMANN-CAVALCANTE, MÁRKILLA ZUNETE, BRITO, LEONARDO PEREIRA DA SILVA, LIMA, MARLUCE PEREIRA DAMASCENO, OSAJIMA, JOSY ANTEVELI","Revista Caatinga; 28(3); 61-67","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300061&lang=pt" 
"S1983-21252015000300248-scl","EFFECT OF SOLID STATE FERMENTATION ON NUTRITIONAL CONTENT AND EVALUATION OF DEGRADABILITY IN CACTUS PEAR","SANTOS, TAMIRES CARVALHO DO, DINIZ, GLEIZA ALVES, BRITO, AILA RIANY DE, PIRES, AURELIANO JOSÉ VIEIRA, FRANCO, MARCELO","Revista Caatinga; 28(3); 248-254","Revista Caatinga","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300248&lang=pt" 
"S1983-21252015000300255-scl","FONTES ALTERNATIVAS DE PÓLEN UTILIZADAS PELO BICUDO-DO-ALGODOEIRO EM DUAS REGIÕES PRODUTORAS DE ALGODÃO NA BAHIA","MACÊDO, JULIANA ALVES DE, CASTELLANI, MARIA APARECIDA, SANTOS, FRANCISCO DE ASSIS RIBEIRO DOS, OLIVEIRA, PAULINO PEREIRA, MALUF, RAQUEL PÉREZ","Revista Caatinga; 28(3); 255-262","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300255&lang=pt" 
"S1983-21252015000300108-scl","RELAÇÕES ENTRE CARACTERES DE PIMENTÃO PROVENIENTES DE SEMENTES COM DIFERENTES NÍVEIS DE QUALIDADE FISIOLÓGICA","BRUNES, RÉLIA RODRIGUES, LÚCIO, ALESSANDRO DAL&#039;COL, TOEBE, MARCOS, SCHWERTNER, DIOGO VANDERLEI, HAESBAERT, FERNANDO MACHADO","Revista Caatinga; 28(3); 108-118","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300108&lang=pt" 
"S1983-21252015000300047-scl","POPULAÇÃO MICROBIANA, DISPONIBILIDADE DE NUTRIENTES E CRESCIMENTO DE UMBUZEIRO EM SUBSTRATOS CONTENDO RESÍDUOS ORGÂNICOS","MEDEIROS, ERIKA VALENTE DE, NOTARO, KRYSTAL DE ALCANTARA, SOUZA, BRUNA MORAIS DE, SILVA, ALINE OLIVEIRA, DUDA, GUSTAVO PEREIRA, SILVA, MAIRON MOURA DA","Revista Caatinga; 28(3); 47-53","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300047&lang=pt" 
"S1983-21252015000300054-scl","MOBILIDADE DO HERBICIDA IMAZAQUIN EM DIFERENTES SOLOS","FLORIDO, FLAVIA, DIAS, ANA CAROLINA RIBEIRO, MONQUERO, PATRICIA ANDREA, TORNISIELO, VALDEMAR","Revista Caatinga; 28(3); 54-60","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300054&lang=pt" 
"S1983-21252015000300025-scl","INDICADORES DE QUALIDADE DO SOLO SOB DIFERENTES SISTEMAS DE USO NA MESORREGIÃO DO AGRESTE PARAIBANO","SILVA, GERÔNIMO FERREIRA DA, SANTOS, DJAIL, SILVA, ALEXANDRE PAIVA DA, SOUZA, JEORGE MEDEIROS DE","Revista Caatinga; 28(3); 25-35","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300025&lang=pt" 
"S1983-21252015000300001-scl","EFFECT OF Fusarium graminearum Schwabe ON PHYSIOLOGICAL QUALITY OF SOYBEAN SEEDS AND WHEAT CARYOPSIS IN ARGENTINA","PERUZZO, ALEJANDRA MARÍA, PIOLI, ROSANNA NORA, SALINAS, ADRIANA RITA","Revista Caatinga; 28(3); 1-11","Revista Caatinga","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300001&lang=pt" 
"S1983-21252015000300100-scl","CARACTERIZAÇÃO MORFOLÓGICA DE FONTES DE RESISTÊNCIA DE MELOEIRO A Pseudoperonospora cubensis","ALBUQUERQUE, LEIDIANE BEZERRA, ANTONIO, RAFAELA PRISCILA, NUNES, GLAUBER HENRIQUE DE SOUSA, MEDEIROS, RAVIER VALCÁCER DE, SILVA FILHO, ANTONIO JOSÉ RODRIGUES DA","Revista Caatinga; 28(3); 100-107","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300100&lang=pt" 
"S1983-21252015000300119-scl","DISTRIBUIÇÃO ESPACIAL DA QUALIDADE FISIOLÓGICA DE SEMENTES DE SOJA EM CAMPO DE PRODUÇÃO","GAZOLLA-NETO, ALEXANDRE, FERNANDES, MARCIABELA CORREA, GOMES, ALINE DUARTE, GADOTTI, GIZELE INGRID, VILLELA, FRANCISCO AMARAL","Revista Caatinga; 28(3); 119-127","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300119&lang=pt" 
"S1983-21252015000300157-scl","INTERACTIONS BETWEEN THE HERBACEOUS AND SHRUBBY-ARBOREAL COMPONENTS IN A SEMIARID REGION IN THE NORTHEAST OF BRAZIL: COMPETITION OR FACILITATION?","SILVA, KLEBER ANDRADE DA, SANTOS, JOSIENE MARIA FALCÃO FRAGA DOS, SANTOS, DANIELLE MELO DOS, ANDRADE, JULIANA RAMOS DE, FERRAZ, ELBA MARIA NOGUEIRA, ARAÚJO, ELCIDA DE LIMA","Revista Caatinga; 28(3); 157-165","Revista Caatinga","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300157&lang=pt" 
"S1983-21252015000300012-scl","ESTIMATIVAS DA NECESSIDADE DE NITROGÊNIO PARA PRODUÇÃO DE GRÃOS E SILAGEM DE MILHO","SILVA, MARCIELA RODRIGUES, MARTIN, THOMAS NEWTON, PAVINATO, PAULO SERGIO, BRUM, MARCOS DA SILVA","Revista Caatinga; 28(3); 12-24","Revista Caatinga","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252015000300012&lang=pt" 
"S2011-75822015000300001-col","Amenazas actuales al profesionalismo y al ejercicio ético de la cirugía","Torregrosa, Lilian","Revista Colombiana de Cirugía; 30(3); 167-169","Revista Colombiana de Cirugía","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822015000300001&lang=pt" 
"S0187-84332015000300005-mex","Postparo cardiaco en obstetricia crítica","Viruez Soto, José Antonio, Vallejo Narváez, Carla María, Briones Vega, Carlos, Briones Garduño, Jesús Carlos, Díaz de León Ponce, Manuel Antonio","Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva; 29(3); 152-156","Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-84332015000300005&lang=pt" 
"S0187-84332015000300001-mex","San Mateo, La Malinche y las publicaciones científicas mexicanas","Carrillo Esper, Raúl, Pérez Calatayud, Ángel Augusto, Carrillo Córdova, Luis Daniel, Carrillo Córdova, Dulce María, Carrillo Córdova, Carlos Alberto","Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva; 29(3); 128-132","Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-84332015000300001&lang=pt" 
"S0187-84332015000300002-mex","Cirugía de urgencia torácica versus no torácica: Resultados en una Unidad de Cuidados Intensivos Respiratorios","Álvarez-Maldonado, Pablo, Pérez-Rosales, Abel, Núñez-Pérez Redondo, Carlos, Navarro-Reynoso, Francisco, Cicero-Sabido, Raúl","Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva; 29(3); 133-137","Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-84332015000300002&lang=pt" 
"S0187-84332015000300003-mex","Variables asociadas a costos en cuidados intensivos","Rodríguez-Montoya, Ronald, Sandoval-Oliva, Vanessa, Cabrejo-Paredes, José, Chacón-Angulo, Niky, Chiquinta-Ramos, Greta, Rodríguez-Montoya, Manuel","Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva; 29(3); 138-144","Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-84332015000300003&lang=pt" 
"S0187-84332015000300007-mex","Hipertensión intraabdominal y síndrome compartimental abdominal","Domínguez Briones, Renato Alberto, Fuentes Farías, Mónica, Díaz Aguilar, Francisco Alonso, García Reyes, María Alejandra, Meza Orozco, Manuel Alejandro, Fuentes Farías, Rodrigo","Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva; 29(3); 167-178","Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-84332015000300007&lang=pt" 
"S0187-84332015000300004-mex","Delta de saturación venosa central de O2 como pronóstico de disfunción diastólica y fracaso del retiro del ventilador","Martínez Medina, Manuel, Cendejas Gutiérrez, Marlene, Brito Zurita, Olga Rosa","Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva; 29(3); 145-151","Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-84332015000300004&lang=pt" 
"S0187-84332015000300009-mex","Cor anémico","Carrillo Esper, Raúl, Meza Márquez, José Martín, Flores Rivera, Oscar Iván, Díaz Carrillo, Manuel Alejandro, Zepeda Mendoza, Adriana Denise","Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva; 29(3); 189-191","Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-84332015000300009&lang=pt" 
"S0187-84332015000300008-mex","Aféresis en el tratamiento de pancreatitis aguda hipertrigliceridémica: Reporte de caso y revisión de la literatura","Zaragoza, José J., Villa, Gianluca, Borbolla-Arizti, Juan Pablo, Salgado-Hernández, Turmalina, Cerón-Díaz, Ulises","Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva; 29(3); 179-188","Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-84332015000300008&lang=pt" 
"S0187-84332015000300006-mex","Ferritina y síndrome hiperferritinémico: Su impacto en el enfermo grave; conceptos actuales","Carrillo Esper, Raúl, Peña Pérez, Carlos, Zepeda Mendoza, Adriana Denise, Meza Márquez, José Martín, Neri Maldonado, Rosalinda, Meza Ayala, Cynthia Margarita, Carrillo Córdova, Dulce María, Carrillo Córdova, Carlos Alberto","Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva; 29(3); 157-166","Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-84332015000300006&lang=pt" 
"S1870-249X2015000300007-mex","","Lozano-Alvarez, Juan Antonio, Marañón-Ruiz, Virginia-Francisca, Jáuregui-Rincón, Juan, Medina-Ramírez, Iliana, Frausto-Reyes, Claudio, Salinas-Gutiérrez, Rogelio","Journal of the Mexican Chemical Society; 59(3); 215-228","Journal of the Mexican Chemical Society","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-249X2015000300007&lang=pt" 
"S1130-05582015000300006-esp","Schwannoma del nervio facial intraparotídeo: un dilema terapéutico","Barba-Recreo, Paula, Arias Gallo, Javier, Morán Soto, María José, Palacios Weiss, Edurne, Burgueño García, Miguel","Revista Española de Cirugía Oral y Maxilofacial; 37(3); 153-157","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582015000300006&lang=pt" 
"S1130-05582015000300011-esp","Schwannoma del nervio facial","Candau-Alvarez, Alberto, Dean-Ferrer, Alicia, Alamillos-Granados, Francisco Jesús, Heredero-Jung, Susana","Revista Española de Cirugía Oral y Maxilofacial; 37(3); 169-171","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582015000300011&lang=pt" 
"S1130-05582015000300002-esp","Intubación submental: experiencia con 30 casos","Lobo Leandro, Luiz Fernando, García Guevara, Henry Arturo, Marinho, Kelly, Sanchez Rivero, Carlos, Lagunes Lopez, Mario Alberto","Revista Española de Cirugía Oral y Maxilofacial; 37(3); 132-137","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582015000300002&lang=pt" 
"S1130-05582015000300007-esp","Fascitis nodular en la región frontal: a propósito de un caso excepcional y revisión de la literatura","Martínez Pérez, Fátima, Arribas García, Ignacio, Álvarez Flórez, Modesto, Serrano Álvarez-Buylla, Adriana, Méndez Medina, Rafael, Martínez Gimeno, Carlos","Revista Española de Cirugía Oral y Maxilofacial; 37(3); 158-162","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582015000300007&lang=pt" 
"S1130-05582015000300003-esp","Epidemiología de las fracturas mandibulares tratadas quirúrgicamente en el Instituto Traumatológico de Santiago (Chile): 10 años de revisión","Zapata, Sebastián, Pacheco, Cristóbal, Núñez, Cristian, Gazitúa, Gustavo, Cerda, Patricio","Revista Española de Cirugía Oral y Maxilofacial; 37(3); 138-143","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582015000300003&lang=pt" 
"S1130-05582015000300008-esp","Asistolia por compresión del seno carotídeo: una complicación potencialmente fatal de la parotiditis vírica","Novoa-Gómez, Alba, Peña-González, Ignacio, Villalaín-Álvarez, Lucas, Rosado-Rodríguez, Pablo, Vicente-Rodríguez, Juan Carlos","Revista Española de Cirugía Oral y Maxilofacial; 37(3); 163-165","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582015000300008&lang=pt" 
"S1130-05582015000300005-esp","Osteonecrosis de los maxilares asociada a denosumab en una paciente con osteoporosis: un caso clínico","Garcia Garcia, Blas, Dean Ferrer, Alicia, Diaz Jimenez, Nelida, Alamillos Granados, Francisco Jesús","Revista Española de Cirugía Oral y Maxilofacial; 37(3); 148-152","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582015000300005&lang=pt" 
"S1130-05582015000300001-esp","Avance maxilar en pacientes fisurados labio palatinos con distractor intraoral","Martínez Plaza, Adoración, Menéndez Núñez, Mario, Martínez Lara, Ildefonso, Fernández Solís, José, Gálvez Jiménez, Pablo, Monsalve Iglesias, Fernando","Revista Española de Cirugía Oral y Maxilofacial; 37(3); 123-131","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582015000300001&lang=pt" 
"S1130-05582015000300009-esp","¿Cuál es su diagnóstico?","Candau-Álvarez, Alberto, Dean-Ferrer, Alicia, Alamillos-Granados, Francisco Jesús, Heredero-Jung, Susana","Revista Española de Cirugía Oral y Maxilofacial; 37(3); 166-167","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582015000300009&lang=pt" 
"S1130-05582015000300012-esp","Abordaje preauricular transcigomático","Mogedas-Vegara, Alfonso, Mazarro-Campos, Alejandro, Masià-Gridilla, Jorge, Gutiérrez-Santamaría, Javier, Malet-Hernández, Daniel","Revista Española de Cirugía Oral y Maxilofacial; 37(3); 171-173","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582015000300012&lang=pt" 
"S1870-249X2015000300004-mex","","Hernández Hernández, Román A., Legorreta García, Felipe, Hernández Cruz, Leticia E., Bedolla Jacuinde, Arnoldo","Journal of the Mexican Chemical Society; 59(3); 198-201","Journal of the Mexican Chemical Society","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-249X2015000300004&lang=pt" 
