"S0102-86502015001100756-scl","Remifentanil protects uterus against ischemia-reperfusion injury in rats","Atalay, Yunus Oktay, Aktas, Serap, Sahin, Sadik, Kucukodaci, Zafer, Ozakpinar, Ozlem Bingol","Acta Cirurgica Brasileira; 30(11); 756-761","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015001100756&lang=pt" 
"S0718-83582015000300004-chl","Hábitat popular y mercado laboral: El desarrollo urbano desigual de la ciudad de El Alto (Bolivia)","Díaz, Mariela Paula","Revista INVI; 30(85); 111-146","Revista INVI","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-83582015000300004&lang=pt" 
"S0718-83582015000300003-chl","Ciudades satélites periurbanas en Santiago de Chile: paradojas entre la satisfacción residencial y precariedad económica del periurbanita de clase media","Cáceres Seguel, César","Revista INVI; 30(85); 83-110","Revista INVI","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-83582015000300003&lang=pt" 
"S0718-83582015000300005-chl","","Mejía-Escalante, Mónica","Revista INVI; 30(85); 147-180","Revista INVI","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-83582015000300005&lang=pt" 
"S0718-83582015000300009-chl","Diseño urbano inclusivo para Santiago Centro. Concurso internacional 1972. Santiago de Chile María Isabel Pavez Reyes, Editora","Tapia Zarricueta, Ricardo","Revista INVI; 30(85); 243-244","Revista INVI","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-83582015000300009&lang=pt" 
"S0718-83582015000300001-chl","Los intelectuales y el poder en la producción del hábitat residencial de interés social","Silva Arriola, Lisandro","Revista INVI; 30(85); 9-22","Revista INVI","Inglês, Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-83582015000300001&lang=pt" 
"S1021-447X2015000400006-sza","Technical and economic evaluation of energy production from wind in Istanbul and surrounds","Vardar, Ali, Taşkin, Onur","Journal of Energy in Southern Africa; 26(4); 64-69","Journal of Energy in Southern Africa","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-447X2015000400006&lang=pt" 
"S1021-447X2015000400003-sza","Batteryless PV desalination system for rural areas: A case study","Almaktoof, Ali M, Raji, Atanda K, Kahn, Mohammed T E, Ekhlat, Mohamed Ali","Journal of Energy in Southern Africa; 26(4); 29-37","Journal of Energy in Southern Africa","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-447X2015000400003&lang=pt" 
"S1130-52742015000300006-esp","Técnicas para el análisis de diseños de caso único en la práctica clínica: ejemplos de aplicación en el tratamiento de víctimas de atentados terroristas","Sanz, Jesús, García-Vera, María Paz","Clínica y Salud; 26(3); 167-180","Clínica y Salud","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742015000300006&lang=pt" 
"S1130-52742015000300004-esp","Conviviendo con la incertidumbre: intervención psicológica en una mujer con un problema de adaptación en lista de espera para trasplante de pulmón","Magán-Uceda, Inés, Cuellar-Roche, Borja, López-Sánchez, Vanessa, Segade-Álvarez, María José, Dávila-Madrigal, Fátima, García-Acero, Carlina, Rubio-Muñoz, Juan José","Clínica y Salud; 26(3); 151-158","Clínica y Salud","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742015000300004&lang=pt" 
"S1130-52742015000300003-esp","Relevant factors in treatment adherence: a case study","Pascual-Verdú, Ricardo de, Rocha-Díaz, Miriam, Almazán-Antón, Gala","Clínica y Salud; 26(3); 141-150","Clínica y Salud","Inglês","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742015000300003&lang=pt" 
"S1983-21172015000400009-scl","EDITORIAL","","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 17(spe); 9-11","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172015000400009&lang=pt" 
"S1130-52742015000300005-esp","Cognición y creencias metacognitivas en el trastorno de ansiedad generalizada a la luz de un caso clínico","Carro-de-Francisco, Cristina, Sanz-Blasco, Rubén","Clínica y Salud; 26(3); 159-166","Clínica y Salud","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742015000300005&lang=pt" 
"S0102-311X2015001100246-spa","The place where you live and self-rated health in a large urban area","Rodrigues, Daiana Elias, César, Cibele Comini, Xavier, César Coelho, Caiaffa, Waleska Teixeira, Proietti, Fernando Augusto","Cadernos de Saúde Pública; 31(); 246-256","Cadernos de Saúde Pública","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001100246&lang=pt" 
"S0102-86502015001100770-scl","A comparative study of the areas of osteochondral defects produced in femoral condyles of rabbits treated with sugar cane biopolymer gel","Albuquerque, Paulo Cezar Vidal Carneiro de, Aguiar, José Lamartine de Andrade, Pontes Filho, Nicodemos Teles de, Mello, Roberto José Vieira de, Olbertz, Clarissa Miranda Carneiro de Albuquerque, Albuquerque, Paula Eduarda Miranda Carneiro de, Paz, Silvânia Tavares, Santos, Alessandro Henrique da Silva, Maia, Carina Scanoni","Acta Cirurgica Brasileira; 30(11); 770-777","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015001100770&lang=pt" 
"S1130-52742015000300001-esp","Preocupaciones excesivas en la adolescencia: descripción, evaluación y tratamiento de un caso de ansiedad generalizada","Basile, Simona, Carrasco, Miguel Ángel, Martorell, José Luis","Clínica y Salud; 26(3); 121-129","Clínica y Salud","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742015000300001&lang=pt" 
"S1983-21172015000400161-scl","ARGUMENTAÇÃO E A CONSTRUÇÃO DE OPORTUNIDADES DE APRENDIZAGEM EM AULAS DE CIÊNCIAS","Munford, Danusa, Teles, Ana Paula Souto Silva","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 17(spe); 161-185","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172015000400161&lang=pt" 
"S0018-229X2015000200002-sza","Military training and camps of the Pan Africanist Congress of South Africa, 1961-1981","Houston, Gregory, ka Plaatjie, Thami, April, Thozama","Historia; 60(2); 24-50","Historia","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2015000200002&lang=pt" 
"S0034-98872015001100004-chl","Estrategias del aprendizaje inicial de la clínica: más allá de los hábitos de estudio. Percepciones de estudiantes y docentes clínicos","Zúñiga, Denisse, Leiva, Isabel, Calderón, Maribel, Tomicic, Alemka, Padilla, Oslando, Riquelme, Arnoldo, Bitran, Marcela","Revista médica de Chile; 143(11); 1395-1404","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001100004&lang=pt" 
"S0034-98872015001100003-chl","Valores espirométricos en niños y adolescentes chilenos sanos","Caussade, Solange, Contreras, Ilse, Villarroel, Luis, Fierro, Laura, Sánchez, Ignacio, Bertrand, Pablo, Holmgren, Nils L","Revista médica de Chile; 143(11); 1386-1394","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001100003&lang=pt" 
"S0034-98872015001100015-chl","Leucoencefalopatía tóxica fatal: tres casos asociados al consumo de pasta base de cocaína","Cartier R, Luis, González L, Daniela, Harán D, Jorge","Revista médica de Chile; 143(11); 1484-1489","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001100015&lang=pt" 
"S0034-98872015001100008-chl","Seguimiento clínico en pacientes con buena capacidad metabólica en la prueba de esfuerzo con SPECT miocárdico","González, Javiera, Prat, Hernán, Swett, Eduardo, Berrocal, Isabel, Fernández, René, Zhindon, Juan Pablo, Castro, Ariel, Massardo, Teresa","Revista médica de Chile; 143(11); 1426-1434","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001100008&lang=pt" 
"S0034-98872015001100001-chl","Efecto de las variantes de VKORC1 y CYP2C9 sobre la dosis de anticoagulantes orales en individuos chilenos","Benavides, Felipe, Grossman, Nicole, Poggi, Helena, Nieto, Elena, Bertrán, Antonio, Araos, Daniel, Vásquez, Marcos, Ibarra, Ignaz, Cáceres, Felipe, Espinoza, Karena, Lagos, Marcela, Repetto M, Gabriela","Revista médica de Chile; 143(11); 1369-1376","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001100001&lang=pt" 
"S0034-98872015001100011-chl","Fotoféresis en el tratamiento de Síndrome de Sézary: Caso clínico","Molgó, Montserrat, Jaque, Alejandra, Vial, Verónica, Ocqueteau, Mauricio, Pereira, Jaime, Chang, Mayling, González, Sergio","Revista médica de Chile; 143(11); 1449-1458","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001100011&lang=pt" 
"S0034-98872015001100013-chl","¿Es suficiente el recurso humano nutricionista en el sistema hospitalario público en Chile?: Una deuda pendiente","Crovetto M, Mirta","Revista médica de Chile; 143(11); 1468-1477","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001100013&lang=pt" 
"S0034-98872015001100002-chl","Análisis de frecuencias alélicas y genotípicas de las variantes CYP2A6*12 y rs16969968 de CHRNA5 y su asociación con el hábito de fumar y el índice de masa corporal (IMC) en sujetos jóvenes del noreste de México","Borrego-Soto, Gissela, Costilla-Esquivel, Antonio, Padilla-Rivas, Gerardo Raymundo, Cázares-Samaniego, Paulina Janeth, Posadas-Valay, Rodolfo, Velasco-Castañón, José Gerardo, Mercado-Longoria, Roberto, Ortiz-López, Rocío, Rojas-Martínez, Augusto","Revista médica de Chile; 143(11); 1377-1385","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001100002&lang=pt" 
"S0034-98872015001100006-chl","Factores sociodemográficos y motivacionales asociados a la actividad física en estudiantes universitarios","García Puello, Floralinda, Herazo Beltrán, Yaneth, Tuesca Molina, Rafael","Revista médica de Chile; 143(11); 1411-1418","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001100006&lang=pt" 
"S0034-98872015001100009-chl","Un mayor nivel de actividad física se asocia a una menor prevalencia de factores de riesgo cardiovascular en Chile: resultados de la Encuesta Nacional de Salud 2009-2010","Celis-Morales, Carlos, Salas, Carlos, Álvarez, Cristian, Aguilar Farías, Nicolás, Ramírez Campillos, Rodrigo, Leppe, Jaime, Cristi-Montero, Carlos, Díaz Martínez, Ximena, Duran, Eliana, Labraña, Ana María, Martínez, María Adela, Leiva, Ana María, Willis, Naomi","Revista médica de Chile; 143(11); 1435-1443","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001100009&lang=pt" 
"S0034-98872015001100012-chl","Propiedades psicométricas de un cuestionario para evaluar expectativas académicas en estudiantes de primer año de Medicina","Pérez V, Cristhian, Ortiz M, Liliana, Fasce H, Eduardo, Parra P, Paula, Matus B, Olga, McColl C, Peter, Torres A, Graciela, Meyer K, Andrea, Márquez U, Carolina, Ortega B, Javiera","Revista médica de Chile; 143(11); 1459-1467","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001100012&lang=pt" 
"S0034-98872015001100018-chl","Una nueva herramienta en imágenes por resonancia magnética para el diagnóstico en la enfermedad de Parkinson: visualización del Nigrosoma 1","Miranda C, Marcelo, Cordovez M, Jorge, Galvez M, Marcelo","Revista médica de Chile; 143(11); 1496-1497","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001100018&lang=pt" 
"S0018-229X2015000200011-sza","Book Reviews","","Historia; 60(2); 212-241","Historia","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2015000200011&lang=pt" 
"S0018-229X2015000200010-sza","Namibia&#039;s liberation struggle and resistance: A critical view of some recent perspectives","Saunders, Christopher","Historia; 60(2); 201-211","Historia","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2015000200010&lang=pt" 
"S0018-229X2015000200009-sza","Eoan - Our Story: Treading new methodological paths in music historiography","Roos, Hilde","Historia; 60(2); 185-200","Historia","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2015000200009&lang=pt" 
"S0034-98872015001100017-chl","Perspectiva de género y vulnerabilidad en salud: ¿cuándo empezamos a incluir a los hombres?","Bernales, Margarita","Revista médica de Chile; 143(11); 1494-1495","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001100017&lang=pt" 
"S0018-229X2015000200003-sza","Nuclear terrorism in Africa: The ANC&#039;s Operation Mac and the attack on the Koeberg Nuclear Power Station in South Africa","van Wyk, Jo-Ansie","Historia; 60(2); 51-67","Historia","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2015000200003&lang=pt" 
"S0018-229X2015000200005-sza","The Helpmekaar: Rescuing the &quot;volk&quot; through reading, writing and arithmetic, c. 1916-c. 1965","Ehlers, Anton","Historia; 60(2); 87-108","Historia","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2015000200005&lang=pt" 
"S0018-229X2015000200008-sza","Profits, harvests or public revenue? Divergent interests and guano fertiliser struggles in the Cape Colony; c. 1872-1910","Snyders, Hendrik","Historia; 60(2); 160-184","Historia","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2015000200008&lang=pt" 
"S0018-229X2015000200007-sza","Reconfiguring domesticity? White women and the Second World War in Southern Rhodesia","Kufakurinani, Ushehwedu, Nyambara, Pius","Historia; 60(2); 132-159","Historia","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2015000200007&lang=pt" 
"S0018-229X2015000200001-sza","The Freedom Charter @ 60: Rethinking its democratic qualities","Suttner, Raymond","Historia; 60(2); 1-23","Historia","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2015000200001&lang=pt" 
"S0018-229X2015000200006-sza","&quot;One of the most serious problems confronting us at present&quot;: Nurses and government hospitals in Southern Rhodesia, 1930s to 1950","Masakure, Clement","Historia; 60(2); 109-131","Historia","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2015000200006&lang=pt" 
"S0034-98872015001100005-chl","Criterios de médicos tratantes para indicar instalación de gastrostomía en pacientes con demencia avanzada","Portales V, María Bernardita","Revista médica de Chile; 143(11); 1405-1410","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001100005&lang=pt" 
"S0034-98872015001100016-chl","Déficit adquirido de factor X en leucemia mielomonocítica crónica: reporte de un caso","Zelada, Javier, Cantó, Gabriela, Berkovits, Alejandro, Diocares, Gonzalo, López, Adriana","Revista médica de Chile; 143(11); 1490-1493","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001100016&lang=pt" 
"S0034-98872015001100014-chl","Consideraciones acerca de la “interrupción voluntaria del embarazo”, desde el punto de vista ético-médico (a propósito de un proyecto de ley)","Echeverría B, Carlos, Serani M, Alejandro, Arriagada U, Ana María, Goic G, Alejandro, Herrera C, Carolina, Quintana V, Carlos, Rojas O, Alberto, Ruiz-Esquide, Gonzalo, Salinas R, Rodrigo, Taboada R, Paulina, Vacarezza Y, Ricardo","Revista médica de Chile; 143(11); 1478-1483","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001100014&lang=pt" 
"S0034-98872015001100007-chl","Un sistema de asignación de órganos para trasplante que no considere las edades de donante y receptor es inicuo","González, Fernando, Rocca, Ximena","Revista médica de Chile; 143(11); 1419-1425","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001100007&lang=pt" 
"S0034-98872015001100010-chl","Ébola: caracterización, historia y manifestaciones cutáneas; lo que debemos saber","Kolbach, Marianne, Carrasco-Zuber, Juan Eduardo, Vial-Letelier, Verónica","Revista médica de Chile; 143(11); 1444-1448","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001100010&lang=pt" 
"S0018-229X2015000200004-sza","&quot;Had it too easy?&quot; Frederik van Zyl Slabbert&#039;s resignation as leader of the official parliamentary opposition, 7 February 1986","Mouton, F.A.","Historia; 60(2); 68-86","Historia","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0018-229X2015000200004&lang=pt" 
"S0872-19042015000600004-prt","High Sensitive and Selective Hydrogen Phosphate ISFET Based on Polyvinyl Chloride Membrane","Hidouri, S., Baccar, Z. M., Errachid, A., Ruiz-Sanchez, O.","Portugaliae Electrochimica Acta; 33(6); 343-351","Portugaliae Electrochimica Acta","Inglês","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042015000600004&lang=pt" 
"S0872-19042015000600002-prt","Synthesis Characterization and Anticancer Activity of Co(II)-Flutamide Complex","Singh, Birjesh, Mishra, Jyotsna, Pradhan, Alka","Portugaliae Electrochimica Acta; 33(6); 323-330","Portugaliae Electrochimica Acta","Inglês","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042015000600002&lang=pt" 
"S0872-19042015000600001-prt","Um Quimico sui generis","Simão, João Evangelista","Portugaliae Electrochimica Acta; 33(6); 317-322","Portugaliae Electrochimica Acta","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042015000600001&lang=pt" 
"S1659-42232015000200198-cri","David G. Hackett. That Religion in Which All Men Agree. Freemasonry in American Culture.Berkeley-Los Angeles-London: University of California Press, 2014. 336 pages. ISBN: 978-05-202816-7-7","Solano, Esteban Sánchez","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña; 7(1); 198-202","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42232015000200198&lang=pt" 
"S1659-42232015000200087-cri","Las Injusticias sociales en la prensa masónica de fines del siglo XIX: El Boletín de Procedimientos del Gran Oriente Ibérico","Enríquez delÁrbo, Eduardo","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña; 7(1); 87-103","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42232015000200087&lang=pt" 
"S1659-42232015000200001-cri","&quot;La más formidable secta&quot;: la Primera Guerra Mundial como parte de la conspiración Judeo-Masónica (o de los excesos de la interpretación histórica)","Aragón, Rogelio","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña; 7(1); 1-16","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42232015000200001&lang=pt" 
"S1659-42232015000200120-cri","El estudio académico de lo esotérico","Pacheco, José Ricardo Chaves","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña; 7(1); 120-127","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42232015000200120&lang=pt" 
"S1659-42232015000200158-cri","Tongmenghui同盟会yZhigongtang致公党. El proyecto de República de Sun Yatsen y los chinos de ultramar (1894-1911)","Jesús, Tonatiuh Fierro de","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña; 7(1); 158-177","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42232015000200158&lang=pt" 
"S1659-42232015000200037-cri","As contencoes da liberdade. A Maconaria e a Internunciatura Apostólica no Brasil do século XIX","Santos, Joao Marcos Leitào, Soffiatti, Elza Silva Cardoso","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña; 7(1); 37-64","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña","Português","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42232015000200037&lang=pt" 
"S1659-42232015000200211-cri","Ricardo Serna. La corona dorada. Poesía de iniciados.Oviedo: Masónica.es (Ediciones del Arte Real), 2014. 263 págs. ISBN: 978-84 942354-3-6","Guzmán-Stein, Miguel","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña; 7(1); 211-212","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42232015000200211&lang=pt" 
"S1659-42232015000200195-cri","Significación Sociocultural de la Masonería en la ciudad de Guantánamo. 1900-1958","Esquivel, Ricardo Martínez, Andrés, Yván Pozuelo","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña; 7(1); 195-197","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42232015000200195&lang=pt" 
"S1659-42232015000200104-cri","La emigración y el exilio en la vida de Saturnino Tejera García, entre la Fraternidad y el Periodismo","Rodríguez, Victoria María Sueiro","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña; 7(1); 104-119","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42232015000200104&lang=pt" 
"S1659-42232015000200128-cri","Kabbalah, Symbolism and Metaphysics in Russian Freemasonry of the XVIIIth - XIXthcenturies","Khalturin, Yuriy","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña; 7(1); 128-140","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42232015000200128&lang=pt" 
"S1659-42232015000200178-cri","Aproximación a la masonería española en Estados Unidos","Escobés, Susana Cuartero","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña; 7(1); 178-194","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42232015000200178&lang=pt" 
"S1659-42232015000200213-cri","Los masones andaluces de la República, la Guerra y el Exilio. Diccionario bibliográfico.Coordinado por Leandro Álvarez Rey y Fernando Martínez López. Sevilla: Universidad de Sevilla -Secretariado de Publicaciones, 2014. Volúmenes I y II. 1212 páginas. ISBN: 978-05-202816-7-7","Andrés, Yván Pozuelo","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña; 7(1); 213-216","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42232015000200213&lang=pt" 
"S1659-42232015000200203-cri","Lilith Mahmud. The Brotherhood of Freemason Sisters: Gender, Secrecy, and Fraternity in Italian Masonic Lodges.Chicago: University of Chicago Press, 2014. 256 pages. ISBN: ISBN: 978-0-226-09586-8","Heredia, Guillermo de los Reyes","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña; 7(1); 203-207","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña","Inglês, Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42232015000200203&lang=pt" 
"S1659-42232015000200208-cri","Gibraltar, Cádiz, América y la masonería. Constitucionalismo y libertad de prensa, 1812-2012.Coordinado por José Miguel Delgado Idarreta y Antonio Morales Benítez. Gobierno de Gibraltar - Centro de Estudios Históricos de la Masonería Española, Universidad de Zaragoza, 2014. Tomos I y II. 1291 págs. ISBN: 978-84-930391-6-5","Ruiz, Juan José Morales","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña; 7(1); 208-210","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42232015000200208&lang=pt" 
"S1659-42232015000200017-cri","L&#039;Eldorado de la libre-pensée ? L&#039;Amérique latine comme objectif stratégique de la Fédération Internationale de la Libre Pensée (1880-1914)","Mollès, Dévrig","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña; 7(1); 17-36","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña","Francês","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42232015000200017&lang=pt" 
"S1659-42232015000200065-cri","José Leonard y Enrique Guzmán: Controversias por el librepensamiento y el establecimiento de la logia masónica &quot;Progreso n° 41&quot; en Granada, Nicaragua (1881-1883)","Valle, Roberto Valdés","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña; 7(1); 65-86","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42232015000200065&lang=pt" 
"S1659-42232015000200141-cri","&quot;Chinos masones&quot;. La logiaChee Kung Tong致公堂en México","Chong, José Luis","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña; 7(1); 141-157","Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-42232015000200141&lang=pt" 
"S0872-19042015000600005-prt","Corrosion Inhibition: Synergistic Influence of Gluconates on Mild Steel in Different Corrosive Environments. Synergetic Interactions of Corrosion Inhibition Tendency of Two Different Gluconates on Mild Steel in Different Corrosive Environments","Popoola, A. P. I., Sanni, O., Loto, C. A., Popoola, O. M.","Portugaliae Electrochimica Acta; 33(6); 353-370","Portugaliae Electrochimica Acta","Inglês","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042015000600005&lang=pt" 
"S0872-19042015000600003-prt","Evaluation of the Performance of Pt-MWCNTs Nanocomposites Electrodeposited on Titanium for Methanol Electro-oxidation","Momeni, M. M.","Portugaliae Electrochimica Acta; 33(6); 331-341","Portugaliae Electrochimica Acta","Inglês","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042015000600003&lang=pt" 
"S0102-311X2015001302449-spa","Desigualdades na autoavaliação de saúde: uma análise para populações do Brasil e de Portugal","Carvalho, Alice Teles de, Malta, Deborah Carvalho, Barros, Marilisa Berti de Azevedo, Oliveira, Pedro Nuno Ferreira Pinto de, Mendonça, Denisa Maria de Melo Vasques, Barros, Henrique","Cadernos de Saúde Pública; 31(11); 2449-2461","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302449&lang=pt" 
"S0102-311X2015001302342-spa","Lay perceptions of health and environmental inequalities and their associations to mental health","Lima, Maria Luisa, Morais, Rita","Cadernos de Saúde Pública; 31(11); 2342-2352","Cadernos de Saúde Pública","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015001302342&lang=pt" 
