"S1984-02922012000100013-scl","Como Perseu se defendeu de Medusa?","Freitas, Rose Lumertz de, Viola, Carolina Gubert","Fractal : Revista de Psicologia; 24(1); 193-202","Fractal : Revista de Psicologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-02922012000100013&lang=pt" 
"S0365-05962012000200025-scl","Case for diagnosis","Silva, Sabrina Bortoletto Gomes da, Miot, Hélio Amante","Anais Brasileiros de Dermatologia; 87(2); 319-321","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200025&lang=pt" 
"S0365-05962012000200020-scl","Sarcoidosis simulating syringomas","Rocha, Diego Santos, Bringel, Daniela Martins, Balassiano, Eli, Presotto, Carolina, Bomm, Lislaine, Alves, Maria de Fátima Guimarães Scotelaro","Anais Brasileiros de Dermatologia; 87(2); 309-312","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200020&lang=pt" 
"S0365-05962012000200019-scl","Neural relapse in multibacillary leprosy 6 years after end of treatment","Teixeira, Leandra Oliveira, Silva, Carlos Maximiliano Gaspar Carvalho Heil, Akamatsu, Hélcio Takeshi, Barreto, Jaison Antônio, Soares, Cleverson Teixeira","Anais Brasileiros de Dermatologia; 87(2); 305-308","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200019&lang=pt" 
"S0365-05962012000200017-scl","Lucio&#039;s phenomenon: another case reported in Brazil","Monteiro, Rodrigo, Tiezzi, Marcelo Guimarães, Abreu, Marilda Aparecida Milanez Morgado de, Oliveira, Claudia Cardoso Macedo de, Roncada, Eduardo Vinícios Mendes, Ortigosa, Luciena Cegatto Martins","Anais Brasileiros de Dermatologia; 87(2); 296-300","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200017&lang=pt" 
"S0365-05962012000200016-scl","Concurrent primary and secondary myiasis on basal cell carcinoma","Raposo, Adriana Andrade, Schettini, Antônio Pedro Mendes, Massone, Cesare","Anais Brasileiros de Dermatologia; 87(2); 292-295","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200016&lang=pt" 
"S0365-05962012000200015-scl","Association of giant congenital melanocytic nevus, halo nevus and vitiligo in a 75-year-old patient","Silveira, Marina Leite da, Ferreira, Flávia Regina, Alvarenga, Marcia Lanzoni, Mandelbaum, Samuel Henrique","Anais Brasileiros de Dermatologia; 87(2); 288-291","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200015&lang=pt" 
"S0365-05962012000200010-scl","NAPSI utilization as an evaluation method of nail psoriasis in patients using acitretin","Mukai, Maira Mitsue, Poffo, Isabela Fleischfresser, Werner, Betina, Brenner, Fabiane Mulinari, Lima Filho, José Hermênio Cavalcante","Anais Brasileiros de Dermatologia; 87(2); 256-262","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200010&lang=pt" 
"S0365-05962012000200011-scl","Study of the frequency of allergens in cosmetics components in patients with suspected allergic contact dermatitis","Silva, Eliane Aparecida, Bosco, Marcia Regina Miras, Mozer, Érika","Anais Brasileiros de Dermatologia; 87(2); 263-268","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200011&lang=pt" 
"S0365-05962012000200013-scl","Pyodermitis","Empinotti, Júlio César, Uyeda, Hirofumi, Ruaro, Roseli Terezinha, Galhardo, Ana Paula, Bonatto, Danielle Cristine","Anais Brasileiros de Dermatologia; 87(2); 277-284","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200013&lang=pt" 
"S0365-05962012000200014-scl","Light and transmission electron microscopy of generalized dystrophic epidermolysis bullosa (Pasini&#039;s albopapuloid subtype)","Almeida Jr, Hiram Larangeira de, Nudelmann, Lísia, Rocha, Nara Moreira, Castro, Luis Antonio Suita de","Anais Brasileiros de Dermatologia; 87(2); 285-287","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200014&lang=pt" 
"S0365-05962012000200018-scl","Multiple cavitary pulmonary nodules in association with pyoderma gangrenosum: case report","Bittencourt, Maraya de Jesus Semblano, Soares, Luciana Fontenele Brito, Lobato, Lilia Sampaio, Mançano, Alexandre Dias, Leandro, Helandro Stuart Castro, Fonseca, Diana Mendes da","Anais Brasileiros de Dermatologia; 87(2); 301-304","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200018&lang=pt" 
"S0365-05962012000200024-scl","Case for diagnosis","Nascimento, Carolina Ribas do, Barreto, Jaison Antonio, Cury Filho, Milton","Anais Brasileiros de Dermatologia; 87(2); 317-318","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200024&lang=pt" 
"S0365-05962012000200022-scl","Dermoscopy findings in tinea capitis: case report and literature review","Pinheiro, Ana Maria Costa, Lobato, Larissa Araujo, Varella, Tatiana Cristina Nogueira","Anais Brasileiros de Dermatologia; 87(2); 313-314","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200022&lang=pt" 
"S0365-05962012000200021-scl","Professor&#039;s Azulay first publication","","Anais Brasileiros de Dermatologia; 87(2); 312-312","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200021&lang=pt" 
"S0365-05962012000200023-scl","Trichobacteriosis: case report and dermoscopic study","Guiotoku, Marcelo Massaki, Ramos, Paulo Müller, Miot, Hélio Amante, Marques, Silvio Alencar","Anais Brasileiros de Dermatologia; 87(2); 315-316","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200023&lang=pt" 
"S0365-05962012000200027-scl","Do you know this syndrome?","Rosmaninho, Aristóteles, Pinto-Almeida, Teresa, Fernandes, Iolanda Conde, Machado, Susana, Selores, Manuela","Anais Brasileiros de Dermatologia; 87(2); 324-325","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200027&lang=pt" 
"S0365-05962012000200028-scl","Comparative analysis of the quality of life of patients with discoid lupus erythematosus and systemic lupus erythematosus with skin injuries","Martins, Priscila Reis, Skare, Thelma, Ferrari, Thiago Augusto, Silva, Ana Paula Franchetti, Alessio, Bruna Fabiana Vianna","Anais Brasileiros de Dermatologia; 87(2); 326-328","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000200028&lang=pt" 
"S1981-81222012000100014-scl","Da freguesia de Ossela ao seringal Paraíso: a trajetória de um jovem imigrante português no mundo da borracha amazônica","Emmi, Marília Ferreira","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(1); 261-262","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000100014&lang=pt" 
"S1981-81222012000100002-scl","Museologia e patrimônio: uma introdução","Borges, Luiz Carlos, Campos, Marcio D&#039;Olne, Rangel, Marcio Ferreira","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(1); -","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000100002&lang=pt" 
"S1981-81222012000100008-scl","Museologia e patrimônio: encontros e desencontros","Rangel, Marcio Ferreira","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(1); 103-112","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000100008&lang=pt" 
"S1981-81222012000100007-scl","Museologia e patrimônio nas cidades contemporâneas: uma tese sobre gestão de cidades sob a ótica da preservação da cultura e da memória","Costa, Heloisa Helena Fernandes Gonçalves da","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(1); 87-101","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000100007&lang=pt" 
"S0718-48082012000100001-chl","El Inventario de Depresión de Beck: Su validez en población adolescente","Beltrán, María del Carmen, Freyre, Miguel-Ángel, Hernández-Guzmán, Laura","Terapia psicológica; 30(1); 5-13","Terapia psicológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000100001&lang=pt" 
"S0718-48082012000100002-chl","Efectos de la Terapia de Interacción Guiada sobre el bienestar de diadas en riesgo psicosocial","Gómez, Esteban, Muñoz, Magdalena","Terapia psicológica; 30(1); 15-24","Terapia psicológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000100002&lang=pt" 
"S0718-48082012000100003-chl","Motivos de consulta e hipótesis clínicas explicativas","Muñoz-Martínez, Amanda M, Novoa-Gómez, Mónica Ma","Terapia psicológica; 30(1); 25-36","Terapia psicológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000100003&lang=pt" 
"S0718-48082012000100004-chl","Síntomas de depresión, ansiedad y estrés post-traumático en adolescentes siete meses después del terremoto del 27 de febrero de 2010 en Chile","Díaz, Camila A, Quintana, Gonzalo R, Vogel, Edgar H","Terapia psicológica; 30(1); 37-43","Terapia psicológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000100004&lang=pt" 
"S0718-48082012000100005-chl","Animal models of psychopathology: Historical models and the pavlovian contribution","Laborda, Mario A, Miguez, Gonzalo, Polack, Cody W, Miller, Ralph R","Terapia psicológica; 30(1); 45-59","Terapia psicológica","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000100005&lang=pt" 
"S0718-48082012000100006-chl","Calidad de vida: Una revisión teórica del concepto","Urzúa M, Alfonso, Caqueo-Urízar, Alejandra","Terapia psicológica; 30(1); 61-71","Terapia psicológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000100006&lang=pt" 
"S0718-48082012000100007-chl","Pertinencia normativa del Raven para la evaluación de población infantojuvenil socialmente vulnerable","Mansilla, Camila, Vásquez, Daniela, Estrada, Claudia","Terapia psicológica; 30(1); 73-80","Terapia psicológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082012000100007&lang=pt" 
"S0036-36342012000200007-mex","Prevalence of folate and vitamin B12 deficiency in Mexican children aged 1 to 6 years in a population-based survey","Cuevas-Nasu, Lucía, Mundo-Rosas, Verónica, Shamah-Levy, Teresa, Méndez-Gómez Humaran, Ignacio, Ávila-Arcos, Marco Antonio, Rebollar-Campos, Ma. del Rosario, Villalpando, Salvador","Salud Pública de México; 54(2); 116-124","Salud Pública de México","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000200007&lang=pt" 
"S0036-36342012000200006-mex","Nutritional causes of anemia in Mexican children under 5 years: results from the 2006 National Health and Nutrition Survey","De la Cruz-Góngora, Vanessa, Villalpando, Salvador, Rebollar, Rosario, Shamah-Levy, Teresa, Méndez-Gómez Humarán, Ignacio","Salud Pública de México; 54(2); 108-115","Salud Pública de México","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000200006&lang=pt" 
"S0036-36342012000200008-mex","Iron, zinc, copper and magnesium nutritional status in Mexican children aged 1 to 11 years","Morales-Ruán, Ma. del Carmen, Villalpando, Salvador, García-Guerra, Armando, Shamah-Levy, Teresa, Robledo-Pérez, Ricardo, Ávila-Arcos, Marco Antonio, Rivera, Juan A.","Salud Pública de México; 54(2); 125-134","Salud Pública de México","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000200008&lang=pt" 
"S0212-16112012000200030-esp","Palm tree syrup: nutritional composition of a natural edulcorant","Luis, G., Rubio, C., Gutiérrez, A. J., Hernández, C., González-Weller, D., Revert, C., Castilla, A., Abreu, P., Hardisson, A.","Nutrición Hospitalaria; 27(2); 548-552","Nutrición Hospitalaria","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200030&lang=pt" 
"S0036-36342012000200011-mex","Antibiotic knowledge and self-care for acute respiratory tract infections in Mexico","Gonzales, Ralph, López-Caudana, Alma Ethelia, González-Flores, Tulia, Jayanthan, Janaki, Corbett, Kitty K., Reyes-Morales, Hortensia","Salud Pública de México; 54(2); 152-157","Salud Pública de México","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000200011&lang=pt" 
"S0212-16112012000200044-esp","Malnutrition and associated factors in elderly hospitalized","Lara-Pulido, A., Guevara-Cruz, M.","Nutrición Hospitalaria; 27(2); 652-655","Nutrición Hospitalaria","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200044&lang=pt" 
"S0066-782X2012000400004-scl","Prevalência de obesidade visceral estimada por equação preditiva em mulheres jovens pernambucanas","Petribú, Marina de Moraes Vasconcelos, Cabral, Poliana Coelho, Diniz, Alcides da Silva, Lira, Pedro Israel Cabral de, Batista Filho, Malaquias, Arruda, Ilma Kruze Grande de","Arquivos Brasileiros de Cardiologia; 98(4); 307-314","Arquivos Brasileiros de Cardiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2012000400004&lang=pt" 
"S0066-782X2012000400002-scl","Impacto dos stents e do sirolimus por via oral na vasomotilidade coronariana dependente e independente do endotelio","Fernandes, Rósley Weber Alvarenga, Dantas, João Miguel, Oliveira, Dinaldo Cavalcanti, Bezerra, Hiram Grando, Brito Jr., Fabio Sandoli, Lima, Valter C.","Arquivos Brasileiros de Cardiologia; 98(4); 290-299","Arquivos Brasileiros de Cardiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2012000400002&lang=pt" 
"S0066-782X2012000400010-scl","Variabilidade da frequência cardíaca em pacientes com Distrofia Miotônica tipo 1","Fregonezi, Guilherme, Araújo, Thaise, Dourado Junior, Mario Emilio, Ferezini, Joceline, Silva, Ester, Resqueti, Vanessa","Arquivos Brasileiros de Cardiologia; 98(4); 353-361","Arquivos Brasileiros de Cardiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2012000400010&lang=pt" 
"S0066-782X2012000400009-scl","Desenvolvimento e validação da versão em português da Escala de Barreiras para Reabilitação Cardíaca","Ghisi, Gabriela Lima de Melo, Santos, Rafaella Zulianello dos, Schveitzer, Vanessa, Barros, Aline Lange, Recchia, Thais Lunardi, Oh, Paul, Benetti, Magnus, Grace, Sherry L.","Arquivos Brasileiros de Cardiologia; 98(4); 344-352","Arquivos Brasileiros de Cardiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2012000400009&lang=pt" 
"S0066-782X2012000400008-scl","A variedade da dieta é fator protetor para a pressão arterial sistólica elevada","Oliveira, Erick Prado de, Camargo, Karina Fernandes de, Castanho, Gabriela Kaiser Fullin, Nicola, Marina, Portero-McLellan, Kátia Cristina, Burini, Roberto Carlos","Arquivos Brasileiros de Cardiologia; 98(4); 338-343","Arquivos Brasileiros de Cardiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2012000400008&lang=pt" 
"S0066-782X2012000400005-scl","A influência do genótipo da ECA sobre a aptidão cardiovascular de jovens do sexo masculino moderadamente ativos","Almeida, Jeeser Alves, Boullosa, Daniel Alexandre, Pardono, Emerson, Lima, Ricardo Moreno, Morais, Pâmella Karoline, Denadai, Benedito Sérgio, Souza, Vinícius Carolino, Nóbrega, Otávio Toledo, Campbell, Carmem Silvia Grubert, Simões, Herbert Gustavo","Arquivos Brasileiros de Cardiologia; 98(4); 315-320","Arquivos Brasileiros de Cardiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2012000400005&lang=pt" 
"S0066-782X2012000400003-scl","Função diastólica do ventrículo esquerdo em obesos graves em pré-operatório para cirurgia bariátrica","Tavares, Irlaneide da Silva, Sousa, Antonio Carlos Sobral, Menezes Filho, Raimundo Sotero, Aguiar-Oliveira, Manuel Hermínio de, Barreto-Filho, José Augusto, Brito, Amanda Ferreira de, Oliveira, Joselina Luzia Menezes","Arquivos Brasileiros de Cardiologia; 98(4); 300-306","Arquivos Brasileiros de Cardiologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2012000400003&lang=pt" 
"S0066-782X2012000400001-scl","Utilização de terapêuticas comprovadamente úteis no tratamento da coronariopatia aguda: comparação entre diferentes regiões brasileiras. Análise do Registro Brasileiro de Síndromes Coronarianas Agudas (BRACE - Brazilian Registry on Acute Coronary Syndromes)","Nicolau, José Carlos, Franken, Marcelo, Lotufo, Paulo Andrade, Carvalho, Antonio Carlos, Marin Neto, José Antonio, Lima, Felipe Gallego, Dutra, Oscar, Knobel, Elias, Oliveira, Cesar Cardoso de, Timerman, Sérgio, Stefanini, Edson","Arquivos Brasileiros de Cardiologia; 98(4); 282-289","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2012000400001&lang=pt" 
"S0066-782X2012000400006-scl","Regulação autonômica das propriedades mecânicas em bioprótese valvar porcina","Hu, Xiang, Zhao, Qiang, Ye, Xiaofeng","Arquivos Brasileiros de Cardiologia; 98(4); 321-328","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2012000400006&lang=pt" 
"S0066-782X2012000400011-scl","MicroRNAs: um novo paradigma no tratamento e diagnóstico da insuficiência cardíaca?","Oliveira-Carvalho, Vagner, Carvalho, Vitor Oliveira, Silva, Miguel Morita, Guimarães, Guilherme Veiga, Bocchi, Edimar Alcides","Arquivos Brasileiros de Cardiologia; 98(4); 362-370","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2012000400011&lang=pt" 
"S0212-16112012000200019-esp","Papel del cuestionario EORTC QLQ-C30 en la predicción de riesgo de desnutrición en pacientes mexicanos con cáncer de cabeza y cuello","Sat-Muñoz, D., Morán Mendoza, A. J., Solano-Murillo, P., Balderas-Peña, L. M.ª A., Rivera-Morales, D., Iñíguez-Virgen, A., Salcedo-Rocha, A. L., García de Alba-García, J. E.","Nutrición Hospitalaria; 27(2); 477-482","Nutrición Hospitalaria","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200019&lang=pt" 
"S0036-36342012000200014-mex","El papel de la inmunidad innata en la obesidad","Fortis, Ángeles, García-Macedo, Rebeca, Maldonado-Bernal, Carmen, Alarcón-Aguilar, Francisco, Cruz, Miguel","Salud Pública de México; 54(2); 171-177","Salud Pública de México","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000200014&lang=pt" 
"S0212-16112012000200008-esp","La epidemiología y los factores de riesgo de los trastornos alimentarios en la adolescencia: una revisión","Portela de Santana, M. L., da Costa Ribeiro Junior, H., Mora Giral, M., Raich, R. M.ª","Nutrición Hospitalaria; 27(2); 391-401","Nutrición Hospitalaria","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200008&lang=pt" 
"S0212-16112012000200002-esp","Nutrición en pancreatitis aguda","García-Alonso, F. J., Garrido Gómez, E., Botella-Carretero, J. I., Pérez-Lasala, J., Cano Ruiz, A., Moreira Vicente, V.","Nutrición Hospitalaria; 27(2); 333-340","Nutrición Hospitalaria","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200002&lang=pt" 
"S0212-16112012000200006-esp","Importancia de la nutrición en enfermos con encefalopatía hepática","Jurado García, J., Costán Rodero, G., Calañas-Continente, A.","Nutrición Hospitalaria; 27(2); 372-381","Nutrición Hospitalaria","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200006&lang=pt" 
"S0212-16112012000200009-esp","Poisonous mushrooms: a review of the most common intoxications","Lima, A. D. L., Costa Fortes, R., Carvalho Garbi Novaes, M. R., Percário, S.","Nutrición Hospitalaria; 27(2); 402-408","Nutrición Hospitalaria","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200009&lang=pt" 
"S0212-16112012000200010-esp","Efectos adversos de la nutrición parenteral en pacientes oncológicos: revisión sistemática","Wanden-Berghe, C., Sanz-Valero, J., García de Lorenzo, A., Martín-Peña, G., Cervera, M., Luengo, L., Martín-Folgueras, T., Laborda, L.","Nutrición Hospitalaria; 27(2); 409-418","Nutrición Hospitalaria","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200010&lang=pt" 
"S0212-16112012000200007-esp","The influence of endotoxemia on the molecular mechanisms of insulin resistance","Boroni Moreira, A. P., de Cássia Gonçalves Alfenas, R.","Nutrición Hospitalaria; 27(2); 382-390","Nutrición Hospitalaria","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200007&lang=pt" 
"S0212-16112012000200003-esp","Nutrición enteral en el paciente neurológico: ¿es suficiente el contenido en vitamina D en las fórmulas de uso habitual?","Botella Romero, F., Alfaro Martínez, J. J., Luna López, V., Galicia Martín, I.","Nutrición Hospitalaria; 27(2); 341-348","Nutrición Hospitalaria","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200003&lang=pt" 
"S0212-16112012000200036-esp","Assessing risk screening methods of malnutrition in geriatric patients: Mini Nutritional Assessment (MNA) versus Geriatric Nutritional Risk Index (GNRI)","Durán Alert, P., Milà Villarroel, R., Formiga, F., Virgili Casas, N., Vilarasau Farré, C.","Nutrición Hospitalaria; 27(2); 590-598","Nutrición Hospitalaria","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200036&lang=pt" 
"S0212-16112012000200025-esp","Evaluación nutricional del paciente con cáncer","Valenzuela-Landaeta, K., Rojas, P., Basfi-fer, K.","Nutrición Hospitalaria; 27(2); 516-523","Nutrición Hospitalaria","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200025&lang=pt" 
"S0212-16112012000200005-esp","Multidisciplinary care in cystic fibrosis: a clinical-nutrition review","Haack, A., Carvalho Garbi Novaes, M.ª R.","Nutrición Hospitalaria; 27(2); 362-371","Nutrición Hospitalaria","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200005&lang=pt" 
"S0212-16112012000200015-esp","Nutritional value of Agaricus sylvaticus: mushroom grown in Brazil","Vinhal Costa Orsine, J., Carvalho Garbi Novaes, M.ª R., Ramírez Asquieri, E.","Nutrición Hospitalaria; 27(2); 449-455","Nutrición Hospitalaria","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200015&lang=pt" 
"S0212-16112012000200004-esp","Micronutrientes en cirugía bariátrica","Amaya García, M.ª J., Vilchez López, F. J., Campos Martín, C., Sánchez Vera, P., Pereira Cunill, J. L.","Nutrición Hospitalaria; 27(2); 349-361","Nutrición Hospitalaria","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200004&lang=pt" 
"S0212-16112012000200028-esp","Estudio nutricional para evaluar el aporte de calcio sobre la dieta de una leche fermentada enriquecida en calcio y vitamina D (Densia®) en mujeres postmenopáusicas","González Sánchez, M.ª E., Rivera Torres, A., Morán Fagúndez, L. J.","Nutrición Hospitalaria; 27(2); 537-541","Nutrición Hospitalaria","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200028&lang=pt" 
"S0212-16112012000200021-esp","Measurement of the thickness of the adductor pollicis muscle as a predictor of outcome in critically ill patients","Caporossi, F. S., Caporossi, C., Borges Dock-Nascimento, D., de Aguilar-Nascimento, J. E.","Nutrición Hospitalaria; 27(2); 490-495","Nutrición Hospitalaria","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200021&lang=pt" 
"S0212-16112012000200041-esp","Resolution of diabetes mellitus and metabolic syndrome in normal weight 24-29 BMI patients with one anastomosis gastric bypass","García-Caballero, M., Valle, M., Martínez-Moreno, J. M., Miralles, F., Toval, J. A., Mata, J. M., Osorio, D., Mínguez, A.","Nutrición Hospitalaria; 27(2); 623-631","Nutrición Hospitalaria","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200041&lang=pt" 
"S0212-16112012000200032-esp","Valoración del estado nutricional de pacientes candidatos a resección pulmonar por 2 métodos","Carnero Gregorio, M., Obeso Carillo, G. A., Durán Toconas, J. C., Villaverde Taboada, C., García-Mayor, R. V., Cañizares Carretero, M. A., Pérez Méndez, L. F.","Nutrición Hospitalaria; 27(2); 558-563","Nutrición Hospitalaria","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200032&lang=pt" 
"S0212-16112012000200038-esp","Estudio comparativo del estatus clínico-nutricional en mujeres obesas posmenopáusicas incluídas en un programa de pérdida de peso basado en platos preparados","Rodríguez-Navarrete, G., Sánchez-Oliver, A., López-González, B., Pérez de la Cruz, A., Manzano Romero, B., Planells del Pozo, E.","Nutrición Hospitalaria; 27(2); 606-611","Nutrición Hospitalaria","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200038&lang=pt" 
"S0212-16112012000200027-esp","Organización y funcionamiento de la atención nutricional hospitalaria: el modelo implantado en el Hospital Universitario de La Ribera","Llopis-Salvia, P., Luna-Calatayud, P., Avellana-Zaragoza, J. A., Bou-Monterde, R.","Nutrición Hospitalaria; 27(2); 529-536","Nutrición Hospitalaria","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112012000200027&lang=pt" 
"S0036-36342012000200005-mex","Reacciones de Widal en población sana de Mexicali","Jaramillo Ramírez, Hiram Javier, de la Peña Celaya, José Antonio, Núñez Ramírez, Ricardo, Rodríguez Lomelí, Moisés","Salud Pública de México; 54(2); 106-107","Salud Pública de México","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000200005&lang=pt" 
"S0036-36342012000200001-mex","Deficiencias de micronutrimentos en México: un problema invisible de salud pública","Rivera Dommarco, Juan Ángel","Salud Pública de México; 54(2); 101-102","Salud Pública de México","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000200001&lang=pt" 
