"S1517-86922000000500005-scl","Aptidão física, saúde e qualidade de vida relacionada à saúde em adultos","Araújo, Denise Sardinha Mendes Soares de, Araújo, Claudio Gil Soares de","Revista Brasileira de Medicina do Esporte; 6(5); 194-203","Revista Brasileira de Medicina do Esporte","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922000000500005&lang=pt" 
"S0100-204X2000001000016-scl","População microbiana total e solubilizadora de fosfato em solo submetido a diferentes sistemas de cultivo","BARROTI, GIOVANE, NAHAS, ELY","Pesquisa Agropecuária Brasileira; 35(10); 2043-2050","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000016&lang=pt" 
"S0100-204X2000001000019-scl","Formas, relação quantidade/intensidade e biodisponibilidade de potássio em diferentes Latossolos","SILVA, IVO RIBEIRO DA, FURTINI NETO, ANTONIO EDUARDO, FERNANDES, LUIZ ARNALDO, CURI, NILTON, VALE, FABIANO RIBEIRO DO","Pesquisa Agropecuária Brasileira; 35(10); 2065-2073","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000019&lang=pt" 
"S0100-204X2000001000020-scl","Efeito do cloreto de cálcio e do tratamento hidrotérmico na atividade enzimática e no teor de fenólicos do abacaxi","GONÇALVES, NEIDE BOTREL, CARVALHO, VÂNIA DÉA DE, GONÇALVES, JORGE RICARDO DE ALMEIDA","Pesquisa Agropecuária Brasileira; 35(10); 2075-2081","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000020&lang=pt" 
"S0100-204X2000001000021-scl","Remoção da adstringência de frutos de caquizeiro &#039;Giombo&#039; sob diferentes períodos de exposição aovapor de álcool etílico","ANTONIOLLI, LUCIMARA ROGÉRIA, CASTRO, PAULO ROBERTO DE CAMARGO E, KLUGE, RICARDO ALFREDO, SCARPARE FILHO, JOÃO ALEXIO","Pesquisa Agropecuária Brasileira; 35(10); 2083-2091","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000021&lang=pt" 
"S0100-204X2000001000007-scl","Influência da época de semeadura no comportamento de cultivares de arroz irrigado por aspersão em Selvíria, MS","ARF, ORIVALDO, RODRIGUES, RICARDO ANTÔNIO FERREIRA, SÁ, MARCO EUSTÁQUIO DE, CRUSCIOL, CARLOS ALEXANDRE COSTA","Pesquisa Agropecuária Brasileira; 35(10); 1967-1976","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000007&lang=pt" 
"S1020-49892000000900008-spa","Las defunciones de carácter ocupacional y la globalización económica","","Revista Panamericana de Salud Pública; 8(4); 280-280","Revista Panamericana de Salud Pública","Espanhol","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900008&lang=pt" 
"S1020-49892000000900009-spa","Las neoplasias intracervicales en mujeres positivas a VIH y al virus del papiloma humano","","Revista Panamericana de Salud Pública; 8(4); 280-281","Revista Panamericana de Salud Pública","Espanhol","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900009&lang=pt" 
"S1020-49892000000900011-spa","Efectos de añadir interleucina-2 a los medicamentos anti-VIH","","Revista Panamericana de Salud Pública; 8(4); 281-282","Revista Panamericana de Salud Pública","Espanhol","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900011&lang=pt" 
"S1020-49892000000900010-spa","Soplan vientos traicioneros","","Revista Panamericana de Salud Pública; 8(4); 281-281","Revista Panamericana de Salud Pública","Espanhol","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900010&lang=pt" 
"S1020-49892000000900017-spa","Reacciones adversas","","Revista Panamericana de Salud Pública; 8(4); 289-290","Revista Panamericana de Salud Pública","Espanhol","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900017&lang=pt" 
"S1020-49892000000900016-spa","Retiros del mercado","","Revista Panamericana de Salud Pública; 8(4); 288-289","Revista Panamericana de Salud Pública","Espanhol","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900016&lang=pt" 
"S1020-49892000000900012-spa","La hipocolesterolemia y la mortalidad por enfermedades no cardiovasculares","","Revista Panamericana de Salud Pública; 8(4); 282-283","Revista Panamericana de Salud Pública","Espanhol","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892000000900012&lang=pt" 
"S0100-204X2000001000010-scl","Comparação de métodos de condução de populações segregantes do feijoeiro","RAPOSO, FRANCISLEI VITTI, RAMALHO, MAGNO ANTÔNIO PATTO, ABREU, ANGELA DE FÁTIMA BARBOSA","Pesquisa Agropecuária Brasileira; 35(10); 1991-1997","Pesquisa Agropecuária Brasileira","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2000001000010&lang=pt" 
"S1517-83822000000400002-scl","Biological control of Phytophthora root rot of avocato with microorganisms grown in organic mulches","Costa, Jefferson L. da S., Menge, John A., Casale, Willian L.","Brazilian Journal of Microbiology; 31(4); 239-246","Brazilian Journal of Microbiology","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822000000400002&lang=pt" 
"S1517-83822000000400004-scl","Growth and nutritional status of Brazilian wood species Cedrella fissilis and Anadenanthera peregrina in bauxite spoil in response to arbuscular mycorrhizal inoculation and substrate amendment","Tótola, Marcos Rogério, Borges, Arnaldo Chaer","Brazilian Journal of Microbiology; 31(4); 257-265","Brazilian Journal of Microbiology","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822000000400004&lang=pt" 
"S1517-83822000000400006-scl","Elaboration and evaluation of a new screening medium for detection and presumptive identification of extended-spectrum beta-lactamase-producing organisms (ESBL)","Silva, Carlos Henrique Pessôa de Menezes e","Brazilian Journal of Microbiology; 31(4); 271-274","Brazilian Journal of Microbiology","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822000000400006&lang=pt" 
"S1517-83822000000400007-scl","Molecular identification of enteropathogenic Escherichia coli (EPEC) associated with infant diarrhea in Londrina, Parana, Brazil","Kobayashi, Renata K. T., Saridakis, Halha Ostrensky, Dias, Angela M.G., Vidotto, Marilda C.","Brazilian Journal of Microbiology; 31(4); 275-280","Brazilian Journal of Microbiology","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822000000400007&lang=pt" 
"S1517-83822000000400014-scl","Genetic diversity of the VP1/VP2 gene of canine parvovirus type 2b amplified from clinical specimens in Brazil","Pereira, Cesar A. D., Durigon, Edison Luiz","Brazilian Journal of Microbiology; 31(4); 312-314","Brazilian Journal of Microbiology","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822000000400014&lang=pt" 
"S1517-83822000000400012-scl","Isolation, identification and physiological study of Lactobacillus fermentum LPB for use as probiotic in chickens","Reque, Elizete de F., Pandey, Ashok, Franco, Sebastião G., Soccol, Carlos R.","Brazilian Journal of Microbiology; 31(4); 303-307","Brazilian Journal of Microbiology","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822000000400012&lang=pt" 
"S1517-83822000000400013-scl","Acute and latent infection in mice with a virulent strain of Aujeszky’s disease virus","Flatschart, Roberto B., Resende, Maurício","Brazilian Journal of Microbiology; 31(4); 308-311","Brazilian Journal of Microbiology","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822000000400013&lang=pt" 
"S1517-83822000000400001-scl","Survival and conjugal transfer between Bacillus thuringiensis strains in aquatic environment","Furlaneto, Luciana, Saridakis, Halha Ostrensky, Arantes, Olívia Márcia Nagy","Brazilian Journal of Microbiology; 31(4); 233-238","Brazilian Journal of Microbiology","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822000000400001&lang=pt" 
"S1517-83822000000400003-scl","Antibacterial activity of plant extracts and phytochemicals on antibiotic-resistant bacteria","Nascimento, Gislene G. F., Locatelli, Juliana, Freitas, Paulo C., Silva, Giuliana L.","Brazilian Journal of Microbiology; 31(4); 247-256","Brazilian Journal of Microbiology","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822000000400003&lang=pt" 
"S1517-83822000000400005-scl","Isolation of Shiga toxin-producing Escherichia coli (STEC) serotype 091:H21 from a child with diarrhea in Porto Alegre city, RS, Brazil","Cantarelli, Vlademir, Nagayama, Kenichi, Takahashi, Akira, Honda, Takeshi, Cauduro, Paulo F., Dias, Cícero A.G., Mezzari, Adelina, Brodt, Teresa","Brazilian Journal of Microbiology; 31(4); 266-270","Brazilian Journal of Microbiology","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822000000400005&lang=pt" 
"S1517-83822000000400008-scl","Clinical and Laboratory evaluation of measleslike rash in children and young adults","Stewien, Klaus Eberhard, Lima, Lourdes Rehder de Andrade Vaz de, Botosso, Viviane Fongaro, Oliveira, Maria Isabel de, Fagundes, Simone N., Nogueira, Meri B., Ragazzi, Selma Lopes Betta, Costa, Maria Tereza Zuluni da, Ejzenberg, Bernardo, Durigon, Edison Luiz","Brazilian Journal of Microbiology; 31(4); 281-285","Brazilian Journal of Microbiology","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822000000400008&lang=pt" 
"S1517-83822000000400009-scl","Carbon sources effect on pectinase production from Aspergillus japonicus 586","Teixeira, Maria F. S., Lima Filho, José L., Durán, Nelson","Brazilian Journal of Microbiology; 31(4); 286-290","Brazilian Journal of Microbiology","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822000000400009&lang=pt" 
"S1517-83822000000400010-scl","Characterization of the Saccharomyces cerevisae Y500-4L killer toxin","Soares, Giselle A. M., Sato, Hélia H.","Brazilian Journal of Microbiology; 31(4); 291-297","Brazilian Journal of Microbiology","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822000000400010&lang=pt" 
"S1517-83822000000400015-scl","A method for the determination of two Alternaria toxins, alternariol and alternariol monomethyl ether, in tomato products","Motta, Silvana da, Soares, Lucia M. Valente","Brazilian Journal of Microbiology; 31(4); 315-320","Brazilian Journal of Microbiology","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822000000400015&lang=pt" 
"S1517-83822000000400016-scl","Mycoflora and aflatoxin/fumonisin production by fungal isolates from freshly harvested corn hybrids","Almeida, Adriana P., Corrêa, Benedito, Mallozzi, Marisa A. B., Sawazaki, Eduardo, Soares, Lúcia M. Valente","Brazilian Journal of Microbiology; 31(4); 321-326","Brazilian Journal of Microbiology","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822000000400016&lang=pt" 
"S1517-83822000000400011-scl","Culture conditions for the production of thermostable amylase by Bacillus sp","Teodoro, Carlos Eduardo de Souza, Martins, Meire Lelis Leal","Brazilian Journal of Microbiology; 31(4); 298-302","Brazilian Journal of Microbiology","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822000000400011&lang=pt" 
"S0034-89102000000500001-scl","Correlation between HIV and HCV in Brazilian prisoners: evidence for parenteral transmission inside prison","Burattini, MN, Massad, E, Rozman, M, Azevedo, RS, Carvalho, HB","Revista de Saúde Pública; 34(5); 431-436","Revista de Saúde Pública","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500001&lang=pt" 
"S0034-89102000000500004-scl","Health financing changes in the context of health care decentralization: the case of three Latin American countries","Arredondo, Armando, Parada, Irene","Revista de Saúde Pública; 34(5); 449-460","Revista de Saúde Pública","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500004&lang=pt" 
"S0034-89102000000500007-scl","Identificação de casos psiquiátricos em estudos epidemiológicos multifásicos: métodos, problemas e aplicabilidade","Andreoli, Sérgio B, Almeida Filho, Naomar de, Coutinho, Evandro SF, Mari, Jair de J","Revista de Saúde Pública; 34(5); 475-483","Revista de Saúde Pública","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500007&lang=pt" 
"S0034-89102000000500011-scl","Diagnóstico de sobrepeso em adolescentes: estudo do desempenho de diferentes critérios para o Índice de Massa Corporal","Monteiro, Paulo Orlando Alves, Victora, Cesar G, Barros, Fernando C, Tomasi, Elaine","Revista de Saúde Pública; 34(5); 506-513","Revista de Saúde Pública","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500011&lang=pt" 
"S0034-89102000000500014-scl","Avaliação de risco crônico da ingestão de resíduos de pesticidas na dieta brasileira","Caldas, Eloisa Dutra, Souza, Luiz César Kenupp R de","Revista de Saúde Pública; 34(5); 529-537","Revista de Saúde Pública","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500014&lang=pt" 
"S0034-89102000000500018-scl","Avaliação de programas, serviços e tecnologias em saúde","Novaes, Hillegonda Maria D","Revista de Saúde Pública; 34(5); 547-549","Revista de Saúde Pública","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500018&lang=pt" 
"S0034-89102000000500002-scl","Abandono de tratamento e recidiva da tuberculose: aspectos de episódios prévios, Campinas, SP, Brasil, 1993-1994","Oliveira, Helenice B de, Moreira Filho, Djalma de C","Revista de Saúde Pública; 34(5); 437-443","Revista de Saúde Pública","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500002&lang=pt" 
"S0034-89102000000500004-spa","Health financing changes in the context of health care decentralization: the case of three Latin American countries","Arredondo, Armando, Parada, Irene","Revista de Saúde Pública; 34(5); 449-460","Revista de Saúde Pública","Inglês","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500004&lang=pt" 
"S0034-89102000000500018-spa","Avaliação de programas, serviços e tecnologias em saúde","Novaes, Hillegonda Maria D","Revista de Saúde Pública; 34(5); 547-549","Revista de Saúde Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500018&lang=pt" 
"S0004-28032000000400007-scl","Fatal evolution of systemic lupus erythematosus associated with Crohn&#039;s disease","CHEBLI, Júlio M. Fonseca, GABURRI, Pedro Duarte, SOUZA, Aécio Flávio Meirelles de, DIAS, Kátia Valéria Bastos, CIMINO, Karla Oliveira, CARVALHO-FILHO, Roberto José de, LUCCA, Fernando de Azevedo","Arquivos de Gastroenterologia; 37(4); 224-226","Arquivos de Gastroenterologia","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032000000400007&lang=pt" 
"S0004-28032000000400003-scl","Quantitation of HCV RNA in liver of patients with chronic hepatitis C","MARTINELLI, Ana de Lôurdes Candolo, BROWN, David, MORRIS, Allun, DHILLON, Amar, DAYLEY, Peter, DUSHEIKO, Geoffrey","Arquivos de Gastroenterologia; 37(4); 203-207","Arquivos de Gastroenterologia","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032000000400003&lang=pt" 
"S0004-28032000000400004-scl","Gastrostomia endoscópica em pacientes com cardiopatia complicada","CUKIER, Celso, MAGNONI, Carlos Daniel, POLETTI, Paula, TACLA, Mounib","Arquivos de Gastroenterologia; 37(4); 208-212","Arquivos de Gastroenterologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032000000400004&lang=pt" 
"S0004-28032000000400001-scl","Diagnóstico da doença do refluxo gastroesofágico: opções e critérios","FELIX, Valter Nilton","Arquivos de Gastroenterologia; 37(4); 195-196","Arquivos de Gastroenterologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032000000400001&lang=pt" 
"S0004-28032000000400002-scl","Critérios histológicos de esofagite na doença do refluxo gastroesofágico. Reavaliação da sensibilidade da pHmetria esofágica de 24 horas","FLORA-FILHO, Rowilson, CÂMARA-LOPES, Luiz Heraldo, ZILBERSTEIN, Bruno","Arquivos de Gastroenterologia; 37(4); 197-202","Arquivos de Gastroenterologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032000000400002&lang=pt" 
"S0004-28032000000400009-scl","Colestase intra-hepática recurrente benigna: seguimento de um caso por 7 anos","PAROLIN, Mônica Beatriz, LANGOWISKI, André Ribeiro, IOSHII, Sérgio Ossamu, MAGGIO, Everton Marques, COELHO, Júlio C. U.","Arquivos de Gastroenterologia; 37(4); 231-234","Arquivos de Gastroenterologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032000000400009&lang=pt" 
"S0004-28032000000400008-scl","Gastric necrosis and perforation as a complication of splenectomy. Case report and related references","MARTINEZ, Carlos Augusto Real, WAISBERG, Jaques, PALMA, Rogério Tadeu, BROMBERG, Sansom Henrique, CASTRO, Mário Augusto Padula, SANTOS, Paulo Amaral dos","Arquivos de Gastroenterologia; 37(4); 227-230","Arquivos de Gastroenterologia","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032000000400008&lang=pt" 
"S0004-28032000000400005-scl","HCV infection in northeastern Brazil: unexpected high prevalence of genotype 3a and absence of African genotypes","PARANÁ, Raymundo, VITVITSKI, Ludmila, BERBY, Françoise, PORTUGAL, Marcelo, COTRIM, Helma P., CAVALCANTE, Andrea, LYRA, Luiz, TREPO, Christian","Arquivos de Gastroenterologia; 37(4); 213-216","Arquivos de Gastroenterologia","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032000000400005&lang=pt" 
"S0004-28032000000400006-scl","Esôfago em quebra-nozes -- avaliação clínica de 97 pacientes","SILVA, Luiz Filipe Duarte, LEMME, Eponina Maria de Oliveira","Arquivos de Gastroenterologia; 37(4); 217-223","Arquivos de Gastroenterologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032000000400006&lang=pt" 
"S0004-28032000000400010-scl","Hepatite crônica por virus C. Parte 2. Tratamento","CONTE, Vinício Paride","Arquivos de Gastroenterologia; 37(4); 235-242","Arquivos de Gastroenterologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032000000400010&lang=pt" 
"S0034-89102000000500015-spa","Morfologia de ovos de Triatoma circummaculata e Triatoma rubrovaria (Hemiptera, Reduviidae)","Rosa, João A da, Barata, José Maria S, Santos, Jair Lício F, Cilense, Mario","Revista de Saúde Pública; 34(5); 538-542","Revista de Saúde Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500015&lang=pt" 
"S0034-89102000000500006-scl","Serviço de emergências psiquiátricas em hospital geral universitário: estudo prospectivo","Santos, Maria Eugênia de SB dos, Amor, Jafesson dos A do, Del-Ben, Cristina M, Zuardi, Antonio W","Revista de Saúde Pública; 34(5); 468-474","Revista de Saúde Pública","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500006&lang=pt" 
"S0034-89102000000500003-scl","Avaliação da contaminação bacteriana em desinfetantes de uso domiciliar","Miyagi, Fumie, Timenetsky, Jorge, Alterthum, Flávio","Revista de Saúde Pública; 34(5); 444-448","Revista de Saúde Pública","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500003&lang=pt" 
"S0034-89102000000500005-scl","Comportamento de Aedes albopictus e de Ae. scapularis adultos (Diptera: Culicidae) no Sudeste do Brasil","Forattini, Oswaldo Paulo, Kakitani, Iná, Santos, Roseli La Corte dos, Kobayashi, Keilla M, Ueno, Helene M, Fernandez, Zoraida","Revista de Saúde Pública; 34(5); 461-467","Revista de Saúde Pública","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500005&lang=pt" 
"S0034-89102000000500013-scl","Validade de histórias ocupacionais de informantes secundários","Cordeiro, Ricardo","Revista de Saúde Pública; 34(5); 522-528","Revista de Saúde Pública","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500013&lang=pt" 
"S0034-89102000000500008-scl","Causal attributions in Brazilian children&#039;s reasoning about health and illness","Boruchovitch, Evely, Mednick, Birgitte R","Revista de Saúde Pública; 34(5); 484-490","Revista de Saúde Pública","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500008&lang=pt" 
"S0034-89102000000500009-scl","Fatores de risco para consultas em pronto-socorro por crianças asmáticas no Sul do Brasil","Chatkin, Moema, Menezes, Ana Maria B, Albernaz, Elaine, Victora, Cesar G, Barros, Fernando C","Revista de Saúde Pública; 34(5); 491-498","Revista de Saúde Pública","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500009&lang=pt" 
"S0034-89102000000500010-scl","Perfil lipídico em escolares de Campinas, SP, Brasil","Moura, Erly Catarina, Castro, Clésio Mello de, Mellin, Aparecida Silvia, Figueiredo, Dalcélia Bueno de","Revista de Saúde Pública; 34(5); 499-505","Revista de Saúde Pública","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500010&lang=pt" 
"S0034-89102000000500012-scl","Diferenciais de mortalidade entre as regiões metropolitanas de Belo Horizonte e Salvador, 1985-1995","Abreu, Daisy Maria Xavier de, Rodrigues, Roberto do Nascimento","Revista de Saúde Pública; 34(5); 514-521","Revista de Saúde Pública","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500012&lang=pt" 
"S0034-89102000000500016-scl","Nota sobre o encontro de Aedes aegypti em bromélias","Forattini, Oswaldo Paulo, Marques, Gisela Rita Alvarenga Monteiro","Revista de Saúde Pública; 34(5); 543-544","Revista de Saúde Pública","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500016&lang=pt" 
"S0034-89102000000500020-scl","O cartão nacional de saúde: instrumento para um novo modelo de atenção","","Revista de Saúde Pública; 34(5); 561-564","Revista de Saúde Pública","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500020&lang=pt" 
"S0034-89102000000500015-scl","Morfologia de ovos de Triatoma circummaculata e Triatoma rubrovaria (Hemiptera, Reduviidae)","Rosa, João A da, Barata, José Maria S, Santos, Jair Lício F, Cilense, Mario","Revista de Saúde Pública; 34(5); 538-542","Revista de Saúde Pública","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500015&lang=pt" 
"S0034-89102000000500019-scl","Causas básicas de óbito e mortalidade materna","Haddad, Nagib, Silva, Maria Barbosa da, Santo, Augusto Hasiak","Revista de Saúde Pública; 34(5); 560-560","Revista de Saúde Pública","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500019&lang=pt" 
"S0034-89102000000500017-scl","Pachycrepoideus vindemiae (Hymenoptera: Pteromalidae) como parasita de Ophyra aenescens (Diptera: Muscidae) no Brasil","Marchiori, Carlos H, Silva, Claudio G, Caldas, Elza R, Vieira, Cristiane IS, Almeida, Kátia GS, Teixeira, Fábio F","Revista de Saúde Pública; 34(5); 545-546","Revista de Saúde Pública","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102000000500017&lang=pt" 
"S0034-89102000000500017-spa","Pachycrepoideus vindemiae (Hymenoptera: Pteromalidae) como parasita de Ophyra aenescens (Diptera: Muscidae) no Brasil","Marchiori, Carlos H, Silva, Claudio G, Caldas, Elza R, Vieira, Cristiane IS, Almeida, Kátia GS, Teixeira, Fábio F","Revista de Saúde Pública; 34(5); 545-546","Revista de Saúde Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500017&lang=pt" 
"S0034-89102000000500016-spa","Nota sobre o encontro de Aedes aegypti em bromélias","Forattini, Oswaldo Paulo, Marques, Gisela Rita Alvarenga Monteiro","Revista de Saúde Pública; 34(5); 543-544","Revista de Saúde Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500016&lang=pt" 
"S0034-89102000000500019-spa","Causas básicas de óbito e mortalidade materna","Haddad, Nagib, Silva, Maria Barbosa da, Santo, Augusto Hasiak","Revista de Saúde Pública; 34(5); 560-560","Revista de Saúde Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500019&lang=pt" 
"S0034-89102000000500020-spa","O cartão nacional de saúde: instrumento para um novo modelo de atenção","","Revista de Saúde Pública; 34(5); 561-564","Revista de Saúde Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500020&lang=pt" 
"S0034-89102000000500014-spa","Avaliação de risco crônico da ingestão de resíduos de pesticidas na dieta brasileira","Caldas, Eloisa Dutra, Souza, Luiz César Kenupp R de","Revista de Saúde Pública; 34(5); 529-537","Revista de Saúde Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500014&lang=pt" 
"S0034-89102000000500013-spa","Validade de histórias ocupacionais de informantes secundários","Cordeiro, Ricardo","Revista de Saúde Pública; 34(5); 522-528","Revista de Saúde Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500013&lang=pt" 
"S0034-89102000000500012-spa","Diferenciais de mortalidade entre as regiões metropolitanas de Belo Horizonte e Salvador, 1985-1995","Abreu, Daisy Maria Xavier de, Rodrigues, Roberto do Nascimento","Revista de Saúde Pública; 34(5); 514-521","Revista de Saúde Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500012&lang=pt" 
"S0034-89102000000500011-spa","Diagnóstico de sobrepeso em adolescentes: estudo do desempenho de diferentes critérios para o Índice de Massa Corporal","Monteiro, Paulo Orlando Alves, Victora, Cesar G, Barros, Fernando C, Tomasi, Elaine","Revista de Saúde Pública; 34(5); 506-513","Revista de Saúde Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500011&lang=pt" 
"S0034-89102000000500010-spa","Perfil lipídico em escolares de Campinas, SP, Brasil","Moura, Erly Catarina, Castro, Clésio Mello de, Mellin, Aparecida Silvia, Figueiredo, Dalcélia Bueno de","Revista de Saúde Pública; 34(5); 499-505","Revista de Saúde Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500010&lang=pt" 
"S0034-89102000000500009-spa","Fatores de risco para consultas em pronto-socorro por crianças asmáticas no Sul do Brasil","Chatkin, Moema, Menezes, Ana Maria B, Albernaz, Elaine, Victora, Cesar G, Barros, Fernando C","Revista de Saúde Pública; 34(5); 491-498","Revista de Saúde Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500009&lang=pt" 
"S0034-89102000000500008-spa","Causal attributions in Brazilian children&#039;s reasoning about health and illness","Boruchovitch, Evely, Mednick, Birgitte R","Revista de Saúde Pública; 34(5); 484-490","Revista de Saúde Pública","Inglês","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500008&lang=pt" 
"S0034-89102000000500007-spa","Identificação de casos psiquiátricos em estudos epidemiológicos multifásicos: métodos, problemas e aplicabilidade","Andreoli, Sérgio B, Almeida Filho, Naomar de, Coutinho, Evandro SF, Mari, Jair de J","Revista de Saúde Pública; 34(5); 475-483","Revista de Saúde Pública","Português","2000","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102000000500007&lang=pt" 
