"S0719-26812015000300010-chl","LOS TEXTOS ESCOLARES EN CONFLICTO CON LA SUBALTERNIDAD: LA GUERRA DEL PACÍFICO EN LAS AULAS","Chaupis Torres, José","Diálogo andino; (48); 99-108","Diálogo andino","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812015000300010&lang=pt" 
"S0717-95022015000300018-chl","Características Biométricas de los Osículos del Oído de Individuos Chilenos","Binvignat, O, Meza, S, Torrez, J. C, Olave, E","International Journal of Morphology; 33(3); 914-919","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300018&lang=pt" 
"S0717-95022015000300011-chl","Morphometrical Studies on the Skull of Indian Blackbuck (Antelope cervicapra)","Choudhary, Om Prakash, Singh, Ishwer","International Journal of Morphology; 33(3); 868-876","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300011&lang=pt" 
"S0717-95022015000300013-chl","Structure and Histophysiological Considerations on the Arterial Wall of the Dog","Orsi, Antonio M, Domeniconi, Raquel F, Mello, Josiane M. de, Spilla, Caio S. G","International Journal of Morphology; 33(3); 883-887","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300013&lang=pt" 
"S0717-95022015000300012-chl","Representaciones Sociales de la Obesidad en Jóvenes Preuniversitarios y Universitarios","Collipal L, Erika, Godoy B, María Pía","International Journal of Morphology; 33(3); 877-882","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300012&lang=pt" 
"S0717-95022015000300014-chl","Virtual Movement of the Ankle and Subtalar Joints Using Cadaver Surface Models","Shin, Dong Sun, Chung, Min Suk","International Journal of Morphology; 33(3); 888-894","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300014&lang=pt" 
"S0717-95022015000300017-chl","Fractal Analysis of Skeletal Muscle Tissue of Rats Subjected to Stretch Injury","Ozaki, Guilherme, Camargo, Regina Celi Trindade, Koike, Tatiana Emy, Garcia, Thiago Alves, Castoldi, Robson Chacon, Camargo Filho, Jose Carlos Silva","International Journal of Morphology; 33(3); 908-913","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300017&lang=pt" 
"S0717-95022015000300016-chl","Densitometric Analysis of the Human Ulna","Aguado-Henche, S, Clemente de Arriba, C, Carrascosa-Sánchez, J","International Journal of Morphology; 33(3); 902-907","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300016&lang=pt" 
"S0717-97072015000300014-chl","NEW FLUORESCENT CROSSLINKED AROMATIC POLYAMIDES CONTAINING THIOPHENEAND FURANE IN THEIR BACKBONE","SÁNCHEZ, C. O, SOBARZO, P, GATICA, N, MAC-LEOD-CAREY, D","Journal of the Chilean Chemical Society; 60(3); 3040-3044","Journal of the Chilean Chemical Society","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072015000300014&lang=pt" 
"S0717-95022015000300061-chl","Synthesis and Characterization of Calcium Phosphate Compounds with Strontium and Magnesium Ionic Substitutions","Rabelo Neto, Jose da Silva, Knopf, Thaiane Balesteri, Fredel, Marcio Celso, Olate, Sergio, de Moraes, Paulo H","International Journal of Morphology; 33(3); 1189-1193","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300061&lang=pt" 
"S0717-97072015000300003-chl","AN ECO-FRIENDLY ONE-POT SYNTHESIS OF 4,4&#039;-(ARYLMETHYLENE)BIS(1H-PYRAZOL-5-OLS) USING [Et3NH][HSO4] AS A RECYCLABLE CATALYST","ZHOU, ZHONGQIANG, ZHANG, YULIANG","Journal of the Chilean Chemical Society; 60(3); 2992-2996","Journal of the Chilean Chemical Society","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072015000300003&lang=pt" 
"S0717-97072015000300002-chl","SELF-DECOMPOSITION EFFECT OF GRAPHENE BASED CdSe COMPOSITES FOR ORGANIC DYE IN DARK","WEI, XIANGFEI, CHEN, MINGLIANG","Journal of the Chilean Chemical Society; 60(3); 2988-2991","Journal of the Chilean Chemical Society","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072015000300002&lang=pt" 
"S0717-95022015000300047-chl","Prevalence of Bipartite Patella in Turkish Population: Analysis of Bilateral Knee Radiographs in 897 Subjects","Kose, Ozkan, Eraslan, Ali, Ergun, Ali, Egerci, Omer Faruk, Ercan, Emrah Cevat","International Journal of Morphology; 33(3); 1108-1113","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300047&lang=pt" 
"S0717-95022015000300044-chl","Effect of Resveratrol on Mitochondrial Activity in Differentiated Mature Adipocytes","Noriega-González, J. E, Chirino, Y. I, Mata-Miranda, M. M, Vázquez-Zapién, G. J, Sánchez-Monroy, V","International Journal of Morphology; 33(3); 1085-1092","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300044&lang=pt" 
"S0717-95022015000300040-chl","A Computed Tomographic Study of Umbilical Anatomy: The Relationship between Umbilical Thickness and Diameter","Kim, Maru, Oh, Seong-Taek","International Journal of Morphology; 33(3); 1060-1064","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300040&lang=pt" 
"S0717-95022015000300041-chl","Características Antropométricas de Adolescentes Pertenecientes a Distintas Escuelas Deportivas Formativas","Godoy-Cumillaf, Andrés Esteban Roberto, Valdés-Badilla, Pablo Antonio, Salvador Soler, Noemí, Carmona-López, María Inés, Fernández, Juan José","International Journal of Morphology; 33(3); 1065-1070","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300041&lang=pt" 
"S0718-560X2015000400015-chl","Probiotic modulation of the gut bacterial community of juvenile Litopenaeus vannamei challenged with Vibrio parahaemolyticus CAIM 170","Luis-Villaseñor, Irasema E, Voltolina, Domenico, Gomez-Gil, Bruno, Ascencio, Felipe, Campa-Córdova, Ángel I, Audelo-Naranjo, Juan M, Zamudio-Armenta, Olga O","Latin american journal of aquatic research; 43(4); 766-775","Latin american journal of aquatic research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2015000400015&lang=pt" 
"S0718-560X2015000400017-chl","Wild populations of the invasive Australian red claw crayfish Cherax quadricarinatus (Crustacea, Decapoda) near the northern coast of Jalisco, Mexico: a new fishing and profitable resource","Vega-Villasante, Fernando, Ávalos-Aguilar, José J, Nolasco-Soria, Héctor, Vargas-Ceballos, Manuel A, Bortolini-Rosales, José L, Chong-Carrillo, Olimpia, Ruiz-Núñez, Martín F, Morales-Hernández, Julio C","Latin american journal of aquatic research; 43(4); 781-785","Latin american journal of aquatic research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2015000400017&lang=pt" 
"S0718-560X2015000400011-chl","Carga parasitaria en crustáceos decápodos de la costa central de Chile: ¿existe alguna asociación con la abundancia de los hospedadores definitivos?","Leiva, Natalia, George-Nascimento, Mario, Muñoz, Gabriela","Latin american journal of aquatic research; 43(4); 726-738","Latin american journal of aquatic research","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2015000400011&lang=pt" 
"S0717-95022015000300048-chl","Proximal Femoral Epiphysis: Manual Morphometry versus Digital Morphometry","Menezes, Tamires Meira, Rocha, Taciano Dias de Souza, de Oliveira, Belisa Duarte Ribeiro, de Albuquerque, Yuri Mateus Lima, Caiaffo, Vitor","International Journal of Morphology; 33(3); 1114-1119","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300048&lang=pt" 
"S0717-97072015000300021-chl","SYNTHESIS, SPECTRAL CHARACTERIZATION AND THERMAL BEHAVIOUR OF NEW METAL(II) COMPLEXES WITH SCHIFF BASE DERIVED FROM AMOXICILLIN","REISS, AURORA, SAMIDE, ADRIANA, CIOBANU, GEORGETA, DABULEANU, IRINA","Journal of the Chilean Chemical Society; 60(3); 3074-3079","Journal of the Chilean Chemical Society","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072015000300021&lang=pt" 
"S0717-97072015000300023-chl","ANALYTICAL TESTING OF THE INTERFERENCE STANDARD METHOD (IFS) FOR METALS IN WINES BY INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY","LATORRE, MÓNICA P, VIDAL, RODRIGO A, GONZÁLEZ, ELIZABETH, CASTILLO, ROSARIO, PEÑA-FARFAL, CARLOS, BENNUN, LEONARDO D, NEIRA, JOSÉ Y","Journal of the Chilean Chemical Society; 60(3); 3083-3087","Journal of the Chilean Chemical Society","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072015000300023&lang=pt" 
"S0717-97072015000300010-chl","CHARACTERIZATION OF THE ANTIFUNGAL ACTIVITY AGAINST BOTRYTIS CINEREA OF SCLAREOL AND 13-EPI-SCLAREOL, TWO LABDANE-TYPE DITERPENOIDS","MENDOZA, LEONORA, SEPÚLVEDA, CAROLINA, MELO, RICARDO, COTORAS, MILENA","Journal of the Chilean Chemical Society; 60(3); 3024-3028","Journal of the Chilean Chemical Society","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072015000300010&lang=pt" 
"S0717-97072015000300011-chl","SYNTHESIS AND ELECTRICAL CHARACTERIZATION OF ZINC STANNATE (ZTO) PREPARED BY HYDROTHERMAL METHOD","RUIZ-LEÓN, D, AVILA, R. E, VENEGAS, C. J","Journal of the Chilean Chemical Society; 60(3); 3029-3032","Journal of the Chilean Chemical Society","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072015000300011&lang=pt" 
"S0717-97072015000300012-chl","SYNTHESIS, CRYSTAL STRUCTURES AND PRELIMINARY ANTIBACTERIAL ACTIVITIES OF NICKEL(II) AND ZINC(II) COMPLEXES DERIVED FROM 2-BROMO-6-[(3-CYCLOHEXYLAMINOPROPYLIMINO) METHYL]PHENOL","LI, WEI, DING, YI, CHENG, XIAO-SHAN, YOU, ZHONGLU","Journal of the Chilean Chemical Society; 60(3); 3034-3037","Journal of the Chilean Chemical Society","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072015000300012&lang=pt" 
"S0717-97072015000300016-chl","DEVELOPMENT OF A SIMPLE AND SPECIFIC UHPLC ASSAY FOR THE DETERMINATION OF ARIPIPRAZOLE AND DEHYDROARDPDPRAZOLE IN RAT PLASMA","YENICELI UĞUR, DUYGU, YILMAZ, IŞIL T, ŞENER, EROL","Journal of the Chilean Chemical Society; 60(3); 3049-3053","Journal of the Chilean Chemical Society","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072015000300016&lang=pt" 
"S0717-97072015000300017-chl","REMOVAL OF METAL IONS FROM BÍO BÍO RIVER WATER BY LIQUID-PHASE POLYMER-BASED RETENTION TECHNIQUE","PEREIRA, EDUARDO D, HOMPER, DANIELA, SÁNCHEZ, JULIO, RIVAS, BERNABÉ L","Journal of the Chilean Chemical Society; 60(3); 3054-3058","Journal of the Chilean Chemical Society","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072015000300017&lang=pt" 
"S0717-95022015000300055-chl","Prediction of Stature According to Three Head Measurements","Rexhepi, Agron M, Brestovci, Behlul","International Journal of Morphology; 33(3); 1151-1155","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300055&lang=pt" 
"S0717-95022015000300057-chl","Somatotipo y Composición Corporal de la Selección de Fútbol Masculino Universitario de Chile, Pontificia Universidad Católica de Valparaíso, Campeona los Años 2012 y 2013","Almagia, Atilio, Araneda, Alberto, Sánchez, Javier, Sánchez, Patricio, Zúñiga, Maximiliano, Plaza, Paula","International Journal of Morphology; 33(3); 1165-1170","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300057&lang=pt" 
"S0717-95022015000300050-chl","¿Músculo Plantar?","Coello, Rafael, Carvallo, Pamela, Carvallo, Eugenia, del Sol, Mariano","International Journal of Morphology; 33(3); 1126-1129","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300050&lang=pt" 
"S0718-560X2015000400009-chl","Decisiones de localización y cambios regulatorios: el caso de la acuicultura en Chile","Estay, Manuel, Chávez, Carlos","Latin american journal of aquatic research; 43(4); 700-717","Latin american journal of aquatic research","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2015000400009&lang=pt" 
"S0718-560X2015000400008-chl","Estructura y distribución de los condrictios de aguas profundas en el Caribe colombiano","Paramo, Jorge, Pérez, Daniel, Acero, Arturo","Latin american journal of aquatic research; 43(4); 61-699","Latin american journal of aquatic research","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2015000400008&lang=pt" 
"S0717-95022015000300059-chl","Impresiones 3D, Nueva Tecnología que Apoya la Docencia Anatómica","Inzunza, Oscar, Caro, Iván, Mondragón, Germán, Baeza, Felipe, Burdiles, Álvaro, Salgado, Guillermo","International Journal of Morphology; 33(3); 1176-1182","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300059&lang=pt" 
"S0717-95022015000300058-chl","Output Relations of Humeral Circumflex Arteries and its Variations","Fontes, E. B, Precht, B. L. C, Andrade, R. C. L, Fernandes, R. M. P, Cisne, R","International Journal of Morphology; 33(3); 1171-1175","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000300058&lang=pt" 
"S0718-560X2015000400018-chl","Apparent digestibility of energetic ingredients by pirarucu juveniles, Arapaima gigas (Schinz, 1822)","Santos-Cipriano, Filipe dos, Lima, Kauana Santos de, Bevitório-Passinato, Érica, Jesus, Raildo Mota de, Magalhães Júnior, Francisco Oliveira de, Teles-Tonini, William Cristiane, Tavares-Braga, Luis Gustavo","Latin american journal of aquatic research; 43(4); 786-791","Latin american journal of aquatic research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2015000400018&lang=pt" 
"S0718-560X2015000400019-chl","Anticipation of Artemia sp. supply in the larviculture of the barber goby Elacatinus figaro (Gobiidae: Teleostei) influenced growth, metamorphosis and alkaline protease activity","Silva-Souza, Maria Fernanda da, Sugai, Juliet Kiyoko, Tsuzuki, Mônica Yumi","Latin american journal of aquatic research; 43(4); 792-797","Latin american journal of aquatic research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2015000400019&lang=pt" 
"S0718-560X2015000400012-chl","Inclusion of copepod Acartia tonsa nauplii in the feeding of Centropomus undecimalis larvae increases stress resistance","Melo-Costa, Wanessa de, Carvalho, Cristina Vaz Avelar de, Passini, Gabriel, Teles, Andressa, Sozo-Cecchini, Manuela, Ronzani-Cerqueira, Vinicius","Latin american journal of aquatic research; 43(4); 739-744","Latin american journal of aquatic research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2015000400012&lang=pt" 
"S0718-560X2015000400010-chl","Identificación de stocks pesqueros de la corvina de río (Plagioscion ternetzi) de los ríos Paraguay y Paraná, mediante el análisis morfométrico de sus otolitos","Avigliano, Esteban, Comte, Guy, Rosso, Juan José, Mabragaña, Ezequiel, Rosa, Paola Della, Sanchez, Sebastian, Volpedo, Alejandra, Rosso, Franco del, Schenone, Nahuel Federico","Latin american journal of aquatic research; 43(4); 718-725","Latin american journal of aquatic research","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2015000400010&lang=pt" 
"S0719-37692015000300005-chl","Discurso del profesor Alberto van Klaveren en recepción del Doctorado Honoris Causa por la Pontificia Universidad Católica de Valparaíso","","Estudios internacionales (Santiago); 47(182); 105-117","Estudios internacionales (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-37692015000300005&lang=pt" 
"S1415-790X2015000500001-spa","New HIV prevention methods: recognizing boundaries between individual autonomy and public policies","Grangeiro, Alexandre, Kuchenbecker, Ricardo, Veras, Maria Amélia","Revista Brasileira de Epidemiologia; 18(); 1-4","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000500001&lang=pt" 
"S0719-37692015000300006-chl","El sistema internacional y América Latina a 50 años del Concilio Vaticano II y de sus propuestas sobre la comunidad entre los pueblos","Allard Neumann, Raúl","Estudios internacionales (Santiago); 47(182); 119-140","Estudios internacionales (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-37692015000300006&lang=pt" 
"S0719-37692015000300008-chl","Historia de las relaciones comerciales formativas de Chile con Perú. Orígenes coloniales y alborada de la Independencia, Eduardo Téllez y Germán Alburquerque (editores)","Castillo, María Victoria","Estudios internacionales (Santiago); 47(182); 153-157","Estudios internacionales (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-37692015000300008&lang=pt" 
"S0719-37692015000300007-chl","Hoteles de cinco estrellas: las nuevas plazas globales y el rol de Asia","Wilhelmy von Wolff, Manfred","Estudios internacionales (Santiago); 47(182); 141-152","Estudios internacionales (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-37692015000300007&lang=pt" 
"S0719-37692015000300004-chl","Costos para la Región de Arica y Parinacota incurridos por el cumplimiento del Tratado de Paz y Amistad de 1904 y otras facilidades concedidas por Chile a Bolivia","Thomson Newman, Ian, Bradanovich Pozo, Tomás","Estudios internacionales (Santiago); 47(182); 79-103","Estudios internacionales (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-37692015000300004&lang=pt" 
"S0719-37692015000300003-chl","Los desafíos ambientales de las poblaciones indígenas en el Ártico","Torrecuadrada García-Lozano, Soledad, Fernández Egea, Rosa María","Estudios internacionales (Santiago); 47(182); 57-77","Estudios internacionales (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-37692015000300003&lang=pt" 
"S2237-96222015000300551-spa","Violência contra a mulher: descrição das denúncias em um Centro de Referência de Atendimento à Mulher de Cajazeiras, Paraíba, 2010 a 2012","Costa, Milena Silva, Serafim, Márcia Luana Firmino, Nascimento, Aissa Romina Silva do","Epidemiologia e Serviços de Saúde; 24(3); 551-558","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300551&lang=pt" 
"S2237-96222015000300475-spa","Caracterização dos casos suspeitos de dengue internados na capital do estado de Goiás em 2013: período de grande epidemia","Nascimento, Laura Branquinho do, Oliveira, Patrícia dos Santos, Magalhães, Daniel de Paiva, França, Divânia Dias da Silva, Magalhães, Alessandro Leonardo Álvares, Silva, Juliana Brasiel, Silva, Flúvia Pereira Amorim da, Lima, Dione Marçal","Epidemiologia e Serviços de Saúde; 24(3); 475-484","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300475&lang=pt" 
"S2237-96222015000300421-spa","Avaliação da atenção secundária em saúde bucal do Centro de Especialidades Odontológicas de Pelotas, Rio Grande do Sul, 2012-2013","Laroque, Mariane Baltassare, Fassa, Anaclaudia Gastal, Castilhos, Eduardo Dickie de","Epidemiologia e Serviços de Saúde; 24(3); 421-430","Epidemiologia e Serviços de Saúde","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300421&lang=pt" 
"S2237-96222015000300559-spa","Implementação do Programa Municipal de Controle da Tuberculose em Marataízes-ES, 2012","Garcia, Érica Marvila, Leal, Marcelle Lemos","Epidemiologia e Serviços de Saúde; 24(3); 559-564","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300559&lang=pt" 
"S1415-790X2015000500156-spa","Different preventions methods lead to different choices? Questions on HIV/AIDS prevention for men who have sex with men and other vulnerable populations","Terto Jr., Veriano","Revista Brasileira de Epidemiologia; 18(); 156-168","Revista Brasileira de Epidemiologia","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2015000500156&lang=pt" 
"S2237-96222015000300497-spa","Condições de saneamento básico em áreas hiperendêmicas para esquistossomose no estado de Pernambuco em 2012","Saucha, Camylla Veloso Valença, Silva, José Alexandre Menezes da, Amorim, Liliane Barbosa","Epidemiologia e Serviços de Saúde; 24(3); 497-506","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300497&lang=pt" 
"S2237-96222015000300351-spa","Discriminação nos serviços de saúde","Bastos, João Luiz, Garcia, Leila Posenato","Epidemiologia e Serviços de Saúde; 24(3); 351-352","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300351&lang=pt" 
"S2237-96222015000300541-spa","Discriminação e saúde: um problema de acesso","Massignam, Fernando Mendes, Bastos, João Luiz Dornelles, Nedel, Fúlvio Borges","Epidemiologia e Serviços de Saúde; 24(3); 541-544","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300541&lang=pt" 
"S2237-96222015000300507-spa","Avaliação dos indicadores epidemiológicos e operacionais para a hanseníase em municípios prioritários no estado do Paraná, 2001 a 2010","Oliveira, Keurilene Sutil de, Souza, Jhenifer de, Campos, Regiane Bezerra, Zilly, Adriana, Silva-Sobrinho, Reinaldo Antonio","Epidemiologia e Serviços de Saúde; 24(3); 507-516","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300507&lang=pt" 
"S2237-96222015000300517-spa","Estimativa da carga de doença por aids em Florianópolis, Santa Catarina, Brasil, 2009","Traebert, Jefferson, Silva, Mariah Fernandes, Nickel, Daniela Alba, Schneider, Ione Jayce Ceola","Epidemiologia e Serviços de Saúde; 24(3); 517-522","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300517&lang=pt" 
"S2237-96222015000300431-spa","Fatores associados à ausência de registro de nascimento em cartório localizado em maternidade do Sistema Único de Saúde, Nova Iguaçu-RJ, 2012","Nascimento, Maria Isabel do, Flauzino, Regina Fernandes, Cunha, Mara Catarina da, Silva, Gemima Pestana Rafael da, Rocha, Luana Bezerra da","Epidemiologia e Serviços de Saúde; 24(3); 431-440","Epidemiologia e Serviços de Saúde","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300431&lang=pt" 
"S0719-37692015000300001-chl","Tratamiento político de la emigración exterior española en el tardofranquismo (1974-1977)","Azcona, José Manuel","Estudios internacionales (Santiago); 47(182); 9-35","Estudios internacionales (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-37692015000300001&lang=pt" 
"S0719-37692015000300002-chl","El Congreso Nacional de Chile y el proceso de ratificación del Tratado de Libre Comercio con los Estados Unidos de América","Baeza Freer, Jaime, López Varas, Miguel Ángel","Estudios internacionales (Santiago); 47(182); 37-55","Estudios internacionales (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-37692015000300002&lang=pt" 
"S2237-96222015000300523-spa","Soroprevalência do vírus linfotrópico de células T humanas (HTLV) entre doadores de sangue em hemocentros de Maringá-Paraná e Boa Vista-Roraima","Semeão, Lucas Emmanuel da Silva, Roque, Daniela Ribeiro, Francisco Sobrinho, Têdi, Costa, Cássia Kely Favoretto, Dodorico, Marisa, Yamaguchi, Mirian Ueda","Epidemiologia e Serviços de Saúde; 24(3); 523-529","Epidemiologia e Serviços de Saúde","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S2237-96222015000300523&lang=pt" 
"S0103-73312015000300705-spa","Paradoxos na construção do SUS","Campos, Gastão Wagner de Sousa","Physis: Revista de Saúde Coletiva; 25(3); 705-708","Physis: Revista de Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312015000300705&lang=pt" 
"S1605-25282015000200001-bol","La lista roja de ecosistemas como componente esencial del observatorio de la biodiversidad en Bolivia","Fernández, Miguel, Zambrana-Torrelio, Carlos","Ecología en Bolivia; 50(2); 60-65","Ecología en Bolivia","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1605-25282015000200001&lang=pt" 
"S1605-25282015000200002-bol","Plantas medicinales comercializadas por las chifleras de La Paz y El Alto (Bolivia)","Justo-Chipana, Maida, Moraes R., Mónica","Ecología en Bolivia; 50(2); 66-90","Ecología en Bolivia","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1605-25282015000200002&lang=pt" 
"S0103-73312015000300863-spa","Cartografia dos caminhos de um usuário de serviços de saúde mental: produção de si e da cidade para desinstitucionalizar","Carvalho, Maria de Nasaré, Franco, Tulio Batista","Physis: Revista de Saúde Coletiva; 25(3); 863-884","Physis: Revista de Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312015000300863&lang=pt" 
"S0103-73312015000300951-spa","Entre idas e vindas: histórias de homens sobre seus itinerários ao serviço de saúde para diagnóstico e tratamento de HIV/Aids","Silva, Luis Augusto V. da, Santos, Melquisedec, Dourado, Inês","Physis: Revista de Saúde Coletiva; 25(3); 951-973","Physis: Revista de Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312015000300951&lang=pt" 
"S0103-73312015000300709-spa","The &quot;mild-torture economy&quot;: exploring the world of professional research subjects and its ethical implications","Abadie, Roberto","Physis: Revista de Saúde Coletiva; 25(3); 709-728","Physis: Revista de Saúde Coletiva","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312015000300709&lang=pt" 
"S0103-73312015000300993-spa","Afetividade e seus sentidos no trabalho do agente comunitário de saúde","Moura, Raul Franklin Sarabando de, Silva, Carlos Roberto de Castro e","Physis: Revista de Saúde Coletiva; 25(3); 993-1010","Physis: Revista de Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312015000300993&lang=pt" 
"S0103-73312015000300797-spa","Entre la escucha y el escuchar: psicoanálisis, psicoterapia y pobreza urbana en Buenos Aires","Epele, María E.","Physis: Revista de Saúde Coletiva; 25(3); 797-818","Physis: Revista de Saúde Coletiva","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312015000300797&lang=pt" 
