"S0717-73482006000100010-chl","PANORAMA","Cruz M, Edgardo","Revista chilena de enfermedades respiratorias; 22(1); 68-73","Revista chilena de enfermedades respiratorias","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482006000100010&lang=pt" 
"S0102-695X2006000100018-scl","Características físico-químicas e químicas e estudo preliminar de estabilidade de tinturas preparadas com espécies de arnica Lychnophora em comparação com Arnica montana","Maciel, Renata L., Moreira-Campos, Lígia M., Silva, Breno C., Brandão, Maria G. Lins","Revista Brasileira de Farmacognosia; 16(1); 99-104","Revista Brasileira de Farmacognosia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100018&lang=pt" 
"S0102-695X2006000100020-scl","Anti-inflammatory activity of alkaloids: a twenty-century review","Barbosa-Filho, José M., Piuvezam, Márcia R., Moura, Marcelo D., Silva, Marcelo S., Lima, Karla V. Batista, da-Cunha, Emídio V. Leitão, Fechine, Ivana M., Takemura, Orlando S.","Revista Brasileira de Farmacognosia; 16(1); 109-139","Revista Brasileira de Farmacognosia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2006000100020&lang=pt" 
"S1679-62252006000100006-scl","Evidence of habitat fragmentation affecting fish movement between the Patos and Mirim coastal lagoons in southern Brazil","Burns, Marcelo D. M., Garcia, Alexandre M., Vieira, João P., Bemvenuti, Marlise A., Marques, David M. L. Motta, Condini, Vinicius","Neotropical Ichthyology; 4(1); 69-72","Neotropical Ichthyology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252006000100006&lang=pt" 
"S1679-62252006000100001-scl","Descriptive morphology and phylogenetic relationships among species of the Neotropical annual killifish genera Nematolebias and Simpsonichthys (Cyprinodontiformes: Aplocheiloidei: Rivulidae)","Costa, Wilson J. E. M.","Neotropical Ichthyology; 4(1); 1-26","Neotropical Ichthyology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252006000100001&lang=pt" 
"S0123-59232006000100003-col","LOS CONSORCIOS EXPORTADORES: ESTRATEGIA PARA VENDER EXTRALOCALMENTE","CAJIGAS ROMERO, MARGOT, RAMÍREZ, ELBAR","Estudios Gerenciales; 22(98); 57-81","Estudios Gerenciales","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232006000100003&lang=pt" 
"S0123-59232006000100007-col","MODELO DE GERENCIA PARA TOMA DE DECISIONES EN SALUD PERINATAL","MEJÍA LÓPEZ, JORGE, JARAMILLO MEJÍA, MARTA CECILIA","Estudios Gerenciales; 22(98); 141-176","Estudios Gerenciales","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232006000100007&lang=pt" 
"S0365-05962006000200001-scl","O fator de impacto dos Anais e sua inserção no universo científico nacional","Gontijo, Bernardo, Marques, Sílvio Alencar, Vale, Everton Siviero do","Anais Brasileiros de Dermatologia; 81(2); 109-110","Anais Brasileiros de Dermatologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962006000200001&lang=pt" 
"S0103-507X2006000100009-scl","Qualidade e humanização do atendimento em Medicina Intensiva. Qual a visão dos familiares?","Wallau, Rodrigo Ambros, Guimarães, Hélio Penna, Falcão, Luiz Fernando dos Reis, Lopes, Renato Delascio, Leal, Patrícia Helena da Rocha, Senna, Ana Paula Resque, Alheira, Rosa Goldstein, Machado, Flávia Ribeiro, Amaral, José Luiz Gomes do","Revista Brasileira de Terapia Intensiva; 18(1); 45-51","Revista Brasileira de Terapia Intensiva","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2006000100009&lang=pt" 
"S0080-62342006000100020-scl","Trabalho e saúde no cotidiano de enfermagem em um serviço público de pronto-socorro","Dal Pai, Daiane, Lautert, Liana","Revista da Escola de Enfermagem da USP; 40(1); 134-134","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100020&lang=pt" 
"S0080-62342006000100001-scl","Publique e seja criticado","Robinson, Jane","Revista da Escola de Enfermagem da USP; 40(1); 7-8","Revista da Escola de Enfermagem da USP","Inglês, Português, Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100001&lang=pt" 
"S0080-62342006000100003-scl","Doenças músculo-esqueléticas, trabalho-esqueléticas, trabalho e estilo de vida entre trabalhadores de estilo de uma instituição pública de saúde","Monteiro, Maria Silvia, Alexandre, Neusa Maria Costa, Rodrigues, Cinthia Mendes","Revista da Escola de Enfermagem da USP; 40(1); 20-25","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100003&lang=pt" 
"S0080-62342006000100009-scl","Inspeção dos Programas de Controle de Infecção Hospitalar dos Serviços de Saúde pela Vigilância Sanitária: diagnóstico de situação","Giunta, Adriana do Patrocinio Nunes, Lacerda, Rubia Aparecida","Revista da Escola de Enfermagem da USP; 40(1); 64-70","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100009&lang=pt" 
"S0080-62342006000100013-scl","Organizações sociais e instituições governamentais: perspectivas de parceria na atenção à saúde da criança através dos voluntários e da pastoral da criança","Andrade, Raquel Dully, Mello, Débora Falleiros de","Revista da Escola de Enfermagem da USP; 40(1); 93-97","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100013&lang=pt" 
"S0080-62342006000100016-scl","O processo de implementação do diagnóstico de enfermagem no Hospital Universitário da Universidade de São Paulo","Lima, Antônio Fernandes Costa, Kurcgant, Paulina","Revista da Escola de Enfermagem da USP; 40(1); 111-116","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100016&lang=pt" 
"S0080-62342006000100018-scl","A doença mental sob o olhar de pacientes e familiares","Spadini, Luciene Simões, Souza, Maria Conceição Bernardo de Mello e","Revista da Escola de Enfermagem da USP; 40(1); 123-127","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100018&lang=pt" 
"S0080-62342006000100002-scl","A inserção do ensino de custos na disciplina administração aplicada à enfermagem","Francisco, Ivone Maria Fonseca, Castilho, Valéria","Revista da Escola de Enfermagem da USP; 40(1); 13-19","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100002&lang=pt" 
"S0080-62342006000100004-scl","Diagnósticos de enfermagem no perioperatório de cirurgia cardíaca","Galdeano, Luzia Elaine, Rossi, Lídia Aparecida, Santos, Cláudia B. dos, Dantas, Rosana Aparecida S.","Revista da Escola de Enfermagem da USP; 40(1); 26-33","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100004&lang=pt" 
"S0080-62342006000100005-scl","Restrições causadas pela incontinência urinária à vida da mulher","Lopes, Maria Helena Baena de Moraes, Higa, Rosângela","Revista da Escola de Enfermagem da USP; 40(1); 34-41","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100005&lang=pt" 
"S0080-62342006000100006-scl","O significado de ser mãe de um filho portador de cardiopatia: um estudo fenomenológico","Carine, Ribeiro, Madeira, Anézia Moreira Faria","Revista da Escola de Enfermagem da USP; 40(1); 42-49","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100006&lang=pt" 
"S0080-62342006000100007-scl","Mortalidade materna na perspectiva do familiar","Gomes, Flávia Azevedo, Nakano, Ana Márcia Spanó, Almeida, Ana Maria de, Matuo, Yuriko Kanashiro","Revista da Escola de Enfermagem da USP; 40(1); 50-56","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100007&lang=pt" 
"S0080-62342006000100010-scl","Satisfação do paciente com os cuidados de enfermagem: comparação entre dois hospitais","Oliveira, Acácia Maria Lima de, Guirardello, Edinêis de Brito","Revista da Escola de Enfermagem da USP; 40(1); 71-77","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100010&lang=pt" 
"S0080-62342006000100011-scl","Conhecimentos e práticas de trabalhadoras de creches universitárias relativos às infecções respiratórias agudas na infância","Alves, Roberta Cristiane P., Veríssimo, Maria De Lá Ó Ramallo","Revista da Escola de Enfermagem da USP; 40(1); 78-85","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100011&lang=pt" 
"S0080-62342006000100012-scl","A influência da ansiedade nas estratégias de enfrentamento utilizadas no período pré-operatório","Medeiros, Veronica Cecilia Calbo de, Peniche, Aparecida de Cássia Giani","Revista da Escola de Enfermagem da USP; 40(1); 86-92","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100012&lang=pt" 
"S0080-62342006000100014-scl","Contribuições da psicometria para a avaliação de respostas psicossociais na enfermagem","Braga, Cristiane Giffoni, Cruz, Diná de Almeida Lopes Monteiro da","Revista da Escola de Enfermagem da USP; 40(1); 98-104","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100014&lang=pt" 
"S0080-62342006000100015-scl","Educação continuada em enfermagem psiquiátrica: reflexão sobre conceitos","Girade, Maria da Graça, Cruz, Emirene Maria Navarro Trevizan da, Stefanelli, Maguida Costa","Revista da Escola de Enfermagem da USP; 40(1); 105-110","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100015&lang=pt" 
"S0080-62342006000100017-scl","Liderança no contexto da enfermagem","Balsanelli, Alexandre Pazetto, Cunha, Isabel Cristina Kowal Olm","Revista da Escola de Enfermagem da USP; 40(1); 117-122","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100017&lang=pt" 
"S0080-62342006000100019-scl","Enfermagem em Reabilitação: ampliando os horizontes, legitimando o saber","Faro, Ana Cristina Mancussi e","Revista da Escola de Enfermagem da USP; 40(1); 128-133","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100019&lang=pt" 
"S0080-62342006000100008-scl","O efeito do banho de imersão na duração do trabalho de parto","Silva, Flora Maria Barbosa da, Oliveira, Sonia Maria Junqueira Vasconcelos de","Revista da Escola de Enfermagem da USP; 40(1); 57-63","Revista da Escola de Enfermagem da USP","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342006000100008&lang=pt" 
"S0798-72692006000100004-ven","Actividad antimicrobiana de propóleos provenientes de dos zonas climáticas del estado Miranda, Venezuela. Efecto de la variación estacional","Manrique, Antonio J","Zootecnia Tropical; 24(1); 43-53","Zootecnia Tropical","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692006000100004&lang=pt" 
"S0798-72692006000100001-ven","Variables hematológicas y bioquímicas en la trucha arcoiris, relacionadas con la condición hepática y la edad","Bastardo, Hilda, Scorza, Cecilia, Sofía, Sara","Zootecnia Tropical; 24(1); 1-15","Zootecnia Tropical","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692006000100001&lang=pt" 
"S0798-72692006000100002-ven","Cambios físicos-químicos y microbiológicos observados durante el proceso tecnológico de la conserva de atún","Márquez Figueroa, Yunilde del Valle, Mercedes Cabello, Ana, Villalobos, Luz Bettina, Guevara, Gracia, Figuera García, Bertha Elena, Vallenilla González, Osmicar Manuel","Zootecnia Tropical; 24(1); 17-29","Zootecnia Tropical","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692006000100002&lang=pt" 
"S0798-72692006000100003-ven","Suplementación con cama de pollo a vacas lactantes durante la época lluviosa","García de Hernández, edes, Sánchez, Cecilia, Marín, Carlos, Caruci, Pastor","Zootecnia Tropical; 24(1); 31-42","Zootecnia Tropical","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692006000100003&lang=pt" 
"S0798-72692006000100005-ven","Efecto de la suplementación con follaje de Leucaena leucocephala sobre la ganancia de peso de ovinos desparasitados y no desparasitados contra estrongílidos digestivos","Medina, Rosa, Sánchez, Alexander","Zootecnia Tropical; 24(1); 55-68","Zootecnia Tropical","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692006000100005&lang=pt" 
"S0798-72692006000100006-ven","Efecto de las leguminosas arbóreas y la suplementación con concentrado sobre la producción de leche y cambio de peso en vacas doble propósito","Urbano, Diannelis, Dávila, Ciro, Moreno, Pedro","Zootecnia Tropical; 24(1); 69-83","Zootecnia Tropical","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692006000100006&lang=pt" 
"S0798-72692006000100007-ven","Comportamiento fenológico y producción de frutos de algunas especies leñosas del bosque deciduo en el asentamiento Las Peñitas, al sur del estado Aragua","Valero, José, Benezra, Miguel, Chong, Luis, Guenni, Orlando","Zootecnia Tropical; 24(1); 85-93","Zootecnia Tropical","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692006000100007&lang=pt" 
"S0104-07072006000100019-scl","A violência na infância como uma questão cultural","Ricas, Janete, Donoso, Miguir Terezinha Vieccelli, Gresta, Mona Lisa Maria","Texto &amp; Contexto - Enfermagem; 15(1); 151-154","Texto &amp; Contexto - Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100019&lang=pt" 
"S0104-07072006000100021-scl","A identidade cultural na pós-modernidade","Teixeira, Elisabeth","Texto &amp; Contexto - Enfermagem; 15(1); 162-163","Texto &amp; Contexto - Enfermagem","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100021&lang=pt" 
"S0104-07072006000100001-scl","Editorial","Monticelli, Marisa","Texto &amp; Contexto - Enfermagem; 15(1); 11-12","Texto &amp; Contexto - Enfermagem","Inglês, Português, Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072006000100001&lang=pt" 
"S0016-71692006000100001-mex","Scattering and diffraction of elastic P- and S-waves by a spherical obstacle: A review of the classical solution","Ávila-Carrera, R, Sánchez-Sesma, F. J","Geofísica internacional; 45(1); 3-21","Geofísica internacional","Inglês","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0016-71692006000100001&lang=pt" 
"S0016-71692006000100002-mex","Seismicity, focal mechanisms, and stress distribution in the Tres Vírgenes volcanic and geothermal region, Baja California Sur, Mexico","Wong, Victor, Munguía, Luis","Geofísica internacional; 45(1); 23-37","Geofísica internacional","Inglês","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0016-71692006000100002&lang=pt" 
"S0016-71692006000100003-mex","A magnetic survey of mineral resources in northeastern Cuba","Batista Rodríguez, José Alberto","Geofísica internacional; 45(1); 39-61","Geofísica internacional","Inglês","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0016-71692006000100003&lang=pt" 
"S0016-71692006000100004-mex","Geoelectrical characterization of a site with hydrocarbon contamination caused by pipeline leakage","Delgado-Rodríguez, Omar, Shevnin, Vladimir, Ochoa-Valdés, Jesús, Ryjov, Albert","Geofísica internacional; 45(1); 63-72","Geofísica internacional","Inglês","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0016-71692006000100004&lang=pt" 
"S0016-71692006000100005-mex","A resistivity survey of phosphate deposits containing hardpan pockets in Oulad Abdoun, Morocco","Bakkali, Saad","Geofísica internacional; 45(1); 73-82","Geofísica internacional","Inglês","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0016-71692006000100005&lang=pt" 
"S0120-62302006000200010-col","Influencia de la temperatura y nivel de energía de compactación en las propiedades dinámicas de una mezcla asfáltica","Reyes Ortiz, Óscar Javier, Camacho Taut, Javier Fernando, Reyes Lizcano, Fredy","Revista Facultad de Ingeniería Universidad de Antioquia; (36); 121-130","Revista Facultad de Ingeniería Universidad de Antioquia","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302006000200010&lang=pt" 
"S0120-62302006000200005-col","Análisis de confiabilidad para herramientasde corte aplicado al proceso de taladrado","Patiño Rodríguez, Carmen Elena, Martha de Souza, Gilberto Francisco","Revista Facultad de Ingeniería Universidad de Antioquia; (36); 56-69","Revista Facultad de Ingeniería Universidad de Antioquia","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302006000200005&lang=pt" 
"S0120-62302006000200006-col","Modelo matemático para los fenómenos de combustión en un horno de cubilote","Aristizábal Sierra, Ricardo, Mejía, Héctor Daniel, Silva, Claudia, Pinedaa, Diego Alfonso, Rojas, Marcelo","Revista Facultad de Ingeniería Universidad de Antioquia; (36); 70-84","Revista Facultad de Ingeniería Universidad de Antioquia","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302006000200006&lang=pt" 
"S0120-62302006000200004-col","Síntesis de nopol a partir de β-pineno y aceite de trementina con el catalizador Sn-MCM-41","Alarcón Durango, Edwin, Villa de P., Aída Luz, Montes de Correa, Consuelo","Revista Facultad de Ingeniería Universidad de Antioquia; (36); 44-55","Revista Facultad de Ingeniería Universidad de Antioquia","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302006000200004&lang=pt" 
"S0120-62302006000200007-col","Evaluación del impacto ambiental del proceso de obtención de alcohol carburante utilizando el algoritmo de reducción de residuos","Montoya R, María Isabel, Quintero S, Julián Andrés, Sánchez T, Óscar Julián, Cardona A, Carlos Ariel","Revista Facultad de Ingeniería Universidad de Antioquia; (36); 85-95","Revista Facultad de Ingeniería Universidad de Antioquia","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302006000200007&lang=pt" 
"S0120-62302006000200001-col","Tecnologías de fabricación rápida: Optimización y mejora de la tecnología de mecanizado rápido-Coproinmold","Coba Salcedo, Milton, Serres Moliner, Esther","Revista Facultad de Ingeniería Universidad de Antioquia; (36); 07-20","Revista Facultad de Ingeniería Universidad de Antioquia","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302006000200001&lang=pt" 
"S0120-62302006000200003-col","Caracterización de las propiedades mecánicas y microestructurales de soldaduras empleadas en la recuperación de ejes","Cerón Bolaños, César, Rivas, John Sandro, Coronado, John Jairo","Revista Facultad de Ingeniería Universidad de Antioquia; (36); 33-43","Revista Facultad de Ingeniería Universidad de Antioquia","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302006000200003&lang=pt" 
"S0120-62302006000200002-col","Respuesta transitoria de las puestas a tierra en la protección contra rayos: Software GTIERRAS","Gómez Montoya, Héctor David, Velilla Hernández, Esteban, Moreno O., Germán, Valencia, Jaime Alejandro","Revista Facultad de Ingeniería Universidad de Antioquia; (36); 21-32","Revista Facultad de Ingeniería Universidad de Antioquia","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302006000200002&lang=pt" 
"S0120-62302006000200009-col","Extracción líquido - líquido de bario con DEPHA: equilibrio químico","Duperly Yaruro, Gladis, Laverde, Dionisio Antonio, Escalante, Humberto","Revista Facultad de Ingeniería Universidad de Antioquia; (36); 110-120","Revista Facultad de Ingeniería Universidad de Antioquia","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302006000200009&lang=pt" 
"S0120-62302006000200008-col","Uso de un aditivo biológico para mejorar las propiedades físico-mecánicas y térmicas del hormigón","Sánchez Henao, Claudia Patricia, Jiménez Castrillón, Diego Andrés, Ruiz Múnera, Jorge Ignacio","Revista Facultad de Ingeniería Universidad de Antioquia; (36); 96-109","Revista Facultad de Ingeniería Universidad de Antioquia","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302006000200008&lang=pt" 
"S2011-75822006000100006-col","Cuadrantectomía con mastopexia tipo &quot;donut&quot; versus cuadrantectomía estándar en cáncer de seno: un estudio comparativo prospectivo","López, María Clara, El Gareh, Nouredine, Dubon, Olivier, Daurés, Jean Pierre, Robledo, José Fernando, Giacalone, Pierre-Ludovic","Revista Colombiana de Cirugía; 21(1); 39-47","Revista Colombiana de Cirugía","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822006000100006&lang=pt" 
"S2011-75822006000100007-col","Programa de detección endoscópica del cáncer gástrico con especial atención a las formas tempranas Estudio en poblaciones de riesgo en Caldas, febrero de 1992 a febrero de 1997","Arango Molano, Lázaro Antonio, Santacoloma Osorio, Mario, Ángel Pinzón, Alberto, Franco Marín, Sigifredo, Pava Marín, Rafael, Salazar, Hernán Darío, Chacón, José Arnoby","Revista Colombiana de Cirugía; 21(1); 48-56","Revista Colombiana de Cirugía","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822006000100007&lang=pt" 
"S2011-75822006000100004-col","¿Se debe seguir usando la preparación preoperatoria de colon?","Sanabria, Álvaro, Valdivieso, Eduardo, Gómez, Gabriel","Revista Colombiana de Cirugía; 21(1); 23-28","Revista Colombiana de Cirugía","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822006000100004&lang=pt" 
"S2011-75822006000100005-col","Endarterectomía carotídea: resultados perioperatorios y a mediano plazo, experiencia institucional","Fominaya Pardo, Roberto Carlos, Santos Rodríguez, Carlos Augusto, Cano Restrepo, Fidel Antonio","Revista Colombiana de Cirugía; 21(1); 29-38","Revista Colombiana de Cirugía","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822006000100005&lang=pt" 
"S2011-75822006000100002-col","Trauma duodenal. Técnica y manejo","Asensio, Juan A, Petrone, Patrizio, Kimbrell, Brian, Kuncir, Eric","Revista Colombiana de Cirugía; 21(1); 4-14","Revista Colombiana de Cirugía","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822006000100002&lang=pt" 
"S2011-75822006000100003-col","Iatrogenia en cirugía ¿Cómo evitarla?","Franco, Astolfo","Revista Colombiana de Cirugía; 21(1); 15-22","Revista Colombiana de Cirugía","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822006000100003&lang=pt" 
"S2011-75822006000100001-col","La Revista Colombiana de Cirugía","Rueda Gómez, Mario","Revista Colombiana de Cirugía; 21(1); 2-3","Revista Colombiana de Cirugía","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822006000100001&lang=pt" 
"S2011-75822006000100008-col","Resección de quiste pilonidal por radiofrecuencia: una mejor opción para la resección amplia y cicatrización con herida abierta","Gupta, Pravin J","Revista Colombiana de Cirugía; 21(1); 57-62","Revista Colombiana de Cirugía","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822006000100008&lang=pt" 
"S2011-75822006000100009-col","Divertículo epifrénico Descripción de un caso clínico y revisión de la literatura","Vega, Karina, Andrade-Alegre, Rafael, Lambraño, Luis","Revista Colombiana de Cirugía; 21(1); 63-67","Revista Colombiana de Cirugía","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822006000100009&lang=pt" 
"S2011-75822006000100010-col","Fe de Erratas","","Revista Colombiana de Cirugía; 21(1); 68-68","Revista Colombiana de Cirugía","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822006000100010&lang=pt" 
"S0123-93922006000100003-col","Incremento de los urocultivos positivos en un hospital de cuarto nivel de atención","LÓPEZ, JAIME ALBERTO, CUARTAS, MÓNICA CECILIA, MOLINA, OLGA LUCÍA, RESTREPO, ANA CRISTINA, MAYA, CLAUDIA YARELY, JARAMILLO, SERGIO, DONADO, JORGE HERNANDO","Infectio; 10(1); 15-21","Infectio","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-93922006000100003&lang=pt" 
"S0123-93922006000100002-col","Distribución de serotipos y patrón de sensibilidad in vitro a diferentes antibióticos de cepas de de cepas de Streptococcus pneumoniae obtenidas de niños menores de 15 años en aislamientos invasores en el departamento de Risaralda, 1999 a 2004","ECHEVERRI, FERNANDO, GIRALDO, CLAUDIA","Infectio; 10(1); 7-14","Infectio","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-93922006000100002&lang=pt" 
"S0123-93922006000100001-col","El registro de ensayos clínicos y las revistas biomédicas y las revistas biomédicas *","Lozano, Juan Manuel","Infectio; 10(1); 5-6","Infectio","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-93922006000100001&lang=pt" 
"S0123-93922006000100006-col","Primer consenso nacional para la prevención, el diagnóstico y el tratamiento de la neumonía hospitalaria","SEVERICHE, DIEGO, PRADA, GONZALO DAVID, DUEÑAS, CARMELO, SUSSMAN, OTTO, ÁLVAREZ, CARLOS, BUITRAGO, RICARDO, SAAVEDRA, ALFREDO, ORTIZ, GUILLERMO, HINCAPIÉ, GUSTAVO, VARGAS, MÓNICA","Infectio; 10(1); 37-48","Infectio","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-93922006000100006&lang=pt" 
"S0123-93922006000100005-col","Enfermedad de Kawasaki, reporte de casos","JARAMILLO, JUAN CAMILO, AGUIRRE, CARLOS ARTURO","Infectio; 10(1); 30-36","Infectio","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-93922006000100005&lang=pt" 
"S0123-93922006000100004-col","Bacterias con alta tasa de mutación: los riesgos de una vida acelerada","GALÁN, JUAN CARLOS, BAQUERO, MARÍA ROSARIO, MOROSINI, MARÍA ISABEL, BAQUERO, FERNANDO","Infectio; 10(1); 22-29","Infectio","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-93922006000100004&lang=pt" 
"S0120-05342006000100007-col","PARALELOS EVOLUTIVOS EN EL ESTUDIO DEL COMPORTAMIENTO:: CONSIDERACIONES EN TORNO AL PROBLEMA DEL MODO CAUSAL","ORTEGA, LEONARDO A","Revista Latinoamericana de Psicología; 38(1); 103-118","Revista Latinoamericana de Psicología","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-05342006000100007&lang=pt" 
"S0120-05342006000100006-col","ANÁLISIS CONCEPTUAL DEL APRENDIZAJE OBSERVACIÓNAL Y LA IMITACIÓN A CONCEPTUAL","ARRIAGA, J. C. PEDRO, ORTEGA, MARÍA GUADALUPE, MEZA, GUSTAVO, HUICHÁN, FRANCISCO, JUÁREZ, EDITH, RODRÍGUEZ, ADRIANA, CRUZ, SARA E","Revista Latinoamericana de Psicología; 38(1); 87-102","Revista Latinoamericana de Psicología","Espanhol","2006","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-05342006000100006&lang=pt" 
