"S1137-66272009000300011-esp","Neuritis óptica inflamatoria","Ayuso, T., Aliseda, D., Ajuria, I., Zandío, B., Mayor, S., Navarro, M.C.","Anales del Sistema Sanitario de Navarra; 32(2); 249-263","Anales del Sistema Sanitario de Navarra","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272009000300011&lang=pt" 
"S0102-09352009000400006-scl","Diferentes vias de administração da solução de fosfato monobásico e dibásico de sódio no preparo do cólon para colonoscopia rígida em cães","Trindade, A.B., Brun, M.V., Pöhl, V.H., Basso, P.C., Bortolini, C.E., Bracellos, L.J.G.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 797-804","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400006&lang=pt" 
"S0102-09352009000400007-scl","Fisioterapia após substituição artroscópica do ligamento cruzado cranial em cães: I - avaliação clínica, radiográfica e ultrassonográfica","Muzzi, L.A.L., Rezende, C.M.F., Muzzi, R.A.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 805-814","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400007&lang=pt" 
"S0102-09352009000400008-scl","Fisioterapia após substituição artroscópica do ligamento cruzado cranial em cães: II - avaliação artroscópica e anatomopatológica","Muzzi, L.A.L., Rezende, C.M.F., Muzzi, R.A.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 815-824","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400008&lang=pt" 
"S0102-09352009000400009-scl","Comparação entre a técnica de substituição do ligamento redondo por implante de fascia lata bubalina preservada em glicerina e o uso de pino transarticular na redução e na estabilização da luxação coxofemoral experimentalmente induzida em cães","Sia, D.B., Gomes, C., Contesini, E.A., Both, A.C., Souza, E.M., Ferreira, M.P., Gomes, H.M., Colomé, L.M., Ferreira, R.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 825-834","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400009&lang=pt" 
"S0102-09352009000400010-scl","Osseointegração clínica-radiológica do compósito hidroxiapatita-lignina entre implante metálico e tecido ósseo em coelho","Martinez, M.M., Borges, A.P.B., Pompermayer, L.G., Carlo, E.C., Vilela, L. M., Rates, D.M., Morato, G.O., Eleotério, R.B., Bicalho, S.M.C.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 835-843","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400010&lang=pt" 
"S0102-09352009000400011-scl","Resposta tecidual ao compósito 50% hidroxiapatita: 50% poli-hidroxibutirato para substituição óssea em coelhos","Carlo, E.C., Borges, A.P.B., Vargas, M.I.V., Martinez, M.M., Eleotério, R.B., Dias, A.R., Rodrigues, M.C.D.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 844-852","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400011&lang=pt" 
"S0102-09352009000400012-scl","Perfis eletrocardiográfico e ecodopplercardiográfico de ovinos após ingestão da suspensão aquosa de Mascagnia rigida Griseb. (Malpighiaceae).","Lago, E.P., Melo, M.M., Araújo, R.B., Nascimento, E.F., Silva, E.F., Melo, M.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 854-862","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400012&lang=pt" 
"S0102-09352009000400014-scl","Identificação diferencial de Rhodococcus equi e Dietzia maris em bubalinos","Viana, L.R., Krewer, C.C., Drescher, G., Lazzari, A., Botton, S.A., Costa, M.M., Loreto, E.L.S., Vargas, A.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 869-876","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400014&lang=pt" 
"S0102-09352009000400015-scl","Potencial acaricida do óleo de andiroba Carapa guianensis Aubl. sobre fêmeas adultas ingurgitadas de Anocentor nitens Neumann, 1897 e Rhipicephalus sanguineus Latreille, 1806","Farias, M.P.O., Sousa, D.P., Arruda, A.C., Wanderley, A.G., Teixeira, W.C., Alves, L.C., Faustino, M.A.G.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 877-882","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400015&lang=pt" 
"S0102-09352009000400016-scl","Sensibilidade dos espermatozoides de dourado (Salminus brasiliensis) a diferentes soluções crioprotetoras","Viveiros, A.T.M., Oliveira, A.V., Maria, A.N., Orfão, L.H., Souza, J.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 883-889","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400016&lang=pt" 
"S0102-09352009000400018-scl","Digestibilidade e metabólitos sanguíneos de vacas da raça Holandesa superovuladas que receberam Lac100® ou linhaça em grão como fontes de gordura","Cavalieri, F.L.B., Santos, G.T., Silva, D.C., Rigolon, L.P., Damasceno, J.C., Capovilla, L.C., Betini, C.M., Ramos, F.S., Petit, H.V.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 896-902","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400018&lang=pt" 
"S0102-09352009000400020-scl","Efeitos da fonte de enxofre sobre a população de protozoários e degradabilidade no rúmen","Saran Netto, A., Zanetti, M.A., Paiva, F.A., Salles, M.S.V., Del Claro, G.R., Lopes, L.C., Nogueira Filho, J.C.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 910-917","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400020&lang=pt" 
"S0102-09352009000400021-scl","Produção e qualidade do pasto de coastcross consorciado ou não com amendoim forrageiro com ou sem aplicação de nitrogênio","Lenzi, A., Cecato, U., Machado Filho, L.C.P., Gasparino, E., Roma, C.F.C., Barbero, L.M., Limão, V.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 918-926","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400021&lang=pt" 
"S0102-09352009000400022-scl","Desempenho animal e produtividade de pastagens tropicais no noroeste do Rio Grande do Sul","Maixner, A.R., Quadros, F.L.F., Montardo, D.P., Kozloski, G.V., Noronha, A., Aurélio, N.D., Rossi, G.E., Daniel, E., Brum, M.S., Bandinelli, D.G.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 927-934","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400022&lang=pt" 
"S0102-09352009000400023-scl","Influência do transporte e mudança de local de manejo nas variáveis fisiológicas e produtivas de cabras Alpinas","Canaes, T.S., Negrão, J.A., Paiva, F.A., Zaros, M., Delgado, T.F.G.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 935-940","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400023&lang=pt" 
"S0102-09352009000400024-scl","Detecção de QTL em dados de famílias estruturadas como as de um núcleo MOET por meio do método da regressão","Peixoto, M.G.C.D., Martinez, M.L., Teodoro, R.L., Machado, M.A., Carvalho, M.R.S., Gomes, F.C., Verneque, R.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 941-948","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400024&lang=pt" 
"S0102-09352009000400025-scl","Análise bayesiana na estimação de correlações genéticas entre escores visuais e características reprodutivas de bovinos Nelore utilizando modelos linear-limiar","Faria, C.U., Magnabosco, C.U., Albuquerque, L.G., de los Reyes, A., Bezerra, L.A.F., Lôbo, R.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 949-958","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400025&lang=pt" 
"S0102-09352009000400026-scl","Genetic evaluation for large data sets by random regression models in Nellore cattle","Nobre, P.R.C., Rosa, A.N., Silva, L.O.C.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 959-967","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400026&lang=pt" 
"S0102-09352009000400027-scl","Associação entre medidas lineares e angulares de equinos da raça Mangalarga Marchador","Lage, M.C.G.R., Bergmann, J.A.G., Procópio, A.M., Pereira, J.C.C., Biondini, J.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 968-979","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400027&lang=pt" 
"S0102-09352009000400028-scl","Immunocytochemical characterization of the cytopathic effect induced by bovine respiratory syncytial virus strain RC 98 on Hep-2 cells","Raviolo, J.M., Bagnis, G., Aguilar, J., Giraudo, J.A., Zielinski, G.C., Raviolo, J.E., Arns, C.W., Spilki, F.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 980-985","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400028&lang=pt" 
"S0718-16202009000200001-chl","Light-dependent regulation of carotenoid biosynthesis in plants","Pizarro, Lorena, Stange, Claudia","Ciencia e investigación agraria; 36(2); 143-162","Ciencia e investigación agraria","Inglês","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202009000200001&lang=pt" 
"S0718-16202009000200002-chl","The domestic pig (Sus scrofa domestica) as a model for evaluating nutritional and metabolic consequences of bariatric surgery practiced on morbid obese humans","Gandarillas, Mónica, Bas, Fernando","Ciencia e investigación agraria; 36(2); 163-176","Ciencia e investigación agraria","Inglês","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202009000200002&lang=pt" 
"S0718-16202009000200003-chl","Ethanol from lignocellulosic biomass","Abril, Diana, Abril, Alejandro","Ciencia e investigación agraria; 36(2); 163-176","Ciencia e investigación agraria","Inglês","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202009000200003&lang=pt" 
"S1413-70542009000400004-scl","Crescimento e produção de hastes florais de gladíolo cultivado sob diferentes tensões de água no solo","Pereira, Joelma Rezende Durão, Carvalho, Jacinto de Assunção, Paiva, Patrícia Duarte de Oliveira, Silva, Douglas José da, Souza, Alexandre Márcio Gomes de, Souza, Kleber Junio de","Ciência e Agrotecnologia; 33(4); 965-970","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000400004&lang=pt" 
"S1413-70542009000400002-scl","Application of different fertilizers in substrate for Kalanchoe luciae Raym.-Hamet cultivation","Lessa, Marília Andrade, Paiva, Patrícia Duarte de Oliveira, Alves, Camila Magalhães Lameiras, Resende, Maria Leandra","Ciência e Agrotecnologia; 33(4); 950-955","Ciência e Agrotecnologia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000400002&lang=pt" 
"S1413-70542009000400017-scl","Uma abordagem bayesiana para o mapeamento de QTLS utilizando o método MCMC com saltos reversíveis","Silva, Joseane Padilha da, Leandro, Roseli Aparecida","Ciência e Agrotecnologia; 33(4); 1061-1070","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000400017&lang=pt" 
"S1413-70542009000400030-scl","Crescimento e deposição de nutrientes nas penas, músculo, ossos e pele de frangos de corte de duas linhagens comerciais","Marcato, Simara Márcia, Sakomura, Nilva Kazue, Fernandez, João Batista K., Nascimento, Daphinne Cardoso Nagib, Furlan, Renato Luis, Piva, Gustavo Henrique","Ciência e Agrotecnologia; 33(4); 1159-1168","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000400030&lang=pt" 
"S1413-70542009000400029-scl","Composição e cinética de degradação do ácido ascórbico em rações para aquicultura","Guilherme, Ricardo de Figueiredo, Cavalheiro, José Marcelino Oliveira, Brasileiro, Olivaldo Lacerda, Prado, João Paulo de Sousa, Cavalheiro, Thiago Brandão","Ciência e Agrotecnologia; 33(4); 1153-1158","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000400029&lang=pt" 
"S1413-70542009000400028-scl","Qualidade da água do Ribeirão Lavrinha na região Alto Rio Grande - MG, Brasil","Pinto, Daniel Brasil Ferreira, Silva, Antônio Marciano da, Mello, Carlos Rogério de, Coelho, Gilberto","Ciência e Agrotecnologia; 33(4); 1145-1152","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000400028&lang=pt" 
"S1413-70542009000400023-scl","Evolução dos preços históricos da bovinocultura de corte do Rio Grande do Sul: tendência e comportamento dos preços em nível de produtor e consumidor","Viana, João Garibaldi Almeida, Souza, Renato Santos de, Silveira, Vicente Celestino Pires","Ciência e Agrotecnologia; 33(4); 1109-1117","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000400023&lang=pt" 
"S1413-70542009000400025-scl","Desempenho de motor diesel quatro tempos alimentado com biodiesel de óleo de soja (B 100)","Volpato, Carlos Eduardo Silva, Conde, Alexon do Prado, Barbosa, Jackson Antonio, Salvador, Nilson","Ciência e Agrotecnologia; 33(4); 1125-1130","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000400025&lang=pt" 
"S1413-70542009000400027-scl","Hydrodynamic behavior of a lab-scale upflow anaerobic sludge blanket reactor (UASB) operated with an adopted hydraulic retention time (HRT) of 12 hours","Lourenço, Aguinaldo Menegassi Pereira, Campos, Cláudio Milton Montenegro","Ciência e Agrotecnologia; 33(4); 1139-1144","Ciência e Agrotecnologia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000400027&lang=pt" 
"S0100-39842009000400004-scl","Qual o seu diagnóstico?","Santana Júnior, Pedro José de, Teixeira, Kim-Ir-Sen Santos, Torres, Pedro Paulo Teixeira e Silva, Daher, Renato Tavares, Santana, Patrícia Karla Vilarinho, Aurione, Ana Caroline Vieira","Radiologia Brasileira; 42(4); XI-XII","Radiologia Brasileira","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000400004&lang=pt" 
"S0100-39842009000400019-scl","Avaliação de pacientes com hepatopatias crônicas através de ressonância magnética de 3 tesla","Zapparoli, Maurício","Radiologia Brasileira; 42(4); 260-260","Radiologia Brasileira","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000400019&lang=pt" 
"S0100-39842009000400002-scl","BI-RADS® ultrassonográfico: análise de resultados iniciais","Pereira, Fernanda Philadelpho Arantes","Radiologia Brasileira; 42(4); VII-VIII","Radiologia Brasileira","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000400002&lang=pt" 
"S0100-39842009000400001-scl","Espectroscopia de prótons e difusão na avaliação dos tumores do sistema musculoesquelético","Aguiar, Rodrigo O. C. de","Radiologia Brasileira; 42(4); V-VI","Radiologia Brasileira","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000400001&lang=pt" 
"S0100-39842009000400003-scl","Oftalmopatia de Graves, sempre um desafio","Cardoso, Gilberto Perez","Radiologia Brasileira; 42(4); IX-IX","Radiologia Brasileira","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000400003&lang=pt" 
"S0100-39842009000400018-scl","Síndrome de Rett: achados clínicos, genéticos e por ressonância magnética","Farage, Luciano","Radiologia Brasileira; 42(4); 254-254","Radiologia Brasileira","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000400018&lang=pt" 
"S0100-39842009000400017-scl","Alterações neurorradiológicas em pacientes com síndrome de Kallmann: estudos por ressonância magnética","Santos, Marcel Koenigkam","Radiologia Brasileira; 42(4); 224-224","Radiologia Brasileira","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000400017&lang=pt" 
"S0100-39842009000400016-scl","Hemangioma cavernoso hepático roto: relato de caso e revisão da literatura","Paula Neto, Walter Teixeira de, Koifman, Ana Celia Baptista, Martins, Carlos Alberto de Souza","Radiologia Brasileira; 42(4); 271-273","Radiologia Brasileira","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000400016&lang=pt" 
"S0100-39842009000400015-scl","Doença de Erdheim-Chester: relato de dois casos","Hexsel, Fernando Fernandez, Canazaro, Letícia Frigo, Capoani, Mariana, Aguiar, Paula Musa, Suwa, Eiji, Maciel, Antonio Carlos","Radiologia Brasileira; 42(4); 267-269","Radiologia Brasileira","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000400015&lang=pt" 
"S0100-39842009000400022-scl","Estudo comparativo entre artrotomografia computadorizada &quot;multislice&quot; e artrorressonância magnética na instabilidade do ombro correlacionadas com os achados artroscópicos","Gomez, Gisele Florence Carvalheira de Azevedo","Radiologia Brasileira; 42(4); 274-274","Radiologia Brasileira","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000400022&lang=pt" 
"S0100-39842009000400020-scl","Avaliação videofluoroscópica da dinâmica da deglutição e dos processos disfágicos","Koch, Tiago Vieira","Radiologia Brasileira; 42(4); 260-260","Radiologia Brasileira","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000400020&lang=pt" 
"S0100-39842009000400021-scl","Determinação dos valores do tamanho do fígado de crianças normais, entre 0 e 7 anos de idade, por ultrassonografia","Rocha, Silvia Maria Sucena da","Radiologia Brasileira; 42(4); 270-270","Radiologia Brasileira","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000400021&lang=pt" 
"S1517-70762009000200003-scl","Influência do espaçamento do feixe de laser Nd: YAG na obtenção de óxidos e nitretos na superfície do titânio em pressão atmosférica","Filho, E.A., Fraga, A.F., Bini, R.A., Marques, R.F.C., Guastaldi, A.C.","Matéria (Rio de Janeiro); 14(2); 787-794","Matéria (Rio de Janeiro)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762009000200003&lang=pt" 
"S1517-70762009000200008-scl","Nitretação iônica em gaiola catódica do aço ferramenta tipo AISI D2 para trabalho a frio","Sousa, R.R.M., Mendes, M.L.M., Valadão, E.M., Brandim, A.S., Oliveira, M.D., Alves Jr, C.","Matéria (Rio de Janeiro); 14(2); 861-868","Matéria (Rio de Janeiro)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762009000200008&lang=pt" 
"S1517-70762009000200011-scl","Conteúdo diversificado em materiais","Miranda, Paulo Emílio Valadão de","Matéria (Rio de Janeiro); 14(2); -","Matéria (Rio de Janeiro)","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762009000200011&lang=pt" 
"S0718-16202009000200004-chl","Conservation of Brycon orbignyanus natural populations and stocks for their reproductive, genetic, environmental sustainability: A model for species threatened with extinction","Lopera-Barrero, N. M","Ciencia e investigación agraria; 36(2); 191-208","Ciencia e investigación agraria","Inglês","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202009000200004&lang=pt" 
"S0718-16202009000200005-chl","Usefulness of near infrared reflectance (NIR) spectroscopy and chemometrics to discriminate between fishmeal, meat meal and soya meal samples","Cozzolino, Daniel, Restaino, Ernesto, La Manna, Alejandro, Fernandez, Enrique, Fassio, Alberto","Ciencia e investigación agraria; 36(2); 209-214","Ciencia e investigación agraria","Inglês","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202009000200005&lang=pt" 
"S0718-16202009000200006-chl","Biological vulnerability in the Elqui Valley (Coquimbo Region, Chile) to economically important arthropods","Pizarro-Araya, Jaime, Cepeda-Pizarro, Jorge, Barriga, Juan E, Bodini, Andrés","Ciencia e investigación agraria; 36(2); 215-228","Ciencia e investigación agraria","Inglês","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202009000200006&lang=pt" 
"S0718-16202009000200007-chl","Proximal causes of genetic variation between and within populations of rauli (Nothofagus nervosa)","Carrasco, Basilio, Garnier, Maurice, Eaton, Lafayette, Guevara, Rafael, Carú, Margarita","Ciencia e investigación agraria; 36(2); 229-238","Ciencia e investigación agraria","Inglês","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202009000200007&lang=pt" 
"S0718-16202009000200008-chl","Importance of origin in rice purchasing decisions in Talca and Temuco, Chile","Schnettler, Berta, Ruiz, Danilo, Sepúlveda, Oriana, Sepúlveda, José, Denegri, Marianela","Ciencia e investigación agraria; 36(2); 239-248","Ciencia e investigación agraria","Inglês","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202009000200008&lang=pt" 
"S0718-16202009000200010-chl","Effect of bulb weight on the growth and flowering of Herbertia lahue subsp. lahue (Iridaceae)","Morales, Pamela, Schiappacasse, Flavia, Peñailillo, Patricio, Yañez, Paola","Ciencia e investigación agraria; 36(2); 259-266","Ciencia e investigación agraria","Inglês","2009","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202009000200010&lang=pt" 
"S0102-09352009000400001-scl","Taxa de sudação e parâmetros histológicos de bovinos submetidos ao estresse calórico","Ferreira, F., Campos, W.E., Carvalho, A.U., Pires, M.F.A., Martinez, M.L., Silva, M.V.G.B., Verneque, R.S., Silva, P.F.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(4); 763-768","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000400001&lang=pt" 
"S0102-311X2009000800004-scl","Avaliação das ações de prevenção da transmissão vertical do HIV e sífilis em maternidades públicas de quatro municípios do Nordeste brasileiro","Macêdo, Vilma Costa de, Bezerra, Adriana Falangola Benjamin, Frias, Paulo Germano de, Andrade, Carla Lourenço Tavares de","Cadernos de Saúde Pública; 25(8); 1679-1692","Cadernos de Saúde Pública","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2009000800004&lang=pt" 
"S0102-311X2009000800022-scl","O aumento no encarceramento e a redução nos homicídios em São Paulo, Brasil, entre 1996 e 2005","Nadanovsky, Paulo","Cadernos de Saúde Pública; 25(8); 1859-1864","Cadernos de Saúde Pública","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2009000800022&lang=pt" 
"S0213-12852009000400004-esp","Síndrome de boca ardiente","Casariego, Z.J.","Avances en Odontoestomatología; 25(4); 193-202","Avances en Odontoestomatología","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852009000400004&lang=pt" 
"S0103-90162009000400002-scl","Water relations of field-grown grapevines in the São Francisco Valley, Brazil, under different rootstocks and irrigation strategies","Souza, Claudia Rita de, Bassoi, Luís Henrique, Lima Filho, José Moacir Pinheiro, Silva, Fabrício Francisco Santos da, Viana, Leandro Hespanhol, Dantas, Barbara França, Pereira, Maiane Santos, Ribeiro, Paula Rose de Almeida","Scientia Agricola; 66(4); 436-446","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400002&lang=pt" 
"S0103-90162009000400003-scl","Probability density function of the number of embryos collected from superovulated Nelore breed donors","Beltrame, Renato Travassos, Barioni, Luis Gustavo, Quirino, Celia Raquel, Dantas, Ozanival Dario","Scientia Agricola; 66(4); 447-450","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400003&lang=pt" 
"S0103-90162009000400004-scl","Orbital spectral variables, growth analysis and sugarcane yield","Simões, Maurício dos Santos, Rocha, Jansle Vieira, Lamparelli, Rubens Augusto Camargo","Scientia Agricola; 66(4); 451-461","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400004&lang=pt" 
"S0103-90162009000400010-scl","Stability of combining ability effects in maize hybrids","Machado, Juarez Campolina, Souza, João Cândido de, Ramalho, Magno Antonio Patto, Lima, José Luís","Scientia Agricola; 66(4); 494-498","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400010&lang=pt" 
"S0103-90162009000400014-scl","Genetic parameters for post weaning growth of Nellore cattle using polinomyals and trigonometric functions in random regression models","Macedo, Osmar Jesus, Barbin, Décio, Mourão, Gerson Barreto","Scientia Agricola; 66(4); 522-528","Scientia Agricola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162009000400014&lang=pt" 
"S0034-70942009000400011-scl","Raquianestesia contínua em paciente submetido à gastrectomia parcial: relato de caso","Pitombo, Patrícia Falcão, Moura, Robson, Miranda, Ricardo","Revista Brasileira de Anestesiologia; 59(4); 481-486","Revista Brasileira de Anestesiologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942009000400011&lang=pt" 
"S1678-77572009000400013-scl","Influence of HEMA content on the mechanical and bonding properties of experimental HEMA-added glass ionomer cements","Lim, Ho-Nam, Kim, Seong-Hwan, Yu, Bin, Lee, Yong-Keun","Journal of Applied Oral Science; 17(4); 340-349","Journal of Applied Oral Science","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572009000400013&lang=pt" 
"S0034-70942009000400001-scl","Estudo comparativo entre clonidina associada à bupivacaína e bupivacaína isolada em bloqueio de plexo cervical para endarterectomia de carótida","Pinto Neto, Walter, Issy, Adriana Machado, Sakata, Rioko Kimiko","Revista Brasileira de Anestesiologia; 59(4); 387-395","Revista Brasileira de Anestesiologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942009000400001&lang=pt" 
"S0034-70942009000400006-scl","Reposição volêmica intraoperatória: cristaloides versus coloides em revascularização cirúrgica do miocárdio sem circulação extracorpórea","Soares, Raquel Reis, Ferber, Leonardo, Lorentz, Michelle Nacur, Soldati, Marjorie Taboada","Revista Brasileira de Anestesiologia; 59(4); 439-451","Revista Brasileira de Anestesiologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942009000400006&lang=pt" 
