"S0430-50272015000100005-prt","Mobilidades, comércio e consumo da feira de Leiria: conflitos de uma centralidade temporária","Bernardino, Virgílio Manuel Pereira, Rocha, Márcio Mendes","Finisterra - Revista Portuguesa de Geografia; (99); 101-117","Finisterra - Revista Portuguesa de Geografia","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0430-50272015000100005&lang=pt" 
"S2007-50572015000200006-mex","Aptitud clínica posterior a un pase de visita médica estructurado en comparación con un pase de visita cotidiano en médicos residentes","Olvera Acevedo, Arturo, Uribe Ravell, Jorge Augusto, Ángeles Garay, Ulises, Carrillo González, Ana Laura","Investigación en educación médica; 4(14); 81-87","Investigación en educación médica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-50572015000200006&lang=pt" 
"S2007-50572015000200008-mex","Liderazgo en medicina: ¿debemos enseñarlo y evaluarlo?","Sánchez Mendiola, Melchor","Investigación en educación médica; 4(14); 99-107","Investigación en educación médica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-50572015000200008&lang=pt" 
"S0101-41612015000200459-scl","&lt;italic&gt;VILFREDO PARETO. Manual of Political Economy. A critical and variorum edition. Edited by Aldo Montesano, Alberto Zanni, Luigino Bruni, John Chipman and Michael McLure. Oxford:&lt;/italic&gt; Oxford University Press, 2014, 664 p.","Arthmar, Rogério","Estudos Econômicos (São Paulo); 45(2); 459-470","Estudos Econômicos (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000200459&lang=pt" 
"S0717-95022015000200047-chl","Calcific Metamorphosis with Pathological Root Resorption in Permanent Teeth: Morphohistometric Evaluation of Two Cases","Fonseca, Gabriel M, Fonseca, Miguel M","International Journal of Morphology; 33(2); 712-718","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200047&lang=pt" 
"S0717-95022015000200043-chl","The Localization of the Asterion According to the Anatomical Landmarks of Posterior Cranial Fossa in Newborns: Clinical Implications","Demir, Mehmet T, Kopuz, Cem, Pirzirenli, Mennan Ece Aydin, Çelik, Fahrettin, Çorumlu, Ufuk","International Journal of Morphology; 33(2); 685-694","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200043&lang=pt" 
"S0717-95022015000200028-chl","Micro Hardness of Dental Tissues Influenced by Administration of Aspirin During Pregnancy","Shakila, Nazir, Ali, Ashraf, Zaidi, Shoaib","International Journal of Morphology; 33(2); 586-593","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200028&lang=pt" 
"S1806-11172015000200017-scl","Estudo de ondas estacionárias em uma corda com a utilização de um aplicativo gratuito para &lt;italic&gt;smartphones&lt;/italic&gt;","Guedes, Anderson Guimarães","Revista Brasileira de Ensino de Física; 37(2); 2502-1-2502-5","Revista Brasileira de Ensino de Física","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172015000200017&lang=pt" 
"S1806-11172015000200006-scl","Espectro sonoro da flauta transversal","Nascimento, S.A., Dantas, J.D., Chaves de Souza Segundo, P., Santos, C.A.S.","Revista Brasileira de Ensino de Física; 37(2); 2305-1-2305-5","Revista Brasileira de Ensino de Física","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172015000200006&lang=pt" 
"S0717-95022015000200040-chl","Puentes de Miocardio en Corazones de Avestruz (Struthio Camelus)","Troncoso, Consuelo, Henríquez Pino, Jorge","International Journal of Morphology; 33(2); 666-672","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200040&lang=pt" 
"S1806-11172015000200016-scl","Revivendo o estereoscópio de Wheatstone","Lunazzi, José Joaquín, França, Milena Cardoso, Mori, Andrey da Silva","Revista Brasileira de Ensino de Física; 37(2); 2501-1-2501-5","Revista Brasileira de Ensino de Física","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172015000200016&lang=pt" 
"S0717-95022015000200053-chl","Transmission Electron Microscopy of the Gastrointestinal Tract of Nile Perch Lates niloticus","Namulawa, V. T, Kato, C. D, Nyatia, E, Rutaisire, J, Britz, P. J","International Journal of Morphology; 33(2); 751-758","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200053&lang=pt" 
"S0717-95022015000200052-chl","Hind Limb Sensory Innervation in Rats: Comparison between Sural and Saphenous Nerve Morphometry","Neri, Letícia Oliveira, de Amorim, Milena Menezes, Campos, Stella Andrade Rodrigues, Sanada, Luciana Sayuri, Fazan, Valéria Paula Sassoli","International Journal of Morphology; 33(2); 743-750","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200052&lang=pt" 
"S0717-95022015000200045-chl","The Effective Injection Point of the Popliteal Region: A Cadaver Dissection Without Removing the Perineurium","Sohn, Youngjoo, Lee, Young-Jin, Lee, Nam Seob, Han, Seung Yun, Tubbs, R. Shane, Lee, Je-Hun","International Journal of Morphology; 33(2); 701-705","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200045&lang=pt" 
"S0717-95022015000200049-chl","The Effect of Dietary Supplements on Healing of Alloplastic Bone Grafted Defects in Rat Tibia","Kaya, A, Aktas, A, Akdemir, M. F, Kaya, B, Deveci, E","International Journal of Morphology; 33(2); 725-731","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200049&lang=pt" 
"S0717-95022015000200030-chl","Anthropometry of the Black Adult Tibia: A South African Study","Naidoo, N, Lazarus, L, Ajayi, N. O, Satyapal, K. S","International Journal of Morphology; 33(2); 600-606","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200030&lang=pt" 
"S0717-95022015000200032-chl","Morphological Description of the Flexor Digitorum Accessorius Longus Muscle and its Clinical Significance","Ottone, Nicolás Ernesto, Tejedor, Mariano, Blasi, Esteban, Medan, Carlos Daniel, Fuentes, Ramón, del Sol, Mariano","International Journal of Morphology; 33(2); 611-619","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200032&lang=pt" 
"S0717-95022015000200035-chl","Origin and Antimeric Distribution of the Femoral Nerves in New Zealand Rabbits","Medeiros-do-Nascimento, Renata, Alves-Pereira, Jorge Luiz, Rocha-Barbosa, Oscar, Abidu- Figueiredo, Marcelo","International Journal of Morphology; 33(2); 632-637","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200035&lang=pt" 
"S0717-95022015000200034-chl","A new Morphological Classification of the Anterior Inferior Iliac Spine: Relevance in Subspine Hip Impingement","Morales-Avalos, Rodolfo, Leyva-Villegas, Jorge I, Sánchez-Mejorada, Gabriela, Méndez-Aguirre, Omar, Galindo-Aguilar, Oscar Ulises, Quiroga-Garza, Alejandro, Villarreal-Silva, Eliud E, Vílchez-Cavazos, Félix, Galván, José R.B, Elizondo-Omaña, Rodrigo E, Guzmán-López, Santos","International Journal of Morphology; 33(2); 626-631","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200034&lang=pt" 
"S0717-95022015000200038-chl","¿Cuál es el Rol de la Cirugía en el Tratamiento de un Paciente con Cáncer de la Vesícula Biliar Estadio IIIb?","Manterola, Carlos, Conejeros, Roque, Yáñez, Eduardo","International Journal of Morphology; 33(2); 653-659","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200038&lang=pt" 
"S0717-95022015000200033-chl","Osseointegration of Hydroxyapatite Implants in Rat Tibial Defects with Sciatic Nerve Injury","da Cunha, Marcelo Rodrigues, Laraia, Isabela Ortiz, Franco, Guacira R, Miguel, Natalia N, Maciel, Ana A, dos Santos, Geovane Ribeiro, Isayama, Ricardo Noboro","International Journal of Morphology; 33(2); 620-625","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200033&lang=pt" 
"S0717-95022015000200039-chl","Histology and Renal Lipoperoxidation in Rats Exercised on a Treadmill and Submitted to Water Restriction","Lorençoni, Roselene Modolo Regueiro, Pelai, Elisa Bizetti, Godoy, Moacir Fernandes, dos Santos, Alice Cristina Antonio, Miyoshi, Lívia Hissae, de Oliveira, Rebeca Nicolás Paronetto, Padovani, Carlos Roberto, Fregonesi, Cristina Elena Prado Teles, Camargo Filho, José Carlos Silva","International Journal of Morphology; 33(2); 660-665","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200039&lang=pt" 
"S0717-95022015000200042-chl","Anthropometric Landmarks for Posterior Cruciate Ligament Reconstruction in Anatomical Position","Compeán-Martínez, Gustavo Adolfo, Morales-Avalos, Rodolfo, Vílchez-Cavazos, Félix, Acosta-Olivo, Carlos, Mendoza-Lemus, Oscar Fernando, de la Garza-Castro, Oscar, Elizondo-Omaña, Rodrigo E, Guzmán-López, Santos","International Journal of Morphology; 33(2); 678-684","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200042&lang=pt" 
"S0717-95022015000200036-chl","Effects of c-FLIPL Knockdown in Cervical Uterine Carcinoma Cell Lines","Ili, Carmen G, Brebi, Priscilla, Garcia, Patricia, Leal, Pamela, Lopez, Jaime, Tapia, Oscar, Letelier, Pablo, Weber, Helga, Castillo, Jonathan, Roa, Juan C","International Journal of Morphology; 33(2); 638-646","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200036&lang=pt" 
"S0717-95022015000200051-chl","HER2/neu Status in Breast Cancer Specimens: Comparison of Immunohistochemistry (IHC) and Fluorescence in situ Hybridization (FISH) Methods","Saglican, Yesim, Ince, Ümit","International Journal of Morphology; 33(2); 737-742","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200051&lang=pt" 
"S0717-95022015000200008-chl","An Osteometric Evaluation of the Foramen Spinosum and Venosum","Lazarus, L, Naidoo, N, Satyapal, K. S","International Journal of Morphology; 33(2); 452-458","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200008&lang=pt" 
"S0717-95022015000200022-chl","Morphometric Alterations Induced by the Toxicity of Variable Sizes of Silver Nanoparticles","Almansour, Mansour, Jarrar, Qais, Battah, Abdelkader, Jarrar, Bashir","International Journal of Morphology; 33(2); 544-552","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200022&lang=pt" 
"S0717-95022015000200020-chl","Ultrastructure of the Thyroid Gland in Adult West African Dwarf Goat (Capra hircus)","Igbokwe, Casmir Onwuaso, Ezeasor, Daniel Nwagbo, Umar, Mohammed Bello","International Journal of Morphology; 33(2); 532-537","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200020&lang=pt" 
"S0717-95022015000200025-chl","Morbilidad Postoperatoria por Colangiografía Endoscópica Retrógrada con o sin Papilotomía Ulterior: Serie de Casos","Figueroa, Julio, Manterola, Carlos, Castillo, Eric, Figueroa, Camila, Carrasco, Renato, Bohle, John","International Journal of Morphology; 33(2); 566-570","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200025&lang=pt" 
"S0717-95022015000200055-chl","Histomorphometric Adaptation of Yak (Bos grunniens) Abomasum to the Qinghai-Tibetan Plateau Environment","Wang, Jinbao, Zhang, Rui, Zhang, Lu, Wang, Changjiang, Shao, Baoping, Wang, Jianlin","International Journal of Morphology; 33(2); 764-776","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200055&lang=pt" 
"S0717-95022015000200041-chl","Aplicación de Técnica de Hidróxido de Potasio y Glicerina para Diafanización Dentaria","Bravo, Rodrigo, Valenzuela, Marcos, Cáceres, Felipe, Soto, Reinaldo","International Journal of Morphology; 33(2); 673-677","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200041&lang=pt" 
"S0717-95022015000200013-chl","Biochemical Profile of Serbian Youth National Soccer Teams","Joksimovic, Aleksandar, Jezdimirovic, Marko, Smajic, Miroslav, Stankovic, Daniel, Popovic, Stevo, Tomic, Bogdan","International Journal of Morphology; 33(2); 483-490","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200013&lang=pt" 
"S0717-95022015000200016-chl","Efectos del Entrenamiento de Natación sobre la Asimetría Corporal en Adolescentes","Palomino-Martín, Antonio, González-Martel, Verónica, Quiroga-Escudero, Miriam Esther, Ortega-Santana, Francisco","International Journal of Morphology; 33(2); 507-513","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200016&lang=pt" 
"S0717-95022015000200017-chl","Desarrollo de la Aleta Caudal del Salmón (Salmo salar)","Rojas, Mariana, Pellón, Mario, del Sol, Mariano","International Journal of Morphology; 33(2); 514-521","International Journal of Morphology","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200017&lang=pt" 
"S0717-95022015000200015-chl","Effects of Passive Smoking Associated with Physical Exercise in the Skeletal Muscles of Rats During Pregnancy and Lactation","Valsoni, Bruna Corral Garcia, Bonfim, Mariana Rotta, Camargo, Regina Celi Trindade, Abreu, Luiz Carlos de, Souza, Dorotéia Rossi Silva, Camargo Filho, José Carlos Silva","International Journal of Morphology; 33(2); 497-506","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200015&lang=pt" 
"S0717-95022015000200044-chl","Localization of Cannabinoid Receptor 1 (CB1) in Submandibular and Sublingual Salivary Glands of Mice throughout Postnatal Development","Hipkaeo, Wiphawi, Watanabe, Masahiko, Kondo, Hisatake","International Journal of Morphology; 33(2); 695-700","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200044&lang=pt" 
"S0717-95022015000200010-chl","Immunohistochemical Overexpression of MAP-2 in the Cerebral Cortex of Rabies-Infected Mice","Hurtado, Andrea P, Rengifo, Aura Caterine, Torres-Fernández, Orlando","International Journal of Morphology; 33(2); 465-470","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200010&lang=pt" 
"S1806-11172015000200013-scl","Padrão de difração de um conjunto de &lt;italic&gt;n&lt;/italic&gt; fendas não simétricas e de larguras arbitrárias","Reis, Daniel M., Santos, Edson M., Andrade-Neto, A.V.","Revista Brasileira de Ensino de Física; 37(2); 2312-1-2312-9","Revista Brasileira de Ensino de Física","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172015000200013&lang=pt" 
"S1806-11172015000200019-scl","Estudo das oscilações amortecidas de um pêndulo físico com o auxílio do “Tracker”","Bonventi Jr., Waldemar, Aranha, Norberto","Revista Brasileira de Ensino de Física; 37(2); 2504-1-2504-9","Revista Brasileira de Ensino de Física","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172015000200019&lang=pt" 
"S1806-11172015000200001-scl","A técnica da escrita científica","Oliveira Jr., Osvaldo N.","Revista Brasileira de Ensino de Física; 37(2); 2201-1-2201-2","Revista Brasileira de Ensino de Física","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172015000200001&lang=pt" 
"S0717-95022015000200006-chl","Virtual Dissection Table Including the Visible Korean Images, Complemented by Free Software of the Same Data","Chung, Beom Sun, Shin, Dong Sun, Brown, Paul, Choi, Jack, Chung, Min Suk","International Journal of Morphology; 33(2); 440-445","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200006&lang=pt" 
"S0717-95022015000200048-chl","Variation in the Repair of a Rib Graft used for Mandibular Reconstruction after 20 years","Pozzer, Leandro, Olate, Sergio, de Moraes, Márcio, Asprino, Luciana, Barbosa, José Ricardo de Albergaría","International Journal of Morphology; 33(2); 719-724","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200048&lang=pt" 
"S1806-11172015000200018-scl","TLS aimed to stimulate the attainment of a metacognitive strategy on kinematics models, within a cooperative learning approach","Montecinos, Alicia Muriel","Revista Brasileira de Ensino de Física; 37(2); 2503-1-2503-9","Revista Brasileira de Ensino de Física","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172015000200018&lang=pt" 
"S1806-11172015000200022-scl","Medição de temperatura: O saber comum ignorado nas aulas experimentais","Vilar, A.B., Jesus, V.L.B. de, Matos, R.G. de, Marques, L.C.O., Zuim, F.A., Souza, J.M. de, Salgado, R.P.","Revista Brasileira de Ensino de Física; 37(2); 2507-1-2507-5","Revista Brasileira de Ensino de Física","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172015000200022&lang=pt" 
"S1806-11172015000200007-scl","A física no salto recorde de Felix Baumgartner","Silveira, Fernando Lang da","Revista Brasileira de Ensino de Física; 37(2); 2306-1-2306-6","Revista Brasileira de Ensino de Física","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172015000200007&lang=pt" 
"S1806-11172015000200002-scl","Um enfoque didático às equações de Maxwell","Ferreira, G.F. Leal","Revista Brasileira de Ensino de Física; 37(2); 2301-1-2301-3","Revista Brasileira de Ensino de Física","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172015000200002&lang=pt" 
"S0121-07932015000200010-col","Síndrome de Twiddler: reporte de un caso","Ramírez Quintero, Juan David","Iatreia; 28(2); 198-201","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000200010&lang=pt" 
"S0121-07932015000200011-col","Cardiomiopatía de Takotsubo","Sénior, Juan Manuel, Tamayo Artunduaga, Natalia, Fernández Cadavid, Andrés, Rodríguez Dimuro, Arturo","Iatreia; 28(2); 202-206","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000200011&lang=pt" 
"S0121-07932015000200012-col","Ronda clínica y epidemiológica: club de revistas","Tibaduiza García, María Fernanda, Caraballo Cordovez, César, Hincapié Osorno, Carolina, Garcés Rodríguez, Daniela de Jesús, Jaimes Barragán, Fabián","Iatreia; 28(2); 207-213","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000200012&lang=pt" 
"S0121-07932015000200005-col","Prácticas de prescripción y conocimientos médicos acerca de los anticoagulantes orales directos en un hospital de referencia","Correa, Manuela, Naranjo, Carolina, Ramírez, Laura, Restrepo, Ana María, Turizo, Juan José, Velásquez, Andrés","Iatreia; 28(2); 148-156","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000200005&lang=pt" 
"S0121-07932015000200004-col","Estudio y manejo clínico de menores que conviven con pacientes de tuberculosis pulmonar, Medellín 2010-2011","Benjumea Bedoya, Dione, Arbeláez Montoya, María Patricia","Iatreia; 28(2); 137-147","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000200004&lang=pt" 
"S0121-07932015000200007-col","Regulación del inflamasoma NLRP3: bioquímica y más allá de ella","Buelvas Jiménez, Neudo, Suárez Useche, Raibel Janis","Iatreia; 28(2); 170-178","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000200007&lang=pt" 
"S0121-07932015000200006-col","Infección por el virus de la hepatitis A: epidemiología y diversidad genética","Navas Navas, María Cristina, Báez Triana, Paula Andrea","Iatreia; 28(2); 157-169","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000200006&lang=pt" 
"S0121-07932015000200001-col","Calidad de vida relacionada con la salud en personas con artritis reumatoide: caracterización de los estudios publicados entre 2003-2013","Franco-Aguirre, John Querubín, Cardona Arias, Jaiberth","Iatreia; 28(2); 109-119","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000200001&lang=pt" 
"S0121-07932015000200003-col","Prevalencia e impacto clínico de la sensibilización a látex y frutas en estudiantes de odontología de la Universidad de Antioquia y su relación con alergia a frutas","Echenique Manrique, Alejandro, Celis Henao, Ana María, Sánchez Caraballo, Jorge Mario, Cardona Villa, Ricardo","Iatreia; 28(2); 128-136","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000200003&lang=pt" 
"S0121-07932015000200002-col","","Abaúnza Chagín, María Claudia, Vargas Carreño, Elga Johanna, Rincón Rodríguez, Carlos Javier","Iatreia; 28(2); 120-127","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000200002&lang=pt" 
"S0121-07932015000200009-col","Acidemia glutárica tipo 1: presentación de un caso y revisión de la literatura","Forero Sánchez, Edwin, Echeverri Peña, Olga Yaneth, Espinosa García, , Guevara Morales, Johana María, Barrera Avellaneda, Luis Alejandro","Iatreia; 28(2); 193-197","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000200009&lang=pt" 
"S0121-07932015000200008-col","El proceso educativo del médico en Colombia desde el concepto de formación a partir de un estudio hermenéutico","Pineda Cañar, Carlos Andrés","Iatreia; 28(2); 181-192","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000200008&lang=pt" 
"S1806-11172015000200005-scl","Levitação acústica","Andrade, Marco Aurélio Brizzotti, Pérez, Nicolás, Adamowski, Julio Cezar","Revista Brasileira de Ensino de Física; 37(2); 2304-1-2304-7","Revista Brasileira de Ensino de Física","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172015000200005&lang=pt" 
"S0717-95022015000200037-chl","IRF6, RYK, and PAX9 Expression in Facial Tissue of Children with Cleft Palate","Smane, Liene, Pilmane, Mara","International Journal of Morphology; 33(2); 647-652","International Journal of Morphology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022015000200037&lang=pt" 
"S1809-48642015000200112-scl","Parotid Incidentaloma Identified by Positron Emission/Computed Tomography: When to Consider Diagnoses Other than Warthin Tumor","Bothe, Carolina, Fernandez, Alejandro, Garcia, Jacinto, Lopez, Montserrat, León, Xavier, Quer, Miquel, Lop, Joan","International Archives of Otorhinolaryngology; 19(2); 112-115","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000200112&lang=pt" 
"S1809-48642015000200180-scl","Ortner&#039;s Syndrome: Secondary Laryngeal Paralysis Caused by a Great Thoracic Aorta Aneurysm","Zangirolami, Ana Claudia Alves, Oliveira, Frederico Vieira de, Tepedino, Miguel Soares","International Archives of Otorhinolaryngology; 19(2); 180-182","International Archives of Otorhinolaryngology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642015000200180&lang=pt" 
"S0101-41612015000200437-scl","Sustainability of Brazilian fiscal policy, once again: corrective policy response over time","Luporini, Viviane","Estudos Econômicos (São Paulo); 45(2); 437-458","Estudos Econômicos (São Paulo)","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612015000200437&lang=pt" 
"S0101-73302015000200555-scl","Os estudos sobre deficiência na educação","Nuernberg, Adriano Henrique","Educação &amp; Sociedade; 36(131); 555-558","Educação &amp; Sociedade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302015000200555&lang=pt" 
"S2007-50572015000200003-mex","Curso en línea de Informática Biomédica para Puerto Rico: resultados de una experiencia de colaboración panamericana","Margolis, Alvaro, Baum, Analía, González Bernaldo de Quirós, Fernán, Joglar, Francisco, Fernández, Antonio, García, Sofía, López Arredondo, Antonio, Hersh, William R.","Investigación en educación médica; 4(14); 60-68","Investigación en educación médica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-50572015000200003&lang=pt" 
"S2007-50572015000200005-mex","Medición de la autopercepción de la autodirección en estudiantes de medicina de pregrado","Olivares Olivares, Silvia Lizett, López Cabrera, Mildred Vanessa","Investigación en educación médica; 4(14); 75-80","Investigación en educación médica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-50572015000200005&lang=pt" 
"S2007-50572015000200002-mex","Opinión de médicos internos respecto al residente como educador","Ledesma Villavicencio, Leonardo Cesar, Madinaveitia Turcott, Jaime","Investigación en educación médica; 4(14); 55-59","Investigación en educación médica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-50572015000200002&lang=pt" 
"S0034-83092015000100413-scl","SOLOW, BARBARA L. THE ECONOMIC CONSEQUENCES OF THE ATLANTIC SLAVE TRADE. LANHAM; BOULDER; NOVA YORK; TORONTO; PLYMOUTH, UK: LEXINGTON BOOKS, 2014","Alfonso, Felipe Rodrigues","Revista de História (São Paulo); (172); 413-420","Revista de História (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-83092015000100413&lang=pt" 
"S0120-419X2015000100007-col","Una versión de la distribución Rayleigh generalizada transmutada","IRIARTE, YURI A, ASTORGA, JUAN M","Revista Integración; 33(1); 83-95","Revista Integración","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-419X2015000100007&lang=pt" 
"S1984-82502015000200255-scl","A review of nanotechnology with an emphasis on Nanoplex","Kadam, Rupali Nanasaheb, Shendge, Raosaheb Sopanrao, Pande, Vishal Vijay","Brazilian Journal of Pharmaceutical Sciences; 51(2); 255-263","Brazilian Journal of Pharmaceutical Sciences","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502015000200255&lang=pt" 
"S0034-83092015000100163-scl","DINÂMICAS HISTÓRICAS DE UM PORTO CENTROAFRICANO: AMBRIZ E O BAIXO CONGO NOS FINAIS DO TRÁFICO ATLÂNTICO DE ESCRAVOS (1840 - 1870)","Wissenbach, Maria Cristina Cortez","Revista de História (São Paulo); (172); 163-195","Revista de História (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-83092015000100163&lang=pt" 
"S0034-83092015000100421-scl","GOMES, RAQUEL. &lt;italic&gt;UMA FEMINISTA NA CONTRAMÃO DO COLONIALISMO: OLIVE SCHREINER, LITERATURA E A CONSTRUÇÃO DA NAÇÃO SUL-AFRICANA, 1880-1902.&lt;/italic&gt;SÃO PAULO: ANNABLUME, 2013.","Dulley, Iracema","Revista de História (São Paulo); (172); 421-426","Revista de História (São Paulo)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-83092015000100421&lang=pt" 
