"S0718-84712015000100019-chl","Georgios Kanarakis (Editor): El aporte diacrònico del griego a otras lenguas","Castillo Didier, Miguel","Byzantion nea hellás; (34); 359-361","Byzantion nea hellás","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-84712015000100019&lang=pt" 
"S1806-37132015000500405-scl","Study of inhaler technique in asthma patients: differences between pediatric and adult patients","Manríquez, Pablo, Acuña, Ana María, Muñoz, Luis, Reyes, Alvaro","Jornal Brasileiro de Pneumologia; 41(5); 405-409","Jornal Brasileiro de Pneumologia","Inglês, Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500405&lang=pt" 
"S1806-37132015000500433-scl","Depression, anxiety, stress, and motivation over the course of smoking cessation treatment","Pawlina, Maritza Muzzi Cardozo, Rondina, Regina de Cássia, Espinosa, Mariano Martinez, Botelho, Clóvis","Jornal Brasileiro de Pneumologia; 41(5); 433-439","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500433&lang=pt" 
"S1806-37132015000500422-scl","Determining respiratory system resistance and reactance by impulse oscillometry in obese individuals","Albuquerque, Cláudio Gonçalves de, Andrade, Flávio Maciel Dias de, Rocha, Marcus Aurélio de Almeida, Oliveira, Alina Farias França de, Ladosky, Waldemar, Victor, Edgar Guimarães, Rizzo, José Ângelo","Jornal Brasileiro de Pneumologia; 41(5); 422-426","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500422&lang=pt" 
"S1806-37132015000500427-scl","Lung function and left ventricular hypertrophy in morbidly obese candidates for bariatric surgery","Müller, Paulo de Tarso, Domingos, Hamilton, Patusco, Luiz Armando Pereira, Rapello, Gabriel Victor Guimarães","Jornal Brasileiro de Pneumologia; 41(5); 427-432","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500427&lang=pt" 
"S1806-37132015000500467-scl","Inhalation therapy in mechanical ventilation","Maccari, Juçara Gasparetto, Teixeira, Cassiano, Gazzana, Marcelo Basso, Savi, Augusto, Dexheimer-Neto, Felippe Leopoldo, Knorst, Marli Maria","Jornal Brasileiro de Pneumologia; 41(5); 467-472","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500467&lang=pt" 
"S1806-37132015000500399-scl","Jornal de Pneumologia 1995-1998","Pereira, Carlos Alberto de Castro","Jornal Brasileiro de Pneumologia; 41(5); 399-399","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500399&lang=pt" 
"S1806-37132015000500480-scl","BCGitis: A rare complication after intravesical BCG therapy","Oliveira, Maria João, Vaz, Daniel, Carvalho, Aurora, Braga, Rosário, Duarte, Raquel","Jornal Brasileiro de Pneumologia; 41(5); 480-481","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500480&lang=pt" 
"S1806-37132015000500397-scl","Jornal Brasileiro de Pneumologia: forty years of history","Santos, Manuel Lopes dos","Jornal Brasileiro de Pneumologia; 41(5); 397-397","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500397&lang=pt" 
"S1806-37132015000500398-scl","Jornal Brasileiro de Pneumologia: 40 years of tradition","Morrone, Nelson","Jornal Brasileiro de Pneumologia; 41(5); 398-398","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500398&lang=pt" 
"S1806-37132015000500404-scl","The next 40 years","Souza, Rogério","Jornal Brasileiro de Pneumologia; 41(5); 404-404","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500404&lang=pt" 
"S1806-37132015000500486-scl","Right lung exclusion in massive pulmonary thromboembolism","Athanazio, Rodrigo Abensur, Rached, Samia Zahi","Jornal Brasileiro de Pneumologia; 41(5); 486-486","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500486&lang=pt" 
"S1806-37132015000500478-scl","Idiopathic pleuroparenchymal fibroelastosis: incidental findings in a patient with suspected pneumonia","Rea, Gaetano, Poletti, Venerino, Iadevaia, Carlo, Bocchino, Marialuisa, Mazzarella, Gennaro","Jornal Brasileiro de Pneumologia; 41(5); 478-479","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500478&lang=pt" 
"S1019-43552015000400008-per","Análisis crítico de ensayos clínicos aleatorizados: Riesgo de sesgo","Alarcón Palacios, Marco, Ojeda Gómez, Roberto Carlos, Ticse Huaricancha, Iveht Lucy, Cajachagua Hilario, Katherine","Revista Estomatológica Herediana; 25(4); 304-308","Revista Estomatológica Herediana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1019-43552015000400008&lang=pt" 
"S1019-43552015000400002-per","Características epidemiológicas de la enfermedad periodontal e higiene oral en mujeres en etapa de embarazo y lactancia materna","Yllesca-Yllesca, Ivonne, Manrique-Chávez, Jorge Enrique, Chávez-Reátegui, Beatriz Del Carmen","Revista Estomatológica Herediana; 25(4); 255-261","Revista Estomatológica Herediana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1019-43552015000400002&lang=pt" 
"S1019-43552015000400009-per","Evaluación anatómica del piso de boca mediante resonancia magnética","Quispe Huarcaya, Magaly, Sovero Gaspar, Abell, Gutiérrez Ventura, Fredy","Revista Estomatológica Herediana; 25(4); 309-317","Revista Estomatológica Herediana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1019-43552015000400009&lang=pt" 
"S1019-43552015000400004-per","Efecto antibacteriano de extractos etanólicos de plantas utilizadas en la tradiciones culinarias andinas sobre microorganismos de la cavidad bucal","Pimentel Ramirez, Erika, Castillo Andamayo, Diana, Quintana Del Solar, , Maurtua Torres, Dora, Villegas Vílchez, León, Díaz Santisteban, Camilo","Revista Estomatológica Herediana; 25(4); 268-277","Revista Estomatológica Herediana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1019-43552015000400004&lang=pt" 
"S1019-43552015000400007-per","Re-anatomización de un incisivo lateral geminado con talón cuspídeo: Reporte de caso","Aguirre-Vela, Lucia, Webb Linares, Louise","Revista Estomatológica Herediana; 25(4); 295-303","Revista Estomatológica Herediana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1019-43552015000400007&lang=pt" 
"S1019-43552015000400006-per","Adaptación de una corona metal cerámica como pilar de una prótesis parcial removible preexistente","Torres Herbozo, Melissa, Quintana del Solar, Martin, Castillo Andamayo, Diana","Revista Estomatológica Herediana; 25(4); 288-294","Revista Estomatológica Herediana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1019-43552015000400006&lang=pt" 
"S1019-43552015000400003-per","Estrategia de intervención educativa sobre la salud bucal en pacientes de 6 a 32 años con Síndrome de Down","Aguirre Córdova, Jackelym, Porras Rodríguez, Diandra, Ríos Villasis, Katty","Revista Estomatológica Herediana; 25(4); 262-267","Revista Estomatológica Herediana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1019-43552015000400003&lang=pt" 
"S1806-37132015000500454-scl","Update on diagnosis and treatment of idiopathic pulmonary fibrosis","Baddini-Martinez, José, Baldi, Bruno Guedes, Costa, Cláudia Henrique da, Jezler, Sérgio, Lima, Mariana Silva, Rufino, Rogério","Jornal Brasileiro de Pneumologia; 41(5); 454-466","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000500454&lang=pt" 
"S1019-43552015000400010-per","Agentes hemostáticos en cirugía periapical: Revisión de literatura","Coaguila Llerena, Hernán, Mendiola Aquino, Carlos","Revista Estomatológica Herediana; 25(4); 318-326.","Revista Estomatológica Herediana","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1019-43552015000400010&lang=pt" 
"S0012-73532015000500012-col","Eficiencia energética en la trituración por impactos en la planta de zeolitas de San Andrés (Holguín, Cuba)","Hechavarría-Pérez, José Ramón, Coello-Velázquez, Alfredo L., Robles-Proenza, Fernando Daniel, Menéndez-Aguado, Juan María","DYNA; 82(193); 93-97","DYNA","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500012&lang=pt" 
"S0012-73532015000500015-col","Comportamiento de las herramientas de conformado con recubrimientos TiAlN crecido por Magnetrón Sputtering Tríodo","Devia-Narváez, Diana Marcela, Duque-Sánchez, Harold, Mesa, Fernando","DYNA; 82(193); 110-116","DYNA","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500015&lang=pt" 
"S0012-73532015000500030-col","Getting-up rehabilitation therapy supported by movement based interaction techniques","Fernández-Valls, José Antonio, Penichet, Victor M. R., Lozano, María Dolores, Garrido, Juan E.","DYNA; 82(193); 241-249","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500030&lang=pt" 
"S0012-73532015000500008-col","Analysis of the partial discharge pulse propagation in the stator winding of a synchronous machine","Oslinger-Gutiérrez, José Luis, Muñoz-Muñoz, Fabio Andrés, Vanegas-Iriarte, Jaime Antonio","DYNA; 82(193); 62-69","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500008&lang=pt" 
"S0012-73532015000500021-col","Mining unstructured data to support requirements elicitation by using controlled vocabularies: A systematic mapping study","Barros-Justo, José L.","DYNA; 82(193); 165-169","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500021&lang=pt" 
"S0012-73532015000500027-col","Assessing the awareness mechanisms of a collaborative programming support system","Molina, Ana Isabel, Gallardo, Jesús, Redondo, Miguel Ángel, Bravo, Crescencio","DYNA; 82(193); 212-222","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500027&lang=pt" 
"S0012-73532015000500029-col","Impact of web accessibility barriers on users with a hearing impairment","Pascual, Afra, Ribera, Mireia, Granollers, Toni","DYNA; 82(193); 233-240","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500029&lang=pt" 
"S0012-73532015000500028-col","A design process for balanced educational video games with collaborative activities","Padilla-Zea, Natalia, Medina-Medina, Nuria, Gutiérrez-Vela, Francisco L., López-Arcos, José R., Paderewski, Patricia, González-González, Carina S.","DYNA; 82(193); 223-232","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500028&lang=pt" 
"S0012-73532015000500025-col","Prediction of take-over time in highly automated driving by two psychometric tests","Körber, Moritz, Weißgerber, Thomas, Kalb, Luis, Blaschke, Christoph, Farid, Mehdi","DYNA; 82(193); 195-201","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500025&lang=pt" 
"S0012-73532015000500022-col","Development of a concept-based EMG-based speller","Damaševičius, Robertas, Vasiljevas, Mindaugas, šumskas, Tomas","DYNA; 82(193); 170-179","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500022&lang=pt" 
"S0012-73532015000500004-col","A comparative study of two aging and fusion methods in the synthesis of zeolitic materials from natural clinker","Lizcano-Cabeza, Jeimer Alexander, Ávila-Ascanio, Luis Fernando, Ríos-Reyes, Carlos Alberto, Vargas-Fiallo, Luz Yolanda","DYNA; 82(193); 32-38","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500004&lang=pt" 
"S0012-73532015000500007-col","Impact of previous acclimatization of biomass and alternative substrates in sunflower oil biodegradation","Cisterna-Osorio, Pedro, Lavin, Antonio Gutiérrez, Sastre-Andres, Herminio","DYNA; 82(193); 56-61","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500007&lang=pt" 
"S0012-73532015000500006-col","Evaluación del potencial energético del oleaje en la costa sur del Golfo de México","González-Carrillo, Alejandro, Ruiz-Cabrera, Raziel, Hernández-Escobedo, Quetzalcoatl, Fernández-García, Aránzazu, Manzano-Agugliaro, Francisco","DYNA; 82(193); 49-55","DYNA","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500006&lang=pt" 
"S0012-73532015000500019-col","Modelo de integración de cadenas de suministro colaborativas","Bautista-Santos, Horacio, Martínez-Flores, José Luis, Fernández-Lambert, Gregorio, Bernabé-Loranca, María Beatriz, Sánchez-Galván, Fabiola, Sablón-Cossío, Neyfe","DYNA; 82(193); 145-154","DYNA","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500019&lang=pt" 
"S0012-73532015000500005-col","Aplicación de la computación con palabras en la evaluación del impacto de la capacitación","Felix-Benjamín, Gerardo, Calero-Muela, Claudia, Esquivel-García, Renier, Bello-Pérez, Rafael","DYNA; 82(193); 39-48","DYNA","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500005&lang=pt" 
"S1516-18462015000501387-scl","EDITORIAL","Capellini, Simone Aparecida","Revista CEFAC; 17(5); 1387-1388","Revista CEFAC","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462015000501387&lang=pt" 
"S1516-31802015000500454-scl","Selective serotonin reuptake inhibitors for fibromyalgia syndrome","Walitt, Brian, Urrútia, Gerard, Nishishinya, María Betina, Cantrell, Sarah E., Häuser, Winfried","Sao Paulo Medical Journal; 133(5); 454-454","Sao Paulo Medical Journal","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802015000500454&lang=pt" 
"S1516-18462015000501738-scl","ERRATA","","Revista CEFAC; 17(5); 1738-1738","Revista CEFAC","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462015000501738&lang=pt" 
"S2014-98322015000600009-esp","Propuestas de mejora de las tecnologías de la información y de la comunicación en la formación médica continuada","Rodríguez-Padial, Luis, Medina-Rivilla, Antonio, Cacheiro-González, María Luz","FEM: Revista de la Fundación Educación Médica; 18(5); 345-351","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000600009&lang=pt" 
"S2014-98322015000600001-esp","AMEE Conference: de Glasgow 2015 a Barcelona 2016","Palés-Argullós, Jordi","FEM: Revista de la Fundación Educación Médica; 18(5); 299-301","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000600001&lang=pt" 
"S2014-98322015000600007-esp","Valoración de la docencia clínica en tercer curso del Grado de Medicina: estudio secuencial de cinco cursos","Grau, Josep M., Antúnez, Emilia, Cobos, Albert","FEM: Revista de la Fundación Educación Médica; 18(5); 331-335","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000600007&lang=pt" 
"S2014-98322015000600010-esp","Evaluación de competencias genéricas en egresados de tecnología médica de la Universidad de Talca, Chile","Maldonado-Rojas, Mónica, Vidal-Flores, Sylvia, Royo-Urrizola, Paulina, Gómez-Urrutia, Verónica","FEM: Revista de la Fundación Educación Médica; 18(5); 353-359","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000600010&lang=pt" 
"S2014-98322015000600006-esp","El paciente virtual como método de enseñanza en el pregrado","D&#039;Addino, José Luis, Mayorga, Horacio, Harris, M. Ángeles","FEM: Revista de la Fundación Educación Médica; 18(5); 325-330","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000600006&lang=pt" 
"S1516-31802015000500408-scl","Air pollutants and hospitalization due to pneumonia among children. An ecological time series study","Tuan, Tassia Soldi, Venâncio, Taís Siqueira, Nascimento, Luiz Fernando Costa","Sao Paulo Medical Journal; 133(5); 408-413","Sao Paulo Medical Journal","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802015000500408&lang=pt" 
"S2014-98322015000600008-esp","La formación docente evaluada por método mixto","Urrutia-Aguilar, M. Esther, Aburto-Arciniega, Mónica B., Arce-Cedeño, Angélica, Guevara-Guzmán, Rosalinda","FEM: Revista de la Fundación Educación Médica; 18(5); 337-343","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000600008&lang=pt" 
"S2014-98322015000600011-esp","Estilos de aprendizaje y su relación con la necesidad de reestructuración de las estrategias de aprendizaje de los estudiantes universitarios de primer año","Fernández, Víctor, Beligoy, Mariela","FEM: Revista de la Fundación Educación Médica; 18(5); 361-366","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000600011&lang=pt" 
"S2014-98322015000600004-esp","Estudio sobre el trabajo del estudiante en la adaptación al Espacio Europeo de Educación Superior a través del indicador DAA (dedicación alumno-asignatura)","Lantarón, Eva, Romero-Galisteo, Rita, Gálvez, Pablo, Labajos, Teresa","FEM: Revista de la Fundación Educación Médica; 18(5); 313-318","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000600004&lang=pt" 
"S1516-31802015000500450-scl","Staphylococcal scalded skin syndrome in a premature newborn caused by methicillin-resistant Staphylococcus aureus: case report","Hörner, Andreas, Hörner, Rosmari, Salla, Adenilde, Nunes, Melise Silveira, Garzon, Litiérri Razia, Rampelotto, Roberta Filipini, Martini, Rosiéli, Santos, Silvana Oliveira dos, Gindri, Lívia, Rodrigues, Mônica de Abreu, Giacomolli, Cláudia","Sao Paulo Medical Journal; 133(5); 450-453","Sao Paulo Medical Journal","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802015000500450&lang=pt" 
"S1516-31802015000500445-scl","A case of tumor-like inflammatory demyelinating disease with progressive brain and spinal cord involvement","Peng, Xu Zhi, Hua, Li Hong, Qiang, Sun Zhi, Qiang, Wu","Sao Paulo Medical Journal; 133(5); 445-449","Sao Paulo Medical Journal","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802015000500445&lang=pt" 
"S1516-31802015000500435-scl","Common psychiatric symptoms among public school teachers in Palmas, Tocantins, Brazil. An observational cross-sectional study","Baldaçara, Leonardo, Silva, Álvaro Ferreira, Castro, José Gerley Díaz, Santos, Gessi de Carvalho Araújo","Sao Paulo Medical Journal; 133(5); 435-438","Sao Paulo Medical Journal","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802015000500435&lang=pt" 
"S1516-18462015000501716-scl","Aspectos da comunicação na síndrome de Werdning-Hoffman: estudo de caso clínico","Bianchini, Natallie do Carmo Prado, Andrade, Bruna Mateus Rocha de, Damasceno, Lilian Lobo, Souza, Luiz Augusto de Paula, Cunha, Maria Claudia","Revista CEFAC; 17(5); 1716-1721","Revista CEFAC","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462015000501716&lang=pt" 
"S1516-18462015000501389-scl","DIA MUNDIAL DA MOTRICIDADE OROFACIAL","Susanibar, Franklin, Marchesan, Irene, Santos, Ricardo","Revista CEFAC; 17(5); 1389-1393","Revista CEFAC","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462015000501389&lang=pt" 
"S1516-18462015000501573-scl","Influência do canto coral na qualidade de vida em voz dos usuários do serviço público de saúde","Lobo, Bárbara Pereira Lopes, Gomes, Adriana Maria de Lima e Souza, Santos, Alessandra Mara Oliveira dos, Klein, Matheus de Souza, Rocha, Camila Lacerda Silveira, Silva, Juliane Ribeiro da","Revista CEFAC; 17(5); 1573-1579","Revista CEFAC","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462015000501573&lang=pt" 
"S1516-18462015000501556-scl","Tempo de tratamento em fonoaudiologia em um serviço público versus balizadores preconizados","Morelli, Juliane Maria Geraldo, Grillo, Luciane Peter, Lacerda, Leo Lynce Valle de, Mezadri, Tatiana, Baumgartel, Carine","Revista CEFAC; 17(5); 1556-1562","Revista CEFAC","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462015000501556&lang=pt" 
"S1516-18462015000501604-scl","Teste de identificação de sentenças sintéticas com mensagem competitiva ipsilateral pediátrico: revisão narrativa sobre a sua aplicabilidade","Vellozo, Fernanda Freitas, Filha, Valdete Alves Valentins dos Santos, Costa, Maristela Julio, Biaggio, Eliara Pinto Vieira, Garcia, Michele Vargas","Revista CEFAC; 17(5); 1604-1609","Revista CEFAC","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462015000501604&lang=pt" 
"S2014-98322015000600005-esp","Accesibilidad de publicación estudiantil en revistas de ciencias de la salud indizadas en SciELO","Toro-Huamanchumo, Carlos J., Landa-Hernández, Fátima, Arce-Villalobos, Laura R., Ruiz-Pingo, Diana, Díaz-Vélez, Cristian","FEM: Revista de la Fundación Educación Médica; 18(5); 319-323","FEM: Revista de la Fundación Educación Médica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2014-98322015000600005&lang=pt" 
"S0034-98872015001000011-chl","Neurofibromatosis tipo 1 (NF1) y su diagnóstico molecular como estrategia del diagnóstico diferencial y a edades tempranas","Gómez, Martha, Batista, Oriana","Revista médica de Chile; 143(10); 1320-1330","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015001000011&lang=pt" 
"S0100-06832015000501445-scl","Resíduo de Curtumes como Fonte de Nitrogênio para Trigo e Arroz em Sucessão","Coelho, Lívia Cristina, Ferreira, Mozart Martins, Bastos, Ana Rosa Ribeiro, Oliveira, Luiz Carlos Alves de, Ferreira, Ewerton Dilelis","Revista Brasileira de Ciência do Solo; 39(5); 1445-1455","Revista Brasileira de Ciência do Solo","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832015000501445&lang=pt" 
"S0100-06832015000501395-scl","Surface Complexation Modeling in Variable Charge Soils: Prediction of Cadmium Adsorption","Marchi, Giuliano, Vilar, Cesar Crispim, O’Connor, George, Oliveira, Letuzia Maria de, Reatto, Adriana, Rein, Thomaz Adolph","Revista Brasileira de Ciência do Solo; 39(5); 1395-1405","Revista Brasileira de Ciência do Solo","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832015000501395&lang=pt" 
"S0100-06832015000501483-scl","Revolvimento Ocasional e Calagem em Latossolo Muito Argiloso em Sistema Plantio Direto Consolidado","Fidalski, Jonez, Yagi, Renato, Tormena, Cássio Antonio","Revista Brasileira de Ciência do Solo; 39(5); 1483-1489","Revista Brasileira de Ciência do Solo","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832015000501483&lang=pt" 
"S0100-06832015000501473-scl","Qualidade Física de Solos em Uso Agrícola na Região Semiárida do Estado da Bahia","Arcoverde, Sálvio Napoleão Soares, Salviano, Alessandra Monteiro, Olszevski, Nelci, Melo, Stefeson Bezerra de, Cunha, Tony Jarbas Ferreira, Giongo, Vanderlise, Pereira, Janielle de Souza","Revista Brasileira de Ciência do Solo; 39(5); 1473-1482","Revista Brasileira de Ciência do Solo","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832015000501473&lang=pt" 
"S0012-73532015000500026-col","Comparing the efficiency of performing complex tasks with a tablet and a smartphone","Botella, Federico, Moreno, Juan P., Peñalver, Antonio","DYNA; 82(193); 202-211","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500026&lang=pt" 
"S0012-73532015000500009-col","Una mejora a la clasificación basada en la medida calidad de la similaridad utilizando relaciones borrosas","Fernández-Hernández, Yumilka B., Filiberto, Yaima, Frias, Mabel, Bello, Rafael, Caballero, Yaile","DYNA; 82(193); 70-76","DYNA","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500009&lang=pt" 
"S0012-73532015000500013-col","A methodology to obtain an analytical formula for the elastic modulus of lightweight aggregate concrete","Souza-Barbosa, Flávio de, Resende-Farage, Michèle Cristina, Lage-Bonifácio, Aldemon, Beaucour, Anne-Lise, Ortola, Sophie","DYNA; 82(193); 98-103","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500013&lang=pt" 
"S0012-73532015000500010-col","Thermal and energy evaluation of a novel polymer-ceramic composite as insulation for a household refrigerator","Belman-Flores, Juan Manuel, González-Rolón, Bárbara, Serrano-Arellano, Juan, Gámez-Arredondo, Sergio","DYNA; 82(193); 77-82","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500010&lang=pt" 
"S0012-73532015000500014-col","Wear resistance of vanadium-niobium carbide layers grown via TRD","Castillejo-Nieto, Fabio Enrique, Olaya-Florez, Jhon Jairo, Alfonso, José Edgar","DYNA; 82(193); 104-109","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500014&lang=pt" 
"S0012-73532015000500011-col","Resistencia al esfuerzo cortante en rellenos sanitarios","Sandoval-Vallejo, Eimar Andrés, Ramirez-Tascón, Andrés, Cuarán, Diego","DYNA; 82(193); 83-92.","DYNA","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500011&lang=pt" 
"S0012-73532015000500016-col","Enfoque de arquitectura de solución, mecanismo para reducir la brecha entre la arquitectura empresarial y la implementación de soluciones tecnológicas","Arango-Serna, Martín Darío, Londoño-Salazar, Jesús Enrique, Branch-Bedoya, John Willian","DYNA; 82(193); 117-126","DYNA","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500016&lang=pt" 
"S0012-73532015000500023-col","HMI/ SCADA standards in the design of data center interfaces: A network operations center case study","Filali-Yachou, Said, González-González, Carina S., Lecuona-Rebollo, Carlos","DYNA; 82(193); 180-186","DYNA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0012-73532015000500023&lang=pt" 
"S0716-10182015000600013-chl","Infectología en la era de la genómica","Moreno Switt, Andrea I, Toledo, Viviana","Revista chilena de infectología; 32(5); 571-576","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000600013&lang=pt" 
