"S1405-91932015000100001-mex","Las características jurídicas del neoliberalismo","Cárdenas Gracia, Jaime","Cuestiones constitucionales; (32); 3-44","Cuestiones constitucionales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-91932015000100001&lang=pt" 
"S2007-25382015000100289-mex","La interpretación estética como experiencia del arte","Bárcenas Deanda, Ramón","Valenciana; 8(15); 289-294","Valenciana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382015000100289&lang=pt" 
"S2007-25382015000100303-mex","Ensayos sobre pensamiento mexicano","Neycheva Petrova, Gergana","Valenciana; 8(15); 303-307","Valenciana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382015000100303&lang=pt" 
"S2007-25382015000100233-mex","Hermenéutica del descubrimiento del Nuevo Mundo. La polémica de Valladolid y la naturaleza del indio americano","López Molina, Amalia Xochitl","Valenciana; 8(15); 233-260","Valenciana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382015000100233&lang=pt" 
"S2007-25382015000100189-mex","El rol de la abducción peirceana en el proceso de la investigación científica","Velázquez Delgado, Graciela","Valenciana; 8(15); 189-213","Valenciana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382015000100189&lang=pt" 
"S2007-25382015000100007-mex","La división de la filosofía práctica en Kant","Casales García, Roberto","Valenciana; 8(15); 7-33","Valenciana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382015000100007&lang=pt" 
"S2007-25382015000100035-mex","Libertad negativa como estrategia deconstructora de deseos y temores en el materialismo antropológico de Hobbes","Higuero, Francisco Javier","Valenciana; 8(15); 35-57","Valenciana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382015000100035&lang=pt" 
"S2007-24062015000100002-mex","Tesis sobre una teoría crítica de los Derechos Humanos","Arias Marín, Alan","Revista de filosofía open insight; 6(9); 11-33","Revista de filosofía open insight","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24062015000100002&lang=pt" 
"S2007-24062015000100004-mex","La dignidad del sujeto inteligente: el personalismo rosminiano","Buganza, Jacob","Revista de filosofía open insight; 6(9); 45-69","Revista de filosofía open insight","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24062015000100004&lang=pt" 
"S2007-25382015000100097-mex","El problema de la resistencia de lo irreflejo a la reflexión en Merleau-Ponty y Lévinas","Ferreira González, Jesús Emmanuel","Valenciana; 8(15); 97-128","Valenciana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382015000100097&lang=pt" 
"S2007-25382015000100261-mex","Siguiendo los pasos de Samuel Ramos: una propuesta metodológica de análisis de nuestras circunstancias","Ávila Barba, Mauricio","Valenciana; 8(15); 261-287","Valenciana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382015000100261&lang=pt" 
"S2007-25382015000100129-mex","El progreso de la ciencia como resolución de problemas: una defensa de las posturas funcionalistas-internalistas","Islas Mondragón, Damián","Valenciana; 8(15); 129-155","Valenciana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382015000100129&lang=pt" 
"S2007-25382015000100217-mex","La idea de derecho natural en la Ciencia Nueva.Giambattista Vico y América","Rovira Gaspar, Ma. del Carmen","Valenciana; 8(15); 217-231","Valenciana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-25382015000100217&lang=pt" 
"S2007-24062015000100006-mex","The Politics of the Soul","Milbank, John","Revista de filosofía open insight; 6(9); 91-108","Revista de filosofía open insight","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24062015000100006&lang=pt" 
"S2007-24062015000100003-mex","Comentarios a &quot;Tesis sobre una teoría crítica de los Derechos Humanos&quot; de Alan Arias","Muro, Víctor Gabriel","Revista de filosofía open insight; 6(9); 35-42","Revista de filosofía open insight","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24062015000100003&lang=pt" 
"S2007-24062015000100001-mex","Solidaridad contra la barbarie","","Revista de filosofía open insight; 6(9); 03-07","Revista de filosofía open insight","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24062015000100001&lang=pt" 
"S2007-24062015000100009-mex","El país de los dos ríos. El judaísmo más allá del tiempo y la historia","Navarrete Alonso, Roberto","Revista de filosofía open insight; 6(9); 147-154","Revista de filosofía open insight","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24062015000100009&lang=pt" 
"S2007-24062015000100008-mex","Filosofía del Arrabal","García, Carlos Alberto","Revista de filosofía open insight; 6(9); 143-145","Revista de filosofía open insight","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24062015000100008&lang=pt" 
"S0718-40262015000300001-chl","DESARROLLO DESCENTRALIZADO DE LA SOCIEDAD DE CIRUJANOS DE CHILE… DEBER Y NECESIDAD","Cárcamo I, Carlos","Revista chilena de cirugía; 67(3); 250-250","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000300001&lang=pt" 
"S0718-40262015000300002-chl","DESTINO FINAL: EL HÍGADO","Jiménez-Fuertes, Montiel, Moreno-Posadas, Ana, Hernández-Aceituno, Daniel, Durán-Poveda, Manuel","Revista chilena de cirugía; 67(3); 251-251","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000300002&lang=pt" 
"S0718-40262015000300015-chl","PAUTAS DE CHEQUEO, PARTE II: QUOROM Y PRISMA","Moraga C, Javier, Cartes-Velásquez, Ricardo","Revista chilena de cirugía; 67(3); 325-330","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000300015&lang=pt" 
"S2254-28842015000200006-esp","Prevalencia de ansiedad y depresión en pacientes de hemodiálisis","Gómez Vilaseca, Lídia, Pac Gracia, Nuria, Manresa Traguany, Mónica, Lozano Ramírez, Sandra, Chevarria Montesinos, Julio Leonel","Enfermería Nefrológica; 18(2); 112-117","Enfermería Nefrológica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842015000200006&lang=pt" 
"S2254-28842015000200002-esp","Valoración física, condición física y calidad de vida en pacientes con diferentes tratamientos renales sustitutivos","Hernández Sánchez, Sonsoles, García López, David, Santos Lozano, Alejandro, González-Calvo, Gustavo, Brazález Tejerina, Mónica, Garatachea Vallejo, Nuria","Enfermería Nefrológica; 18(2); 81-88","Enfermería Nefrológica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842015000200002&lang=pt" 
"S2254-28842015000200007-esp","Impacto del calibre de las agujas en la calidad de la hemodiálisis","López González, Antonio, Fernández Rivera, Constantino, Díaz Rodríguez, Lorena, Ornosa Agra, Carmen","Enfermería Nefrológica; 18(2); 118-122","Enfermería Nefrológica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842015000200007&lang=pt" 
"S2254-28842015000200008-esp","Utilidad de las tiras reactivas multistix 10 SG® en el diagnóstico de peritonitis en diálisis peritoneal","Núñez Moral, Miguel, Méndez González, Alejandra, Peláez Requejo, Beatriz, Fernández Pérez, Mónica, Quintana Fernández, Aurora, Sánchez Álvarez, José Emilio, Rodríguez Suarez, Carmen, Camblor Martínez, Pablo, González Díaz, Isabel","Enfermería Nefrológica; 18(2); 124-129","Enfermería Nefrológica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842015000200008&lang=pt" 
"S2254-28842015000200009-esp","Conocimiento teórico y apego al procedimiento de diálisis peritoneal del paciente o su familiar","García Meza, Wendy Juana María, Carrillo Cervantes, Ana Laura, Villarreal Reyna, María de los Ángeles, Delabra Salinas, María Magdalena","Enfermería Nefrológica; 18(2); 130-136","Enfermería Nefrológica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842015000200009&lang=pt" 
"S2254-28842015000200005-esp","Valoración del estado nutricional y consumo alimentario de los pacientes en terapia renal sustitutiva mediante hemodiálisis","Pereira Feijoo, M.ª Concepción, Queija Martínez, Lidia, Blanco Pérez, Andrés, Rivera Egusquiza, Ignacio Antonio, Martínez Maestro, Victoria Eugenia, Prada Monterrubio, Zaira","Enfermería Nefrológica; 18(2); 103-111","Enfermería Nefrológica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842015000200005&lang=pt" 
"S2254-28842015000200003-esp","Relación entre calidad de vida y representación de enfermedad en personas con enfermedad renal crónica terminal en tratamiento con hemodiálisis","Pérez Acuña, Claudia, Riquelme Hernández, Giselle, Scharager Goldenberg, Judith, Armijo Rodríguez, Iván","Enfermería Nefrológica; 18(2); 89-96","Enfermería Nefrológica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842015000200003&lang=pt" 
"S1817-40782015000100009-cub","Políticas públicas de cuidado con corresponsabilidad","Álvarez Suárez, Mayda","Revista Novedades en Población; 11(21); -","Revista Novedades en Población","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1817-40782015000100009&lang=pt" 
"S1817-40782015000100004-cub","Latinos en los Estados Unidos: Demografía, transnacionalismo, culturas e identidades","Rodríguez Soriano, María Ofelia","Revista Novedades en Población; 11(21); 1-1","Revista Novedades en Población","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1817-40782015000100004&lang=pt" 
"S1817-40782015000100007-cub","Vulnerabilidad y riesgo en salud: ¿dos conceptos concomitantes?","Araujo González, Rafael","Revista Novedades en Población; 11(21); 89-96","Revista Novedades en Población","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1817-40782015000100007&lang=pt" 
"S1817-40782015000100001-cub","Cuba. Escenarios demográficos hacia 2030","Albizu-Campos Espiñeira, Juan Carlos","Revista Novedades en Población; 11(21); -","Revista Novedades en Población","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1817-40782015000100001&lang=pt" 
"S1817-40782015000100002-cub","Reforma migratoria en Cuba e impacto psicosocial en la sociedad cubana","Martín Fernández, Consuelo, Barcenas Alfonso, Jany","Revista Novedades en Población; 11(21); -","Revista Novedades en Población","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1817-40782015000100002&lang=pt" 
"S1817-40782015000100003-cub","Las migraciones cubanas hacia Estados Unidos bajo la mirada de género: resultados de investigación","Marrero Peniche, Gretel","Revista Novedades en Población; 11(21); 38-48","Revista Novedades en Población","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1817-40782015000100003&lang=pt" 
"S1817-40782015000100010-cub","Construcción del Estado en América del Sur: Apuntes sobre una sociodemografía histórica en el siglo XIX","Burciaga Campos, José Arturo","Revista Novedades en Población; 11(21); 137-151","Revista Novedades en Población","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1817-40782015000100010&lang=pt" 
"S1817-40782015000100008-cub","Un marco para el estudio de la mortalidad en Cuba","Albizu-Campos Espiñeira, Juan Carlos","Revista Novedades en Población; 11(21); -","Revista Novedades en Población","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1817-40782015000100008&lang=pt" 
"S1817-40782015000100006-cub","Ser madre adolescente: &quot;una experiencia bonita, pero complicada&quot;. Estudio de casos en Barinas, 2012","Bombino Companioni, Yenisei, Quintana Llanio, Livia","Revista Novedades en Población; 11(21); 78-88","Revista Novedades en Población","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1817-40782015000100006&lang=pt" 
"S1817-40782015000100005-cub","Fecundidad. Estudio y comportamiento. América Latina y Cuba","Rodríguez Gómez, Grisell, Molina Cintra, Matilde de la C, Quintana Llanio, Livia","Revista Novedades en Población; 11(21); 1-1","Revista Novedades en Población","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1817-40782015000100005&lang=pt" 
"S2254-28842015000200004-esp","Valoración de la acogida de pacientes que inician terapia renal sustitutiva: nivel de satisfacción","Rebollo Rubio, Ana, Pons Raventos, M.ª Eugenia, Macías López, M.ª José, Cabrera Azaña, Sandra","Enfermería Nefrológica; 18(2); 97-102","Enfermería Nefrológica","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842015000200004&lang=pt" 
"S0718-95162015000200009-chl","Rhizosphere effect on pesticide degradation in biobeds under different hydraulic loads","Diez, M.C, Schalchli, H, Elgueta, S, Salgado, E, Millahueque, N, Rubilar, O, Tortella, G.R, Briceño, G","Journal of soil science and plant nutrition; 15(2); 410-421","Journal of soil science and plant nutrition","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-95162015000200009&lang=pt" 
"S1665-89062015000100008-mex","Los procesos subjetivos de la migración en la obra literaria de Tahar Ben Jelloun","Piastro, Julieta","Migraciones internacionales; 8(1); 221-241","Migraciones internacionales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062015000100008&lang=pt" 
"S1665-89062015000100009-mex","Ciudadanos extranjeros","Penchaszadeh, Ana Paula","Migraciones internacionales; 8(1); 243-248","Migraciones internacionales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062015000100009&lang=pt" 
"S1665-89062015000100001-mex","Between Brotherhood and Exceptionalism: Processes of Identification, Social Marking, and Justification in Uruguayan Immigration in Buenos Aires","Merenson, Silvina","Migraciones internacionales; 8(1); 9-37","Migraciones internacionales","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062015000100001&lang=pt" 
"S1665-89062015000100002-mex","Are all Dollars Equal? The Meanings Behind Migrants&#039; Financial Transfers","Mata-Codesal, Diana","Migraciones internacionales; 8(1); 39-64","Migraciones internacionales","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062015000100002&lang=pt" 
"S1665-89062015000100003-mex","Percepciones de los equipos de salud en torno a las mujeres migrantes bolivianas y peruanas en la ciudad de Córdoba","Aizenberg, Lila, Rodríguez, María Laura, Carbonetti, Adrián","Migraciones internacionales; 8(1); 65-94","Migraciones internacionales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062015000100003&lang=pt" 
"S1665-89062015000100004-mex","La movilidad internacional por razones de estudio: Geografía de un fenómeno global","Bermúdez Rico, Rosa Emilia","Migraciones internacionales; 8(1); 95-125","Migraciones internacionales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062015000100004&lang=pt" 
"S1665-89062015000100005-mex","El discurso de la Unión Europea sobre medidas de integración de inmigrantes y sus derivaciones en España","García Juan, Laura","Migraciones internacionales; 8(1); 127-158","Migraciones internacionales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062015000100005&lang=pt" 
"S1665-89062015000100006-mex","Leaving Home for a Better Life? Occupational Mobility of Skilled Immigrants: Some Empirical Comments from Spain in Light of the Current Economic Crisis","Albano, Alessandro, Sánchez-Barricarte, Jesús J.","Migraciones internacionales; 8(1); 159-187","Migraciones internacionales","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062015000100006&lang=pt" 
"S1665-89062015000100007-mex","Trayectorias laborales de las mujeres migrantes cubanas en España","García-Moreno, Cristina","Migraciones internacionales; 8(1); 189-219","Migraciones internacionales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062015000100007&lang=pt" 
"S1665-89062015000100012-mex","Zapotecs on the Move. Cultural, Social, and Political Processes in Transnational Perspective","Quezada Ramírez, María Félix","Migraciones internacionales; 8(1); 261-265","Migraciones internacionales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062015000100012&lang=pt" 
"S1665-89062015000100011-mex","","Torre Cantalapiedra, Eduardo","Migraciones internacionales; 8(1); 255-259","Migraciones internacionales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062015000100011&lang=pt" 
"S1665-89062015000100010-mex","","Villarreal Villamar, María del Carmen","Migraciones internacionales; 8(1); 249-253","Migraciones internacionales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062015000100010&lang=pt" 
"S0004-28032015000200083-scl","ANTIBIOTIC PROPHYLAXIS IN BARIATRIC SURGERY: a continuous infusion of cefazolin versus ampicillin/sulbactam and ertapenem","FERRAZ, Álvaro Antônio Bandeira, SIQUEIRA, Luciana Teixeira de, CAMPOS, Josemberg Marins, ARAÚJO JUNIOR, Guido Correa de, MARTINS FILHO, Euclides Dias, FERRAZ, Edmundo Machado","Arquivos de Gastroenterologia; 52(2); 83-87","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000200083&lang=pt" 
"S0004-28032015000200088-scl","NUTRITIONAL, METABOLIC AND CARDIOVASCULAR CORRELATIONS OF MORNING CORTISOL IN HEALTH CARE WORKERS IN A GASTROENTEROLOGY SERVICE","GUERRA, Aline, SOARES, Rafael Marques, PEZZI, Fernanda, KARKOW, Francisco Juarez, FAINTUCH, Joel","Arquivos de Gastroenterologia; 52(2); 88-93","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000200088&lang=pt" 
"S0004-28032015000200094-scl","COPPER AND MAGNESIUM DEFICIENCIES IN PATIENTS WITH SHORT BOWEL SYNDROME RECEIVING PARENTERAL NUTRITION OR ORAL FEEDING","BRAGA, Camila Bitu Moreno, FERREIRA, Iahel Manon de Lima, MARCHINI, Júlio Sérgio, CUNHA, Selma Freire de Carvalho da","Arquivos de Gastroenterologia; 52(2); 94-99","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000200094&lang=pt" 
"S0004-28032015000200105-scl","ORAL MUCOSA LESIONS AND ORAL SYMPTOMS IN INFLAMMATORY BOWEL DISEASE PATIENTS","LARANJEIRA, Nuno, FONSECA, Jorge, MEIRA, Tânia, FREITAS, João, VALIDO, Sara, LEITÃO, Jorge","Arquivos de Gastroenterologia; 52(2); 105-110","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000200105&lang=pt" 
"S0004-28032015000200111-scl","NONALCOHOLIC FATTY LIVER DISEASE IN PATIENTS WITH CORONARY DISEASE FROM A BRAZIL NORTHEAST AREA","VILAR, Consuêlo Padilha, COTRIM, Helma Pinchemel, FLORENTINO, Gesira Soares Assis, BRAGAGNOLI, Gerson, SCHWINGEL, Paulo Adriano, BARRETO, Cibelle Padilha Vilar","Arquivos de Gastroenterologia; 52(2); 111-116","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000200111&lang=pt" 
"S0004-28032015000200117-scl","PREVALENCE OF NON-ALCOHOLIC FATTY LIVER DISEASE IN WOMEN WITH POLYCYSTIC OVARY SYNDROME AND ITS CORRELATION WITH METABOLIC SYNDROME","ROMANOWSKI, Mariana Drechmer, PAROLIN, Monica Beatriz, FREITAS, Alexandre C T, PIAZZA, Mauri J, BASSO, Jorgete, URBANETZ, Almir A","Arquivos de Gastroenterologia; 52(2); 117-123","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000200117&lang=pt" 
"S0004-28032015000200124-scl","THE INFLUENCE OF END-STAGE LIVER DISEASE AND LIVER TRANSPLANTATION ON THYROID HORMONES","PENTEADO, Karla Rocha, COELHO, Júlio Cezar Uili, PAROLIN, Mônica Beatriz, MATIAS, Jorge Eduardo Fouto, FREITAS, Alexandre Coutinho Teixeira de","Arquivos de Gastroenterologia; 52(2); 124-128","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000200124&lang=pt" 
"S0004-28032015000200134-scl","PERIPHERAL NEUROPATHY ELECTROPHYSIOLOGICAL SCREENING IN CHILDREN WITH CELIAC DISEASE","IŞIKAY, Şedat, IŞIKAY, Nurgül, KOCAMAZ, Halil, HIZLI, Şamil","Arquivos de Gastroenterologia; 52(2); 134-138","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000200134&lang=pt" 
"S0004-28032015000200139-scl","HELICOBACTER PYLORI PREVALENCE IN PATIENTS WITH CELIAC DISEASE: results from a cross-sectional study","LASA, Juan, ZUBIAURRE, Ignacio, DIMA, Guillermo, PERALTA, Daniel, SOIFER, Luis","Arquivos de Gastroenterologia; 52(2); 139-142","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000200139&lang=pt" 
"S0004-28032015000200147-scl","FLUCTUATING JAUNDICE IN THE ADENOCARCINOMA OF THE AMPULLA OF VATER: a classic sign or an exception?","ALVES, José Roberto, AMICO, Enio Campos, SOUZA, Dyego Leandro Bezerra de, OLIVEIRA, Patrick Vanttinny Vieira de, MARANHÃO, Ícaro Godeiro de Oliveira","Arquivos de Gastroenterologia; 52(2); 147-151","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000200147&lang=pt" 
"S0004-28032015000200152-scl","IMMUNOHISTOCHEMICAL EXPRESSION OF HER2 IN ADENOCARCINOMA OF THE STOMACH","DE CARLI, Diego Michelon, ROCHA, Marta Pires da, ANTUNES, Luis Carlos Moreira, FAGUNDES, Renato Borges","Arquivos de Gastroenterologia; 52(2); 152-155","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000200152&lang=pt" 
"S0004-28032015000200156-scl","THE ONTOGENY OF SALIVA SECRETION IN INFANTS AND ESOPHAGOPROTECTION","COLLARES, Edgard Ferro, FERNANDES, Maria Inez Machado","Arquivos de Gastroenterologia; 52(2); 156-160","Arquivos de Gastroenterologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032015000200156&lang=pt" 
"S0034-75902015000300368-scl","INCENTIVO À GERAÇÃO DE IDEIAS: SISTEMA INTERNO DE SUGESTÕES DE ALTO DESEMPENHO","Alvares, Antonio Carlos Teixeira","Revista de Administração de Empresas; 55(3); 368-369","Revista de Administração de Empresas","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902015000300368&lang=pt" 
"S1413-81232015000601652-spa","Desafios para a prevenção de suicídios na idade avança","Conwell, Yeates","Ciência &amp; Saúde Coletiva; 20(6); 1652-1653","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015000601652&lang=pt" 
"S0034-75902015000300239-scl","SIMILARIDADE E PLAGIARISMO: NOVOS DESAFIOS PARA A GESTÃO DE PERIÓDICOS CIENTÍFICOS","DINIZ, EDUARDO","Revista de Administração de Empresas; 55(3); 239-239","Revista de Administração de Empresas","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902015000300239&lang=pt" 
"S1413-81232015000601901-spa","Cuidadores informais de idosos em pós-operatório de cirurgia de fêmur proximal: prevenção de novas quedas","Avila, Marla Andréia Garcia de, Pereira, Gilberto José Cação, Bocchi, Sílvia Cristina Mangini","Ciência &amp; Saúde Coletiva; 20(6); 1901-1907","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015000601901&lang=pt" 
"S1413-81232015000601961-spa","A Medicalização da Vida como estratégia de biopolítica","Canesqui, Ana Maria","Ciência &amp; Saúde Coletiva; 20(6); 1961-1962","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015000601961&lang=pt" 
"S0103-84782015010700002-scl","Diluente TRIS-plasma de gema de ovo é alternativa para criopreservação do sêmen de carneiros","Santos, Ivo Walter dos","Ciência Rural; 45(6); 2-2","Ciência Rural","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015010700002&lang=pt" 
"S0103-84782015010700001-scl","Pesquisa testa uso do 1-MCP para bloquear ação do etileno em plantas de pimenta ornamental","Finger, Fernando","Ciência Rural; 45(6); 1-1","Ciência Rural","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015010700001&lang=pt" 
"S0103-84782015000601073-scl","Endodontics pastes formulated with copaiba oil: action on oral microbiota and dentin bridge formation in dogs","Dias, Fernanda Gosuen Gonçalves, Casemiro, Luciana Assirati, Martins, Carlos Henrique Gomes, Dias, Luis Gustavo Gosuen Gonçalves, Pereira, Lucas de Freitas, Nishimura, Lilian Toshiko, Souza, Fabiana Ferreira de, Honsho, Cristiane dos Santos","Ciência Rural; 45(6); 1073-1078","Ciência Rural","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015000601073&lang=pt" 
"S0103-84782015000600977-scl","Oil quality of passion fruit seeds subjected to a pulp-waste purification process","Regis, Suelen Alvarenga, Resende, Eder Dutra de, Antoniassi, Rosemar","Ciência Rural; 45(6); 977-984","Ciência Rural","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015000600977&lang=pt" 
"S0103-84782015000600970-scl","Avaliação do vigor de sementes de girassol por meio de análise de imagens de plântulas","Rocha, Cartiane Rubshirley Macêdo da, Silva, Vanessa Neumann, Cicero, Silvio Moure","Ciência Rural; 45(6); 970-976","Ciência Rural","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015000600970&lang=pt" 
"S0103-84782015000601113-scl","Estabilidade lipídica de filés de carpa húngara congelados tratados com extratos de Lippia Alba","Veeck, Ana Paula de Lima, Klein, Bruna, Ruviaro, Amanda Roggia, Quatrin, Andréia, Ferreira, Lauren Fresinghelli, Daniel, Ana Paula, Piccolo, Jaqueline, Oliveira, Maurício Schneider, Mallmann, Carlos Augusto, Heinzmann, Berta Maria, Emanuelli, Tatiana","Ciência Rural; 45(6); 1113-1119","Ciência Rural","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015000601113&lang=pt" 
"S0103-84782015000601107-scl","Crioprotetor para sêmen de carneiro a base de plasma de gema mantém membrana acrossomal intacta após a descongelação","Santos, Ivo Walter dos, Nóbrega Junior, Jandui Escarião da, Cesaro, Matheus Pedrotti de, Ilha, Gustavo Freitas, Rovani, Monique Tomazele, Gonçalves, Paulo Bayard Dias","Ciência Rural; 45(6); 1107-1112","Ciência Rural","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015000601107&lang=pt" 
