"S0103-73072009010300001-scl","A educação pelas imagens e suas geografias","","Pro-Posições; 20(3); -","Pro-Posições","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072009010300001&lang=pt" 
"S0004-282X2009000600005-scl","Clinical and electroencephalographic characteristics of a cohort of patients with epilepsy and absence seizures","Alves-Leon, Soniza Vieira, Cardoso, Maria Fátima Bento de Souza, Pereira, Valéria Coelho Santa Rita, Meira, Isabela D&#039;Andrea","Arquivos de Neuro-Psiquiatria; 67(4); 986-994","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600005&lang=pt" 
"S0004-282X2009000600006-scl","Correlations between subjective and objective features of nocturnal sleep and excessive diurnal sleepiness in patients with narcolepsy","Jiménez-Correa, Ulises, Haro, Reyes, Obdulia González, Rosa, Velázquez-Moctezuma, Javier","Arquivos de Neuro-Psiquiatria; 67(4); 995-1000","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600006&lang=pt" 
"S0004-282X2009000600008-scl","Alcohol consumption and sudden unexpected death in epilepsy: experimental approach","ScorzaI, Carla A., Cysneiros, Roberta M., Arida, Ricardo M., Terra, Vera C., Machado, Hélio R., Almeida, Antonio-Carlos G. de, Cavalheiro, Esper A., Scorza, Fulvio A.","Arquivos de Neuro-Psiquiatria; 67(4); 1003-1006","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600008&lang=pt" 
"S0004-282X2009000600009-scl","Evaluation of intense physical effort in subjects with temporal lobe epilepsy","Camilo, Fabio, Scorza, Fúlvio Alexandre, Albuquerque, Marly de, Vancini, Rodrigo Luiz, Cavalheiro, Esper Abrão, Arida, Ricardo Mario","Arquivos de Neuro-Psiquiatria; 67(4); 1007-1012","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600009&lang=pt" 
"S0004-282X2009000600010-scl","Physical exercise in rats with epilepsy is protective against seizures: evidence of animal studies","Arida, Ricardo Mario, Scorza, Fulvio Alexandre, Terra, Vera Cristina, Cysneiros, Roberta Monterazzo, Cavalheiro, Esper Abrão","Arquivos de Neuro-Psiquiatria; 67(4); 1013-1016","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600010&lang=pt" 
"S0004-282X2009000600011-scl","Study of oligoclonal bands restricted to the cerebrospinal fluid in multiple sclerosis patients in the city of São Paulo","Gama, Paulo Diniz da, Machado, Luís dos Ramos, Livramento, José Antonio, Gomes, Hélio Rodrigues, Adoni, Tarso, Lino, Angelina Maria Martins, Marchiori, Paulo Eurípedes, Morales, Rogério de Rizo, Lana-Peixoto, Marco Aurélio, Callegaro, Dagoberto","Arquivos de Neuro-Psiquiatria; 67(4); 1017-1022","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600011&lang=pt" 
"S0004-282X2009000600012-scl","Clinical behavior of Streptococcus pneumoniae meningoencephalitis","Bu-Coifiu Fanego, Raisa, Dorta-Contreras, Alberto J., Padilla-Docal, Bárbara, O&#039; Farril-Sanchez, Martha, Lopez-Hernandez, Isabel","Arquivos de Neuro-Psiquiatria; 67(4); 1023-1028","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600012&lang=pt" 
"S0004-282X2009000600013-scl","Predictive factors for spasticity among ischemic stroke patients","Moura, Rita de Cássia dos Reis, Fukujima, Márcia Maiumi, Aguiar, Alexandre Santos, Fontes, Sissy Veloso, Dauar, Rafi Felício Bauab, Prado, Gilmar Fernandes do","Arquivos de Neuro-Psiquiatria; 67(4); 1029-1036","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600013&lang=pt" 
"S0004-282X2009000600014-scl","Hyponatremia and brain injury: absence of alterations of serum brain natriuretic peptide and vasopressin","Costa, Karina Nascimento, Nakamura, Helen Mayumi, Cruz, Leonardo Rodrigues da, Miranda, Lucas Sampaio Valente Fernandes de, Santos-Neto, Rubens Carneiro dos, Cosme, Susyanne de Lavor, Casulari, Luiz Augusto","Arquivos de Neuro-Psiquiatria; 67(4); 1037-1044","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600014&lang=pt" 
"S0004-282X2009000600015-scl","Conjugal amyotrophic lateral sclerosis in Brazil","Godeiro-Junior, Clecio, Oliveira, Acary S.B., Felicio, Andre C., Chieia, Marco A., Gabbai, Alberto Alain","Arquivos de Neuro-Psiquiatria; 67(4); 1045-1048","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600015&lang=pt" 
"S0004-282X2009000600019-scl","Stereotactic biopsy for intracranial lesions: clinical-pathological compatibility in 60 patients","Silva, Eduardo Urbano da, Vasconcellos, Lucas Perez de, Lara Jr., Nilton Alves, Veiga, José Carlos Esteves, Lancellotti, Carmen Lúcia Penteado, Shiozawa, Pedro","Arquivos de Neuro-Psiquiatria; 67(4); 1062-1065","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600019&lang=pt" 
"S0004-282X2009000600021-scl","Clinical features of multiple sclerosis in the south of Brazil: a partial analysis","Finkelsztejn, Alessandro, Cristovam, Rafael do Amaral, Moraes, Gisele Silva de, Lopes, Mariah Graziani de Souza Mello, Silva, Aline Vitali da, Garcia, Marcio Severo, Cola, Caroline Miotto Menegat, Bastiani, Carlos Eduardo, Ferreira, Lísia Barros, Costa, Amanda Lucas da, Schneider, Silvete Maria Brandão, Frison, Thirzá Baptista","Arquivos de Neuro-Psiquiatria; 67(4); 1071-1075","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600021&lang=pt" 
"S0004-282X2009000600022-scl","Awareness of stroke risk factors and warning signs in southern Brazil","Falavigna, Asdrubal, Teles, Alisson Roberto, Vedana, Viviane Maria, Kleber, Fabrício Diniz, Mosena, Gabriela, Velho, Maíra Cristina, Mazzocchin, Thaís, Silva, Roberta Castilhos da, Lucena, Luzia Fernanda, Santin, Juliana Tosetto, Roth, Felipe","Arquivos de Neuro-Psiquiatria; 67(4); 1076-1081","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600022&lang=pt" 
"S0004-282X2009000600023-scl","Treatment of colloid cysts of the third ventricle through neuroendoscopic Nd: YAG laser stereotaxis","Pinto, Fernando Campos Gomes, Chavantes, Maria Cristina, Fonoff, Erich Talamoni, Teixeira, Manoel Jacobsen","Arquivos de Neuro-Psiquiatria; 67(4); 1082-1087","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600023&lang=pt" 
"S0004-282X2009000600035-scl","Spinocerebellar ataxias","Teive, Hélio A.G.","Arquivos de Neuro-Psiquiatria; 67(4); 1133-1142","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000600035&lang=pt" 
"S1415-790X2009000400018-scl","A organização da Vigilância Alimentar e Nutricional no Sistema Único de Saúde: histórico e desafios atuais","Coutinho, Janine Giuberti, Cardoso, Antônio José Costa, Toral, Natacha, Silva, Ana Carolina Feldenheimer da, Ubarana, Juliana Amorim, Aquino, Kelva Karina Nogueira de Carvalho de, Nilson, Eduardo Augusto Fernandes, Fagundes, Antônio, Vasconcellos, Ana Beatriz","Revista Brasileira de Epidemiologia; 12(4); 688-699","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2009000400018&lang=pt" 
"S1415-790X2009000400002-scl","Caracterização epidemiológica dos casos de varicela em pacientes internados em um hospital universitário da cidade do Recife","Anjos, Karina Siqueira dos, Ferreira, Marília Monteiro Emídio, Arruda, Maria do Céu, Ramos, Karla da Silva, Magalhães, Ana Paula Regazzi","Revista Brasileira de Epidemiologia; 12(4); 523-532","Revista Brasileira de Epidemiologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2009000400002&lang=pt" 
"S1415-790X2009000400003-scl","Situação vacinal e associação com a qualidade de vida, a funcionalidade e a motivação para o autocuidado em idosos","Santos, Beatriz Regina Lara dos, Creutzberg, Marion, Cardoso, Renata F. M. L., Lima, Sabrina F. de, Gustavo, Andréia da S., Viegas, Karin, Welfer, Márcia, Souza, Antônio Carlos A. de","Revista Brasileira de Epidemiologia; 12(4); 533-540","Revista Brasileira de Epidemiologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2009000400003&lang=pt" 
"S1415-790X2009000400004-scl","Correlation between schizophrenia and seasonality of birth in a tropical region","Mendonça, Fernanda A. S., Machado, Diogo R., Lima, Juliane A. F. de, Bortollotti, Gislaine M. F., Grilo, Roseana C., Santos, Gláucia M. T. dos","Revista Brasileira de Epidemiologia; 12(4); 541-548","Revista Brasileira de Epidemiologia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2009000400004&lang=pt" 
"S1415-790X2009000400005-scl","Características clínicas e epidemiológicas da leishmaniose visceral em crianças internadas em um hospital universitário de referência no norte de Minas Gerais, Brasil","Xavier-Gomes, Ludmila Mourão, Costa, Wagner Barreto, Prado, Patrícia Fernandes do, Oliveira-Campos, Maryane, Leite, Maisa Tavares de Souza","Revista Brasileira de Epidemiologia; 12(4); 549-555","Revista Brasileira de Epidemiologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2009000400005&lang=pt" 
"S1415-790X2009000400006-scl","Mortalidade feminina por hipertensão: análise por causas múltiplas","Oliveira, Bruno Zoca de, Gotlieb, Sabina Léa Davidson, Laurenti, Ruy, Jorge, Maria Helena Prado de Mello","Revista Brasileira de Epidemiologia; 12(4); 556-565","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2009000400006&lang=pt" 
"S1415-790X2009000400007-scl","Conhecimento e atitudes dos profissionais de saúde em relação à violência de gênero","Vieira, Elisabeth Meloni, Perdona, Gleici de Castro Silva, Almeida, Ana Maria de, Nakano, Ana Márcia Spano, Santos, Manoel Antônio dos, Daltoso, Daniela, Ferrante, Fernanda Garbelini De","Revista Brasileira de Epidemiologia; 12(4); 566-577","Revista Brasileira de Epidemiologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2009000400007&lang=pt" 
"S1415-790X2009000400008-scl","Acurácia de informações sobre classes de medicamentos obtidas com questionário postal aplicado a idosos - Rio de Janeiro, RJ","Vasconcelos, Maria Estrella L., Fonseca, Maria J. M., Rozenfeld, Suely, Acurcio, Francisco A.","Revista Brasileira de Epidemiologia; 12(4); 578-590","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2009000400008&lang=pt" 
"S1415-790X2009000400009-scl","Atendimento pré-hospitalar móvel em Fortaleza, Ceará: a visão dos profissionais envolvidos","Silva, Juliana Guimarães e, Vieira, Luiza Jane Eyre de Souza, Pordeus, Augediva Maria Jucá, Souza, Edinilsa Ramos de, Gonçalves, Marcelo Luiz Carvalho","Revista Brasileira de Epidemiologia; 12(4); 591-603","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2009000400009&lang=pt" 
"S1415-790X2009000400011-scl","Tabagismo e fatores associados em adultos: um estudo de base populacional","Kuhnen, Mirian, Boing, Antonio Fernando, Oliveira, Maria Conceição de, Longo, Giana Zarbato, Njaine, Kathie","Revista Brasileira de Epidemiologia; 12(4); 615-626","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2009000400011&lang=pt" 
"S1415-790X2009000400012-scl","Validity and reliability of self-reported weight and height measures for the diagnoses of adolescent&#039;s nutritional status","Enes, Carla Cristina, Fernandez, Priscila Maria Fúncia, Voci, Silvia Maria, Toral, Natacha, Romero, Alexandre, Slater, Betzabeth","Revista Brasileira de Epidemiologia; 12(4); 627-635","Revista Brasileira de Epidemiologia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2009000400012&lang=pt" 
"S1415-790X2009000400013-scl","Associação entre excesso de peso e hábito de fumar, Santarém, PA, 2007","Sá, Naíza Nayla Bandeira de, Moura, Erly Catarina","Revista Brasileira de Epidemiologia; 12(4); 636-645","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2009000400013&lang=pt" 
"S1415-790X2009000400014-scl","Epidemiologia das atividades físicas praticadas no tempo de lazer por adultos do Sul do Brasil","Dumith, Samuel C., Domingues, Marlos R., Gigante, Denise P.","Revista Brasileira de Epidemiologia; 12(4); 646-656","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2009000400014&lang=pt" 
"S1415-790X2009000400015-scl","Excesso de peso entre trabalhadores de uma indústria: prevalência e fatores associados","Höfelmann, Dorotéia Aparecida, Blank, Nelson","Revista Brasileira de Epidemiologia; 12(4); 657-670","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2009000400015&lang=pt" 
"S1415-790X2009000400016-scl","Conhecimento sobre asma das mães de crianças acometidas pela patologia, em área coberta pelo Programa Saúde da Família","Stephan, Ana Maria Siga, Costa, Juvenal Soares Dias da","Revista Brasileira de Epidemiologia; 12(4); 671-679","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2009000400016&lang=pt" 
"S1415-790X2009000400017-scl","Prevalência de cárie dentária e condições socioeconômicas em jovens alistandos de Manaus, Amazonas, Brasil","Viana, Alcione Regina Pegoraro, Parente, Rosana Cristina Pereira, Borras, Maria Rosa, Rebelo, Maria Augusta Bessa","Revista Brasileira de Epidemiologia; 12(4); 680-687","Revista Brasileira de Epidemiologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-790X2009000400017&lang=pt" 
"S0482-50042009000600002-scl","Traços de personalidade e suas alterações em mulheres com lúpus","Ayache, Danusa Céspedes Guizzo, Costa, Izaías Pereira da","Revista Brasileira de Reumatologia; 49(6); 643-657","Revista Brasileira de Reumatologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042009000600002&lang=pt" 
"S0482-50042009000600003-scl","Avaliação do risco coronariano em mulheres com lúpus eritematoso sistêmico","Cadaval, Ricardo A. M., Martinez, José Eduardo, Mazzolin, Milene A., Barros, Renata G. T., Almeida, Fernando Antonio de","Revista Brasileira de Reumatologia; 49(6); 658-669","Revista Brasileira de Reumatologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042009000600003&lang=pt" 
"S0482-50042009000600005-scl","Aspectos da saúde reprodutiva em homens com miopatia inflamatória idiopática: um estudo multicêntrico","Silva, Clovis Artur Almeida da, Moraes, Ana Julia Pantoja, Leal, Marta Miranda, Sallum, Adriana Maluf Elias, Bonfá, Eloísa, Borges, Claudia Tereza Lobato, Hilário, Maria Odete Esteves, Terreri, Maria Teresa, Ronchezel, Marcos, Saito, Osmar, Hallak, Jorge","Revista Brasileira de Reumatologia; 49(6); 677-689","Revista Brasileira de Reumatologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042009000600005&lang=pt" 
"S0482-50042009000600007-scl","Manifestações musculoesqueléticas no hiperparatireoidismo primário","Shinjo, Samuel Katsuyuki, Pereira, Rosa Maria Rodrigues, Borssatto, Adriane Gisele Fonseca, Kochen, Jussara Almeida Lima","Revista Brasileira de Reumatologia; 49(6); 703-711","Revista Brasileira de Reumatologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042009000600007&lang=pt" 
"S0482-50042009000600008-scl","Equívocos diagnósticos envolvendo as tendinites: impacto médico, social, jurídico e econômico","Siena, Cesar, Helfenstein Jr, Milton","Revista Brasileira de Reumatologia; 49(6); 712-725","Revista Brasileira de Reumatologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042009000600008&lang=pt" 
"S0080-62342009000500002-scl","Psicometria","Pasquali, Luiz","Revista da Escola de Enfermagem da USP; 43(spe); 992-999","Revista da Escola de Enfermagem da USP","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342009000500002&lang=pt" 
"S0080-62342009000500003-scl","Teoria da Resposta ao Item","Araujo, Eutalia Aparecida Candido de, Andrade, Dalton Francisco de, Bortolotti, Silvana Ligia Vincenzi","Revista da Escola de Enfermagem da USP; 43(spe); 1000-1008","Revista da Escola de Enfermagem da USP","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342009000500003&lang=pt" 
"S0080-62342009000500007-scl","Instrumento de avaliação da qualidade de vida para hipertensos de Bulpitt e Fletcher","Gusmão, Josiane Lima de, Pierin, Angela Maria Geraldo","Revista da Escola de Enfermagem da USP; 43(spe); 1034-1043","Revista da Escola de Enfermagem da USP","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342009000500007&lang=pt" 
"S0080-62342009000500009-scl","Escala Bianchi de Stress","Bianchi, Estela Regina Ferraz","Revista da Escola de Enfermagem da USP; 43(spe); 1055-1062","Revista da Escola de Enfermagem da USP","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342009000500009&lang=pt" 
"S0080-62342009000500010-scl","Instrumento de Medida do Sentimento de Impotência para pacientes adultos","Braga, Cristiane Giffoni, Cruz, Diná de Almeida Lopes Monteiro da","Revista da Escola de Enfermagem da USP; 43(spe); 1063-1070","Revista da Escola de Enfermagem da USP","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342009000500010&lang=pt" 
"S0080-62342009000500011-scl","Validade e confiabilidade do Inventário de Atitudes frente à Dor Crônica (IAD-28 itens) em lingua portuguesa","Pimenta, Cibele Andrucioli de Mattos, Kurita, Geana Paula, Silva, Evelani Martins da, Cruz, Diná de Almeida Lopes Monteiro da","Revista da Escola de Enfermagem da USP; 43(spe); 1071-1079","Revista da Escola de Enfermagem da USP","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342009000500011&lang=pt" 
"S0080-62342009000500012-scl","Pictograma de Fadiga: uma alternativa para avaliação da intensidade e impacto da fadiga","Mota, Dálete Delalibera Corrêa de Faria, Pimenta, Cibele Andrucioli de Mattos, Fitch, Margaret Isabel","Revista da Escola de Enfermagem da USP; 43(spe); 1080-1087","Revista da Escola de Enfermagem da USP","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342009000500012&lang=pt" 
"S0080-62342009000500014-scl","Índice de qualidade de vida de Ferrans e Powers","Kimura, Miako, Silva, José Vitor da","Revista da Escola de Enfermagem da USP; 43(spe); 1098-1104","Revista da Escola de Enfermagem da USP","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342009000500014&lang=pt" 
"S0080-62342009000500016-scl","Adaptação cultural e validação do instrumento The Bowel Function in the Community para o Brasil","Domansky, Rita de Cássia, Santos, Vera Lúcia Conceição de Gouveia","Revista da Escola de Enfermagem da USP; 43(spe); 1114-1129","Revista da Escola de Enfermagem da USP","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342009000500016&lang=pt" 
"S0104-12902009000400003-scl","Reconstruindo memórias: jovens refugiados em Portugal","Santinho, Maria Cristina","Saúde e Sociedade; 18(4); 582-589","Saúde e Sociedade","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902009000400003&lang=pt" 
"S0104-12902009000400007-scl","O Jornal da Paulista: a configuração de um meio de divulgação universitária numa perspectiva histórica","Teixeira, Carlos Antonio, Silva, Márcia Regina Barros da, Gallian, Dante Marcello Claramonte","Saúde e Sociedade; 18(4); 627-638","Saúde e Sociedade","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902009000400007&lang=pt" 
"S0104-12902009000400009-scl","Estudo das habilidades adaptativas desenvolvidas por jovens com Síndrome de Down incluídos e não incluídos no mercado de trabalho","Gomes-Machado, Maria Luiza, Chiari, Brasilia Maria","Saúde e Sociedade; 18(4); 652-661","Saúde e Sociedade","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902009000400009&lang=pt" 
"S0104-12902009000400011-scl","Problemas vocais no trabalho: prevenção na prática docente sob a óptica do professor","Luchesi, Karen Fontes, Mourão, Lucia Figueiredo, Kitamura, Satoshi, Nakamura, Helenice Yemi","Saúde e Sociedade; 18(4); 673-681","Saúde e Sociedade","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902009000400011&lang=pt" 
"S0104-12902009000400012-scl","Indústria moderna e padrão alimentar: o espaço do trabalho, do consumo e da saúde","Viana, Solange Veloso","Saúde e Sociedade; 18(4); 682-694","Saúde e Sociedade","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902009000400012&lang=pt" 
"S0104-12902009000400013-scl","Saúde reprodutiva e sexual masculina em Francisco Morato, SP: o discurso de profissionais, gerentes e gestores de saúde","Ribeiro, Tiago Noel","Saúde e Sociedade; 18(4); 695-706","Saúde e Sociedade","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902009000400013&lang=pt" 
"S0104-12902009000400014-scl","Papel da mulher de camadas populares de Manaus na produção de cuidados da saúde","Gutierrez, Denise Machado Duran, Minayo, Maria Cecília de Souza","Saúde e Sociedade; 18(4); 707-720","Saúde e Sociedade","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902009000400014&lang=pt" 
"S0104-12902009000400016-scl","Empoderamento: processo de fortalecimento dos sujeitos nos espaços de participação social e democratização política","Kleba, Maria Elisabeth, Wendausen, Agueda","Saúde e Sociedade; 18(4); 733-743","Saúde e Sociedade","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902009000400016&lang=pt" 
"S0104-12902009000400019-scl","Violência simbólica no campo da saúde: relato de um caso de cura espiritual em um espaço terapêutico híbrido","Puttini, Rodolfo Franco","Saúde e Sociedade; 18(4); 762-775","Saúde e Sociedade","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902009000400019&lang=pt" 
"S0104-12902009000400020-scl","Programa de atenção particularizada ao idoso em unidades básicas de saúde","Ferreira, Aleksandro Belo, Minann, Carlos André, Paganini, Camila Bianca Lecciolle, Falce, Thiago Souza La, Todeschini, Alexandre Bossi, Eras, Aline Estefanes, Chekin, Giovana, Motta, Bruno Ribeiro, Carneiro Junior, Nivaldo","Saúde e Sociedade; 18(4); 776-786","Saúde e Sociedade","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902009000400020&lang=pt" 
"S0104-12902009000400002-scl","Saúde e doença em Moçambique","Granjo, Paulo","Saúde e Sociedade; 18(4); 567-581","Saúde e Sociedade","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902009000400002&lang=pt" 
"S0104-12902009000400008-scl","Representações de trabalhadores portuários de Santos-SP sobre a relação trabalho-saúde","Machin, Rosana, Couto, Márcia Thereza, Rossi, Cintia Cristina Silva","Saúde e Sociedade; 18(4); 639-651","Saúde e Sociedade","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902009000400008&lang=pt" 
"S0104-12902009000400015-scl","A amizade e a politização de redes sociais de suporte: reflexões com base em estudo de ONG/Aids na grande São Paulo","Silva, Carlos Roberto de Castro e","Saúde e Sociedade; 18(4); 721-732","Saúde e Sociedade","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902009000400015&lang=pt" 
"S0104-12902009000400022-scl","Dermatúnel: modelo de ambiente interativo de aprendizagem em dermatologia","Paixão, Maurício Pedreira, Miot, Hélio Amante, Oliveira Filho, Jayme de, Wen, Chao Lung","Saúde e Sociedade; 18(4); 800-808","Saúde e Sociedade","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902009000400022&lang=pt" 
"S1415-790X2009000400002-spa","Caracterização epidemiológica dos casos de varicela em pacientes internados em um hospital universitário da cidade do Recife","Anjos, Karina Siqueira dos, Ferreira, Marília Monteiro Emídio, Arruda, Maria do Céu, Ramos, Karla da Silva, Magalhães, Ana Paula Regazzi","Revista Brasileira de Epidemiologia; 12(4); 523-532","Revista Brasileira de Epidemiologia","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2009000400002&lang=pt" 
"S1415-790X2009000400003-spa","Situação vacinal e associação com a qualidade de vida, a funcionalidade e a motivação para o autocuidado em idosos","Santos, Beatriz Regina Lara dos, Creutzberg, Marion, Cardoso, Renata F. M. L., Lima, Sabrina F. de, Gustavo, Andréia da S., Viegas, Karin, Welfer, Márcia, Souza, Antônio Carlos A. de","Revista Brasileira de Epidemiologia; 12(4); 533-540","Revista Brasileira de Epidemiologia","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2009000400003&lang=pt" 
"S1415-790X2009000400005-spa","Características clínicas e epidemiológicas da leishmaniose visceral em crianças internadas em um hospital universitário de referência no norte de Minas Gerais, Brasil","Xavier-Gomes, Ludmila Mourão, Costa, Wagner Barreto, Prado, Patrícia Fernandes do, Oliveira-Campos, Maryane, Leite, Maisa Tavares de Souza","Revista Brasileira de Epidemiologia; 12(4); 549-555","Revista Brasileira de Epidemiologia","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2009000400005&lang=pt" 
"S1415-790X2009000400007-spa","Conhecimento e atitudes dos profissionais de saúde em relação à violência de gênero","Vieira, Elisabeth Meloni, Perdona, Gleici de Castro Silva, Almeida, Ana Maria de, Nakano, Ana Márcia Spano, Santos, Manoel Antônio dos, Daltoso, Daniela, Ferrante, Fernanda Garbelini De","Revista Brasileira de Epidemiologia; 12(4); 566-577","Revista Brasileira de Epidemiologia","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2009000400007&lang=pt" 
"S1415-790X2009000400010-spa","Prevalência de dor musculoesquelética em professores","Cardoso, Jefferson Paixão, Ribeiro, Isadora de Queiroz Batista, Araújo, Tânia Maria de, Carvalho, Fernando Martins, Reis, Eduardo José Farias Borges dos","Revista Brasileira de Epidemiologia; 12(4); 604-614","Revista Brasileira de Epidemiologia","Inglês, Português","2009","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2009000400010&lang=pt" 
