"S1130-01082008000100008-esp","Metástasis adrenal de carcinoma pulmonar","Rodríguez-Hermosa, J. I., Roig, J., Ortuño, P., Quiles, A. M., Recasens, M., Codina-Cazador, A.","Revista Española de Enfermedades Digestivas; 100(1); 45-46","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100008&lang=pt" 
"S1130-01082008000100015-esp","Enfermedad de Menetrier localizada, asociada a adenocarcinoma gástrico","Mellado-Castillero, J. M., Ibáñez-Delgado, F., Alcántara-Gijón, F., Vázquez-Medina, A., Hernández de la Torre, J. M.","Revista Española de Enfermedades Digestivas; 100(1); 60-61","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100015&lang=pt" 
"S1130-01082008000100014-esp","Trasplante de hígado en la poliquistosis hepática gigante con insuficiencia hepática terminal","García-Gil, F. A., Güemes Sánchez, A., Esteban Grau, E., Lamata Hernández, F., Sousa Domínguez, R., Serrano Aulló, M. T.","Revista Española de Enfermedades Digestivas; 100(1); 59-60","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100014&lang=pt" 
"S1130-01082008000100017-esp","Esquistosomiasis con afectación rectal y hepática","Baños Madrid, R., Alemán Lorca, F., Serrano Jiménez, A., Alajarín Cervera, M., Alberca de las Parras, F., Molina Martínez, J., Carballo Alvárez, F.","Revista Española de Enfermedades Digestivas; 100(1); 62-64","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100017&lang=pt" 
"S1130-01082008000100001-esp","Claroscuros en la enfermedad celiaca","Casellas Jordá, F., Malagelada Benaprés, J. R.","Revista Española de Enfermedades Digestivas; 100(1); 1-4","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100001&lang=pt" 
"S1130-01082008000100019-esp","","","Revista Española de Enfermedades Digestivas; 100(1); 65-65","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100019&lang=pt" 
"S1130-01082008000100016-esp","Genotipo VHC emergente en Castellón","Téllez-Castillo, C. J., Gil-Fortuño, M., Pardo Serrano, F. J., Palau-Canós, A., Ripolles Vilar, V.","Revista Española de Enfermedades Digestivas; 100(1); 62-62","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100016&lang=pt" 
"S1130-01082008000100012-esp","Enteroscopia de doble balón","Pérez-Cuadrado, E., Esteban Delgado, P.","Revista Española de Enfermedades Digestivas; 100(1); 57-57","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100012&lang=pt" 
"S1130-01082008000100007-esp","¿Cuándo es demasiado pronto y cuándo demasiado tarde para la cirugía en la enfermedad de Crohn?","Fernández-Blanco Hernáiz, J. I., Monturiol Jalón, J. M.","Revista Española de Enfermedades Digestivas; 100(1); 35-44","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100007&lang=pt" 
"S1130-01082008000100006-esp","El intestino: pieza clave del sistema inmunitario","Ramiro-Puig, E., Pérez-Cano, F. J., Castellote, C., Franch, A., Castell, M.","Revista Española de Enfermedades Digestivas; 100(1); 29-34","Revista Española de Enfermedades Digestivas","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082008000100006&lang=pt" 
"S0212-71992008000100013-esp","Hipernefroma sobre riñón en herradura","Sierra Verruga, B., Navarro Calzada, J., Sánchez Marteles, M., Navarro Gil, J.","Anales de Medicina Interna; 25(1); 45-46","Anales de Medicina Interna","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992008000100013&lang=pt" 
"S0212-71992008000100009-esp","Accidente isquémico transitorio asociado a síndrome de calcinosis cerebral","Asensio Moreno, C., Arias Jiménez, J. L., Aramburu Bodas, O., Ortega Calvo, M., Pérez Cano, R.","Anales de Medicina Interna; 25(1); 33-35","Anales de Medicina Interna","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992008000100009&lang=pt" 
"S0212-71992008000100001-esp","Indicadores pronósticos en el tromboembolismo pulmonar","Calvo Romero, J. M., Lima Rodríguez, E. M.","Anales de Medicina Interna; 25(1); 1-3","Anales de Medicina Interna","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992008000100001&lang=pt" 
"S0212-71992008000100015-esp","Necrosis epidérmica tóxica por colirio de dorzolamida","Asensio-Sánchez, V. M.","Anales de Medicina Interna; 25(1); 47-48","Anales de Medicina Interna","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992008000100015&lang=pt" 
"S0212-71992008000100008-esp","Infarto agudo de miocardio en gestante a término de 39 semanas tratado con fibrinolisis","Camacho Pulido, J. A., Jiménez Sánchez, J. M., Montijano Vizcaíno, A., Jurado Lara, B., Molina Ortega, A. de","Anales de Medicina Interna; 25(1); 31-32","Anales de Medicina Interna","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992008000100008&lang=pt" 
"S0212-71992008000100011-esp","¿Definimos correctamente la EPOC?","Fuente Cid, R. de la, González Barcala, F. J., Pose Reino, A., Valdés Cudrado, L.","Anales de Medicina Interna; 25(1); 41-43","Anales de Medicina Interna","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992008000100011&lang=pt" 
"S0212-71992008000100005-esp","Síndrome de Tako-Tsubo (discinesia apical transitoria): Un síndrome que simula un infarto de miocardio","Salaverría Garzón, I., Villaseñor Navas, M., Sánchez Herrera, S., Martínez Elbal, L.","Anales de Medicina Interna; 25(1); 20-22","Anales de Medicina Interna","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992008000100005&lang=pt" 
"S0212-71992008000100002-esp","Tratamiento de la trombosis venosa profunda con heparinas de bajo peso molecular: Estudio comparativo con anticoagulación oral","Alonso Marínez, J. L., Abínzano Guillén, M. L., Urbieta Echezarreta, M. A., Annichérico Sánchez, F. J., Fernández Ladrón, V., García Sanchotena, J. L.","Anales de Medicina Interna; 25(1); 4-8","Anales de Medicina Interna","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992008000100002&lang=pt" 
"S0212-71992008000100004-esp","Síndrome de apnea del sueño en la insuficiencia cardiaca: Efecto de la presión positiva continua en la vía aérea","Blanco Pérez, J. J., Zamarrón Sanz, C., Almazán Ortega, R., García García, M., López Castro, J., Tumbeiro Novoa, M.","Anales de Medicina Interna; 25(1); 15-19","Anales de Medicina Interna","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992008000100004&lang=pt" 
"S0212-71992008000100007-esp","Neumonitis secundaria a metotrexate","Sáenz Abad, D., Ruiz-Ruiz, F. J., Monón Ballarín, S., Mozota Duarte, J., Marquina Barcos, A.","Anales de Medicina Interna; 25(1); 27-30","Anales de Medicina Interna","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992008000100007&lang=pt" 
"S0212-71992008000100006-esp","Sarcoidosis sistémica necrotizante con afectación pulmonar y del sistema nervioso central","Ríos Fernández, R., Callejas-Rubio, J. L., Guerrero Fernández, M., Serrano Falcón, M. M., Ortego-Centeno, N.","Anales de Medicina Interna; 25(1); 23-26","Anales de Medicina Interna","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992008000100006&lang=pt" 
"S0212-71992008000100010-esp","Tratamiento adyuvante en el cáncer de mama operable","Khosravi Shahi, P., Izarzugaza Perón, Y., Encinas García, S., Díaz Muñoz de la Espada, V. M., Pérez Manga, G.","Anales de Medicina Interna; 25(1); 36-40","Anales de Medicina Interna","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992008000100010&lang=pt" 
"S0212-71992008000100018-esp","Parálisis facial periférica bilateral idiopática en una paciente de 38 años","Perelló, R., Supervía, A., Jiménez, J., Pallás, O.","Anales de Medicina Interna; 25(1); 50-51","Anales de Medicina Interna","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992008000100018&lang=pt" 
"S0212-71992008000100016-esp","Ingresos en HADO desde el Servicio de Urgencias","Villamil Cajoto, I., Masa Vázquez, L., Fernández Benito, J., Valdés Bermejo, R.","Anales de Medicina Interna; 25(1); 48-49","Anales de Medicina Interna","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992008000100016&lang=pt" 
"S0212-71992008000100012-esp","Déficit aislado de ACTH","Artigues Barceló, A., Ferragut Reus, M.","Anales de Medicina Interna; 25(1); 44-45","Anales de Medicina Interna","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992008000100012&lang=pt" 
"S0212-71992008000100014-esp","Neumonía cavitada por tifus murino","Nicolás Sánchez, F. J., Ribes Amorós, I., Cervera del Pino, M., Sarrat Nuevo, R. M., Bestard Solivellas, J., Cabau Rubies, J.","Anales de Medicina Interna; 25(1); 46-47","Anales de Medicina Interna","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992008000100014&lang=pt" 
"S0212-71992008000100017-esp","Error fatal en prescripción medicamentosa","Fleta Asín, B., Mozota Duarte, J., Sancho Serrano, M. A.","Anales de Medicina Interna; 25(1); 49-50","Anales de Medicina Interna","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992008000100017&lang=pt" 
"S0100-72032008000100009-scl","Deformidades vertebrais em mulheres com osteopenia e osteoporose em São Luís, Maranhão","Ó, Fernanda Rachel Melo e Vidigal do","Revista Brasileira de Ginecologia e Obstetrícia; 30(1); -","Revista Brasileira de Ginecologia e Obstetrícia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032008000100009&lang=pt" 
"S0100-72032008000100010-scl","Determinação de citocinas no diagnóstico laboratorial da endometriose peritoneal mínima e leve","Ihlenfeld, Mauro Fernando Kürten","Revista Brasileira de Ginecologia e Obstetrícia; 30(1); -","Revista Brasileira de Ginecologia e Obstetrícia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032008000100010&lang=pt" 
"S0100-72032008000100001-scl","Uso de fármacos na gravidez: benefício e custo","Nakamura, Mary Uchiyama, Kulay Junior, Luiz, Pasquale, Marisa","Revista Brasileira de Ginecologia e Obstetrícia; 30(1); 1-4","Revista Brasileira de Ginecologia e Obstetrícia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032008000100001&lang=pt" 
"S0100-72032008000100002-scl","Valor preditivo do resultado fetal da dopplervelocimetria de ducto venoso entre a 11ª e a 14ª semanas de gestação","Gollo, Carlos Alberto, Murta, Carlos Geraldo Viana, Bussamra, Luiz Cláudio, Santana, Renato Martins, Moron, Antônio Fernandes","Revista Brasileira de Ginecologia e Obstetrícia; 30(1); 5-11","Revista Brasileira de Ginecologia e Obstetrícia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032008000100002&lang=pt" 
"S0100-72032008000100004-scl","Avaliação dos efeitos colaterais da nevirapina em gestantes HIV positivo em Hospital Universitário do sul do Brasil","Kondo, William, Astori, Adriane de Assis Fischer de, Gomes, Suria El-Kouba, Fernandes, Rachelle de Brito, Sasaki, Maria das Graças, Sbalqueiro, Renato Luiz","Revista Brasileira de Ginecologia e Obstetrícia; 30(1); 19-24","Revista Brasileira de Ginecologia e Obstetrícia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032008000100004&lang=pt" 
"S0100-72032008000100005-scl","Avaliação da dor na histeroscopia diagnóstica por vaginoscopia utilizando-se, como meio de distensão, solução salina à temperatura corporal: Ensaio clínico randomizado","Almeida, Zares Maria Melo Cavalcanti de, Pontes, Rosângela, Costa, Hélio de Lima Ferreira Fernandes","Revista Brasileira de Ginecologia e Obstetrícia; 30(1); 25-30","Revista Brasileira de Ginecologia e Obstetrícia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032008000100005&lang=pt" 
"S0100-72032008000100008-scl","Carcinoma de mama: novos conceitos na classificação","Vieira, Daniella Serafin Couto, Dufloth, Rozany Mucha, Schmitt, Fernando Carlos Lander, Zeferino, Luiz Carlos","Revista Brasileira de Ginecologia e Obstetrícia; 30(1); 42-47","Revista Brasileira de Ginecologia e Obstetrícia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032008000100008&lang=pt" 
"S0100-72032008000100006-scl","Molde de látex natural (Hevea brasiliensis) para neovaginoplastia","Carvalho, Bruno Ramalho de, Reis, Rosana Maria dos, Coutinho Netto, Joaquim, Moura, Marcos Dias de, Nogueira, Antônio Alberto, Ferriani, Rui Alberto","Revista Brasileira de Ginecologia e Obstetrícia; 30(1); 31-35","Revista Brasileira de Ginecologia e Obstetrícia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032008000100006&lang=pt" 
"S0102-311X2008000100001-scl","Princípios e prática da promoção da saúde no Brasil","Carvalho, Antonio Ivo de","Cadernos de Saúde Pública; 24(1); 4-5","Cadernos de Saúde Pública","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100001&lang=pt" 
"S0102-311X2008000100023-scl","Avaliação da cobertura assistencial das equipes de saúde da família às pessoas que faleceram por doenças cerebrovasculares em Maringá, Paraná, Brasil","Baptista, Eliane Katsume Kikumoto, Marcon, Sonia Silva, Souza, Regina Kazue Tanno de","Cadernos de Saúde Pública; 24(1); 225-229","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100023&lang=pt" 
"S0102-311X2008000100024-spa","","","Cadernos de Saúde Pública; 24(1); 230-231","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100024&lang=pt" 
"S0102-311X2008000100022-spa","The Brazilian version of the effort-reward imbalance questionnaire to assess job stress","Chor, Dóra, Werneck, Guilherme Loureiro, Faerstein, Eduardo, Alves, Márcia Guimarães de Mello, Rotenberg, Lúcia","Cadernos de Saúde Pública; 24(1); 219-224","Cadernos de Saúde Pública","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100022&lang=pt" 
"S0102-311X2008000100012-spa","¿Qué muestran las Encuestas de Calidad de Vida sobre el sistema de salud en Colombia?","Zambrano, Andrés, Ramírez, Manuel, Yepes, Francisco José, Guerra, José Alberto, Rivera, David","Cadernos de Saúde Pública; 24(1); 122-130","Cadernos de Saúde Pública","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100012&lang=pt" 
"S0102-311X2008000100007-spa","Identification of key areas for Aedes aegypti control through geoprocessing in Nova Iguaçu, Rio de Janeiro State, Brazil","Lagrotta, Marcos Thadeu Fernandes, Silva, Wellington da Costa, Souza-Santos, Reinaldo","Cadernos de Saúde Pública; 24(1); 70-80","Cadernos de Saúde Pública","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100007&lang=pt" 
"S0102-311X2008000100007-scl","Identification of key areas for Aedes aegypti control through geoprocessing in Nova Iguaçu, Rio de Janeiro State, Brazil","Lagrotta, Marcos Thadeu Fernandes, Silva, Wellington da Costa, Souza-Santos, Reinaldo","Cadernos de Saúde Pública; 24(1); 70-80","Cadernos de Saúde Pública","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100007&lang=pt" 
"S0102-311X2008000100025-scl","Etnografia da infertilidade","Diniz, Debora","Cadernos de Saúde Pública; 24(1); 232-233","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100025&lang=pt" 
"S0102-311X2008000100025-spa","Etnografia da infertilidade","Diniz, Debora","Cadernos de Saúde Pública; 24(1); 230-231","Cadernos de Saúde Pública","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2008000100025&lang=pt" 
"S0102-311X2008000100012-scl","¿Qué muestran las Encuestas de Calidad de Vida sobre el sistema de salud en Colombia?","Zambrano, Andrés, Ramírez, Manuel, Yepes, Francisco José, Guerra, José Alberto, Rivera, David","Cadernos de Saúde Pública; 24(1); 122-130","Cadernos de Saúde Pública","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100012&lang=pt" 
"S0102-311X2008000100022-scl","The Brazilian version of the effort-reward imbalance questionnaire to assess job stress","Chor, Dóra, Werneck, Guilherme Loureiro, Faerstein, Eduardo, Alves, Márcia Guimarães de Mello, Rotenberg, Lúcia","Cadernos de Saúde Pública; 24(1); 219-224","Cadernos de Saúde Pública","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100022&lang=pt" 
"S0102-311X2008000100024-scl","","","Cadernos de Saúde Pública; 24(1); 230-231","Cadernos de Saúde Pública","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000100024&lang=pt" 
"S1135-76062008000100009-esp","","Galnares Ysern, Alfonso","Cuadernos de Medicina Forense; (51); 65-66","Cuadernos de Medicina Forense","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062008000100009&lang=pt" 
"S1135-76062008000100008-esp","Lesiones por electricidad","Vizcaya, M.A., Martínez, P., Sibón, A., Romero Palanco, J.L.","Cuadernos de Medicina Forense; (51); 61-64","Cuadernos de Medicina Forense","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062008000100008&lang=pt" 
"S1135-76062008000100010-esp","","","Cuadernos de Medicina Forense; (51); 67-69","Cuadernos de Medicina Forense","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062008000100010&lang=pt" 
"S1135-76062008000100001-esp","Dr. Rafael García-Ferrer Porras (1957 - 2008)","","Cuadernos de Medicina Forense; (51); 4-4","Cuadernos de Medicina Forense","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062008000100001&lang=pt" 
"S1135-76062008000100005-esp","Estudio médico-legal del homicidio en la provincia de Sevilla (2004-2007): Especial referencia a los homicidios de mujeres en el contexto de violencia de género","Lucena, J., García, C.A., Santos, M., Rico, A., Blanco, M., Jiménez, M.P., Marín, R., Barrero, E.","Cuadernos de Medicina Forense; (51); 35-46","Cuadernos de Medicina Forense","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062008000100005&lang=pt" 
"S1135-76062008000100007-esp","Muerte súbita por disección de aorta torácica secundaria a coartación de aorta","Rico, A., Lucena, J., Blanco, M., Marín, R., Barrero, E., Santos, M.","Cuadernos de Medicina Forense; (51); 55-60","Cuadernos de Medicina Forense","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062008000100007&lang=pt" 
"S1135-76062008000100012-esp","","Sepúlveda Gª de la Torre, Mª A.","Cuadernos de Medicina Forense; (51); 75-78","Cuadernos de Medicina Forense","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062008000100012&lang=pt" 
"S1135-76062008000100011-esp","","Vázquez López, José Enrique","Cuadernos de Medicina Forense; (51); 71-73","Cuadernos de Medicina Forense","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062008000100011&lang=pt" 
"S1135-76062008000100004-esp","Valoración de las lesiones oculares producidas en los accidentes de tráfico","Menéndez, J.A., Pera, F.J., Morcillo, R.","Cuadernos de Medicina Forense; (51); 25-33","Cuadernos de Medicina Forense","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062008000100004&lang=pt" 
"S1135-76062008000100006-esp","Síndrome de body packer con resultado de muerte: A propósito de un caso","Díaz Ruiz, S.","Cuadernos de Medicina Forense; (51); 47-54","Cuadernos de Medicina Forense","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062008000100006&lang=pt" 
"S1135-76062008000100002-esp","","","Cuadernos de Medicina Forense; (51); 5-5","Cuadernos de Medicina Forense","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062008000100002&lang=pt" 
"S1135-76062008000100003-esp","La maduración del tercer molar y el diagnóstico de la edad: Evolución y estado actual de la cuestión","Prieto, J.L.","Cuadernos de Medicina Forense; (51); 11-24","Cuadernos de Medicina Forense","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062008000100003&lang=pt" 
"S1022-51292008000100001-per","Los errores más frecuentes en estadística medica","Monge, Eduardo","Revista de Gastroenterología del Perú; 28(1); 13-14","Revista de Gastroenterología del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1022-51292008000100001&lang=pt" 
"S1022-51292008000100002-per","Síndrome de Mirizzi asociado a la Colelitiasis complicada del anciano: diagnóstico y tratamiento laparoscópico","Sánchez Beorlegui, Jesús, Monsalve Laguna, Eduardo, Soriano Gil-Albarellos, Pablo, Cabezali Sánchez, Roger, Moreno de Marcos, Nuria, Aspíroz Sancho, Antonio","Revista de Gastroenterología del Perú; 28(1); 15-21","Revista de Gastroenterología del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1022-51292008000100002&lang=pt" 
"S1022-51292008000100003-per","Prebiótico Inulina/Oligofructosa en la raíz del Yacón (Smallanthus sonchifolius), fitoquímica y estandarización como base de estudios preclínicos y clínicos","Álvarez F, Pedro P., Jurado T, Bertha, Calixto C, María, Incio V, Nelly, Silva A, Jesús","Revista de Gastroenterología del Perú; 28(1); 22-27","Revista de Gastroenterología del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1022-51292008000100003&lang=pt" 
"S1022-51292008000100004-per","Evaluación del efecto de la Nitazoxanida comparada con el Placebo en pacientes con Flatulencia de la Consulta Ambulatoria de la Clínica Central de INPPARES-LIMA","Venero Nazario, Bremer","Revista de Gastroenterología del Perú; 28(1); 30-36","Revista de Gastroenterología del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1022-51292008000100004&lang=pt" 
"S1022-51292008000100005-per","Lesiones Fibroepiteliales del Canal Anal: alternativa terapéutica con Ligadura de Bandas Elásticas","Pérez Pereyra, Julia, Frisancho Velarde, Oscar, Ruiz Barahona, Edwin, Palomino, Américo","Revista de Gastroenterología del Perú; 28(1); 37-42","Revista de Gastroenterología del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1022-51292008000100005&lang=pt" 
"S1022-51292008000100006-per","Prácticas, conocimientos y actitudes sobre la Hidatidosis Humana en poblaciones procedentes de zonas endémicas","Moro, Pedro L., Cavero, Carlos A., Tambini, Moisés, Briceño, Yuri, Jiménez, Rosario, Cabrera, Lilia","Revista de Gastroenterología del Perú; 28(1); 43-49","Revista de Gastroenterología del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1022-51292008000100006&lang=pt" 
"S1022-51292008000100008-per","Lipoma Pancreático: presentación de un caso y revisión de la literatura","Celis Zapata, Juan, Berrospi Espinoza, Francisco, Valencia Mariñas, Hugo David, Sánchez Lihón, Juvenal, Abad Licham, Milagros, Farías Mejía, Ilya","Revista de Gastroenterología del Perú; 28(1); 56-59","Revista de Gastroenterología del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1022-51292008000100008&lang=pt" 
"S1022-51292008000100009-per","Pseudoaneurisma Pancreático: tratamiento quirúrgico","Azabache Puente, Wenceslao, López Carranza, Mario, Azabache Díaz, Jorge, Angulo Revilla, Isaac, Salazar Tantaleán, Augusto","Revista de Gastroenterología del Perú; 28(1); 60-64","Revista de Gastroenterología del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1022-51292008000100009&lang=pt" 
"S1022-51292008000100012-per","Lipecs y Scielo Perú: fuentes de información sobre investigación en salud en el Perú","Mayta-Tristán, Percy, Caro, Gaby","Revista de Gastroenterología del Perú; 28(1); 83-84","Revista de Gastroenterología del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1022-51292008000100012&lang=pt" 
"S1022-51292008000100010-per","Litiasis Intrahepática","Torres-Zevallos, Hernando, Sánchez-Gambetta, Sergio, Mendivil Zapata, Rolando, Valcárcel Saldaña, María","Revista de Gastroenterología del Perú; 28(1); 65-69","Revista de Gastroenterología del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1022-51292008000100010&lang=pt" 
"S1022-51292008000100007-per","Carcinoma adenoide quístico primario de esófago","Perea Guerrero, Humberto, Frisancho Velarde, Oscar, Palomino Portilla, Américo","Revista de Gastroenterología del Perú; 28(1); 50-55","Revista de Gastroenterología del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1022-51292008000100007&lang=pt" 
"S1022-51292008000100011-per","Microembolismo Tumoral y Cor-Pulmonar como manifestación de Carcinoma Hepatocelular","Canelo Aybar, Carlos Gilberto, Cuadra Urteaga, José Luis, Fujii, F., Romani Romani, Franco, Atencia Matute, Fernando Alonso, Verona Rubio, Rogger Oscar","Revista de Gastroenterología del Perú; 28(1); 70-73","Revista de Gastroenterología del Perú","Espanhol","2008","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1022-51292008000100011&lang=pt" 
"S0870-83122008000100001-prt","","Freitas, Manuel J. M. de, Castro, Paulo M. S. Tavares de, Camanho, Pedro P.","Ciência &amp; Tecnologia dos Materiais; 20(1-2); 01-01","Ciência &amp; Tecnologia dos Materiais","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-83122008000100001&lang=pt" 
"S0870-83122008000100002-prt","Advanced composite material simulation","Oller, S., Martínez, X., Barbat, A., Rastellini, F.","Ciência &amp; Tecnologia dos Materiais; 20(1-2); 02-14","Ciência &amp; Tecnologia dos Materiais","Inglês","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-83122008000100002&lang=pt" 
"S0870-83122008000100003-prt","Advanced high temperature materials: Aeroengine fatigue","Winstone, M. R, Brooks, J. W.","Ciência &amp; Tecnologia dos Materiais; 20(1-2); 15-24","Ciência &amp; Tecnologia dos Materiais","Inglês","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-83122008000100003&lang=pt" 
"S0870-83122008000100004-prt","Bulk nanostructured shape memory alloys","Waitz, Thomas","Ciência &amp; Tecnologia dos Materiais; 20(1-2); 25-29","Ciência &amp; Tecnologia dos Materiais","Inglês","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-83122008000100004&lang=pt" 
