"S0102-09352009000300034-scl","Aspectos radiográficos de condrodistrofia felina","Feliciano, M.A.R., Leite, C.A.L., Vicente, W.R.R., Silveira, T.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 61(3); 755-757","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352009000300034&lang=pt" 
"S0004-282X2009000300038-scl","The mistery of Gustave Flaubert&#039;s death: could sudden unexpected death in epilepsy be part of the context?","Albuquerque, Marly de, Scorza, Carla A., Arida, Ricardo M., Cavalheiro, Esper A., Scorza, Fulvio A.","Arquivos de Neuro-Psiquiatria; 67(2b); 548-552","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300038&lang=pt" 
"S1413-70542009000300001-scl","Adubação nitrogenada e partição de massa em plantas de Brachiaria brizantha cv. xaraés e Panicum maximum x Panicum infestum cv. massai","Martuscello, Janaina Azevedo, Faria, Dawson José Guimarães, Cunha, Daniel de Noronha Figueiredo Vieira da, Fonseca, Dilermando Miranda da","Ciência e Agrotecnologia; 33(3); 663-667","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300001&lang=pt" 
"S1413-70542009000300031-scl","Curvas de crescimento morfométrico de piracanjuba (Brycon orbignyanus)","Gomiero, Juliana Sampaio Guedes, Freitas, Rilke Tadeu Fonseca de, Santos, Vander Bruno dos, Silva, Fabyano Fonseca da, Rodrigues, Paulo Borges, Logato, Priscila Vieira Rosa","Ciência e Agrotecnologia; 33(3); 882-889","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300031&lang=pt" 
"S1413-70542009000300030-scl","Crescimento e desempenho de linhagens de aves pescoço pelado criadas em sistema semi-confinado","Dourado, Leilane Rocha Barros, Sakomura, Nilva Kazue, Nascimento, Dáphinne Cardoso Nagib do, Dorigam, Juliano César, Marcato, Simara Márcia, Fernandes, João Batista Kochenborger","Ciência e Agrotecnologia; 33(3); 875-881","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300030&lang=pt" 
"S1413-70542009000300009-scl","Efeito do sistema de condução em algumas características ecofisiológicas da videira (Vitis labrusca L.)","Norberto, Paulo Márcio, Regina, Murillo de Albuquerque, Chalfun, Nilton Nagib Jorge, Soares, Angela Maria","Ciência e Agrotecnologia; 33(3); 721-726","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300009&lang=pt" 
"S1413-70542009000300011-scl","Estudo anatômico de cafeeiros enxertados","Dias, Fábio Pereira, Castro, Daniel Melo de, Mendes, Antônio Nazareno Guimarães, Vallone, Haroldo Silva, Carvalho, Alex Mendonça de, Carvalho, Gladyston Rodrigues","Ciência e Agrotecnologia; 33(3); 735-742","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300011&lang=pt" 
"S1413-70542009000300013-scl","Fontes e níveis de salinidade na germinação de sementes de Crotalaria juncea L.","Nunes, Anísio da Silva, Lourenção, André Luís Faleiros, Pezarico, Carmen Regina, Scalon, Silvana de Paula Quintão, Gonçalves, Manoel Carlos","Ciência e Agrotecnologia; 33(3); 753-757","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300013&lang=pt" 
"S1413-70542009000300016-scl","Influência do substrato e do tipo de fertilizante na aclimatação de mudas de bananeira &#039;Prata-Anã&#039;","Nomura, Edson Shigueaki, Lima, Juliana Domingues, Rodrigues, Domingos Sávio, Garcia, Valéria Augusta, Fuzitani, Eduardo Jun","Ciência e Agrotecnologia; 33(3); 773-779","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300016&lang=pt" 
"S1413-70542009000300017-scl","Luz natural e concentrações de sacarose no cultivo in vitro de Cattleya walkeriana","Dignart, Samantha Léa, Castro, Evaristo Mauro de, Pasqual, Moacir, Ferronato, Alessandro, Braga, Francyane Tavares, Paiva, Renato","Ciência e Agrotecnologia; 33(3); 780-787","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300017&lang=pt" 
"S1413-70542009000300025-scl","Efeito da poda antecipada e regime de irrigação nos teores de açúcares em uvas &#039;Niágara Rosada&#039;","Silva, Richardson Júnior Lacerda, Lima, Luiz Carlos de Oliveira, Chalfun, Nilton Nagib Jorge","Ciência e Agrotecnologia; 33(3); 844-847","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300025&lang=pt" 
"S1413-70542009000300024-scl","Características físico-químicas, cozimento e produtividade de mandioca cultivar IAC 576-70 em diferentes épocas de colheita","Oliveira, Marcelo Alvares de, Moraes, Paulo Sergio Beraldo de","Ciência e Agrotecnologia; 33(3); 837-843","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300024&lang=pt" 
"S1413-70542009000300023-scl","Avaliação da qualidade tecnológica de envoltório natural suíno utilizado no processamento de lingüiça Toscana","Lucini, Michelle Aparecida, Fariña, Luciana Oliveira de, Falconi, abiana André, Drunkler, Deisy Alessandra","Ciência e Agrotecnologia; 33(3); 831-836","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300023&lang=pt" 
"S1413-70542009000300029-scl","Consumo de combustível em diferentes sistemas de preparo periódico realizados antes e depois da operação de subsolagem","Salvador, Nilson, Mion, Renildo Luiz, Benez, Sérgio Hugo","Ciência e Agrotecnologia; 33(3); 870-874","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300029&lang=pt" 
"S1413-70542009000300028-scl","Análise do comércio de bananas em Lavras: Minas Gerais","Pereira, Lair Victor, Andrade, José Clélio de, Fráguas, José Carlos, Abrahão, Enilson, Alvarenga, Ângelo Albérico","Ciência e Agrotecnologia; 33(3); 863-869","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300028&lang=pt" 
"S1413-70542009000300032-scl","Effect of the ration processing on the apparent digestibility values of nutrients for the piau (Leporinus elongatus)","Logato, Priscila Vieira Rosa, Albernaz, Norka da Silva, Ribeiro, Paula Adriane Perez, Freitas, Rilke Tadeu Fonseca de, Fialho, Elias Tadeu","Ciência e Agrotecnologia; 33(3); 890-894","Ciência e Agrotecnologia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300032&lang=pt" 
"S0102-30982009000100001-scl","Editorial: escrever, submeter e publicar na Rebep, a nossa revista indexada","Leite, Iuri da Costa, Machado, Carla Jorge","Revista Brasileira de Estudos de População; 26(1); 3-5","Revista Brasileira de Estudos de População","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982009000100001&lang=pt" 
"S0102-30982009000100012-scl","Consistência e identificabilidade no modelo Grade of Membership: uma nota metodológica","Caetano, André Junqueira, Machado, Carla Jorge","Revista Brasileira de Estudos de População; 26(1); 145-149","Revista Brasileira de Estudos de População","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982009000100012&lang=pt" 
"S0102-30982009000100010-scl","Seis características das mortes violentas no Brasil","Minayo, Maria Cecília de Souza","Revista Brasileira de Estudos de População; 26(1); 135-140","Revista Brasileira de Estudos de População","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982009000100010&lang=pt" 
"S0102-30982009000100013-scl","Por um paradigma da(s) mobilidade(s)","Marandola Jr., Eduardo","Revista Brasileira de Estudos de População; 26(1); 151-152","Revista Brasileira de Estudos de População","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982009000100013&lang=pt" 
"S0102-30982009000100011-scl","Confiabilidade do informante secundário em inquéritos de saúde","Jardim, Renata, Barreto, Sandhi Maria, Gonçalves, Luana Giatti","Revista Brasileira de Estudos de População; 26(1); 141-144","Revista Brasileira de Estudos de População","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982009000100011&lang=pt" 
"S0104-07072009000200001-scl","Editorial","Ramos, Flávia Regina Souza","Texto &amp; Contexto - Enfermagem; 18(2); 203-203","Texto &amp; Contexto - Enfermagem","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072009000200001&lang=pt" 
"S0004-282X2009000300004-scl","Diffusion tensor imaging of the cervical spinal cord of patients with relapsing-remising multiple sclerosis: a study of 41 cases","Cruz Jr., L. Celso Hygino, Domingues, Romeu C., Gasparetto, Emerson L.","Arquivos de Neuro-Psiquiatria; 67(2b); 391-395","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300004&lang=pt" 
"S0004-282X2009000300010-scl","Dementia and mild cognitive impairment in patients with Parkinson&#039;s disease","Tedrus, Gloria Maria Almeida Souza, Fonseca, Lineu Corrêa, Letro, Grace Helena, Bossoni, Alexandre Souza, Samara, Adriana Bastos","Arquivos de Neuro-Psiquiatria; 67(2b); 423-427","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300010&lang=pt" 
"S0004-282X2009000300012-scl","Performance of a Brazilian population in the EC 301 calculation and number processing battery: a pilot study","De Luccia, Gabriela, Ortiz, Karin Zazo","Arquivos de Neuro-Psiquiatria; 67(2b); 432-438","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300012&lang=pt" 
"S0004-282X2009000300013-scl","Reliability of the Brazilian version of the Cambridge Cognitive Examination Revised CAMCOG-R","Paradela, Emylucy Martins Paiva, Lopes, Claudia de Souza, Lourenço, Roberto Alves","Arquivos de Neuro-Psiquiatria; 67(2b); 439-444","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300013&lang=pt" 
"S0004-282X2009000300014-scl","Performance of 119 Brazilian children on Stroop paradigm: Victoria version","Charchat-Fichman, Helenice, Oliveira, Rosinda Martins","Arquivos de Neuro-Psiquiatria; 67(2b); 445-449","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300014&lang=pt" 
"S1413-70542009000300002-scl","Adubação nitrogenada em cobertura e substratos na produção de mudas de mamoeiro &#039;Formosa&#039;","Mendonça, Vander, Ramos, José Darlan, Abreu, Nildo Antônio Arruda de, Teixeira, Glauco Antônio, Souza, Henrique Antunes de, Gurgel, Rafael Lucas da Silva, Orbes, Maria Yumbla","Ciência e Agrotecnologia; 33(3); 668-675","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300002&lang=pt" 
"S1413-70542009000300004-scl","Desempenho agroindustrial de cultivares de cana-de-açúcar na zona da mata litoral sul de Pernambuco","Melo, Luiz José Oliveira Tavares de, Oliveira, Francisco José de, Bastos, Gerson Quirino, Anunciação Filho, Clodoaldo José da, Reis, Odemar Vicente dos","Ciência e Agrotecnologia; 33(3); 684-691","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300004&lang=pt" 
"S1413-70542009000300007-scl","Efeito de fungicidas sistêmico e protetores aplicados em diferentes estádios fenológicos no controle da ferrugem asiática da soja","Silva Júnior, Jorge da, Rezende, Pedro Milanez de, Carvalho, Eudes de Arruda, Alves, Eduardo, Pozza, Edson Ampélio","Ciência e Agrotecnologia; 33(3); 705-712","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300007&lang=pt" 
"S1413-70542009000300008-scl","Efeito de isolados de Paecilomyces lilacinus no desenvolvimento de cafezais e na população de Meloidogyne paranaensis","Cadioli, Marina Capparelli, Santiago, Débora Cristina, Oliveira, Arian Derdote de, Paes, Vanessa dos Santos, Arieira, Giovani de Oliveira, Baida, Fernando Cesar","Ciência e Agrotecnologia; 33(3); 713-720","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300008&lang=pt" 
"S1413-70542009000300010-scl","Eficiência agronômica de superfosfato triplo e fosfato natural de Arad em cultivos sucessivos de soja e milho","Ono, Fábio Benedito, Montagna, Juliano, Novelino, José Oscar, Serafim, Milson Evaldo, Dallasta, Daniel Comiran, Garbiate, Marcos Vinicios","Ciência e Agrotecnologia; 33(3); 727-734","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300010&lang=pt" 
"S1413-70542009000300019-scl","Projeto de caixa de madeira para manga (Mangifera Indica L.)","Teruel, Bárbara Janet, Chacón, Neil Fernando Salazar, Abrahão, Roberto Funes","Ciência e Agrotecnologia; 33(3); 796-806","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300019&lang=pt" 
"S1413-70542009000300020-scl","Proteção da gema e épocas de forçamento da brotação na enxertia da lima ácida &#039;Tahiti&#039;","Santos, Dierlei dos, Siqueira, Dalmo Lopes de, Borba, André Nogueira, Lelis, Flávia Mara Viera","Ciência e Agrotecnologia; 33(3); 807-813","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300020&lang=pt" 
"S1413-70542009000300021-scl","Relationship between raindrops and ultrasonic energy on the disruption of a Haplic Cambisol","Ribeiro, Bruno Teixeira, Lima, José Maria de, Mello, Carlos Rogério de, Sá, Marcos Aurélio Carolino de, Oliveira, Geraldo César de","Ciência e Agrotecnologia; 33(3); 814-823","Ciência e Agrotecnologia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300021&lang=pt" 
"S1413-70542009000300026-scl","Efeito da radiação gama e do armazenamento na qualidade de padúnculos de caju (Anacardium occidentale L.)","Souza, Adriana Régia Marques de, Brazaca, Solange Guidolin Canniatti, Arthur, Valter, Oliveira, Anderson Giovani Cândico, Spoto, Marta Helena Fillet, Walder, Júlio Marcos Melges","Ciência e Agrotecnologia; 33(3); 848-854","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300026&lang=pt" 
"S1413-70542009000300027-scl","Potencial amilolítico do grão de milho maltado no processo de sacarificação do mesmo cereal","Farias, Daniele, Margarites, Ana Cládia, Reinehr, Christian Oliveira, Colla, Luciane Maria, Costa, Jorge Alberto Vieira, Bertolin, Telma Elita","Ciência e Agrotecnologia; 33(3); 855-862","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300027&lang=pt" 
"S1413-70542009000300033-scl","Growth and survival of tilapia Oreochromis niloticus (Linnaeus, 1758) submitted to different temperatures during the process of sex reversal","Drummond, Cristina Delarete, Murgas, Luis David Solis, Vicentini, Bruno","Ciência e Agrotecnologia; 33(3); 895-902","Ciência e Agrotecnologia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300033&lang=pt" 
"S1413-70542009000300034-scl","Performance and carcass characteristics of swine at 50 kg fed diets with different energy levels and reduced levels of crude protein","Zangeronimo, Márcio Gilberto, Cantarelli, Vinícius de Souza, Fialho, Elias Tadeu, Amaral, Nikolas de Oliveira, Silveira, Hebert, Lima, José Augusto de Freitas","Ciência e Agrotecnologia; 33(3); 903-910","Ciência e Agrotecnologia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300034&lang=pt" 
"S1413-70542009000300022-scl","Utilização de casca de arroz e esterco bovino como substrato Eisenia fetida Savigny (1826)","Antoniolli, Zaida Inês, Steffen, Gerusa Pauli Kist, Steffen, Ricardo Bemfica","Ciência e Agrotecnologia; 33(3); 824-830","Ciência e Agrotecnologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542009000300022&lang=pt" 
"S0004-282X2009000300005-scl","A kinesthetic motor imagery study in patients with writer&#039; cramp","Tumas, Vitor, Sakamoto, Americo C.","Arquivos de Neuro-Psiquiatria; 67(2b); 396-401","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300005&lang=pt" 
"S0004-282X2009000300007-scl","The use of an antagonist 5-HT2a/c for depression and motor function in Parkinson&#039; disease","Werneck, Antonio Luiz dos Santos, Rosso, Ana Lucia, Vincent, Maurice Borges","Arquivos de Neuro-Psiquiatria; 67(2b); 407-412","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300007&lang=pt" 
"S0004-282X2009000300009-scl","Factors relating to depressive symptoms among elderly people with chronic vestibular dysfunction","Gazzola, Juliana Maria, Aratani, Mayra Cristina, Doná, Flávia, Macedo, Camila, Fukujima, Márcia Maiumi, Ganança, Maurício Malavasi, Ganança, Fernando Freitas","Arquivos de Neuro-Psiquiatria; 67(2b); 416-422","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300009&lang=pt" 
"S0004-282X2009000300015-scl","Benign childhood epilepsy with centrotemporal spikes: word and pseudoword discrimination","Fonseca, Lineu Corrêa, Tedrus, Glória Maria A.S., Oliveira, Eder Donizetti Peres de, Ximenes, Valeria Lopes","Arquivos de Neuro-Psiquiatria; 67(2b); 450-456","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300015&lang=pt" 
"S0004-282X2009000300016-scl","Neuropsychomotor development before and after open-heart surgery in infants","Rocha, Taís Sica da, Guardiola, Ana, Piva, Jefferson Pedro, Ricachinevski, Cláudia Pires, Nogueira, Aldemir","Arquivos de Neuro-Psiquiatria; 67(2b); 457-462","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300016&lang=pt" 
"S0004-282X2009000300017-scl","Color doppler evaluation of the influence of type of delivery, sex, postnatal age and time post feeding on full term healthy newborns cerebral blood flow","Aranha, Carlos Alberto, Lederman, Henrique Manoel, Segre, Conceição A.M.","Arquivos de Neuro-Psiquiatria; 67(2b); 463-473","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300017&lang=pt" 
"S0004-282X2009000300018-scl","Refractory craniofacial pain: is there a role of periodontal disease as a comorbidity?","Fabri, Gisele Maria Campos, Siqueira, Silvia R.D.T., Simione, Caio, Nasri, Cibele, Teixeira, Manoel Jacobsen, Siqueira, José Tadeu Tesseroli","Arquivos de Neuro-Psiquiatria; 67(2b); 474-479","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300018&lang=pt" 
"S0004-282X2009000300019-scl","Regional cooling for reducing brain temperature and intracranial pressure","Forte, Luis Vicente, Peluso, Cássio Morano, Prandini, Mirto Nelso, Godoy, Roberto, Rojas, Salomon Soriano Ordinola","Arquivos de Neuro-Psiquiatria; 67(2b); 480-487","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300019&lang=pt" 
"S0004-282X2009000300020-scl","Remyelination in experimentally demyelinated connexin 32 KnockOut mice","Ramos, Adriano Tony, Maiorka, Paulo César, Dagli, Maria Lúcia Zaidan, Hosomi, Fernando Yutaka Moniwa, Violin, Kalan Bastos, Latorre, Andréa, Viott, Aline de Marco, Masuda, Eduardo Kenji, Trost, Maria Elisa, Martins, Tessie Beck, Graça, Dominguita Lühers","Arquivos de Neuro-Psiquiatria; 67(2b); 488-493","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300020&lang=pt" 
"S0004-282X2009000300031-scl","Superior ophthalmic vein puncture: an alternative approach to treat complex cavernous sinus fistulae","Wajnberg, Eduardo, Spilberg, Gabriela Z., Gasparetto, Emerson L.","Arquivos de Neuro-Psiquiatria; 67(2b); 523-526","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300031&lang=pt" 
"S0004-282X2009000300036-scl","Wilson&#039;s Disease: a case report and a historical review","Barbosa, Egberto Reis, Machado, Alexandre Aluízio Costa, Cançado, Eduardo Luiz Rachid, Deguti, Marta Mitiko, Scaff, Milberto","Arquivos de Neuro-Psiquiatria; 67(2b); 539-543","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300036&lang=pt" 
"S0004-282X2009000300037-scl","Solving the conundrum of Job: a probable biblical description of chronic renal failure with neurological symptoms","Resende, Luiz Antonio de Lima, Kirchner, Daniel Rocco, Resende, Lucilene Silva Ruiz e","Arquivos de Neuro-Psiquiatria; 67(2b); 544-547","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300037&lang=pt" 
"S0004-282X2009000300040-scl","Migraine in the triptan era: progresses achieved, lessons learned and future developments","Bigal, Marcelo E., Krymchantowski, Abouch V., Ho, Tony","Arquivos de Neuro-Psiquiatria; 67(2b); 559-569","Arquivos de Neuro-Psiquiatria","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2009000300040&lang=pt" 
"S1806-37132009000600002-scl","Síndrome da apneia obstrutiva do sono em motoristas de caminhão","Lemos, Lucia Castro, Marqueze, Elaine Cristina, Sachi, Fernanda, Lorenzi-Filho, Geraldo, Moreno, Claudia Roberta de Castro","Jornal Brasileiro de Pneumologia; 35(6); 500-506","Jornal Brasileiro de Pneumologia","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132009000600002&lang=pt" 
"S0100-39842009000300017-scl","Variação entre observadores na aplicação dos critérios morfológicos e cinéticos propostos pelo BI-RADS® (Breast Imaging Reporting and Data System) para ressonância magnética das mamas","Moraes, Paula de Camargo","Radiologia Brasileira; 42(3); 164-164","Radiologia Brasileira","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000300017&lang=pt" 
"S0100-39842009000300018-scl","Resultados da vertebroplastia percutânea na doença vertebral cervical","Mont&#039;Alverne, Francisco José Arruda","Radiologia Brasileira; 42(3); 170-170","Radiologia Brasileira","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842009000300018&lang=pt" 
"S1516-14982009000100011-scl","Dissertações de mestrado e teses de doutorado/2008","","Ágora: Estudos em Teoria Psicanalítica; 12(1); 151-164","Ágora: Estudos em Teoria Psicanalítica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14982009000100011&lang=pt" 
"S1413-41522009000200003-scl","Influência da alteração da distribuição do tamanho de partículas no desempenho de reator UASB tratando esgoto doméstico","Teixeira, Ana Raquel, Chernicharo, Carlos Augusto de Lemos, Souto, Tatiana Figueiredo da Silva, Paula, Fernando Silva de","Engenharia Sanitaria e Ambiental; 14(2); 159-166","Engenharia Sanitaria e Ambiental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522009000200003&lang=pt" 
"S0101-31572009000200001-scl","Os dois métodos e o núcleo duro da teoria econômica","Bresser-Pereira, Luiz Carlos","Revista de Economia Política; 29(2); 163-190","Revista de Economia Política","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572009000200001&lang=pt" 
"S0101-31572009000200002-scl","Michal Kalecki, um pioneiro da teoria econômica do desenvolvimento","López G., Julio, Puchet A., Martín, Assous, Michael","Revista de Economia Política; 29(2); 191-211","Revista de Economia Política","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572009000200002&lang=pt" 
"S0101-31572009000200003-scl","States and Economic Development","Kohli, Atul","Revista de Economia Política; 29(2); 212-227","Revista de Economia Política","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572009000200003&lang=pt" 
"S0101-31572009000200004-scl","Estado e embates socioterritoriais na Bolívia do século XXI","Lins, Hoyêdo Nunes","Revista de Economia Política; 29(2); 228-244","Revista de Economia Política","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572009000200004&lang=pt" 
"S0101-31572009000200005-scl","Uma interpretação do Primeiro Milagre Econômico Alemão (1933-1944)","Feijó, Ricardo Luis Chaves","Revista de Economia Política; 29(2); 245-266","Revista de Economia Política","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572009000200005&lang=pt" 
"S0101-31572009000200008-scl","Torricelli, energia a vapor e o sentido tecnológico da Revolução Científica","Suprinyak, Carlos Eduardo","Revista de Economia Política; 29(2); 302-318","Revista de Economia Política","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572009000200008&lang=pt" 
"S0101-31572009000200007-scl","Notas críticas sobre a macroeconomia novo-Keynesiana","Gontijo, Cláudio","Revista de Economia Política; 29(2); 285-301","Revista de Economia Política","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572009000200007&lang=pt" 
"S1415-43662009000300001-scl","Características hidráulicas e perdas de solo e água sob cultivo do feijoeiro no semi-árido","Santos, Thais E. M. dos, Montenegro, Abelardo A. A., Pedrosa, Elvira M. R.","Revista Brasileira de Engenharia Agrícola e Ambiental; 13(3); 217-225","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662009000300001&lang=pt" 
"S0100-879X2009000600017-scl","EEG spike source localization before and after surgery for temporal lobe epilepsy: a BOLD EEG-fMRI and independent component analysis study","Sercheli, M.S., Bilevicius, E., Alessio, A., Ozelo, H., Pereira, F.R.S., Rondina, J.M., Cendes, F., Covolan, R.J.M.","Brazilian Journal of Medical and Biological Research; 42(6); 582-587","Brazilian Journal of Medical and Biological Research","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2009000600017&lang=pt" 
"S0100-879X2009000600005-scl","Changes in the hormone and lipid profile of obese adolescent Saudi females with acne vulgaris","Abulnaja, K.O.","Brazilian Journal of Medical and Biological Research; 42(6); 501-505","Brazilian Journal of Medical and Biological Research","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2009000600005&lang=pt" 
"S0100-879X2009000600007-scl","Successful scale-up of human embryonic stem cell production in a stirred microcarrier culture system","Fernandes, A.M., Marinho, P.A.N., Sartore, R.C., Paulsen, B.S., Mariante, R.M., Castilho, L.R., Rehen, S.K.","Brazilian Journal of Medical and Biological Research; 42(6); 515-522","Brazilian Journal of Medical and Biological Research","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2009000600007&lang=pt" 
