"S0042-96862007000700012-spa","Unfulfilled potential: using diethylcarbamazine-fortified salt to eliminate lymphatic filariasis","Lammie, Patrick, Milner, Trevor, Houston, Robin","Bulletin of the World Health Organization; 85(7); 545-549","Bulletin of the World Health Organization","Inglês","2007","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862007000700012&lang=pt" 
"S0004-27302007000500012-scl","Childhood thyroid cancer in Belarus, Russia, and Ukraine after Chernobyl and at present","Demidchik, Yuri E., Saenko, Vladimir A., Yamashita, Shunichi","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 748-762","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500012&lang=pt" 
"S0100-72032007000700013-scl","Ecocardiografia fetal no primeiro trimestre da gestação","Carvalho, Sandra Regina Marques","Revista Brasileira de Ginecologia e Obstetrícia; 29(7); 380-380","Revista Brasileira de Ginecologia e Obstetrícia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032007000700013&lang=pt" 
"S0100-72032007000700011-scl","Atenção qualificada ao parto: a realidade da assistência de enfermagem em Rio Branco (AC)","Dotto, Leila Maria Geromel","Revista Brasileira de Ginecologia e Obstetrícia; 29(7); 379-379","Revista Brasileira de Ginecologia e Obstetrícia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032007000700011&lang=pt" 
"S0100-72032007000700012-scl","Mortalidade por câncer de colo do útero na cidade do Recife: tendência temporal","Mendonça, Vilma Guimarães de","Revista Brasileira de Ginecologia e Obstetrícia; 29(7); 380-380","Revista Brasileira de Ginecologia e Obstetrícia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032007000700012&lang=pt" 
"S0100-72032007000700009-scl","Carta sobre o artigo &quot;Preferências de mulheres brasileiras quanto a mudanças na menstruação&quot;","Oliveira, Marluce Tavares de","Revista Brasileira de Ginecologia e Obstetrícia; 29(7); 376-378","Revista Brasileira de Ginecologia e Obstetrícia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032007000700009&lang=pt" 
"S0100-72032007000700001-scl","Riscos e benefícios do uso dos inibidores seletivos da recaptação de serotonina para a depressão durante a gravidez e a lactação","Nomura, Marcelo Luís, Silva, João Luís Carvalho Pinto e","Revista Brasileira de Ginecologia e Obstetrícia; 29(7); 331-334","Revista Brasileira de Ginecologia e Obstetrícia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032007000700001&lang=pt" 
"S0100-72032007000700010-scl","Padrões de resposta imune em pacientes com endometriose","Podgaec, Sérgio","Revista Brasileira de Ginecologia e Obstetrícia; 29(7); 379-379","Revista Brasileira de Ginecologia e Obstetrícia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032007000700010&lang=pt" 
"S0100-72032007000700007-scl","Múltiplos fibroadenomas bilaterais após transplante renal e imunossupressão com ciclosporina A","Nazário, Afonso Celso Pinto, Vieira Júnior, Luiz Alberto Sobral, Machado, Janine Martins, Kemp, Cláudio","Revista Brasileira de Ginecologia e Obstetrícia; 29(7); 366-369","Revista Brasileira de Ginecologia e Obstetrícia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032007000700007&lang=pt" 
"S0100-72032007000700008-scl","Doença periodontal e complicações obstétricas: há relação de risco?","Passini Júnior, Renato, Nomura, Marcelo Luís, Politano, Gabriel Tilli","Revista Brasileira de Ginecologia e Obstetrícia; 29(7); 370-375","Revista Brasileira de Ginecologia e Obstetrícia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032007000700008&lang=pt" 
"S0100-72032007000700002-scl","Efeitos do raloxifeno sobre a angiogênese do carcinoma de mama de mulheres menopausadas","Lopes-Costa, Pedro Vitor, Santos, Alesse Ribeiro dos, Pires, Cleicilene Gomes, Pereira Filho, João de Deus, Silva, Benedito Borges da","Revista Brasileira de Ginecologia e Obstetrícia; 29(7); 335-339","Revista Brasileira de Ginecologia e Obstetrícia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032007000700002&lang=pt" 
"S0100-72032007000700003-scl","Fertilização in vitro com injeção intracitoplasmática de espermatozóide em ciclos naturais","Busso, Newton Eduardo, Busso, Cristiano Eduardo, Tso, Leopoldo de Oliveira, Auge, Antonio Pedro Flores, Busso, Rene Eduardo, Boaro, Luciana, Prado, Roberto Adelino Almeida","Revista Brasileira de Ginecologia e Obstetrícia; 29(7); 340-345","Revista Brasileira de Ginecologia e Obstetrícia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032007000700003&lang=pt" 
"S0100-72032007000700004-scl","Análise morfológica dos fígados e rins no binômio materno-fetal após tratamento de ratas prenhes com Ritonavir durante toda a prenhez","Carvalho, Adelino Moreira de, Simões, Ricardo Santos, Oliveira, Fábio Hideo Martins, Simões, Manuel de Jesus, Oliveira-Filho, Ricardo Martins, Nakamura, Mary Uchiyama, Kulay Júnior, Luiz","Revista Brasileira de Ginecologia e Obstetrícia; 29(7); 346-351","Revista Brasileira de Ginecologia e Obstetrícia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032007000700004&lang=pt" 
"S0100-72032007000700005-scl","Movimentos respiratórios fetais em gestações com diabetes mellitus pré-gestacional","Nomura, Roseli Mieko Yamamoto, Martins, Aparecido Nakano, Teshima, Letícia Kamio, Miyadahira, Seizo, Zugaib, Marcelo","Revista Brasileira de Ginecologia e Obstetrícia; 29(7); 352-357","Revista Brasileira de Ginecologia e Obstetrícia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032007000700005&lang=pt" 
"S0004-27302007000500002-scl","Molecular genetics of papillary thyroid carcinoma: great expectations...","Trovisco, Vítor, Soares, Paula, Preto, Ana, Castro, Patrícia, Máximo, Valdemar, Sobrinho-Simões, Manuel","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 643-653","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500002&lang=pt" 
"S1516-89132007000400003-scl","Genetic control on the performance of common bean differential cultivars to Colletotrichum lindemuthianum races","Gonçalves-Vidigal, Maria Celeste, Bonett, Lucimar Pereira, Vidigal Filho, Pedro Soares, Gonela, Adriana, Ribeiro, Aliny Simony","Brazilian Archives of Biology and Technology; 50(4); 579-586","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400003&lang=pt" 
"S1516-89132007000400005-scl","Shoot and root responses of Trifolium vesiculosum to boron fertilization in an acidic Brazilian soil","Favaretto, Nerilde, Motta, Antônio Carlos Vargas, Barcik, Cristina, Lustosa, Sebastião Brasil Campos, Comin, Jucinei José","Brazilian Archives of Biology and Technology; 50(4); 597-604","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400005&lang=pt" 
"S1516-89132007000400008-scl","Feeding ecology of stream-dwelling fishes from a coastal stream in the Southeast of Brazil","Mazzoni, Rosana, Costa, Leandro Damião Soares da","Brazilian Archives of Biology and Technology; 50(4); 627-635","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400008&lang=pt" 
"S1516-89132007000400011-scl","The epiphytic Cactaceae Hylocereus setaceus (Salm-Dick ex DC.) ralf bauer seed germination is controlled by light and temperature","Simão, Edson, Socolowski, Fábio, Takaki, Massanori","Brazilian Archives of Biology and Technology; 50(4); 655-662","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400011&lang=pt" 
"S1516-89132007000400012-scl","Composition and seasonal variation of the ichthyofauna from upper Rio Paraguaçu (Chapada Diamantina, Bahia, Brazil)","Santos, Alexandre Clistenes de Alcântara, Caramaschi, Érica Pellegrini","Brazilian Archives of Biology and Technology; 50(4); 663-672","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400012&lang=pt" 
"S1516-89132007000400013-scl","Environmental quality evaluation of lakes in the Rio Grande do Sul coastal plain","Pedrozo, Catarina da Silva, Rocha, Odete","Brazilian Archives of Biology and Technology; 50(4); 673-685","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400013&lang=pt" 
"S1516-89132007000400014-scl","Estimation of aerial biomass of Lychnophora ericoides (Mart.)","Andrade, Brunno Santana de, Hay, John Du Vall","Brazilian Archives of Biology and Technology; 50(4); 687-694","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400014&lang=pt" 
"S1516-89132007000400018-scl","Chemical basis for beef charqui meat texture","Youssef, Elza Y., Garcia, Carlos Eduardo Rocha, Yamashita, Fábio, Shimokomaki, Massami","Brazilian Archives of Biology and Technology; 50(4); 719-724","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400018&lang=pt" 
"S1516-89132007000400009-scl","Cytotoxicity and genotoxicity of untreated hospital effluents","Ortolan, Maria da Graça Silva, Ayub, Marco Antônio Záchia","Brazilian Archives of Biology and Technology; 50(4); 637-643","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400009&lang=pt" 
"S1516-89132007000400015-scl","Thermocyclops decipiens (Kiefer, 1929) (Copepoda, Cyclopoida) as indicator of water quality in the State of Minas Gerais, Brazil","Landa, Giovanni Guimarães, Barbosa, Francisco Antonio Rodrigues, Rietzler, Arnola Cecilia, Maia-Barbosa, Paulina Maria","Brazilian Archives of Biology and Technology; 50(4); 695-705","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400015&lang=pt" 
"S0873-21592007000400001-prt","Bronquiolite obliterante pós-infecciosa na criança","Lobo, Ana Luísa, Guardiano, Micaela, Nunes, Teresa, Azevedo, Inês, Vaz, Luísa Guedes","Revista Portuguesa de Pneumologia; 13(4); 495-509","Revista Portuguesa de Pneumologia","Português","2007","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592007000400001&lang=pt" 
"S0873-21592007000400002-prt","Malformação congénita das vias aéreas pulmonares: Experiência de cinco centros","Rocha, Gustavo, Fernandes, Paula Cristina, Proença, Elisa, Quintas, Conceição, Martins, Teresa, Azevedo, Inês, Guimarães, Hercília","Revista Portuguesa de Pneumologia; 13(4); 511-523","Revista Portuguesa de Pneumologia","Português","2007","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592007000400002&lang=pt" 
"S0873-21592007000400003-prt","Papel da oximetria nocturna no rastreio da síndroma de apneia-hipopneia obstrutiva do sono","Ventura, Celestina, Oliveira, Ana Sofia, Dias, Rita, Teixeira, Joana, Canhão, Cristina, Santos, Odete, Pinto, Paula, Bárbara, Cristina","Revista Portuguesa de Pneumologia; 13(4); 525-551","Revista Portuguesa de Pneumologia","Português","2007","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592007000400003&lang=pt" 
"S0873-21592007000400004-prt","Timomas malignos: A experiência do IPO do Porto e revisão da literatura","Sousa, Berta, Araújo, António, Amaro, Teresina, Azevedo, Isabel, Soares, Marta, Sousa, Olga","Revista Portuguesa de Pneumologia; 13(4); 553-585","Revista Portuguesa de Pneumologia","Português","2007","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592007000400004&lang=pt" 
"S0873-21592007000400005-prt","Carcinoma do pulmão de pequenas células: Estado da arte e perspectivas futuras","Barata, Fernando J, Costa, Ana Filipa","Revista Portuguesa de Pneumologia; 13(4); 587-604","Revista Portuguesa de Pneumologia","Português","2007","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592007000400005&lang=pt" 
"S0873-21592007000400006-prt","Medicina intensiva no fim da vida: Reflexão sobre o posicionamento da Igreja católica","Monteiro, Filipe","Revista Portuguesa de Pneumologia; 13(4); 605-612","Revista Portuguesa de Pneumologia","Português","2007","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592007000400006&lang=pt" 
"S0873-21592007000400007-prt","Pneumotórax espontâneo num pulmão vicariante: A spontaneous pneumothorax in a &quot;buffalo chest&quot;","Marinho, Anabela, Lima, Beatriz, Araújo, Idalina, Bastos, Pedro, Marques, J Agostinho, Gomes, Isabel","Revista Portuguesa de Pneumologia; 13(4); 613-617","Revista Portuguesa de Pneumologia","Português","2007","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592007000400007&lang=pt" 
"S0873-21592007000400008-prt","Quisto hidático do mediastino: A propósito de um caso clínico","Gonçalves, Ana Paula, Luís, Filomena, Alexandra, Bento, Silva, José Manuel","Revista Portuguesa de Pneumologia; 13(4); 619-624","Revista Portuguesa de Pneumologia","Português","2007","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592007000400008&lang=pt" 
"S0873-21592007000400009-prt","Redução de volume pulmonar broncoscópico no enfisema em estádio terminal: Resultados dos primeiros 98 doentes","Wan, I, Toma, T, Geddes, D, Snell, G, Williams, T, Venuta, F, Yim, A","Revista Portuguesa de Pneumologia; 13(4); 625-627","Revista Portuguesa de Pneumologia","Português","2007","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592007000400009&lang=pt" 
"S0873-21592007000400010-prt","Recomendações sobre o uso dos testes de exercício na prática clínica","Palange, P, Ward, SA, Carlsen, K-H, Casaburi, R, Gallagher, CG, Gosselink, R, O’Donnell, DE, Puente-Maestu, L, Schols, AM, Singh, S, Whipp, BJ","Revista Portuguesa de Pneumologia; 13(4); 628-632","Revista Portuguesa de Pneumologia","Português","2007","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592007000400010&lang=pt" 
"S0873-21592007000400011-prt","DPOC associada a um aumento de mortalidade em doentes com pneumonia adquirida na comunidade","Restrepo, MI, Mortensen, EM, Pugh, JA, Anzueto, A","Revista Portuguesa de Pneumologia; 13(4); 633-636","Revista Portuguesa de Pneumologia","Português","2007","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592007000400011&lang=pt" 
"S0873-21592007000400012-prt","Suplemento de oxigénio necessário em voluntários saudáveis quando submetidos a broncoscopia com lavado broncoalveolar","Ghio, Andrew J, Bassett, Mary Ann, Levin, Debra, Montilla, Tracey","Revista Portuguesa de Pneumologia; 13(4); 637-638","Revista Portuguesa de Pneumologia","Português","2007","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592007000400012&lang=pt" 
"S0873-21592007000400013-prt","Terapêutica clínica: Insulina inalada para a diabetes mellitus","McMahon, Graham T, Arky, Ronald A","Revista Portuguesa de Pneumologia; 13(4); 639-641","Revista Portuguesa de Pneumologia","Português","2007","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592007000400013&lang=pt" 
"S1516-89132007000400010-scl","Structure of the phytoplankton in a water supply system in the State of Pernambuco - Brazil","Moura, Ariadne do Nascimento, Dantas, Ênio Wocyli, Bittencourt-Oliveira, Maria do Carmo","Brazilian Archives of Biology and Technology; 50(4); 645-654","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400010&lang=pt" 
"S1516-89132007000400016-scl","Quantification of iodine in porous hydroxyapatite matrices for application as radioactive sources in brachytherapy","Lacerda, Kássio André, Lameiras, Fernando Soares, Silva, Viviane Viana","Brazilian Archives of Biology and Technology; 50(4); 707-711","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400016&lang=pt" 
"S1516-89132007000400017-scl","Response surface methodology to evaluation the recovery of amylases by hollow fiber membrane","Severo Júnior, João Baptista, Oliveira, Laura Sampaio de Sá, Sardeiro, Fernanda Silva, Souza, Roberto Rodrigues de, Lopes, Francisco Luiz Gumes, Santana, José Carlos Curvelo, Tambourgi, Elias Basile","Brazilian Archives of Biology and Technology; 50(4); 713-718","Brazilian Archives of Biology and Technology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132007000400017&lang=pt" 
"S1516-31802007000400001-scl","CAPES publications portal: a decisive milepost in Brazilian scientific development providing sources of evidence for researchers, students and health professionals","Atallah, Álvaro Nagib, Puga, Maria Eduarda dos Santos","Sao Paulo Medical Journal; 125(4); 203-204","Sao Paulo Medical Journal","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802007000400001&lang=pt" 
"S1516-31802007000400006-scl","Kidney weight and volume among living donors in Brazil","Vasconcelos, Vladimir Tonello de, Katayama, Rafael Cauê, Ribeiro, Maria Flavia de Lima, Medina-Pestana, José Osmar, Baptista-Silva, José Carlos Costa","Sao Paulo Medical Journal; 125(4); 223-225","Sao Paulo Medical Journal","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802007000400006&lang=pt" 
"S1516-31802007000400005-scl","Schwannomas in the head and neck: retrospective analysis of 21 patients and review of the literature","Langner, Erwin, Del Negro, André, Akashi, Hugo Kenzo, Araújo, Priscila Pereira Costa, Tincani, Alfio José, Martins, Antonio Santos","Sao Paulo Medical Journal; 125(4); 220-222","Sao Paulo Medical Journal","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802007000400005&lang=pt" 
"S1516-31802007000400008-scl","Intensity of cervical inflammatory reaction as a risk factor for recurrence of carcinoma of the uterine cervix in stages IB and IIA","Fregnani, José Humberto Tavares Guerreiro, Soares, Fernando Augusto, Novik, Pablo Roberto, Lopes, Ademar, Latorre, Maria do Rosário Dias de Oliveira","Sao Paulo Medical Journal; 125(4); 231-236","Sao Paulo Medical Journal","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802007000400008&lang=pt" 
"S1516-31802007000400013-scl","Retroperitoneal unicentric Castleman&#039;s disease (giant lymph node hyperplasia): case report","Waisberg, Jaques, Satake, Marie, Yamagushi, Nagamassa, Matos, Leandro Luongo de, Waisberg, Daniel Reis, Artigiani Neto, Ricardo, Franco, Maria Isete Fares","Sao Paulo Medical Journal; 125(4); 253-255","Sao Paulo Medical Journal","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802007000400013&lang=pt" 
"S1516-31802007000400011-scl","Karyotype abnormalities and their clinical significance in a group of chronic myeloid leukemia patients treated with hematopoietic stem cell transplantation","Otero, Luize, Ornellas, Maria Helena, Azevedo, Alexandre Mello de, Tavares, Rita de Cássia, Pires, Virgínia, Abdelhay, Eliana, Bouzas, Luis Fernando, Fernandez, Teresa de Souza","Sao Paulo Medical Journal; 125(4); 246-249","Sao Paulo Medical Journal","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802007000400011&lang=pt" 
"S1516-31802007000400012-scl","The effect of femoral and popliteal percutaneous transluminal balloon angioplasty on patients&#039; quality of life","Slovacek, Ladislav, Slovackova, Birgita, Chovanec, Vendelin","Sao Paulo Medical Journal; 125(4); 250-252","Sao Paulo Medical Journal","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802007000400012&lang=pt" 
"S1516-31802007000400004-scl","Respiratory muscle strength in obese individuals and influence of upper-body fat distribution","Magnani, Karla Luciana, Cataneo, Antônio José Maria","Sao Paulo Medical Journal; 125(4); 215-219","Sao Paulo Medical Journal","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802007000400004&lang=pt" 
"S1516-31802007000400003-scl","Presumed prevalence analysis on suspected and highly suspected breast cancer lesions in São Paulo using BIRADS® criteria","Milani, Vivian, Goldman, Suzan Menasce, Finguerman, Flora, Pinotti, Marianne, Ribeiro, Celso Scazufka, Abdalla, Nitamar, Szejnfeld, Jacob","Sao Paulo Medical Journal; 125(4); 210-214","Sao Paulo Medical Journal","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802007000400003&lang=pt" 
"S1516-31802007000400007-scl","Tissue microarrays for testing basal biomarkers in familial breast cancer cases","Dufloth, Rozany Mucha, Matos, Irina, Schmitt, Fernando, Zeferino, Luiz Carlos","Sao Paulo Medical Journal; 125(4); 226-230","Sao Paulo Medical Journal","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802007000400007&lang=pt" 
"S1516-31802007000400009-scl","Early dexamethasone treatment for septic shock patients: a prospective randomized clinical trial","Cicarelli, Domingos Dias, Vieira, Joaquim Edson, Benseñor, Fábio Ely Martins","Sao Paulo Medical Journal; 125(4); 237-241","Sao Paulo Medical Journal","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802007000400009&lang=pt" 
"S1516-31802007000400002-scl","Hepatotoxicity in HIV-infected children and adolescents on antiretroviral therapy","Gil, Ana Cecília Montes, Lorenzetti, Raquel, Mendes, Gun Bergsten, Morcillo, André Moreno, Toro, Adyléia Aparecida Dalbo Contrera, Silva, Marcos Tadeu Nolasco da, Vilela, Maria Marluce dos Santos","Sao Paulo Medical Journal; 125(4); 205-209","Sao Paulo Medical Journal","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802007000400002&lang=pt" 
"S1516-31802007000400010-scl","Does the use of paclitaxel or rapamycin-eluting stent decrease further need for coronary-artery bypass grafting when compared with bare-metal stent?","Lemos Júnior, Hernani Pinto de, Atallah, Álvaro Nagib","Sao Paulo Medical Journal; 125(4); 242-245","Sao Paulo Medical Journal","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802007000400010&lang=pt" 
"S0100-72032007000700006-scl","Complicações materno-fetais da biópsia de vilo corial: experiência de um centro especializado do Nordeste do Brasil","Lopes, Antonio Carlos Vieira, Pimentel, Kleber, Almeida, Alessandro de Moura, Matos, Eduardo Costa, Toralles, Maria Betânia Pereira","Revista Brasileira de Ginecologia e Obstetrícia; 29(7); 358-365","Revista Brasileira de Ginecologia e Obstetrícia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032007000700006&lang=pt" 
"S0004-27302007000500005-scl","TGFbeta, activina e sinalização SMAD em câncer de tiróide","Kimura, Edna T., Matsuo, Sílvia E., Ricarte-Filho, Júlio Cézar","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 683-689","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500005&lang=pt" 
"S0004-27302007000500014-scl","Carcinoma não medular familiar da tiróide","Santos, Roberto Bernardo, Melo, Thaís Gomes de, Assumpção, Lígia V. Montali","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 769-773","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500014&lang=pt" 
"S0004-27302007000500006-scl","Expressão das iodotironinas desiodases nas neoplasias tireoidianas","Meyer, Erika L. Souza, Wagner, Márcia S., Maia, Ana Luiza","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 690-700","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500006&lang=pt" 
"S0004-27302007000500007-scl","Relevance of iodine intake as a reputed predisposing factor for thyroid cancer","Knobel, Meyer, Medeiros-Neto, Geraldo","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 701-712","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500007&lang=pt" 
"S0004-27302007000500008-scl","Identifying a risk profile for thyroid cancer","Ward, Laura Sterian, Morari, Elaine Cristina, Leite, Janaina Luisa, Bufalo, Natassia Elena, Guilhen, Ana Carolina Trindade, Araujo, Priscilla Pereira C. de, Tincani, Alfio J., Assumpção, Ligia V.M., Matos, Patricia Sabino","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 713-722","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500008&lang=pt" 
"S0004-27302007000500011-scl","Clinical prognosis in BRAF-mutated PTC","Puxeddu, Efisio, Moretti, Sonia","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 736-747","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500011&lang=pt" 
"S0004-27302007000500013-scl","Carcinoma de tireóide na infância e adolescência","Monte, Osmar, Calliari, Luis Eduardo P., Kochi, Cristiane, Scalisse, Nilsa Maria, Marone, Marilia, Longui, Carlos Alberto","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 763-768","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500013&lang=pt" 
"S0004-27302007000500021-scl","Repercussão clínica da reclassificação dos carcinomas diferenciados de tireóide de acordo com a 6ª edição do TNM","Varandas, Vanessa M., Coelho, Sabrina Mendes, Soeiro, Ana Paula V., Coeli, Cláudia Medina, Carvalho, Denise Pires de, Buescu, Alexandru, Vaisman, Mário","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 825-831","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500021&lang=pt" 
"S0004-27302007000500020-scl","Surgical approach to medullary thyroid cancer","Lundgren, Catharina Ihre, Delbridg, Leigh, Learoyd, Diana, Robinson, Bruce","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 818-824","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500020&lang=pt" 
"S0004-27302007000500017-scl","PET imaging in differentiated thyroid cancer: where does it fit and how do we use it?","Hall, Nathan C., Kloos, Richard T.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 793-805","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500017&lang=pt" 
"S0004-27302007000500018-scl","Uso do TSH humano recombinante no câncer diferenciado de tireóide","Graf, Hans, Paz-Filho, Gilberto","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 806-812","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500018&lang=pt" 
"S0004-27302007000500019-scl","Investigação de linfonodos em pacientes em seguimento por carcinoma diferenciado de tiróide","Biscolla, Rosa Paula M.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 51(5); 813-817","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302007000500019&lang=pt" 
