"S1405-22532009000100008-mex","Luis Aboites y Luis Jáuregui, Penuria sin fin. Historia de los impuestos en México siglos XVIII -XX","Quintanar Zárate, Iliana Marcela","América Latina en la historia económica; (31); 206-212","América Latina en la historia económica","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532009000100008&lang=pt" 
"S0001-63652009000200016-ven","Fibroma Osificante de Mandíbula: Reporte de un caso Clínico","Jaimes, Miguel, Barbosa Luna, Anibal Henrique, Asprino, Luciana, de Moraes, Márcio","Acta Odontológica Venezolana; 47(2); 390-396","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200016&lang=pt" 
"S0001-63652009000200017-ven","Rehabilitación estética por medio de facetas directas-presentación de casos clínicos","MEDEIROS, Cássio Rocha, BERNAL, Carolina Carlos, BRAZ da Silva, Rodivan","Acta Odontológica Venezolana; 47(2); 397-403","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200017&lang=pt" 
"S0001-63652009000200010-ven","Individualización del tratamiento ortodontico. Importancia de los tipos rotacionales y las categorias auxologicas","Guercio, E, Deli, R, D&#039;Avanzo, G, Saccomanno, S","Acta Odontológica Venezolana; 47(2); 348-354","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200010&lang=pt" 
"S0001-63652009000200011-ven","Prevalencia de infecciones de transmisión sexual en personas VIH/SIDA que solicitaron asistencia odontológica en el centro de atención a personas con enfermedades infecciosas (CAPEI/UCV). 2000-2005","Araujo, A, Guerra, ME, Tovar, V","Acta Odontológica Venezolana; 47(2); 355-361","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200011&lang=pt" 
"S0001-63652009000200013-ven","Carga inmediata en implante unitario asociado a injerto de conjuntivo-Relato de un caso clínico","MORAIS, Juliana Aparecida Najarro Dearo de, LANDÁZURI, Ricardo Andrés Del Barrio, Wagner Nunes de, PAULA, MARGONAR, Rogerio, MARCANTONIO, Elcio Jr","Acta Odontológica Venezolana; 47(2); 369-375","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200013&lang=pt" 
"S0001-63652009000200018-ven","Lipoma en una inusual localizacion: Reporte de un caso","González de P, Mary Carmen, Avilés, Daymar","Acta Odontológica Venezolana; 47(2); 404-410","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200018&lang=pt" 
"S0001-63652009000200019-ven","Fibroma osificante juvenil activo trabecular, deformante: Reporte de un caso","Yoris, Orlando, Pérez, Ligia, Molina, Cesar, Sarmiento, Luís, Maldonado, Pablo","Acta Odontológica Venezolana; 47(2); 411-417","Acta Odontológica Venezolana","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0001-63652009000200019&lang=pt" 
"S1852-99922009000200001-arg","Pasado y presente del juramento Hipocrático: Análisis de su vigencia","Remis, José Antonio","Revista argentina de radiología; 73(2); 139-141","Revista argentina de radiología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922009000200001&lang=pt" 
"S1852-99922009000200002-arg","El origen de las palabras: etimología de algunos términos usados en medicina","Marangoni, Alberto","Revista argentina de radiología; 73(2); 149-152","Revista argentina de radiología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922009000200002&lang=pt" 
"S1852-99922009000200003-arg","Tomografía computada multislice: aplicaciones en SNC y cabeza &amp; cuello. ¿Cómo, cuándo, por qué y para qué?","Besada, Cristina, Ulla, Marina, Levy, Ezequiel, García Mónaco, Ricardo","Revista argentina de radiología; 73(2); 153-160","Revista argentina de radiología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922009000200003&lang=pt" 
"S1852-99922009000200004-arg","Certeza diagnóstica de la tomografía computarizada multicorte para la detección de la vasculopatía del injerto cardiaco: comparación con angiografía coronaria invasiva y ecografía intravascular","Carrascosa, Patricia, Capuñay, Carlos, Carrascosa, Jorge, Perrone, Sergio, Lev, Gustavo, Deviggiano, Alejandro, Martín López, Elba, García, Mario J.","Revista argentina de radiología; 73(2); 161-167","Revista argentina de radiología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922009000200004&lang=pt" 
"S1852-99922009000200005-arg","ImaginARTE","Ibáñez, Osvaldo, Ucar, María Elena, Ferrari, Celia, Ortega, Osvaldo, Cánepa, Sergio","Revista argentina de radiología; 73(2); 168-168","Revista argentina de radiología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922009000200005&lang=pt" 
"S1852-99922009000200006-arg","Ultrasonido con contraste de masas hepáticas","Yu, Hojun, Khalili, Korosh, Jang, Hyun-Jung, Kim, Tae Kyoung, Atri, Mostafa","Revista argentina de radiología; 73(2); 169-176","Revista argentina de radiología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922009000200006&lang=pt" 
"S1852-99922009000200007-arg","Diagnóstico diferencial de la patología del intestino delgado: un enfoque práctico: Parte 2: Enfermedad focal","Ros Mendoza, Luis H., Giménez Cepero, Fernando J., Sanchez Ballestín, María, Arnal Monreal, Manuel, Ros, Pablo R.","Revista argentina de radiología; 73(2); 177-186","Revista argentina de radiología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922009000200007&lang=pt" 
"S1852-99922009000200008-arg","Valor de la resonancia magnética en la evaluación del compromiso del margen de resección circunferencial en pacientes con cáncer rectal","Seehaus, Alberto, Fatal Jaef, Virginia, Pietrani, Marcelo, Ocantos, Jorge","Revista argentina de radiología; 73(2); 187-191","Revista argentina de radiología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922009000200008&lang=pt" 
"S1852-99922009000200009-arg","","García, Adriana","Revista argentina de radiología; 73(2); 192-192","Revista argentina de radiología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922009000200009&lang=pt" 
"S1852-99922009000200010-arg","Gestación gemelar monocorial: Ecografía, Doppler y estudio de los vasos placentarios post parto y su correlación con la ocurrencia de complicaciones","Gómez, Mariángeles, Dutruel, Silvina, Cúneo, Lucrecia, Medina, Josefina, Cellerino, Analía, Sáez, Diego G.A.","Revista argentina de radiología; 73(2); 193-200","Revista argentina de radiología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922009000200010&lang=pt" 
"S1852-99922009000200011-arg","La radiología digestiva hoy: ¿Crónica de una muerte anunciada?","Videla, Ricardo Luis","Revista argentina de radiología; 73(2); 201-202","Revista argentina de radiología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922009000200011&lang=pt" 
"S1852-99922009000200012-arg","Signo del menisco","Mariano, Jimena","Revista argentina de radiología; 73(2); 203-204","Revista argentina de radiología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922009000200012&lang=pt" 
"S1852-99922009000200013-arg","TICs: Tecnologías de la información y la comunicación","Cejas, Claudia, Picorel, Jorge","Revista argentina de radiología; 73(2); 205-211","Revista argentina de radiología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922009000200013&lang=pt" 
"S1852-99922009000200014-arg","Malformación Arterio Venosa (MAV) con afluente arterial único y gran aneurisma venoso con drenaje venoso a vena pulmonar izquierda","Picco, Gabriela, Montefeltro, Guillermo, García Mónaco, Ricardo","Revista argentina de radiología; 73(2); 213-216","Revista argentina de radiología","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922009000200014&lang=pt" 
"S1029-30192009000300001-cub","Principales características de la preeclampsia grave en gestantes ingresadas en un hospital de Zimbabwe","Amarán Valverde, Jorge Ernesto, Sosa Zamora, Mariela, Pérez Pérez, Migdia, Arias Acosta, Dagmaris, Valverde Bravo, Ivis","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300001&lang=pt" 
"S1029-30192009000300003-cub","Ventajas de la cirugía mayor ambulatoria en situaciones de urgencia médica","Luzardo Silveira, Ernesto Manuel, Rodríguez Ramírez, Rafael, González Rondón, Pedro Luis, Puertas Álvarez, Juan Francisco","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300003&lang=pt" 
"S1029-30192009000300004-cub","Algunos criterios sobre la técnica anestésica conductiva convencional en estomatología","Planos Formento, Gisela, Mandado Bertot, Armando, Hing Amiot, Rafaela, Santos Toledo, Liset, Sanjurjo Álvarez, María del Carmen","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300004&lang=pt" 
"S1029-30192009000300005-cub","Acceso vascular para hemodiálisis en pacientes con enfermedad renal crónica","González García, Emma Esther, Castillo Montoya, Rolando","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300005&lang=pt" 
"S1029-30192009000300006-cub","¡Cuidado con los piercings bucales!","Clavería Clark, Rafael Alberto, Ortiz Moncada, Clara, Fouces Gutiérrez, Yudania, Tabares Urdaneta, Raquel R, Muñoz Torres, Yuneisy","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300006&lang=pt" 
"S1029-30192009000300009-cub","Elementos más importantes en la patogenia de la psoriasis","Batista Romagosa, Maritza, Pérez Bruzón, Marlenys","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300009&lang=pt" 
"S1029-30192009000300010-cub","Causas más frecuentes de consulta oftalmológica","Fernández Pérez, Sonia R, de Dios Lorente, José Arturo, Peña Sisto, Liliana, García Espinosa, Sara M, León Leal, Mario","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300010&lang=pt" 
"S1029-30192009000300011-cub","Leucosis linfoide crónica y neurofibromatosis de tipo 1","Sánchez Massó, Darío","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300011&lang=pt" 
"S1029-30192009000300012-cub","Presillamiento de aneurisma intracraneal en una niña mediante microcirugía y endoscopia asistida","Brossard Alejo, Julio S, Dearriba Romanidi, Manuel, Gonzálvez Bertot, Jaime, Vigueaux Esteve, Adria, ardona Castillo, Marianela","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300012&lang=pt" 
"S1029-30192009000300013-cub","Herpes zoster oftálmico en pacientes con cáncer de pulmón","Téllez Céspedes, Nancy, Jacas Portuondo, Ana Lucía, Estrada Ortiz, René Oscar, López Pupo, Natacha, Ge Grant, Ana Iris","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300013&lang=pt" 
"S1029-30192009000300015-cub","Libros y monografías en el portal Infomed de Santiago de Cuba","Cardero Montoya, Dilaydis, Jiménez Arias, María Elena, Meléndez Suárez, Dolores","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300015&lang=pt" 
"S1029-30192009000300016-cub","Lo social en el género: Reflexiones para un debate","Laborí Ruiz, José Rafael, Terazón Miclín, Oneida","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300016&lang=pt" 
"S1029-30192009000300017-cub","La mielinólisis pontina central como complicación de la enfermedad por quemaduras","Suárez Robert, Ismenia, Figueroa Freires, Juan Carlos","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300017&lang=pt" 
"S1029-30192009000300018-cub","Algunos aspectos relacionados con el conocimiento sobre sexualidad en adolescentes de un área de salud","Pérez Pérez, Migdia, Sosa Zamora, Mariela, Amarán Valverde, Jorge Ernesto, del Rosario Pinto, María, Arias Acosta, Dagmaris","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300018&lang=pt" 
"S1029-30192009000300019-cub","Balance del Consejo Científico Provincial de la Salud de Santiago de Cuba en el período 2002 - 2008","Escobar Yéndez, Nilia Victoria","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300019&lang=pt" 
"S1029-30192009000300020-cub","Dr. César Falagán Andina: Eficiencia y restigio profesional en toda su obra","Tamayo Gandol, Rolando O","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300020&lang=pt" 
"S1029-30192009000300002-cub","Manifestaciones del sistema osteomioarticular en pacientes con toxiinfección alimentaria por Salmonella D","Fernández Ermus, Rubén, Hing León, Joaquín Roberto, Pérez Sánchez, Glenda","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300002&lang=pt" 
"S1029-30192009000300007-cub","Acciones para el control de un brote de transmisión local de paludismo introducido en Santiago de Cuba","Miranda Reyes, Sergio C, Muñiz Savín, Zuzel, Pérez Pérez, Isabel, Palú Orozco, Adrián, García Vidal, Alberto","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300007&lang=pt" 
"S1029-30192009000300014-cub","Formación de capital humano para su desempeño en bibliotecas médicas desde 1970 hasta 2008 en Santiago de Cuba","Duperet Cabrera, Elaine, Peña Fernández, Maricela","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300014&lang=pt" 
"S1029-30192009000300008-cub","Sustitución plurivalvular en el Cardiocentro de Santiago de Cuba durante 2003-2008","Torralbas Reverón, Fredy Eladio, Díaz Socarrás, Félix Javier, Lujo Carballo, Aziel, de la Torre Fonseca, Carlos, Ávalos Carrazana, Gabriel","MEDISAN; 13(3); -","MEDISAN","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192009000300008&lang=pt" 
"S0124-61272009000100008-col","El cuerpo en la filosofía virtual","Carreño Dueñas, Dalia, Rojas Benjumea, Alejandro, Valero Cárdenas, Humberto, Restrepo Restrepo, Arturo","Discusiones Filosóficas; 10(14); 119-132","Discusiones Filosóficas","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-61272009000100008&lang=pt" 
"S0124-61272009000100009-col","Virtudes y vicios",", Aristóteles","Discusiones Filosóficas; 10(14); 133-145","Discusiones Filosóficas","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-61272009000100009&lang=pt" 
"S0124-61272009000100004-col","La ilíada y las categorías de la filosofía de la novela","Picón Casas, Javier","Discusiones Filosóficas; 10(14); 43-61","Discusiones Filosóficas","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-61272009000100004&lang=pt" 
"S0124-61272009000100005-col","La filosofía del entendimiento, de andrés bello: factum revolucionario","Cuartas R, Juan Manuel","Discusiones Filosóficas; 10(14); 63-74","Discusiones Filosóficas","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-61272009000100005&lang=pt" 
"S0124-61272009000100006-col","Observaciones críticas de Nietzsche al pensamiento kantiano","Cruz G, Jorge Iván","Discusiones Filosóficas; 10(14); 75-95","Discusiones Filosóficas","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-61272009000100006&lang=pt" 
"S0124-61272009000100007-col","Fenomenología de la mirada","Villamil Pineda, Miguel Ángel","Discusiones Filosóficas; 10(14); 97-118","Discusiones Filosóficas","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-61272009000100007&lang=pt" 
"S0124-61272009000100001-col","Presentación Editorial","","Discusiones Filosóficas; 10(14); 7-10","Discusiones Filosóficas","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-61272009000100001&lang=pt" 
"S0124-61272009000100002-col","Hume and self-identity","García Duque, Carlos Emilio","Discusiones Filosóficas; 10(14); 13-25","Discusiones Filosóficas","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-61272009000100002&lang=pt" 
"S0124-61272009000100003-col","Allusions to henotheism and monotheism in cicero&#039;s book II of the nature of the gods","Gamlath, Isha","Discusiones Filosóficas; 10(14); 27-42","Discusiones Filosóficas","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-61272009000100003&lang=pt" 
"S0121-68052009000100008-col","ELEMENTOS PARA LA DISCUSIÓN DE LA INTERNACIONALIZACIÓN DE LA EDUCACIÓN SUPERIOR COLOMBIANA","RODRÍGUEZ OTÁLORA, JORGE ALEXANDER","Revista Facultad de Ciencias Económicas: Investigación y Reflexión; 17(1); 109-122","Revista Facultad de Ciencias Económicas: Investigación y Reflexión","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-68052009000100008&lang=pt" 
"S0121-68052009000100009-col","UN ANÁLISIS ESPACIAL DE LAS MIGRACIONES INTERNAS EN COLOMBIA (2000-2005)","SILVA ARIAS, ADRIANA CAROLINA, GONZÁLEZ ROMÁN, PATRICIA","Revista Facultad de Ciencias Económicas: Investigación y Reflexión; 17(1); 123-144","Revista Facultad de Ciencias Económicas: Investigación y Reflexión","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-68052009000100009&lang=pt" 
"S0121-68052009000100002-col","POR UNA AGENDA DE INVESTIGACIÓN PROPIA PARA NUESTRAS CIENCIAS SOCIALES","León Paime, Fredy","Revista Facultad de Ciencias Económicas: Investigación y Reflexión; 17(1); 7-8","Revista Facultad de Ciencias Económicas: Investigación y Reflexión","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-68052009000100002&lang=pt" 
"S0121-68052009000100003-col","SIMILARITIES AND DIFFERENCES EXISTING IN CULTURAL PROFILES OF COLOMBIAN ORGANIZATIONS OF HIGHER ANDLOWER PERFORMANCE","GÓMEZ ROLDAN, IGNACIO, RICARDO BRAY, RAFAEL GUILLERMO","Revista Facultad de Ciencias Económicas: Investigación y Reflexión; 17(1); 9-24","Revista Facultad de Ciencias Económicas: Investigación y Reflexión","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-68052009000100003&lang=pt" 
"S0121-68052009000100001-col","","Castañeda Bernal, Marta Eugenia","Revista Facultad de Ciencias Económicas: Investigación y Reflexión; 17(1); 5-5","Revista Facultad de Ciencias Económicas: Investigación y Reflexión","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-68052009000100001&lang=pt" 
"S0121-68052009000100006-col","IMPACTO DE LOS JUEGOS GERENCIALES EN LOS PROGRAMAS DE ADMINISTRACIÓN DE EMPRESAS COMO HERRAMIENTA PEDAGÓGICA","PLATA BOGOYA, JAIME ANTONIO, MORALES RUBIANO, MARÍA EUGENIA, ARIAS CANTE, MAYRA ALEJANDRA","Revista Facultad de Ciencias Económicas: Investigación y Reflexión; 17(1); 77-94","Revista Facultad de Ciencias Económicas: Investigación y Reflexión","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-68052009000100006&lang=pt" 
"S0121-68052009000100007-col","POBREZA Y DELINCUENCIA DEPARTAMENTAL EN COLOMBIA 2003 - 2007","SANDOVAL, LUIS EDUARDO, PALENCIA PÉREZ, ARMANDO, MARTÍNEZ BARÓN, DEISSY","Revista Facultad de Ciencias Económicas: Investigación y Reflexión; 17(1); 95-108","Revista Facultad de Ciencias Económicas: Investigación y Reflexión","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-68052009000100007&lang=pt" 
"S0121-68052009000100004-col","EVOLUCIÓN DEL SISTEMA FINANCIERO COLOMBIANO DURANTE EL PERÍODO 1980-2007","SARMIENTO ESPINEL, JAIME ANDRÉS, CRISTANCHO GIRALDO, LAURA ANDREA","Revista Facultad de Ciencias Económicas: Investigación y Reflexión; 17(1); 25-56","Revista Facultad de Ciencias Económicas: Investigación y Reflexión","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-68052009000100004&lang=pt" 
"S0121-68052009000100005-col","ALGUNAS CONCEPCIONES DEL TIEMPO EN CIENCIAS SOCIALES E IMPLICACIONES PARA LA INVESTIGACIÓN EN DIRECCIÓN ESTRATÉGICA","MONTOYA RESTREPO, IVAN A., MONTOYA RESTREPO, LUZ ALEXANDRA","Revista Facultad de Ciencias Económicas: Investigación y Reflexión; 17(1); 57-76","Revista Facultad de Ciencias Económicas: Investigación y Reflexión","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-68052009000100005&lang=pt" 
"S0121-68052009000100014-col","PRÁCTICAS DE RESPONSABILIDAD SOCIAL EN MUJERES EMPRESARIAS PROFESIONALES DE BOGOTÁ, MEDELLÍN Y CALI","ORTÍZ RIAGA, CAROLINA, DUQUE OROZCO, YENNI VIVIANA","Revista Facultad de Ciencias Económicas: Investigación y Reflexión; 17(1); 217-232","Revista Facultad de Ciencias Económicas: Investigación y Reflexión","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-68052009000100014&lang=pt" 
"S0121-68052009000100011-col","LA GERENCIA DEL TALENTO HUMANO BAJO LA PERSPECTIVA DE LA CONDICIÓN HUMANA","CABRALES SALAZAR, OMAR","Revista Facultad de Ciencias Económicas: Investigación y Reflexión; 17(1); 155-178","Revista Facultad de Ciencias Económicas: Investigación y Reflexión","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-68052009000100011&lang=pt" 
"S0121-68052009000100010-col","VENEZUELA: EL SECTOR PRIVADO ANTE LA INCERTIDUMBRE (2007-2008)","MARTÍNEZ-NESTARES, RAFAEL","Revista Facultad de Ciencias Económicas: Investigación y Reflexión; 17(1); 145-153","Revista Facultad de Ciencias Económicas: Investigación y Reflexión","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-68052009000100010&lang=pt" 
"S0121-68052009000100013-col","LA HISTORIA SE REPITE: UNA VISIÓN DEL DESARROLLO Y DEL DESARROLLO SOSTENIBLE","SABOGAL AGUILAR, JAVIER, HURTADO AGUIRRE, ENRIQUE","Revista Facultad de Ciencias Económicas: Investigación y Reflexión; 17(1); 195-216","Revista Facultad de Ciencias Económicas: Investigación y Reflexión","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-68052009000100013&lang=pt" 
"S0121-68052009000100012-col","FRONTERAS DE LA INVESTIGACIÓN CONTABLE-FINANCIERA-ECONÓMICA: AUTONOMÍA E INTERDISCIPLINARIEDAD","ORTIZ BOJACÁ, JOSÉ JOAQUÍN","Revista Facultad de Ciencias Económicas: Investigación y Reflexión; 17(1); 179-194","Revista Facultad de Ciencias Económicas: Investigación y Reflexión","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-68052009000100012&lang=pt" 
"S0102-67202009000200001-scl","Título de especialista em cirurgia do aparelho digestivo","Pinotti, Henrique Walter","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(2); 71-71","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000200001&lang=pt" 
"S0102-67202009000200002-scl","Apendicite aguda: análise institucional no manejo peri-operatório","Franzon, Orli, Piccoli, Maria Claudia, Neves, Thaís Torres, Volpato, Marília Granzotto","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(2); 72-75","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000200002&lang=pt" 
"S0102-67202009000200013-scl","Hepatocarcinoma fibrolamelar (HFL): relato de caso","Maia, Daniel Santos, Ferreira Júnior, Mirayr, Viegas, Ricardo Gomes, Silva, Elkin Ebret Charris, Oliveira, Paulo de Tarso Vaz de, Caetano, Alexandre Justino, Silva, Renato Corgozinho Alves","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(2); 127-129","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000200013&lang=pt" 
"S0102-67202009000200012-scl","Síndrome de Ogilvie (pseudo-obstrução intestinal aguda): relato de caso","Ribas Filho, Jurandir Marcondes, Malafaia, Osvaldo, Fouani, Neme Moussa, Fouani, Marcelo Morikuni, Justen, Marcel da Silva, Trevisan, Nilo Brasil, Lopes, André Donato, Lopes, Gabriel Lima","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(2); 124-126","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000200012&lang=pt" 
"S0102-67202009000200015-scl","Derivação biliodigestiva no tratamento do tumor de Klatskin","Klaus, Daniele Gehlen, Carvalho, Diélly Cunha de, Volpato, Marília Granzotto, Menegali, Alita Thizon, Souza, Jaime César Gelosa, Franzon, Orli","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(2); 133-135","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000200015&lang=pt" 
"S0102-67202009000200016-scl","","","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(2); 135-135","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000200016&lang=pt" 
"S0102-67202009000200003-scl","Caracterização da voz do indivíduo portador de obesidade mórbida","Cunha, Maria Gabriela Bernardo da, Passerotti, Gustavo Haruo, Weber, Raimar, Zilberstein, Bruno","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 22(2); 76-81","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202009000200003&lang=pt" 
