"S0102-85292016000200567-scl","Explaining Co-operation and Conflict in Southern Africa: State-building, Foreign Policy and Regional Order","Silva, Igor Castellano da","Contexto Internacional; 38(2); 567-591","Contexto Internacional","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292016000200567&lang=pt" 
"S0103-21002016000400397-scl","Indução da dor pelo quimioterápico docetaxel em mulheres com câncer de mama","Neris, Rhyquelle Rhibna, Magnabosco, Patrícia, Amaral, Pedro Augusto do, Ribeiro, Maria Ângela, Anjos, Anna Cláudia Yokoyama dos","Acta Paulista de Enfermagem; 29(4); 397-404","Acta Paulista de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002016000400397&lang=pt" 
"S0103-21002016000400439-scl","Fatores de risco associados ao desenvolvimento da síndrome metabólica em crianças e adolescentes","Carvalho, Rumão Batista Nunes de, Nobre, Roseanne de Sousa, Guimarães, Mayla Rosa, Teixeira, Stefany Emília Xavier Moreira, Silva, Ana Roberta Vilorouca da","Acta Paulista de Enfermagem; 29(4); 439-445","Acta Paulista de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002016000400439&lang=pt" 
"S1137-66272016000200016-esp","La familia como objeto de cuidado: hacia un enfoque integrador en la atención de enfermería","Canga, A., Esandi, N.","Anales del Sistema Sanitario de Navarra; 39(2); 319-322","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000200016&lang=pt" 
"S0103-21002016000400469-scl","Aleitamento materno em crianças indígenas de dois municípios da Amazônia Ocidental Brasileira","Maciel, Vanizia Barboza da Silva, Silva, Romeu Paulo Martins, Sañudo, Adriana, Abuchaim, Erika de Sá Vieira, Abrão, Ana Cristina Freitas de Vilhena","Acta Paulista de Enfermagem; 29(4); 469-475","Acta Paulista de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002016000400469&lang=pt" 
"S0103-21002016000400374-scl","Paternidade e amamentação: mediação da enfermeira","Rêgo, Rita Maria Viana, Souza, Ângela Maria Alves e, Rocha, Tatiane Negrão Assis da, Alves, Maria Dalva Santos","Acta Paulista de Enfermagem; 29(4); 374-380","Acta Paulista de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002016000400374&lang=pt" 
"S1413-23112016000200543-scl","NO JOGO DO MERCADO: O CASO DE UMA STARTUP GAÚCHA","Schreiber, Dusan, Pinheiro, Cristiano Max Pereira, Branco, Marsal Ávila Alves, Antonello, Cláudia Simone, Land, Deise","REAd. Revista Eletrônica de Administração (Porto Alegre); 22(2); 543-571","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112016000200543&lang=pt" 
"S0103-21002016000400476-scl","A história desvelada no Juquery: assistência psiquiátrica intramuros na ditadura cívico-militar","Sakaguchi, Douglas Sherer, Marcolan, João Fernando","Acta Paulista de Enfermagem; 29(4); 476-481","Acta Paulista de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002016000400476&lang=pt" 
"S1137-66272016000200012-esp","Hepatoblastoma del adulto: presentación de un caso","Goikoetxea Urdiain, A., Sánchez Acedo, P., Mateo Retuerta, J., Tarifa Castilla, A., Zazpe Ripa, C., Herrera Cabezón, J.","Anales del Sistema Sanitario de Navarra; 39(2); 301-304","Anales del Sistema Sanitario de Navarra","Espanhol","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1137-66272016000200012&lang=pt" 
"S0103-21002016000400363-scl","Validação de protocolo assistencial de enfermagem para pacientes em cuidados paliativos","Santos, Edilene Castro dos, Oliveira, Isabelle Christine Marinho de, Feijão, Alexsandra Rodrigues","Acta Paulista de Enfermagem; 29(4); 363-373","Acta Paulista de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002016000400363&lang=pt" 
"S0103-21002016000400405-scl","Desfechos clínicos de pacientes pediátricos tratados com oxigenação por membrana extracorpórea","Santana-Santos, Eduesley, Silva, Jéssica Ribeiro, Oliveira, Ana Carolina Alcântara Ribeiro Mascarenhas, Santos, Rafael Nascimento Nogueira de França, Oliveira, Larissa Bertacchini de","Acta Paulista de Enfermagem; 29(4); 405-412","Acta Paulista de Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002016000400405&lang=pt" 
"S1413-23112016000200307-scl","DINÂMICA DA ASSIMILAÇÃO DE MÉTODOS ANALÍTICOS PELA CIÊNCIA NO BRASIL","Araújo, Uajará Pessoa, Correia, Laíse Ferraz, Brito, Mozar José de, Amaral, Hudson Fernandes","REAd. Revista Eletrônica de Administração (Porto Alegre); 22(2); 307-332","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112016000200307&lang=pt" 
"S1010-29142016000200013-ven","Aplicaciones de las TIC en contextos educativos: Líneas y ámbitos de trabajo","Diez, Dalia","Revista de Investigación; 40(88); 248-251","Revista de Investigación","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1010-29142016000200013&lang=pt" 
"S1010-29142016000200014-ven","La recluta forzosa y su transición al servicio militar 1908-1933","Manrique Torrealba, Miguel Arcángel","Revista de Investigación; 40(88); 252-256","Revista de Investigación","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1010-29142016000200014&lang=pt" 
"S1984-02922016000200170-scl","Editorial v.28, n.2 (2016)","Monteiro, Ana Claudia Lima","Fractal : Revista de Psicologia; 28(2); 170-171","Fractal : Revista de Psicologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-02922016000200170&lang=pt" 
"S0718-24492016000200001-chl","Modelamiento Predictivo de la Pérdida Auditiva Laboral, Relacionada con el Tratamiento de Absorción Acústica en una Industria Metal-Mecánica en Chile","Canales Montenegro, Aldo Esteban, Campos Pérez, Aldo Mauricio, Cárdenas Bergmann, José Luis","Ciencia &amp; trabajo; 18(56); 73-80","Ciencia &amp; trabajo","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-24492016000200001&lang=pt" 
"S0718-24492016000200004-chl","Construcción y propiedades psicométricas de la escala de calidad de vida en el trabajo","Patlán Pérez, Juana","Ciencia &amp; trabajo; 18(56); 94-105","Ciencia &amp; trabajo","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-24492016000200004&lang=pt" 
"S0718-24492016000200005-chl","La charla motivacional: Una estrategia para abordar el desconocimiento de factores de riesgo ergonómico en un supermercado chileno","Aliaga, Pablo E, Villarroel, Javier I, Cossio, Natalia D","Ciencia &amp; trabajo; 18(56); 106-109","Ciencia &amp; trabajo","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-24492016000200005&lang=pt" 
"S0718-24492016000200009-chl","Programa de Ginástica Laboral e a Redução de Atestados Médicos","Cunha Laux, Rafael, Pagliari, Paulo, Viannei Effting Junior, João, Corazza, Sara Teresinha","Ciencia &amp; trabajo; 18(56); 130-133","Ciencia &amp; trabajo","Português","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-24492016000200009&lang=pt" 
"S0718-24492016000200008-chl","Construcción de un indicador líder compuesto para el Maule","Riquelme Silva, Guillermo, Olivares Faúndez, Víctor","Ciencia &amp; trabajo; 18(56); 124-129","Ciencia &amp; trabajo","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-24492016000200008&lang=pt" 
"S0718-24492016000200003-chl","Factores asociados a la disposición por el teletrabajo entre docentes universitarios","Tapasco Alzate, Omar, Giraldo García, Jaime","Ciencia &amp; trabajo; 18(56); 87-93","Ciencia &amp; trabajo","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-24492016000200003&lang=pt" 
"S0101-32622016000200223-scl","ENSINO E AVALIAÇÃO NO ENSINO SUPERIOR: REFLEXÕES A PARTIR DA PESQUISA REALIZADA NO ÂMBITO DO PROJETO AVENA","Fernandes, Domingos","Cadernos CEDES; 36(99); 223-238","Cadernos CEDES","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622016000200223&lang=pt" 
"S0101-32622016000200239-scl","O LUGAR DA AVALIAÇÃO NOS ESPAÇOS DE FORMAÇÃO DE PROFESSORES","Boas, Benigna Maria Freitas Villas, Soares, Sílvia Lúcia","Cadernos CEDES; 36(99); 239-254","Cadernos CEDES","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622016000200239&lang=pt" 
"S0101-32622016000200175-scl","A AVALIAÇÃO INSTITUCIONAL PARTICIPATIVA E OS ESPAÇOS POLÍTICOS DE PARTICIPAÇÃO CONSTRUÍDOS, REINVENTADOS, CONQUISTADOS NA ESCOLA","Sordi, Mara Regina Lemes de, Bertagna, Regiane Helena, Silva, Margarida Montejano da","Cadernos CEDES; 36(99); 175-192","Cadernos CEDES","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622016000200175&lang=pt" 
"S2177-70552016000200113-scl","Um Sentido para a Legitimidade do Direito: consciência, ação e interação","Sanches, Samyra Naspolini, Silva, Luciano Braz da","Sequência (Florianópolis); (73); 113-140","Sequência (Florianópolis)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2177-70552016000200113&lang=pt" 
"S1010-29142016000200001-ven","","Diez de Tancredi, Dalia","Revista de Investigación; 40(88); 13-14","Revista de Investigación","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1010-29142016000200001&lang=pt" 
"S1984-02922016000200292-scl","Errata v. 28, n. 1","","Fractal : Revista de Psicologia; 28(2); 292-294","Fractal : Revista de Psicologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-02922016000200292&lang=pt" 
"S1010-29142016000200015-ven","I Congreso internacional de enseñanza de las ciencias naturales y educación ambiental y III Simposio internacional de enseñanza de las ciencias naturales y educación ambiental: La enseñanza de las ciencias naturales desde problemas del contexto","","Revista de Investigación; 40(88); 257-258","Revista de Investigación","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1010-29142016000200015&lang=pt" 
"S1984-02922016000200252-scl","Cidades (in)habituais: considerações sobre neoliberalismo e resistência","Amador, Fernanda Spanier, Fernandes, Daniel Rodrigues","Fractal : Revista de Psicologia; 28(2); 252-256","Fractal : Revista de Psicologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-02922016000200252&lang=pt" 
"S1020-49892016000700001-spa","Controle de riscos potenciais em serviços de hemoterapia no Brasil: uma abordagem para autoridades reguladoras","Júnior, João Batista Silva, Rattner, Daphne, Martins, Rita de Cássia Azevedo","Revista Panamericana de Salud Pública; 40(1); 1-8","Revista Panamericana de Salud Pública","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892016000700001&lang=pt" 
"S0716-10182016000400004-chl","Análisis de mortalidad debida a una infección del torrente sanguíneo por Enterococcus faecium en Taiwán central","Chang-Hua, Chen, Li-Chen, Lin, Yu-Jun, Chang, Chih-Yen, Chang","Revista chilena de infectología; 33(4); 395-402","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400004&lang=pt" 
"S0716-10182016000400013-chl","Co-infección por virus del dengue (DEN-V) y virus Chikungunya (CHIK-V) durante un brote epidémico en Cali, Colombia: Comunicación de un caso fatal","Rosso, Fernando, Pacheco, Robinson, Rodríguez, Sarita, Bautista, Diego","Revista chilena de infectología; 33(4); 464-467","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400013&lang=pt" 
"S0716-10182016000400016-chl","Conocimientos y prácticas sobre hidatidosis y triquinosis en usuarios y acompañantes del Hospital Comunitario de Salud Familiar El Carmen, Región del Biobío, Chile","Lisboa-Navarro, Raúl, González, Jorge, Junod, Tania, Melín-Coloma, Millaray, Landaeta-Aqueveque, Carlos","Revista chilena de infectología; 33(4); 474-476","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400016&lang=pt" 
"S0103-63512016000200623-scl","Evidências de subsídio cruzado no setor de saneamento básico nacional e suas consequências","Cruz, Karlos Arcanjo da, Ramos, Francisco de Sousa","Nova Economia; 26(2); 623-651","Nova Economia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512016000200623&lang=pt" 
"S0716-10182016000400007-chl","Estudio de la presencia de huevos de Toxocara sp. en suelos de áreas públicas de la ciudad de Chillán, Chile","Melín-Coloma, Millaray, Villaguala-Pacheco, Carmen, Lisboa-Navarro, Raúl, Landaeta-Aqueveque, Carlos","Revista chilena de infectología; 33(4); 428-432","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400007&lang=pt" 
"S0103-63512016000200465-scl","Metrópoles diversas e colônias semelhantes - uma análise crítica da hipótese das transferências institucionais entre metrópoles e colônias","Nogueról, Luiz Paulo Ferreira","Nova Economia; 26(2); 465-490","Nova Economia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512016000200465&lang=pt" 
"S0103-63512016000200347-scl","Society and brain: A complementary approach to Thorstein Veblen’s conspicuous consumer based on Tibor Scitovsky’s neuropsychology","Almeida, Felipe","Nova Economia; 26(2); 347-367","Nova Economia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512016000200347&lang=pt" 
"S0103-63512016000200429-scl","Shrinking gender wage gaps in the Brazilian labor market: an application of the APC approach","Haussmann, Samantha, Golgher, André Braz","Nova Economia; 26(2); 429-464","Nova Economia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512016000200429&lang=pt" 
"S0716-10182016000400010-chl","Razones para recomendar la vacunación contra el dengue en Isla de Pascua: Opinión del Comité de Inmunizaciones de la Sociedad Chilena de Infectología","Fica, Alberto, Potin, Marcela, Moreno, Gabriela, Véliz, Liliana, Cerda, Jaime, Escobar, Carola, Wilhelm, Jan","Revista chilena de infectología; 33(4); 452-454","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400010&lang=pt" 
"S0103-63512016000200369-scl","Efficiency, cost and benefits in contracts of public-private partnerships","Fernandez, Rodrigo Nobre, Carraro, André, Hillbrecht, Ronald Otto","Nova Economia; 26(2); 369-392","Nova Economia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512016000200369&lang=pt" 
"S0103-63512016000200491-scl","Taxa de Desemprego Não Aceleradora da Inflação: Uma estimação da NAIRU para a economia brasileira no período de 2000 até 2013","Oliveira, Luma de, Portugal, Marcelo Savino, Abrita, Mateus Boldrine","Nova Economia; 26(2); 491-513","Nova Economia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512016000200491&lang=pt" 
"S0716-10182016000400015-chl","Evidencia serológica retrospectiva de infecciones por Leptospira spp., dengue, hantavirus y arenavirus en indígenas Emberá-Katío, Colombia","Restrepo, Berta, Rodas, Juan D, Montoya-Ruiz, Carolina, Zuluaga, Angélica M, Parra-Henao, Gabriel, Agudelo-Flórez, Piedad","Revista chilena de infectología; 33(4); 472-473","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400015&lang=pt" 
"S0103-63512016000200653-scl","Violência nas escolas públicas brasileiras: uma análise da relação entre o comportamento agressivo dos alunos e o ambiente escolar","Becker, Kalinca Léia, Kassouf, Ana Lúcia","Nova Economia; 26(2); 653-677","Nova Economia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512016000200653&lang=pt" 
"S0716-10182016000400014-chl","Malaria por Plasmodium vivax y falla al tratamiento radical","García, Julián, Seijo, Agustín, Benchetrit, Andrés, Couto, Esteban, Echazarreta, Sofía, Lloveras, Susana, Orduna, Tomás","Revista chilena de infectología; 33(4); 468-471","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400014&lang=pt" 
"S0103-63512016000200515-scl","Moeda e crescimento: Uma análise para os municípios brasileiros (2000 a 2010)","Gama, Fábio Júnior Clemente, Bastos, Suzana Quinet Andrade, Hermeto, Ana Maria","Nova Economia; 26(2); 515-551","Nova Economia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512016000200515&lang=pt" 
"S0716-10182016000400008-chl","Efecto pediculicida de una formulación en base a Eucaliptus globulus L","Avello, Marcia, Fernández, Pola, Fernández, Marcos, Schulz, Berta, De Diego, Marta, Mennickent, Sigrid, Novoa, Pedro, Pastene, Edgar","Revista chilena de infectología; 33(4); 433-437","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400008&lang=pt" 
"S0716-10182016000400012-chl","Notas para una Historia de la Higiene tomadas de la Biblia","Ledermann, Walter","Revista chilena de infectología; 33(4); 457-461","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400012&lang=pt" 
"S0716-10182016000400001-chl","Agua potable como posible fuente de brote de diarrea por Microsporidium spp. en pacientes inmunocomprometidos en un hospital pediátrico","Coria, Paulina, Urízar, Claudia, Alba, Andrea, Noemí, Isabel, Pino, Anita, Cerva, José Luis","Revista chilena de infectología; 33(4); 373-379","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400001&lang=pt" 
"S0103-63512016000200393-scl","Analysis of the distribution of World Bank disbursements in Latin America between 1985 and 2010","Dias, Renato Câmara Nunes, Saiani, Carlos César Santejo, Carvalho, Carlos Eduardo, Silva, Ana Lúcia Pinto da","Nova Economia; 26(2); 393-427","Nova Economia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512016000200393&lang=pt" 
"S0716-10182016000400006-chl","Caracterización epidemiológica de hidatidosis humana y animal en la Región de Los Ríos, 1999-2009","Acosta-Jamett, Gerardo, Vargas, Reinaldo, Ernst, Santiago","Revista chilena de infectología; 33(4); 419-427","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400006&lang=pt" 
"S0716-10182016000400017-chl","Prevención de infección de torrente sanguíneo asociado a dispositivos vasculares centrales en pacientes críticos: a systematic review and meta-analysis","Tinoco, Javier","Revista chilena de infectología; 33(4); 477-477","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400017&lang=pt" 
"S0716-10182016000400018-chl","Riesgo de infecciones asociadas a la anestesia con propofol contaminado","Febré, Naldy, Muñoz, Viviana","Revista chilena de infectología; 33(4); 478-478","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400018&lang=pt" 
"S0716-10182016000400011-chl","Vibrio fluvialis","Guzmán-Hernández, Rosa, Hernández-Vélez, Rosa, Contreras-Rodríguez, Áraceli","Revista chilena de infectología; 33(4); 455-456","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400011&lang=pt" 
"S0716-10182016000400020-chl","Conocimientos sobre Leishmania spp. y leishmaniasis en estudiantes de medicina de Latinoamérica, 2016","Rios-González, Carlos, Flores, Jessica, Calvopiña, Manuel","Revista chilena de infectología; 33(4); 481-482","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400020&lang=pt" 
"S0716-10182016000400005-chl","Detección del gen mecA en cepas de Staphylococcus coagulasa positiva aisladas desde gatos","Galarce, Nicolás, Muñoz, Loreto, Jara, María Antonieta, Lubí, Paulo, Sepúlveda, Alejandra, Anticevic, Sonia","Revista chilena de infectología; 33(4); 410-418","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400005&lang=pt" 
"S0716-10182016000400019-chl","Bases Metodológicas para el Diagnóstico Bacteriológico de las Infecciones por Campylobacter","Zaror, Luis, Calvo, Mario","Revista chilena de infectología; 33(4); 479-480","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400019&lang=pt" 
"S0716-10182016000400009-chl","Mecanismos de virulencia de Escherichia coli enteropatógena","Farfán-García, Ana Elvira, Ariza-Rojas, Sandra Catherine, Vargas-Cárdenas, Fabiola Andrea, Vargas-Remolina, Lizeth Viviana","Revista chilena de infectología; 33(4); 438-450","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400009&lang=pt" 
"S0716-10182016000400002-chl","Parechovirus como agente etiológico de meningitis y/o sepsis viral en lactantes","Gutiérrez, Valentina, Martínez-Valdebenito, Constanza, Montecinos, Luisa, Alarcón, Romina, Gárate, Constanza, Ferrés, Marcela","Revista chilena de infectología; 33(4); 380-388","Revista chilena de infectología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182016000400002&lang=pt" 
"S0103-63512016000200585-scl","Projeção de um cenário econômico e de desmatamento para a Amazônia Legal brasileira entre 2006 e 2030","Carvalho, Terciane Sabadini, Domingues, Edson Paulo","Nova Economia; 26(2); 585-621","Nova Economia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512016000200585&lang=pt" 
"S0718-34292016000400005-chl","Características de la germinación de Lippiapalmeri (Wats) proveniente de regiones silvestres del desierto de Altar, Sonora, México","Borboa-Flores, Jesús, Ortega-Nieblas, María Magdalena, McCaughey-Espinoza, Diana, Robles-Burgueño, María del Refugio, Serna-Félix, Mercedes, Cinco-Moroyoquie, Francisco Javier, Wong-Corral, Francisco Javier, Rueda Puente, Edgar Omar","Idesia (Arica); 34(4); 37-42","Idesia (Arica)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292016000400005&lang=pt" 
"S2225-62532016000800004-sza","Pioneering large diamond recovery at Karowe diamond mine","van Niekerk, L.M., Olivier, A., Armstrong, J., Sikwa, N.A.","Journal of the Southern African Institute of Mining and Metallurgy; 116(8); 709-714","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016000800004&lang=pt" 
"S2225-62532016000800002-sza","Goals, Systems, and Plans","Jones, R.T.","Journal of the Southern African Institute of Mining and Metallurgy; 116(8); v-v","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016000800002&lang=pt" 
"S2225-62532016000800013-sza","A systems approach to mining safety: an application of the Swiss Cheese Model","Bonsu, J., van Dyk, W., Franzidis, J-P, Petersen, F., Isafiade, A.","Journal of the Southern African Institute of Mining and Metallurgy; 116(8); 776-784","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016000800013&lang=pt" 
"S2225-62532016000800009-sza","Extension of the Cullinan Diamond Mine No. 1 Shaft underneath the existing operating shaft, with emphasis on rock engineering considerations","Judeel, G., Swanepoel, T., Holder, A., Swarts, B., van Strijp, T., Cloete, A.","Journal of the Southern African Institute of Mining and Metallurgy; 116(8); 744-752","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016000800009&lang=pt" 
"S2225-62532016000800016-sza","Where to make the transition from open-pit to underground? Using integer programming","Chung, J., Topal, E., Ghosh, A.K.","Journal of the Southern African Institute of Mining and Metallurgy; 116(8); 801-808","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016000800016&lang=pt" 
"S2225-62532016000800007-sza","Using the proportion of barren samples as a proxy for minimum grade in a diamondiferous linear beach deposit - an application of the Nachman model","Jacob, J.","Journal of the Southern African Institute of Mining and Metallurgy; 116(8); 731-736","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016000800007&lang=pt" 
"S2225-62532016000800011-sza","Estimating specific energy from the brittleness indexes in cutting metallic ores","Comakli, R., Kahraman, S, Balci, C., Tumac, D.","Journal of the Southern African Institute of Mining and Metallurgy; 116(8); 763-768","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016000800011&lang=pt" 
"S2225-62532016000800003-sza","Johannes Paulus Hoffman the Technical Father of 3CR12","Tarboton, J.","Journal of the Southern African Institute of Mining and Metallurgy; 116(8); vi-vii","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016000800003&lang=pt" 
"S2225-62532016000800006-sza","Design and implementation of steeper slope angles on a kimberlite open pit diamond operation-a practical approach","Madowe, A.","Journal of the Southern African Institute of Mining and Metallurgy; 116(8); 723-730","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532016000800006&lang=pt" 
"S0101-60832016000400094-scl","Study 329 and the use of paroxetine in child and adolescent unipolar depression","Martínez-Aguayo, Juan Carlos, Arancibia, Marcelo, Concha, Sebastián, Madrid, Eva","Archives of Clinical Psychiatry (São Paulo); 43(4); 94-94","Archives of Clinical Psychiatry (São Paulo)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-60832016000400094&lang=pt" 
"S0103-20702016000200247-scl","Evasão do mundo na memorialística de Manuel Bandeira","Pinheiro, Fernando","Tempo Social; 28(2); 247-260","Tempo Social","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702016000200247&lang=pt" 
"S0103-20702016000200105-scl","Voto assimétrico, classes e mobilidade social no Brasil","Ribeiro, Carlos Antonio Costa, Israel, Vinicius Pinheiro","Tempo Social; 28(2); 105-130","Tempo Social","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702016000200105&lang=pt" 
"S0103-20702016000200261-scl","A invisibilidade da pena: Dois Rios como imagem do paraíso","Santos, Myrian Sepúlveda dos","Tempo Social; 28(2); 261-283","Tempo Social","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702016000200261&lang=pt" 
"S0103-20702016000200207-scl","Entrevista com John Scott","Bertoncelo, Edison, Pereira, Virgílio Borges","Tempo Social; 28(2); 207-212","Tempo Social","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702016000200207&lang=pt" 
"S0103-20702016000200011-scl","L&#039;espace des pratiques culturelles: De la construction de l&#039;espace social à l&#039;étude de sous-groupes par l&#039;analyse spécifique de classes","Lebaron, Frédéric, Bonnet, Philippe","Tempo Social; 28(2); 11-38","Tempo Social","Francês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702016000200011&lang=pt" 
