"S1415-52732017000100091-scl","Evaluation of a mobile application for estimation of food intake","MESCOLOTO, Samantha Bittencourt, CAIVANO, Simone, DOMENE, Semíramis Martins Álvares","Revista de Nutrição; 30(1); 91-98","Revista de Nutrição","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732017000100091&lang=pt" 
"S0718-33052017000100170-chl","Metodología para evaluar el nivel ético en las organizaciones","Plasencia Soler, Juan Antonio, Marrero Delgado, Fernando, Nicado García, Miriam","Ingeniare. Revista chilena de ingeniería; 25(1); 170-179","Ingeniare. Revista chilena de ingeniería","Espanhol","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052017000100170&lang=pt" 
"S0256-95742017000100021-sza","The intraocular CD4/CD8 ratio in a black South African patient with Behçet&#039;s disease uveitis","Makgotloe, A","SAMJ: South African Medical Journal; 107(1); 41-42","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100021&lang=pt" 
"S0256-95742017000100002-sza","A novel blood test for tuberculosis prevention and treatment","Penn-Nicholson, Adam, Scriba, Thomas J, Hatherill, Mark, White, Richard G, Sumner, Tom","SAMJ: South African Medical Journal; 107(1); 4-5","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100002&lang=pt" 
"S0256-95742017000100001-sza","Climate change - no denial","Farham, Bridget","SAMJ: South African Medical Journal; 107(1); 3-3","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100001&lang=pt" 
"S0256-95742017000100024-sza","Immunisation coverage in the rural Eastern Cape 一 are we getting the basics of primary care right? Results from a longitudinal prospective cohort study","le Roux, K, Akin-Olugbade, O, Katzen, L S, Laurenzi, C, Mercer, N, Tomlinson, M, Rotheram-Borus, M J","SAMJ: South African Medical Journal; 107(1); 52-55","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100024&lang=pt" 
"S0256-95742017000100011-sza","Pieter Stephanus Bothma (29 August 1957 - 21 July 2016)","Bothma, Pieter-Schalk","SAMJ: South African Medical Journal; 107(1); 17-17","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100011&lang=pt" 
"S0256-95742017000100015-sza","Anaemia (part 1)","Alli, N","SAMJ: South African Medical Journal; 107(1); 22-22","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100015&lang=pt" 
"S0256-95742017000100003-sza","Transoral robotic surgery (TORS) in South Africa (1)","Fagan, Johannes J, Wetter, Julie, Joseph, Chris, Donde, Bernard","SAMJ: South African Medical Journal; 107(1); 6-6","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100003&lang=pt" 
"S0256-95742017000100009-sza","30 days in medicine","Farham, Bridget","SAMJ: South African Medical Journal; 107(1); 14-15","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100009&lang=pt" 
"S0256-95742017000100028-sza","Supernumerary registrar experience at the University of Cape Town, South Africa","Peer, S, Burrows, S A, Mankahla, N, Fagan, J J","SAMJ: South African Medical Journal; 107(1); 76-79","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100028&lang=pt" 
"S0256-95742017000100022-sza","Pulmonary nocardiosis caused by Nocardia otitidiscaviarum in an adult asthmatic female patient: The presence of acid-fast branching filaments is always significant","Mahgoub, A, Gumaa, S A, Joseph, M R P, Saleh, M S, Elsheikh, A H A, Elkhalifa, A I, Elhaj, E, Salih, R R M, Hamid, M E","SAMJ: South African Medical Journal; 107(1); 43-45","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100022&lang=pt" 
"S0256-95742017000100019-sza","Tackling the climate targets set by the Paris Agreement (COP 21): Green leadership empowers public hospitals to overcome obstacles and challenges in a resource-constrained environment","Weimann, E, Patel, B","SAMJ: South African Medical Journal; 107(1); 34-38","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100019&lang=pt" 
"S0256-95742017000100005-sza","Cost considerations in determining the affordability of adjuvant trastuzumab in breast cancer (1)","Sereda, Maksym, Abratt, Raymond","SAMJ: South African Medical Journal; 107(1); 8-9","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100005&lang=pt" 
"S0256-95742017000100016-sza","Anaemia: Approach to diagnosis","Alli, N, Vaughan, J, Patel, M","SAMJ: South African Medical Journal; 107(1); 23-27","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100016&lang=pt" 
"S0256-95742017000100018-sza","Outbreak of carbapenem-resistant Providencia rettgeri in a tertiary hospital","Tshisevhe, V S, Lekalakala, M R, Tshuma, N, Janse van Rensburg, S, Mbelle, N","SAMJ: South African Medical Journal; 107(1); 31-33","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100018&lang=pt" 
"S0256-95742017000100017-sza","Cutting the cost of South African antiretroviral therapy using newer, safer drugs","Venter, W D F, Kaiser, B, Pillay, Y, Conradie, F, Gomez, G B, Clayden, P, Matsolo, M, Amole, C, Rutter, L, Abdullah, F, Abrams, E J, Casas, C P, Barnhart, M, Pillay, A, Pozniak, A, Hill, A, Fairlie, L, Boffito, M, Moorhouse, M, Chersich, M, Serenata, C, Quevedo, J, Loots, G","SAMJ: South African Medical Journal; 107(1); 28-30","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100017&lang=pt" 
"S0256-95742017000100027-sza","Characteristics and outcome of long-stay patients in a paediatric intensive care unit in Cape Town, South Africa","Nupen, T L, Argent, A C, Morrow, B M","SAMJ: South African Medical Journal; 107(1); 70-75","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100027&lang=pt" 
"S0256-95742017000100023-sza","Classifying snakebite in South Africa: Validating a scoring system","Wood, D, Sartorius, B, Hift, R","SAMJ: South African Medical Journal; 107(1); 46-51","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100023&lang=pt" 
"S0256-95742017000100029-sza","A novel FKRP-related muscular dystrophy founder mutation in South African Afrikaner patients with a phenotype suggestive of a dystrophinopathy","Mudau, M M, Essop, F, Krause, A","SAMJ: South African Medical Journal; 107(1); 80-82","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100029&lang=pt" 
"S0256-95742017000100025-sza","Surveillance of healthcare-associated infection in hospitalised South African children: Which method performs best?","Dramowski, A, Cotton, M F, Whitelaw, A","SAMJ: South African Medical Journal; 107(1); 56-63","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100025&lang=pt" 
"S0256-95742017000100020-sza","The National Health Insurance, the decentralised clinical training platform, and specialist outreach","Caldwell, R I, Aldous, C","SAMJ: South African Medical Journal; 107(1); 39-40","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100020&lang=pt" 
"S0256-95742017000100030-sza","Primary cutaneous malignancies in the Northern Cape Province of South Africa: A retrospective histopathological review","York, K, Dlova, N C, Wright, C Y, Khumalo, N P, Kellett, P E, Kassanjee, R, Mosam, A","SAMJ: South African Medical Journal; 107(1); 83-88","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100030&lang=pt" 
"S0256-95742017000100026-sza","Retinopathy of prematurity in a cohort of neonates at Groote Schuur Hospital, Cape Town, South Africa","Keraan, Q, Tinley, C, Horn, A, Pollock, T, Steffen, J, Joolay, Y","SAMJ: South African Medical Journal; 107(1); 64-69","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100026&lang=pt" 
"S0256-95742017000100008-sza","From an exasperated pathologist","Mohanlal, Reena Dhansukh","SAMJ: South African Medical Journal; 107(1); 13-13","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100008&lang=pt" 
"S0256-95742017000100012-sza","Theo Berkowitz (3 February 1929 - 3 July 2016)","Berkowitz, Linda","SAMJ: South African Medical Journal; 107(1); 18-18","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100012&lang=pt" 
"S0256-95742017000100010-sza","Steve Lawn (13 March 1966 - 23 September 2016)","Bekker, Linda-Gail, Wood, Robin","SAMJ: South African Medical Journal; 107(1); 16-16","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100010&lang=pt" 
"S0256-95742017000100013-sza","Missed opportunities for circumcising boys","Millard, Peter S, Goldstuck, Norman","SAMJ: South African Medical Journal; 107(1); 19-19","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100013&lang=pt" 
"S0256-95742017000100004-sza","Transoral robotic surgery (TORS) in South Africa (2)","Joseph, C A","SAMJ: South African Medical Journal; 107(1); 7-7","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100004&lang=pt" 
"S0256-95742017000100007-sza","Yes, we can eradicate tuberculosis in South Africa","Shasha, Welile","SAMJ: South African Medical Journal; 107(1); 12-12","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100007&lang=pt" 
"S0256-95742017000100006-sza","Cost considerations in determining the affordability of adjuvant trastuzumab in breast cancer (2)","Szpak, Waldemar, Abratt, Raymond P","SAMJ: South African Medical Journal; 107(1); 10-11","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100006&lang=pt" 
"S0256-95742017000100014-sza","South Africa&#039;s salt reduction strategy: Are we on track, and what lies ahead?","Webster, Jacqui, Crickmore, Christelle, Charlton, Karen, Steyn, Krisela, Wentzel-Viljoen, Edelweiss, Naidoo, Pamela","SAMJ: South African Medical Journal; 107(1); 20-21","SAMJ: South African Medical Journal","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742017000100014&lang=pt" 
"S0718-33052017000100095-chl","Análisis de la biocompatibilidad de Ti6Al4V y acero inoxidable 316 LVM basado en efectos de pH, aplicando criterios de la norma ASTM F2129","Caballero Sarmiento, Jeniffer, Correa Muñoz, Estefanía, Estupiñan Duran, Hugo","Ingeniare. Revista chilena de ingeniería; 25(1); 95-105","Ingeniare. Revista chilena de ingeniería","Espanhol","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052017000100095&lang=pt" 
"S0718-33052017000100143-chl","Influencia de los Sistemas de Gestión Ambiental ISO 14001 en las organizaciones: caso estudio empresas manufactureras de Barranquilla","Acuña, Norberto, Figueroa, Lindsay, Wilches, María Jimena","Ingeniare. Revista chilena de ingeniería; 25(1); 143-153","Ingeniare. Revista chilena de ingeniería","Espanhol","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052017000100143&lang=pt" 
"S0718-33052017000100015-chl","Desarrollo de protocolo de comunicaciones para redes HAN en SmartGrids","Kaschel Cárcamo, Héctor, Viera Riquelme, Eduardo","Ingeniare. Revista chilena de ingeniería; 25(1); 15-27","Ingeniare. Revista chilena de ingeniería","Espanhol","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052017000100015&lang=pt" 
"S0718-33052017000100116-chl","Estimación del riesgo aguas abajo de una presa en función de las políticas de operación a largo plazo: caso de estudio presa El Cuchillo","Huerta Loera, Sadoth Fabián, Domínguez Mora, Ramón","Ingeniare. Revista chilena de ingeniería; 25(1); 116-133","Ingeniare. Revista chilena de ingeniería","Espanhol","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052017000100116&lang=pt" 
"S0718-33052017000100039-chl","Comparative analysis of semi-active control algorithms applied to magnetorheological dampers","Lara-V., Luis A., Brito, José L.V., Valencia G., Yamile","Ingeniare. Revista chilena de ingeniería; 25(1); 39-58","Ingeniare. Revista chilena de ingeniería","Inglês","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052017000100039&lang=pt" 
"S0718-33052017000100134-chl","The methodology of machinery and equipment maintenance adopted by the textile industries located in the Zona da Mata Mineira","Machado, Lisleandra, Gonçales Filho, Manoel, Carrazo, Nilton Cesar, Melega Duarte de Oliveira, Ana Carolina, Meneguite Âvila, Livia, Pires Ferreira, Neuzete, Celso de Campos, Fernando","Ingeniare. Revista chilena de ingeniería; 25(1); 134-142","Ingeniare. Revista chilena de ingeniería","Inglês","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052017000100134&lang=pt" 
"S0718-33052017000100008-chl","Antena impresa invertida reconfigurable en frecuencia a base de una microdescarga de plasma","Pizarro Torres, Francisco, Pascaud, Romain, Pascal, Olivier, Callegari, Thierry, Liard, Laurent","Ingeniare. Revista chilena de ingeniería; 25(1); 8-14","Ingeniare. Revista chilena de ingeniería","Espanhol","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052017000100008&lang=pt" 
"S0718-33052017000100106-chl","Óptimo despliegue y enrutamiento de UDAP para infraestructura de medición avanzada basada en el algoritmo MST","Ganán, Cristian, Inga, Esteban, Hincapié, Roberto","Ingeniare. Revista chilena de ingeniería; 25(1); 106-115","Ingeniare. Revista chilena de ingeniería","Espanhol","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052017000100106&lang=pt" 
"S0718-33052017000100180-chl","Modelo de aproximación lineal para la medición de resiliencia en cadenas de suministro","Romero Rodríguez, Daniel, Ardila Rueda, Weimar, Cantillo Guerrero, Ernesto, Sierra Altamiranda, Alvaro, Sánchez Sánchez, Fabián","Ingeniare. Revista chilena de ingeniería; 25(1); 180-189","Ingeniare. Revista chilena de ingeniería","Espanhol","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052017000100180&lang=pt" 
"S0718-33052017000100154-chl","Contribución a la logística inversa mediante la implantación de la reutilización por medio de las redes de Petri","Vega de la Cruz, L.O., Marrero Fornaris, C.E., Pérez Pravia, M.C.","Ingeniare. Revista chilena de ingeniería; 25(1); 154-169","Ingeniare. Revista chilena de ingeniería","Espanhol","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052017000100154&lang=pt" 
"S0718-33052017000100028-chl","A proposal of robust tunning rules for PI-2DoF controllers","Sánchez Rivero, Maibeth, Llanes Santiago, Orestes","Ingeniare. Revista chilena de ingeniería; 25(1); 28-38","Ingeniare. Revista chilena de ingeniería","Inglês","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052017000100028&lang=pt" 
"S1413-81232017000100279-spa","Prevalência e fatores associados à utilização de serviços públicos de saúde por homens adultos","Arruda, Guilherme Oliveira de, Mathias, Thais Aidar de Freitas, Marcon, Sonia Silva","Ciência &amp; Saúde Coletiva; 22(1); 279-290","Ciência &amp; Saúde Coletiva","Português","2017","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232017000100279&lang=pt" 
"S1413-81232017000100161-spa","Estudo comparativo de mortalidade por doenças cardiovasculares em São Caetano do Sul (SP), Brasil, no período de 1980 a 2010","Luz, Fernanda Eugenio da, Santos, Brigitte Rieckmann Martins dos, Sabino, Wilson","Ciência &amp; Saúde Coletiva; 22(1); 161-168","Ciência &amp; Saúde Coletiva","Português","2017","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232017000100161&lang=pt" 
"S1413-81232017000100235-spa","A contribuição do farmacêutico para a promoção do acesso e uso racional de medicamentos essenciais no SUS","Melo, Daniela Oliveira de, Castro, Lia Lusitana Cardozo de","Ciência &amp; Saúde Coletiva; 22(1); 235-244","Ciência &amp; Saúde Coletiva","Português","2017","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232017000100235&lang=pt" 
"S1413-81232017000100221-spa","Avaliação econômica dos Programas Rede Farmácia de Minas do SUS versus Farmácia Popular do Brasil","Garcia, Marina Morgado, Guerra Júnior, Augusto Afonso, Acúrcio, Francisco de Assis","Ciência &amp; Saúde Coletiva; 22(1); 221-233","Ciência &amp; Saúde Coletiva","Português","2017","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232017000100221&lang=pt" 
"S1413-81232017000100020-spa","Os autores respondem","Taquette, Stella Regina, Villela, Wilza Vieira","Ciência &amp; Saúde Coletiva; 22(1); 20-21","Ciência &amp; Saúde Coletiva","Português","2017","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232017000100020&lang=pt" 
"S1413-81232017000100007-spa","Balizas do conhecimento: análise das instruções aos autores das revistas brasileiras da área de saúde","Taquette, Stella Regina, Villela, Wilza Vieira","Ciência &amp; Saúde Coletiva; 22(1); 7-13","Ciência &amp; Saúde Coletiva","Português","2017","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232017000100007&lang=pt" 
"S1413-81232017000100321-spa","Análise institucional &amp; Saúde Coletiva","Fortuna, Cinira Magali","Ciência &amp; Saúde Coletiva; 22(1); 321-322","Ciência &amp; Saúde Coletiva","Português","2017","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232017000100321&lang=pt" 
"S1413-81232017000100004-spa","Pesquisa qualitativa em medicina","Taquette, Stella Regina, Villela, Wilza Vieira","Ciência &amp; Saúde Coletiva; 22(1); 4-4","Ciência &amp; Saúde Coletiva","Português","2017","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232017000100004&lang=pt" 
"S1413-81232017000100327-spa","Errata","","Ciência &amp; Saúde Coletiva; 22(1); 327-327","Ciência &amp; Saúde Coletiva","Português","2017","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232017000100327&lang=pt" 
"S1413-81232017000100245-spa","Distribuição espacial de queimadas e mortalidade em idosos em região da Amazônia Brasileira, 2001 – 2012","Andrade Filho, Valdir Soares de, Artaxo Netto, Paulo Eduardo, Hacon, Sandra de Souza, Carmo, Cleber Nascimento do","Ciência &amp; Saúde Coletiva; 22(1); 245-253","Ciência &amp; Saúde Coletiva","Português","2017","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232017000100245&lang=pt" 
"S1413-81232017000100291-spa","Percepções sobre a saúde dos homens numa perspectiva relacional de gênero, Brasil, 2014","Moura, Erly Catarina de, Gomes, Romeu, Pereira, Georgia Martins Carvalho","Ciência &amp; Saúde Coletiva; 22(1); 291-300","Ciência &amp; Saúde Coletiva","Português","2017","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232017000100291&lang=pt" 
"S1413-81232017000100135-spa","Risk factors of breast cancer and knowledge about the disease: an integrative revision of Latin American studies","Jerônimo, Aline Ferreira de Araújo, Freitas, Ângela Gabrielly Quirino, Weller, Mathias","Ciência &amp; Saúde Coletiva; 22(1); 135-149","Ciência &amp; Saúde Coletiva","Inglês","2017","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232017000100135&lang=pt" 
"S0004-282X2017000100020-scl","The mortality rate after hospital discharge in patients with myelomeningocele decreased after implementation of mandatory flour fortification with folic acid","Salomão, Renato Manganelli, Cervante, Tatiana Protzenko, Salomão, José Francisco Manganelli, Leon, Soniza Vieira Alves","Arquivos de Neuro-Psiquiatria; 75(1); 20-24","Arquivos de Neuro-Psiquiatria","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2017000100020&lang=pt" 
"S0004-282X2017000100072-scl","Muscle biopsy with dystrophic pattern and rimmed vacuoles: GNE myopathy in a Brazilian patient","Estephan, Eduardo de Paula, Moreno, Cristiane Araújo Martins, Silva, André Macedo Serafim da, Mendonça, Rodrigo de Holanda, Abath Neto, Osório, Nishimura, Patrícia Yoshi, Galindo, Layla Testa, Zanoteli, Edmar","Arquivos de Neuro-Psiquiatria; 75(1); 72-73","Arquivos de Neuro-Psiquiatria","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2017000100072&lang=pt" 
"S0004-282X2017000100015-scl","Patients with sickle cell disease are frequently excluded from the benefits of transcranial doppler screening for the risk of stroke despite extensive and compelling evidence","Rodrigues, Daniela Laranja Gomes, Adegoke, Samuel Ademola, Campos, Rejane de Souza Macedo, Braga, Josefina Aparecida Pellegrini, Figueiredo, Maria Stella, Silva, Gisele Sampaio","Arquivos de Neuro-Psiquiatria; 75(1); 15-19","Arquivos de Neuro-Psiquiatria","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2017000100015&lang=pt" 
"S0004-282X2017000100069-scl","Wilson&#039;s disease: the 60th anniversary of Walshe&#039;s article on treatment with penicillamine","Teive, Hélio A. G., Barbosa, Egberto Reis, Lees, Andrew J.","Arquivos de Neuro-Psiquiatria; 75(1); 69-71","Arquivos de Neuro-Psiquiatria","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2017000100069&lang=pt" 
"S0004-282X2017000100036-scl","MacArthur Competence Assessment Tool for Treatment in Alzheimer disease: cross-cultural adaptation","Santos, Raquel Luiza, Sousa, Maria Fernanda Barroso de, Simões Neto, José Pedro, Bertrand, Elodie, Mograbi, Daniel C., Landeira-Fernandez, Jesus, Laks, Jerson, Dourado, Marcia Cristina Nascimento","Arquivos de Neuro-Psiquiatria; 75(1); 36-43","Arquivos de Neuro-Psiquiatria","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2017000100036&lang=pt" 
"S0004-282X2017000100057-scl","Guideline for multiple sclerosis treatment in Brazil: Consensus from the Neuroimmunology Scientific Department of the Brazilian Academy of Neurology","Comini-Frota, Elizabeth Regina, Vasconcelos, Cláudia C. F., Mendes, Maria Fernanda","Arquivos de Neuro-Psiquiatria; 75(1); 57-65","Arquivos de Neuro-Psiquiatria","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2017000100057&lang=pt" 
"S0004-282X2017000100030-scl","Expression of NMDA receptor and microRNA-219 in rats submitted to cerebral ischemia associated with alcoholism","Silva, Cristiane Iozzi, Novais, Paulo Cézar, Rodrigues, Andressa Romualdo, Carvalho, Camila A.M., Colli, Benedicto Oscar, Carlotti Jr., Carlos Gilberto, Tirapelli, Luís Fernando, Tirapelli, Daniela P.C.","Arquivos de Neuro-Psiquiatria; 75(1); 30-35","Arquivos de Neuro-Psiquiatria","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2017000100030&lang=pt" 
"S0004-282X2017000100044-scl","Development and validation of the Bush-Francis Catatonia Rating Scale – Brazilian version","Nunes, Ana Letícia Santos, Filgueiras, Alberto, Nicolato, Rodrigo, Alvarenga, Jussara Mendonça, Silveira, Luciana Angélica Silva, Silva, Rafael Assis da, Cheniaux, Elie","Arquivos de Neuro-Psiquiatria; 75(1); 44-49","Arquivos de Neuro-Psiquiatria","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2017000100044&lang=pt" 
"S0004-282X2017000100050-scl","Brazilian guidelines for endovascular treatment of patients with acute ischemic stroke","Pontes-Neto, Octávio Marques, Cougo, Pedro, Martins, Sheila Cristina Ouriques, Abud, Daniel G., Nogueira, Raul G., Miranda, Maramélia, Castro-Afonso, Luiz Henrique de, Rebello, Leticia C., Caldas, José Guilherme M. Pereira, Bazan, Rodrigo, Bezerra, Daniel C, Rezende, Marco Tulio, Freitas, Gabriel R. de, Longo, Alexandre, Magalhães, Pedro, Carvalho, João José Freitas de, Montalverne, Francisco José, Lima, Fabricio Oliveira, Andrade, Gustavo H.V., Massaro, Ayrton R., Oliveira-Filho, Jamary, Gagliardi, Rubens, Silva, Gisele Sampaio","Arquivos de Neuro-Psiquiatria; 75(1); 50-56","Arquivos de Neuro-Psiquiatria","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2017000100050&lang=pt" 
"S0004-282X2017000100025-scl","Pain-induced depression is related to overestimation of sleep quality in a very elderly population with pain","Felix, Ricardo Humberto, Almeida, Carla Bezerra Lopes, Cremaschi, Renata Carvalho, Coelho, Fernando Morgadinho, Santos, Fânia Cristina","Arquivos de Neuro-Psiquiatria; 75(1); 25-29","Arquivos de Neuro-Psiquiatria","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2017000100025&lang=pt" 
"S0004-282X2017000100009-scl","Modulation of the ultradian human nasal cycle by sleep stage and body position","Frye, Richard E., Rosin, Deborah F., Morrison, Adrian R., Leon-Sarmiento, Fidias E., Doty, Richard L.","Arquivos de Neuro-Psiquiatria; 75(1); 9-14","Arquivos de Neuro-Psiquiatria","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2017000100009&lang=pt" 
"S0004-282X2017000100078-scl","Erratum","","Arquivos de Neuro-Psiquiatria; 75(1); i-i","Arquivos de Neuro-Psiquiatria","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2017000100078&lang=pt" 
"S0004-282X2017000100066-scl","Scott Fitzgerald: famous writer, alcoholism and probable epilepsy","Wolski, Mariana M., Paola, Luciano de, Teive, Hélio A. G.","Arquivos de Neuro-Psiquiatria; 75(1); 66-68","Arquivos de Neuro-Psiquiatria","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2017000100066&lang=pt" 
"S0103-50532017000100187-scl","Development of Three-Dimensional Electrodes of PbO2 Electrodeposited on Reticulated Vitreous Carbon for Organic Eletrooxidation","Farinos, Rosimeire M., Zornitta, Rafael L., Ruotolo, Luís A. M.","Journal of the Brazilian Chemical Society; 28(1); 187-196","Journal of the Brazilian Chemical Society","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532017000100187&lang=pt" 
"S0103-50532017000100001-scl","Becoming Full Open Access","Loh, Watson, Vieira, Paulo Cezar","Journal of the Brazilian Chemical Society; 28(1); 1-1","Journal of the Brazilian Chemical Society","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532017000100001&lang=pt" 
"S0103-50532017000100143-scl","Tilapia (Oreochromis niloticus) as a Biondicator of Copper and Cadmium Toxicity. A Bioavailability Approach","Silva, Maria A., Motta, Tatiana C. S., Tintor, Diogo B., Dourado, Thiago A., Alcântara, Amanda L., Menegário, Amauri A., Ferreira, José R.","Journal of the Brazilian Chemical Society; 28(1); 143-151","Journal of the Brazilian Chemical Society","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532017000100143&lang=pt" 
