"S1516-05722014000100015-scl","Effects of Euphorbia milii latex on mitogen-induced lymphocyte proliferation","Delgado, I.F., Paumgartten, F.J.R.","Revista Brasileira de Plantas Medicinais; 16(1); 107-111","Revista Brasileira de Plantas Medicinais","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000100015&lang=pt" 
"S0870-90252014000100006-prt","Pesquisa qualitativa, saúde e uso de drogas: desdobramentos e implicações teóricas, analíticas e epistemológicas da utilização da técnica da entrevista de fala aberta","Groisman, Alberto, Schneider, Jacqueline","Revista Portuguesa de Saúde Pública; 32(1); 37-44","Revista Portuguesa de Saúde Pública","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252014000100006&lang=pt" 
"S0870-90252014000100001-prt","Primeiro apontamento sobre o Sistema de Informação dos Certificados de óbito (SICO)","George, Francisco","Revista Portuguesa de Saúde Pública; 32(1); 1-2","Revista Portuguesa de Saúde Pública","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252014000100001&lang=pt" 
"S0870-90252014000100003-prt","Evolução da prevenção e combate à obesidade de crianças e jovens em Portugal ao nível do planeamento estratégico","Beja, André, Ferrinho, Paulo, Craveiro, Isabel","Revista Portuguesa de Saúde Pública; 32(1); 10-17","Revista Portuguesa de Saúde Pública","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252014000100003&lang=pt" 
"S0870-90252014000100002-prt","Iniciativa Hospital Amigo da Criança: uma análise a partir das concepções de profissionais quanto às suas práticas","Maroja, Maria Clara Santana, Silva, Ana Tereza Medeiros Cavalcanti da, Carvalho, Alice Teles de","Revista Portuguesa de Saúde Pública; 32(1); 3-9","Revista Portuguesa de Saúde Pública","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252014000100002&lang=pt" 
"S0870-90252014000100009-prt","Cuidado humanizado na atenção primária à saúde: demanda por serviços e atuação profissional na rede de atenção primária à saúde - Fortaleza, Ceará, Brasil","Gondim, Ana Paula Soares, Andrade, João Tadeu de","Revista Portuguesa de Saúde Pública; 32(1); 61-68","Revista Portuguesa de Saúde Pública","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252014000100009&lang=pt" 
"S0870-90252014000100008-prt","Final report on the mortality from flu pandemic (H1N1) 2009 in Portugal (April 2009-August 2010)","Froes, Filipe, Diniz, António, Falcão, Isabel, Nunes, Baltazar, Catarino, Judite","Revista Portuguesa de Saúde Pública; 32(1); 55-60","Revista Portuguesa de Saúde Pública","Inglês","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252014000100008&lang=pt" 
"S0034-75232014000100008-cub","Respuesta bioquímica y molecular ante el daño cerebral agudo","Soler Morejón, Caridad de Dios, León Pérez, David, Larrondo Muguercia, Hilev, Agustín Godoy, Daniel","Revista Cubana de Medicina; 53(1); 76-90","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000100008&lang=pt" 
"S0034-75232014000100009-cub","Absceso esplénico. Revisión del tema","Morejón García, Moisés, Medero Trujillo, Orestes, Aladro Hernández, Fernando","Revista Cubana de Medicina; 53(1); 91-96","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000100009&lang=pt" 
"S0034-75232014000100006-cub","Capacidad funcional y factores asociados en pacientes con espondilitis anquilopoyética","Casas Figueredo, Nelsa, Vidal Rojas, Jelsys, Pérez Campos, Dionisio, Castell Pérez, Concepción, Gutiérrez Rojas, Ángela","Revista Cubana de Medicina; 53(1); 50-60","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000100006&lang=pt" 
"S0034-75232014000100007-cub","Perspectiva clínica de los trastornos de la glucemia en pacientes hospitalizados","Buchaca Faxas, Emilio Fidel, Fernández Valdés, Francisco, Rodríguez Amador, Lays, Bermúdez Rojas, Sergio","Revista Cubana de Medicina; 53(1); 61-75","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000100007&lang=pt" 
"S0034-75232014000100004-cub","Factores de riesgo cardiovascular y su relación con la hipertensión arterial en adolescentes","Rodríguez Domínguez, Lourdes, Díaz Sánchez, María Elena, Ruiz Álvarez, Vladimir, Hernández Hernández, Héctor, Herrera Gómez, Vivian, Montero Díaz, Minerva","Revista Cubana de Medicina; 53(1); 25-36","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000100004&lang=pt" 
"S0034-75232014000100005-cub","Enfermedad cardiovascular en pacientes con trasplante renal","Pérez Rodríguez, Alexis, Leyva de la Torre, Christian, Enamorado Casanova, Antonio, Pérez de Prado Valdivia, Juan Carlos, Gutiérrez García, Francisco, Rodríguez Torres, Juan Carlos","Revista Cubana de Medicina; 53(1); 37-49","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000100005&lang=pt" 
"S0034-75232014000100002-cub","Susceptibilidad antimicrobiana y mecanismos de resistencia de Escherichia coli aisladas a partir de urocultivos en un hospital de tercer nivel","Suárez Trueba, Bettsy, Milián Samper, Yoslaine, Espinosa Rivera, Fidel, Hart Casares, Marcia, Llanes Rodríguez, Neima, Martínez Batista, María Luisa","Revista Cubana de Medicina; 53(1); 3-13","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000100002&lang=pt" 
"S0034-75232014000100003-cub","Marcadores de trombosis en pacientes con trombofilia","Castañeda Travieso, Marlem, Carballo Treto, Tania Isabel, Gómez León, Maiyurik, Torres Yibar, Wilfredo, Cepero LLauger, Kali, González Hernández, Obdulio","Revista Cubana de Medicina; 53(1); 14-24","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000100003&lang=pt" 
"S0034-75232014000100001-cub","Evitemos el daño cerebral secundario","Soler Morejón, Caridad","Revista Cubana de Medicina; 53(1); 1-2","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000100001&lang=pt" 
"S0034-75232014000100011-cub","Responsabilidad institucional y social en la investigación científica: institutional and social responsibility","Cañete Villafranca, Roberto, Guilhem, Dirce, Brito Pérez, Katia, Carvalho Garbi Novaes, María Rita, Valdés Villafranca, Ronaldo, Noda Albelo, Amauri Lázaro","Revista Cubana de Medicina; 53(1); 104-113","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000100011&lang=pt" 
"S0034-75232014000100010-cub","Secuestro pulmonar intralobar en adulto mayor de 50 años","Cepero Rosales, Bárbara, Mori Estévez, Ana Dolores, Roca Campañá, Víctor","Revista Cubana de Medicina; 53(1); 97-103","Revista Cubana de Medicina","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232014000100010&lang=pt" 
"S0100-55022014000100016-scl","MadAlegria - Estudantes de medicina atuando como doutores-palhaços: estratégia útil para humanização do ensino médico?","Takahagui, Flavio Mitio, Moraes, Érika Neves de Souza, Beraldi, Gabriel Henrique, Akamine, Guilherme Kenzzo, Basile, Maria Aparecida, Scivoletto, Sandra","Revista Brasileira de Educação Médica; 38(1); 120-126","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100016&lang=pt" 
"S0100-55022014000100013-scl","Visão de preceptores sobre o processo de ensino-aprendizagem no internato","Barreto, Vitor Hugo Lima, Marco, Mario Alfredo De","Revista Brasileira de Educação Médica; 38(1); 94-102","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100013&lang=pt" 
"S0100-55022014000100012-scl","Avaliação da evolução da empatia em alunos do quarto ano da graduação em medicina da Unifesp em 2012","Thomazi, Lívia, Moreira, Fernanda Gonçalves, Marco, Mario Alfredo De","Revista Brasileira de Educação Médica; 38(1); 87-93","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100012&lang=pt" 
"S0100-55022014000100017-scl","Reflexão discente sobre a futura prática médica através da integração com a equipe de saúde da família na graduação","Makabe, Maria Luisa Faria, Maia, José Antonio","Revista Brasileira de Educação Médica; 38(1); 127-132","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100017&lang=pt" 
"S0100-55022014000100001-scl","As Novas Diretrizes Curriculares e a Cartilha do SUS: Alfabetizando Professores do Curso Médico - Paradoxos &amp; Contradições","Barbosa Neto, Francisco","Revista Brasileira de Educação Médica; 38(1); 3-4","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100001&lang=pt" 
"S0100-55022014000100004-scl","Avaliando conhecimento em DST de graduandos em medicina segundo a taxonomia de bloom","Bórnea, Eloá Rondi, Gonçalves, Aguinaldo, Padovani, Carlos Roberto","Revista Brasileira de Educação Médica; 38(1); 25-30","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100004&lang=pt" 
"S0100-55022014000100009-scl","Aproveitamento teórico-prático da disciplina anatomia humana do curso de fisioterapia","Arruda, Rodrigo Moreira, Sousa, Cintia Regina Andrade","Revista Brasileira de Educação Médica; 38(1); 65-71","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100009&lang=pt" 
"S0100-55022014000100006-scl","Religiosidade no contexto médico: entre a receptividade e o silêncio","Pinto, Anderson Nunes, Falcão, Eliane Brígida Morais","Revista Brasileira de Educação Médica; 38(1); 38-46","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100006&lang=pt" 
"S0100-55022014000100020-scl","Exame do CREMESP como indicador da qualidade do ensino médico","Mota, Alice, Carvalho, Beatriz, Candido, Ludmilla, Lomanto, Raisa, Maia, Thaís","Revista Brasileira de Educação Médica; 38(1); 150-159","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100020&lang=pt" 
"S0100-55022014000100008-scl","Conhecimentos em atenção pré-hospitalar e suporte básico de vida por estudantes recém-ingressos de medicina","Maia, Evanira Rodrigues, Gonçalves Júnior, Jucier, Lima, Estelita Pereira, Campos, Warner, Jovino, Eduarda Monteiro, Fernandes, Fernando França, Lacerda, Victor Rocha Cabral de","Revista Brasileira de Educação Médica; 38(1); 59-64","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100008&lang=pt" 
"S0100-55022014000100005-scl","Avaliação do conhecimento da ética médica dos graduandos de medicina","Godoy, Moacir Fernandes de, Ferreira, Hanna Rafaela Alves, Pria, Otávio Augusto Ferreira Dalla","Revista Brasileira de Educação Médica; 38(1); 31-37","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100005&lang=pt" 
"S0100-55022014000100010-scl","O contexto formativo em uma instituição federal de ensino superior (IFES) em consolidação: visão dos alunos de fisioterapia","Faria, Karen Nubya, Nogueira, Ricardo, Ramos, Maquele Lago, Neves, Dâmares Ribeiro, Ribeiro, Camila Lima, Santos, Ana Paula","Revista Brasileira de Educação Médica; 38(1); 72-78","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100010&lang=pt" 
"S0100-55022014000100011-scl","Especialidade médica: escolhas e influências","Sousa, Ivy Quirino de, Silva, Catarina Pereira da, Caldas, Cezar Augusto Muniz","Revista Brasileira de Educação Médica; 38(1); 79-86","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100011&lang=pt" 
"S0100-55022014000100018-scl","Desafios da educação médica e da investigação em saúde no contexto de angola","Ferreira, Albano V. L., Fresta, Mário, Simões, Cristóvão F. C., Sambo, Maria do Rosário B.","Revista Brasileira de Educação Médica; 38(1); 133-141","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100018&lang=pt" 
"S0100-55022014000100014-scl","Avaliação do estágio de urgências clínicas em uma unidade de pronto atendimento sob a perspectiva dos alunos","Campos, Maria Celeste Gonçalves, Senger, Maria Helena","Revista Brasileira de Educação Médica; 38(1); 103-112","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100014&lang=pt" 
"S0100-55022014000100015-scl","Projeto terapêutico singular no âmbito da saúde mental: uma experiência no curso de graduação em medicina","Dorigatti, Alcir Escocia, Aguilar, Maria Laura, Madureira, Ricardo M., Fonseca, Felipe G. da, Campos, Rosana Teresa Onocko, Nascimento, Juliana Luporini","Revista Brasileira de Educação Médica; 38(1); 113-119","Revista Brasileira de Educação Médica","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-55022014000100015&lang=pt" 
"S0213-61632014000100001-esp","Personality Inventory for Children: a measure of biopsychosocial status in children and adolescents","Ingul, Jo Magne, Nordahl, Hans M., Wold, Jan Egil, Olsson, Craig A.","The European Journal of Psychiatry; 28(1); 5-16","The European Journal of Psychiatry","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-61632014000100001&lang=pt" 
"S0213-61632014000100005-esp","Use of the terms &quot;Wellbeing&quot; and &quot;Quality of Life&quot; in health sciences: a conceptual framework","Salvador-Carulla, Luis, Lucas, Ramona, Ayuso-Mateos, José Luis, Miret, Marta","The European Journal of Psychiatry; 28(1); 50-65","The European Journal of Psychiatry","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-61632014000100005&lang=pt" 
"S0213-61632014000100003-esp","Trauma, posttraumatic stress disorder and psychosis: etiopathogenic and nosological implications","Frías Ibáñez, Álvaro, Palma Sevillano, Carolina, Giné Serven, Eloi, Aluco Sánchez, Elena","The European Journal of Psychiatry; 28(1); 27-38","The European Journal of Psychiatry","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-61632014000100003&lang=pt" 
"S0123-93922014000100003-col","Manifestaciones clínicas y radiológicas de infección respiratoria por virus de influenza A H1N1","Carrillo Bayona, Jorge Alberto, Bacca Campillo, Heidy Tatiana, Botero Gutiérrez, Maria Mercedes, Almonacid Araque, Juan Pablo, Castañeda Mayorga, aniel, Lozada, Natalia Seba, Rodriguez, Jose Yesid, Castañeda, Sonia, Rivera Bernal, Aura Lucía","Infectio; 18(1); 12-21","Infectio","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-93922014000100003&lang=pt" 
"S0123-93922014000100002-col","Frecuencia de aislamientos microbiológicos y perfil de resistencia bacteriana en 13 clínicas y hospitales de alta complejidad en Santiago de Cali - Colombia","Martínez Buitrago, Ernesto, Hernández, Cristhian, Pallares, Cristhian, Pacheco, Robinson, Hurtado, Kelly, Recalde, Mónica","Infectio; 18(1); 3-11","Infectio","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-93922014000100002&lang=pt" 
"S0123-93922014000100001-col","Infectio y las nuevas políticas de Publindex","Rodríguez-Morales, Alfonso J","Infectio; 18(1); 1-2","Infectio","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-93922014000100001&lang=pt" 
"S0123-93922014000100005-col","Infección necrosante de tejidos blandos y neoplasia gastrointestinal","Villa Sánchez, Lina María, Cuervo Maldonado, Sonia Isabel, Gómez Rincón, Julio César, Rolón Cadena, Mariam Carolina","Infectio; 18(1); 28-33","Infectio","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-93922014000100005&lang=pt" 
"S0123-93922014000100004-col","Neumonitis intersticial linfoidea en niños infectados por el virus de inmunodeficiencia humana-1 en zona de alta prevalencia de tuberculosis pulmonar","Zapata, Andrés, López-Medina, Eduardo, Sierra, Alexandra, Echeverri, Lina, Valderrama, Laura, Jiménez, Mayra, Rojas, Christian, Abello, Ana, Escudero, Pablo, Bravo, Iván, Victoria, Jairo, López, Pio","Infectio; 18(1); 22-27","Infectio","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-93922014000100004&lang=pt" 
"S0213-61632014000100006-esp","Primary prevention takes a leading role in World Mental Health Action","Levav, Itzhak, Saraceno, Benedetto","The European Journal of Psychiatry; 28(1); 66-70","The European Journal of Psychiatry","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-61632014000100006&lang=pt" 
"S0717-73482014000100006-chl","Linfoma primario de pulmón: Serie de casos","VILLARROEL S, JULIO C, ROMANCZUK, MÁXIMO, WAINSTEIN, ESTEBAN J, LAS HERAS, MARCOS, DE VITO, EDUARDO L, SVETLIZA, GRACIELA, PRECERUTTI, JUAN A","Revista chilena de enfermedades respiratorias; 30(1); 35-39","Revista chilena de enfermedades respiratorias","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482014000100006&lang=pt" 
"S0717-73482014000100007-chl","Actinomicosis torácica por Actinomyces odontolyticus: A case report and review of the literature","FABA B, RENÉ, TRUJILLO V, SERGIO, PEÑA G, PEDRO, LOBOS R, GERMÁN, WOLFF R, MARCELO","Revista chilena de enfermedades respiratorias; 30(1); 40-45","Revista chilena de enfermedades respiratorias","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482014000100007&lang=pt" 
"S0717-73482014000100008-chl","Diagnóstico bacteriológico de tuberculosis pulmonar mediante fibrobroncoscopía en pacientes con VIH","PEÑA M, CARLOS, CÉSPED G, MAURICIO, WOLFF R, MARCELO, ÁLVAREZ V, FRANCISCA, GARAY B, CAROLINA, MEDINA P, MARILUZ, ZÚÑIGA S, JENNIFER, CÉSPED Z, ADOLFO","Revista chilena de enfermedades respiratorias; 30(1); 46-53","Revista chilena de enfermedades respiratorias","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482014000100008&lang=pt" 
"S1677-32252014000100058-scl","Effect of astaxanthin and fish oil on enzymatic antioxidant system and ?-amylase activity of salivary glands from rats","Leite, Mariana Ferreira, Lima, Amanda Martins de, Kang, Simone Jee Sun, Santos, Maria Teresa Botti Rodrigues dos, Otton, Rosemari","Brazilian Journal of Oral Sciences; 13(1); 58-63","Brazilian Journal of Oral Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-32252014000100058&lang=pt" 
"S1677-32252014000100053-scl","In Vitro antimicrobial photoinactivation with methylene blue in different microorganisms","Oliveira, Bruna Paloma de, Lins, Carla Cabral dos Santos Accioly, Diniz, Fátima Alves, Melo, Liliane Lima, Castro, Célia Maria Machado Barbosa de","Brazilian Journal of Oral Sciences; 13(1); 53-57","Brazilian Journal of Oral Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-32252014000100053&lang=pt" 
"S1677-32252014000100001-scl","Dental caries trends among preschool children in Indaiatuba, SP, Brazil","Amaral, Regiane Cristina do, Batista, Marília Jesus, Meirelles, Maria Paula Maciel Rando, Cypriano, Silvia, Sousa, Maria da Luz Rosário de","Brazilian Journal of Oral Sciences; 13(1); 1-5","Brazilian Journal of Oral Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-32252014000100001&lang=pt" 
"S1677-32252014000100043-scl","Dental caries in mother-child pairs from Xingu","Hirooka, Lucila Brandão, Mestriner- Junior, Wilson, Mestriner, Soraya Fernandes, Nunes, Selma Aparecida Chaves, Lemos, Pablo Natanael, Franco, Laércio Joel","Brazilian Journal of Oral Sciences; 13(1); 43-46","Brazilian Journal of Oral Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-32252014000100043&lang=pt" 
"S1677-32252014000100047-scl","Influence of ovariectomy combined with lack of masticatory force in the evolution of periodontal disease","Milhan, Noala Vicensoto Moreira, Forte, Lilibeth Ferraz de Brito Penna, Vasconcelos, Luana Marotta Reis de, Balducci, Ivan, Carvalho, Yasmin Rodarte","Brazilian Journal of Oral Sciences; 13(1); 47-52","Brazilian Journal of Oral Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-32252014000100047&lang=pt" 
"S1677-32252014000100037-scl","Reasons related to tooth loss among adolescents in São Paulo, Brazil","Tôrres, Luísa Helena Nascimento, Zanatta, Juliana, Pizolato, Raquel Aparecida, Grillo, Cássia Maria, Frias, Antônio Carlos, Sousa, Maria da Luz Rosário de","Brazilian Journal of Oral Sciences; 13(1); 37-42","Brazilian Journal of Oral Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-32252014000100037&lang=pt" 
"S1677-32252014000100028-scl","Oral cancer knowledge and awareness among dental students","Soares, Tânderson Rittieri Camêlo, Carvalho, Maria Eugênia de Almeida, Pinto, Lucielma Salmito Soares, Falcão, Carlos Alberto, Matos, Francisca Tereza Coelho, Santos, Tanit Clementino","Brazilian Journal of Oral Sciences; 13(1); 28-33","Brazilian Journal of Oral Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-32252014000100028&lang=pt" 
"S1677-32252014000100022-scl","Effects of various hydrogen peroxide bleaching concentrations and number of applications on enamel","Berger, Sandrine Bittencourt, Soares, Luis Eduardo Silva, Martin, Airton Abrahão, Ambrosano, Gláucia Maria Bovi, Tabchoury, Cínthia Pereira Machado, Giannini, Marcelo","Brazilian Journal of Oral Sciences; 13(1); 22-27","Brazilian Journal of Oral Sciences","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-32252014000100022&lang=pt" 
"S0717-73482014000100004-chl","Cuidados paliativos en pacientes con enfermedad pulmonar obstructiva crónica terminal","AHUMADA B, SEBASTIÁN","Revista chilena de enfermedades respiratorias; 30(1); 20-26","Revista chilena de enfermedades respiratorias","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482014000100004&lang=pt" 
"S0717-73482014000100005-chl","Enfermedades respiratorias laborales en Chile: Ley 16.744","CONTRERAS T, GUSTAVO, TORREALBA J, BERNARDITA, SALINAS F, MAURICIO","Revista chilena de enfermedades respiratorias; 30(1); 27-34","Revista chilena de enfermedades respiratorias","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482014000100005&lang=pt" 
"S0717-73482014000100002-chl","Modelo de instilación intra-traqueal de jugo gástrico en la rata: curso temporal de las alteraciones histológicas","ARAOS B, JOAQUÍN, CONTRERAS L, RAFAEL, CUTIÑO A, ANDREA, MENESES C, MANUEL, BORZONE T, GISELLA","Revista chilena de enfermedades respiratorias; 30(1); 7-14","Revista chilena de enfermedades respiratorias","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482014000100002&lang=pt" 
"S0717-73482014000100003-chl","Rendimiento de la citología por punción aspirativa transbronquial para el diagnóstico del compromiso mediastínico en el cáncer pulmonar","SALINAS F, MAURICIO, MUÑOZ A, MACARENA, JALILIE E, ALFREDO, ZAGOLIN B, MÓNICA, FERNÁNDEZ- BUSSY L, SEBASTIÁN, FERNÁNDEZ F, CRISTINA, OYONARTE W, MAITE, ISAMITT D, DIONIS, GUERRA P, CARLOS, CZISCHKE L, KAREN, CHERNILO S, SARA","Revista chilena de enfermedades respiratorias; 30(1); 15-19","Revista chilena de enfermedades respiratorias","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482014000100003&lang=pt" 
"S0717-73482014000100001-chl","Dilema en la publicación de revistas biomédicas: soporte electrónico versus impresión en papel","Loewenstein Vega, Carmen","Revista chilena de enfermedades respiratorias; 30(1); 5-6","Revista chilena de enfermedades respiratorias","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482014000100001&lang=pt" 
"S1139-76322014000100018-esp","Los niños: Fidelio Ponce de León, 1938","Carabaño Aguado, I.","Pediatría Atención Primaria; 16(61); 93-94","Pediatría Atención Primaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322014000100018&lang=pt" 
"S1139-76322014000100008-esp","Costilla cervical en el diagnóstico diferencial de una masa supraclavicular","Ballesteros Lara, T., Martínez Montes, M. A., Delgado Sala, A.","Pediatría Atención Primaria; 16(61); 45-48","Pediatría Atención Primaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322014000100008&lang=pt" 
"S1139-76322014000100002-esp","Calendario de vacunaciones de la Asociación Española de Pediatría: recomendaciones 2014","Moreno Pérez, D., Álvarez García, F. J., Arístegui Fernández, J. de, Cilleruelo Ortega, M. J., Corretger Rauet, J. M., García Sánchez, N., Hernández Merino, A., Hernández-Sampelayo Matos, T., Merino Moína, M., Ortigosa del Castillo, L., Ruiz-Contreras, J.","Pediatría Atención Primaria; 16(61); 13-20","Pediatría Atención Primaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322014000100002&lang=pt" 
"S1887-85712014000100010-esp","Ejército profesional, misiones y suicidio","García Luque, Amelia, Puerro Vicente, Miguel","Sanidad Militar; 70(1); 58-59","Sanidad Militar","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1887-85712014000100010&lang=pt" 
"S1887-85712014000100005-esp","Síndrome de Percheron: lesiones talámicas bilaterales","Salinas Vela, F.T., Arcos Sánchez, C.","Sanidad Militar; 70(1); 30-32","Sanidad Militar","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1887-85712014000100005&lang=pt" 
"S1139-76322014000100010-esp","Afectación del apéndice cecal y simulación de una apendicitis aguda en un cuadro intestinal por Campylobacter jejuni","Palomeque Jiménez, A., Calzado Baeza, S., Reyes Moreno, M.","Pediatría Atención Primaria; 16(61); e33-e36","Pediatría Atención Primaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322014000100010&lang=pt" 
"S1139-76322014000100001-esp","Un puente entre el médico y el paciente","Muñoz, B.","Pediatría Atención Primaria; 16(61); 11-12","Pediatría Atención Primaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322014000100001&lang=pt" 
"S1139-76322014000100020-esp","Consideraciones al tema: Prevención del embarazo en la adolescencia","Moreno Villares, J. M.","Pediatría Atención Primaria; 16(61); e47-e49","Pediatría Atención Primaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322014000100020&lang=pt" 
"S1139-76322014000100006-esp","Mastocitoma solitario","García Iglesias, F., Sánchez García, A. M., García Lara, G. M.","Pediatría Atención Primaria; 16(61); 35-37","Pediatría Atención Primaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322014000100006&lang=pt" 
"S1139-76322014000100017-esp","Razones para dejar de leer un artículo","Molina Arias, M.","Pediatría Atención Primaria; 16(61); 87-91","Pediatría Atención Primaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322014000100017&lang=pt" 
