"S0066-782X2004001600011-scl","Cardiologia baseada em evidência","Victor, Edgar Guimarães, Marco, André de","Arquivos Brasileiros de Cardiologia; 83(4); 355-356","Arquivos Brasileiros de Cardiologia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2004001600011&lang=pt" 
"S0034-89102004000500009-scl","Immunogenicity of WHO-17D and Brazilian 17DD yellow fever vaccines: a randomized trial","Camacho, Luiz Antonio Bastos, Freire, Marcos da Silva, Leal, Maria da Luz Fernandes, Aguiar, Savitri Gomes de, Nascimento, Jussara Pereira do, Iguchi, Takumi, Lozana, José de Azevedo, Farias, Roberto Henrique Guedes","Revista de Saúde Pública; 38(5); 671-678","Revista de Saúde Pública","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500009&lang=pt" 
"S0034-89102004000500010-scl","Comunidade fitoplanctônica de um pesqueiro na cidade de São Paulo","Matsuzaki, Mayla, Mucci, José Luiz Negrão, Rocha, Aristides Almeida","Revista de Saúde Pública; 38(5); 679-686","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500010&lang=pt" 
"S0034-89102004000500011-scl","Impacto funcional da internação hospitalar de pacientes idosos","Siqueira, Ana Barros, Cordeiro, Renata Cereda, Perracini, Monica Rodrigues, Ramos, Luiz Roberto","Revista de Saúde Pública; 38(5); 687-694","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500011&lang=pt" 
"S0034-89102004000500012-scl","Poluição atmosférica e doenças respiratórias em crianças na cidade de Curitiba, PR","Bakonyi, Sonia Maria Cipriano, Danni-Oliveira, Inês Moresco, Martins, Lourdes Conceição, Braga, Alfésio Luís Ferreira","Revista de Saúde Pública; 38(5); 695-700","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500012&lang=pt" 
"S0034-89102004000500013-scl","Avaliação dos recursos hospitalares para assistência perinatal em Belo Horizonte, Minas Gerais","Costa, José Orleans, Xavier, César Coelho, Proietti, Fernando Augusto, Delgado, Margarida S","Revista de Saúde Pública; 38(5); 701-708","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500013&lang=pt" 
"S0034-89102004000500014-scl","Ocupação e mortalidade na Marinha do Brasil","Silva, Marlene, Santana, Vilma Sousa","Revista de Saúde Pública; 38(5); 709-715","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500014&lang=pt" 
"S0034-89102004000500015-scl","Concentração de chumbo, defeitos de esmalte e cárie em dentes decíduos","Gomes, Viviane Elisângela, Wada, Ronaldo S, Cury, Jaime Aparecido, Sousa, Maria da Luz Rosário de","Revista de Saúde Pública; 38(5); 716-722","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500015&lang=pt" 
"S0034-89102004000500007-scl","Vigilância epidemiológica e avaliação da assistência às meningites","Escosteguy, Claudia Caminha, Medronho, Roberto de Andrade, Madruga, Roberto, Dias, Hellen Gruezo, Braga, Ricardo Cerqueira, Azevedo, Otília Pimenta","Revista de Saúde Pública; 38(5); 657-663","Revista de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102004000500007&lang=pt" 
"S0034-89102004000500002-spa","Suscetibilidade de larvas de Aedes aegypti ao inseticida temefós no Distrito Federal","Carvalho, Maria do Socorro Laurentino de, Caldas, Eloísa Dutra, Degallier, Nicolas, Vilarinhos, Paulo de Tarso Ribeiro, Souza, Luís César Kenupp Rodrigues de, Yoshizawa, Maria Amélia Cavalcanti, Knox, Monique Britto, Oliveira, Cristiane de","Revista de Saúde Pública; 38(5); 623-629","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500002&lang=pt" 
"S0034-89102004000500003-spa","A cor da morte: causas de óbito segundo características de raça no Estado de São Paulo, 1999 a 2001","Batista, Luís Eduardo, Escuder, Maria Mercedes Loureiro, Pereira, Julio Cesar Rodrigues","Revista de Saúde Pública; 38(5); 630-636","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500003&lang=pt" 
"S0034-89102004000500004-spa","Validade da hipertensão arterial auto-referida e seus determinantes (projeto Bambuí)","Lima-Costa, Maria Fernanda, Peixoto, Sérgio Viana, Firmo, Josélia Oliveira Araújo","Revista de Saúde Pública; 38(5); 637-642","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500004&lang=pt" 
"S0034-89102004000500005-spa","Validação de métodos de estimativa da gordura corporal em portadores do HIV/Aids","Florindo, Alex Antonio, Latorre, Maria do Rosario Dias de Oliveira, Santos, Elisabete Cristina Morandi dos, Borelli, Aurélio, Rocha, Manoel de Souza, Segurado, Aluisio Augusto Cotrim","Revista de Saúde Pública; 38(5); 643-649","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500005&lang=pt" 
"S0034-89102004000500006-spa","Prevalência de transtornos mentais em área urbana no norte de Minas Gerais, Brasil","Maia, Luciana Colares, Durante, Ariane M G, Ramos, Luiz Roberto","Revista de Saúde Pública; 38(5); 650-656","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500006&lang=pt" 
"S0034-89102004000500008-spa","Impacto da vacinação contra o Haemophilus influenzae b na redução de meningites, Goiás","Simões, Luciana Leite Pineli, Andrade, Ana Lúcia S S, Laval, Cristina A, Oliveira, Renato M, Silva, Simmone A, Martelli, Celina M T, Alves, Sueli L de A, Almeida, Robmary M, Andrade, João G","Revista de Saúde Pública; 38(5); 664-670","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500008&lang=pt" 
"S0034-89102004000500013-spa","Avaliação dos recursos hospitalares para assistência perinatal em Belo Horizonte, Minas Gerais","Costa, José Orleans, Xavier, César Coelho, Proietti, Fernando Augusto, Delgado, Margarida S","Revista de Saúde Pública; 38(5); 701-708","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500013&lang=pt" 
"S0034-89102004000500014-spa","Ocupação e mortalidade na Marinha do Brasil","Silva, Marlene, Santana, Vilma Sousa","Revista de Saúde Pública; 38(5); 709-715","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500014&lang=pt" 
"S0034-89102004000500015-spa","Concentração de chumbo, defeitos de esmalte e cárie em dentes decíduos","Gomes, Viviane Elisângela, Wada, Ronaldo S, Cury, Jaime Aparecido, Sousa, Maria da Luz Rosário de","Revista de Saúde Pública; 38(5); 716-722","Revista de Saúde Pública","Inglês, Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102004000500015&lang=pt" 
"S0102-311X2004000500043-scl","Flebotomíneos do Brasil","Brandão Filho, Sinval Pinto","Cadernos de Saúde Pública; 20(5); 1436-1437","Cadernos de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500043&lang=pt" 
"S0102-311X2004000500040-scl","","","Cadernos de Saúde Pública; 20(5); 1432-1432","Cadernos de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500040&lang=pt" 
"S0102-311X2004000500035-scl","Fórum: a integralidade na perspectiva da formação, das práticas e da avaliação em saúde","Hortale, Virginia Alonso","Cadernos de Saúde Pública; 20(5); 1398-1399","Cadernos de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500035&lang=pt" 
"S0102-311X2004000500006-scl","Envelhecimento e alocação de recursos em saúde","Diniz, Debora, Medeiros, Marcelo","Cadernos de Saúde Pública; 20(5); 1154-1155","Cadernos de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500006&lang=pt" 
"S0102-311X2004000500004-scl","Senescencia y protección","Kottow, Miguel","Cadernos de Saúde Pública; 20(5); 1151-1152","Cadernos de Saúde Pública","Espanhol","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500004&lang=pt" 
"S0102-311X2004000500008-scl","Os autores respondem","Ribeiro, Carlos Dimas Martins, Schramm, Fermin Roland","Cadernos de Saúde Pública; 20(5); 1157-1159","Cadernos de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500008&lang=pt" 
"S0102-311X2004000500007-scl","Debate sobre o artigo de Carlos Dimas Martins Ribeiro &amp; Fermin Roland Schramm","Moreira, Maria Regina","Cadernos de Saúde Pública; 20(5); 1155-1157","Cadernos de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500007&lang=pt" 
"S0102-311X2004000500005-scl","A frugalidade necessária: modelos mais contemporâneos","Veras, Renato","Cadernos de Saúde Pública; 20(5); 1152-1154","Cadernos de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500005&lang=pt" 
"S0102-311X2004000500003-scl","Debate sobre o artigo de Carlos Dimas Martins Ribeiro &amp; Fermin Roland Schramm","Vita, Álvaro de","Cadernos de Saúde Pública; 20(5); 1149-1151","Cadernos de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500003&lang=pt" 
"S0102-311X2004000500001-scl","Mais evidências contra Terapia de Reposição Hormonal na menopausa","Rozenfeld, Suely","Cadernos de Saúde Pública; 20(5); 1138-1139","Cadernos de Saúde Pública","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500001&lang=pt" 
"S0102-311X2004000500009-scl","Adequação do pré-natal e peso ao nascer: uma revisão sistemática","Silveira, Denise S., Santos, Iná S.","Cadernos de Saúde Pública; 20(5); 1160-1168","Cadernos de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500009&lang=pt" 
"S0102-311X2004000500015-scl","Weight loss diets advertised in non-scientific publications","Amancio, Olga Maria Silverio, Chaud, Daniela Maria Alves","Cadernos de Saúde Pública; 20(5); 1219-1222","Cadernos de Saúde Pública","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500015&lang=pt" 
"S0102-311X2004000500027-scl","O agente comunitário de saúde e a privacidade das informações dos usuários","Fortes, Paulo Antonio de Carvalho, Spinetti, Simone Ribeiro","Cadernos de Saúde Pública; 20(5); 1328-1333","Cadernos de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500027&lang=pt" 
"S0102-311X2004000500020-scl","Confiabilidade e validade das declarações de óbitos por câncer de útero no município de Belém, Pará, Brasil","Nunes, Jacira, Koifman, Rosalina Jorge, Mattos, Inês Echenique, Monteiro, Gina Torres Rego","Cadernos de Saúde Pública; 20(5); 1262-1268","Cadernos de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500020&lang=pt" 
"S0102-311X2004000500032-scl","Armadilhas cognitivas: o caso das omissões na gênese dos acidentes de trabalho","Almeida, ldeberto Muniz de, Binder, Maria Cecília Pereira","Cadernos de Saúde Pública; 20(5); 1373-1378","Cadernos de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500032&lang=pt" 
"S0102-311X2004000500042-scl","Novas tecnologias reprodutivas conceptivas: questões e desafios","Menegon, Vera Sonia Mincoff","Cadernos de Saúde Pública; 20(5); 1434-1436","Cadernos de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500042&lang=pt" 
"S0102-311X2004000500037-scl","A integralidade na prática (ou sobre a prática da integralidade)","Mattos, Ruben Araujo de","Cadernos de Saúde Pública; 20(5); 1411-1416","Cadernos de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500037&lang=pt" 
"S0102-311X2004000500041-scl","Agente comunitário de saúde: o ser, o saber, o fazer","Mendonça, Maria Helena Magalhães de","Cadernos de Saúde Pública; 20(5); 1433-1434","Cadernos de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500041&lang=pt" 
"S0102-311X2004000500042-spa","Novas tecnologias reprodutivas conceptivas: questões e desafios","Menegon, Vera Sonia Mincoff","Cadernos de Saúde Pública; 20(5); 1434-1436","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500042&lang=pt" 
"S0102-311X2004000500041-spa","Agente comunitário de saúde: o ser, o saber, o fazer","Mendonça, Maria Helena Magalhães de","Cadernos de Saúde Pública; 20(5); 1433-1434","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500041&lang=pt" 
"S0102-311X2004000500015-spa","Weight loss diets advertised in non-scientific publications","Amancio, Olga Maria Silverio, Chaud, Daniela Maria Alves","Cadernos de Saúde Pública; 20(5); 1219-1222","Cadernos de Saúde Pública","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500015&lang=pt" 
"S0102-311X2004000500008-spa","Os autores respondem","Ribeiro, Carlos Dimas Martins, Schramm, Fermin Roland","Cadernos de Saúde Pública; 20(5); 1157-1159","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500008&lang=pt" 
"S0102-311X2004000500007-spa","Debate sobre o artigo de Carlos Dimas Martins Ribeiro &amp; Fermin Roland Schramm","Moreira, Maria Regina","Cadernos de Saúde Pública; 20(5); 1155-1157","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500007&lang=pt" 
"S0102-311X2004000500005-spa","A frugalidade necessária: modelos mais contemporâneos","Veras, Renato","Cadernos de Saúde Pública; 20(5); 1152-1154","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500005&lang=pt" 
"S0102-311X2004000500003-spa","Debate sobre o artigo de Carlos Dimas Martins Ribeiro &amp; Fermin Roland Schramm","Vita, Álvaro de","Cadernos de Saúde Pública; 20(5); 1149-1151","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500003&lang=pt" 
"S0102-311X2004000500040-spa","","","Cadernos de Saúde Pública; 20(5); 1432-1432","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500040&lang=pt" 
"S0102-311X2004000500004-spa","Senescencia y protección","Kottow, Miguel","Cadernos de Saúde Pública; 20(5); 1151-1152","Cadernos de Saúde Pública","Espanhol","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500004&lang=pt" 
"S0102-311X2004000500006-spa","Envelhecimento e alocação de recursos em saúde","Diniz, Debora, Medeiros, Marcelo","Cadernos de Saúde Pública; 20(5); 1154-1155","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500006&lang=pt" 
"S0102-311X2004000500001-spa","Mais evidências contra Terapia de Reposição Hormonal na menopausa","Rozenfeld, Suely","Cadernos de Saúde Pública; 20(5); 1138-1139","Cadernos de Saúde Pública","Inglês, Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500001&lang=pt" 
"S0102-311X2004000500043-spa","Flebotomíneos do Brasil","Brandão Filho, Sinval Pinto","Cadernos de Saúde Pública; 20(5); 1436-1437","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500043&lang=pt" 
"S0102-311X2004000500035-spa","Fórum: a integralidade na perspectiva da formação, das práticas e da avaliação em saúde","Hortale, Virginia Alonso","Cadernos de Saúde Pública; 20(5); 1398-1399","Cadernos de Saúde Pública","Inglês, Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500035&lang=pt" 
"S0102-311X2004000500039-spa","Aspectos epidemiológicos do dengue no Município de São Luís, Maranhão, Brasil, 1997-2002","Gonçalves Neto, Vicente Silva, Rebêlo, José Manuel Macário","Cadernos de Saúde Pública; 20(5); 1427-1431","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500039&lang=pt" 
"S0102-311X2004000500038-spa","Avaliação da integralidade: conferindo sentido para os pactos na programação de metas dos sistemas municipais de saúde","Conill, Eleonor Minho","Cadernos de Saúde Pública; 20(5); 1417-1423","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500038&lang=pt" 
"S0102-311X2004000500037-spa","A integralidade na prática (ou sobre a prática da integralidade)","Mattos, Ruben Araujo de","Cadernos de Saúde Pública; 20(5); 1411-1416","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500037&lang=pt" 
"S0102-311X2004000500034-spa","Compreensão de informações relativas ao tratamento anti-retroviral entre indivíduos infectados pelo HIV","Ceccato, Maria das Graças Braga, Acurcio, Francisco A., Bonolo, Palmira de Fátima, Rocha, Gustavo M., Guimarães, Mark D. C.","Cadernos de Saúde Pública; 20(5); 1388-1397","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500034&lang=pt" 
"S0102-311X2004000500033-spa","As representações sobre o alcoolismo em uma associação de ex-bebedores: os Alcoólicos Anônimos","Campos, Edemilson Antunes de","Cadernos de Saúde Pública; 20(5); 1379-1387","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500033&lang=pt" 
"S0102-311X2004000500032-spa","Armadilhas cognitivas: o caso das omissões na gênese dos acidentes de trabalho","Almeida, ldeberto Muniz de, Binder, Maria Cecília Pereira","Cadernos de Saúde Pública; 20(5); 1373-1378","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500032&lang=pt" 
"S0102-311X2004000500030-spa","Promoção da saúde, epidemiologia social e capital social: inter-relações e perspectivas para a saúde pública","Souza, Elza Maria de, Grundy, Emily","Cadernos de Saúde Pública; 20(5); 1354-1360","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500030&lang=pt" 
"S0102-311X2004000500028-spa","Epidemias de dengue e divulgação de informações pela imprensa","França, Elisabeth, Abreu, Daisy, Siqueira, Márcia","Cadernos de Saúde Pública; 20(5); 1334-1341","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500028&lang=pt" 
"S0102-311X2004000500027-spa","O agente comunitário de saúde e a privacidade das informações dos usuários","Fortes, Paulo Antonio de Carvalho, Spinetti, Simone Ribeiro","Cadernos de Saúde Pública; 20(5); 1328-1333","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500027&lang=pt" 
"S0102-311X2004000500026-spa","Bioética da proteção e papel do Estado: problemas morais no acesso desigual à água potável","Pontes, Carlos Antonio Alves, Schramm, Fermin Roland","Cadernos de Saúde Pública; 20(5); 1319-1327","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500026&lang=pt" 
"S0102-311X2004000500024-spa","Trabalho rural e intoxicações por agrotóxicos","Faria, Neice Müller Xavier, Facchini, Luiz Augusto, Fassa, Anaclaudia Gastal, Tomasi, Elaine","Cadernos de Saúde Pública; 20(5); 1298-1308","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500024&lang=pt" 
"S0102-311X2004000500023-spa","Fatores sócio-demográficos associados ao uso de serviços odontológicos entre idosos brasileiros: um estudo baseado na Pesquisa Nacional por Amostra de Domicílios","Matos, Divane Leite, Giatti, Luana, Lima-Costa, Maria Fernanda","Cadernos de Saúde Pública; 20(5); 1290-1297","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500023&lang=pt" 
"S0102-311X2004000500022-spa","O Programa de Humanização no Pré-natal e Nascimento do Ministério da Saúde no Brasil: resultados iniciais","Serruya, Suzanne Jacob, Cecatti, José Guilherme, Lago, Tania di Giacomo do","Cadernos de Saúde Pública; 20(5); 1281-1289","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500022&lang=pt" 
"S0102-311X2004000500021-spa","Regionalização como estratégia para a definição de políticas públicas de controle de homicídios","Castro, Mônica S. Monteiro de, Silva, Bráulio Figueiredo Alves da, Assunção, Renato M., Beato Filho, Cláudio Chaves","Cadernos de Saúde Pública; 20(5); 1269-1280","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500021&lang=pt" 
"S0102-311X2004000500020-spa","Confiabilidade e validade das declarações de óbitos por câncer de útero no município de Belém, Pará, Brasil","Nunes, Jacira, Koifman, Rosalina Jorge, Mattos, Inês Echenique, Monteiro, Gina Torres Rego","Cadernos de Saúde Pública; 20(5); 1262-1268","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500020&lang=pt" 
"S0102-311X2004000500019-spa","Caracterização gerencial dos hospitais filantrópicos no Brasil","Lima, Sheyla Maria Lemos, Barbosa, Pedro Ribeiro, Portela, Margareth C., Ugá, Maria Alicia Dominguez, Vasconcellos, Miguel Murat, Gerschman, Silvia","Cadernos de Saúde Pública; 20(5); 1249-1261","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500019&lang=pt" 
"S0102-311X2004000500018-spa","Eficacia del Fipronil en el control del ciclo peridomiciliario de Triatoma infestans en un área con resistencia a la Deltametrina","Gentile, Alberto G., Sartini, José L., Campo, María C., Sánchez, Juan F.","Cadernos de Saúde Pública; 20(5); 1240-1248","Cadernos de Saúde Pública","Espanhol","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500018&lang=pt" 
"S0102-311X2004000500017-spa","Características tumorais e sobrevida de cinco anos em pacientes com câncer de mama admitidas no Instituto Nacional de Câncer, Rio de Janeiro, Brasil","Mendonça, Gulnar Azevedo e Silva, Silva, Aline Moraes da, Caula, Wagner Manoel","Cadernos de Saúde Pública; 20(5); 1232-1239","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500017&lang=pt" 
"S0102-311X2004000500016-spa","Causas múltiplas de morte por doenças crônico-degenerativas: uma análise multidimensional","Rezende, Edna Maria, Sampaio, Ivan Barbosa Machado, Ishitani, Lenice Harumi","Cadernos de Saúde Pública; 20(5); 1223-1231","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500016&lang=pt" 
"S0102-311X2004000500014-spa","Women and AIDS: gender relations and condom use with steady partners","Hebling, Eliana Maria, Guimarães, Isaura Rocha Figueiredo","Cadernos de Saúde Pública; 20(5); 1211-1218","Cadernos de Saúde Pública","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500014&lang=pt" 
"S0102-311X2004000500013-spa","Provision of female sterilization in Ribeirão Preto, São Paulo, Brazil","Vieira, Elisabeth Meloni, Ford, Nicholas John","Cadernos de Saúde Pública; 20(5); 1201-1210","Cadernos de Saúde Pública","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500013&lang=pt" 
"S0102-311X2004000500012-spa","Triatomine infestation and vector-borne transmission of Chagas disease in northwest and central Paraná, Brazil","Falavigna-Guilherme, Ana Lucia, Santana, Rosângela, Pavanelli, Gilberto Cezar, Lorosa, Elias Seixas, Araújo, Silvana Marques de","Cadernos de Saúde Pública; 20(5); 1191-1200","Cadernos de Saúde Pública","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500012&lang=pt" 
"S0102-311X2004000500011-spa","Determinants of growth retardation in Southern Brazil","Aerts, Denise, Drachler, Maria de Lourdes, Giugliani, Elsa Regina Justo","Cadernos de Saúde Pública; 20(5); 1182-1190","Cadernos de Saúde Pública","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500011&lang=pt" 
"S0102-311X2004000500010-spa","Audio Computer-Assisted Interview: uma nova tecnologia em avaliação de comportamento de risco em doenças sexualmente transmissíveis, HIV e uso de drogas","Simões, Anna Maria Azevedo, Bastos, Francisco Inácio","Cadernos de Saúde Pública; 20(5); 1169-1181","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500010&lang=pt" 
"S0102-311X2004000500009-spa","Adequação do pré-natal e peso ao nascer: uma revisão sistemática","Silveira, Denise S., Santos, Iná S.","Cadernos de Saúde Pública; 20(5); 1160-1168","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500009&lang=pt" 
"S0102-311X2004000500002-spa","A necessária frugalidade dos idosos","Ribeiro, Carlos Dimas Martins, Schramm, Fermin Roland","Cadernos de Saúde Pública; 20(5); 1141-1148","Cadernos de Saúde Pública","Português","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2004000500002&lang=pt" 
"S0102-311X2004000500002-scl","A necessária frugalidade dos idosos","Ribeiro, Carlos Dimas Martins, Schramm, Fermin Roland","Cadernos de Saúde Pública; 20(5); 1141-1148","Cadernos de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500002&lang=pt" 
"S0102-311X2004000500010-scl","Audio Computer-Assisted Interview: uma nova tecnologia em avaliação de comportamento de risco em doenças sexualmente transmissíveis, HIV e uso de drogas","Simões, Anna Maria Azevedo, Bastos, Francisco Inácio","Cadernos de Saúde Pública; 20(5); 1169-1181","Cadernos de Saúde Pública","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500010&lang=pt" 
"S0102-311X2004000500011-scl","Determinants of growth retardation in Southern Brazil","Aerts, Denise, Drachler, Maria de Lourdes, Giugliani, Elsa Regina Justo","Cadernos de Saúde Pública; 20(5); 1182-1190","Cadernos de Saúde Pública","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2004000500011&lang=pt" 
