"S0104-42302011000600018-scl","Risk factors for hypertensive disorders of pregnancy in southern Brazil","Dalmáz, Caroline Abrão, Santos, Kátia Gonçalves dos, Botton, Mariana Rodrigues, Roisenberg, Israel","Revista da Associação Médica Brasileira; 57(6); 692-696","Revista da Associação Médica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302011000600018&lang=pt" 
"S0074-02762011000800006-scl","Human polyomaviruses JC and BK in the urine of Brazilian children and adolescents vertically infected by HIV","Machado, Daisy Maria, Fink, Maria Cristina, Pannuti, Cláudio Sérgio, Succi, Regina Célia de Menezes, Machado, Alessandra Aparecida, Carmo, Fabiana Bononi do, Gouvêa, Aída de Fátima Barbosa, Urbano, Paulo Roberto, Beltrão, Suenia Vasconcelos, Santos, Isabel Cristina Lopes dos, Machado, Clarisse Martins","Memórias do Instituto Oswaldo Cruz; 106(8); 931-935","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800006&lang=pt" 
"S0074-02762011000800005-scl","Spotted fever group Rickettsia infecting ticks (Acari: Ixodidae) in the state of Santa Catarina, Brazil","Medeiros, Alessandra Pereira, Souza, Antonio Pereira de, Moura, Anderson Barbosa de, Lavina, Marcia Sangaletti, Bellato, Valdomiro, Sartor, Amélia Aparecida, Nieri-Bastos, Fernanda Aparecida, Richtzenhain, Leonardo José, Labruna, Marcelo Bahia","Memórias do Instituto Oswaldo Cruz; 106(8); 926-930","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800005&lang=pt" 
"S0074-02762011000800007-scl","Immunodetection of Helicobacter sp. and the associated expression of ABO blood group antigens in the gastric mucosa of captive and free-living New World primates in the Amazon region","Aguiar, Délia Cristina Figueira, Barros, Vera Lúcia de Souza, Pereira, Washington Luiz Assunção, Loiola, Rosane do Socorro Pompeu de, Matos, Gyselly Cássia Bastos de, Valsecchi, João, Corvelo, Tereza Cristina Oliveira","Memórias do Instituto Oswaldo Cruz; 106(8); 936-941","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800007&lang=pt" 
"S0074-02762011000800009-scl","Biological, biochemical and molecular features of Trypanosoma cruzi strains isolated from patients infected through oral transmission during a 2005 outbreak in the state of Santa Catarina, Brazil: its correspondence with the new T. cruzi Taxonomy Consensus (2009)","Andrade, Sonia Gumes, Campos, Rozália Figueira, Steindel, Mario, Guerreiro, Marcos Lázaro, Magalhães, Juracy Barbosa, Almeida, Marcio Cerqueira de, Reis, Joice Neves, Santos, Viviane Corrêa, Valadares, Helder Magno Silva, Reis, Mitermayer Galvão dos, Macedo, Andréa Mara","Memórias do Instituto Oswaldo Cruz; 106(8); 948-956","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800009&lang=pt" 
"S0074-02762011000800012-scl","Seroconversion for west Nile and St. Louis encephalitis viruses among sentinel horses in Colombia","Mattar, Salim, Komar, Nicholas, Young, Ginger, Alvarez, Jaime, Gonzalez, Marco","Memórias do Instituto Oswaldo Cruz; 106(8); 976-979","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800012&lang=pt" 
"S0074-02762011000800011-scl","Association of hepatitis C virus NS5B variants with resistance to new antiviral drugs among untreated patients","Castilho, Magda Cristina Bernardino, Martins, Angélica Nascimento, Horbach, Ingrid Siciliano, Perez, Renata de Mello, Figueiredo, Fatima Aparecida Ferreira, Pinto, Paulo de Tarso Aparecida, Nabuco, Leticia Cancela, Lima, Dirce Bonfim de, Tanuri, Amílcar, Porto, Luis Cristóvão, Ferreira Júnior, Orlando da Costa","Memórias do Instituto Oswaldo Cruz; 106(8); 968-975","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800011&lang=pt" 
"S0074-02762011000800013-scl","Characterisation of virulence genes in methicillin susceptible and resistant Staphylococcus aureus isolates from a paediatric population in a university hospital of Medellín, Colombia","Jiménez, Judy Natalia, Ocampo, Ana María, Vanegas, Johanna Marcela, Rodríguez, Erika Andrea, Garcés, Carlos Guillermo, Patiño, Luz Adriana, Ospina, Sigifredo, Correa, Margarita María","Memórias do Instituto Oswaldo Cruz; 106(8); 980-985","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800013&lang=pt" 
"S0074-02762011000800014-scl","High-density lipoprotein prevents SAA-induced production of TNF-α in THP-1 monocytic cells and peripheral blood mononuclear cells","Franco, Andressa Grecco, Sandri, Silvana, Campa, Ana","Memórias do Instituto Oswaldo Cruz; 106(8); 986-992","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800014&lang=pt" 
"S0074-02762011000800027-scl","The activity of a metronidazole analogue and its β-cyclodextrin complex against Trypanosoma cruzi","Lopes, Marcela Silva, Sales Júnior, Policarpo Ademar, Lopes, Amanda Gervásio Ferreira, Yoshida, Maria Irene, Silva, Thais Horta Alvares da, Romanha, Alvaro José, Alves, Ricardo José, Oliveira, Renata Barbosa de","Memórias do Instituto Oswaldo Cruz; 106(8); 1055-1057","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800027&lang=pt" 
"S0074-02762011000800019-scl","Trypanosoma cruzi trypomastigotes induce cytoskeleton modifications during HeLa cell invasion","Fernandes, Maria Cecília, Andrade, Leonardo Rodrigues de, Andrews, Norma Windsor, Mortara, Renato Arruda","Memórias do Instituto Oswaldo Cruz; 106(8); 1014-1016","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800019&lang=pt" 
"S0074-02762011000800017-scl","The genetic diversity and phenotypic characterisation of Streptococcus agalactiae isolates from Rio de Janeiro, Brazil","Corrêa, Ana Beatriz de Almeida, Silva, Lígia Guedes da, Pinto, Tatiana de Castro Abreu, Oliveira, Ivi Cristina Menezes de, Fernandes, Flávio Gimenis, Costa, Natalia Silva da, Mattos, Marcos Corrêa de, Fracalanzza, Sergio Eduardo Longo, Benchetrit, Leslie Claude","Memórias do Instituto Oswaldo Cruz; 106(8); 1002-1006","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800017&lang=pt" 
"S0074-02762011000800018-scl","Multiple cytokine expression profiles reveal immune-based differences in occult hepatitis B genotype H-infected Mexican Nahua patients","Fierro, Nora Alma, Roman, Sonia, Realpe, Mauricio, Hernandez-Nazara, Zamira, Zepeda-Carrillo, Eloy Alfonso, Panduro, Arturo","Memórias do Instituto Oswaldo Cruz; 106(8); 1007-1013","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800018&lang=pt" 
"S0074-02762011000800021-scl","Anthropogenic influence on the distribution, abundance and diversity of sandfly species (Diptera: Phlebotominae: Psychodidae), vectors of cutaneous leishmaniasis in Panama","Valderrama, Anayansi, Tavares, Mara Garcia, Andrade Filho, José Dilermando","Memórias do Instituto Oswaldo Cruz; 106(8); 1024-1031","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800021&lang=pt" 
"S0074-02762011000800026-scl","VaxcineTM: an oil-based adjuvant for influenza vaccines","Alves, Rosely Cabette Barbosa, New, Roger Randal Charles, Andrade, Gabrielle Ribeiro, Mendonça, Rita Maria Zucatelli, Sant&#039;Anna, Osvaldo Augusto Brasil Esteves, Mancini, Dalva Assunção Portari, Silva-Junior, Silvio Marciano da, Domingos, Marta de Oliveira","Memórias do Instituto Oswaldo Cruz; 106(8); 1052-1054","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800026&lang=pt" 
"S0074-02762011000800023-scl","Distribution of phlebotomine fauna (Diptera: Psychodidae) across an urban-rural gradient in an area of endemic visceral leishmaniasis in northern Brazil","Oliveira, Davi Marcos Souza de, Saraiva, Elvira Maria, Ishikawa, Edna Aoba Yassui, Sousa, Adelson Alcimar Almeida de, Silva, Edilene Oliveira da, Silva, Ivoneide Maria da","Memórias do Instituto Oswaldo Cruz; 106(8); 1039-1044","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800023&lang=pt" 
"S0074-02762011000800024-scl","Cotrimoxazole enhances the in vitro susceptibility of Coccidioides posadasii to antifungals","Cordeiro, Rossana de Aguiar, Astete-Medrano, Delia Jessica, Marques, Francisca Jakelyne de Farias, Andrade, Heuziwanne Tavares Leite, Perdigão Neto, Lauro Vieira, Tavares, Juliane Lira, Lima, Rita Amanda Chaves de, Patoilo, Kharla Kharolyni Nobre Rabelo, Monteiro, Andre Jalles, Brilhante, Raimunda Sâmia Nogueira, Rocha, Marcos Fábio Gadelha, Camargo, Zoilo Pires de, Sidrim, José Júlio Costa","Memórias do Instituto Oswaldo Cruz; 106(8); 1045-1048","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800024&lang=pt" 
"S0074-02762011000800025-scl","Report of Lutzomyia longipalpis (Lutz &amp; Neiva, 1912) (Diptera: Psychodidae: Phlebotominae) in a cutaneous-leishmaniasis-endemic area of Panama","Valderrama, Anayansi, Tavares, Mara Garcia, Andrade Filho, José Dilermando","Memórias do Instituto Oswaldo Cruz; 106(8); 1049-1051","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800025&lang=pt" 
"S0103-21862011000200002-scl","Apresentar o Brasil aos brasileiros, aproximar os brasileiros de sua pátria: a materialidade na geografia escolar de Delgado de Carvalho","Costa, Patrícia Coelho","Estudos Históricos (Rio de Janeiro); 24(48); 265-283","Estudos Históricos (Rio de Janeiro)","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21862011000200002&lang=pt" 
"S0103-21862011000200004-scl","A camisola do dia: patrimônio têxtil da cultura material nupcial (Rio Grande do Sul, do início a meados do século XX)","Cerqueira, Fábio Vergara, Santos, Denise Ondina Marroni dos","Estudos Históricos (Rio de Janeiro); 24(48); 305-330","Estudos Históricos (Rio de Janeiro)","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21862011000200004&lang=pt" 
"S0103-21862011000200006-scl","O valente e a farda: as peripécias de um narrador e sua indumentária nas secas do Ceará","Rios, Kênia Sousa","Estudos Históricos (Rio de Janeiro); 24(48); 351-365","Estudos Históricos (Rio de Janeiro)","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21862011000200006&lang=pt" 
"S0103-21862011000200009-scl","Entrevista com Ulpiano Toledo Bezerra de Meneses","","Estudos Históricos (Rio de Janeiro); 24(48); 405-431","Estudos Históricos (Rio de Janeiro)","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21862011000200009&lang=pt" 
"S1806-37132011000600004-scl","Manuseio de dispositivos inalatórios e controle da asma em asmáticos graves em um centro de referência em Salvador","Coelho, Ana Carla Carvalho, Souza-Machado, Adelmir, Leite, Mylene, Almeida, Paula, Castro, Lourdes, Cruz, Constança Sampaio, Stelmach, Rafael, Cruz, Álvaro Augusto","Jornal Brasileiro de Pneumologia; 37(6); 720-728","Jornal Brasileiro de Pneumologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132011000600004&lang=pt" 
"S1806-37132011000600005-scl","Adesivo cirúrgico de etil-2-cianoacrilato em lobectomia parcial em ratos","Szkudlarek, Ariani Cavazzani, Sincero, Paula, Sousa, Renato Silva de, Fogaça, Rosalvo Tadeu Hochmuller","Jornal Brasileiro de Pneumologia; 37(6); 729-734","Jornal Brasileiro de Pneumologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132011000600005&lang=pt" 
"S1806-37132011000600007-scl","Efeito do broncodilatador no tempo de apneia voluntária máxima em pacientes com distúrbios ventilatórios obstrutivos","Viecili, Raqueli Biscayno, Sanches, Paulo Roberto Stefani, Silva, Denise Rossato, Silva, Danton Pereira da, Muller, André Frota, Barreto, Sergio Saldanha Menna","Jornal Brasileiro de Pneumologia; 37(6); 745-751","Jornal Brasileiro de Pneumologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132011000600007&lang=pt" 
"S1806-37132011000600008-scl","Prova broncodilatadora na espirometria: efeito do uso de espaçador de grande volume com tratamento antiestático na resposta ao broncodilatador","Araújo, Flávia de Barros, Corrêa, Ricardo de Amorim, Pereira, Luis Fernando Ferreira, Silveira, Carla Discacciati, Mancuso, Eliane Viana, Rezende, Nilton Alves de","Jornal Brasileiro de Pneumologia; 37(6); 752-758","Jornal Brasileiro de Pneumologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132011000600008&lang=pt" 
"S1806-37132011000600009-scl","Efeito da sazonalidade climática na ocorrência de sintomas respiratórios em uma cidade de clima tropical","Silva Júnior, José Laerte Rodrigues da, Padilha, Thiago Fintelman, Rezende, Jordana Eduardo, Rabelo, Eliane Consuelo Alves, Ferreira, Anna Carolina Galvão, Rabahi, Marcelo Fouad","Jornal Brasileiro de Pneumologia; 37(6); 759-767","Jornal Brasileiro de Pneumologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132011000600009&lang=pt" 
"S1806-37132011000600010-scl","Manifestações clínicas, radiológicas e laboratoriais em indivíduos com tuberculose pulmonar: estudo comparativo entre indivíduos HIV positivos e HIV negativos internados em um hospital de referência","Besen, Aline, Staub, Guilherme Jönck, Silva, Rosemeri Maurici da","Jornal Brasileiro de Pneumologia; 37(6); 768-775","Jornal Brasileiro de Pneumologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132011000600010&lang=pt" 
"S1806-37132011000600011-scl","Fatores preditores para o abandono do tratamento da tuberculose pulmonar preconizado pelo Ministério da Saúde do Brasil na cidade de Porto Alegre (RS)","Campani, Simone Teresinha Aloise, Moreira, José da Silva, Tietbohel, Carlos Nunes","Jornal Brasileiro de Pneumologia; 37(6); 776-782","Jornal Brasileiro de Pneumologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132011000600011&lang=pt" 
"S1806-37132011000600012-scl","Desfechos de tratamento de tuberculose em pacientes hospitalizados e não hospitalizados no município de São Paulo","Perrechi, Mirtes Cristina Telles, Ribeiro, Sandra Aparecida","Jornal Brasileiro de Pneumologia; 37(6); 783-790","Jornal Brasileiro de Pneumologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132011000600012&lang=pt" 
"S1806-37132011000600013-scl","Modelo experimental ex vivo com bloco pulmonar dividido","Mariani, Alessandro Wasum, Medeiros, Israel Lopes de, Pêgo-Fernandes, Paulo Manuel, Fernandes, Flávio Guimarães, Unterpertinger, Fernando do Valle, Fernandes, Lucas Matos, Canzian, Mauro, Jatene, Fábio Biscegli","Jornal Brasileiro de Pneumologia; 37(6); 791-795","Jornal Brasileiro de Pneumologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132011000600013&lang=pt" 
"S1806-37132011000600014-scl","Ressecção minimamente invasiva por broncoscopia de tumores brônquicos benignos","Rodrigues, Ascedio Jose, Coelho, David, Dias Júnior, Sérvulo Azevedo, Jacomelli, Márcia, Scordamaglio, Paulo Rogério, Figueiredo, Viviane Rossi","Jornal Brasileiro de Pneumologia; 37(6); 796-800","Jornal Brasileiro de Pneumologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132011000600014&lang=pt" 
"S1806-37132011000600015-scl","Avaliação dos artigos de pneumologia publicados em periódicos Brasileiros além do Jornal Brasileiro de Pneumologia","Baldi, Bruno Guedes, Carvalho, Carlos Roberto Ribeiro","Jornal Brasileiro de Pneumologia; 37(6); 801-808","Jornal Brasileiro de Pneumologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132011000600015&lang=pt" 
"S1806-37132011000600017-scl","Tomografia por emissão de pósitrons com 18F fluordesoxiglicose como exame não invasivo para o diagnóstico de sarcomas primários de artéria pulmonar","Dias, Olívia Meira, Lombardi, Elisa Maria Siqueira, Canzian, Mauro, Soares Júnior, José, Vieira, Lucas de Oliveira, Terra Filho, Mário","Jornal Brasileiro de Pneumologia; 37(6); 817-822","Jornal Brasileiro de Pneumologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132011000600017&lang=pt" 
"S0074-02762011000800002-scl","Reduction in morbidity and mortality from childhood diarrhoeal disease after species A rotavirus vaccine introduction in Latin America : a review","Desai, Rishi, Oliveira, Lucia Helena de, Parashar, Umesh D, Lopman, Benjamin, Tate, Jacqueline E, Patel, Manish M","Memórias do Instituto Oswaldo Cruz; 106(8); 907-911","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800002&lang=pt" 
"S0074-02762011000800008-scl","Genetic diversity of noroviruses in Brazil","Fioretti, Julia Monassa, Ferreira, Mônica Simões Rocha, Victoria, Matias, Vieira, Carmen Baur, Xavier, Maria da Penha Trindade Pinheiro, Leite, José Paulo Gagliardi, Miagostovich, Marize Pereira","Memórias do Instituto Oswaldo Cruz; 106(8); 942-947","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800008&lang=pt" 
"S0074-02762011000800015-scl","Comparison of the insecticide susceptibilities of laboratory strains of Aedes aegypti and Aedes albopictus","Gómez, Andrea, Seccacini, Emilia, Zerba, Eduardo, Licastro, Susana","Memórias do Instituto Oswaldo Cruz; 106(8); 993-996","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800015&lang=pt" 
"S0074-02762011000800016-scl","Laboratory and field evaluation of the effects of the neonicotinoid imidacloprid on the oviposition response of Aedes (Stegomyia) aegypti Linnaeus (Diptera: Culicidae)","Antonio-Arreola, Gloria Elsa, López-Bello, Roger, Romero-Moreno, Daenna Kaori, Sánchez, Daniel","Memórias do Instituto Oswaldo Cruz; 106(8); 997-1001","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800016&lang=pt" 
"S0074-02762011000800022-scl","Investigation into in vitro anti-leishmanial combinations of calcium channel blockers and current anti-leishmanial drugs","Reimão, Juliana Quero, Tempone, André Gustavo","Memórias do Instituto Oswaldo Cruz; 106(8); 1032-1038","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800022&lang=pt" 
"S0074-02762011000800020-scl","Molecular evidence for a single taxon, Anopheles nuneztovari s.l., from two endemic malaria regions in Colombia","Jaramillo, Luz Marina, Gutiérrez, Lina A, Luckhart, Shirley, Conn, Jan E, Correa, Margarita M","Memórias do Instituto Oswaldo Cruz; 106(8); 1017-1023","Memórias do Instituto Oswaldo Cruz","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762011000800020&lang=pt" 
"S0103-21862011000200001-scl","O corpo na cidade: gênero, cultura material e imagem pública","Lima, Solange Ferraz de, Carvalho, Vânia Carneiro de","Estudos Históricos (Rio de Janeiro); 24(48); 233-263","Estudos Históricos (Rio de Janeiro)","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21862011000200001&lang=pt" 
"S0103-21862011000200005-scl","&quot;Lençóis de linho, pratos da Índia e brincos de filigrana&quot;: vida cotidiana numa vila mineira setecentista","Pereira, Ana Luiza Castro","Estudos Históricos (Rio de Janeiro); 24(48); 331-350","Estudos Históricos (Rio de Janeiro)","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21862011000200005&lang=pt" 
"S1806-37132011000600003-scl","Análise de variáveis fisiológicas de adolescentes com diagnóstico clínico de asma leve intermitente ou leve persistente quando submetidos a hipóxia aguda e teste de esforço máximo","Maldonado, Martin, Portela, Luiz Osório Cruz","Jornal Brasileiro de Pneumologia; 37(6); 712-719","Jornal Brasileiro de Pneumologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132011000600003&lang=pt" 
"S1806-37132011000600006-scl","Desempenho funcional de pacientes com fibrose cística e indivíduos saudáveis no teste de caminhada de seis minutos","Pereira, Fabíola Meister, Ribeiro, Maria Ângela Gonçalves de Oliveira, Ribeiro, Antônio Fernando, Toro, Adyléia Aparecida Dalbo Contrera, Hessel, Gabriel, Ribeiro, José Dirceu","Jornal Brasileiro de Pneumologia; 37(6); 735-744","Jornal Brasileiro de Pneumologia","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132011000600006&lang=pt" 
"S1668-80902011000200001-arg","Las políticas del primer peronismo en relación con las comunidades indígenas","Marcilese, José","Andes; 22(2); -","Andes","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902011000200001&lang=pt" 
"S1668-80902011000200002-arg","Configuraciones de la relación de ciudadanía entre los Tobas de Formosa: lo universal y lo particular","Iñigo Carrera, Valeria","Andes; 22(2); -","Andes","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902011000200002&lang=pt" 
"S1668-80902011000200003-arg","Los potreros de Antofagasta: Trabajo indígena y propiedad (finales del siglo XVIII y comienzos del XIX)","Quesada, Marcos N., Lema, Carolina","Andes; 22(2); -","Andes","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902011000200003&lang=pt" 
"S1668-80902011000200004-arg","Biodemografía en la Ciudad de Salta: Su población a mediados del Siglo XIX","Acreche, Noemí, Albeza, María Virginia, Caro, Fabiana","Andes; 22(2); -","Andes","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902011000200004&lang=pt" 
"S1668-80902011000200005-arg","Enfoque teórico y conceptual para el estudio de las urbanizaciones cerradas","Malizia, Matilde","Andes; 22(2); -","Andes","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902011000200005&lang=pt" 
"S1668-80902011000200006-arg","Los gauchos de Güemes: Guerras de independencia y conflicto social","Morán, Daniel","Andes; 22(2); -","Andes","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902011000200006&lang=pt" 
"S1668-80902011000200007-arg","Justicias y fronteras. Estudios sobre historia de la justicia en el Río de la Plata. Siglos xvi-xix","Aramendi, Bárbara M","Andes; 22(2); -","Andes","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902011000200007&lang=pt" 
"S1668-80902011000200008-arg","Instituciones, gobierno y territorio: Rosario de la capilla al municipio (1725-1930)","Medina, Federico","Andes; 22(2); -","Andes","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-80902011000200008&lang=pt" 
"S0524-97672011000100001-arg","Presentación","","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani; (33); 11-11","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0524-97672011000100001&lang=pt" 
"S0524-97672011000100002-arg","La dimensión atlántica e hispanoamericana de la Revolución de Mayo","Chiaramonte, José Carlos","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani; (33); 13-19","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0524-97672011000100002&lang=pt" 
"S0524-97672011000100003-arg","Tradiciones atlánticas, tradiciones hispánicas: en torno a &quot;La dimensión atlántica e hispanoamericana de la Revolución de Mayo&quot;, de José Carlos Chiaramonte","Ávila, Alfredo","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani; (33); 20-23","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0524-97672011000100003&lang=pt" 
"S0524-97672011000100004-arg","Comentarios a &quot;La dimensión atlántica e hispanoamericana de la Revolución de Mayo&quot;, de José Carlos Chiaramonte","Frega, Ana","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani; (33); 24-28","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0524-97672011000100004&lang=pt" 
"S0524-97672011000100005-arg","La historia atlántica y las revoluciones hispanoamericanas: otras perspectivas de análisis","Morelli, Federica","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani; (33); 29-33","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0524-97672011000100005&lang=pt" 
"S0524-97672011000100006-arg","Las independencias iberoamericanas y el problema de sus alcances espaciales","Pimenta, João Paulo G.","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani; (33); 34-38","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0524-97672011000100006&lang=pt" 
"S0524-97672011000100007-arg","Política y cultura política ante la crisis del orden colonial","Ternavasio, Marcela","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani; (33); 39-53","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0524-97672011000100007&lang=pt" 
"S0524-97672011000100008-arg","Comentarios al texto de Marcela Ternavasio: &quot;Política y cultura política ante la crisis del orden colonial&quot;","Goldman, Noemí","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani; (33); 54-57","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0524-97672011000100008&lang=pt" 
"S0524-97672011000100009-arg","Comentarios a &quot;Política y cultura política ante la crisis del orden colonial&quot;","González Bernaldo, Pilar","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani; (33); 58-62","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0524-97672011000100009&lang=pt" 
"S0524-97672011000100010-arg","Política y cultura política ante la crisis del orden colonial: La revolución en sus bordes","Vallejo, Gabriela","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani; (33); 63-67","Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0524-97672011000100010&lang=pt" 
