"S1808-86942016000100001-scl","The judicialization of the medical act","Campos, Roberto Augusto de Carvalho, Camargo, Rosmari Aparecida Elias, Neves, Luciano Rodrigues","Brazilian Journal of Otorhinolaryngology; 82(1); 1-2","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100001&lang=pt" 
"S0066-782X2016000200162-scl","The Fontan Operation is Not the End of the Road","Caneo, Luiz Fernando, Neirotti, Rodolfo A., Turquetto, Aida Luiza Ribeiro, Jatene, Marcelo Biscegli","Arquivos Brasileiros de Cardiologia; 106(2); 162-165","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000200162&lang=pt" 
"S1130-01082016000200007-esp","Management of antiplatelet and anticoagulant therapy for endoscopic procedures: introduction to novel oral anticoagulants","González-Bárcenas, Martha L., Pérez-Aisa, Ángeles","Revista Española de Enfermedades Digestivas; 108(2); 89-96","Revista Española de Enfermedades Digestivas","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082016000200007&lang=pt" 
"S1130-01082016000200005-esp","Idiopathic portal hypertension regarding thiopurine treatment in patients with inflammatory bowel disease","Suárez-Ferrer, Cristina, Llop-Herrera, Elba, Calvo-Moya, Marta, Vera-Mendoza, María Isabel, González-Partida, Irene, González-Lama, Yago, Matallana-Royo, Virginia, Calleja-Panero, José Luis, Abreu-García, Luis","Revista Española de Enfermedades Digestivas; 108(2); 79-83","Revista Española de Enfermedades Digestivas","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082016000200005&lang=pt" 
"S1130-01082016000200002-esp","Irritable bowel syndrome subtypes: clinical and psychological features, body mass index and comorbidities","Kibune-Nagasako, Cristiane, García-Montes, Ciro, Silva-Lorena, Sônia Letícia, Aparecida-Mesquita, Maria","Revista Española de Enfermedades Digestivas; 108(2); 59-64","Revista Española de Enfermedades Digestivas","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082016000200002&lang=pt" 
"S0066-782X2016000200160-scl","Multimodality Images of a Mixed Atrial Septal Defect","Işılak, Zafer, Küçük, Uğur, Uz, Omer, Yalçın, Murat, Temizkan, Veysel","Arquivos Brasileiros de Cardiologia; 106(2); 160-161","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000200160&lang=pt" 
"S1130-01082016000200008-esp","Sister Mary Joseph&#039;s nodule","Espinel, Jesús, Pinedo, Eugenia, Ojeda, Vanesa, Río, María Guerra-del","Revista Española de Enfermedades Digestivas; 108(2); 97-97","Revista Española de Enfermedades Digestivas","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082016000200008&lang=pt" 
"S0066-782X2016000200153-scl","Case 2/2016 - Scimitar Sign with Right Pulmonary Vein Drainage into the Right Atrium","Atik, Edmar, Arrieta, Raul, Kalil Filho, Roberto","Arquivos Brasileiros de Cardiologia; 106(2); 153-155","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000200153&lang=pt" 
"S1130-01082016000200011-esp","Contribution of infliximab population pharmacokinetic model for dose optimization in ulcerative colitis patients","Santacana-Juncosa, Eugènia, Padullés-Zamora, Ariadna, Colom-Codina, Helena, Rodríguez-Alonso, Lorena, Guardiola-Capo, Jordi, Bas-Minguet, Jordi, Padullés-Zamora, Núria","Revista Española de Enfermedades Digestivas; 108(2); 104-105","Revista Española de Enfermedades Digestivas","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082016000200011&lang=pt" 
"S1516-84842016000100086-scl","Systemic fungal infection by Histoplasma capsulatum: intracellular fungus in peripheral leukocytes","Salgado, Valéria, Ramos, Mayara Caldas, Fock, Ricardo Ambrósio","Revista Brasileira de Hematologia e Hemoterapia; 38(1); 86-87","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000100086&lang=pt" 
"S1516-84842016000100088-scl","What is the adequate mononuclear cell content for selecting umbilical cord blood units for cryopreservation?","Jaime-Pérez, José Carlos, García-Arellano, Gisela, Esparza-Sandoval, Alejandra Celina","Revista Brasileira de Hematologia e Hemoterapia; 38(1); 88-89","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000100088&lang=pt" 
"S1516-84842016000100037-scl","Serum free light chain assays not total light chain assays are the standard of care to assess Monoclonal Gammopathies","Hungria, Vania Tietsche de Moraes, Allen, Syreeta, Kampanis, Petros, Soares, Elyara Maria","Revista Brasileira de Hematologia e Hemoterapia; 38(1); 37-43","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000100037&lang=pt" 
"S0066-782X2016000200145-scl","Soluble ST2 Testing: A Promising Biomarker in the Management of Heart Failure","Villacorta, Humberto, Maisel, Alan S.","Arquivos Brasileiros de Cardiologia; 106(2); 145-152","Arquivos Brasileiros de Cardiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2016000200145&lang=pt" 
"S1516-84842016000100044-scl","Modern techniques of magnetic resonance in the evaluation of primary central nervous system lymphoma: contributions to the diagnosis and differential diagnosis","Rocha, Antonio José da, Guedes, Bruno Vasconcelos Sobreira, Rocha, Talita Maira Bueno da Silveira da, Maia Junior, Antonio Carlos Martins, Chiattone, Carlos Sérgio","Revista Brasileira de Hematologia e Hemoterapia; 38(1); 44-54","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000100044&lang=pt" 
"S1516-84842016000100058-scl","Guidelines on the treatment of acute myeloid leukemia: Associação Brasileira de Hematologia, Hemoterapia e Terapia Celular","Bittencourt, Rosane, Bortolheiro, Teresa Cristina, Chauffaille, Maria de Lourdes Lopes Ferrari, Fagundes, Evandro Maranhão, Pagnano, Katia Borgia Barbosa, Rego, Eduardo Magalhães, Bernardo, Wanderley Marques","Revista Brasileira de Hematologia e Hemoterapia; 38(1); 58-74","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000100058&lang=pt" 
"S1516-84842016000100028-scl","Hematopoietic progenitor cell mobilization for autologous transplantation - a literature review","Salvino, Marco Aurélio, Ruiz, Jefferson","Revista Brasileira de Hematologia e Hemoterapia; 38(1); 28-36","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842016000100028&lang=pt" 
"S0100-40422016000200189-scl","COMPOSIÇÃO QUÍMICA DAS CASCAS DAS RAÍZES E FLORES DEPoincianella pyramidalis (Fabaceae)","Oliveira, José Cândido S. de, David, Jorge M., David, Juceni P.","Química Nova; 39(2); 189-193","Química Nova","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422016000200189&lang=pt" 
"S0100-40422016000200229-scl","2-(4-IODO-2,5-DIMETOXIFENIL)-N-[(2-METOXIFENIL)METIL]ETAMINA OU 25I-NBOME: CARACTERIZAÇÃO QUÍMICA DE UMA DESIGNER DRUG","Santos, Pâmella F. dos, Souza, Lindamara M., Merlo, Bianca B., Costa, Helber B., Tose, Lilian V., Santos, Heloá, Vanini, Gabriela, Machado, Leandro F., Ortiz, Rafael S., Limberger, Renata P., Vaz, Boniek G., Romão, Wanderson","Química Nova; 39(2); 229-237","Química Nova","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422016000200229&lang=pt" 
"S0100-40422016000200238-scl","BLOGS NO ENSINO DE QUÍMICA: ANÁLISE DE COMENTÁRIOS PUBLICADOS EM DISCIPLINA DE COMUNICAÇÃO CIENTÍFICA","Barro, Mario Roberto, Veras, Lea, Queiroz, Salete Linhares","Química Nova; 39(2); 238-244","Química Nova","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422016000200238&lang=pt" 
"S0100-40422016000200245-scl","PROPOSTA EXPERIMENTAL DIDÁTICA PARA O ENSINO DE ANÁLISE DE COMPONENTES PRINCIPAIS","Valderrama, Leonardo, Paiva, Vassula Belinato, Março, Paulo Henrique, Valderrama, Patrícia","Química Nova; 39(2); 245-249","Química Nova","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422016000200245&lang=pt" 
"S1516-14392016000100202-scl","Study of the Influence of Variation in Distances Between Electrodes in Spectral DBD Plasma Excitation","Souza, Ivan Alves de, Nascimento Neto, Arlindo Balbino do, Queiroz, José César Augusto de, Matamoros, Efrain Pantaleón, Costa, Thércio Henrique de Carvalho, Feitor, Michelle Cequeira, Souza, John Magno Lopes de, Camara, Nailton Torres, Severiano Sobrinho, Valmar da Silva","Materials Research; 19(1); 202-206","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100202&lang=pt" 
"S1516-14392016000100215-scl","Dry Shrinkage and Durability Performance of Cement Stabilized Graded Stone with Framework and Dense Structure","Cui, Kai, Li, Wei","Materials Research; 19(1); 215-219","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100215&lang=pt" 
"S1516-14392016000100051-scl","Oxidation Behavior of Copper at a Temperature below 300 °C and the Methodology for Passivation","Lee, Shao-Kuan, Hsu, Hsiu-Ching, Tuan, Wei-Hsing","Materials Research; 19(1); 51-56","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100051&lang=pt" 
"S1516-14392016000100009-scl","Methods of data analysis for the ball cratering test on TiN and DLC coated steel","Silva, W. M., Souza, P. S., Carneiro, J. R.","Materials Research; 19(1); 9-17","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100009&lang=pt" 
"S1516-14392016000100175-scl","Development of nano-oxide dispersed 304L steels by mechanical milling and conventional sintering","Kumar, Sambaraj Sravan, E S, Sandeep, Chandrasekhar, S.B., Karak, Swapan Kumar","Materials Research; 19(1); 175-182","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100175&lang=pt" 
"S1516-14392016000100018-scl","Producing BiI/BiOI Thin Films via Chemical Bath Deposition","Kariper, İshak Afsin","Materials Research; 19(1); 18-23","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100018&lang=pt" 
"S1516-14392016000100183-scl","Displacement rate effect on the flexural properties of glass fiber reinforced polyurethane","Reis, João Marciano Laredo dos","Materials Research; 19(1); 183-186","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100183&lang=pt" 
"S1516-14392016000100153-scl","Evaluation of the Residual Stress State of 42crmo4 Steel Sheets in a Production Line","Dias, Allan Romário de Paula, Nunes, Rafael Menezes, Lima, Toni Roger Schifelbain de, Clarke, Thomas Gabriel Rosauro","Materials Research; 19(1); 153-157","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100153&lang=pt" 
"S1516-14392016000100024-scl","Oxidative desulfurization of thiophene on TiO2/ZSM-12 zeolite","Santos, Marília Ramalho Figueiredo dos, Pedrosa, Anne Michelle Garrido, Souza, Marcelo José Barros de","Materials Research; 19(1); 24-30","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100024&lang=pt" 
"S1516-14392016000100143-scl","Evaluation of AH36 microalloyed steel welded joint by submerged arc welding process with one and two wires","Ribeiro, Anderson Clayton Nascimento, Henein, Hani, Ivey, Douglas G., Brandi, Sergio Duarte","Materials Research; 19(1); 143-152","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100143&lang=pt" 
"S0100-736X2016000200090-scl","Retrospective study of pre-anesthetic electrocardiogram examination of 700 dogs conducted at the Veterinary Hospital of UFMG (2013-2014)","Botelho, Ana Flávia Machado, Oliveira, Maira Souza, Soto-Blanco, Benito, Melo, Marília M.","Pesquisa Veterinária Brasileira; 36(2); 90-93","Pesquisa Veterinária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000200090&lang=pt" 
"S0100-736X2016000200067-scl","Troponina C na detecção imuno-histoquímica de alterações regressivas precoces no miocárdio de bovinos e ovinos intoxicados por monofluoroacetato de sódio","Santos, André M., Peixoto, Paulo V., D&#039;Ávila, Mariana S., Peixoto, Tiago C., França, Ticiana N., Costa, Samay Z.R., Cid, Gabriela C., Nogueira, Vivian A.","Pesquisa Veterinária Brasileira; 36(2); 67-72","Pesquisa Veterinária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000200067&lang=pt" 
"S0100-736X2016000200077-scl","Partial budget analysis of prepartum antimicrobial therapy and Escherichia coli J5 vaccination of dairy heifers and their effect on milk production and milk quality parameters","Vargas, Renison T., Souza, Fernando N., Brito, Maria Aparecida V.P., Brito, José R.F., Leite, Mônica O., Fonseca, Leorges M., Sampaio, Ivan B.M., Cerqueira, Mônica M.O.P.","Pesquisa Veterinária Brasileira; 36(2); 77-82","Pesquisa Veterinária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000200077&lang=pt" 
"S0100-736X2016000200073-scl","Prevalence study of SNP c.421G&gt;T in the ADAMTS2 gene responsible for dermatosparaxis in White Dorper sheep in Brazil","Andrade, Danilo G.A., Dalanezi, Felipe M., Trecenti, Anelize S., Cunha, Paulo Henrique J., Borges, Alexandre S., Oliveira-Filho, José P.","Pesquisa Veterinária Brasileira; 36(2); 73-76","Pesquisa Veterinária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000200073&lang=pt" 
"S0100-736X2016000200136-scl","Miologia do membro torácico da paca (Cuniculus paca)","Leal, Leonardo M., Silva, Juliana A.C.E., Oliveira, Fabricio S., Sasahara, Tais H.C., Machado, Marcia R.F.","Pesquisa Veterinária Brasileira; 36(2); 136-140","Pesquisa Veterinária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000200136&lang=pt" 
"S0100-736X2016000200103-scl","Ocorrência de anticorpos anti-Toxoplasma gondii em aves silvestres de três Unidades de Conservação Federais da Paraíba e da Bahia","Andrade, Leontina H.M., Lugarini, Camile, Oliveira, Rhaysa A.S., Silva, Luana T.R., Marvulo, Maria Fernanda V., Garcia, José E., Dubey, Jitender P., Silva, Jean C.R.","Pesquisa Veterinária Brasileira; 36(2); 103-107","Pesquisa Veterinária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000200103&lang=pt" 
"S0100-736X2016000200108-scl","Utilização de plasma rico em plaquetas para estimulação da angiogênese em flape de padrão axial toracodorsal em coelhos (Oryctolagus cuniculus)","Pazzini, Josiane M., Nardi, Andrigo B. De, Huppes, Rafael R., Gering, Ana P., Ferreira, Marília G.P.A., Silveira, Camila P.B., Luzzi, Mayara C., Oliveira, João A.","Pesquisa Veterinária Brasileira; 36(2); 108-118","Pesquisa Veterinária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000200108&lang=pt" 
"S0100-40422016000200172-scl","TRATAMENTO DA VINHAÇA POR ADSORÇÃO EM CARVÃO DE BAGAÇO DE CANA-DE-AÇÚCAR","Seixas, Fernanda L., Gimenes, Marcelino L., Fernandes-Machado, Nádia R. C.","Química Nova; 39(2); 172-179","Química Nova","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422016000200172&lang=pt" 
"S0100-40422016000200124-scl","OBTENÇÃO DE COMPÓSITOS HÍBRIDOS BASEADOS EM HIDROGÉIS E CIMENTO PORTLAND","Santos, Jefferson C. dos, Tashima, Mauro M., Moura, Marcia R. de, Aouada, Fauze A.","Química Nova; 39(2); 124-129","Química Nova","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422016000200124&lang=pt" 
"S0100-736X2016000200119-scl","Protocol for collection and separation of bone marrow mononuclear cells in Chlorocebus aethiops","Branco, Érika, Silva, Klena Sarges Marruaz, Assis, Maria de Fátima, Oliveira, Edivaldo Herculano Corrêa de, Lima, Ana Rita de, Aquino, Ana Cleide Guimbal de, Cabral, Rosa, Miglino, Maria Angelica","Pesquisa Veterinária Brasileira; 36(2); 119-122","Pesquisa Veterinária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000200119&lang=pt" 
"S0100-736X2016000200083-scl","Troponina C na detecção imuno-histoquímica de alterações regressivas precoces no miocárdio de ovinos naturalmente intoxicados por Amaranthus spinosus (Amaranthaceae)","Costa, Samay Z.R., Peixoto, Paulo V., Brust, Luiz Armando C., d&#039;Avila, Mariana S., Santos, André M., Driemeier, David, Nogueira, Vivian de A., França, Ticiana N.","Pesquisa Veterinária Brasileira; 36(2); 83-89","Pesquisa Veterinária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000200083&lang=pt" 
"S0100-736X2016000200094-scl","Bases ósseas e musculares do corte comercial de pescoço de jacaré-do-pantanal (Caimanyacare Daudin, 1802)","Figueiredo, Sandra I.S., Araújo, Luciana B.M., Ferraz, Rosa H.S., Araújo, Eugênio G.","Pesquisa Veterinária Brasileira; 36(2); 94-102","Pesquisa Veterinária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000200094&lang=pt" 
"S0100-40422016000200180-scl","AVALIAÇÃO DA BIOACUMULAÇÃO DE METAIS EM Cyprinus carpio PELA INTERAÇÃO COM SEDIMENTO E ÁGUA DE RESERVATÓRIO","Voigt, Carmen Lúcia, Silva, Cleber Pinto da, Campos, Sandro Xavier de","Química Nova; 39(2); 180-188","Química Nova","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422016000200180&lang=pt" 
"S0100-736X2016000200123-scl","Descrição anatômica de esqueletos de papagaios do gênero Amazona através da utilização de radiografias","Cavinatto, Carla C., Armando, Alexandre P.R.N., Cruz, Layla K.S., Lima, Eduardo M.M. de, Santana, Marcelo I.S.","Pesquisa Veterinária Brasileira; 36(2); 123-130","Pesquisa Veterinária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000200123&lang=pt" 
"S0100-736X2016000200131-scl","Physiologic parameters in female Red-billed curassows (Crax blumenbachii) in rehabilitation","Marietto-Gonçalves, Guilherme A., Martins, Mayra T.A., Souza, Katiane L., Takahira, Regina K., Gonçalves, Roberto C., Andreatti Filho, Raphael L.","Pesquisa Veterinária Brasileira; 36(2); 131-135","Pesquisa Veterinária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000200131&lang=pt" 
"S0100-40422016000200167-scl","A NOVEL METHOD FOR THE DETERMINATION OF TRACE THORIUM BY DISPERSIVE LIQUID-LIQUID MICROEXTRACTION BASED ON SOLIDIFICATION OF FLOATING ORGANIC DROP","Rezaee, Mohammad, Khalilian, Faezeh","Química Nova; 39(2); 167-171","Química Nova","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422016000200167&lang=pt" 
"S1516-14392016000100187-scl","The inhibitory action of Bauhinia purpurea extracts on the corrosion of carbon steel in sulfuric acid medium","Barros, Iuri Bezerra de, Kappel, Marco André Abud, Santos, Priscila Moraes dos, Veiga Junior, Valdir Florêncio da, D&#039;Elia, Eliane, Bastos, Ivan Napoleão","Materials Research; 19(1); 187-194","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100187&lang=pt" 
"S1516-14392016000100040-scl","Effect of the loading of organomodified clays on the thermal and mechanical properties of a model dental resin","Terrin, Marina Martins, Poli, Alessandra Leves, Horn Jr, Marco Antonio, Neumann, Miguel Guillermo, Cavalheiro, Eder Tadeu Gomes, Correa, Ivo Carlos, Schmitt, Carla Cristina","Materials Research; 19(1); 40-44","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100040&lang=pt" 
"S1516-14392016000100098-scl","Characterization of Single Superphosphate Powders – a study of Milling Effects on Solubilization Kinetics","Plotegher, Fábio, Ribeiro, Caue","Materials Research; 19(1); 98-105","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100098&lang=pt" 
"S1516-14392016000100243-scl","Determination of Microstructure, Mechanical, Electrical and Thermal Properties of The Directionally Solidified Al-Si-Co Ternary Alloy","Aker, Aynur, Kaya, Hasan","Materials Research; 19(1); 243-251","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100243&lang=pt" 
"S1516-14392016000100132-scl","Polymerization of DL-Lactide induced by Protonated Montmorillonite clay as a solid catalyst: Mechanism study","Aslya, Elkebir, Harrane, Amine, Belbachir, Mohamed","Materials Research; 19(1); 132-137","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100132&lang=pt" 
"S1516-14392016000100267-scl","Effects of Measurements Conditions on an Extended-Gate FET used as pH sensor","Fernandes, Jessica Colnaghi, Nascimento, Raphael Aparecido Sanches, Mulato, Marcelo","Materials Research; 19(1); 267-272","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100267&lang=pt" 
"S1516-14392016000100167-scl","Nanocellulose Produced from Rice Hulls and its Effect on the Properties of Biodegradable Starch Films","Nascimento, Pedro, Marim, Renan, Carvalho, Gizilene, Mali, Suzana","Materials Research; 19(1); 167-174","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100167&lang=pt" 
"S1516-14392016000100236-scl","The Use of Montmorillonite Clays as Reinforcing Fillers for Dental Adhesives","Menezes, Lívia Rodrigues de, Silva, Emerson Oliveira da","Materials Research; 19(1); 236-242","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100236&lang=pt" 
"S1516-14392016000100057-scl","What Changes in Poly(3-Hydroxybutyrate) (PHB) When Processed as Electrospun Nanofibers or Thermo-Compression Molded Film?","Mottin, Artur Caron, Ayres, Eliane, Oréfice, Rodrigo Lambert, Câmara, Jairo José Drummond","Materials Research; 19(1); 57-66","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100057&lang=pt" 
"S1516-14392016000100158-scl","Preparation and properties of aromatic polyester/TiO2 nanocomposites from polyethylene terephthalate","Santos, Leonardo Moreira dos, Carone, Carlos Leonardo Pandolfo, Einloft, Sandra Mara Oliveira, Ligabue, Rosane Angélica","Materials Research; 19(1); 158-166","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100158&lang=pt" 
"S1516-14392016000100067-scl","Durability Enhancement Of SCC With Waste Glass Powder","Matos, Ana Mafalda, Ramos, Telma, Nunes, Sandra, Sousa-Coutinho, Joana","Materials Research; 19(1); 67-74","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100067&lang=pt" 
"S1516-14392016000100045-scl","Microstructural and Electrical Features of Yttrium Stabilised Zirconia with ZnO as Sintering Additive","Marcomini, Raphael Fortes, Souza, Dulcina Maria Pinatti Ferreira de","Materials Research; 19(1); 45-50","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100045&lang=pt" 
"S1516-14392016000100001-scl","Impedance and Modulus Spectroscopy Characterization of Tb modified Bi0.8A0.1Pb0.1Fe0.9Ti0.1O3 Ceramics","Thakur, Shweta, Rai, Radheshyam, Bdikin, Igor, Valente, Manuel Almeida","Materials Research; 19(1); 1-8","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100001&lang=pt" 
"S1516-14392016000100075-scl","Polypropylene Composites Reinforced with Biodegraded Sugarcane Bagasse Fibers: Static and Dynamic Mechanical Properties","Luz, Sandra Maria da, Costa, Sirlene Maria da, Gonçalves, Adilson Roberto, Del&#039;Arco Junior, Antônio Pascoal, Costa, Silgia Aparecida da","Materials Research; 19(1); 75-83","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100075&lang=pt" 
"S1516-14392016000100252-scl","Prediction of Mechanical Properties of AlSi13Cu2Fe Alloy Using the ATND Methods","Pezda, Jacek","Materials Research; 19(1); 252-257","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100252&lang=pt" 
"S1516-14392016000100229-scl","Preparation and Characterization of Maleic Anhydride Grafted Poly(Hydroxybutirate-CO-Hydroxyvalerate) – PHBV-g-MA","Montanheiro, Thaís Larissa do Amaral, Passador, Fábio Roberto, Oliveira, Maurício Pinheiro de, Durán, Nelson, Lemes, Ana Paula","Materials Research; 19(1); 229-235","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100229&lang=pt" 
"S1516-14392016000100138-scl","Water Susceptibility and Mechanical Properties of Thermoplastic Starch–Pectin Blends Reactively Extruded with Edible Citric Acid","Da Róz, Alessandra Luzia, Veiga-Santos, Pricila, Ferreira, Adriane Medeiros, Antunes, Thaís Cristina Ribeiro, Leite, Fabio de Lima, Yamaji, Fabio Minoru, Carvalho, Antonio José Felix de","Materials Research; 19(1); 138-142","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000100138&lang=pt" 
"S0100-40422016000200221-scl","USO DO PLANEJAMENTO EXPERIMENTAL PARA OTIMIZAÇÃO DE UM PROCEDIMENTO VOLTAMÉTRICO PARA DETERMINAÇÃO SIMULTÂNEA DAS CONCENTRAÇÕES DOS METAIS Zn, Cd, Pb E Cu LIVRES EM ÁGUA DE COCO","Rosa, Thalles R., Rodrigues, José Guilherme A., Ferreira, Rafael de Q.","Química Nova; 39(2); 221-228","Química Nova","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422016000200221&lang=pt" 
"S0100-40422016000200160-scl","APPLICATION OF PARAFAC AND OPLS-DA ANALYSES ON HPLC FINGERPRINTS FOR THE CHARACTERIZATION OF Hibiscus sabdariffaCALYXES","Bernal, Freddy A., Orduz-Díaz, Luisa L., Coy-Barrera, Ericsson","Química Nova; 39(2); 160-166","Química Nova","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422016000200160&lang=pt" 
"S0100-40422016000200123-scl","NOVO MODELO DE FINANCIAMENTO PARA AS PUBLICAÇÕES DA SBQ","","Química Nova; 39(2); 123-123","Química Nova","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422016000200123&lang=pt" 
