"S0103-90162015000500432-scl","Composting sewage sludge with green waste from tree pruning","Moretti, Sarah Mello Leite, Bertoncini, Edna Ivani, Abreu-Junior, Cassio Hamilton","Scientia Agricola; 72(5); 432-439","Scientia Agricola","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162015000500432&lang=pt" 
"S0004-27492015000550087-scl","Eyelid aging: pathophysiology and clinical management","Damasceno, Renato Wendell, Avgitidou, Georgia, Belfort Jr., Rubens, Dantas, Paulo Elias Correa, Holbach, Leonard M., Heindl, Ludwig M.","Arquivos Brasileiros de Oftalmologia; 78(5); 328-331","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000550087&lang=pt" 
"S0100-72032015001000441-scl","Qualidade e segurança: caminhos para o sucesso do redesenho do modelo de cuidado obstétrico","MARCOLIN, ALESSANDRA CRISTINA","Revista Brasileira de Ginecologia e Obstetrícia; 37(10); 441-445","Revista Brasileira de Ginecologia e Obstetrícia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032015001000441&lang=pt" 
"S0100-72032015001000473-scl","Validação do Body Image Relationship Scale para mulheres com câncer de mama","Vieira, Elisabeth Meloni, Santos, Manoel Antônio Dos, Santos, Daniela Barsotti, Mancini, Marina Pasquali Marconato, Souza, Hayala Cristina Cavenague De, Bazan, Jorge Luis, Perdoná, Gleici Da Silva Castro","Revista Brasileira de Ginecologia e Obstetrícia; 37(10); 473-479","Revista Brasileira de Ginecologia e Obstetrícia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032015001000473&lang=pt" 
"S0100-72032015001000446-scl","Increasing the percentage of vaginal birth in the private sector in Brazil through the redesign of care model","Borem, Paulo, Ferreira, Janise Braga Barros, Silva, Uyara Januzzi da, Valério Júnior, Jeyner, Orlanda, Cristiana Machado Borges","Revista Brasileira de Ginecologia e Obstetrícia; 37(10); 446-454","Revista Brasileira de Ginecologia e Obstetrícia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032015001000446&lang=pt" 
"S0100-72032015001000460-scl","Effectiveness of an illustrated home exercise guide on promoting urinary continence during pregnancy: a pragmatic randomized clinical trial","Assis, Liamara Cavalcante de, Bernardes, João Marcos, Barbosa, Angélica Mércia Pascon, Santini, Ana Carolina Monteiro, Vianna, Luana Schneider, Dias, Adriano","Revista Brasileira de Ginecologia e Obstetrícia; 37(10); 460-466","Revista Brasileira de Ginecologia e Obstetrícia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032015001000460&lang=pt" 
"S0103-21002015010500001-scl","Perfil de competência profissional do enfermeiro em emergências","Holanda, Flávia Lilalva de","Acta Paulista de Enfermagem; 28(4); 1-1","Acta Paulista de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002015010500001&lang=pt" 
"S1413-81232015001003231-spa","Políticas públicas de humanização: revisão integrativa da literatura","Moreira, Márcia Adriana Dias Meirelles, Lustosa, Abdon Moreira, Dutra, Fernando, Barros, Eveline de Oliveira, Batista, Jaqueline Brito Vidal, Duarte, Marcella Costa Souto","Ciência &amp; Saúde Coletiva; 20(10); 3231-3242","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003231&lang=pt" 
"S1413-81232015001002999-spa","Avaliabilidade do Programa de Valorização do Profissional da Atenção Básica (PROVAB): desafios para gestão do trabalho","Oliveira, Catia Martins, Cruz, Marly Marques da, Kanso, Solange, Reis, Ana Cristina, Lima, Antônio, Torres, Raquel Maria Cardoso, Gonçalves, Aline Leal, Carvalho, Silvia Cristina de, Grabois, Victor","Ciência &amp; Saúde Coletiva; 20(10); 2999-3010","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001002999&lang=pt" 
"S1413-81232015001003087-scl","Estresse ocupacional e satisfação dos usuários com os cuidados de saúde primários em Portugal","Roque, Hugo, Veloso, Ana, Silva, Isabel, Costa, Patrício","Ciência &amp; Saúde Coletiva; 20(10); 3087-3097","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232015001003087&lang=pt" 
"S1807-25772015000500273-scl","Insertion angle of orthodontic mini-implants and their biomechanical performance: finite element analysis","Arantes, Vinícius de Oliveira Rossi, Corrêa, Cassia Belloto, Lunardi, Nadia, Boeck Neto, Rodolfo Jorge, Spin-Neto, Rubens, Boeck, Eloisa Marcantonio","Revista de Odontologia da UNESP; 44(5); 273-279","Revista de Odontologia da UNESP","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-25772015000500273&lang=pt" 
"S1807-25772015000500262-scl","Evaluation of color stability of different temporary restorative materials","Mazaro, José Vitor Quinelli, Minani, Luiz Miguel, Zavanelli, Adriana Cristina, Mello, Caroline Cantieri de, Lemos, Cleidiel Aparecido Araújo","Revista de Odontologia da UNESP; 44(5); 262-267","Revista de Odontologia da UNESP","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-25772015000500262&lang=pt" 
"S1807-25772015000500305-scl","Do orthodontists recommend Class II treatment according to evidence-based knowledge?","Almeida, Soraia Azevedo, Cheib, Paula Loureiro, Souki, Gustavo Quiroga, Franchi, Lorenzo, Souki, Bernardo Quiroga","Revista de Odontologia da UNESP; 44(5); 305-312","Revista de Odontologia da UNESP","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-25772015000500305&lang=pt" 
"S1807-25772015000500251-scl","Periodontal health in patients under conventional and lingual orthodontic therapies","Tapia-Rivera, José Gonzalo, Cotrim-Ferreira, Andréia, Borelli-Neto, Laurindo, Prieto, Marcos Gabriel, Ferreira-Santos, Rívea Inês","Revista de Odontologia da UNESP; 44(5); 251-256","Revista de Odontologia da UNESP","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-25772015000500251&lang=pt" 
"S1807-25772015000500257-scl","Effect of 10% sodium bicarbonate on bond strength of enamel and dentin after bleaching with 38% hydrogen peroxide","Darzé, Fernanda Medeiros, Amaral, Flávia Lucisano Botelho do, França, Fabiana Mantovani Gomes, Turssi, Cecília Pedroso, Basting, Roberta Tarkany","Revista de Odontologia da UNESP; 44(5); 257-261","Revista de Odontologia da UNESP","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-25772015000500257&lang=pt" 
"S0038-23532015000500019-sza","Estimation and monitoring of aboveground carbon stocks using spatial technology","Nyamugama, Adolph, Kakembo, Vincent","South African Journal of Science; 111(9-10); 01-07","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500019&lang=pt" 
"S0038-23532015000500013-sza","Food consumption changes in South Africa since 1994","Ronquest-Ross, Lisa-Claire, Vink, Nick, Sigge, Gunnar O.","South African Journal of Science; 111(9-10); 01-12","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500013&lang=pt" 
"S0038-23532015000500012-sza","Plants, people and health: Three disciplines at work in Namaqualand","Green, Lesley, Gammon, David W., Hoffman, Michael T., Cohen, Joshua, Hilgart, Amelia, Morrell, Robert G., Verran, Helen, Wheat, Nicola","South African Journal of Science; 111(9-10); 01-12","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500012&lang=pt" 
"S0038-23532015000500011-sza","Determination of a novel size proxy in comparative morphometries","Gallagher, Andrew","South African Journal of Science; 111(9-10); 01-10","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500011&lang=pt" 
"S0038-23532015000500010-sza","Comparative morphometric analysis of the proximal femur of African hominids and felids","Gallagher, Andrew","South African Journal of Science; 111(9-10); 01-11","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500010&lang=pt" 
"S0038-23532015000500008-sza","Review of the stability of biodiesel produced from less common vegetable oils of African origin","Kivevele, Thomas, Huan, Zhongjie","South African Journal of Science; 111(9-10); 01-07","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500008&lang=pt" 
"S0038-23532015000500009-sza","Nematode pests threatening soybean production in South Africa, with reference to Meloidogyne","Fourie, Hendrika, de Waele, Dirk, Mc Donald, Alexander H., Mienie, Charlotte, Marais, Mariette, de Beer, Annelie","South African Journal of Science; 111(9-10); 01-09","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500009&lang=pt" 
"S0038-23532015000500024-sza","The qualification of coal degradation with the aid of micro-focus computed tomography","Viljoen, Jacob, Campbell, Quentin P, le Roux, Marco, Hoffman, Jakobus","South African Journal of Science; 111(9-10); 01-10","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500024&lang=pt" 
"S0038-23532015000500022-sza","Studies on CO variation and trends over South Africa and the Indian Ocean using TES satellite data","Toihir, Abdoulwahab M., Venkataraman, Sivakumar, Mbatha, Nkanyiso, Sangeetha, Sivakumar K., Bencherif, Hassan, Brunke, Ernst-Günther, Labuschagne, Casper","South African Journal of Science; 111(9-10); 01-09","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500022&lang=pt" 
"S0038-23532015000500023-sza","Systematic land-cover change in KwaZulu-Natal, South Africa: Implications for biodiversity","Jewitt, Debbie, Goodman, Peter S., Erasmus, Barend F.N., O&#039;Connor, Timothy G., Witkowski, Ed T.F.","South African Journal of Science; 111(9-10); 01-09","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500023&lang=pt" 
"S0038-23532015000500005-sza","South African scholars make Thomson Reuters &#039;Highly Cited Researchers 2014&#039;","Diko, Makia L.","South African Journal of Science; 111(9-10); 01-04","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500005&lang=pt" 
"S0038-23532015000500018-sza","An LC-MS/MS based survey of contaminants of emerging concern in drinking water in South Africa","Odendaal, Christiaan, Seaman, Maitland T., Kemp, Gabre, Patterton, Huibreght E., Patterton, Hugh-George","South African Journal of Science; 111(9-10); 01-06","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500018&lang=pt" 
"S0038-23532015000500017-sza","Testing and implementation of a transportable and robust radio-element mapping system","Bezuidenhout, Jacques","South African Journal of Science; 111(9-10); 01-07","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500017&lang=pt" 
"S0038-23532015000500014-sza","Revealing the social face of innovation","Hart, Tim G.B., Ramoroka, Kgabo H., Jacobs, Peter T., Letty, Brigid A.","South African Journal of Science; 111(9-10); 01-06","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500014&lang=pt" 
"S0038-23532015000500015-sza","Sectoral electricity elasticities in South Africa: Before and after the supply crisis of 2008","Blignaut, James, Inglesi-Lotz, Roula, Weideman, Jaco P.","South African Journal of Science; 111(9-10); 01-07","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500015&lang=pt" 
"S0038-23532015000500006-sza","A new star rising: Biology and mortuary behaviour of Homo naledi","Randoiph-Quinney, Patrick S.","South African Journal of Science; 111(9-10); 01-04","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500006&lang=pt" 
"S0038-23532015000500007-sza","A review of carbon dioxide as a refrigerant in refrigeration technology","Maina, Paul, Huan, Zhongjie","South African Journal of Science; 111(9-10); 01-10","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500007&lang=pt" 
"S0038-23532015000500016-sza","The time to degree or dropout amongst full-time master&#039;s students at University of KwaZulu-Natal","Zewotir, Temesgen, North, Delia, Murray, Mike","South African Journal of Science; 111(9-10); 01-06","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500016&lang=pt" 
"S0038-23532015000500020-sza","Digital terrain model height estimation using support vector machine regression","Okwuashi, Onuwa, Ndehedehe, Christopher","South African Journal of Science; 111(9-10); 01-05","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500020&lang=pt" 
"S0038-23532015000500021-sza","Modelling of extreme minimum rainfall using generalised extreme value distribution for Zimbabwe","Chikobvu, Delson, Chifurira, Retius","South African Journal of Science; 111(9-10); 01-08","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500021&lang=pt" 
"S0038-23532015000500004-sza","An assessment of eight African universities: Contradictory functions, knowledge production and pacts","Hayward, Fred M.","South African Journal of Science; 111(9-10); 01-04","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500004&lang=pt" 
"S0038-23532015000500001-sza","What does &#039;science&#039; mean in the title South African Journal of Science?","Butler–Adam, John","South African Journal of Science; 111(9-10); 01-01","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500001&lang=pt" 
"S0038-23532015000500002-sza","Mirror, mirror: The science","Edwards, Iain","South African Journal of Science; 111(9-10); 01-02","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500002&lang=pt" 
"S0038-23532015000500003-sza","For the love of insects","Samways, Michael J.","South African Journal of Science; 111(9-10); 01-02","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000500003&lang=pt" 
"S1807-25772015000500299-scl","Avaliação da percepção pessoal em relação à condição de halitose e confirmação clínica","Leandrin, Thais Pirágine, Boeck, Eloisa Marcantonio, Ricci, Hérica Adad, Andrade, Marcelo Ferrarezi, Cerqueira-Leite, Jaqueline Braga Barbosa","Revista de Odontologia da UNESP; 44(5); 299-304","Revista de Odontologia da UNESP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-25772015000500299&lang=pt" 
"S1807-25772015000500292-scl","Caracterização da saúde bucal de indivíduos renais crônicos aptos a transplante","Lacerda, Maria Carolina Santa Rita, Viana, Kelly de Brito, Dores, Deivy Ferreira, Bessa-Nogueira, Ricardo Viana, Ribeiro, Camila Maria Beder","Revista de Odontologia da UNESP; 44(5); 292-298","Revista de Odontologia da UNESP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-25772015000500292&lang=pt" 
"S1807-25772015000500285-scl","Oral health education in school: parents&#039; attitudes and prevalence of caries in children","Garbin, Cléa Adas Saliba, Soares, Gabriella Barreto, Dócusse, Fábia Regina Moraes, Garbin, Artênio José Ísper, Arcieri, Renato Moreira","Revista de Odontologia da UNESP; 44(5); 285-291","Revista de Odontologia da UNESP","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-25772015000500285&lang=pt" 
"S1807-25772015000500280-scl","Anomalias dentárias de número em pacientes ortodônticos","Torres, Priscila Ferreira, Simplício, Alexandre Henrique de Melo, Luz, Allana Rodrigues César Araújo, Lima, Marina de Deus Moura de, Moura, Lúcia de Fátima Almeida de Deus, Moura, Marcoeli Silva de","Revista de Odontologia da UNESP; 44(5); 280-284","Revista de Odontologia da UNESP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-25772015000500280&lang=pt" 
"S1415-52732015000500555-scl","Insegurança alimentar e sua associação com consumo de alimentos regionais brasileiros","COELHO, Stefanie Eugênia dos Anjos Campos, GUBERT, Muriel Bauermann","Revista de Nutrição; 28(5); 555-567","Revista de Nutrição","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015000500555&lang=pt" 
"S1413-70542015000500463-scl","PERFORMANCE OF YIELD AND YIELD CONTRIBUTING CHARACTERISTICS OF BC2F3 POPULATION WITH ADDITION OF BLAST RESISTANT GENE","Hasan, Muhammad Mahmudul, Yusop, Mohd Rafii, Ismail, Mohd Razi, Mahmood, Maziah, Rahim, Harun Abdul, Latif, Mohammad Abdul","Ciência e Agrotecnologia; 39(5); 463-476","Ciência e Agrotecnologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542015000500463&lang=pt" 
"S1415-52732015000500505-scl","Resting energy expenditure adaptation after short-term caloric restriction in morbidly obese women","TRIFFONI-MELO, Andresa Toledo, SUEN, Vivian Marques Miguel, RESENDE, Cristina Maria Mendes, BRAGA, Camila Bitu Moreno, DIEZ-GARCIA, Rosa Wanda","Revista de Nutrição; 28(5); 505-511","Revista de Nutrição","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015000500505&lang=pt" 
"S1413-70542015000500443-scl","KARYOTYPE ALTERATIONS AFTER HYBRIDIZATION BETWEEN Pennisetum purpureum AND Pennisetum glaucum","Reis, Gabriela Barreto dos, Andrade-Vieira, Larissa Fonseca, Campos, José Marcello Salabert de, Pereira, Antonio Vander, Davide, Lisete Chamma","Ciência e Agrotecnologia; 39(5); 443-454","Ciência e Agrotecnologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542015000500443&lang=pt" 
"S1413-70542015000500498-scl","FACTORS AFFECTING PREGNANCY RATES AFTER OVUM PICK UP-DERIVED EMBRYO TRANSFER IN LACTATING HOLSTEIN RECIPIENTS UNDER TROPICAL CONDITIONS","Pinto, Tássia Louregiani Carvalho, Nogueira, Marina Bottrel Reis, Sales, José Nélio de Sousa, Carvalho, Rafaela Rodrigues de, Cushman, Robert Andrew, Souza, José Camisão de","Ciência e Agrotecnologia; 39(5); 498-505","Ciência e Agrotecnologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542015000500498&lang=pt" 
"S1415-52732015000500475-scl","Altura do joelho como medida alternativa confiável na avaliação nutricional de idosos","CLOSS, Vera Elizabeth, FEOLI, Ana Maria Pandolfo, SCHWANKE, Carla Helena Augustin","Revista de Nutrição; 28(5); 475-484","Revista de Nutrição","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015000500475&lang=pt" 
"S1415-52732015000500533-scl","Consumo habitual de alimentos fonte de vitamina A em pré-escolares da zona rural no Norte de Minas Gerais","FARIAS, Paula Karoline Soares, SILVA, Vanessa Santos, SILVEIRA, Marise Fagundes, CALDEIRA, Antônio Prates, PINHO, Lucinéia de","Revista de Nutrição; 28(5); 533-542","Revista de Nutrição","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015000500533&lang=pt" 
"S1413-70542015000500477-scl","SOIL VARIABILITY IN DIFFERENT LANDSCAPE POSITIONS IN THE PORTO ALEGRE BOTANICAL GARDEN, SOUTHERN BRAZIL","Silva, Luís Fernando da, Nascimento, Paulo César do, Inda, Alberto Vasconcellos, Silva, Edsleine Ribeiro","Ciência e Agrotecnologia; 39(5); 477-487","Ciência e Agrotecnologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542015000500477&lang=pt" 
"S1413-70542015000500506-scl","SENSORY ASPECTS AND REDUCTION OF Salmonella IN IRRADIATED EGG POWDER","Froehlich, Ângela, Franco, Bernadette Dora Gombossy de Melo, Destro, Maria Teresa, Landgraf, Mariza","Ciência e Agrotecnologia; 39(5); 506-513","Ciência e Agrotecnologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542015000500506&lang=pt" 
"S1413-70542015000500423-scl","CHARACTERIZATION AND CLASSIFICATION OF FLOODPLAIN SOILS IN THE PORTO ALEGRE METROPOLITAN REGION, RS, BRAZIL","Silva Neto, Luís de França da, Inda, Alberto Vasconcellos, Nascimento, Paulo César Do, Giasson, Elvio, Schmitt, Catiline, Curi, Nilton","Ciência e Agrotecnologia; 39(5); 423-434","Ciência e Agrotecnologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542015000500423&lang=pt" 
"S1415-52732015000500497-scl","Gasto energético e medidas antropométricas de novas usuárias do contraceptivo injetável trimestral de acetato de medroxiprogesterona de depósito","SANTOS, Priscilla de Nazaré Silva dos, SIDER, Marina, MODESTO, Waleska Oliveira, BAHAMONDES, Maria Valeria, BAHAMONDES, Luis, FERNANDES, Arlete","Revista de Nutrição; 28(5); 497-504","Revista de Nutrição","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015000500497&lang=pt" 
"S1415-52732015000500513-scl","Development of a Healthy Eating Index for patients with type 2 diabetes","ANTONIO, Juliana Peçanha, SILVA, Flávia Moraes, CAMEY, Suzi Alves, AZEVEDO, Mirela Jobim de, ALMEIDA, Jussara Carnevale de","Revista de Nutrição; 28(5); 513-522","Revista de Nutrição","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015000500513&lang=pt" 
"S1413-70542015000500455-scl","MICROMORPHOLOGY AND PEDOGENESIS OF MOUNTAINOUS INCEPTISOLS IN THE MANTIQUEIRA RANGE (MG)","Pinto, Leandro Campos, Zinn, Yuri Lopes, Mello, Carlos Rogério de, Owens, Phillip Ray, Norton, Lloyd Darrell, Curi, Nilton","Ciência e Agrotecnologia; 39(5); 455-462","Ciência e Agrotecnologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542015000500455&lang=pt" 
"S1415-52732015000500465-scl","Composição corporal de jovens e idosas eutróficas e com sobrepeso avaliada pelo método óxido de deutério e diferentes equações antropométricas","CARNEIRO, José Ailton Oliveira, VILAÇA, Karla Helena Coelho, PFRIMER, Karina, FERRIOLLI, Eduardo","Revista de Nutrição; 28(5); 465-473","Revista de Nutrição","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015000500465&lang=pt" 
"S1413-70542015000500523-scl","YACON INULIN LEACHING DURING HOT WATER BLANCHING","Scher, Caroline Fenner, Brandelli, Adriano, Noreña, Caciano Zapata","Ciência e Agrotecnologia; 39(5); 523-529","Ciência e Agrotecnologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542015000500523&lang=pt" 
"S1415-52732015000500543-scl","Ultra-processed foods: Consumption among children at day-care centers and their classification according to Traffic Light Labelling system","LONGO-SILVA, Giovana, TOLONI, Maysa Helena de Aguiar, MENEZES, Risia Cristina Egito de, ASAKURA, Leiko, OLIVEIRA, Maria Alice Araújo, TADDEI, José Augusto de Aguiar Carrazedo","Revista de Nutrição; 28(5); 543-553","Revista de Nutrição","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015000500543&lang=pt" 
"S1413-70542015000500488-scl","TIME REDUCTION FOR SURINAM GRASS SEED GERMINATION TEST","Tomaz, Camila de Aquino, Martins, Cibele Chalita, Sanches, Mauricio Feis Ganz, Vieira, Roberval Daiton","Ciência e Agrotecnologia; 39(5); 488-497","Ciência e Agrotecnologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542015000500488&lang=pt" 
"S1413-70542015000500435-scl","In vivo HAPLOID INDUCTION AND EFFICIENCY OF TWO CHROMOSOME DUPLICATION PROTOCOLS IN TROPICAL MAIZE","Couto, Evellyn Giselly de Oliveira, Pinho, Édila Vilela de Resende Von, Pinho, Renzo Garcia Von, Veiga, Adriano Delly, Bustamante, Fernanda de Oliveira, Dias, Kaio Olimpio das Graças","Ciência e Agrotecnologia; 39(5); 435-442","Ciência e Agrotecnologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542015000500435&lang=pt" 
"S0103-84782015011100002-scl","Artigo traz revisão de mecanismos inovadores para evitar os principais problemas clínicos encontrados em bovinos derivados de produção in vitro","Bressan, Fabiana","Ciência Rural; 45(10); 2-2","Ciência Rural","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015011100002&lang=pt" 
"S0103-84782015011100001-scl","Estudo utiliza técnica de análise multivariada e imagem digital para estimar a gordura intramuscular da carne bovina","Mello, Renius de Oliveira","Ciência Rural; 45(10); 1-1","Ciência Rural","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782015011100001&lang=pt" 
"S0100-72032015001000467-scl","Avaliação da ministração de corticosteroides em situações de suspeita de parto pré-termo iminente: um estudo de coorte retrospectivo em um centro terciário","Pinto, Pedro Filipe Viana Ferreira, Ferraz, Tiago José Santos Matos, Ramalho, Carla Maria Almeida, Montenegro, Nuno Aires Mota de Mendonça","Revista Brasileira de Ginecologia e Obstetrícia; 37(10); 467-472","Revista Brasileira de Ginecologia e Obstetrícia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032015001000467&lang=pt" 
"S1415-52732015000500485-scl","Diferenças entre sexos nos determinantes da obesidade abdominal em adultos de 40 anos ou mais: estudo de base populacional","SIQUEIRA, Daniele Gonzales Bronzatti, SOUZA, Regina Kazue Tanno de, MESAS, Arthur Eumann, SANTOS, Hellen Geremias dos, BORTOLETTO, Maira Sayuri Sakai","Revista de Nutrição; 28(5); 485-496","Revista de Nutrição","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015000500485&lang=pt" 
"S1415-52732015000500523-scl","Consumo alimentar de crianças de 12 a 30 meses que frequentam Centros Municipais de Educação Infantil no município de Colombo, Sul do Brasil","INOUE, Denise Yukari, OSÓRIO, Mônica Maria, TACONELI, César Augusto, SCHMIDT, Suely Teresinha, ALMEIDA, Claudia Choma Bettega","Revista de Nutrição; 28(5); 523-532","Revista de Nutrição","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015000500523&lang=pt" 
"S1413-70542015000500514-scl","TAPIOCA AND RICE FLOUR COOKIES: TECHNOLOGICAL, NUTRITIONAL AND SENSORY PROPERTIES","Montes, Simone de Souza, Rodrigues, Laís Maciel, Cardoso, Ryzia de Cássia Vieira, Camilloto, Geany Peruch, Cruz, Renato Souza","Ciência e Agrotecnologia; 39(5); 514-522","Ciência e Agrotecnologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542015000500514&lang=pt" 
"S0100-72032015001000455-scl","Relação entre a contagem de eritroblastos no sangue do cordão umbilical e os resultados obstétricos e neonatais em fetos pequenos para a idade gestacional e com Doppler de artéria umbilical normal","Mendes, Renata Franco Pimentel, Martinelli, Silvio, Bittar, Roberto Eduardo, Francisco, Rossana Pulcineli Vieira, Zugaib, Marcelo","Revista Brasileira de Ginecologia e Obstetrícia; 37(10); 455-459","Revista Brasileira de Ginecologia e Obstetrícia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032015001000455&lang=pt" 
