"S0102-311X2003000400008-scl","Debate sobre o artigo de Maria Andréa Loyola","Estellita-Lins, Carlos Eduardo","Cadernos de Saúde Pública; 19(4); 892-893","Cadernos de Saúde Pública","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400008&lang=pt" 
"S0101-73302003000200013-scl","A sociologia da educação na França: um percurso produtivo","Vasconcellos, Maria Drosila","Educação &amp; Sociedade; 24(83); 553-573","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200013&lang=pt" 
"S1677-04202003000200008-scl","Purification and partial characterization of a lectin from Caesalpinia tinctoria Domb, ex Dc fruits","Oliveira, Marli Lourdes de, Beltramini, Leila Maria, Simone, Salvatore Giovanni de, Brumano, Maria Helena Nasser, Silva-Lucca, Rosemeire Aparecida, Nakaema, Marcelo Kiyoshi Kian, Pires, Christiano Vieira, Oliveira, Maria Goreti de Almeida","Brazilian Journal of Plant Physiology; 15(2); 119-122","Brazilian Journal of Plant Physiology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202003000200008&lang=pt" 
"S1677-04202003000200007-scl","Osmotic adjustment in roots and leaves of two sorghum genotypes under NaCl stress","Lacerda, Claudivan Feitosa de, Cambraia, José, Oliva, Marco Antonio, Ruiz, Hugo Alberto","Brazilian Journal of Plant Physiology; 15(2); 113-118","Brazilian Journal of Plant Physiology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202003000200007&lang=pt" 
"S1677-04202003000200005-scl","Physiological responses of NaCl stressed cowpea plants grown in nutrient solution supplemented with CaCl2","Silva, José Vieira, Lacerda, Claudivan Feitosa de, Costa, Paulo Henrique Alves da, Enéas Filho, Joaquim, Gomes Filho, Enéas, Prisco, José Tarquínio","Brazilian Journal of Plant Physiology; 15(2); 99-105","Brazilian Journal of Plant Physiology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202003000200005&lang=pt" 
"S0100-19652003000200001-scl","","Amaral, Roberto","Ciência da Informação; 32(2); 5-5","Ciência da Informação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652003000200001&lang=pt" 
"S0100-19652003000200014-scl","","Lara, Marilda Lopes Ginez de","Ciência da Informação; 32(2); 136-137","Ciência da Informação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652003000200014&lang=pt" 
"S1677-04202003000200006-scl","Endogenous auxin and cytokinin contents associated with shoot formation in leaves of pineapple cultured in vitro","Mercier, Helenice, Souza, Beatriz Maia, Kraus, Jane Elizabeth, Hamasaki, Regina Mayumi, Sotta, Bruno","Brazilian Journal of Plant Physiology; 15(2); 107-112","Brazilian Journal of Plant Physiology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202003000200006&lang=pt" 
"S1677-04202003000200001-scl","Plant BiP gene family: differential expression, stress induction and protective role against physiological stresses","Carolino, Sonia Madali Boseja, Vaez, Juliana Rocha, Irsigler, André Southernman Teixeira, Valente, Maria Anete S., Rodrigues, Leonardo Augusto Zebral, Fontes, Elizabeth Pacheco Batista","Brazilian Journal of Plant Physiology; 15(2); 59-66","Brazilian Journal of Plant Physiology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202003000200001&lang=pt" 
"S1677-04202003000200002-scl","Plant insulin or glucokinin: a conflicting issue","Xavier-Filho, José, Oliveira, Antônia Elenir A., Silva, Luciana Belarmindo da, Azevedo, Cassiana Rocha, Venâncio, Thiago Motta, Machado, Olga Lima T., Oliva, Maria Luiza, Fernandes, Kátia Valevski S., Xavier-Neto, José","Brazilian Journal of Plant Physiology; 15(2); 67-78","Brazilian Journal of Plant Physiology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202003000200002&lang=pt" 
"S1677-04202003000200004-scl","High temperature effects on the response of photosynthesis to light in sweet orange plants infected with Xylella fastidiosa","Ribeiro, Rafael Vasconcelos, Machado, Eduardo Caruso, Oliveira, Ricardo Ferraz de, Pimentel, Carlos","Brazilian Journal of Plant Physiology; 15(2); 89-97","Brazilian Journal of Plant Physiology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202003000200004&lang=pt" 
"S0100-19652003000200002-scl","Organização de unidades de conhecimento em hiperdocumentos: o modelo conceitual como espaço comunicacional para a realização da autoria","Campos, Maria Luiza de Almeida, Souza, Rosali Fernandez de, Campos, Maria Luiza Machado","Ciência da Informação; 32(2); 7-16","Ciência da Informação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652003000200002&lang=pt" 
"S0100-19652003000200003-scl","Bases de dados de informação para negócios no Brasil","Cendón, Beatriz Valadares","Ciência da Informação; 32(2); 17-36","Ciência da Informação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652003000200003&lang=pt" 
"S0100-19652003000200005-scl","Impacto dos periódicos eletrônicos em bibliotecas universitárias","Cruz, Angelo Antonio Alves Correa da, Battaglia, Beatriz Bergonzoni, Oliveira, Érica Beatriz Pinto Moreschi de, Gabriel, Maria Aparecida, Ferreira, Rita de Cássia Santos, Prati, Suely Cafazzi","Ciência da Informação; 32(2); 47-53","Ciência da Informação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652003000200005&lang=pt" 
"S0100-19652003000200006-scl","Protección tecnológica y contractual de las obras con derecho de autor: ¿Hacia una privatización del acceso a la información?","Fernández-Molina, J. Carlos","Ciência da Informação; 32(2); 54-63","Ciência da Informação","Espanhol","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652003000200006&lang=pt" 
"S0100-19652003000200008-scl","Disseminação de informações estatísticas no Brasil: práticas e políticas das agências estaduais de estatística","Gracioso, Luciana de Souza","Ciência da Informação; 32(2); 69-76","Ciência da Informação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652003000200008&lang=pt" 
"S0100-19652003000200009-scl","Desafios da sociedade do conhecimento e gestão de pessoas em sistemas de informação","Pestana, Maria Cláudia, Pires, Pedra Margarete de Siqueira Guidil, Funaro, Vânia Martins Bueno de Oliveira, Utuyama, Assako Sumiyasu, Pacheco, Floripes de Moura, Guimarães, Teresa Beatriz Nunes","Ciência da Informação; 32(2); 77-84","Ciência da Informação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652003000200009&lang=pt" 
"S0100-19652003000200010-scl","Gerenciando processos de serviços em bibliotecas","Santos, Luciano Costa, Fachin, Gleisy Regina Bóries, Varvakis, Gregorio","Ciência da Informação; 32(2); 85-94","Ciência da Informação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652003000200010&lang=pt" 
"S0100-19652003000200011-scl","El concepto de metadato: algo más que descripción de recursos electrónicos","Senso, José A., Rosa Piñero, Antonio de la","Ciência da Informação; 32(2); 95-106","Ciência da Informação","Espanhol","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652003000200011&lang=pt" 
"S0100-19652003000200012-scl","Motivações e fatores críticos de sucesso para o planejamento de sistemas interorganizacionais na sociedade da informação","Silveira, Henrique Flávio Rodrigues da","Ciência da Informação; 32(2); 107-124","Ciência da Informação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652003000200012&lang=pt" 
"S1677-04202003000200003-scl","CO2 assimilation, photosynthetic light response curves, and water relations of &#039;Pêra&#039; sweet orange plants infected with Xylella fastidiosa","Habermann, Gustavo, Machado, Eduardo Caruso, Rodrigues, João Domingos, Medina, Camilo Lázaro","Brazilian Journal of Plant Physiology; 15(2); 79-87","Brazilian Journal of Plant Physiology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-04202003000200003&lang=pt" 
"S0100-19652003000200013-scl","&quot;Lugar do lixo é no lixo&quot;: estudo de assimilação da informação","Tavares, Carla, Freire, Isa Maria","Ciência da Informação; 32(2); 125-135","Ciência da Informação","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19652003000200013&lang=pt" 
"S0101-73302003000200002-scl","Apresentação","Zuin, Antonio A. S., Pucci, Bruno, Ramos-de-Oliveira, Newton","Educação &amp; Sociedade; 24(83); 375-375","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200002&lang=pt" 
"S0101-73302003000200001-scl","Contemporaneidade de adorno na educação: 100 anos do seu nascimento","","Educação &amp; Sociedade; 24(83); 369-371","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200001&lang=pt" 
"S0101-73302003000200009-scl","Adorno e a educação musical pelo rádio","Carone, Iray","Educação &amp; Sociedade; 24(83); 477-493","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200009&lang=pt" 
"S0101-73302003000200007-scl","Esquematismo e semiformação","Duarte, Rodrigo","Educação &amp; Sociedade; 24(83); 441-4557","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200007&lang=pt" 
"S0100-39842003000400002-scl","Qual o seu diagnótico?","Ramos Filho, Artur Orlando A., Rolim, Cresio Flores, Garcia, Regiany Alessandra, Vieira, Thiago Dieb Ristum, Tannuri, Uenis, Pirolla, Eduardo Henrique, Mitteldorf, Cristina A.T.S., Menezes, Marcos Roberto de, Albertotti, Cézar José, Figueiredo, Marco Antônio Junqueira, Cerri, Giovanni Guido","Radiologia Brasileira; 36(4); v-vii","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400002&lang=pt" 
"S0100-39842003000400001-scl","Segmentação hepática de Couinaud: além dos olhos do radiologista","Machado, Márcio Martins","Radiologia Brasileira; 36(4); iii-iv","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400001&lang=pt" 
"S0100-39842003000400014-scl","","","Radiologia Brasileira; 36(4); 206-206","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400014&lang=pt" 
"S0100-39842003000400008-scl","Carcinoma espinocelular de gengiva: análise das imagens de sete casos","Souza, Ricardo Pires de, Moreira, Paulo de Tarso Barbosa, Paes Junior, Ademar José de Oliveira, Pacheco Neto, Mario C., Soares, Aldemir Humberto, Rapoport, Abrão","Radiologia Brasileira; 36(4); 225-227","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400008&lang=pt" 
"S0100-39842003000400019-scl","","","Radiologia Brasileira; 36(4); 254-254","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400019&lang=pt" 
"S0100-39842003000400020-scl","","","Radiologia Brasileira; 36(4); 258-258","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400020&lang=pt" 
"S0100-39842003000400010-scl","A ecografia no diagnóstico das lesões músculo-tendinosas do ombro","Zorzetto, Arquimedes Artur, Urban, Linei Augusta Brolini Dellê, Liu, Christian Bark, Prevedello, Luciano, Zapparoli, Mauricio, Vitola, Maria Luiza Amalfi, Awamura, Yumi, Pedro, Mônica Simeão, Nascimento, Alessandra Bettega","Radiologia Brasileira; 36(4); 237-242","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400010&lang=pt" 
"S0100-39842003000400017-scl","","","Radiologia Brasileira; 36(4); 236-236","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400017&lang=pt" 
"S0100-39842003000400018-scl","","","Radiologia Brasileira; 36(4); 250-250","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400018&lang=pt" 
"S0100-39842003000400013-scl","Cisticercose intramedular: relato de caso e revisão da literatura","Yamashita, Seizo, Mesquita, Marcus Vinicius de Godoy Bueno Caldas, Machado, Joana Cruz Marangon, Miranda, André Henrique, Morceli, José","Radiologia Brasileira; 36(4); 255-257","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400013&lang=pt" 
"S0100-39842003000400015-scl","","","Radiologia Brasileira; 36(4); 212-212","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400015&lang=pt" 
"S0100-39842003000400016-scl","","","Radiologia Brasileira; 36(4); 228-228","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400016&lang=pt" 
"S0100-39842003000400012-scl","Actinomicose cutânea primária do pé simulando neoplasia de partes moles: relato de caso","Vieira, Renata La Rocca, Meirelles, Gustavo de Souza Portes, Turrini, Elizabete, Yamashita, Jane, Oliveira, Héverton César de, Fernandes, Artur da Rocha Corrêa","Radiologia Brasileira; 36(4); 251-253","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400012&lang=pt" 
"S0101-73302003000200011-scl","Elites acadêmicas e escolarização dos filhos","Brandão, Zaia, Lellis, Isabel","Educação &amp; Sociedade; 24(83); 509-526","Educação &amp; Sociedade","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302003000200011&lang=pt" 
"S0100-39842003000400004-scl","Calcificações hepáticas: freqüência e significado","Bezerra, Alexandre Sérgio de Araújo, D&#039;Ippolito, Giuseppe, Martelli, Pierpaolo, Pinto, Gustavo Alfredo Duarte Henrique, Galvão Filho, Mário Melo, Szejnfeld, Jacob","Radiologia Brasileira; 36(4); 199-205","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400004&lang=pt" 
"S0100-39842003000400005-scl","Aspectos ultra-sonográficos da neoplasia epitelial papilífera sólido-cística do pâncreas","Machado, Márcio Martins, Rosa, Ana Cláudia Ferreira, Barros, Nestor de, Machado, Marcel C.C., Azeredo, Letícia Martins, Cerri, Luciana Mendes de Oliveira, Mota, Orlando Milhomem da, Santana Filho, Jales Benevides, Campoli, Paulo Moacir de Oliveira, Cardoso, Daniela Medeiros Milhomem, Cerri, Giovanni Guido","Radiologia Brasileira; 36(4); 207-211","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400005&lang=pt" 
"S0100-39842003000400006-scl","Aspectos morfológicos e hemodinâmicos do baço em indivíduos normais: estudo por ultra-som Doppler","Jannini, Denise Said, Oliveira, Ilka Regina Souza de, Widman, Azzo, Ianhez, Luiz Estevam, Cerri, Giovanni Guido","Radiologia Brasileira; 36(4); 213-218","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400006&lang=pt" 
"S0100-39842003000400007-scl","Avaliação do ângulo ano-retal por meio de defecograma em voluntárias assintomáticas nulíparas e multíparas","Santos, José Eduardo Mourão, D&#039;Ippolito, Giuseppe, Leme, Lígia Maria, Sañudo, Adriana, Shigueoka, David Carlos, Szejnfeld, Jacob","Radiologia Brasileira; 36(4); 219-224","Radiologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842003000400007&lang=pt" 
"S0100-41582003000400002-scl","Decomposição dos restos culturais do milho e sobrevivência saprofítica de Stenocarpella macrospora e S. maydis","Casa, Ricardo T., Reis, Erlei M., Zambolim, Laércio","Fitopatologia Brasileira; 28(4); 355-361","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400002&lang=pt" 
"S0100-41582003000400003-scl","Caracterização de isolados de Ralstonia solanacearum obtidos de tomateiros em várzea e em terra firme, no Estado do Amazonas","Coelho Netto, Rosalee A., Pereira, Bianca G., Noda, Hiroshi, Boher, Bernard","Fitopatologia Brasileira; 28(4); 362-366","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400003&lang=pt" 
"S0100-41582003000400019-scl","Production of caffeine alkaloid by Claviceps sorghi","Bogo, Amauri, Mantle, Peter Gregory, Boff, Mari Inês C., Amarante, Cassandro V. T. do","Fitopatologia Brasileira; 28(4); 446-448","Fitopatologia Brasileira","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400019&lang=pt" 
"S0100-41582003000400018-scl","Estabelecimento de Pyrenophora chaetomioides em cariopses de aveia branca em condições de campo","Rosa, Carlos R. E. da, Martinelli, José A., Federizzi, Luiz C., Bocchese, Carla A. C.","Fitopatologia Brasileira; 28(4); 442-445","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400018&lang=pt" 
"S0100-41582003000400017-scl","Extratos vegetais com propriedades nematicidas e purificação do princípio ativo do extrato de Leucaena leucocephala","Cunha, Flávia R., Oliveira, Denilson F., Campos, Vicente P.","Fitopatologia Brasileira; 28(4); 438-441","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400017&lang=pt" 
"S0100-41582003000400016-scl","Avaliação de fungicidas para o controle de Colletotrichum gloeosporioides em cebola","Haddad, Fernando, Maffia, Luiz A., Mizubuti, Eduardo S. G.","Fitopatologia Brasileira; 28(4); 435-437","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400016&lang=pt" 
"S0100-41582003000400013-scl","Three new pathogens infecting antilles cherry in the State of Pará","Poltronieri, Luiz S., Duarte, Maria L. R., Alfenas, Acelino C., Trindade, Dinaldo R., Albuquerque, Fernando C.","Fitopatologia Brasileira; 28(4); 424-426","Fitopatologia Brasileira","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400013&lang=pt" 
"S0100-41582003000400010-scl","Hypocrea stromatica sp. nov. teleomorfo de Trichoderma stromaticum","Bezerra, José L., Costa, João C. B., Bastos, Cleber N., Faleiro, Fábio G.","Fitopatologia Brasileira; 28(4); 408-412","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400010&lang=pt" 
"S0100-41582003000400012-scl","Desenvolvimento de resistência múltipla a doenças em linhagens avançadas de algodoeiro","Cia, Edivaldo, Fuzatto, Milton G., Kondo, Julio Isao, Gridi-Papp, Imre L., Chiavegato, Ederaldo J., Pizzinatto, Maria A.","Fitopatologia Brasileira; 28(4); 420-423","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400012&lang=pt" 
"S0100-41582003000400014-scl","Detecção de Xylella fastidiosa em germoplasma de cafeeiro","Yorinori, Marcos A., Ribas, Alessandra F., Ueno, Bernardo, Massola Júnior, Nelson S., Leite Júnior, Rui P.","Fitopatologia Brasileira; 28(4); 427-430","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400014&lang=pt" 
"S0100-41582003000400015-scl","Imersão em água quente no controle pós-colheita da podridão branca em maçãs cv. Fuji","Lunardi, Rosangela, Sanhueza, Rosa M. V., Bender, Renar J.","Fitopatologia Brasileira; 28(4); 431-434","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000400015&lang=pt" 
"S0036-46652003000400018-scl","Clasificación Internacional de enfermedades para oncología","FRITZ, A., PERCY, C., JACK, A., SHANMUGARATNAM, K., SOBIN, L., PARKIN, D.M., WHELAN, S.","Revista do Instituto de Medicina Tropical de São Paulo; 45(4); 224-224","Revista do Instituto de Medicina Tropical de São Paulo","Espanhol","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652003000400018&lang=pt" 
"S0102-86502003000400013-scl","Análise macroscópica e histológica do emprego da poliuretana derivada do óleo de mamona (Ricinus communis) aplicada na tíbia de cães em fase de crescimento","Maria, Patricia Popak, Padilha Filho, João Guilherme, Castro, Márcio Botelho","Acta Cirurgica Brasileira; 18(4); 332-336","Acta Cirurgica Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502003000400013&lang=pt" 
"S0102-86502003000400012-scl","Viabilidade celular da mucosa do intestino delgado de ratos, após correção de choque hipovolêmico com solução de NaCl 7,5%","Brito, Marcus Vinicius Henriques, Nigro, Amaury José Texeira, Montero, Edna Frasson de Souza, Nascimento, José Luiz Martins do, Silva, Paula Roberta Ferreira da, Siqueira, Roberta Bianca Peres","Acta Cirurgica Brasileira; 18(4); 326-331","Acta Cirurgica Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502003000400012&lang=pt" 
"S0102-86502003000400010-scl","Avaliação da função renal de cães sob dois protocolos para administração da cisplatina","Martins, Marcos Russomano, Daleck, Carlos Roberto, Carvalho, Marileda Bonafim, Calado, Eraldo Barbosa, Ziliotto, Liane, Francisco, Manoel Marcelo da Silva","Acta Cirurgica Brasileira; 18(4); 314-319","Acta Cirurgica Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502003000400010&lang=pt" 
"S0102-86502003000400001-scl","Nova dinâmica redatorial para a Acta Cirúrgica Brasileira","Goldenberg, Saul, Figueiredo, Luiz Francisco Poli de, Cal, Ruy Guilherme Rodrigues","Acta Cirurgica Brasileira; 18(4); 262-262","Acta Cirurgica Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502003000400001&lang=pt" 
"S0102-86502003000400002-scl","A produtiva inter-relação entre a bioengenharia e a cirurgia experimental","Andrade, Aron José Pazin de","Acta Cirurgica Brasileira; 18(4); 263-265","Acta Cirurgica Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502003000400002&lang=pt" 
"S0102-86502003000400009-scl","Alterações metabólicas, in vivo, induzidas por oclusão carotídea bilateral, no sangue e tecido ocular de ratos Wistar","Oliveira, Eliane Silva de, Guimarães, Sérgio Botelho, Gadelha, Daniel Duarte, Araújo Filho, Anselmo Martins de, Vasconcelos, Paulo Roberto Leitão de","Acta Cirurgica Brasileira; 18(4); 308-313","Acta Cirurgica Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502003000400009&lang=pt" 
"S0102-86502003000400008-scl","Correção de defeito ósseo femural em cães utilizando implante cortical homólogo conservado em mel","Amendola, Gustavo Frassetto, Ilha, Márcia, Berger, Raquel, Stedile, Rafael, Schossler, João Eduardo","Acta Cirurgica Brasileira; 18(4); 302-307","Acta Cirurgica Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502003000400008&lang=pt" 
"S0102-86502003000400007-scl","Comparação entre pericárdio bovino preservado em glicerina e malha de poliéster no reparo de falhas da parede abdominal em ratos","Quitzan, Juliany Gomes, Rahal, Sheila Canevese, Rocha, Noeme Souza, Crocci, Adalberto José","Acta Cirurgica Brasileira; 18(4); 297-301","Acta Cirurgica Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502003000400007&lang=pt" 
"S0102-86502003000400011-scl","Uretroplastia de substituição com segmentos tubulares autólogos de mucosa bucal em cães","Paulo, Neusa Margarida, Rôlla, Adriana Braga Siqueira, Porto, Simone Moraes, Silva, Luciano Schneider da, Brito, George Alves de, Freitas, José de Sousa","Acta Cirurgica Brasileira; 18(4); 320-325","Acta Cirurgica Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502003000400011&lang=pt" 
"S0102-86502003000400015-scl","Varicocele e volume testicular em adolescentes e adultos jovens portadores de esquistossomose hepatoesplênica cirúrgica","Brandt, Frederico Teixeira, Albuquerque, Carla Daisy Costa, Brandt, Carlos Teixeira, Barbosa, Carolina Duarte","Acta Cirurgica Brasileira; 18(4); 342-346","Acta Cirurgica Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502003000400015&lang=pt" 
"S0102-86502003000400003-scl","Investigação do transplante heterólogo de quelóide na bolsa jugal do hamster (Mesocricetus auratus)","Hochman, Bernardo, Ferreira, Lydia Masako, Bôas, Flaviane Cássia Vilas, Mariano, Mario","Acta Cirurgica Brasileira; 18(4); 266-271","Acta Cirurgica Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502003000400003&lang=pt" 
"S0102-86502003000400006-scl","Efeitos da prótese de polipropileno colocada por inguinotomia no espaço pré-peritoneal, em cães: avaliação laparoscópica e microscópica","Melo, Robério Silva, Goldenberg, Alberto, Goldenberg, Saul, Leal, Antenor T., Magno, Alexandre","Acta Cirurgica Brasileira; 18(4); 289-296","Acta Cirurgica Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502003000400006&lang=pt" 
"S0102-86502003000400016-scl","Uso do propofol (2,6 diisopropilfenol) como inibidor da lesão tecidual na isquemia e reperfusão mesentérica: estudo experimental em ratos","Santos, Carlos Henrique Marques dos, Gomes, Otoni Moreira, Pontes, José Carlos Dorsa Vieira, Miiji, Luciana Nakao Odashiro, Higa, Eric Iasuji","Acta Cirurgica Brasileira; 18(4); 347-354","Acta Cirurgica Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502003000400016&lang=pt" 
"S0102-86502003000400017-scl","Microsurgical techniques for experimental kidney transplantation and general guidelines to establish studies about transplantation immunology","Martins, Paulo Ney Aguiar, Filatenkov, Alexander","Acta Cirurgica Brasileira; 18(4); 355-380","Acta Cirurgica Brasileira","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502003000400017&lang=pt" 
"S0102-86502003000400014-scl","Influência da abordagem cirúrgica (videolaparoscopia versus laparotomia) na gestação de coelhas prenhes","Rosa Junior, Arlino, Trindade, Manoel Roberto Maciel, Shemes, Tatiana Fontana, Tavares, Wolnei Correa","Acta Cirurgica Brasileira; 18(4); 337-341","Acta Cirurgica Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502003000400014&lang=pt" 
"S0102-86502003000400004-scl","Striatal injection of 6-hydroxydopamine induces retrograde degeneration and glial activation in the nigrostriatal pathway","Rodrigues, Ricardo Wilson Pinho, Gomide, Vânia Canterucci, Chadi, Gerson","Acta Cirurgica Brasileira; 18(4); 272-282","Acta Cirurgica Brasileira","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502003000400004&lang=pt" 
"S0102-86502003000400005-scl","Effects of alpha-tocopherol on bacterial translocation and lipid peroxidation in rats with intestinal obstruction","Schanaider, Alberto, Castro, Leonaldson dos Santos, Madi, Kalil","Acta Cirurgica Brasileira; 18(4); 283-288","Acta Cirurgica Brasileira","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502003000400005&lang=pt" 
"S0100-69912003000400013-scl","Gastrinoma primáro de fígado","Valezi, Antônio Carlos, Vartanian, José Guilherme","Revista do Colégio Brasileiro de Cirurgiões; 30(4); 322-324","Revista do Colégio Brasileiro de Cirurgiões","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912003000400013&lang=pt" 
