"S0718-33052006000100010-chl","TRANSFORMATIONAL AND TRANSACTIONAL LEADERSHIP: A STUDY OF THEIR INFLUENCE IN SMALL COMPANIES","Pedraja-Rejas, Liliana, Rodríguez-Ponce, Emilio, Delgado-Almonte, Milagros, Rodríguez-Ponce, Juan","Ingeniare. Revista chilena de ingeniería; 14(2); 159-166","Ingeniare. Revista chilena de ingeniería","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052006000100010&lang=pt" 
"S1981-81222006000200013-scl","Origens pluriétnicas no cotidiano da pesca na Amazônia: contribuições para projeto de estudo pluridisciplinar","Furtado, Lourdes Gonçalves","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 1(2); 159-172","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222006000200013&lang=pt" 
"S1981-81222006000200004-scl","Pescadoras de camarão: gênero, mobilização e sustentabilidade na ilha Trambioca, Barcarena, Pará","Simonian, Ligia Terezinha Lopes","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 1(2); 35-52","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222006000200004&lang=pt" 
"S0188-46112006000200001-mex","Editorial","","Investigaciones geográficas; (60); 5-6","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000200001&lang=pt" 
"S0188-46112006000200010-mex","Geografía Económica de México","García Ballesteros, Aurora","Investigaciones geográficas; (60); 159-161","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000200010&lang=pt" 
"S0188-46112006000200011-mex","Regionalización habitacional de la Ciudad de México","Delgado, Javier","Investigaciones geográficas; (60); 162-167","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000200011&lang=pt" 
"S0188-46112006000200012-mex","XVII Congreso Nacional de Geografía Acapulco 2006, Acapulco, Guerrero, 26-30 de marzo de 2006","Sánchez Crispín, Álvaro","Investigaciones geográficas; (60); 168-170","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000200012&lang=pt" 
"S0188-46112006000200013-mex","I Simposio Iberoamericano de Historia de la Cartografía. Imágenes y lenguajes cartográficos en las representaciones del espacio y del tiempo, Buenos Aires 20, 21 y 22 de abril de 2006","Troncoso, Claudia Alejandra","Investigaciones geográficas; (60); 171-174","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000200013&lang=pt" 
"S0188-46112006000200002-mex","Batimetría, sedimentos y ambientes de depósito en la laguna costera de Guásimas Sonora, México","Chávez López, Saúl, Álvarez Arellano, Alejandro D.","Investigaciones geográficas; (60); 7-21","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000200002&lang=pt" 
"S0188-46112006000200003-mex","Análisis territorial de la micro-cuenca y bahía del río Cacaluta, Santa María Huatulco, Oaxaca","Gómez Rojo, Verónica Rosalía, Domínguez Licona, Juan Manuel, González Hernández, Tomás David","Investigaciones geográficas; (60); 22-45","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000200003&lang=pt" 
"S0188-46112006000200004-mex","Caracterización de unidades biofísicas a partir de indicadores ambientales en Milpa Alta, Centro de México","Rodríguez Gamiño, María de Lourdes, López Blanco, Jorge","Investigaciones geográficas; (60); 46-61","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000200004&lang=pt" 
"S0188-46112006000200005-mex","Dinámica agroambiental en áreas periurbanas de México: Los casos de Guadalajara y Distrito Federal","Torres Lima, Pablo, Rodríguez Sánchez, Luis","Investigaciones geográficas; (60); 62-82","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000200005&lang=pt" 
"S0188-46112006000200006-mex","El crecimiento de los asentamientos irregulares en áreas protegidas. La delegación Tlalpan","Molla Ruíz-Gómez, Manuel","Investigaciones geográficas; (60); 83-109","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000200006&lang=pt" 
"S0188-46112006000200007-mex","Escenarios interpretativos: Tendencias en la transformación de espacios rurales y periféricos de la Zona Metropolitana de la Ciudad de Toluca","Orozco Hernández, María Estela","Investigaciones geográficas; (60); 110-126","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000200007&lang=pt" 
"S0188-46112006000200008-mex","Reestructuración urbano-regional y emigración de la Zona Metropolitana de la Ciudad de México","Pérez Campuzano, Enrique","Investigaciones geográficas; (60); 127-144","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000200008&lang=pt" 
"S0188-46112006000200009-mex","Los espacios del pueblo de indios tras el proceso de Congregación, 1550-1625","Fernández Christlieb, Federico, Urquijo Torres, Pedro Sergio","Investigaciones geográficas; (60); 145-158","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000200009&lang=pt" 
"S0188-46112006000300001-mex","Editorial","","Investigaciones geográficas; (61); 1-2","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000300001&lang=pt" 
"S0188-46112006000300011-mex","Acupuntura Urbana","Tarchópulos Sierra, Doris","Investigaciones geográficas; (61); 136-137","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000300011&lang=pt" 
"S0188-46112006000300012-mex","Sociedades locales y culturas en tránsito en el Caribe español","Pinzón Ríos, Guadalupe","Investigaciones geográficas; (61); 138-139","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000300012&lang=pt" 
"S0188-46112006000300013-mex","Atlas Universal y de México","Castañeda Rincón, Javier","Investigaciones geográficas; (61); 140-147","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000300013&lang=pt" 
"S0188-46112006000300014-mex","Agrimensura y cartografía en México 1720-1920: Exposición por Herbert J. Nickel en el vestíbulo del Instituto de Geografía, UNAM 13 de marzo al 7 de abril, 2006","Mendoza Vargas, Héctor","Investigaciones geográficas; (61); 148-150","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000300014&lang=pt" 
"S0188-46112006000300015-mex","El VIII Coloquio Internacional de Geocrítica: Geografía histórica e historia del territorio. Ciudad de México, 22-26 de mayo 2006","Mendoza Vargas, Héctor","Investigaciones geográficas; (61); 151-154","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000300015&lang=pt" 
"S0188-46112006000300002-mex","Formación y consolidación de las morfoestructuras septentrionales de la región central del archipiélago cubano y su geodinámica reciente","Magaz García, Antonio Rafael, Hernández Santana, José Ramón, Díaz Díaz, Jorge Luis, Hernández Guerrero, Idania","Investigaciones geográficas; (61); 7-23","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000300002&lang=pt" 
"S0188-46112006000300003-mex","Análisis cualitativo de la red hidrométrica actual del estado de Guerrero, México","Perevochtchikova, María, García Jiménez, Fermín","Investigaciones geográficas; (61); 24-37","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000300003&lang=pt" 
"S0188-46112006000300004-mex","Cambio de uso del suelo y vegetación en el Parque Nacional Nevado de Toluca, México, en el periodo 1972-2000","Franco Maass, Sergio, Regil García, Héctor Hugo, González Esquivel, Carlos, Nava Bernal, Gabino","Investigaciones geográficas; (61); 38-57","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000300004&lang=pt" 
"S0188-46112006000300005-mex","Desarrollo de un proyecto agrícola en la región marginal de la Patagonia Meridional Argentina: El caso de Gobernador Gregores","Cepparo de Grosso, María Eugenia","Investigaciones geográficas; (61); 58-74","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000300005&lang=pt" 
"S0188-46112006000300006-mex","Niveles de riesgo social frente a desastres naturales en la Riviera Mexicana","Juárez Gutiérrez, María del Carmen, Iñiguez Rojas, Luisa, Sánchez Celada, Miguel Ángel","Investigaciones geográficas; (61); 75-88","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000300006&lang=pt" 
"S0188-46112006000300007-mex","Tablero de Alicia: diseño conceptual para la gobernabilidad de la Zona Metropolitana del Valle de México","Rodríguez Rodríguez, Jesús, Guerrero, Ruth Miranda","Investigaciones geográficas; (61); 89-90","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000300007&lang=pt" 
"S0188-46112006000300008-mex","Redistritación electoral en México: logros pasados y retos futuros","López Levi, Liliana","Investigaciones geográficas; (61); 99-113","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000300008&lang=pt" 
"S0188-46112006000300009-mex","La globalización y el sector servicios en México","Coll-Hurtado, Atlántida, Córdoba y Ordóñez, Juan","Investigaciones geográficas; (61); 114-151","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000300009&lang=pt" 
"S0188-46112006000300010-mex","La geografía de los tiempos difíciles: escritura de viajes a Sur América durante los procesos de independencia 1780-1849","Busto Ibarra, Karina","Investigaciones geográficas; (61); 132-135","Investigaciones geográficas","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112006000300010&lang=pt" 
"S1851-16942006000100001-arg","A Roberto Cardoso de Oliveira: 1928-2006","","Avá; (9); 7-8","Avá","Espanhol","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-16942006000100001&lang=pt" 
"S1851-16942006000100002-arg","Liderazgos guaraníes: breve revisión histórica y nuevas notas sobre la cuestión","Gorosito Kramer, Ana María","Avá; (9); 11-27","Avá","Espanhol","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-16942006000100002&lang=pt" 
"S1851-16942006000100003-arg","Los laberintos de la identidad: procesos identitarios en las poblaciones indígenas","Bartolomé, Miguel A.","Avá; (9); 28-48","Avá","Espanhol","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-16942006000100003&lang=pt" 
"S1851-16942006000100004-arg","Y los niños, ¿por qué no?: algunas reflexiones sobre un trabajo de campo con niños","Milstein, Diana","Avá; (9); 49-59","Avá","Espanhol","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-16942006000100004&lang=pt" 
"S1851-16942006000100005-arg","Identidad individual y valores morales en la socialización de los futuros oficiales del ejército argentino","Badaró, Máximo","Avá; (9); 60-76","Avá","Espanhol","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-16942006000100005&lang=pt" 
"S1851-16942006000100006-arg","Formación de dirigentes, jerarquía y disciplina en organizaciones de desocupados del Gran Buenos Aires: un enfoque antropológico de los movimientos sociales","Manzano, Virginia","Avá; (9); 77-92","Avá","Espanhol","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-16942006000100006&lang=pt" 
"S1851-16942006000100007-arg","&quot;Acá es así&quot;: Hinchadas de fútbol, violencia y territorios","Zucal, José Garriga","Avá; (9); 93-107","Avá","Espanhol","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-16942006000100007&lang=pt" 
"S1851-16942006000100008-arg","Un análisis del circuito de donación surgido a partir de las &quot;publicaciones de la calle&quot; en la ciudad de Buenos Aires","Wilkis, Ariel","Avá; (9); 108-131","Avá","Espanhol","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-16942006000100008&lang=pt" 
"S1851-16942006000100009-arg","Pergamino, la inundación y sus versiones","Bartolomé, Mara Alejandra","Avá; (9); 132-146","Avá","Espanhol","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-16942006000100009&lang=pt" 
"S1851-16942006000100010-arg","","Schiavoni, Gabriela","Avá; (9); 149-154","Avá","Espanhol","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-16942006000100010&lang=pt" 
"S1851-16942006000100011-arg","","Malysse, Stéphane","Avá; (9); 155-159","Avá","Português","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-16942006000100011&lang=pt" 
"S1519-70772006000200003-scl","A controladoria e o capital intelectual: um estudo empírico sobre sua gestão","Antunes, Maria Thereza Pompa","Revista Contabilidade &amp; Finanças; 17(41); 21-37","Revista Contabilidade &amp; Finanças","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772006000200003&lang=pt" 
"S1519-70772006000200006-scl","Reação do mercado à alavancagem operacional: um estudo empírico no Brasil","Dantas, José Alves, Medeiros, Otávio Ribeiro de, Lustosa, Paulo Roberto B","Revista Contabilidade &amp; Finanças; 17(41); 72-86","Revista Contabilidade &amp; Finanças","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772006000200006&lang=pt" 
"S1851-82652006000200001-spa","Democracia, ciudadanía y políticas sociales","Fleury, Sonia","Salud Colectiva; 2(2); 109-112","Salud Colectiva","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652006000200001&lang=pt" 
"S1851-82652006000200002-spa","Epistemología y teoría del conocimiento","García, Rolando","Salud Colectiva; 2(2); 109-122","Salud Colectiva","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652006000200002&lang=pt" 
"S1851-82652006000200007-spa","Marco conceptual para la definición del desarrollo sustentable","Goñi, Ricardo, Goin, Francisco","Salud Colectiva; 2(2); 191-198","Salud Colectiva","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652006000200007&lang=pt" 
"S1851-82652006000200003-spa","Complejidad y transdisciplinariedad en el campo de la salud colectiva: evaluación de conceptos y aplicaciones","Almeida-Filho, Naomar","Salud Colectiva; 2(2); 123-146","Salud Colectiva","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652006000200003&lang=pt" 
"S1851-82652006000200004-spa","Educación permanente en salud: una estrategia para intervenir en la micropolítica del trabajo en salud","Merhy, Emerson Elias, Feuerwerker, Laura Camargo Macruz, Ceccim, Ricardo Burg","Salud Colectiva; 2(2); 147-160","Salud Colectiva","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652006000200004&lang=pt" 
"S1851-82652006000200005-spa","Pruebas genéticas predictivas y percepción de riesgos: apuntes para la comunicación pública de contenidos sobre biotecnología","Castiel, Luis David, Sanz Valero, Javier","Salud Colectiva; 2(2); 161-172","Salud Colectiva","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652006000200005&lang=pt" 
"S1851-82652006000200006-spa","Esterilizadas en nombre de la salud pública: raza, inmigración y control reproductivo en California en el siglo XX","Stern, Alexandra Minna","Salud Colectiva; 2(2); 173-189","Salud Colectiva","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652006000200006&lang=pt" 
"S1851-82652006000200008-spa","La descentralización de servicios de salud en Córdoba (Argentina): entre la confianza democrática y el desencanto neoliberal","Ase, Iván","Salud Colectiva; 2(2); 199-218","Salud Colectiva","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652006000200008&lang=pt" 
"S1561-31942006000200001-cub","Comportamiento del bajo peso al nacer","Curbelo Fajardo, Juan Carlos, Betancourt Luaces, Elizabeth, Lorenzo Velásquez, Berta M, Peinado Moreno, Maritza, Camero Machín, Julio Cesar","Revista de Ciencias Médicas de Pinar del Río; 10(2); 01-10","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942006000200001&lang=pt" 
"S1561-31942006000200002-cub","Nuevo modelo formativo. Impacto en la humanización de los servicios de enfermería","Torres García, Caridad, López Álvarez, Mercedes, Madera Díaz, José A","Revista de Ciencias Médicas de Pinar del Río; 10(2); 11-20","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942006000200002&lang=pt" 
"S1561-31942006000200003-cub","Desarrollo de la habilidad oral de inglés para estudiantes de enfermería y medicina","Marante Pozo, Esperanza, Candelaria Domínguez, Marilay, Gener Ramírez, Arelys Esther, Barrizonte Zayas, Liudmila","Revista de Ciencias Médicas de Pinar del Río; 10(2); 21-30","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942006000200003&lang=pt" 
"S1561-31942006000200004-cub","Motivación y orientación profesional en la especialidad de enfermería. Esencial en la humanización de los recursos","Ramírez Rodríguez, Maelis, Torres García, Caridad, Chávez Reyes, María Teresa, Martín Sánchez, Omar M, Cruz Reyes, Marcelina","Revista de Ciencias Médicas de Pinar del Río; 10(2); 31-40","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942006000200004&lang=pt" 
"S1561-31942006000200005-cub","Determinación de potenciales de riesgo de accidentes en el hogar","Rivero Plasencia, Xiomara, Cordero Miranda, Yoslaidy","Revista de Ciencias Médicas de Pinar del Río; 10(2); 41-50","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942006000200005&lang=pt" 
"S1135-57272006000400001-esp","La Revista Española de Salud Pública ingresa en el Social Science Citation Index de Thomson Scientific","Pérez Andrés, Cristina, Delgado López-Cózar, Emilio, Jiménez Contreras, Evaristo","Revista Española de Salud Pública; 80(4); 293-302","Revista Española de Salud Pública","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272006000400001&lang=pt" 
"S1870-39252006000200002-mex","Impactos de cambios exógenos de precios del sector energético en Nuevo León. Un análisis de insumo-producto","Fuentes, Noé Arón","Región y sociedad; 18(36); 37-67","Región y sociedad","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-39252006000200002&lang=pt" 
"S1870-39252006000200006-mex","La necesidad de formación de capacidades para la gestión del desarrollo rural territorial","Quispe Limaylla, Aníbal","Región y sociedad; 18(36); 177-194","Región y sociedad","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-39252006000200006&lang=pt" 
"S1870-39252006000200007-mex","Las elecciones en la Ciudad de México, 1376-2005","Rodríguez Camou, Eliseo, Gómez Anduro, Vladimir","Región y sociedad; 18(36); 195-206","Región y sociedad","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-39252006000200007&lang=pt" 
"S1870-39252006000200003-mex","La resistencia a la democracia deliberativa. Tensiones entre un gobierno de alternancia y la sociedad civil organizada. El caso del Parque Fundidora en Monterrey","Medellín Mendoza, Laura Nelly","Región y sociedad; 18(36); 71-105","Región y sociedad","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-39252006000200003&lang=pt" 
"S1870-39252006000200001-mex","El impacto de la iniciativa de inocuidad alimentaria de Estados Unidos en las exportaciones de hortalizas frescas del noroeste de México","Avendaño Ruiz, Belem Dolores, Schwentesius Rindermann, Rita, Lugo Morones, Sonia","Región y sociedad; 18(36); 07-36","Región y sociedad","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-39252006000200001&lang=pt" 
"S1870-39252006000200004-mex","Género, empoderamiento y movimientos sociales: la Unión Campesina Emiliano Zapata Vive, en la región Tepeaca-Tecamachalco, Puebla","Hernández Flores, José Álvaro, Martínez Corona, Beatriz","Región y sociedad; 18(36); 107-146","Región y sociedad","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-39252006000200004&lang=pt" 
"S1870-39252006000200005-mex","Conflicto y negociación por el agua del Nazas, 1888-1936: Del dominio público a la propiedad nacional","Romero Navarrete, Lourdes","Región y sociedad; 18(36); 147-176","Región y sociedad","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-39252006000200005&lang=pt" 
"S1405-92742006000200001-mex","Mujeres, trabajo y sindicatos en la globalización","Gabayet, Luisa","Desacatos; (21); 7-8","Desacatos","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742006000200001&lang=pt" 
"S1405-92742006000200008-mex","Modelos y regímenes de bienestar social en una perspectiva comparativa: Europa, Estados Unidos y América Latina","Navarro Ruvalcaba, Mario Alfredo","Desacatos; (21); 109-134","Desacatos","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742006000200008&lang=pt" 
"S1405-92742006000200009-mex","Ignorancia, conocimiento y poder: El corte de la madera, el tráfico ilegal y las políticas forestales en México","Mathews, Andrew S.","Desacatos; (21); 135-160","Desacatos","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742006000200009&lang=pt" 
"S2077-21612006000200005-bol","SÍNTOMA CONVERSIVO EN LA HISTERIA","Saldías A., Paula, Lora, María Elena","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP; 4(2); 68-83","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP","Espanhol","2006","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-21612006000200005&lang=pt" 
"S2077-21612006000200001-bol","ESTRUCTURA FAMILIAR Y EPILEPSIA INFANTIL","Claros, Frida, Luizaga P., Cynthia","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP; 4(2); 1-17","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP","Espanhol","2006","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-21612006000200001&lang=pt" 
"S2077-21612006000200006-bol","EL DIAGNOSTICO DIFERENCIAL EN PSICOANÁLISIS","Urriolagoitia, Gabriela, Lora, María Elena","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP; 4(2); 84-107","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP","Espanhol","2006","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-21612006000200006&lang=pt" 
"S2077-21612006000200004-bol","USO DE LAS TÉCNICAS DE ESCALAMIENTO PARA LA DEFINICIÓN DEL CONCEPTO DE AMOR EN UN GRUPO DE MUJERES ESTUDIANTES DE PSICOLOGÍA","Pinto Tapia, Bismarck","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP; 4(2); 52-67","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP","Espanhol","2006","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-21612006000200004&lang=pt" 
"S2077-21612006000200002-bol","PREVENCIÓN DEL MALTRATO INFANTIL EN POBLACIONES RURALES DEL DEPARTAMENTO DE LA PAZ","Martínez, Oscar, Péres, Ximena","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP; 4(2); 18-30","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP","Espanhol","2006","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-21612006000200002&lang=pt" 
"S2077-21612006000200007-bol","ESTRUCTURA DE LA FAMILIA DE ORIGEN Y NUCLEAR EN VARONES QUE EJERCEN VIOLENCIA FÍSICA EN EL ÁMBITO CONYUGAL","Urzagasti S., Oscar A.","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP; 4(2); 108-122","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP","Espanhol","2006","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-21612006000200007&lang=pt" 
"S2077-21612006000200003-bol","ESTRUCTURA FAMILIAR Y DIABETES","Mendizábal, Orietta, Pinto, Bismarck","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP; 4(2); 31-51","Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP","Espanhol","2006","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-21612006000200003&lang=pt" 
"S1405-92742006000200014-mex","Resistencias de obreras y vendedoras callejeras en los albores de la industrialización mexicana","Mummert, Gail","Desacatos; (21); 192-194","Desacatos","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742006000200014&lang=pt" 
"S1405-92742006000200016-mex","Descifrando los códigos culturales en la tecnología contemporánea","Lezama Escalante, Cecilia","Desacatos; (21); 200-204","Desacatos","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742006000200016&lang=pt" 
"S1405-92742006000200010-mex","Historias de la maquila","","Desacatos; (21); 163-170","Desacatos","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742006000200010&lang=pt" 
"S1405-92742006000200011-mex","Brigitte Boehm Schondübe: In memoriam","Fábregas Puig, Andrés","Desacatos; (21); 172-176","Desacatos","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742006000200011&lang=pt" 
"S1405-92742006000200013-mex","Entre la tradición y la modernidad","O, María Eugenia de la","Desacatos; (21); 189-191","Desacatos","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742006000200013&lang=pt" 
"S1405-92742006000200012-mex","Luis González: Microhistoria e historia regional","Arias, Patricia","Desacatos; (21); 177-186","Desacatos","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742006000200012&lang=pt" 
"S1405-92742006000200002-mex","El sindicalismo en las maquiladoras: La persistencia de lo local en la globalización","Quintero Ramírez, Cirila","Desacatos; (21); 11-28","Desacatos","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742006000200002&lang=pt" 
"S1405-92742006000200015-mex","La vida del símbolo en la modernidad tardía","Torre, Renée de la","Desacatos; (21); 195-199","Desacatos","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742006000200015&lang=pt" 
"S1405-92742006000200007-mex","Una aproximación al conocimiento cultural de la diabetes mellitus tipo 2 en el occidente de México","García de Alba, Javier E., Salcedo, Ana L., López Coutiño, Berenice","Desacatos; (21); 97-108","Desacatos","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742006000200007&lang=pt" 
"S1405-92742006000200006-mex","Transnacionales, trabajo y género en México","O, María Eugenia de la","Desacatos; (21); 83-94","Desacatos","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742006000200006&lang=pt" 
