"S0718-58392014000200015-chl","Influence of breed and feeding on the main quality characteristics of sheep carcass and meat: A review","Ramírez-Retamal, Jorge, Morales, Rodrigo","Chilean journal of agricultural research; 74(2); 225-233","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000200015&lang=pt" 
"S1984-22012014000100049-scl","INTEGRAÇÃO DO MERCADO IMOBILIÁRIO E SEGUNDA RESIDÊNCIA – BRASIL METROPOLITANO","Arrais, Tadeu Alencar","Mercator (Fortaleza); 13(1); 49-62","Mercator (Fortaleza)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-22012014000100049&lang=pt" 
"S1984-22012014000100107-scl","TENDÊNCIA DE TEMPERATURA NA SUPERFÍCIE DO MAR NOS OCEANOS ATLÂNTICO E PACÍFICO E VARIABILIDADE DE PRECIPITAÇÃO EM PERNAMBUCO","Nóbrega, Ranyére Silva, Santiago, Gabriela Ayane Chagas Felipe","Mercator (Fortaleza); 13(1); 107-118","Mercator (Fortaleza)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-22012014000100107&lang=pt" 
"S1984-22012014000100019-scl","POLÍTICA NACIONAL DE DESENVOLVIMENTO REGIONAL E REPERCUSSÕES NO RIO GRANDE DO SUL","Cargnin, Antonio Paulo","Mercator (Fortaleza); 13(1); 19-35","Mercator (Fortaleza)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-22012014000100019&lang=pt" 
"S1984-22012014000100079-scl","ENCHENTES NO RIO GRANDE DO SUL DO SÉCULO XXI","Wollmann, Cássio Arthur","Mercator (Fortaleza); 13(1); 79-91","Mercator (Fortaleza)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-22012014000100079&lang=pt" 
"S1984-22012014000100093-scl","FRONTEIRA E CONSTRUÇÃO DO “OUTRO” concepções de alunos sobre povos indígenas","Nunes, Flaviana Gasparotti, Silva, Solange Rodrigues da","Mercator (Fortaleza); 13(1); 93-106","Mercator (Fortaleza)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-22012014000100093&lang=pt" 
"S1984-22012014000100007-scl","L’AMAZONIE BRESILIENNE, NOUVELLE INTERFACE MIGRATOIRE ENTRE LES CARAÏBES ET L’AMERIQUE DU SUD ?","Granger, Stéphane","Mercator (Fortaleza); 13(1); 7-17","Mercator (Fortaleza)","Francês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-22012014000100007&lang=pt" 
"S1984-22012014000100143-scl","O USO DE GEOTECNOLOGIAS EM SISTEMAS DE TRANSPORTE E ORGANIZAÇÃO URBANA NO BRASIL","Souza, Elizabeth Maria Feitosa da Rocha de, Cruz, Carla Bernadete Madureira, Richter, Monika","Mercator (Fortaleza); 13(1); 143-152","Mercator (Fortaleza)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-22012014000100143&lang=pt" 
"S2007-11322014000200007-mex","Especies vegetales en peligro, su distribución y estatus de conservación de los ecosistemas donde se presentan","Royo-Márquez, Mario Humberto, Melgoza-Castillo, Alicia, Quintana-Martínez, Gustavo","Revista mexicana de ciencias forestales; 5(22); 86-103","Revista mexicana de ciencias forestales","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322014000200007&lang=pt" 
"S2007-11322014000200006-mex","Efecto de los incendios en la estructura del sotobosque de un ecosistema templado","Alanís Rodríguez, Eduardo, Jiménez Pérez, Javier, González Tagle, Marco A., Treviño Garza, Eduardo J., Aguirre Calderón, Oscar A., Yerena Yamallel, José I., Mata Balderas, José M.","Revista mexicana de ciencias forestales; 5(22); 74-85","Revista mexicana de ciencias forestales","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322014000200006&lang=pt" 
"S2007-11322014000200005-mex","Calidad de planta producida en los viveros forestales de Nayarit","Rueda-Sánchez, Agustín, Benavides-Solorio, Juan de Dios, Saenz-Reyez, J. Trinidad, Muñoz Flores, Hipólito Jesús, Prieto-Ruiz, J. Ángel, Orozco Gutiérrez, Gabriela","Revista mexicana de ciencias forestales; 5(22); 58-73","Revista mexicana de ciencias forestales","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322014000200005&lang=pt" 
"S2007-11322014000200004-mex","Evaluación de dos módulos agroforestales con &quot;cultivo en callejones&quot; en la sierra purépecha, Michoacán","Muñoz Flores, H. Jesús, García Magaña, J. Jesús, Orozco Gutiérrez, Gabriela, Coria Ávalos, Víctor Manuel, Martínez Cruz, Ángel","Revista mexicana de ciencias forestales; 5(22); 40-57","Revista mexicana de ciencias forestales","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322014000200004&lang=pt" 
"S2007-11322014000200003-mex","Servicios ambientales de la vegetación en ecosistemas urbanos en el contexto del cambio climático","Pimienta-Barrios, Eulogio, Robles-Murguía, Celia, Carvajal, Servando, Muñoz-Urias, Alejandro, Martínez-Chávez, Carla, de León-Santos, Silvia","Revista mexicana de ciencias forestales; 5(22); 28-39","Revista mexicana de ciencias forestales","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322014000200003&lang=pt" 
"S2007-11322014000200002-mex","El plan costa como una mejor opción de manejo para especies forestales tropicales de Jalisco","Apodaca-Martínez, Maribel, Curiel-Alcaraz, Gonzalo Millán, Mendoza-Briseño, Martín Alfonso, Vargas-Mendoza, Mónica, Valdez Hernández, Juan Ignacio, Platas Rosado, Diego Esteban","Revista mexicana de ciencias forestales; 5(22); 10-25","Revista mexicana de ciencias forestales","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322014000200002&lang=pt" 
"S2007-11322014000200001-mex","Recursos Genéticos Forestales","Mallén Rivera, Carlos","Revista mexicana de ciencias forestales; 5(22); 04-09","Revista mexicana de ciencias forestales","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322014000200001&lang=pt" 
"S2007-11322014000200008-mex","Tizón suizo (Phaeocryptopus gaeumannii (Rhode) Petrak) en Pseudotsuga menziessi var. glauca (Beissn.) Mayr","Cibrián Tovar, David, Pérez-Vera, Omar Alejandro, García Díaz, Silvia Edith, Cibrián Llanderal, Víctor David, Cruz Juárez, Juan, Hernández Acevedo, Gabriela","Revista mexicana de ciencias forestales; 5(22); 104-118","Revista mexicana de ciencias forestales","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11322014000200008&lang=pt" 
"S1130-01082014000400012-esp","Hypoxic hepatitis as diabetic ketoacidosis complication","Ampuero, Javier, Suárez-García, Emilio, Millán, Marina, Romero-Gómez, Manuel","Revista Española de Enfermedades Digestivas; 106(4); 294-295","Revista Española de Enfermedades Digestivas","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082014000400012&lang=pt" 
"S1561-30032014000100010-cub","Caracterización del ambiente físico en viviendas Petrocasas en el Asentamiento &quot;Simón Bolívar&quot; de Cienfuegos (2008-2009)","Barceló Pérez, Carlos, Guzmán Piñeiro, Raisa, González Sánchez, Yamile, Ramírez Sotolongo, Juan C","Revista Cubana de Higiene y Epidemiología; 52(1); 106-119","Revista Cubana de Higiene y Epidemiología","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032014000100010&lang=pt" 
"S1561-30032014000100011-cub","La regulación ética de las investigaciones biomédicas y los comités de ética de la investigación","Echemendía Tocabens, Belkis","Revista Cubana de Higiene y Epidemiología; 52(1); 120-142","Revista Cubana de Higiene y Epidemiología","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032014000100011&lang=pt" 
"S1561-30032014000100012-cub","Registro Sanitario, logros, debilidades y proyecciones al cierre del 2013","Suárez Pita, Maritza T, Luna Martínez, María Victoria","Revista Cubana de Higiene y Epidemiología; 52(1); 143-148","Revista Cubana de Higiene y Epidemiología","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032014000100012&lang=pt" 
"S1561-30032014000100009-cub","Evaluación del Programa Nacional de Control de la Tuberculosis en Bauta","Rosado Candelaria, Sandra, Godínez Llanes, Liliana, Ranero, Virginia María","Revista Cubana de Higiene y Epidemiología; 52(1); 98-105","Revista Cubana de Higiene y Epidemiología","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032014000100009&lang=pt" 
"S1561-30032014000100008-cub","Eventos adversos en la vacunación de menores de 2 años, Hospital Pediátrico de Centro Habana (2002-2007)","Díaz Piñera, Addys María, Cuevas Valdespino, Iván Edelberto","Revista Cubana de Higiene y Epidemiología; 52(1); 81-97","Revista Cubana de Higiene y Epidemiología","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032014000100008&lang=pt" 
"S1561-30032014000100003-cub","Contexto, percepción de la situación económica y cifras de la tensión arterial","Díaz-Perera Fernández, Georgia, Bacallao Gallestey, Jorge, Alemañy Pérez, Eduardo","Revista Cubana de Higiene y Epidemiología; 52(1); 15-28","Revista Cubana de Higiene y Epidemiología","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032014000100003&lang=pt" 
"S1561-30032014000100002-cub","Enfoque de los factores de riesgo de la lepra con las determinantes sociales de la salud","Moreira Rios, Isabel, Moreno Diaz, Elba Nieve, Sotolongo Castillo, Alicia, Rivera Moreira, Ailadis, Carballea Suárez, Yanelis","Revista Cubana de Higiene y Epidemiología; 52(1); 4-14","Revista Cubana de Higiene y Epidemiología","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032014000100002&lang=pt" 
"S1561-30032014000100001-cub","Veinte años después de la declaración de la tuberculosis por la OMS, como una emergencia de salud pública mundial","Marrero Figueroa, Antonio","Revista Cubana de Higiene y Epidemiología; 52(1); 1-3","Revista Cubana de Higiene y Epidemiología","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032014000100001&lang=pt" 
"S1561-30032014000100007-cub","Identificación de factores de riesgo a la salud en el ambiente escolar, por la enfermera de un consultorio médico","Fernández Díaz, Yaíma, Aguilar Valdés, Juan, Caridad, Cumbá Abreu, Mayelín, Ortiz Martínez, Leanne, Acosta Quintana, López Alayón, José, García Roche, René","Revista Cubana de Higiene y Epidemiología; 52(1); 68-80","Revista Cubana de Higiene y Epidemiología","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032014000100007&lang=pt" 
"S1561-30032014000100006-cub","La enfermedad cerebrovascular isquémica, prioridad en Esmeralda","García de la Rosa, Roberto Dair, García Rodríguez, Yeimi, González Ramírez, Juan Carlos, Fernández Benítez, Dayamí","Revista Cubana de Higiene y Epidemiología; 52(1); 58-67","Revista Cubana de Higiene y Epidemiología","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032014000100006&lang=pt" 
"S1561-30032014000100005-cub","Caracterización de variables biosociales en la epidemia de VIH/SIDA en el Municipio Plaza de la Revolución , 1986-2010","Massip Nicot, Tania, Massip Nicot, Juliette, Arnold Domínguez, Yuri","Revista Cubana de Higiene y Epidemiología; 52(1); 44-57","Revista Cubana de Higiene y Epidemiología","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032014000100005&lang=pt" 
"S1561-30032014000100004-cub","Caracterización epidemiológica de la enfermedad hemorroidal aguda en hospitales seleccionados en Cuba (noviembre de 2011 a enero 2012)","Hernández-Bernal, Francisco, Valenzuela-Silva, Carmen M, Catasús-Álvarez, Karem M, Lazo-Diago, Odalys C, Hernández-Rodríguez, Reinier, Bermúdez-Badell, Cimara H, López-Saura, Pedro A, Fariñas-Reinoso, Ana T","Revista Cubana de Higiene y Epidemiología; 52(1); 29-43","Revista Cubana de Higiene y Epidemiología","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032014000100004&lang=pt" 
"S0074-02762014000200246-scl","A new rapid colourimetric method for testing Mycobacterium tuberculosis susceptibility to isoniazid and rifampicin: a crystal violet decolourisation assay","Coban, Ahmet Yilmaz","Memórias do Instituto Oswaldo Cruz; 109(2); 246-249","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200246&lang=pt" 
"S0074-02762014000200220-scl","Silver nanoparticle production by the fungus Fusarium oxysporum: nanoparticle characterisation and analysis of antifungal activity against pathogenic yeasts","Ishida, Kelly, Cipriano, Talita Ferreira, Rocha, Gustavo Miranda, Weissmüller, Gilberto, Gomes, Fabio, Miranda, Kildare, Rozental, Sonia","Memórias do Instituto Oswaldo Cruz; 109(2); 220-228","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200220&lang=pt" 
"S0074-02762014000200131-scl","Insights from paleomicrobiology into the indigenous peoples of pre-colonial America - A Review","Darling, Millie I, Donoghue, Helen D","Memórias do Instituto Oswaldo Cruz; 109(2); 131-139","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200131&lang=pt" 
"S0074-02762014000200189-scl","Genetic diversity and antimicrobial resistance  in Streptococcus agalactiae strains recovered from female carriers in the Bucharest area","Usein, Codruţa-Romaniţa, Militaru, Mădălina, Cristea, Violeta, Străuţ, Monica","Memórias do Instituto Oswaldo Cruz; 109(2); 189-196","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200189&lang=pt" 
"S0074-02762014000200182-scl","Examining ERBB2 as a candidate gene for susceptibility to leprosy (Hansen’s disease) in Brazil","Araújo, Sérgio Ricardo Fernandes, Jamieson, Sarra Elisabeth, Dupnik, Kathryn Margaret, Monteiro, Glória Regina, Nobre, Maurício Lisboa, Dias, Márcia Sousa, Trindade Neto, Pedro Bezerra, Queiroz, Maria do Carmo Palmeira, Gomes, Carlos Eduardo Maia, Blackwell, Jenefer Mary, Jeronimo, Selma Maria Bezerra","Memórias do Instituto Oswaldo Cruz; 109(2); 182-188","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200182&lang=pt" 
"S0074-02762014000200140-scl","A new species of phlebotomine, Trichophoromyia adelsonsouzai (Diptera: Psychodidae) of Brazilian Amazonia","Santos, Thiago Vasconcelos dos, Silva, Fábio Márcio Medeiros da, Barata, Iorlando da Rocha, Andrade, Andrey José de, Galati, Eunice Aparecida Bianchi","Memórias do Instituto Oswaldo Cruz; 109(2); 140-147","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200140&lang=pt" 
"S0074-02762014000200147-scl","Parasite load and risk factors for poor outcome among children with visceral leishmaniasis. A cohort study in Belo Horizonte, Brazil, 2010-2011","Mourão, Maria Vitória Assumpção, Toledo Jr, Antonio, Gomes, Luciana Inácia, Freire, Verônica Vieira, Rabello, Ana","Memórias do Instituto Oswaldo Cruz; 109(2); 147-153","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200147&lang=pt" 
"S0074-02762014000200229-scl","Epidemiological aspects of influenza A related to climatic conditions during and after a pandemic period in the city of Salvador, northeastern Brazil","Silva, Rosangela de Castro, Siqueira, Marilda Agudo Mendonça, Netto, Eduardo Martins, Bastos, Jacione Silva, Nascimento-Carvalho, Cristiana Maria, Vilas-Boas, Ana Luisa, Bouzas, Maiara Lana, Motta, Fernando do Couto, Brites, Carlos","Memórias do Instituto Oswaldo Cruz; 109(2); 229-235","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200229&lang=pt" 
"S0074-02762014000200262-scl","Acute dacryocystitis: another clinical manifestation of sporotrichosis","Freitas, Dayvison Francis Saraiva, Lima, Iluska Augusta Rocha, Curi, Carolina Lemos, Jordão, Livia, Zancopé-Oliveira, Rosely Maria, Valle, Antonio Carlos Francesconi do, Galhardo, Maria Clara Gutierrez, Curi, Andre Luiz Land","Memórias do Instituto Oswaldo Cruz; 109(2); 262-264","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200262&lang=pt" 
"S0074-02762014000200197-scl","Virulence variation among epidemic and non-epidemic strains of Saint Louis encephalitis virus circulating in Argentina","Rivarola, María Elisa, Tauro, Laura Beatriz, Llinás, Guillermo Albrieu, Contigiani, Marta Silvia","Memórias do Instituto Oswaldo Cruz; 109(2); 197-201","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200197&lang=pt" 
"S0074-02762014000200259-scl","Candidatus Rickettsia andeanae, a spotted fever group agent infecting Amblyomma parvum ticks in two Brazilian biomes","Nieri-Bastos, Fernanda Aparecida, Lopes, Marcos Gomes, Cançado, Paulo Henrique Duarte, Rossa, Giselle Ayres Razera, Faccini, João Luiz Horácio, Gennari, Solange Maria, Labruna, Marcelo Bahia","Memórias do Instituto Oswaldo Cruz; 109(2); 259-261","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200259&lang=pt" 
"S0074-02762014000200256-scl","Acute Chagas disease in El Salvador 2000-2012 - Need for surveillance and control","Sasagawa, Emi, Aguilar, Ana Vilma Guevara de, Ramírez, Marta Alicia Hernández de, Chévez, José Eduardo Romero, Nakagawa, Jun, Cedillos, Rafael Antonio, Kita, Kiyoshi","Memórias do Instituto Oswaldo Cruz; 109(2); 256-258","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200256&lang=pt" 
"S0074-02762014000200250-scl","Genetic characterisation of Langerin gene in human immunodeficiency virus-1-infected women from Bahia, Brazil","Costa, Giselle Calasans de Souza, Jesus, Jaqueline Goes, Rego, Filipe Ferreira de Almeida, Santos, Edson Souza, Galvão-Castro, Bernardo, Gonçalves, Marilda de Souza, Alcantara, Luiz Carlos Júnior","Memórias do Instituto Oswaldo Cruz; 109(2); 250-255","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200250&lang=pt" 
"S0074-02762014000200163-scl","Genotypes of pathogenic Leptospira spp isolated from rodents in Argentina","Loffler, Sylvia Grune, Pavan, Maria Elisa, Vanasco, Bibiana, Samartino, Luis, Suarez, Olga, Auteri, Carmelo, Romero, Graciela, Brihuega, Bibiana","Memórias do Instituto Oswaldo Cruz; 109(2); 163-167","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200163&lang=pt" 
"S0074-02762014000200168-scl","Clinical features and laboratory findings of human parvovirus B19 in human immunodeficiency virus-infected patients","Pereira, Renata Freire Alves, Garcia, Rita de Cássia Nasser Cubel, Azevedo, Kátia Martins Lopes de, Setúbal, Sérgio, Siqueira, Marilda Agudo Mendonça Teixeira de, Oliveira, Solange Artimos de","Memórias do Instituto Oswaldo Cruz; 109(2); 168-173","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200168&lang=pt" 
"S0074-02762014000200202-scl","Comparative analysis of the tissue inflammatory response in human cutaneous and disseminated leishmaniasis","Dantas, Marina Loyola, Oliveira, Juliana Menezes Gomes Cabral de, Carvalho, Lucas, Passos, Sara Timóteo, Queiroz, Adriano, Guimarães, Luiz Henrique, Machado, Paulo, Carvalho, Edgar, Arruda, Sérgio","Memórias do Instituto Oswaldo Cruz; 109(2); 202-209","Memórias do Instituto Oswaldo Cruz","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762014000200202&lang=pt" 
"S0103-63512014000100033-scl","A importância da História do Pensamento Econômico e do pluralismo metodológico em economia com base na perspectiva da Escola Austríaca","Angeli, Eduardo","Nova Economia; 24(1); 33-50","Nova Economia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512014000100033&lang=pt" 
"S0103-63512014000100017-scl","Ignácio Rangel e a categoria dualidade básica: uma interpretação do Brasil","Malta, Maria Mello de","Nova Economia; 24(1); 17-31","Nova Economia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512014000100017&lang=pt" 
"S0103-63512014000100075-scl","Atividades inovativas em indústrias de &quot;baixa e média-baixa&quot; tecnologias: um exame dos mecanismos de difusão da inovação","Fornari, Vinicius Cardoso de Barros, Gomes, Rogério, Morceiro, Paulo César","Nova Economia; 24(1); 75-97","Nova Economia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512014000100075&lang=pt" 
"S0103-63512014000100051-scl","A economia e o melhoramento social: a agenda de reformas de Alfred Marshall","Mattos, Laura Valladão de","Nova Economia; 24(1); 51-71","Nova Economia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512014000100051&lang=pt" 
"S0103-63512014000100123-scl","Um indicador de não satisfação no trabalho e a mobilidade do mercado de trabalho: um estudo para homens e mulheres","Machado, Danielle Carusi, Silva, Adriana Fontes da","Nova Economia; 24(1); 123-140","Nova Economia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512014000100123&lang=pt" 
"S0103-63512014000100141-scl","Estimação das elasticidades de substituição do comércio regional do Brasil","Faria, Weslem Rodrigues, Haddad, Eduardo Amaral","Nova Economia; 24(1); 141-168","Nova Economia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512014000100141&lang=pt" 
"S0103-63512014000100169-scl","Acessibilidade e aglomerações na Região Norte do Brasil sob o enfoque da Nova Geografia Econômica","Silva, Renilson Rodrigues da, Bacha, Carlos José Caetano","Nova Economia; 24(1); 169-190","Nova Economia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512014000100169&lang=pt" 
"S0103-63512014000100191-scl","Aspectos econômicos e ambientais da reciclagem: um estudo exploratório nas cooperativas de catadores de material reciclável do Estado do Rio de Janeiro","Ribeiro, Luiz Carlos de Santana, Freitas, Lucio Flavio da Silva, Carvalho, Julia Trindade Alves, Oliveira Filho, João Damásio de","Nova Economia; 24(1); 191-214","Nova Economia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512014000100191&lang=pt" 
"S0103-73072014000100001-scl","","SAMPAIO, HELENA","Pro-Posições; 25(1); 15-20","Pro-Posições","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072014000100001&lang=pt" 
"S2007-24222014000200008-mex","Efecto de labranza y mejoradores de suelo en humedad y desarrollo radicular","Demuner-Molina, Genaro, Cadena-Zapata, Martín, Campos-Magaña, Santos Gabriel, Zermeño-González, Alejandro, Sánchez-Pérez, Félix de Jesús","Tecnología y ciencias del agua; 5(2); 123-130","Tecnología y ciencias del agua","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222014000200008&lang=pt" 
"S2007-24222014000200006-mex","Pronóstico de avenidas utilizando el filtro de Kalman discreto","Morales-Velázquez, Mirce Ivón, Aparicio, Javier, Valdés, Juan B.","Tecnología y ciencias del agua; 5(2); 85-110","Tecnología y ciencias del agua","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222014000200006&lang=pt" 
"S2007-24222014000200007-mex","Generación de mallas curvilíneas compuestas para el cálculo de flujos bidimensionales","Mendoza-Reséndiz, Alejandro, Berezowsky-Verduzco, Moisés","Tecnología y ciencias del agua; 5(2); 111-122","Tecnología y ciencias del agua","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222014000200007&lang=pt" 
"S2007-24222014000200004-mex","Metodología para el análisis técnico-económico de los sistemas de regeneración y reutilización de las aguas residuales","Seguí-Amórtegui, Luis, Alfranca-Burriel, Oscar, Moeller-Chávez, Gabriela","Tecnología y ciencias del agua; 5(2); 55-70","Tecnología y ciencias del agua","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222014000200004&lang=pt" 
"S2007-24222014000200005-mex","Redistribución de la precipitación en tres especies arbustivas nativas y una plantación de eucalipto del noreste de México","Yáñez-Díaz, María Inés, Cantú-Silva, Israel, González-Rodríguez, Humberto, Uvalle-Sauceda, José I.","Tecnología y ciencias del agua; 5(2); 71-84","Tecnología y ciencias del agua","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222014000200005&lang=pt" 
"S2007-24222014000200002-mex","Potenciales influencias del cambio climático en crecidas pluviales en una cuenca andina","Lagos-Zúñiga, Miguel Ángel, Vargas-Mesa, Ximena","Tecnología y ciencias del agua; 5(2); 19-38","Tecnología y ciencias del agua","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222014000200002&lang=pt" 
"S2007-24222014000200003-mex","Localización de puntos de monitoreo de calidad de agua en sistemas de distribución","Saldarriaga, Juan G., Ximena Hernández, María, Prieto, Cesar, Jurado, Mauricio, Gacharná, Sara, Páez, Diego","Tecnología y ciencias del agua; 5(2); 39-53","Tecnología y ciencias del agua","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222014000200003&lang=pt" 
"S2007-24222014000200001-mex","Aproximación a la presencia de SPD y microorganismos en agua embotellada","Arévalo-Pérez, Elisa C., Martínez-León, Aida J., Lemus-Pérez, Mildred F., Rodríguez-Susa, Manuel S.","Tecnología y ciencias del agua; 5(2); 05-18","Tecnología y ciencias del agua","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222014000200001&lang=pt" 
"S2007-24222014000200011-mex","El coeficiente de descarga y la densidad beta","Mercado, José Roberto, Íñiguez, Mauro, Guido, Pedro, Ramírez-Luna, Javier, González-Casillas, Arturo","Tecnología y ciencias del agua; 5(2); 161-175","Tecnología y ciencias del agua","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222014000200011&lang=pt" 
"S2007-24222014000200010-mex","Fórmulas para el coeficiente de arrastre y la ecuación Navier-Stokes fraccional","Mercado, José Roberto, Guido, Pedro, Sánchez-Sesma, Jorge, Íñiguez, Mauro","Tecnología y ciencias del agua; 5(2); 149-160","Tecnología y ciencias del agua","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222014000200010&lang=pt" 
"S2007-24222014000200012-mex","La eficiencia en el uso del agua en la agricultura controlada","Salazar-Moreno, Raquel, Rojano-Aguilar, Abraham, López-Cruz, Irineo Lorenzo","Tecnología y ciencias del agua; 5(2); 177-183","Tecnología y ciencias del agua","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-24222014000200012&lang=pt" 
"S1984-22012014000100127-scl","CONDICIONAMENTO ESTRUTURAL DO RELEVO NO NORDESTE SETENTRIONAL BRASILEIRO","Maia, Rubson P., Bezerra, Francisco H. R.","Mercator (Fortaleza); 13(1); 127-141","Mercator (Fortaleza)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-22012014000100127&lang=pt" 
