"S1516-89132014000100018-scl","Plant cells in the context of climate change","Machado, Marcelo Rubens","Brazilian Archives of Biology and Technology; 57(1); 126-137","Brazilian Archives of Biology and Technology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132014000100018&lang=pt" 
"S0025-76802014000100004-arg","Milk improved the metabolic syndrome in obese ß rats","Olguin, María Catalina, Posadas, Marta D., Revelant, Gilda C., Marinozzi, Darío O., Labourdette, Verónica B., Zingale, María Isabel, Venezia, María Rosa","Medicina (Buenos Aires); 74(1); 24-28","Medicina (Buenos Aires)","Inglês","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100004&lang=pt" 
"S0025-76802014000100005-arg","Geohelmintiasis en la Argentina: Una revisión sistemática","Socías, M. Eugenia, Fernández, Anabel, Gil, José F., Krolewiecki, Alejandro J.","Medicina (Buenos Aires); 74(1); 29-36","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100005&lang=pt" 
"S0025-76802014000100006-arg","Control moderado de hiperglucemia luego de infarto cerebral agudo en unidad de cuidados intensivos","Wainsztein, Néstor A., Pujol Lereis, Virginia A., Capparelli, Federico J., Hlavnika, Alejandro, Díaz, María F., Leiguarda, Ramón E., Ameriso, Sebastián F.","Medicina (Buenos Aires); 74(1); 37-41","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100006&lang=pt" 
"S0025-76802014000100007-arg","Síndrome de Takotsubo: experiencia en tres instituciones de la ciudad de Córdoba","Fortuna, Laura, Moreyra (H), Eduardo, Hamity, Lilian, Alday, Luis, Contreras, Alejandro, Tibaldi, Miguel, Moreyra, Eduardo","Medicina (Buenos Aires); 74(1); 42-48","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100007&lang=pt" 
"S0025-76802014000100008-arg","Caveat lector","","Medicina (Buenos Aires); 74(1); 49-50","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100008&lang=pt" 
"S0025-76802014000100009-arg","AL MARGEN","","Medicina (Buenos Aires); 74(1); 51-52","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100009&lang=pt" 
"S0025-76802014000100017-arg","Telomerasa y telómero: su estructura y dinámica en salud y enfermedad","Mengual Gómez, Diego L., Armando, Romina G., Farina, Hernán G., Gómez, Daniel E.","Medicina (Buenos Aires); 74(1); 69-76","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100017&lang=pt" 
"S0025-76802014000100016-arg","Actualización en el diagnóstico de la diabetes","Benzadón, Mariano, Forti, Luján, Sinay, Isaac","Medicina (Buenos Aires); 74(1); 64-68","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100016&lang=pt" 
"S0025-76802014000100015-arg","Quilopericardio y quilotórax bilateral en una mujer con cáncer de mama","Zylberman, Marcelo, Losco, Federico, Nicolini, Carla, Halac, Sebastián, Patane, Karina, Petracci, Fernando","Medicina (Buenos Aires); 74(1); 62-63","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100015&lang=pt" 
"S0025-76802014000100014-arg","Ictericia febril colestásica como forma de presentación de linfoma de Hodgkin","Schindler, Max, Kreplak, Nicolás, Acevedo, Lucía, Damis, Héctor, Márquez, Guillermo, Ardaiz, María del Carmen","Medicina (Buenos Aires); 74(1); 60-61","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100014&lang=pt" 
"S0025-76802014000100013-arg","Hipo, un desafío diagnóstico","Pankl, Sonia, Quezel, Mariano A., Bruetman, Julio E., Finn, Bárbara C., Young, Pablo","Medicina (Buenos Aires); 74(1); 57-59","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100013&lang=pt" 
"S0025-76802014000100012-arg","Uso de plasmaféresis en pancreatitis hipertrigliceridémica","Jerkovich, Fernando, Remón, Javier A., Barretto, Mariano, Ciocchini, Cleto, Speroni, Gerardo","Medicina (Buenos Aires); 74(1); 55-56","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100012&lang=pt" 
"S0025-76802014000100011-arg","Signo del vacío de flujo del líquido cefalorraquídeo","Manzella, Diego J., Scalise, Diego H., Melero, Marcelo J.","Medicina (Buenos Aires); 74(1); 54-54","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100011&lang=pt" 
"S0025-76802014000100010-arg","Quiste aracnoideo gigante sintomático","Meneses, Eder, Buk, Michell, Ventura, Lara, Koutnouyan, Gabriel, Goransky, Anahí, De All, Jorge","Medicina (Buenos Aires); 74(1); 53-53","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100010&lang=pt" 
"S0025-76802014000100019-arg","Siete décadas en investigación biomédica (1942-2013)","Dosne Pasqualini, Christiane","Medicina (Buenos Aires); 74(1); 80-81","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100019&lang=pt" 
"S0025-76802014000100018-arg","Filippo Pacini y el cólera, 1854","Barcat, Juan Antonio","Medicina (Buenos Aires); 74(1); 77-79","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100018&lang=pt" 
"S0025-76802014000100028-arg","","Barcat, Juan Antonio","Medicina (Buenos Aires); 74(1); 89-90","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100028&lang=pt" 
"S0025-76802014000100020-arg","Sobre la prevención cuaternaria y la medicina defensiva","Borrajo, María Cristina","Medicina (Buenos Aires); 74(1); 82-82","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100020&lang=pt" 
"S0025-76802014000100021-arg","Prevención cuaternaria y los síndromes de Knock y Ulises","Young, Pablo","Medicina (Buenos Aires); 74(1); 82-83","Medicina (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0025-76802014000100021&lang=pt" 
"S0034-737X2014000100009-scl","Genetic divergence of tomato subsamples","Mattedi, André Pugnal, Guimarães, Marcelo de Almeida, Nick, Carlos, Silva, Derly José Henriques da, Puiatti, Mário, Carneiro, Pedro Crescêncio Souza","Revista Ceres; 61(1); 70-76","Revista Ceres","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100009&lang=pt" 
"S0034-737X2014000100016-scl","Produtividade do minimilho em função das adubações nitrogenada e potássica","Santos, Renato Frederico dos, Inoue, Tadeu Takeyoshi, Scapim, Carlos Alberto, Clovis, Luiz Rafael, Moterle, Lia Mara, Saraiva, Fernando César Sales","Revista Ceres; 61(1); 121-129","Revista Ceres","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100016&lang=pt" 
"S0034-737X2014000100015-scl","Desempenho da mistura de aveia preta e azevém em função da adubação orgânica e mineral","Marques, Anderson Cesar Ramos, Krolow, Rodrigo Holz, Rigodanzo, Edson Luis, Basso, Laudenir Juciê, Botta, Robson Antonio, Missio, Eloir","Revista Ceres; 61(1); 112-120","Revista Ceres","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100015&lang=pt" 
"S0034-737X2014000100014-scl","Fenologia reprodutiva e caracterização físico-química de abacateiros em Carmo da Cachoeira, Minas Gerais","Silva, Fábio Oseias dos Reis, Ramos, José Darlan, Oliveira, Marcelo Caetano de, Rufini, José Carlos Moraes, Ramos, Patrícia de Siqueira","Revista Ceres; 61(1); 105-111","Revista Ceres","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100014&lang=pt" 
"S0034-737X2014000100019-scl","Produtividade e qualidade de frutos de pepino africano em resposta à adubação nitrogenada","Antunes, Guilherme, Ferreira, Ana Paula Sato, Puiatti, Mário, Cecon, Paulo Roberto, Silva, Geovani do Carmo Copati da","Revista Ceres; 61(1); 141-146","Revista Ceres","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100019&lang=pt" 
"S0034-737X2014000100018-scl","Capacidad de enraizamiento de plantas matrices promisorias de Myrciaria dubia (Kunth) Mc Vaugh en cámaras de subirrigación¹","Rodríguez, Carlos Abanto, Chagas, Edvan Alves, Sánchez-Choy, José, Santos, Verónica Andrade dos, Lozano, Ricardo Manuel Bardales, Saldaña Ríos, Gisela","Revista Ceres; 61(1); 134-140","Revista Ceres","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100018&lang=pt" 
"S0034-737X2014000100007-scl","Estudios etiológicos de la marchitez del aguacate en Antioquia-Colombia","Gil, Joaquín Guillermo Ramírez, Sánchez, Darío Antonio Castañeda, Osorio, Juan Gonzalo Morales","Revista Ceres; 61(1); 50-61","Revista Ceres","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100007&lang=pt" 
"S0004-27302014000100001-scl","Vitamin D and diabetes mellitus: an update 2013","Griz, Luiz Henrique Maciel, Bandeira, Francisco, Gabbay, Mônica Andrade Lima, Dib, Sergio Atala, Carvalho, Eduardo Freese de","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(1); 1-8","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000100001&lang=pt" 
"S0004-27302014000100037-scl","Response to sorafenib treatment in advanced metastatic thyroid cancer","Pitoia, Fabian","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(1); 37-41","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000100037&lang=pt" 
"S0004-27302014000100048-scl","Thyroid autoimmunity in patients with hyperprolactinemia: an observational study","Onal, Eda Demir, Saglam, Fatma, Sacikara, Muhammed, Ersoy, Reyhan, Cakir, Bekir","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(1); 48-52","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000100048&lang=pt" 
"S0004-27302014000100053-scl","NR3C1 polymorphisms in Brazilians of Caucasian, African, and Asian ancestry: glucocorticoid sensitivity and genotype association","Souza, Manoel Carlos L. A., Martins, Clarissa S., Silva Junior, Ivan M., Chriguer, Rosangela S., Bueno, Ana C., Antonini, Sonir R., Silva Jr., Wilson Araújo, Zago, Marco A., Moreira, Ayrton C., Castro, Margaret de","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 58(1); 53-61","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302014000100053&lang=pt" 
"S0034-737X2014000100020-scl","Tolerância do maxixeiro, cultivado em vasos, à salinidade da água de irrigação","Oliveira, Francisco de Assis de, Pinto, Kayeshella Samantha de Oliveira, Bezerra, Francisco Mardones Sérvulo, Lima, Luan Alves de, Cavancante, Antônio Lucieudo Gonçalves, Oliveira, Mychelle Karla Teixeira de, Medeiros, José Francismar de","Revista Ceres; 61(1); 147-154","Revista Ceres","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100020&lang=pt" 
"S0034-737X2014000100008-scl","Molybdenum mixed with glyphosate and alone via foliar spray in no-tillage common bean grown on corn stover","Camelo, Gessimar Nunes, Araújo, Geraldo Antonio de Andrade, Fontes, Renildes Lucio Ferreira, Dias, Luiz Antonio dos Santos, Carneiro, José Eustáquio de Souza, Lisboa Júnior, Jamir de Moraes de, Damato Neto, José","Revista Ceres; 61(1); 62-69","Revista Ceres","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100008&lang=pt" 
"S0034-737X2014000100004-scl","O manejo da copaíba pelas etnias Arara e Gavião na Terra Indígena Igarapé Lourdes, Rondônia, Norte do Brasil","Souza, Flávia Dinah Rodrigues de, Higuchi, Niro","Revista Ceres; 61(1); 28-34","Revista Ceres","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100004&lang=pt" 
"S0034-737X2014000100005-scl","Crescimento de girassol como flor em vaso em função de doses de paclobutrazol","Wanderley, Christina da Silva, Faria, Ricardo Tadeu de, Rezende, Roberto","Revista Ceres; 61(1); 35-41","Revista Ceres","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100005&lang=pt" 
"S0034-737X2014000100006-scl","Produtividade de arroz de terras altas em função de reguladores de crescimento","Alvarez, Rita de Cassia Felix, Crusciol, Carlos Alexandre Costa, Nascente, Adriano Stephan","Revista Ceres; 61(1); 42-49","Revista Ceres","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100006&lang=pt" 
"S0034-737X2014000100001-scl","Diferenças entre os gêneros na assistência técnica e extensão rural realizada por médicos veterinários: paradigma ou preconceito","Freitas, Sabrina Lucas Ribeiro de, Abreu, Morgana Pontes, Mesquita, Gabriella Riad Iskandar, Jaime, Valéria de Sá, Gordo, João Maurício Lucas, Silva, Luiz Antônio Franco da","Revista Ceres; 61(1); 01-08","Revista Ceres","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100001&lang=pt" 
"S0034-737X2014000100002-scl","Erosividade das chuvas e tempo de recorrência para Lavras, Minas Gerais","Aquino, Regimeire Freitas, Silva, Marx Leandro Naves, Freitas, Diego Antonio França de, Curi, Nilton, Mello, Carlos Rogério de, Avanzi, Junior Cesar","Revista Ceres; 61(1); 09-16","Revista Ceres","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100002&lang=pt" 
"S0034-737X2014000100003-scl","Evapotranspiração real diária em sub-bacias do Paracatu, utilizando produtos do sensor Modis","Lima, Evaldo de Paiva, Sediyama, Gilberto Chohaku, Andrade, Ricardo Guimarães, Lopes, Vinícius Duarte, Silva, Bernardo Barbosa da","Revista Ceres; 61(1); 17-27","Revista Ceres","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100003&lang=pt" 
"S0034-737X2014000100012-scl","Kinetics of solute leachate from imbibing Caesalpinia echinata Lam. (Brazilwood) seeds","Martini Neto, Nestor, Lamarca, Edmir Vicente, Barbedo, Claudio José","Revista Ceres; 61(1); 90-97","Revista Ceres","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100012&lang=pt" 
"S0034-737X2014000100011-scl","Variabilidade em população base de pimenteiras ornamentais (Capsicum annuum L.)","Silva Neto, João José da, Rêgo, Elizanilda Ramalho do, Nascimento, Mayana Ferreira, Silva Filho, Vital Antônio Lucena, Almeida Neto, Jorge Xavier de, Rêgo, Mailson Monteiro do","Revista Ceres; 61(1); 84-89","Revista Ceres","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100011&lang=pt" 
"S0034-737X2014000100010-scl","Selection of common bean lines with high grain yield and high grain calcium and iron concentrations","Ribeiro, Nerinéia Dalfollo, Jost, Evandro, Maziero, Sandra Maria, Storck, Lindolfo, Rosa, Daniele Piano","Revista Ceres; 61(1); 77-83","Revista Ceres","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000100010&lang=pt" 
"S1413-81232014000200511-spa","Doencas infecciosas em criancas pre-escolares brasileiras assistidas em creches","Pedraza, Dixis Figueroa, Queiroz, Daiane de, Sales, Marcia Cristina","Ciência &amp; Saúde Coletiva; 19(2); 511-528","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200511&lang=pt" 
"S1413-81232014000200529-spa","Aconselhamento nutricional de criancas menores de dois anos de idade: potencialidades e obstaculos como desafios estrategicos","Campos, Aline Aparecida de Oliveira, Cotta, Rosangela Minardi Mitre, Oliveira, Julicristie Machado de, Santos, Adriana Kelly, Araujo, Raquel Maria Amaral","Ciência &amp; Saúde Coletiva; 19(2); 529-538","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200529&lang=pt" 
"S1413-81232014000200539-spa","Combate ao Tabagismo no Brasil: a importancia estrategica das acoes governamentais","Silva, Sandra Tavares da, Martins, Mariana Campos, Faria, Franciane Rocha de, Cotta, Rosangela Minardi Mitre","Ciência &amp; Saúde Coletiva; 19(2); 539-552","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200539&lang=pt" 
"S1413-81232014000200581-spa","Fatores associados as perdas dentarias entre adultos em areas rurais do estado de Pernambuco, Brasil","Santillo, Patricia Morgana Hordonho, Gusmao, Estela Santos, Moura, Cristiano, Soares, Renata de Souza Coelho, Cimoes, Renata","Ciência &amp; Saúde Coletiva; 19(2); 581-590","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200581&lang=pt" 
"S1413-81232014000200591-spa","A judicializacao da saude no Distrito Federal, Brasil","Diniz, Debora, Machado, Teresa Robichez de Carvalho, Penalva, Janaina","Ciência &amp; Saúde Coletiva; 19(2); 591-598","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200591&lang=pt" 
"S1413-81232014000200599-spa","Custo das doencas atribuiveis a fatores ambientais na cidade de Manaus, Amazonas, Brasil","Medeiros, Marcilio Sandro de, Sacramento, Daniel Souza, Hurtado-Guerrero, Jose Camilo, Ortiz, Ramon Arigoni, Fenner, Andre Luiz Dutra","Ciência &amp; Saúde Coletiva; 19(2); 599-608","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200599&lang=pt" 
"S1413-81232014000200609-spa","Atencao Farmaceutica e Atencao Flutuante: formacoes de compromisso entre Farmacia e Psicanalise","Padula, Marcelo de, Pinto, Alicia Viviana, Matos, Guacira Correa de, Siqueira, Danielle Tavares, Vieira, Roberta Claudio","Ciência &amp; Saúde Coletiva; 19(2); 609-618","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200609&lang=pt" 
"S1413-81232014000200619-spa","Vulnerabilidade na saude do adolescente: questoes contemporaneas","Silva, Marta Angelica Iossi, Mello, Flavia Carvalho Malta de, Mello, Debora Falleiros de, Ferriani, Maria das Gracas Carvalho, Sampaio, Julliane Messias Cordeiro, Oliveira, Wanderlei Abadio de","Ciência &amp; Saúde Coletiva; 19(2); 619-627","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200619&lang=pt" 
"S1413-81232014000200629-spa","Fatores associados ao uso dos servicos de saude bucal: estudo de base populacional em municipios do Maranhao, Brasil","Gomes, Antonildes Medeiros Mota, Thomaz, Erika Barbara Abreu Fonseca, Alves, Maria Teresa Seabra Soares de Britto e, Silva, Antonio Augusto Moura da, Silva, Raimundo Antonio da","Ciência &amp; Saúde Coletiva; 19(2); 629-640","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200629&lang=pt" 
"S0100-69162014000100012-scl","Using fraction images derived from modis data for coffee crop mapping","Bispo, Rafael C., Lamparelli, Rubens A. C., Rocha, Jansle V.","Engenharia Agrícola; 34(1); 102-111","Engenharia Agrícola","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162014000100012&lang=pt" 
"S0100-69162014000100011-scl","Mechanical properties of castor beans subject to different drying temperatures aiming to disrupt the bean coat","Bastos, Adriano C., Ferraz, Antonio C. De O.","Engenharia Agrícola; 34(1); 93-101","Engenharia Agrícola","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162014000100011&lang=pt" 
"S0100-69162014000100017-scl","Validação de um modelo de cálculo por elementos finitos do chassi de uma semeadora de quatro linhas","Niemczewski, Bóris K., Reis, Ângelo V. dos, Machado, Roberto L. T., Machado, Antônio L. T.","Engenharia Agrícola; 34(1); 161-170","Engenharia Agrícola","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162014000100017&lang=pt" 
"S0100-69162014000100013-scl","Removal of nitrogen, phosphorus, copper and zinc from swine breeding waste water by bermudagrass and cattail in constructed wetland systems","Fia, Ronaldo, Boas, Regina B. Vilas, Campos, Alessandro T., Fia, Fátima R. L., Souza, Edson G. De","Engenharia Agrícola; 34(1); 112-113","Engenharia Agrícola","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162014000100013&lang=pt" 
"S0100-69162014000100018-scl","Rational use of water in a poultry slaughterhouse in the state of Paraná, Brazil: a case study","Barana, Ana C., Botelho, Viviani M. B., Wiecheteck, Giovana K., Doll, Maria M. R., Simões, Deise R. S.","Engenharia Agrícola; 34(1); 171-178","Engenharia Agrícola","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162014000100018&lang=pt" 
"S0100-69162014000100016-scl","Alternative methodology for calculating the modulus of elasticity of wooden beams of structural dimensions","Christoforo, André L., Panzera, Tulio H., Neto Junior, Carlito Calil, Demarzo, Mauro A., Ribeiro Filho, Sérgio L. M., Toniolo, Luiz E., Amstalden, Rogério A. S., Lahr, Francisco A. R.","Engenharia Agrícola; 34(1); 153-160","Engenharia Agrícola","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162014000100016&lang=pt" 
"S1516-35982014000200008-scl","Electronic and visual identification devices for adult goats reared in semi-intensive system","Kowalski, Luciana Helena, Monteiro, Alda Lúcia Gomes, Hentz, Fernando, Prado, Odilei Rogerio, Kulik, Carlos Henrique, Fernandes, Sergio Rodrigo, Silva, Cláudio José Araújo da","Revista Brasileira de Zootecnia; 43(2); 100-104","Revista Brasileira de Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982014000200008&lang=pt" 
"S1516-35982014000200001-scl","Dietary phosphorus requirement of pejerrey fingerlings (Odontesthes bonariensis)","Rocha, Cleber Bastos, Portelinha, Mauro Kaster, Fernandes, João Morato, Britto, Aline Conceição Pfaff de, Piedras, Sérgio Renato Noguez, Pouey, Juvêncio Luís Osório Fernandes","Revista Brasileira de Zootecnia; 43(2); 55-59","Revista Brasileira de Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982014000200001&lang=pt" 
"S1516-35982014000200002-scl","Heavy metals in equine biological components","Souza, Maria Verônica de, Fontes, Maurício Paulo Ferreira, Fernandes, Raphael Bragança Alves","Revista Brasileira de Zootecnia; 43(2); 60-66","Revista Brasileira de Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982014000200002&lang=pt" 
"S1516-35982014000200003-scl","Carcass characteristics of feedlot-finished Zebu and Caracu cattle","Resende, Flávio Dutra de, Gesualdi Júnior, Antonio, Queiroz, Augusto César de, Faria, Marcelo Henrique de, Viana, Alexandre Pio","Revista Brasileira de Zootecnia; 43(2); 67-72","Revista Brasileira de Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982014000200003&lang=pt" 
"S1516-35982014000200004-scl","Lactation curves and economic results of Saanen goats fed increasing dietary energy levels obtained by the addition of calcium salts of fatty acids","Souza, Rodrigo de, Alcalde, Claudete Regina, Oliveira, Carlos Antonio Lopes de, Molina, Bruna Susan de Labio, Macedo, Francisco de Assis Fonseca de, Gomes, Ludmila Couto, Hygino, Bruna, Possamai, Ana Paula Silva","Revista Brasileira de Zootecnia; 43(2); 73-79","Revista Brasileira de Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982014000200004&lang=pt" 
"S1516-35982014000200006-scl","Crude glycerin in diets for feedlot Nellore cattle","van Cleef, Eric Haydt Castello Branco, Ezequiel, Jane Maria Bertocco, D&#039;Aurea, André Pastori, Fávaro, Vanessa Ruiz, Sancanari, Juliana Borsari Dourado","Revista Brasileira de Zootecnia; 43(2); 86-91","Revista Brasileira de Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982014000200006&lang=pt" 
"S1516-35982014000200007-scl","Risk assessment of finishing beef cattle in feedlot: slaughter weights and correlation amongst input variables","Pacheco, Paulo Santana, Pascoal, Leonir Luiz, Restle, João, Vaz, Fabiano Nunes, Arboitte, Miguelangelo Ziegler, Vaz, Ricardo Zambarda, Santos, João Paulo Aquino, Oliveira, Thamyres Martino Liñares de","Revista Brasileira de Zootecnia; 43(2); 92-99","Revista Brasileira de Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982014000200007&lang=pt" 
"S1516-35982014000200005-scl","Carcass characteristics of lambs fed diets containing silage of different genotypes of sorghum","Suassuna, Juraci Marcos Alves, Santos, Edson Mauro, Oliveira, Juliana Silva de, Azevedo, Paulo Sérgio de, Sousa, Wandrick Hauss de, Pinho, Ricardo Martins Araujo, Ramos, João Paulo de Farias, Bezerra, Higor Fábio Carvalho","Revista Brasileira de Zootecnia; 43(2); 80-85","Revista Brasileira de Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982014000200005&lang=pt" 
"S1413-70542014000100008-scl","Cassava and turmeric flour blends as new raw materials to extruded snacks","Spinello, Alessandra Mussato, Leonel, Magali, Mischan, Martha Maria, Carmo, Ezequiel Lopes do","Ciência e Agrotecnologia; 38(1); 68-75","Ciência e Agrotecnologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542014000100008&lang=pt" 
"S1413-70542014000100009-scl","Effects of digestible protein to energy ratios on growth and carcass chemical composition of siamese fighting fish (Betta splendens)","Lemos, Marcos Vinicius Antunes de, Arantes, Thiago Quirino, Souto, Cristielle Nunes, Martins, Graciela Pessoa, Araújo, Janaína Gomes, Guimarães, Igo Gomes","Ciência e Agrotecnologia; 38(1); 76-84","Ciência e Agrotecnologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542014000100009&lang=pt" 
"S1413-70542014000100010-scl","Use of additives and pre-wilting in Tifton 85 bermudagrass silage production","Neres, Marcela Abbado, Hermes, Paula Regina, Ames, João Paulo, Zambom, Maximilliane Alavarse, Castagnara, Deise Dalazen, Souza, Leiliane Cristine de","Ciência e Agrotecnologia; 38(1); 85-93","Ciência e Agrotecnologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-70542014000100010&lang=pt" 
