"S1678-77572008000400006-scl","Surface degradation of composite resins by acidic medicines and ph-cycling","Valinoti, Ana Carolina, Neves, Beatriz Gonçalves, Silva, Eduardo Moreira da, Maia, Lucianne Cople","Journal of Applied Oral Science; 16(4); 257-265","Journal of Applied Oral Science","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572008000400006&lang=pt" 
"S1519-69842008000300026-scl","Immunocytochemical study of gastrintestinal endocrine cells in insectivorous bats (Mammalia: Chiroptera)","Santos, CM., Nascimento, AA., Peracchi, AL., Sales, A., Mikalauskas, JS., Gouveia, SF.","Brazilian Journal of Biology; 68(3); 663-669","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300026&lang=pt" 
"S1519-69842008000300027-scl","Feeding and morphological analysis of the digestive tract of four species of fish (Astyanax altiparanae, Parauchenipterus galeatus, Serrasalmus marginatus and Hoplias aff. malabaricus) from the upper Paraná River floodplain, Brazil","Peretti, D., Andrian, IF.","Brazilian Journal of Biology; 68(3); 671-679","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300027&lang=pt" 
"S1413-99362008000200003-scl","Co-autoria como indicador de redes de colaboração científica","Maia, Maria de Fátima S., Caregnato, Sônia Elisa","Perspectivas em Ciência da Informação; 13(2); 18-31","Perspectivas em Ciência da Informação","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362008000200003&lang=pt" 
"S1413-99362008000200005-scl","Estudo comparativo entre diferentes modelos de organização de acervos de dados eletrônicos","Riecken, Rinalda Francesca","Perspectivas em Ciência da Informação; 13(2); 43-61","Perspectivas em Ciência da Informação","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362008000200005&lang=pt" 
"S1413-99362008000200006-scl","Ontologias de domínio: um estudo das relações conceituais","Sales, Luana Farias, Campos, Maria Luiza de Almeida, Gomes, Hagar Espanha","Perspectivas em Ciência da Informação; 13(2); 62-76","Perspectivas em Ciência da Informação","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362008000200006&lang=pt" 
"S1413-99362008000200008-scl","Gestão do conhecimento e sistemas de informação: uma análise sob a ótica da teoria de criação do conhecimento","Cruz, Cláudia Andressa, Nagano, Marcelo Seido","Perspectivas em Ciência da Informação; 13(2); 88-106","Perspectivas em Ciência da Informação","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362008000200008&lang=pt" 
"S1413-99362008000200009-scl","Indicadores tecnológicos e organizacionais do Customer Relationship Management (CRM): relação entre firma desenvolvedora, firma usuária e preceitos teóricos","Brambilla, Flávio Régio, Sampaio, Cláudio Hoffmann, Perin, Marcelo Gattermann","Perspectivas em Ciência da Informação; 13(2); 107-129","Perspectivas em Ciência da Informação","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362008000200009&lang=pt" 
"S1413-99362008000200011-scl","O marketing profissional e suas interfaces: a valorização do bibliotecário em questão","Fraga, Nádia Elôina Barcelos, Mattos, Carla Erler, Cassa, Gabriela de Almeida","Perspectivas em Ciência da Informação; 13(2); 148-167","Perspectivas em Ciência da Informação","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362008000200011&lang=pt" 
"S1413-99362008000200013-scl","O profissional da informação: uma análise baseada no modelo de múltiplos papéis de Ulrich","Cançado, Vera L., Medeiros, Nilcéia Lage de, Jeunon, Ester Eliane","Perspectivas em Ciência da Informação; 13(2); 196-218","Perspectivas em Ciência da Informação","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362008000200013&lang=pt" 
"S0100-204X2008000800018-scl","Comportamento do NDVI obtido por sensor ótico ativo em cereais","Povh, Fabrício Pinheiro, Molin, José Paulo, Gimenez, Leandro Maria, Pauletti, Volnei, Molin, Rudimar, Salvi, José Vitor","Pesquisa Agropecuária Brasileira; 43(8); 1075-1083","Pesquisa Agropecuária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2008000800018&lang=pt" 
"S0100-736X2008000800001-scl","Avaliação radiográfica e de função de vôo após fixação de osteotomias distais do úmero em pombas (Columba livia), com modelo de fixador externo articulado","Ferraz, Vanessa C.M., Ferrigno, Cássio R.A., Cortopassi, Silvia R.G., Lopes, Ricardo S., Isaza, Ramiro, Kim, Stanley","Pesquisa Veterinária Brasileira; 28(8); 351-357","Pesquisa Veterinária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2008000800001&lang=pt" 
"S0100-736X2008000800002-scl","Influência do óleo de Copaifera langsdorffii no reparo de ferida cirúrgica em presença de corpo estranho","Vieira, Rafael C., Bombardiere, Ethiane, Oliveira, Julierme J., Lino-Júnior, Ruy S., Brito, Luiz A.B., Junqueira-Kipnis, Ana P.","Pesquisa Veterinária Brasileira; 28(8); 358-366","Pesquisa Veterinária Brasileira","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2008000800002&lang=pt" 
"S0100-736X2008000800005-scl","Factors associated with the prevalence of Otodectes cynotis in an ambulatory population of dogs","Souza, Clarissa P., Ramadinha, Regina R., Scott, Fabio B., Pereira, Maria Júlia S.","Pesquisa Veterinária Brasileira; 28(8); 375-378","Pesquisa Veterinária Brasileira","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2008000800005&lang=pt" 
"S0104-530X2008000200010-scl","Engenharia, manutenção e operação em processos contínuos: elementos para o projeto de fronteiras organizacionais móveis e interpenetrantes","Salerno, Mario Sergio, Aulicino, Marcelo Crescenti","Gestão &amp; Produção; 15(2); 337-349","Gestão &amp; Produção","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2008000200010&lang=pt" 
"S0104-530X2008000200011-scl","Clusters e redes de cooperação de pequenas e médias empresas: observatório europeu, caso alemão e contribuições ao caso brasileiro","Gerolamo, Mateus Cecílio, Carpinetti, Luiz César Ribeiro, Fleschutz, Timo, Seliger, Günther","Gestão &amp; Produção; 15(2); 351-365","Gestão &amp; Produção","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2008000200011&lang=pt" 
"S0104-530X2008000200012-scl","Planejamento otimizado da produção e logística de empresas produtoras de sementes de milho: um estudo de caso","Junqueira, Rogério de Ávila Ribeiro, Morabito, Reinaldo","Gestão &amp; Produção; 15(2); 367-380","Gestão &amp; Produção","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2008000200012&lang=pt" 
"S1519-566X2008000400014-scl","Faunistic analysis of sharpshooters (Hemiptera: Auchenorrhyncha, Cicadellidae) in a &#039;Westin&#039; sweet orange orchard","Coelho, Juliana H.C., Ximenes, Nivian L., Felippe, Marcos R., Montesino, Luiz H., Garbim, Luiz F., Sanches, André L., Dalla Pria Jr, Wolney, Yamamoto, Pedro T.","Neotropical Entomology; 37(4); 449-456","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400014&lang=pt" 
"S1517-86922008000400006-scl","Efeito de diferentes intervalos de recuperação em um programa de treinamento de força para indivíduos treinados","Simão, Roberto, Polito, Marcos, Monteiro, Walace","Revista Brasileira de Medicina do Esporte; 14(4); 353-356","Revista Brasileira de Medicina do Esporte","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922008000400006&lang=pt" 
"S1517-97022008000200012-scl","Socialismo libertário, educação e autodidatismo: entrevista-depoimento de Jaime Cubero","Valverde, Antonio José Romera","Educação e Pesquisa; 34(2); 393-397","Educação e Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022008000200012&lang=pt" 
"S1517-97022008000200010-scl","A pedagogia científica de Bachelard: uma reflexão a favor da qualidade da prática e da pesquisa docente","Fonseca, Dirce Mendes da","Educação e Pesquisa; 34(2); 361-370","Educação e Pesquisa","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022008000200010&lang=pt" 
"S1519-566X2008000400011-scl","Tabanidae (Diptera) do Estado de Maranhão, Brasil II: descrição de Esenbeckia (Esenbeckia) rafaeli, sp. nov.","Limeira-de-Oliveira, Francisco","Neotropical Entomology; 37(4); 426-428","Neotropical Entomology","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400011&lang=pt" 
"S1517-86922008000400001-scl","Efeito de agentes térmicos aplicados previamente a um programa de alongamentos na flexibilidade dos músculos isquiotibiais encurtados","Signori, Luis Ulisses, Voloski, Fernando Roberto Schütz, Kerkhoff, Alessandra Cristina, Brignoni, Léia, Plentz, Rodrigo Della Méa","Revista Brasileira de Medicina do Esporte; 14(4); 328-331","Revista Brasileira de Medicina do Esporte","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922008000400001&lang=pt" 
"S1517-86922008000400012-scl","Impacto do exercício físico isolado e combinado com dieta sobre os níveis séricos de HDL, LDL, colesterol total e triglicerídeos","Fagherazzi, Sanmira, Dias, Raquel da Luz, Bortolon, Fernanda","Revista Brasileira de Medicina do Esporte; 14(4); 381-386","Revista Brasileira de Medicina do Esporte","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922008000400012&lang=pt" 
"S1519-566X2008000400002-scl","Influência do substrato alimentar sobre o desenvolvimento de Diaphania hyalinata L. (Lepidoptera: Crambidae)","Pratissoli, Dirceu, Polanczyk, Ricardo A., Holtz, Anderson M., Tamanhoni, Tiago, Celestino, Flávio N., Borges Filho, Raul da C.","Neotropical Entomology; 37(4); 361-364","Neotropical Entomology","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400002&lang=pt" 
"S0100-736X2008000800006-scl","Effects of topical 0.2% Cyclosporine A on corneal neovascularization induced by xenologous amniotic membrane implantation into a corneal stroma micropocket of rats","Milani, Juliana F., Barros, Paulo S.M., Guerra, José L., Brooks, Dennis E.","Pesquisa Veterinária Brasileira; 28(8); 379-386","Pesquisa Veterinária Brasileira","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2008000800006&lang=pt" 
"S1519-69842008000300021-scl","Size and shape variability in the skull of Myotis nigricans (Schinz, 1821) (Chiroptera: Vespertilionidae) from two geographic areas in Brazil","Bornholdt, R., Oliveira, LR., Fabián, ME.","Brazilian Journal of Biology; 68(3); 623-631","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300021&lang=pt" 
"S1519-69842008000300028-scl","Morphological abnormalities in Cladocera (Branchiopoda) in a cascade of reservoirs in the middle and lower Tietê river (São Paulo, Brazil)","Zanata, LH., Espíndola, ELG., Rocha, O., Pereira, RHG.","Brazilian Journal of Biology; 68(3); 681-682","Brazilian Journal of Biology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842008000300028&lang=pt" 
"S0213-91112008000400012-spa","Fracturas en la informatización de los servicios de salud","Campillo Artero, Carlos","Gaceta Sanitaria; 22(4); 371-377","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000400012&lang=pt" 
"S0213-91112008000400011-spa","Evaluación en salud pública: lecciones aprendidas de la gestión de la tuberculosis pulmonar","Patrick Chaulk, C., Kazandjian, Vahé A, Vallejo Gutiérrez, Paula","Gaceta Sanitaria; 22(4); 362-370","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000400011&lang=pt" 
"S0864-02892008000200001-cub","Trióxido de arsénico: una nueva luz en el tratamiento de la leucemia promielocítica","Padrón, Carlos Hernández, Espinosa Martínez, Edgardo, Losada Buchillón, Rafael, Ávila Cabrera, Onel, Hernández Ramírez, Porfirio","Revista Cubana de Hematología, Inmunología y Hemoterapia; 24(2); -","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892008000200001&lang=pt" 
"S0864-02892008000200002-cub","Importancia de las moléculas de adhesión en la fisiopatogenia de la anemia drepanocítica","Macías Abraham, Consuelo, del Valle Pérez, Lázaro, Socarrás Ferrer, Beatriz, Hernández Ramírez, Porfirio, Ballester Santovenia, José Manuel","Revista Cubana de Hematología, Inmunología y Hemoterapia; 24(2); -","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892008000200002&lang=pt" 
"S0864-02892008000200003-cub","Pérdida de la expresión antigénica ABH en pacientes con lesiones orales precancerosas y cancerosas","Campi, Carlos, Escovich, Livia, Racca, Amelia, García Borrás, Silvia, Racca, Liliana, Cotorruelo, Carlos, Biondi, Claudia","Revista Cubana de Hematología, Inmunología y Hemoterapia; 24(2); -","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892008000200003&lang=pt" 
"S0864-02892008000200004-cub","Estudio del sistema nervioso central en pacientes con anemia drepanocítica","Espinosa Martínez, Edgardo, de la Uz Ruesga, Beatriz, Ley Pozo, Juan A., Gómez Taguada, Armando, Batista Cuéllar, Juan F.","Revista Cubana de Hematología, Inmunología y Hemoterapia; 24(2); -","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892008000200004&lang=pt" 
"S0864-02892008000200005-cub","Evaluación de proteínas relacionadas con la diferenciación de células madre hematopoyéticas CD34+ obtenidas de sangre de cordón umbilical","Flechas, Ivonne, Mera, Claudia, Vargas, Lina, Rodríguez Pardo, Viviana Marcela","Revista Cubana de Hematología, Inmunología y Hemoterapia; 24(2); -","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892008000200005&lang=pt" 
"S0864-02892008000200006-cub","Caracterización molecular de variantes de Glucosa 6 fostato deshidrogenasa (G6PD) en la población cubana","Estrada del Cueto, Marianela, Herrera García, Mayelín, Mayo de las Casas, Clara, Pérez Diez de los Ríos, Graciela","Revista Cubana de Hematología, Inmunología y Hemoterapia; 24(2); -","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892008000200006&lang=pt" 
"S0864-02892008000200007-cub","Aloanticuerpos contra células sanguíneas en embarazadas nulíparas antes y después de abortos provocados","Alfonso Valdés, María Elena, Muñíz, Eduardo, Bencomo Hernández, Antonio, López de Roux, María del Rosario, Cruz Tamayo, Fernando, Morera Barios, Luz M., Lam Díaz, Rosa María, Orbeal Aldama, Lissette, Graña Ayllón, Gladys","Revista Cubana de Hematología, Inmunología y Hemoterapia; 24(2); -","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892008000200007&lang=pt" 
"S0864-02892008000200008-cub","Tratamiento con dosis moderada de hidroxiurea en la drepanocitosis","Machín García, Sergio, Svarch, Eva, Agramonte Llanes, Olga, Núñez Quintana, Aramís, Menéndez Veitía, Andrea, Hernández Padrón, Carlos, Mesa Cuervo, José, Nordet Carrera, Ileana, Boch, Lisbet","Revista Cubana de Hematología, Inmunología y Hemoterapia; 24(2); -","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892008000200008&lang=pt" 
"S0864-02892008000200009-cub","Los términos: eficiencia, eficacia y efectividad ¿son sinónimos en el área de la salud?","Lam Díaz, Rosa María, Hernández Ramírez, Porfirio","Revista Cubana de Hematología, Inmunología y Hemoterapia; 24(2); -","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892008000200009&lang=pt" 
"S0864-02892008000200010-cub","Congreso HEMATOLOGIA´2009","","Revista Cubana de Hematología, Inmunología y Hemoterapia; 24(2); -","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892008000200010&lang=pt" 
"S1413-86702008000400014-scl","Chlamydia infection in patients with and without cervical intra-epithelial lesions tested by real-time PCR vs. direct immunofluorescence","Oliveira, Micheline de Lucena, Amorim, Melania Maria Ramos de, Souza, Paulo Roberto Eleutério de, Albuquerque, Lúcia Cristina Bezerra de, Brandão, Lucas André Cavalcanti, Guimarães, Rafael Lima","Brazilian Journal of Infectious Diseases; 12(4); 324-328","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000400014&lang=pt" 
"S1413-86702008000400001-scl","Acute pancreatitis associated with lamivudine therapy for chronic B hepatitis","Tuon, Felipe Francisco, Guastini, Cristina Maria de Fátima, Boulos, Maria Ivete Castro","Brazilian Journal of Infectious Diseases; 12(4); 263-263","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000400001&lang=pt" 
"S1413-86702008000400004-scl","HLA profile in patients with AIDS and tuberculosis","Figueiredo, José Fernando de Castro, Rodrigues, Maria de Lourdes Veronese, Deghaide, Neifi Hassam Saloum, Donadi, Eduardo Antonio","Brazilian Journal of Infectious Diseases; 12(4); 278-280","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000400004&lang=pt" 
"S1413-86702008000400006-scl","Sexual behavior and sexually transmitted diseases in street-based female sex workers in Rajshahi City, Bangladesh","Mondal, Nazrul Islam, Hossain, Kamal, Islam, Rafiqul, Mian, Abul Bashar","Brazilian Journal of Infectious Diseases; 12(4); 287-292","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000400006&lang=pt" 
"S1413-86702008000400008-scl","Occult hepatitis B virus infection in immunocompromised patients","Jardim, Ruth Nogueira Cordeiro Moraes, Gonçales, Neiva Sellan Lopes, Pereira, Josiane Silveira Felix, Fais, Viviane Cristina, Gonçales Junior, Fernando Lopes","Brazilian Journal of Infectious Diseases; 12(4); 300-305","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000400008&lang=pt" 
"S1413-86702008000400009-scl","Double-dose hepatitis B vaccination in cirrhotic patients on a liver transplant waiting list","Bonazzi, Patricia R., Bacchella, Telesforo, Freitas, Angela C., Osaki, Karina T., Lopes, Marta H., Freire, Maristela P., Machado, Marcel C.C., Abdala, Edson","Brazilian Journal of Infectious Diseases; 12(4); 306-309","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000400009&lang=pt" 
"S1413-86702008000400010-scl","Occult B infection in the Brazilian northeastern region: a preliminary report","Almeida, Delvone, Tavares-Neto, José, Trepo, Christian, Almeida, Alessandro, Mello, Caroline, Chemin, Isabelle, Paraná, Raymundo","Brazilian Journal of Infectious Diseases; 12(4); 310-312","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000400010&lang=pt" 
"S1413-86702008000400011-scl","Differentiation of wild-type varicella-zoster strains from India and the Oka vaccine strain using a VZV open reading frame - 62 based PCR-RFLP technique","Kaushik, Karishma S., Lahiri, Kunal K., Kapila, Ketoki, Kumar, Satish, Gupta, Rajiv M., Karade, Santosh","Brazilian Journal of Infectious Diseases; 12(4); 313-315","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000400011&lang=pt" 
"S1413-86702008000400013-scl","Antibiotic resistance patterns of pediatric community-acquired urinary infections","Guidoni, Eliana Biondi Medeiros, Berezin, Eitan N., Nigro, Stanley, Santiago, Nataly A, Benini, Vanda, Toporovski, Julio","Brazilian Journal of Infectious Diseases; 12(4); 321-323","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000400013&lang=pt" 
"S1413-86702008000400015-scl","Clinical presentation and renal evaluation of human visceral leishmaniasis (kala-azar): a retrospective study of 57 patients in Brazil","Daher, Elizabeth F., Evangelista, Leandro F., Silva Júnior, Geraldo B., Lima, Rafael S.A., Aragão, Eveline B., Arruda, Germana A.J.C., Galeano, Noemi M.F., Mota, Rosa M.S., Oliveira, Rodrigo A., Silva, Sônia L.","Brazilian Journal of Infectious Diseases; 12(4); 329-332","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000400015&lang=pt" 
"S1413-86702008000400019-scl","Cerebral aspergillosis presenting as a mass lesion","Azarpira, Negar, Esfandiari, Majid, Bagheri, Mohamad Hadi, Rakei, Sed, Salari, Soheila","Brazilian Journal of Infectious Diseases; 12(4); 349-351","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000400019&lang=pt" 
"S1413-86702008000400005-scl","Factors related to HIV/tuberculosis coinfection in a Brazilian reference hospital","Carvalho, Bráulio Matias de, Monteiro, André Jalles, Pires Neto, Roberto da Justa, Grangeiro, Thalles Barbosa, Frota, Cristiane Cunha","Brazilian Journal of Infectious Diseases; 12(4); 281-286","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000400005&lang=pt" 
"S1413-86702008000400020-scl","Prolonged irritative voiding symptoms due to Enterobius vermicularis bladder infestation in an adult patient","Sammour, Zein Mohamed, Gomes, Cristiano Mendes, Tome, Andre Luiz Farinhas, Bruschini, Homero, Srougi, Miguel","Brazilian Journal of Infectious Diseases; 12(4); 352-352","Brazilian Journal of Infectious Diseases","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000400020&lang=pt" 
"S0104-44782008000300002-scl","&quot;Terrorismos&quot;: uma exploração conceitual","Seixas, Eunice Castro","Revista de Sociologia e Política; 16(); 9-26","Revista de Sociologia e Política","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000300002&lang=pt" 
"S0104-44782008000300004-scl","Atores sociais em espaços de ampliação da democracia: as redes sociais em perspectiva","Moura, Joana Tereza Vaz de, Silva, Marcelo Kunrath","Revista de Sociologia e Política; 16(); 43-54","Revista de Sociologia e Política","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000300004&lang=pt" 
"S0104-44782008000300006-scl","Política e burocracia nos estados da Índia e do Brasil","Lopez, Felix G.","Revista de Sociologia e Política; 16(); 69-92","Revista de Sociologia e Política","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000300006&lang=pt" 
"S0104-44782008000300009-scl","A primeira encruzilhada da democracia brasileira: os casos de Rui Barbosa e de Joaquim Nabuco","Lynch, Christian Edward Cyril","Revista de Sociologia e Política; 16(); 113-125","Revista de Sociologia e Política","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000300009&lang=pt" 
"S0104-44782008000300010-scl","O ajuste gerencial e seus limites: a falha seqüencial em perspectiva comparada","Rezende, Flávio da Cunha","Revista de Sociologia e Política; 16(); 127-143","Revista de Sociologia e Política","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000300010&lang=pt" 
"S0104-44782008000300011-scl","Estudos no exterior e mediação de modelos institucionais: o caso dos juristas brasileiros","Engelmann, Fabiano","Revista de Sociologia e Política; 16(); 145-157","Revista de Sociologia e Política","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000300011&lang=pt" 
"S0104-44782008000300012-scl","Empresários e ação política no contexto das reformas para o mercado: o caso da aviação comercial","Monteiro, Cristiano Fonseca","Revista de Sociologia e Política; 16(); 159-180","Revista de Sociologia e Política","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000300012&lang=pt" 
"S0250-71612008000200001-chl","Rankings, creatividad y urbanismo","SABATÉ, JOAQUÍN, TIRONI, MANUEL","EURE (Santiago); 34(102); 5-23","EURE (Santiago)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0250-71612008000200001&lang=pt" 
"S0250-71612008000200002-chl","Consideraciones generales sobre las políticas públicas de regularización de asentamientos informales en América Latina","FERNANDES, EDÉSIO","EURE (Santiago); 34(102); 25-38","EURE (Santiago)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0250-71612008000200002&lang=pt" 
"S0250-71612008000200003-chl","Descentralización: una definición y una evaluación de la agenda legislativa chilena (1990-2008)","MARDONES Z, RODRIGO","EURE (Santiago); 34(102); 39-60","EURE (Santiago)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0250-71612008000200003&lang=pt" 
"S0250-71612008000200004-chl","Despegues sin madurez: Urbanización, industrialización y desarrollo en la Latinoamérica del siglo XX","ALMANDOZ, ARTURO","EURE (Santiago); 34(102); 61-76","EURE (Santiago)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0250-71612008000200004&lang=pt" 
"S0250-71612008000200005-chl","Territorio y nuevas ruralidades: un recorrido teórico sobre las transformaciones de la relación campo-ciudad","RUIZ RIVERA, NAXHELLI, DELGADO CAMPOS, JAVIER","EURE (Santiago); 34(102); 77-95","EURE (Santiago)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0250-71612008000200005&lang=pt" 
"S0250-71612008000200006-chl","La conmutación regional en Chile y su impacto en la Región de Antofagasta","AROCA, PATRICIO, ATIENZA, MIGUEL","EURE (Santiago); 34(102); 97-120","EURE (Santiago)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0250-71612008000200006&lang=pt" 
"S0250-71612008000200007-chl","Tras la imagen del Santiago turístico","ERRÁZURIZ, TOMÁS","EURE (Santiago); 34(102); 121-132","EURE (Santiago)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0250-71612008000200007&lang=pt" 
"S0250-71612008000200008-chl","Saskia Sassen Una sociología de la globalización","Link, Felipe","EURE (Santiago); 34(102); 133-138","EURE (Santiago)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0250-71612008000200008&lang=pt" 
"S0250-71612008000200009-chl","Tito Alegría Olazábal y Gerardo Ordóñez Legalizando la ciudad. Asentamientos informales y procesos de regulación en Tijuana","Alvarez, Guillermo","EURE (Santiago); 34(102); 139-143","EURE (Santiago)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0250-71612008000200009&lang=pt" 
"S0250-71612008000200010-chl","","Machado, Lia","EURE (Santiago); 34(102); 144-146","EURE (Santiago)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0250-71612008000200010&lang=pt" 
"S0718-34292008000200001-chl","GESTIÓN DEL CONOCIMIENTO Y GESTIÓN DE CALIDAD EN LA EDUCACIÓN SUPERIOR","Palma Quiroz, Álvaro, Rodríguez Ponce, Emilio","Idesia (Arica); 26(2); 5-7","Idesia (Arica)","Espanhol","2008","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292008000200001&lang=pt" 
