"S0103-863X2014000100049-scl","Sources and Reactions to Stress in Brazilian Lawyers","Costa, Maria de Fátima Antunes Alves, Ferreira, Maria Cristina","Paidéia (Ribeirão Preto); 24(57); 49-56","Paidéia (Ribeirão Preto)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2014000100049&lang=pt" 
"S1676-24442014000200150-scl","Standardization of TP53 gene mutations analysis on oral squamous cell carcinoma from paraffin-embedded tissues","Silva Júnior, José de Assis, Camisasca, Danielle Resende, Tavares, Débora dos Santos, Faria, Paulo Antônio Silvestre de, Dias, Fernando Luiz, Ribeiro, Georgina Severo, Amorim, Lídia Maria da Fonte de, Lourenço, Simone de Queiroz Chaves","Jornal Brasileiro de Patologia e Medicina Laboratorial; 50(2); 150-158","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442014000200150&lang=pt" 
"S1676-24442014000200124-scl","Viability of lymphocyte culture, at different times after blood collection, for karyotype analysis","Bulla, Ligia Maria Crubelati, Ambrosio, Eliane Papa, Martins, Ana Beatriz Tozzo, DellaRosa, Valter Augusto","Jornal Brasileiro de Patologia e Medicina Laboratorial; 50(2); 124-130","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442014000200124&lang=pt" 
"S1676-24442014000200136-scl","Immunohistochemistry pattern of hepatic inflammatory and insulin resistance markers in experimental model of nonalcoholic steatohepatitis","Henriques, Mônica Souza de Miranda, Leite, Jacqueline Alves, Diniz, Margareth de Fátima Formiga de Melo, Araújo, Maria Salete Trigueiro de","Jornal Brasileiro de Patologia e Medicina Laboratorial; 50(2); 136-143","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442014000200136&lang=pt" 
"S1676-24442014000200115-scl","Challenges of the Unified Health System: present status of public laboratory services in 31 cities of Minas Gerais, Brazil","Vidigal, Pedro Guatimosim, Resende, Letícia Maria Henriques, Cardoso, Joanna Paula Guimarães, Seabra, Liz Custódio Souza, Maia, Mariana Rabelo, Mendes, Tasso Amós de Araújo, Viana, Luciana de Gouvêa","Jornal Brasileiro de Patologia e Medicina Laboratorial; 50(2); 115-123","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442014000200115&lang=pt" 
"S1676-24442014000200098-scl","What qualifies a person to be an author of a research paper?","Pittella, José Eymard H., Andriolo, Adagmar, Barbosa, Alfredo José Afonso, Santos, Silvana Maria Eloi","Jornal Brasileiro de Patologia e Medicina Laboratorial; 50(2); 98-99","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442014000200098&lang=pt" 
"S0102-86502014000400261-scl","Comparative study of tissue reactivity to n-butyl-2-cyanoacrylate and nylon monofilament thread on pericranium-cutaneous flaps in rats","Cavazana, William César, Ioshii, Sergio Osamu, Cuman, Roberto Kenji Nakamura, Passeri, Luis Augusto","Acta Cirurgica Brasileira; 29(4); 261-267","Acta Cirurgica Brasileira","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502014000400261&lang=pt" 
"S0102-86502014000400268-scl","The neuroprotective effect of Sulindac after ischemia-reperfusion injury in rats","Cosar, Murat, Kaner, Tuncay, Sahin, Onder, Topaloglu, Naci, Guven, Mustafa, Aras, Adem Bozkurt, Akman, Tarık, Ozkan, Adile, Sen, Halil Murat, Memi, Gulsum, Deniz, Mustafa","Acta Cirurgica Brasileira; 29(4); 268-273","Acta Cirurgica Brasileira","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502014000400268&lang=pt" 
"S0102-86502014000400224-scl","Effects of subcutaneous carbon dioxide on calcitonin gene related peptide and substance P secretion in rat skin","Raymundo, Erica Calcagno, Hochman, Bernardo, Nishioka, Michele Akemi, Freitas, José Octávio Gonçalves de, Maximino, Jéssica Ruivo, Chadi, Gerson, Ferreira, Lydia Masako","Acta Cirurgica Brasileira; 29(4); 224-230","Acta Cirurgica Brasileira","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502014000400224&lang=pt" 
"S0102-86502014000400231-scl","Spongy film of cellulosic polysaccharide as a dressing for aphthous stomatitis treatment in rabbits","Teixeira, Fernanda Mossumez Fernandes, Pereira, Márcia de Figueiredo, Ferreira, Nara Lins Gomes, Miranda, Guilherme Marcelino de, Aguiar, José Lamartine de Andrade","Acta Cirurgica Brasileira; 29(4); 231-236","Acta Cirurgica Brasileira","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502014000400231&lang=pt" 
"S0102-86502014000400237-scl","Effects of cholecystectomy on the changes of motility of Beagle dogs&#039; sphincter of Oddi","Li, Fu, Zhang, Xi-wen, Li, Ke-wei, Ding, Jun, Wang, Gui-yang","Acta Cirurgica Brasileira; 29(4); 237-244","Acta Cirurgica Brasileira","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502014000400237&lang=pt" 
"S0102-86502014000400252-scl","Reconstruction of abdominal wall defects using small intestinal submucosa coated with gelatin hydrogel incorporating basic fibroblast growth factor","Wang, Liang, Lai, Dong-ming, Yang, Bin, Jiang, Zhi-peng, Zhang, Yu-chao, Zhou, Jun, Lai, Wei, Chen, Shuang","Acta Cirurgica Brasileira; 29(4); 252-260","Acta Cirurgica Brasileira","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502014000400252&lang=pt" 
"S0102-86502014000400218-scl","Ovarian blood vessel occlusion as a surgical sterilization method in rats","Murakami, Eduardo, Camargo, Laíza Sartori de, Cardoso, Karym Christine de Freitas, Miguel, Marina Pacheco, Tavares, Denise Cláudia, Honsho, Cristiane dos Santos, Souza, Fabiana Ferreira de","Acta Cirurgica Brasileira; 29(4); 218-223","Acta Cirurgica Brasileira","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502014000400218&lang=pt" 
"S0102-86502014000400245-scl","Analgesic comparison of systemic lidocaine, morphine or lidocaine plus morphine infusion in dogs undergoing fracture repair","Alves, Isabela Picolo Guimarães, Nicácio, Gabriel Montoro, Diniz, Miriely Steim, Rocha, Thalita Leone Alves, Kanashiro, Glaucia Prada, Cassu, Renata Navarro","Acta Cirurgica Brasileira; 29(4); 245-251","Acta Cirurgica Brasileira","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502014000400245&lang=pt" 
"S0102-86502014000400280-scl","DNA damage and antioxidant status in medical residents occupationally exposed to waste anesthetic gases","Paes, Ellen Regina da Costa, Braz, Mariana Gobbo, Lima, Joilson Teixeira de, Silva, Milana Reis Gomes da, Sousa, Leilane Bentes de, Lima, Emerson Silva, Vasconcellos, Marne Carvalho de, Braz, José Reinaldo Cerqueira","Acta Cirurgica Brasileira; 29(4); 280-286","Acta Cirurgica Brasileira","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502014000400280&lang=pt" 
"S0102-86502014000400274-scl","Urethral dysfunction due to alloxan-induced diabetes. Urodynamic evaluation and action of sildenafil citrate","Pegorare, Ana Beatriz Gomes de Souza, Gonçalves, Marco Antonio, Oliveira, Alessandra Martiniano de, Rodrigues Junior, Antonio Antunes, Tucci Jr, Silvio, Suaid, Haylton Jorge","Acta Cirurgica Brasileira; 29(4); 274-279","Acta Cirurgica Brasileira","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502014000400274&lang=pt" 
"S1727-897X2014000200015-cub","Promoción de la lactancia materna exclusiva: una necesidad permanente","Fernández Brizuela, Ener","MediSur; 12(2); 456-459","MediSur","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-897X2014000200015&lang=pt" 
"S1727-897X2014000200013-cub","Herida penetrante escleral con cuerpo extraño intraocular. Presentación de un caso","Martínez Díaz, Anay, Milanés Armengol, Armando, Molina Castellanos, Katia, Hernández Peña, Eduardo","MediSur; 12(2); 442-450","MediSur","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-897X2014000200013&lang=pt" 
"S1727-897X2014000200009-cub","Desarrollo de gangrena en paciente inoculado por Pterois volitans (pez león). Presentación de un caso","González Díaz, Ernesto, Escobar Román, Raylen, Leiva Acebey, Leonardo","MediSur; 12(2); 421-425","MediSur","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-897X2014000200009&lang=pt" 
"S1727-897X2014000200010-cub","Piometra senil benigno gigante en útero bicorne","Lobato Miguélez, José, San Roman Sigler, María, López Valverde, Miguel","MediSur; 12(2); 426-430","MediSur","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-897X2014000200010&lang=pt" 
"S1727-897X2014000200011-cub","Tumor dermoide córneoconjuntival. Presentación de caso","Alfonso Sánchez, Osbel, Quignon Santana, Sandra","MediSur; 12(2); 431-436","MediSur","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-897X2014000200011&lang=pt" 
"S1727-897X2014000200003-cub","Caracterización de las muertes violentas ocurridas en Cienfuegos en el año 2012","Rodríguez González, Manuel, Arteaga Ramírez, Illovis, Vega Hernández, Damaris, Rodríguez González, Osmel","MediSur; 12(2); 377-382","MediSur","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-897X2014000200003&lang=pt" 
"S1983-21172014000100009-scl","EDITORIAL","Quadros, Ana Luiza de","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 16(1); 9-10","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172014000100009&lang=pt" 
"S1983-21172014000100115-scl","O ENSINO DE CIÊNCIAS COMO FERRAMENTA PEDAGÓGICA DE RECONSTRUÇÃO DAS REPRESENTAÇÕES ESCOLARES SOBRE OS POVOS INDÍGENAS","Koeppe, Cleise Helen Botelho, Borges, Regina Maria Rabello, Lahm, Regis Alexandre","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 16(1); 115-130","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172014000100115&lang=pt" 
"S1983-21172014000100031-scl","POR UM ENSINO E UMA APRENDIZAGEM-ACONTECIMENTO","Brito, Maria dos Remédios de, Ramos, Maria Neide Carneiro","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 16(1); 31-48","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172014000100031&lang=pt" 
"S1727-897X2014000200001-cub","Propuesta de un instrumento para la estratificación en el Departamento de Urgencias del paciente diabético con hiperglucemia aguda no complicada","Corona Martínez, Luís, Rodríguez Amador, Laydami, Rodríguez Valdés, Jannet","MediSur; 12(2); 354-364","MediSur","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-897X2014000200001&lang=pt" 
"S1983-21172014000100171-scl","A PESQUISA COMO POSSIBILIDADE DE RESSIGNIFICAÇÃO DAS PRÁTICAS DE ENSINO NA ESCOLA NO/DO CAMPO","Paniago, Rosenilde Nogueira, Rocha, Simone Albuquerque da, Paniago, Josenilde Nogueira","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 16(1); 171-188","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172014000100171&lang=pt" 
"S1983-21172014000100131-scl","ESTUDO E CARACTERIZAÇÃO DO PENSAMENTO DOCENTE ESPONTÂNEO DE INGRESSANTES DE UM CURSO DE LICENCIATURA EM QUÍMICA","Lopes, José Guilherme da Silva, Silva Junior, Luiz Alberto","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 16(1); 131-148","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172014000100131&lang=pt" 
"S1983-21172014000100149-scl","CONSTRUÇÃO DA IDENTIDADE DOCENTE DE UM ESTUDANTE DE LICENCIATURA EM CIÊNCIAS BIOLÓGICAS EM CURSO A DISTÂNCIA: UM CASO DE HIBRIDISMO","Costa, Mara Lúcia Rodrigues, Rezende, Flavia","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 16(1); 149-170","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172014000100149&lang=pt" 
"S0100-72032014000400143-scl","Three-dimensional ultrasound in obstetrics practice: myth or reality?","Tonni, Gabriele, Araujo Júnior, Edward","Revista Brasileira de Ginecologia e Obstetrícia; 36(4); 143-145","Revista Brasileira de Ginecologia e Obstetrícia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032014000400143&lang=pt" 
"S0100-72032014000400170-scl","Achados histeroscópicos na cavidade endometrial após ablação endometrial","Guerin, Aline Rocha, Lopes, Reginaldo Guedes Coelho, Depes, Daniella de Batista, Martins, João Alfredo","Revista Brasileira de Ginecologia e Obstetrícia; 36(4); 170-175","Revista Brasileira de Ginecologia e Obstetrícia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032014000400170&lang=pt" 
"S0100-72032014000400157-scl","Cardiovascular risk in middle-aged breast cancer survivors: a comparison between two risk models","Sousa-e-Silva, Érika Pereira de, Conde, Délio Marques, Costa-Paiva, Lúcia, Martinez, Edson Zangiacomi, Pinto-Neto, Aarão Mendes","Revista Brasileira de Ginecologia e Obstetrícia; 36(4); 157-162","Revista Brasileira de Ginecologia e Obstetrícia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032014000400157&lang=pt" 
"S0100-72032014000400152-scl","Sexualidade e depressão em gestantes com aborto espontâneo de repetição","Francisco, Maria De Fátima Rezende, Mattar, Rosiane, Bortoletti, Fátima Ferreira, Nakamura, Mary Uchiyama","Revista Brasileira de Ginecologia e Obstetrícia; 36(4); 152-156","Revista Brasileira de Ginecologia e Obstetrícia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032014000400152&lang=pt" 
"S0102-36162014000200149-scl","Total knee arthroplasty with computer-assisted navigation: an analysis of 200 cases,","Luzo, Marcus Vinicius Malheiros, Ambra, Luiz Felipe Morlin, Debieux, Pedro, Franciozi, Carlos Eduardo da Silveira, Costi, Raquel Ribeiro, Petrilli, Marcelo de Toledo, Kubota, Marcelo Seiji, Albertoni, Leonardo José Bernardes, Queiroz, Antônio Altenor Bessa de, Ferreira, Fábio Pacheco, Granata Júnior, Geraldo Sérgio de Mello, Carneiro Filho, Mário","Revista Brasileira de Ortopedia; 49(2); 149-153","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200149&lang=pt" 
"S0102-36162014000200160-scl","Radiological analysis on femoral tunnel positioning between isometric and anatomical reconstructions of the anterior cruciate ligament,","Vieira, Rodrigo Barreiros, Tavares, Leonardo Augusto de Pinho, Lasmar, Rodrigo Campos Pace, Cunha, Fernando Amaral da, Lisboa, Lucas Araujo de Melo","Revista Brasileira de Ortopedia; 49(2); 160-166","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200160&lang=pt" 
"S0102-36162014000200202-scl","Fixation of an osteochondral fragment after acute patellar dislocation in an immature skeleton,","Albuquerque, Rodrigo Pires e, Santos Neto, José Félix dos, Albuquerque, Maria Isabel Pires e, Giordano, Vincenzo, Amaral, Ney Pecegueiro do","Revista Brasileira de Ortopedia; 49(2); 202-205","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200202&lang=pt" 
"S0102-36162014000200206-scl","Patellar osteochondroma: case report,","Moraes, Frederico Barra de, Melo, Mariana Christino de, Rocha, Allan Vieira, Santos, Mauro Rodrigues dos","Revista Brasileira de Ortopedia; 49(2); 206-209","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200206&lang=pt" 
"S0102-36162014000200210-scl","Erratum on &quot;Mid-term evaluation of total knee arthroplasty without patellar replacement&quot;","Vasconcelos, José Wanderley, Leite, Leopoldina Milanez da Silva, Sousa, José Carlos Amaral, Sousa, José Orleans Mendes de, Santos, Márcio Fernandes Santos e","Revista Brasileira de Ortopedia; 49(2); 210-210","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200210&lang=pt" 
"S0102-36162014000200101-scl","What makes us accept the way we work? Maybe the pleasure of practicing medicine!","Camanho, Gilberto Luis","Revista Brasileira de Ortopedia; 49(2); 101-102","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200101&lang=pt" 
"S0102-36162014000200134-scl","Evaluation of treatment for camptodactyly: retrospective analysis on 40 fingers,","Almeida, Saulo Fontes, Monteiro, Anderson Vieira, Lanes, Rúbia Carla da Silva","Revista Brasileira de Ortopedia; 49(2); 134-139","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200134&lang=pt" 
"S0102-36162014000200154-scl","Revision of unicompartmental knee arthroplasty: implants used and causes of failure","Mozella, Alan de Paula, Gonçalves, Felipe Borges, Vasconcelos, Jansen Osterno, Cobra, Hugo Alexandre de Araújo Barros","Revista Brasileira de Ortopedia; 49(2); 154-159","Revista Brasileira de Ortopedia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-36162014000200154&lang=pt" 
"S1517-86922014000200161-scl","Exercício Físico e Câncer","Moraes, Alan de Jesus Pires de, Carvalho, Tales de, Mara, Lourenço Sampaio de, Benetti, Magnus, Battaglini, Claudio Luiz","Revista Brasileira de Medicina do Esporte; 20(2); 161-161","Revista Brasileira de Medicina do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922014000200161&lang=pt" 
"S1517-86922014000200097-scl","Explosive strength training improves speed and agility in wheelchair basketball athletes","Ozmen, Tarik, Yuktasir, Bekir, Yildirim, Necmiye Un, Yalcin, Birol, Willems, Mark ET","Revista Brasileira de Medicina do Esporte; 20(2); 97-100","Revista Brasileira de Medicina do Esporte","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922014000200097&lang=pt" 
"S1517-86922014000200092-scl","Comparação de protocolos de corrida para determinação de diferentes limiares","Fraga, Carina Helena Wasem, Bianco, Roberto, Serrão, Júlio Cerca, Greco, Camila Coelho, Amadio, Alberto Carlos, Gonçalves, Mauro","Revista Brasileira de Medicina do Esporte; 20(2); 92-96","Revista Brasileira de Medicina do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922014000200092&lang=pt" 
"S1517-86922014000200156-scl","Índice glicêmico da refeição pré-exercício e metabolismo da glicose na atividade aeróbica","Faria, Valéria Cristina de, Oliveira, Gustavo Antonio de, Sales, Samuel de Souza, Marins, João Carlos Bouzas, Lima, Luciana Moreira","Revista Brasileira de Medicina do Esporte; 20(2); 156-160","Revista Brasileira de Medicina do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922014000200156&lang=pt" 
"S1517-86922014000200151-scl","Efeito do ultrassom terapêutico sobre as propriedades mecânicas do gastrocnêmio em ratos","Barbosa, Hállamo Henrique Saraiva, Nascimento Filho, José Humberto do, Nonato, Dayanne Terra Tenório, Almeida, Magno Jackson Moreno de, Silva, Flávio Santos, Abreu, Bento João, Vieira, Wouber Hérickson de Brito","Revista Brasileira de Medicina do Esporte; 20(2); 151-155","Revista Brasileira de Medicina do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922014000200151&lang=pt" 
"S1517-86922014000200142-scl","Efeito do exercício físico sobre a leptinemia e percentual de gordura de adultos","Vargas, Liziane da Silva de, Santos, Daniela Lopes dos","Revista Brasileira de Medicina do Esporte; 20(2); 142-145","Revista Brasileira de Medicina do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922014000200142&lang=pt" 
"S1517-86922014000200146-scl","Efeitos do treinamento proprioceptivo na estabilidade do tornozelo em atletas de voleibol","Peres, Mariana Michalski, Cecchini, Lisiane, Pacheco, Ivan, Pacheco, Adriana Moré","Revista Brasileira de Medicina do Esporte; 20(2); 146-150","Revista Brasileira de Medicina do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922014000200146&lang=pt" 
"S1517-86922014000200131-scl","Exercício aeróbio reduz a hipertensão arterial de mulheres com Doença de Chagas","Lopes, Wania da Silva, Cuman, Roberto Kenji Nakamura, Guedes, Terezinha Aparecida, Araújo, Silvana Marques de, Gomes, Mônica Lúcia","Revista Brasileira de Medicina do Esporte; 20(2); 131-136","Revista Brasileira de Medicina do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922014000200131&lang=pt" 
"S1517-86922014000200125-scl","Efeito do treinamento de força nas variáveis cardiovasculares em adolescentes com sobrepeso","Miranda, João Marcelo de Queiroz, Dias, Leandro da Costa, Mostarda, Cristiano Teixeira, Angelis, Kátia De, Figueira Junior, Aylton José, Wichi, Rogério Brandão","Revista Brasileira de Medicina do Esporte; 20(2); 125-130","Revista Brasileira de Medicina do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922014000200125&lang=pt" 
"S1517-86922014000200119-scl","Exercício intenso e suplementação de testosterona em portadores de insuficiência cardíaca","Mara, Lourenço Sampaio de, Valente Filho, Jamil Mattar, Ribeiro, Eduardo Porto, Ulbrich, Anderson Zampier, Lineburger, Alexandra Amin, Angarten, Vitor, Sties, Sabrina Weiss, Pacheco, Juliano Anderson, Carvalho, Tales de","Revista Brasileira de Medicina do Esporte; 20(2); 119-124","Revista Brasileira de Medicina do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922014000200119&lang=pt" 
"S1517-86922014000200105-scl","Ação do licopeno nos músculos esquelético e cardíaco sob estresse oxidativo por exercícios","Simões, Karina, Magosso, Rodrigo Ferro, Lagoeiro, Cristiani Gomes, Castellan, Vanessa Teixeira, Silva, Natália Santanielo, Scrivante, Bruno Ferraresi, Qualhato, Gabriel, Figueiredo, Augusto César Ribeiro, Benetti, Edson José, Rebelo, Ana Cristina Silva","Revista Brasileira de Medicina do Esporte; 20(2); 105-109","Revista Brasileira de Medicina do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922014000200105&lang=pt" 
"S1517-86922014000200101-scl","Nível de atividade física e acúmulo de tempo sentado em estudantes de medicina","Raddi, Leandro Luiz de Oliveira, Silva Júnior, João Pedro da, Ferrari, Gerson Luis de Moraes, Oliveira, Luís Carlos de, Matsudo, Victor Keihan Rodrigues","Revista Brasileira de Medicina do Esporte; 20(2); 101-104","Revista Brasileira de Medicina do Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922014000200101&lang=pt" 
"S0100-72032014000400146-scl","Volume de líquido amniótico e os desfechos maternos em gestantes com ruptura prematura das membranas pré-termo","Patriota, Adriane Farias, Guerra, Gláucia Virgínia de Queiroz Lins, Melo, Brena Carvalho Pinto de, Santos, Alessandra Coelho, Torres Júnior, Alberto Callou, Souza, Alex Sandro Rolland","Revista Brasileira de Ginecologia e Obstetrícia; 36(4); 146-151","Revista Brasileira de Ginecologia e Obstetrícia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032014000400146&lang=pt" 
"S0100-72032014000400182-scl","Impacto da capacitação dos profissionais de saúde sobre o rastreamento do câncer do colo do útero em unidades básicas de saúde","Amaral, Ariadne Ferreira, Araújo, Eduardo Silva, Magalhães, Juliana Cristina, Silveira, Érika Aparecida, Tavares, Suelene Brito do Nascimento, Amaral, Rita Goreti","Revista Brasileira de Ginecologia e Obstetrícia; 36(4); 182-187","Revista Brasileira de Ginecologia e Obstetrícia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032014000400182&lang=pt" 
"S0100-72032014000400176-scl","Gordura corporal total e do tronco e o desempenho da marcha em mulheres na menopausa","Fortaleza, Ana Claudia de Souza, Rossi, Fabrício Eduardo, Buonani, Camila, Fregonesi, Cristina Elena Prado Teles, Neves, Lucas Melo, Diniz, Tiego Aparecido, Freitas Júnior, Ismael Forte","Revista Brasileira de Ginecologia e Obstetrícia; 36(4); 176-181","Revista Brasileira de Ginecologia e Obstetrícia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032014000400176&lang=pt" 
"S0100-72032014000400163-scl","Síndrome climatérica em uma cidade do Nordeste brasileiro: um inquérito domiciliar","Malheiros, Elizabeth Santos de Andrade, Chein, Maria Bethânia da Costa, Silva, Diego Salvador Muniz da, Dias, Caroline Louise Lima, Brito, Luiz Gustavo Oliveira, Pinto-Neto, Aarão Mendes, Brito, Luciane Maria Oliveira","Revista Brasileira de Ginecologia e Obstetrícia; 36(4); 163-169","Revista Brasileira de Ginecologia e Obstetrícia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032014000400163&lang=pt" 
"S1727-897X2014000200002-cub","Diagnóstico y tratamiento de la fascitis necrosante","Ferrer Lozano, Yovanny, Oquendo Vázquez, Pablo, Asin, Lázara, Morejón Trofimova, Yanett","MediSur; 12(2); 365-376","MediSur","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-897X2014000200002&lang=pt" 
"S1727-897X2014000200007-cub","Calidad de vida relacionada con la salud en mujeres con ovario poliquístico","Carazo Hernández, Belén, Lafalla Bernad, Olivia, García Simón, Raquel, Gascón Mas, Elena, Moreno Romea, Esther, Pérez-Ezquerra, Beatriz","MediSur; 12(2); 408-415","MediSur","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-897X2014000200007&lang=pt" 
"S1983-21172014000100067-scl","PERFIL E DESTINO OCUPACIONAL DE EGRESSOS GRADUADOS EM CIÊNCIAS BIOLÓGICAS NAS MODALIDADES A DISTÂNCIA E PRESENCIAL","Teixeira, Dirceu Esdras, Ribeiro, Luiz Carlos dos Santos, Cassiano, Keila Mara, Masuda, Masako Oya, Benchimol, Marlene","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 16(1); 67-84","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172014000100067&lang=pt" 
"S1727-897X2014000200014-cub","Problemas relacionados con el alcohol en personas con conducta deambulante de La Habana","Almaguer Barroso, Beatriz, González López, Alejandro","MediSur; 12(2); 451-455","MediSur","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-897X2014000200014&lang=pt" 
