"S1852-99922011000300010-arg","Colonoscopía virtual","Seehaus, Alberto Cristian","Revista argentina de radiología; 75(3); 222-222","Revista argentina de radiología","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922011000300010&lang=pt" 
"S1517-83822011000300050-scl","Effect of ingestion of soy yogurt on intestinal parameters of rats fed on a beef-based animal diet","Bedani, Raquel, Pauly-Silveira, Nadiége Dourado, Cano, Veridiana Soares Pereira, Valentini, Sandro Roberto, Valdez, Graciela Font de, Rossi, Elizeu Antonio","Brazilian Journal of Microbiology; 42(3); 1238-1247","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300050&lang=pt" 
"S0211-57352011000300013-esp","De visita al manicomio","Martínez Azumendi, Óscar","Revista de la Asociación Española de Neuropsiquiatría; 31(3); 555-562","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352011000300013&lang=pt" 
"S0211-57352011000300016-esp","Observatorio AEN 2010","","Revista de la Asociación Española de Neuropsiquiatría; 31(3); 589-589","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352011000300016&lang=pt" 
"S0211-57352011000300002-esp","Dos nuevas secciones en la Revista","Martínez Azumendi, Óscar","Revista de la Asociación Española de Neuropsiquiatría; 31(3); 417-418","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352011000300002&lang=pt" 
"S0211-57352011000300017-esp","Proyecto de Sección de Neurociencia Clínica de la AEN","Vargas, Martín L., Lahera, Guillermo, López de Silanes, Carlos, Tirapu, Javier","Revista de la Asociación Española de Neuropsiquiatría; 31(3); 589-597","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352011000300017&lang=pt" 
"S1517-83822011000300001-scl","Formulation of economical microbial feed using degraded chicken feathers by a novel Streptomyces sp: mitigation of environmental pollution","Ramakrishnan, Jayapradha, Balakrishnan, Hariram, Raja, Selvaraj Thirupathi Kumara, Sundararamakrishnan, Natarajan, Renganathan, Sadagoban, Radha, Venkatesh Nagarajan","Brazilian Journal of Microbiology; 42(3); 825-834","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300001&lang=pt" 
"S1517-83822011000300002-scl","Taxonomic study and partial characterization of antimicrobial compounds from a moderately halophilic strain of the genus Actinoalloteichus","Boudjelal, Farida, Zitouni, Abdelghani, Mathieu, Florence, Lebrihi, Ahmed, Sabaou, Nasserdine","Brazilian Journal of Microbiology; 42(3); 835-845","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300002&lang=pt" 
"S1517-83822011000300004-scl","Microbial activity, arbuscular mycorrhizal fungi and inoculation of woody plants in lead contaminated soil","Gattai, Graziella S, Pereira, Sônia V, Costa, Cynthia M. C, Lima, Cláudia E. P, Maia, Leonor C","Brazilian Journal of Microbiology; 42(3); 859-867","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300004&lang=pt" 
"S1517-83822011000300010-scl","Triple inoculation with Bradyrhizobium, Glomus and Paenibacillus on cowpea (Vigna unguiculata [L.] walp.) development","Lima, André Suêldo Tavares de, Xavier, Terezinha Ferreira, Lima, Cláudia Elizabete Pereira de, Oliveira, José de Paula, Mergulhão, Adália Cavalcanti do Espírito Santo, Figueiredo, Márcia do Vale Barreto","Brazilian Journal of Microbiology; 42(3); 919-926","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300010&lang=pt" 
"S1517-83822011000300011-scl","Antarctic marine bacterium Pseudoalteromonas sp. KNOUC808 as a source of cold-adapted lactose hydrolyzing enzyme","Nam, EunSook, Ahn, JongKun","Brazilian Journal of Microbiology; 42(3); 927-936","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300011&lang=pt" 
"S1517-83822011000300013-scl","Comparative study of the pathogenicity of seabed isolates of Fusarium equiseti and the effect of the composition of the mineral salt medium and temperature on mycelial growth","Palmero, D, Cara, M. de, Iglesias, C, Gálvez, L, Tello, J.C","Brazilian Journal of Microbiology; 42(3); 948-953","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300013&lang=pt" 
"S1517-83822011000300014-scl","Kluyveromyces aestuarii, a potential environmental quality indicator yeast for mangroves in the State of Rio de Janeiro, Brazil","Araujo, F.V, Hagler, A. N","Brazilian Journal of Microbiology; 42(3); 954-958","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300014&lang=pt" 
"S1517-83822011000300016-scl","Rapid identification of Mycobacterium tuberculosis complex by a novel hybridization signal amplification method based on self-assembly of DNA-streptavidin nanoparticles","Wang, Haihe, Zhao, Chunyan, Li, Fan","Brazilian Journal of Microbiology; 42(3); 964-972","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300016&lang=pt" 
"S1517-83822011000300017-scl","Synergistic growth effect among bacteria recovered from root canal infections","Moreira Júnior, Gil, Ribeiro Sobrinho, Antônio Paulino, Bambirra, Bernardo Henrique Silva, Bambirra, Felipe Henrique Silva, Carvalho, Maria Auxiliadora Roque, Farias, Luiz Macedo, Nicoli, Jacques Robert, Moreira, Elizabeth Spangler","Brazilian Journal of Microbiology; 42(3); 973-979","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300017&lang=pt" 
"S1517-83822011000300018-scl","In vitro antibacterial activity of some antihistaminics belonging to different groups against multi-drug resistant clinical isolates","El-Nakeeb, Moustafa A, Abou-Shleib, Hamida M, Khalil, Amal M, Omar, Hoda G, El-Halfawy, Omar M","Brazilian Journal of Microbiology; 42(3); 980-991","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300018&lang=pt" 
"S1517-83822011000300020-scl","Antifungal activity of Piper diospyrifolium Kunth (Piperaceae) essential oil","Vieira, Silvia Cristina Heredia, Paulo, Luis Fernando de, Svidzinski, Terezinha Inez Estivaleti, Dias Filho, Benedito Prado, Nakamura, Celso Vataru, Souza, Amanda de, Young, Maria Cláudia Marx, Cortez, Diógenes Aparício Garcia","Brazilian Journal of Microbiology; 42(3); 1001-1006","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300020&lang=pt" 
"S1517-83822011000300021-scl","Antifungal activity of different neem leaf extracts and the nimonol against some important human pathogens","Mahmoud, D.A, Hassanein, N.M, Youssef, K.A, Abou Zeid, M.A","Brazilian Journal of Microbiology; 42(3); 1007-1016","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300021&lang=pt" 
"S1517-83822011000300022-scl","Characterization of a chitinase with antifungal activity from a native Serratia marcescens B4A","Zarei, Mandana, Aminzadeh, Saeed, Zolgharnein, Hossein, Safahieh, Alireza, Daliri, Morteza, Noghabi, Kambiz Akbari, Ghoroghi, Ahmad, Motallebi, Abbasali","Brazilian Journal of Microbiology; 42(3); 1017-1029","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300022&lang=pt" 
"S0864-21252011000300001-cub","Relación entre la severidad de las manifestaciones de asma bronquial y el cumplimiento del tratamiento intercrisis","de la Vega Pazitková, Tatiana, Pérez Martínez, Víctor Tadeo, Bezos Martínez, Lenia","Revista Cubana de Medicina General Integral; 27(3); 294-306","Revista Cubana de Medicina General Integral","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252011000300001&lang=pt" 
"S0864-21252011000300002-cub","Repercusión social y análisis bioético del alcoholismo en pacientes del Grupo de Alcohólicos Anónimos de La Habana","Brito Sosa, Germán, Iraizoz Barrios, Ana María","Revista Cubana de Medicina General Integral; 27(3); 307-322","Revista Cubana de Medicina General Integral","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252011000300002&lang=pt" 
"S0864-21252011000300003-cub","Comportamiento de algunos factores biosociales en la lactancia materna en los menores de un año","Avalos González, María Marlen","Revista Cubana de Medicina General Integral; 27(3); 323-331","Revista Cubana de Medicina General Integral","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252011000300003&lang=pt" 
"S0864-21252011000300004-cub","Sistema automatizado para el análisis de la situación de salud","Paramio Rodríguez, Agustín, Oliva Pérez, Maritza, Ledesma del Peral, Marisela","Revista Cubana de Medicina General Integral; 27(3); 332-343","Revista Cubana de Medicina General Integral","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252011000300004&lang=pt" 
"S0864-21252011000300005-cub","Tuberculosis notificada en cuatro municipios de la capital cubana","Jordán Severo, Tamine, Oramas González, René, Peralta Pérez, Mariana, Armas Pérez, Luisa, González Ochoa, Edilberto","Revista Cubana de Medicina General Integral; 27(3); 344-354","Revista Cubana de Medicina General Integral","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252011000300005&lang=pt" 
"S0864-21252011000300006-cub","Pesquisa de alcoholismo y análisis bioético del daño que representa en una población cubana","Brito Sosa, Germán, Iraizoz Barrios, Ana María, Alburquerque Fernández, Felicia","Revista Cubana de Medicina General Integral; 27(3); 355-370","Revista Cubana de Medicina General Integral","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252011000300006&lang=pt" 
"S0864-21252011000300007-cub","La atención de urgencia y la dispensarización en el Policlínico Universitario Docente de Playa","Cuesta Mejías, Leonardo Antonio","Revista Cubana de Medicina General Integral; 27(3); 371-377","Revista Cubana de Medicina General Integral","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252011000300007&lang=pt" 
"S0864-21252011000300008-cub","Bases y aplicación del método hipotético-deductivo en el diagnóstico","Díaz Novás, José, Gallego Machado, Bárbara Rosa, Calles Calviño, Adela","Revista Cubana de Medicina General Integral; 27(3); 378-387","Revista Cubana de Medicina General Integral","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252011000300008&lang=pt" 
"S0864-21252011000300009-cub","Factores de riesgos asociados a la infección por dengue en San Mateo, Anzoátegui, Venezuela","Hoyos Rivera, Antulio, Pérez Rodríguez, Antonio, Hernández Meléndrez, Edelsys","Revista Cubana de Medicina General Integral; 27(3); 388-395","Revista Cubana de Medicina General Integral","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252011000300009&lang=pt" 
"S0864-21252011000300010-cub","Parasitosis intestinal, su relación con factores ambientales en niños del sector &quot;Altos de Milagro&quot;, Maracaibo","Espinosa Morales, Madeline, Alazales Javiqué, Mercedes, García Socarrás, Ada Margarita","Revista Cubana de Medicina General Integral; 27(3); 396-405","Revista Cubana de Medicina General Integral","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252011000300010&lang=pt" 
"S0864-21252011000300011-cub","Hematocolpos secundario a síndrome de Rokitansky","Mena Cantero, Alvin, Sánchez Lueiro, Mayra","Revista Cubana de Medicina General Integral; 27(3); 406-410","Revista Cubana de Medicina General Integral","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252011000300011&lang=pt" 
"S0864-21252011000300012-cub","Diagnóstico prenatal de la malformación adenomatoidea quística pulmonar","Yanes Calderón, Margeris, Rojas González, Regla María, Castillo Batista, Mayelín, González Salvat, Rosa María, de la Vega Pazitková, Tatiana","Revista Cubana de Medicina General Integral; 27(3); 403-407","Revista Cubana de Medicina General Integral","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252011000300012&lang=pt" 
"S0864-21252011000300013-cub","Siameses","Lugones Botell, Miguel, Ramírez Bermúdez, Marieta","Revista Cubana de Medicina General Integral; 27(3); 416-422","Revista Cubana de Medicina General Integral","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252011000300013&lang=pt" 
"S1517-83822011000300023-scl","Typing Candida albicans oral isolates from healthy Brazilian schoolchildren using multilocus enzyme electrophoresis reveals two highly polymorphic taxa","Boriollo, Marcelo Fabiano Gomes, Spolidorio, Denise Madalena Palomari, Barros, Letizia Monteiro, Bassi, Rodrigo Carlos, Garcia, José Antonio Dias, Costa, Ana Maria Duarte Dias, Rosa, Edvaldo Antonio Ribeiro, Höfling, José Francisco","Brazilian Journal of Microbiology; 42(3); 1030-1046","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300023&lang=pt" 
"S1517-83822011000300030-scl","Medium composition influence on Biotin and Riboflavin production by newly isolated Candida sp","Suzuki, Gaby Tiemi, Macedo, Juliana Alves, Macedo, Gabriela Alves","Brazilian Journal of Microbiology; 42(3); 1093-1100","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300030&lang=pt" 
"S1517-83822011000300041-scl","Transcription of interferon stimulated genes in response to porcine rubulavirus infection in vitro","Flores-Ocelotl, María del Rosario, Rosas-Murrieta, Nora Hilda, Vallejo-Ruiz, Verónica, Reyes-Leyva, Julio, Herrera-Camacho, Irma, Santos-López, Gerardo","Brazilian Journal of Microbiology; 42(3); 1167-1175","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300041&lang=pt" 
"S1517-83822011000300044-scl","Identification and biological activity of potential probiotic bacterium isolated from the stomach mucus of breast-fed lamb","Sepová, H. Kiňová, Dubničková, M, Bilková, A, Bukovský, M, Bezáková, L","Brazilian Journal of Microbiology; 42(3); 1188-1196","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300044&lang=pt" 
"S1517-83822011000300046-scl","Characterization of outbreak hepatitis a isolates in five Tunisian childcare centers","Gharbi-Khelifi, Hakima, Abid, Nabil Ben Salem, Sdiri, Khira, Harrath, Rafik, Beji, Abir, Bhiri, Leila, Billaudel, Sylviane, Ferre, Virginie, Aouni, Mahjoub","Brazilian Journal of Microbiology; 42(3); 1204-1212","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300046&lang=pt" 
"S1517-83822011000300047-scl","Expression of HMGB1 and HMGN2 in gingival tissues, GCF and PICF of periodontitis patients and peri-implantitis","Xie, Ping, Deng, Lu-Xia, Gong, Ping, Ding, Yi, Tang, Xiao-Hai","Brazilian Journal of Microbiology; 42(3); 1213-1219","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300047&lang=pt" 
"S1517-83822011000300049-scl","Bioconversion of ginsenoside Rb1 into compound K by Leuconostoc citreum LH1 isolated from kimchi","Quan, Lin-Hu, Piao, Jin-Ying, Min, Jin-Woo, Yang, Dong-Uk, Lee, Hee Nyeong, Yang, Deok Chun","Brazilian Journal of Microbiology; 42(3); 1227-1237","Brazilian Journal of Microbiology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822011000300049&lang=pt" 
"S1679-78252011000300001-scl","Dynamic response analysis of single-span guideway caused by high speed maglev train","Shi, Jin, Wang, Ying-Jie","Latin American Journal of Solids and Structures; 8(3); 213-228","Latin American Journal of Solids and Structures","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252011000300001&lang=pt" 
"S1679-78252011000300002-scl","Free vibration of thick orthotropic plates using trigonometric shear deformation theory","Ghugal, Y. M, Sayyad, A. S","Latin American Journal of Solids and Structures; 8(3); 229-243","Latin American Journal of Solids and Structures","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252011000300002&lang=pt" 
"S1679-78252011000300005-scl","An extension of coupled beam method and its application to study ship&#039;s hull-superstructure interaction problems","Morshedsolouk, Fattaneh, Khedmati, Mohammad Reza","Latin American Journal of Solids and Structures; 8(3); 265-290","Latin American Journal of Solids and Structures","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252011000300005&lang=pt" 
"S1679-78252011000300006-scl","A probabilistic capacity spectrum strategy for the reliability analysis of bridge pile shafts considering soil structure interaction","Kim, Dookie, Chaudhary, Sandeep, Nocete, Charito Fe, Wang, Feng, Lee, Do Hyung","Latin American Journal of Solids and Structures; 8(3); 291-303","Latin American Journal of Solids and Structures","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252011000300006&lang=pt" 
"S1679-78252011000300007-scl","A FEM-BEM interactive coupling for modeling the piezoelectric health monitoring systems","Shah, Abid A.","Latin American Journal of Solids and Structures; 8(3); 305-334","Latin American Journal of Solids and Structures","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252011000300007&lang=pt" 
"S1679-78252011000300009-scl","The natural frequencies of composite Profiled Steel Sheet Dry Board with Concrete infill (PSSDBC) system","Gandomkar, Farhad Abbas, Badaruzzaman, Wan Hamidon Wan, Osman, Siti Aminah","Latin American Journal of Solids and Structures; 8(3); 351-372","Latin American Journal of Solids and Structures","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-78252011000300009&lang=pt" 
"S0211-57352011000300011-esp","Boticarium I","Medrano, Juan","Revista de la Asociación Española de Neuropsiquiatría; 31(3); 533-542","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352011000300011&lang=pt" 
"S0211-57352011000300005-esp","&quot;Depresión&quot;: Imprecisión diagnóstica y terapéutica. Importantes consecuencias en la práctica clínica","Ezquiaga Terrazas, Elena, García López, Aurelio, Díaz de Neira, Mónica, García Barquero, María José","Revista de la Asociación Española de Neuropsiquiatría; 31(3); 457-475","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352011000300005&lang=pt" 
"S0211-57352011000300004-esp","En torno a la construcción social de la locura: Ian Hacking y la historia cultural de la psiquiatría","Huertas, Rafael","Revista de la Asociación Española de Neuropsiquiatría; 31(3); 437-456","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352011000300004&lang=pt" 
"S0211-57352011000300003-esp","Análisis comparativo de los pacientes con y sin trastorno mental diagnosticable","Lozano Serrano, Carolina, Ortiz Lobo, Alberto, González González, Rocío","Revista de la Asociación Española de Neuropsiquiatría; 31(3); 421-435","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352011000300003&lang=pt" 
"S0325-29572011000300001-arg","Congreso Nacional Bioquímico CUBRA XI, Jujuy 2011","Martínez, Miguel Ángel, Navarro, Carlos Daniel","Acta bioquímica clínica latinoamericana; 45(3); 411-412","Acta bioquímica clínica latinoamericana","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572011000300001&lang=pt" 
"S0325-29572011000300002-arg","Síndrome metabólico: frecuencia de sus componentes y riesgo global de cardiopatia coronaria","Coniglio, Raúl Ignacio, Nellem, Jorge, Sibechi, Norberto, Colombo, Osvaldo","Acta bioquímica clínica latinoamericana; 45(3); 413-421","Acta bioquímica clínica latinoamericana","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572011000300002&lang=pt" 
"S0325-29572011000300003-arg","Vigencia del Síndrome Metabólico","Acosta Garcia, Edgar","Acta bioquímica clínica latinoamericana; 45(3); 423-430","Acta bioquímica clínica latinoamericana","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572011000300003&lang=pt" 
"S0325-29572011000300004-arg","Enfermedad de Chagas-Mazza: seroprevalencia, características epidemiológicas y sociales","Corallini, Juan Carlos, Fernández, Oscar, Della Vedova, Alejandra, Dicroce, Mario Héctor, Bianconi, Melina, González, Marisa Roxana, Puyou, Natalia Elisa, Gallinger, Cora Gisela, Salvo, Sara Adriana, Martín, Mariana Silvina, Tedeschi, Magdalena María, Gargiulo, María Laura, Zoraida Correa, Susana, Abadie, Mariana Silvia, Arguiano, Sergio Eduardo","Acta bioquímica clínica latinoamericana; 45(3); 431-439","Acta bioquímica clínica latinoamericana","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572011000300004&lang=pt" 
"S0325-29572011000300005-arg","Detección de microorganismos potencialmente patógenos en hogares de Mar del Plata","Gómez, Diana, Lavayén, Silvina, Nario, Flavia, Piquin, Andrea, Zotta, Claudio Marcelo","Acta bioquímica clínica latinoamericana; 45(3); 441-445","Acta bioquímica clínica latinoamericana","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572011000300005&lang=pt" 
"S0325-29572011000300006-arg","Calidad en el laboratorio de urgencias: determinación del estado ácido-base","Holod, Silvia Andrea, Pengue, Claudia, Campos, María del Carmen, Pittaluga, Sergio Gabriel, Raimondi, Rosana Andrea","Acta bioquímica clínica latinoamericana; 45(3); 447-454","Acta bioquímica clínica latinoamericana","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572011000300006&lang=pt" 
"S0325-29572011000300007-arg","Captación de ácido siálico por larvas de Ascaris lumbricoides durante incubación in vivo","Ponce de León, Patricia, Di Vita, Santiago, Biondi, Claudia, Valverde, Juana","Acta bioquímica clínica latinoamericana; 45(3); 455-461","Acta bioquímica clínica latinoamericana","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572011000300007&lang=pt" 
"S0325-29572011000300008-arg","Metodología UV para la determinación de los antichagásicos Nifurtimox y Benznidazol en sangre","Bulffer, Romina Fernanda, Castro, José Alberto, Fanelli, Silvia Laura","Acta bioquímica clínica latinoamericana; 45(3); 463-470","Acta bioquímica clínica latinoamericana","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572011000300008&lang=pt" 
"S0325-29572011000300009-arg","Coinfección con Pneumocystis jiroveci y otros patógenos respiratorios","Romero, María de las Mercedes, Robles, Mirta, Prieto, Raúl, Bava, Amadeo Javier","Acta bioquímica clínica latinoamericana; 45(3); 471-474","Acta bioquímica clínica latinoamericana","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-29572011000300009&lang=pt" 
"S0066-782X2011001800001-scl","V Diretrizes de Monitoração Ambulatorial Da Pressão Arterial (MAPA) e III Diretrizes de Monitoração Residencial da Pressão Arterial (MRPA)","","Arquivos Brasileiros de Cardiologia; 97(3); 1-2","Arquivos Brasileiros de Cardiologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2011001800001&lang=pt" 
"S0066-782X2011001800002-scl","Parte 1: Introdução e conceitos básicos","","Arquivos Brasileiros de Cardiologia; 97(3); 3-5","Arquivos Brasileiros de Cardiologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2011001800002&lang=pt" 
"S0066-782X2011001800004-scl","Parte 3: III Diretrizes Brasileiras de Monitorização Residencial da Pressão Arterial (MRPA)","","Arquivos Brasileiros de Cardiologia; 97(3); 17-24","Arquivos Brasileiros de Cardiologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2011001800004&lang=pt" 
"S0066-782X2011001800003-scl","Parte 2: V Diretrizes Brasileiras de Monitorização Ambulatorial da Pressão Arterial (MAPA)","","Arquivos Brasileiros de Cardiologia; 97(3); 6-16","Arquivos Brasileiros de Cardiologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2011001800003&lang=pt" 
"S0120-24482011000300009-col","Homenaje al Dr. Roso Alfredo Cala Hederich Ex presidente de la ACMI®","Otero, Efraím","Acta Medica Colombiana; 36(3); 153-154","Acta Medica Colombiana","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-24482011000300009&lang=pt" 
"S0120-24482011000300011-col","Parenquima o parénquima","Pinzón, Alfredo","Acta Medica Colombiana; 36(3); 156-156","Acta Medica Colombiana","Espanhol","2011","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-24482011000300011&lang=pt" 
"S1130-01082011000900007-esp","Intraductal papillary mucinous neoplasm","Ramia-Ángel, José Manuel, Plaza Llamas, Roberto de la, Sánchez-Tembleque, María Dolores, Pérez-Mies, Belén, García-Parreño-Jofré, Jorge","Revista Española de Enfermedades Digestivas; 103(9); 480-481","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011000900007&lang=pt" 
"S1130-01082011000900010-esp","Dolor abdominal funcional","Accarino, Anna","Revista Española de Enfermedades Digestivas; 103(9); 492-492","Revista Española de Enfermedades Digestivas","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011000900010&lang=pt" 
"S1130-01082011000900008-esp","Spontaneous esophageal rupture (Boerhaave&#039;s syndrome): An uncommon image","Baudet, Juan Salvador, Arencibia, Ana, Soler, Marta, Redondo, Ignacio, Hernández, Guillermo","Revista Española de Enfermedades Digestivas; 103(9); 482-483","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011000900008&lang=pt" 
"S1981-67232011000300001-scl","Termorresistência de fungos filamentosos isolados de néctares de frutas envasados assepticamente","Ferreira, Elisa Helena da Rocha, Masson, Lourdes Maria Pessoa, Rosenthal, Amauri, Souza, Maria de Lourdes, Tashima, Luana, Massaguer, Pilar Rodriguez de","Brazilian Journal of Food Technology; 14(3); 164-171","Brazilian Journal of Food Technology","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232011000300001&lang=pt" 
"S1981-67232011000300007-scl","Nota científica: Avaliação sensorial de geleia de marmelo &#039;Japonês&#039; em diferentes concentrações de sólidos solúveis totais","Pereira, Gustavo das Graças, Alvarenga, Angelo Alberico, Abrahão, Enilson, Pinheiro, Ana Carla Marques, Oliveira, Adelson Francisco de, Pio, Rafael","Brazilian Journal of Food Technology; 14(3); 226-231","Brazilian Journal of Food Technology","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232011000300007&lang=pt" 
"S1130-01082011000900003-esp","Anti-tissue transglutaminase antibodies (IgA and IgG) in both Crohn&#039;s disease and autoimmune diabetes","Ribeiro-Cabral, Virgínia Lúcia, da-Silva-Patrício, Francy Reis, Ambrogini-Junior, Orlando, Jankiel-Miszputen, Sender","Revista Española de Enfermedades Digestivas; 103(9); 453-457","Revista Española de Enfermedades Digestivas","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082011000900003&lang=pt" 
