"S0102-76382010000100001-scl","Tempo de renovação","Braile, Domingo M.","Brazilian Journal of Cardiovascular Surgery; 25(1); I-II","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382010000100001&lang=pt" 
"S0101-20612010000100039-scl","Discrimination of Brazilian red wines according to the viticultural region, varietal, and winery origin","Miele, Alberto, Rizzon, Luiz Antenor, Zanus, Mauro Celso","Food Science and Technology (Campinas); 30(1); 268-275","Food Science and Technology (Campinas)","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100039&lang=pt" 
"S0074-02762010000200003-scl","Biological activity of the mite Sancassania sp. (Acari: Acaridae) from bat guano associated with the pathogenic fungus Histoplasma capsulatum","Estrada-Bárcenas, Daniel A, Palacios-Vargas, José G, Estrada-Venegas, Edith, Klimov, Pavel B, Martínez-Mena, Alejandro, Taylor, Maria Lucia","Memórias do Instituto Oswaldo Cruz; 105(2); 127-131","Memórias do Instituto Oswaldo Cruz","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762010000200003&lang=pt" 
"S0100-736X2010000300003-scl","Aspectos clínicos da intoxicação experimental pelas favas de Stryphnodendron fissuratum (Leg. Mimosoideae) em caprinos","Mendonça, Fábio S., Evêncio-Neto, Joaquim, Estevão, Lígia R.M., Melo, Lúcio E.H., Freitas, Sílvio H., Arruda, Laura P., Boabaid, Fabiana M., Colodel, Édson Moleta","Pesquisa Veterinária Brasileira; 30(3); 203-210","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000300003&lang=pt" 
"S0100-736X2010000300004-scl","Sensibilidade da técnica de imuno-histoquímica em fragmentos de sistema nervoso central de bovinos e equinos naturalmente infectados pelo vírus da raiva","Achkar, Samira M., Fernandes, Elaine R., Carrieri, Maria Luiza, Castro, Andréa B.M. de, Batista, Alexandre M., Duarte, Maria Irma S., Kotait, Ivanete","Pesquisa Veterinária Brasileira; 30(3); 211-218","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000300004&lang=pt" 
"S0100-736X2010000300006-scl","Doenças neurológicas de ovinos na região central do Rio Grande do Sul","Rissi, Daniel R., Fighera, Rafael A., Irigoyen, Luiz F., Kommers, Glaucia D., Barros, Claudio S.L.","Pesquisa Veterinária Brasileira; 30(3); 222-228","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000300006&lang=pt" 
"S0100-736X2010000300008-scl","Ocorrência de paratuberculose em búfalos (Bubalus bubalis) em Pernambuco","Mota, Rinaldo A., Peixoto, Paulo V., Yamasaki, Elise M., Medeiros, Elizabeth S. de, Costa, Mateus M. da, Peixoto, Rodolfo M., Brito, Marilene F.","Pesquisa Veterinária Brasileira; 30(3); 237-242","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000300008&lang=pt" 
"S0100-736X2010000300013-scl","Avaliação de técnicas de biópsia renal em ovinos","Néspoli, Pedro B., Gheller, Valentim A., Peixoto, Paulo V., Carvalho, Antônio U., França, Ticiana N., Facury Filho, Elias J., Araújo, Douglas K. Godoy de, Bordin, Angela I.","Pesquisa Veterinária Brasileira; 30(3); 260-266","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000300013&lang=pt" 
"S0100-736X2010000300014-scl","Doenças do sistema nervoso de bovinos no semiárido nordestino","Galiza, Glauco J.N., Silva, Maria L.C.R., Dantas, Antônio F.M., Simões, Sara V.D., Riet-Correa, Franklin","Pesquisa Veterinária Brasileira; 30(3); 267-276","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000300014&lang=pt" 
"S0100-736X2010000300015-scl","Aspectos toxicológico, clínico-patológico e ultraestrutural das intoxicações iatrogênica e experimental por vitamina D em coelhos","Peixoto, Paulo V., Klem, Marcius A.P., Brito, Marilene F., Cerqueira, Valíria D., França, Ticiana N.","Pesquisa Veterinária Brasileira; 30(3); 277-2880","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000300015&lang=pt" 
"S0102-695X2010000100004-scl","Influência dos processos de secagem sobre o teor de flavonoides e na atividade antioxidante dos extratos de Baccharis articulata (Lam.) Pers., Asteraceae","Borgo, Jackson, Xavier, Carlos Augusto Gaiger, Moura, Dinara Jaqueline, Richter, Marc François, Suyenaga, Edna Sayuri","Revista Brasileira de Farmacognosia; 20(1); 12-17","Revista Brasileira de Farmacognosia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2010000100004&lang=pt" 
"S0102-695X2010000100008-scl","Análise sazonal do potencial antimicrobiano e teores de flavonoides e quinonas de extratos foliares de Aloe arborescens Mill., Xanthorrhoeaceae","Cardoso, Fernando Leite, Murakami, Cynthia, Mayworm, Marco Aurélio Sivero, Marques, Lucas Miranda","Revista Brasileira de Farmacognosia; 20(1); 35-40","Revista Brasileira de Farmacognosia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2010000100008&lang=pt" 
"S0102-695X2010000100009-scl","Composition of the essential oil from the leaves of tree domestic varieties and one wild variety of the guava plant (Psidium guajava L., Myrtaceae)","de Lima, Rafaela Karin, Cardoso, Maria das Graças, Andrade, Milene Aparecida, Nascimento, Evandro Afonso, de Morais, Sérgio Antônio Lemos, Nelson, David Lee","Revista Brasileira de Farmacognosia; 20(1); 41-44","Revista Brasileira de Farmacognosia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2010000100009&lang=pt" 
"S0102-695X2010000100011-scl","Histochemical, phytochemical and biological screening of Plinia cauliflora (DC.) Kausel, Myrtaceae, leaves","Souza-Moreira, Tatiana M., Moreira, Raquel R. D., Sacramento, Luis V. S., Pietro, Rosemeire C. L. R.","Revista Brasileira de Farmacognosia; 20(1); 48-53","Revista Brasileira de Farmacognosia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2010000100011&lang=pt" 
"S0102-695X2010000100012-scl","Anticonvulsant evaluation of Rauvolfia ligustrina Willd. ex Roem. &amp; Schult., Apocynaceae, in rodents","Quintans-Júnior, Lucindo J., Siqueira, Jullyana S., Melo, Mônica S., Silva, Davi A., Morais, Liana C. S. L., Souza, Maria de Fátima V., Almeida, Reinaldo N.","Revista Brasileira de Farmacognosia; 20(1); 54-59","Revista Brasileira de Farmacognosia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2010000100012&lang=pt" 
"S0102-695X2010000100014-scl","Avaliação do potencial genotóxico do extrato bruto de Pyrostegia venusta (Ker Gawl.) Miers, Bignoneaceae, em medula óssea de camundongos","Magalhães, Eduardo A., Silva Júnior, Gabriel J., de Campos, Thiago Augusto, Silva, Luciana P., Silva, Regildo M. G.","Revista Brasileira de Farmacognosia; 20(1); 65-69","Revista Brasileira de Farmacognosia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2010000100014&lang=pt" 
"S0102-695X2010000100015-scl","Atividade antibacteriana do óleo essencial de Melampodium divaricatum (Rich.) DC., Asteraceae","Pelissari, Grace Priscila, Pietro, Rosemeire Cristina Linhari Rodrigues, Moreira, Raquel Regina Duarte","Revista Brasileira de Farmacognosia; 20(1); 70-74","Revista Brasileira de Farmacognosia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2010000100015&lang=pt" 
"S0102-695X2010000100025-scl","Hypotriglyceridemic effect of Morus alba L., Moraceae, leaves in hyperlipidemic rats","Zeni, Ana Lúcia B., Dall&#039;Molin, Mauren","Revista Brasileira de Farmacognosia; 20(1); 130-133","Revista Brasileira de Farmacognosia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2010000100025&lang=pt" 
"S0102-695X2010000100026-scl","Uso de produtos naturais como coadjuvante no tratamento da doença periodontal","Juiz, Paulo J. L., Alves, Reinaldo J. C., Barros, Tânia F.","Revista Brasileira de Farmacognosia; 20(1); 134-139","Revista Brasileira de Farmacognosia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2010000100026&lang=pt" 
"S0102-695X2010000100024-scl","Avaliação da atividade antibacteriana dos extratos de Avicennia schaueriana Stapf &amp; Leechm. ex Moldenke, Verbenaceae","Santos, Sidnei C. dos, Ferreira, Fábio S., Damião, Alcinéia O., Damião, Aldinéia O., Barros, Tânia F., Rossi-Alva, Juan C., Fernandez, Luzimar Gonzaga","Revista Brasileira de Farmacognosia; 20(1); 124-129","Revista Brasileira de Farmacognosia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2010000100024&lang=pt" 
"S1413-81232010000200035-spa","A review of events that expose children to elemental mercury in the United States","Lee, Robin, Middleton, Dan, Caldwell, Kathleen, Dearwent, Steve, Jones, Steven, Lewis, Brian, Monteilh, Carolyn, Mortensen, Mary Ellen, Nickle, Richard, Orloff, Kenneth, Reger, Meghan, Risher, John, Rogers, Helen Schurz, Watters, Michelle","Ciência &amp; Saúde Coletiva; 15(2); 585-598","Ciência &amp; Saúde Coletiva","Inglês","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000200035&lang=pt" 
"S0101-20612010000100038-scl","Comportamento de cristalização de lipídios estruturados obtidos a partir de gordura do leite e óleo de girassol","Rodrigues-Ract, Juliana Neves, Cotting, Lucia Nazareth, Poltronieri, Tatyane Pereira, Silva, Roberta Claro da, Gioielli, Luiz Antonio","Food Science and Technology (Campinas); 30(1); 258-267","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100038&lang=pt" 
"S0101-20612010000100002-scl","Biotechnological production of bioflavors and functional sugars","Bicas, Juliano Lemos, Silva, Júnio Cota, Dionísio, Ana Paula, Pastore, Gláucia Maria","Food Science and Technology (Campinas); 30(1); 07-18","Food Science and Technology (Campinas)","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000100002&lang=pt" 
"S1413-81232010000200036-spa","Avaliação do apoio recebido para amamentar: significados de mulheres usuárias de unidades básicas de saúde do Estado do Rio de Janeiro","Oliveira, Maria Inês Couto de, Souza, Ivis Emília de Oliveira, Santos, Elizabeth Moreira dos, Camacho, Luiz Antonio Bastos","Ciência &amp; Saúde Coletiva; 15(2); 599-608","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000200036&lang=pt" 
"S0717-73482010000100001-chl","Planifcación estratégica de la gestión de la Sociedad Chilena de Enfermedades Respiratorias en el bienio 2010-2011","Descalzi Muñoz, Fernando","Revista chilena de enfermedades respiratorias; 26(1); 5-6","Revista chilena de enfermedades respiratorias","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482010000100001&lang=pt" 
"S0717-73482010000100002-chl","Modifcaciones en los estatutos y reglamentos de la Sociedad Chilena de Enfermedades Respiratorias","Céspedes Galleguillos, Juan","Revista chilena de enfermedades respiratorias; 26(1); 7-8","Revista chilena de enfermedades respiratorias","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482010000100002&lang=pt" 
"S0717-73482010000100003-chl","Nomogramas de ecuaciones de referencia espirométrica SER 2009","GUTIÉRREZ C, MÓNICA, VALDIVIA C, GONZALO, VILLARROEL DEL P, LUIS, CONTRERAS T, GUSTAVO, CARTAGENA S, CLAUDIA, LISBOA B, CARMEN","Revista chilena de enfermedades respiratorias; 26(1); 9-15","Revista chilena de enfermedades respiratorias","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482010000100003&lang=pt" 
"S0717-73482010000100004-chl","Contaminación aérea y sus efectos en la salud","OYARZÚN G, MANUEL","Revista chilena de enfermedades respiratorias; 26(1); 16-25","Revista chilena de enfermedades respiratorias","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482010000100004&lang=pt" 
"S0717-73482010000100005-chl","Tumorlet pulmonar: ¿Una entidad infrecuente?","TORRES G, FRANCISCO JAVIER, TORRES O, FRANCISCO JAVIER, TORRES G, AMELIA","Revista chilena de enfermedades respiratorias; 26(1); 26-29","Revista chilena de enfermedades respiratorias","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482010000100005&lang=pt" 
"S0717-73482010000100006-chl","Infección por Bordetella pertussis: Una causa emergente de tos prolongada en adolescentes y adultos","OSSES A, RODRIGO, DÍAZ P, ORLANDO, SALDÍAS P, FERNANDO","Revista chilena de enfermedades respiratorias; 26(1); 30-36","Revista chilena de enfermedades respiratorias","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482010000100006&lang=pt" 
"S0717-73482010000100007-chl","Caso clínico radiológico adultos","SABBAGH P, EDUARDO, ANTOLINI T, MÓNICA, SALAZAR M, FABIOLA, MORENO G, ANDRÉS","Revista chilena de enfermedades respiratorias; 26(1); 37-39","Revista chilena de enfermedades respiratorias","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482010000100007&lang=pt" 
"S0717-73482010000100008-chl","Comité de Tuberculosis: Región Metropolitana. 2009. Selección de temas","PEÑA M, CARLOS, GARCÍA C, CHRISTIAN, CHIHUAILAF Q, LAURA","Revista chilena de enfermedades respiratorias; 26(1); 40-46","Revista chilena de enfermedades respiratorias","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482010000100008&lang=pt" 
"S0717-73482010000100009-chl","Flujometría en la práctica de atención primaria","CÉSPEDES G, JUAN, GUTIÉRREZ C, MÓNICA, OYARZÚN G, MANUEL","Revista chilena de enfermedades respiratorias; 26(1); 47-48","Revista chilena de enfermedades respiratorias","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482010000100009&lang=pt" 
"S0717-73482010000100010-chl","Guía para realizar oximetría de pulso en la práctica clínica","PALACIOS M, SYLVIA, ÁLVAREZ G, CECILIA, SCHÖNFFELDT G, PATRICIA, CÉSPEDES G, JUAN, GUTIÉRREZ C, MÓNICA, OYARZÚN G, MANUEL","Revista chilena de enfermedades respiratorias; 26(1); 49-51","Revista chilena de enfermedades respiratorias","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482010000100010&lang=pt" 
"S0717-73482010000100011-chl","PANORAMA","Cruz M, Edgardo, Valdés I, Isabel","Revista chilena de enfermedades respiratorias; 26(1); 52-58","Revista chilena de enfermedades respiratorias","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-73482010000100011&lang=pt" 
"S0034-75232010000100005-cub","Evolución histórica de las terapias antivirales en hepatitis crónica C","Sánchez Rodríguez, Yoan Antonio, Arús Soler, Enrique","Revista Cubana de Medicina; 49(1); 65-77","Revista Cubana de Medicina","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232010000100005&lang=pt" 
"S0034-75232010000100006-cub","Estudio farmacoeconómico de esquemas de tratamiento antiemético en quimioterapia moderada y altamente emetógena","Batista Albuerne, Noyde, Soriano García, Jorge Luis, Collazo Herrera, Manuel, García Diéguez, Robin, Lima Pérez, Mayté, Fuentes Crespo, Luis","Revista Cubana de Medicina; 49(1); 78-88","Revista Cubana de Medicina","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232010000100006&lang=pt" 
"S0034-75232010000100007-cub","Enfermedad de Creutzfeldt-Jakob en un paciente interpretado como encefalitis por herpes simple","Rivero Arias, Edmundo, Lozano Valdés, David, Cubero Rego, David, Sánchez Valdivia, Alfredo","Revista Cubana de Medicina; 49(1); 89-96","Revista Cubana de Medicina","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232010000100007&lang=pt" 
"S0034-75232010000100008-cub","Enfermedad de Mucha Habermann asociada a artritis reumatoide","López Costa, Carlos, González Moreno, Yoannys, Álvarez Aliaga, Alexis, Frómeta Guerra, Adonis","Revista Cubana de Medicina; 49(1); 97-104","Revista Cubana de Medicina","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232010000100008&lang=pt" 
"S0034-75232010000100009-cub","Arteritis de Takayasu y fiebre de origen desconocido","Roca Campañá, Victor, Senra Armas, Luis, Rodríguez Silva, Héctor, Daniel Ernesto, Hierro García-Junseda, Cepero Rosales, Bárbara","Revista Cubana de Medicina; 49(1); 105-113","Revista Cubana de Medicina","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232010000100009&lang=pt" 
"S0034-75232010000100010-cub","Tumor de células granulares de esófago","González Fabián, Licet, Díaz Anaya, Amnia, Pérez de la Torre, Georgina, Jiménez Galainema, Julio, Sánchez Rodríguez, Yoan Antonio, Dorta Guridi, Zaily, Gra Oramas, Bienvenido","Revista Cubana de Medicina; 49(1); 114-120","Revista Cubana de Medicina","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232010000100010&lang=pt" 
"S0034-75232010000100001-cub","Características epidemiológicas del VIH/SIDA en las mujeres de Ciudad de La Habana","Oliva Venereo, Dinorah de la Caridad, Saavedra Ramírez, Clarivel, Viñas Martínez, Arturo Luis, de la Torre Silva, Caridad","Revista Cubana de Medicina; 49(1); 1-6","Revista Cubana de Medicina","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232010000100001&lang=pt" 
"S0034-75232010000100002-cub","Caracterización clínico-epidemiológica y endoscópica en pacientes con cáncer colorrectal","Hano García, Olga Marina, Wood Rodríguez, Lisette, Villa Jiménez, Oscar Manuel","Revista Cubana de Medicina; 49(1); 7-16","Revista Cubana de Medicina","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232010000100002&lang=pt" 
"S0034-75232010000100003-cub","Metaplasia intestinal en pacientes con reflujo duodenogástrico y ácidos biliares totales elevados","Piñol Jiménez, Felipe, Paniagua Estévez, Manuel, Pérez Sánchez, Gloria, Gra Oramas, Bienvenido, Cendán Cordoví, Aracelis, Borbolla Busquets, Elvira","Revista Cubana de Medicina; 49(1); 17-32","Revista Cubana de Medicina","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232010000100003&lang=pt" 
"S0034-75232010000100004-cub","Evaluación del uso de ácido zoledrónico en pacientes con cáncer de mama metastásico a hueso","Soriano García, Jorge L, Batista Albuerne, Noyde, Lima Pérez, Mayté, González González, Joaquín, Gutiérrez Rojas, Angela, Luaces Álvarez, Patricia","Revista Cubana de Medicina; 49(1); 33-64","Revista Cubana de Medicina","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232010000100004&lang=pt" 
"S1575-18132010000100006-esp","La esencia de la comunicación en educación médica","Clèries, X.","Educación Médica; 13(1); 25-31","Educación Médica","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132010000100006&lang=pt" 
"S1575-18132010000100003-esp","El cáncer en el cine: Algunas sugerencias más","Baños, J.E.","Educación Médica; 13(1); 7-8","Educación Médica","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132010000100003&lang=pt" 
"S1575-18132010000100002-esp","Entrenamiento basado en la simulación como medio de prevenir conflictos éticos en el proceso enseñanza-aprendizaje","Garrido-Sanjuán, J.A.","Educación Médica; 13(1); 5-6","Educación Médica","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132010000100002&lang=pt" 
"S1575-18132010000100007-esp","Perfil de preferencias de aprendizaje de alumnos y profesores de medicina: Elemento a considerar en la enseñanza","Ponce de León-Castañeda, M.E., Varela-Ruiz, M., Lozano-Sánchez, J.R., Ortiz-Montalvo, A., Ponce-Rosas, R.E.","Educación Médica; 13(1); 33-39","Educación Médica","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132010000100007&lang=pt" 
"S1575-18132010000100009-esp","Evaluación de conocimientos médicos: diagnóstico de afecciones dermatológicas prevalentes","Santos Jr., A., Andrade, M.G.G., Zeferino, A.M.B., Passeri, S.M.R.R., Souza, E.M., Velho, P.E.N.F.","Educación Médica; 13(1); 47-52","Educación Médica","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132010000100009&lang=pt" 
"S1575-18132010000100005-esp","Aprendizaje basado en la resolución de problemas: una experiencia práctica","González-López, E., García-Lázaro, I., Blanco-Alfonso, A., Otero-Puime, A.","Educación Médica; 13(1); 15-24","Educación Médica","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132010000100005&lang=pt" 
"S1575-18132010000100010-esp","El portafolio como herramienta didáctica: un estudio en escuelas universitarias de enfermería","Canalejas-Pérez, M.C.","Educación Médica; 13(1); 53-61","Educación Médica","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132010000100010&lang=pt" 
"S1575-18132010000100004-esp","La educación médica en Rusia","Vartanian, F.","Educación Médica; 13(1); 9-13","Educación Médica","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132010000100004&lang=pt" 
"S1575-18132010000100008-esp","Evaluación de la competencia profesional de residentes de Medicina General Integral para la atención a la familia","Rocha-Vázquez, M., San Juan-Bosch, M.A.","Educación Médica; 13(1); 41-46","Educación Médica","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132010000100008&lang=pt" 
"S0103-97332010000100017-scl","Retrieval of GammaCell 220 irradiator isodose curves with MCNP simulations and experimental measurements","Rodrigues, R.R., Grynberg, S.E., Ferreira, A.V., Belo, L.C.M., Squair, P.L., Sousa, R.V., Sebastião, R.C.O., Ribeiro, M.A.","Brazilian Journal of Physics; 40(1); 120-124","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000100017&lang=pt" 
"S0103-97332010000100016-scl","Autoionization of He atoms induced by partially stripped ion impact","Martínez, C.F., Otranto, S.","Brazilian Journal of Physics; 40(1); 115-119","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000100016&lang=pt" 
"S0103-97332010000100015-scl","Design and characterization of an RF plasma cleaner","Canal, G.P., Luna, H., Ruchko, L.F., Galvão, R.M.O.","Brazilian Journal of Physics; 40(1); 108-114","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000100015&lang=pt" 
"S0103-97332010000100005-scl","Study of ion beam sputtering using a glow discharge ion source","Abdelrahman, M.M.","Brazilian Journal of Physics; 40(1); 26-29","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000100005&lang=pt" 
"S0103-97332010000100004-scl","Effect of warm ionized plasma medium on radiation properties of four elements microstrip antenna array printed on ferrite substrate","Sawalha, Ayman Al, Mubarak, Inas Al","Brazilian Journal of Physics; 40(1); 22-25","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000100004&lang=pt" 
"S0103-97332010000100014-scl","Collective coordinate analysis for double sine-Gordon model","Nazifkar, Samira, Javidan, Kurosh","Brazilian Journal of Physics; 40(1); 102-107","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000100014&lang=pt" 
"S0103-97332010000100008-scl","Thermal and epithermal neutron fluence rates in the irradiation facilities of the TRIGA IPR-R1 nuclear reactor","Zangirolami, Dante Marco, Oliveira, Arno Heeren de, Ferreira, Andréa Vidal","Brazilian Journal of Physics; 40(1); 47-51","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000100008&lang=pt" 
"S0103-97332010000100013-scl","Time evolution of Wigner functions governed by bipartite Hamiltonian system with kinetic coupling","Xu, Ye-Jun, Liu, Qiu-Yu, Yuan, Hong-Chun, Fan, Hong-Yi","Brazilian Journal of Physics; 40(1); 96-101","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000100013&lang=pt" 
"S0103-97332010000100001-scl","Energy in an expanding universe in the teleparallel geometry","Sousa, A. A., Moura, J. S., Pereira, R. B.","Brazilian Journal of Physics; 40(1); 1-8","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000100001&lang=pt" 
"S0103-97332010000100002-scl","Variational calculation of low-energy positron life time in Xe atoms","Abdel-Mageed, Mahasen M.","Brazilian Journal of Physics; 40(1); 9-14","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000100002&lang=pt" 
"S0103-97332010000100003-scl","Comparison of some theoretical models for fittings of the temperature dependence of the fundamental energy gap in GaAs","Morais, R. R. O., Dias, I. F. L., Duarte, J. L., Laureto, E., Lourenço, S. A., Silva, E. C. F. da, Quivy, A. A.","Brazilian Journal of Physics; 40(1); 15-21","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000100003&lang=pt" 
"S0103-97332010000100006-scl","CGS based solar cells with In2S3 buffer layer deposited by CBD and coevaporation","Vallejo, W., Clavijo, J., Gordillo, G.","Brazilian Journal of Physics; 40(1); 30-37","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000100006&lang=pt" 
"S0103-97332010000100007-scl","UV dominant optical emission newly detected from radioisotopes and XRF sources","Padmanabha Rao, M. A.","Brazilian Journal of Physics; 40(1); 38-46","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000100007&lang=pt" 
"S0103-97332010000100009-scl","First-principles study of structural, electronic and elastic properties of Nb4AlC3","Bouhemadou, A.","Brazilian Journal of Physics; 40(1); 52-57","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000100009&lang=pt" 
"S0103-97332010000100012-scl","Generation of M²&gt;0 anti-ghosts from M²&gt;0 superbradyons at gravito-electroweak unification scale","Rami, El-Nabulsi Ahmad","Brazilian Journal of Physics; 40(1); 92-95","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000100012&lang=pt" 
"S0103-97332010000100011-scl","The role of nonequilibrium thermo-mechanical statistics in modern technologies and industrial processes: an overview","Rodrigues, Clóves G., Silva, Antônio A. P., Silva, Carlos A. B., Vasconcellos, Áurea R., Ramos, J. Galvão, Luzzi, Roberto","Brazilian Journal of Physics; 40(1); 63-91","Brazilian Journal of Physics","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332010000100011&lang=pt" 
