"S0030-24652012000200003-sza","Ebola virus outbreaks in Africa: Past and present","Muyembe-Tamfum, J.J., Mulangu, S., Masumu, Justin, Kayembe, J.M., Kemp, A., Paweska, Janusz T","Onderstepoort Journal of Veterinary Research; 79(2); 06-13","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200003&lang=pt" 
"S0301-732X2012000300007-chl","Atresia anal en perros y gatos: conceptos actuales a partir de tres casos clínicos","García-González, EM, Del-Angel-Caraza, J, Quijano-Hernández, IA, Marín-Cano, G, Barbosa-Mireles, MA, Ibancovichi-Camarillo, JA","Archivos de medicina veterinaria; 44(3); 253-260","Archivos de medicina veterinaria","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2012000300007&lang=pt" 
"S0301-732X2012000300008-chl","Primer reporte de aislamiento de Staphylococcus schleiferi subespecie coagulans en perros con pioderma y otitis externa en Chile","Muñoz, L, Molina, M, Heresmann, M, Abusleme, F, Ulloa, MT, Borie, C, San Martin, B, Silva, V, Anticevic, S","Archivos de medicina veterinaria; 44(3); 261-265","Archivos de medicina veterinaria","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2012000300008&lang=pt" 
"S0301-732X2012000300009-chl","Valores de latencia y respuestas electrofisiológicas de los diferentes componentes de los potenciales evocados auditivos del tallo cerebral en mono rhesus a diferentes intensidades (70-30 dB)","Ibáñez-Contreras, A, Hernández-Godínez, B, Durand-Rivera, A","Archivos de medicina veterinaria; 44(3); 267-271","Archivos de medicina veterinaria","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2012000300009&lang=pt" 
"S0301-732X2012000300010-chl","Un nuevo medio de cultivo líquido para el patógeno Piscirickettsia salmonis","Vera, T, Isla, A, Cuevas, A, Figueroa, J","Archivos de medicina veterinaria; 44(3); 273-277","Archivos de medicina veterinaria","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2012000300010&lang=pt" 
"S0301-732X2012000300011-chl","Husbandry practices associated with the presentation of abnormal behaviours in Chilean Creole horses","Tadich, T, Smulders, JP, Araya, O, Nicol, CJ","Archivos de medicina veterinaria; 44(3); 279-284","Archivos de medicina veterinaria","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2012000300011&lang=pt" 
"S0301-732X2012000300012-chl","Determinación de la carga al dorso en caballos de rodeo chileno y comparación con la capacidad máxima de carga al dorso estimada, de acuerdo a la fórmula de Beltrán (1954)","Muñoz, L, Ortiz, D, Ortiz, R, Cabezas, I, Briones, M","Archivos de medicina veterinaria; 44(3); 285-289","Archivos de medicina veterinaria","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2012000300012&lang=pt" 
"S0301-732X2012000300013-chl","Autologous implant of bone marrow mononuclear stem-cells as treatment for equine bicipital tendonitis: case report","Menarim, BC, Fortini, GA, Álvarez, PS, Gómez, J, Jarrín, CD, Ramírez, A, Galecio, JS","Archivos de medicina veterinaria; 44(3); 291-295","Archivos de medicina veterinaria","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2012000300013&lang=pt" 
"S0301-732X2012000300014-chl","Indicadores de bienestar animal para detectar problemas en el cajón de insensibilización de bovinos","Muñoz, D, Strappini, A, Gallo, C","Archivos de medicina veterinaria; 44(3); 297-302","Archivos de medicina veterinaria","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2012000300014&lang=pt" 
"S0301-732X2012000300015-chl","Use of chitosan and polypropylene for the surgical correction of penile deviation in bulls: clinical and histological aspects","Rabelo, RR, Brito, LAB, Rodrigues, AP, Moraes, AM, Damasceno, A, Vulcani, VAS, Silva, LAF, Lima, CRO","Archivos de medicina veterinaria; 44(3); 303-310","Archivos de medicina veterinaria","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2012000300015&lang=pt" 
"S0301-732X2012000300016-chl","A preliminary study of trace metals and porphyrins in excreta of Gentoo penguins (Pygoscelis papua) at two locations of the Antarctic Peninsula","Celis, J, Jara, S, González-Acuña, D, Barra, R, Espejo, W","Archivos de medicina veterinaria; 44(3); 311-316","Archivos de medicina veterinaria","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0301-732X2012000300016&lang=pt" 
"S1678-58782012000500001-scl","Special issue on smart materials and structures","Savi, Marcelo A., Steffen Jr., Valder","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 34(spe); 341-342","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782012000500001&lang=pt" 
"S1678-58782012000500005-scl","The use of smart structures in the realization of effective semi-active Control systems for vibration reduction","Nitzsche, Fred","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 34(spe); 371-377","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782012000500005&lang=pt" 
"S1678-58782012000500010-scl","Control of strain in a flexible beam using Ni-Ti-Cu shape memory alloy wire actuators","Lima, Walber Medeiros, Araújo, Carlos José de, Valenzuela, Walter Andrés Vermehren, Rocha Neto, José Sérgio da","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 34(spe); 413-422","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782012000500010&lang=pt" 
"S0259-94222012000200016-sza","Listening to Africa&#039;s children in the process of practical theological interpretation: a South African application","Swart, Ignatius, Yates, Hannelie","HTS Theological Studies; 68(2); 1-12","HTS Theological Studies","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-94222012000200016&lang=pt" 
"S0259-94222012000200017-sza","Theoretical signposts for tracing spirituality within the fluid decision-making of a mobile virtual reality","Berg, Jan-Albert van den","HTS Theological Studies; 68(2); 1-6","HTS Theological Studies","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-94222012000200017&lang=pt" 
"S0259-94222012000200018-sza","Rethinking poverty, power and privilege: a feminist post-structuralist research exploration","Hulme, Thérèse","HTS Theological Studies; 68(2); 1-7","HTS Theological Studies","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-94222012000200018&lang=pt" 
"S0259-94222012000200019-sza","From periphery to the centre: towards repositioning churches for a meaningful contribution to public health care","Magezi, Vhumani","HTS Theological Studies; 68(2); 1-8","HTS Theological Studies","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-94222012000200019&lang=pt" 
"S0259-94222012000200020-sza","The folly of vulnerability beyond epistemic injustice and the power of knowledge: a vulnerable praxis of thinking (practical theological ethos) in global conversation","Meylahn, Johann-Albrecht","HTS Theological Studies; 68(2); 1-5","HTS Theological Studies","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-94222012000200020&lang=pt" 
"S0259-94222012000200021-sza","The practical theologian as decentred but influential facilitator","Elmo Pienaar, H., Müller, Julian C.","HTS Theological Studies; 68(2); 1-10","HTS Theological Studies","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-94222012000200021&lang=pt" 
"S0259-94222012000200022-sza","","","HTS Theological Studies; 68(2); 1-1","HTS Theological Studies","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-94222012000200022&lang=pt" 
"S0259-94222012000200015-sza","Die toekoms van die klein plattelandse gemeente","Jurgens Hendriks, H.","HTS Theological Studies; 68(2); 1-8","HTS Theological Studies","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-94222012000200015&lang=pt" 
"S1678-58782012000500002-scl","Micromechanical modeling and effective properties of the smart grid-reinforced composites","Kalamkarov, Alexander L., Savi, Marcelo A.","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 34(spe); 343-351","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782012000500002&lang=pt" 
"S1678-58782012000500003-scl","Parametric analysis of effective material properties of thickness-shear piezoelectric macro-fibre composites","Trindade, Marcelo A., Benjeddou, Ayech","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 34(spe); 352-361","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782012000500003&lang=pt" 
"S1678-58782012000500004-scl","Effective properties evaluation for smart composite materials","Medeiros, Ricardo de, Moreno, Mariano E., Marques, Flávio D., Tita, Volnei","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 34(spe); 362-370","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782012000500004&lang=pt" 
"S1678-58782012000500006-scl","Vibration energy harvesting using piezoelectric transducer and non-controlled rectifiers circuits","Motter, Daniel, Lavarda, Jairo Vinícius, Dias, Felipe Aguiar, Silva, Samuel da","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 34(spe); 378-385","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782012000500006&lang=pt" 
"S1678-58782012000500007-scl","System identification and active vibration control of a flexible structure","Abreu, Gustavo Luiz C. M. de, Conceição, Sanderson M. da, Lopes Jr., Vicente, Brennan, Michael John, Alves, Marco Túlio Santana","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 34(spe); 386-392","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782012000500007&lang=pt" 
"S1678-58782012000500008-scl","Architecture of a remote impedance-based structural health monitoring system for aircraft applications","Martins, Luiz G. A., Finzi Neto, Roberto M., Steffen Jr., Valder, Palomino, Lizeth V., Rade, Domingos A.","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 34(spe); 393-400","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782012000500008&lang=pt" 
"S1678-58782012000500009-scl","Nonlinear dynamics of a SMA large-scale space structure","Paula, Aline S. de, Savi, Marcelo A., Lagoudas, Dimitris C.","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 34(spe); 401-412","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782012000500009&lang=pt" 
"S0101-60832012000600005-scl","Perfil sociodemográfico e de experiências anômalas em indivíduos com vivências psicóticas e dissociativas em grupos religiosos","Menezes Jr., Adair, Alminhana, Letícia, Moreira-Almeida, Alexander","Archives of Clinical Psychiatry (São Paulo); 39(6); 203-207","Archives of Clinical Psychiatry (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-60832012000600005&lang=pt" 
"S0718-22442012000200001-chl","Los holandeses en las Islas de los Pingüinos (1599-1615)","MARTINIC B, MATEO","Magallania (Punta Arenas); 40(2); 7-22","Magallania (Punta Arenas)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442012000200001&lang=pt" 
"S0718-22442012000200002-chl","Operaciones balleneras de la INDUS en aguas Patagónicas: años iniciales (1936-1939)","QUIROZ, DANIEL, DE LA FUENTE, PAULA","Magallania (Punta Arenas); 40(2); 23-40","Magallania (Punta Arenas)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442012000200002&lang=pt" 
"S0718-22442012000200003-chl","Un episodio de violencia en el Baker: la muerte de tres kawésqar en Bajo Pisagua (47°46’S/73°35’), 1931","OSORIO P, MAURICIO","Magallania (Punta Arenas); 40(2); 41-60","Magallania (Punta Arenas)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442012000200003&lang=pt" 
"S0718-22442012000200004-chl","Disciplina científica colonial y coproducción etnográfica: Las expediciones de Martín Gusinde entre los yámada de Tierra del Fuego","PAVEZ OJEDA, JORGE","Magallania (Punta Arenas); 40(2); 61-87","Magallania (Punta Arenas)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442012000200004&lang=pt" 
"S0718-22442012000200005-chl","Determinación del impacto de la Universidad de Magallanes en la comuna de Punta Arenas","SOZA-AMIGO, SERGIO","Magallania (Punta Arenas); 40(2); 89-100","Magallania (Punta Arenas)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442012000200005&lang=pt" 
"S0718-22442012000200006-chl","¿El éxito del viejo o del nuevo hacer?: Las prácticas evaluativas en tres escuelas municipañes de educación básica de Coyaique, región de Aysén, Chile","SCHUCK, NAIARA C","Magallania (Punta Arenas); 40(2); 101-111","Magallania (Punta Arenas)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442012000200006&lang=pt" 
"S0718-22442012000200007-chl","Análisis y simulaciones en base a las matrices insumo-producto de la comuna de Punta Arenas para los años 2003 y 2007","SOZA-AMIGO, SERGIO, AROCA, PATRICIO","Magallania (Punta Arenas); 40(2); 113-127","Magallania (Punta Arenas)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442012000200007&lang=pt" 
"S0718-22442012000200008-chl","Arqueología de la Punta Santa Ana: recontrucción de secuencias de ocupación de cazadores-recolectores marinos del Estrecho de Magallanes, Patagonia Austral, Chile","MORELLO, FLAVIA, TORRES, JIMENA, MARTÍNEZ, ISMAEL, RODRIGUEZ, KARINA, ARROYO-KALIN, MANUEL, FRENCH, CHARLES, SIERPE, VICTOR, SAN ROMÁN, MANUEL","Magallania (Punta Arenas); 40(2); 129-149","Magallania (Punta Arenas)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442012000200008&lang=pt" 
"S0718-22442012000200009-chl","Estimación de la edad de muerte de guanacos juveniles a partir de las dimensiones de los hiesos largos no fusionados: Estructura de edad y estacionalidad en el campo volcánico de Pali Aike (sitio Orejas de Burro 1)","L’HEUREUX, LORENA, KAUFMANN, CRISTIAN","Magallania (Punta Arenas); 40(2); 151-220","Magallania (Punta Arenas)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442012000200009&lang=pt" 
"S0718-22442012000200010-chl","Esclerocronología en valvas de Mytilus spp: análisis del sitio CCH4 (Parque Nacional Monte León, Santa Cruz, Argentina) e implicaciones para la arqueología de Patagonia","LOBBIA, PATRICIA A","Magallania (Punta Arenas); 40(2); 221-231","Magallania (Punta Arenas)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442012000200010&lang=pt" 
"S0718-22442012000200011-chl","Bioarqueología y cronología del sitio Negro Muerto 2 (Noreste de Patagonia)","SERNA, ALEJANDRO, PRATES, LUCIANO","Magallania (Punta Arenas); 40(2); 233-245","Magallania (Punta Arenas)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442012000200011&lang=pt" 
"S0718-22442012000200012-chl","Materias promas lejanas: Explotación de recursos líticos no locales para la confección de micro-raspadores en el centro de Tierra del Fuego: el caso arqueológico Kami","DE ANGELIS, HERNÁN","Magallania (Punta Arenas); 40(2); 247-257","Magallania (Punta Arenas)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442012000200012&lang=pt" 
"S0718-22442012000200013-chl","Excavaciones en Alero Gianella, curso medio del valle de Chacabuco (Andes Centro Patagónicos)","FUENTES-MUCHERL, FELIPE, MENA, FRANCISCO, BLANCO, JOSÉ, CONTRERAS, CATALINA","Magallania (Punta Arenas); 40(2); 259-265","Magallania (Punta Arenas)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442012000200013&lang=pt" 
"S0718-22442012000200014-chl","","","Magallania (Punta Arenas); 40(2); 267-273","Magallania (Punta Arenas)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22442012000200014&lang=pt" 
"S0718-33992012000200001-chl","Aproximación a la unificación de penas","Oliver Calderón, Guillermo","Política criminal; 7(14); 248-275","Política criminal","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33992012000200001&lang=pt" 
"S0718-33992012000200002-chl","El delito de maltrato habitual en la Ley N° 20.066 a la luz del derecho comparado","Villegas Díaz, Myrna","Política criminal; 7(14); 276-317","Política criminal","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33992012000200002&lang=pt" 
"S0718-33992012000200003-chl","Acerca de la actual falta de punibilidad en Chile de los acuerdos de precios","Matus, Jean Pierre","Política criminal; 7(14); 318-356","Política criminal","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33992012000200003&lang=pt" 
"S0718-33992012000200004-chl","La malversación de caudales públicos y el fraude al fisco como delitos especiales","Mañalich R, Juan Pablo","Política criminal; 7(14); 357-377","Política criminal","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33992012000200004&lang=pt" 
"S0718-33992012000200005-chl","Sobre la evolución del bien jurídico penal: un intento de saltar más allá de la propia sombra","Szczaranski Vargas, Federico León","Política criminal; 7(14); 378-453","Política criminal","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33992012000200005&lang=pt" 
"S0718-33992012000200006-chl","Estándares de prueba y su aplicación sobre el elemento material de la prisión preventiva en Chile","Beltrán Calfurrapa, Ramón","Política criminal; 7(14); 454-479","Política criminal","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33992012000200006&lang=pt" 
"S0718-33992012000200007-chl","Bacigalupo, Enrique Compliance y Derecho Penal","Navas Mondaca, Iván","Política criminal; 7(14); 480-488","Política criminal","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33992012000200007&lang=pt" 
"S0718-33992012000200008-chl","Torres Fernández, María Elena, La expulsión de extranjeros en Derecho penal","Salinero Echeverría, Sebastián","Política criminal; 7(14); 489-491","Política criminal","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33992012000200008&lang=pt" 
"S0044-59672012000400009-scl","Parasite-host relationship between the tambaqui (Colossoma macropomum Cuvier 1818) and ectoparasites, collected from fish farms in the city of Rolim de Moura, State of Rondônia, Western Amazon, Brazil","Godoi, Mara Maria Izar de Maio, Engracia, Vera, Lizama, Maria de Los Angeles Perez, Takemoto, Ricardo Massato","Acta Amazonica; 42(4); 515-524","Acta Amazonica","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672012000400009&lang=pt" 
"S0211-95362012000200012-esp","","","Dynamis; 32(2); 523-525","Dynamis","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-95362012000200012&lang=pt" 
"S0211-95362012000200003-esp","The Cutter incident and the development of a Swedish polio vaccine, 1952-1957","Axelsson, Per","Dynamis; 32(2); 311-328","Dynamis","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-95362012000200003&lang=pt" 
"S0211-95362012000200005-esp","The British Polio Fellowship: its contribution to the development of inclusivity for disabled people","North, Barry","Dynamis; 32(2); 361-390","Dynamis","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-95362012000200005&lang=pt" 
"S0211-95362012000200008-esp","La depuración de las matronas de Madrid tras la Guerra Civil","Ruiz-Berdún, Dolores, Gomis, Alberto","Dynamis; 32(2); 439-465","Dynamis","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-95362012000200008&lang=pt" 
"S1516-05722012000400003-scl","Teor de flavonóides totais em produtos contendo pata-de-vaca (Bauhinia L.) comercializados em farmácias de Recife/PE","Peixoto Sobrinho, T.J.S., Gomes, T.L.B., Cardoso, K.C.M., Albuquerque, U.P., Amorim, E.L.C.","Revista Brasileira de Plantas Medicinais; 14(4); 586-591","Revista Brasileira de Plantas Medicinais","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722012000400003&lang=pt" 
"S0211-95362012000200001-esp","La lucha europea contra la presencia epidémica de la poliomielitis: una reflexion histórica","Ballester, Rosa, Porras, María Isabel","Dynamis; 32(2); 273-285","Dynamis","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-95362012000200001&lang=pt" 
"S0211-95362012000200011-esp","","","Dynamis; 32(2); 501-521","Dynamis","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-95362012000200011&lang=pt" 
"S0006-87052012000400001-scl","Capacidade combinatória em mamoeiro para resistência a oídio","Vivas, Marcelo, Silveira, Silvaldo Felipe da, Cardoso, Deisy Lúcia, Pereira, Messias Gonzaga, Vivas, Janieli Maganha Silva, Ferreguetti, Geraldo Antônio","Bragantia; 71(4); 455-459","Bragantia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052012000400001&lang=pt" 
"S0006-87052012000400006-scl","Enraizamento de estacas semilenhosas de cultivares de oliveira","Silva, Luiz Fernando de Oliveira da, Oliveira, Adelson Francisco de, Pio, Rafael, Zambon, Carolina Ruiz, Oliveira, Dili Luiza","Bragantia; 71(4); 488-492","Bragantia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052012000400006&lang=pt" 
"S1727-37812012000400001-sza","","Rautenbach, Christa","PER: Potchefstroomse Elektroniese Regsblad; 15(4); 01-01","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000400001&lang=pt" 
"S1727-37812012000400002-sza","Demographic and social factors influencing public opinion on prostitution: an exploratory study in Kwazulu-Natal Province, South Africa","Pudifin, S, Bosch, S","PER: Potchefstroomse Elektroniese Regsblad; 15(4); 02-39","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000400002&lang=pt" 
"S1727-37812012000400003-sza","Rent control: a comparative analysis","Maass, S","PER: Potchefstroomse Elektroniese Regsblad; 15(4); 41-100","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000400003&lang=pt" 
"S1727-37812012000400004-sza","The role of human dignity in the assessment of fair compensation for unfair dismissals","Vettori, S","PER: Potchefstroomse Elektroniese Regsblad; 15(4); 101-124","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000400004&lang=pt" 
"S1727-37812012000400005-sza","A critique of the key legislative framework guiding civil liberties in Zimbabwe","Mapuva, J, Muyengwa, L","PER: Potchefstroomse Elektroniese Regsblad; 15(4); 125-165","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000400005&lang=pt" 
"S1727-37812012000400006-sza","The Bengwenyama trilogy: constitutional rights and the fight for prospecting on community land","Humby, T","PER: Potchefstroomse Elektroniese Regsblad; 15(4); 166-190","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000400006&lang=pt" 
"S1727-37812012000400007-sza","Sink or swim? Debt review&#039;s ambivalent &quot;Lifeline&quot; - a second sequel to &quot;... A Tale of Two Judgments&quot; Nedbank v Andrews (240/2011) 2011 ZAECPEHC 29 (10 May 2011); Firstrand Bank LTD v Evans 2011 4 SA 597 (KZD) and FirstRand Bank LTD v Janse van Rensburg 2012 2 all SA 186 (ECP)","Steyn, L","PER: Potchefstroomse Elektroniese Regsblad; 15(4); 190-231","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812012000400007&lang=pt" 
"S0717-65382012000300001-chl","Nicho trófico de Orestias agassii (Cuvier &amp; Valenciennes, 1846) del sistema de arroyos del salar de Huasco (20°05&#039;S; 68°15&#039;W)","Riveros, José, Vila, Irma, Méndez, Marco A","Gayana (Concepción); 76(2); 79-91","Gayana (Concepción)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382012000300001&lang=pt" 
"S0717-65382012000300002-chl","Cambios temporales en la abundancia y composición del ensamble de aves acuáticas en tranques artificiales en Chile central","Peña-Villalobos, Isaac, Fibla, Pablo, Salazar, Juan-Esteban, Sallaberry A, Michel","Gayana (Concepción); 76(2); 92-101","Gayana (Concepción)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382012000300002&lang=pt" 
"S0717-65382012000300003-chl","Análisis de la dieta de Diplomystes (Siluriformes: Diplomystidae) de Chile","Beltrán-Concha, M, Muñoz-Ramírez, C, Ibarra, J, Habit, E","Gayana (Concepción); 76(2); 102-111","Gayana (Concepción)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382012000300003&lang=pt" 
"S0717-65382012000300004-chl","Dieta del quique (Galictis cuja Molina 1782) en un remanente de bosque valdiviano fragmentado del sur de Chile","Sade, Soraya, Rau, Jaime R, Orellana, José I","Gayana (Concepción); 76(2); 112-116","Gayana (Concepción)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382012000300004&lang=pt" 
"S0717-65382012000300006-chl","Seasonal changes in oocyte development, growth and population size distribution of Percilia gillissiand Trichomycterus areolatus in the Itata basin, Chile","Chiang, Gustavo, Munkittrick, Kelly R, McMaster, Mark E, Tucca, Felipe, Saavedra, M. Fernanda, Ancalaf, Andrea, Gavilán, Juan F, Unzueta, Luis, Barra, Ricardo","Gayana (Concepción); 76(2); 131-141","Gayana (Concepción)","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382012000300006&lang=pt" 
"S0717-65382012000300007-chl","Diferenciación morfológica en especies del género Cheirodon (Ostariophysi: Characidae) mediante morfometría tradicional y geométrica","Salas, Daniel, Véliz, David, Scott, Sergio","Gayana (Concepción); 76(2); 142-152","Gayana (Concepción)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382012000300007&lang=pt" 
"S0717-65382012000300008-chl","Distributional patterns of the South American species of Hyalella (Amphipoda: Hyalellidae)","De los Ríos-Escalante, Patricio, Morrone, Juan J, Rivera, Reinaldo","Gayana (Concepción); 76(2); 153-161","Gayana (Concepción)","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382012000300008&lang=pt" 
"S0717-65382012000300009-chl","Descripción fenotípica y avances en la obtención de un inmunógeno contra partículas de virus ISA (HPR7b), aisladas desde un salmón del Atlántico de vida libre capturado en el ecosistema Sur-Austral de Chile","Krautz, María Cristina, Palma, Gabriela, González, Margarita, Cruzat, Fernando, González, Rodrigo R","Gayana (Concepción); 76(2); 162-166","Gayana (Concepción)","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382012000300009&lang=pt" 
