"S0011-85162015000200002-sza","The unfinished symphony","Evans, WG","South African Dental Journal; 70(2); 48-48","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015000200002&lang=pt" 
"S1519-69842015000100024-scl","Biomass of macroinvertebrates and physicochemical characteristics of water in an Andean urban wetland of Colombia","Rivera-Usme, JJ, Pinilla, GA, Rangel-Churio, JO, Castro, MI, Camacho-Pinzón, DL","Brazilian Journal of Biology; 75(1); 180-190","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000100024&lang=pt" 
"S1519-69842015000100025-scl","Striped-tailed Yellow-finch nesting success in abandoned mining pits from central Brazilian cerrado","Gressler, DT., Marini, MÂ.","Brazilian Journal of Biology; 75(1); 191-197","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000100025&lang=pt" 
"S1519-69842015000100029-scl","DDRT-PCR approaches applied for preeminent results in the isolation of DETs from fish brain tissues","Alves-Costa, FA., Wasko, AP.","Brazilian Journal of Biology; 75(1); 224-228","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000100029&lang=pt" 
"S1519-69842015000100032-scl","Helminth fauna of Astyanax fasciatus Cuvier, 1819, in two distinct sites of the Taquari River, São Paulo State, Brazil","Acosta, AA, Queiroz, J., Brandão, H., Silva, RJ","Brazilian Journal of Biology; 75(1); 242-250","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000100032&lang=pt" 
"S1809-29502015000100069-scl","Sinais precoces de escoliose em crianças pré-escolares","Vieira, Débora Beckner de Almeida Leitão Prado, Beresoski, Camila Mayumi, Camargo, Mariana Zingari, Fernandes, Karen Barros Parron, Siqueira, Claudia Patrícia Cardoso Martins, Fujisawa, Dirce Shizuko","Fisioterapia e Pesquisa; 22(1); 69-75","Fisioterapia e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502015000100069&lang=pt" 
"S1809-29502015000100061-scl","A influência da dupla tarefa no controle postural de adultos jovens","Lanzarin, Morgan, Parizzoto, Patricia, Libardoni, Thiele de Cássia, Sinhorim, Larissa, Tavares, Graziela Morgana Silva, Santos, Gilmar Moraes","Fisioterapia e Pesquisa; 22(1); 61-68","Fisioterapia e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502015000100061&lang=pt" 
"S1809-29502015000100034-scl","Pesquisas científicas com indivíduos pós Acidente Vascular Encefálico: dificuldades no recrutamento, alocação e aderência em dois diferentes protocolos de intervenção fisioterapêutica","Gomes, Raquel Pinheiro, Michaelsen, Stella Maris, Rodrigues, Letícia Cardoso, Farias, Nayara Correa, Silva, Rudney da","Fisioterapia e Pesquisa; 22(1); 34-40","Fisioterapia e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502015000100034&lang=pt" 
"S1809-29502015000100090-scl","Reeducação postural global em um adulto com paralisia cerebral: um estudo de caso","Silva, Fabiana Pinheiro da, Martinello, Micheli, Medeiros, Daiane Lazzeri de, Schwertner, Debora Soccal, Ries, Lilian Gerdi Kittel","Fisioterapia e Pesquisa; 22(1); 90-96","Fisioterapia e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502015000100090&lang=pt" 
"S1809-29502015000100084-scl","Lesões musculoesqueléticas em jovens atletas de handebol: um estudo transversal","Higashi, Renan Hideki, Santos, Marcelo Bannwart, Castro, Gustavo Toledo Mendes de, Ejnisman, Benno, Sano, Saulo Sadao, Cunha, Ronaldo Alves Da","Fisioterapia e Pesquisa; 22(1); 84-89","Fisioterapia e Pesquisa","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502015000100084&lang=pt" 
"S0120-41572015000100004-col","Endoscopic findings of primary follicular lymphoma","Franco, Diana L., Islam, Sameer, Ruff, Kevin","Biomédica; 35(1); 21-23","Biomédica","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100004&lang=pt" 
"S0120-41572015000100021-col","","Chaparro, Orlando","Biomédica; 35(1); 154-154","Biomédica","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100021&lang=pt" 
"S0120-41572015000100020-col","","","Biomédica; 35(1); 146-153","Biomédica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100020&lang=pt" 
"S0120-41572015000100018-col","Factores de riesgo asociados a mortalidad en infecciones relacionadas con la atención en salud en un hospital universitario de tercer nivel en Colombia","López, José Julián","Biomédica; 35(1); 144-145","Biomédica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100018&lang=pt" 
"S0120-41572015000100019-col","","Machado-Alba, Jorge E., Medina- Morales, Diego A., Montoya-Cañon, Mauricio","Biomédica; 35(1); 145-146","Biomédica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100019&lang=pt" 
"S0120-41572015000100010-col","Efectos contextuales asociados a la variabilidad del riesgo de depresión en adultos mayores, Antioquia, Colombia, 2012","Cardona, Doris, Segura, Alejandra, Segura, Ángela, Garzón, María Osley","Biomédica; 35(1); 73-80","Biomédica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100010&lang=pt" 
"S0120-41572015000100011-col","Susceptibility of different Rhodnius species (Hemiptera, Reduviidae, Triatominae) to a Brazilian strain of Trypanosoma rangeli (SC58/KP1-)","Barreto-Santana, Daniella, Santos-Schuenker, Liliane, Fonseca, Aline Rosa da, Gurgel-Gonçalves, Rodrigo, Cuba-Cuba, Cesar Augusto","Biomédica; 35(1); 81-89","Biomédica","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100011&lang=pt" 
"S0120-41572015000100012-col","Cambios en la depresión y el sentimiento de soledad después de la terapia de la risa en adultos mayores internados","Quintero, Ángela, Henao, María Eucaris, Villamil, María Mercedes, León, Jairo","Biomédica; 35(1); 90-100","Biomédica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100012&lang=pt" 
"S0120-41572015000100013-col","Inmunodeficiencia común variable: caracterización clínica e inmunológica de pacientes e identificación de subgrupos homogéneos con base en la tipificación de subpoblaciones de linfocitos B","Vélez, Alejandra Catalina, Castaño, Diana María, Gómez, Rubén Darío, Orrego, Julio César, Moncada, Marcela, Franco, José Luis","Biomédica; 35(1); 101-116","Biomédica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100013&lang=pt" 
"S0120-41572015000100014-col","Detection and characterization of multidrug-resistant enterobacteria bearing aminoglycoside-modifying gene in a university hospital at Rio de Janeiro, Brazil, along three decades","Dias-Gonçalves, Verônica, Bohrer-Lengruber, Françoise, Oliveira-Fonseca, Bianca, Santos-Pereira, Renata Meirelles, Barbosa de Melo, Luis Dione, Gazos-Lopes, Ulisses, Ribeiro-Bello, Alexandre, Adler-Pereira, José Augusto","Biomédica; 35(1); 117-124","Biomédica","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100014&lang=pt" 
"S0120-41572015000100015-col","Xpert MTB/RIF test performance assay in respiratory samples at real work settings in a developing country","Atehortúa, Santiago, Ramírez, Faiver, Echeverri, Lina María, Peñata, Adrián, Ospina, Sigifredo","Biomédica; 35(1); 125-130","Biomédica","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100015&lang=pt" 
"S0120-41572015000100016-col","Infección por dengue: una causa frecuente de síndrome febril en pacientes de Quibdó, Chocó, Colombia","Restrepo, Berta Nelly, Piedrahita, Leidy Diana, Agudelo, Ivony Yireth, Marín, Katherine, Ramírez, Ruth","Biomédica; 35(1); 131-137","Biomédica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100016&lang=pt" 
"S0120-41572015000100017-col","Phenotypic and genotypic characterization of Neisseria meningitidis serogroup B isolates from Cartagena, Colombia, 2012-2014","Moreno, Jaime, Sanabria, Olga, Saavedra, Sandra Yamile, Rodríguez, Karina, Duarte, Carolina","Biomédica; 35(1); 138-143","Biomédica","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100017&lang=pt" 
"S0120-41572015000100009-col","¿Existen condiciones que favorecen la reaparición del virus de la encefalitis equina venezolana en la Alta Guajira colombiana?","Ferro, Cristina, De las Salas, Jorge, González, Martha, Díaz, Alberto, Cabrera, Claudia, Flórez, Zulibeth, Duque, María Clara, Lugo, Ligia, Bello, Betsy","Biomédica; 35(1); 62-72","Biomédica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100009&lang=pt" 
"S0120-41572015000100008-col","Cambios genéticos temporales y microgeográficos de Aedes aegypti en Medellín, Colombia","Cadavid, Jorge Mario, Rúa, Guillermo, Campo, Omer, Bedoya, Gabriel, Rojas, Winston","Biomédica; 35(1); 53-61","Biomédica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100008&lang=pt" 
"S0120-41572015000100007-col","Evaluación de la sensibilidad a insecticidas en poblaciones de Aedes aegypti (Diptera: Culicidae) del departamento de Caldas, Colombia, en 2007 y 2011","Conde, Marcela, Orjuela, Lorena I., Castellanos, César Augusto, Herrera-Varela, Manuela, Licastro, Susana, Quiñones, Martha L.","Biomédica; 35(1); 43-52","Biomédica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100007&lang=pt" 
"S0120-41572015000100006-col","Caracterización de reacciones adversas a medicamentos en adultos mayores de 44 años en Bogotá, D.C., enero a diciembre, 2012","Chaves, Marlén","Biomédica; 35(1); 34-42","Biomédica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100006&lang=pt" 
"S0120-41572015000100005-col","Descripción de un brote epidémico de malaria en una comunidad indígena asentada en la zona urbana de Armenia, Colombia, 2012","Quintero, Liliana, López, Magda Beatriz, Ramírez, Harold, Castaño, Jhon Carlos","Biomédica; 35(1); 24-33","Biomédica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100005&lang=pt" 
"S0120-41572015000100003-col","Infección invasiva por Streptococcus pneumoniae: reporte de caso de un paciente con síndrome de Austrian","Echeverri, Daniel, Vargas, María de los Ángeles, Matta, Lorena, Rosso, Fernando, Segura, Janier Daniel","Biomédica; 35(1); 16-20","Biomédica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100003&lang=pt" 
"S0120-41572015000100002-col","Diagnóstico genotípico y fenotípico de tuberculosis ósea y miliar en un paciente positivo para HIV en Bogotá, Colombia","Jurado, Leonardo F., Murcia, Martha I., Hidalgo, Patricia, Leguizamón, John E., González, Lorena R.","Biomédica; 35(1); 8-15","Biomédica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100002&lang=pt" 
"S0120-41572015000100001-col","El Instituto Nacional de Salud: situación actual de la investigación y la innovación en salud pública en Colombia","Marín, Carlos Alberto","Biomédica; 35(1); 5-7","Biomédica","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-41572015000100001&lang=pt" 
"S0103-05822015000100114-scl","Physical activity and biological maturation: a systematic review","Bacil, Eliane Denise Araújo, Mazzardo Júnior, Oldemar, Rech, Cassiano Ricardo, Legnani, Rosimeide Francisco dos Santos, Campos, Wagner de","Revista Paulista de Pediatria; 33(1); 114-121","Revista Paulista de Pediatria","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822015000100114&lang=pt" 
"S0103-05822015000100072-scl","Risk factors associated with structural postural changes in the spinal column of children and adolescents","Sedrez, Juliana Adami, Rosa, Maria Izabel Zaniratti da, Noll, Matias, Medeiros, Fernanda da Silva, Candotti, Claudia Tarragô","Revista Paulista de Pediatria; 33(1); 72-81","Revista Paulista de Pediatria","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822015000100072&lang=pt" 
"S0103-05822015000100104-scl","Vitamin D deficiency in pregnancy and its impact on the fetus, the newborn and in childhood","Urrutia-Pereira, Marilyn, Solé, Dirceu","Revista Paulista de Pediatria; 33(1); 104-113","Revista Paulista de Pediatria","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822015000100104&lang=pt" 
"S0103-05822015000100042-scl","Children&#039;s eating behavior: comparison between normal and overweight children from a school in Pelotas, Rio Grande do Sul, Brazil","Passos, Darlise Rodrigues dos, Gigante, Denise Petrucci, Maciel, Francine Villela, Matijasevich, Alicia","Revista Paulista de Pediatria; 33(1); 42-49","Revista Paulista de Pediatria","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822015000100042&lang=pt" 
"S0103-05822015000100050-scl","Physical inactivity and anthropometric measures in schoolchildren from Paranavaí, Paraná, Brazil","Guilherme, Flávio Ricardo, Molena-Fernandes, Carlos Alexandre, Guilherme, Vânia Renata, Fávero, Maria Teresa Martins, Reis, Eliane Josefa Barbosa dos, Rinaldi, Wilson","Revista Paulista de Pediatria; 33(1); 50-55","Revista Paulista de Pediatria","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822015000100050&lang=pt" 
"S0103-05822015000100056-scl","Anthropometric indicators of obesity in the prediction of high body fat in adolescents","Pelegrini, Andreia, Silva, Diego Augusto Santos, Silva, João Marcos Ferreira de Lima, Grigollo, Leoberto, Petroski, Edio Luiz","Revista Paulista de Pediatria; 33(1); 56-62","Revista Paulista de Pediatria","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822015000100056&lang=pt" 
"S0103-05822015000100122-scl","Metabolic effects of exercise on childhood obesity: a current view","Paes, Santiago Tavares, Marins, João Carlos Bouzas, Andreazzi, Ana Eliza","Revista Paulista de Pediatria; 33(1); 122-129","Revista Paulista de Pediatria","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822015000100122&lang=pt" 
"S0103-05822015000100012-scl","Knowledge and practice of Brazilian pediatricians on gastroesophageal reflux disease in infants","Soares, Ana Cristina Fontenele, Freitas, Carla Lima de, Morais, Mauro Batista de","Revista Paulista de Pediatria; 33(1); 12-18","Revista Paulista de Pediatria","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822015000100012&lang=pt" 
"S0103-05822015000100028-scl","Homologous human milk supplement for very low birth weight preterm infant feeding","Grance, Thayana Regina de Souza, Serafin, Paula de Oliveira, Thomaz, Débora Marchetti Chaves, Palhares, Durval Batista","Revista Paulista de Pediatria; 33(1); 28-33","Revista Paulista de Pediatria","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822015000100028&lang=pt" 
"S2175-78602015000100075-scl","Aspectos biométricos, morfoanatômicos e histoquímicos do pirênio de Bactris maraja (Arecaceae)","Rodrigues, Joelma Keith, Mendonça, Maria Sílvia de, Gentil, Daniel Felipe de Oliveira","Rodriguésia; 66(1); 75-85","Rodriguésia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602015000100075&lang=pt" 
"S2175-78602015000100259-scl","Palmeiras (Arecaceae) nativas no município de Campo Mourão, Paraná, Brasil","Caxambú, Marcelo Galeazzi, Geraldino, Henrique Cesar Lopes, Dettke, Greta Aline, Silva, Ana Raquel da, Santos, Eloiza Nunes dos","Rodriguésia; 66(1); 259-270","Rodriguésia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602015000100259&lang=pt" 
"S2175-78602015000100221-scl","O gênero Galeandra (Orchidaceae: Catasetinae) no estado do Paraná, Brasil","Bochorny, Thuane, Monteiro, Silvana Helena Nascimento, Smidt, Eric de Camargo","Rodriguésia; 66(1); 221-227","Rodriguésia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602015000100221&lang=pt" 
"S2175-78602015000100229-scl","Licófitas (Lycopodiophyta) do Corredor de Biodiversidade do Norte do Pará, Brasil","Góes-Neto, Luiz Armando de Araújo, Maciel, Sebastião, Pietrobom, Marcio Roberto, Valdespino, Iván Alberto","Rodriguésia; 66(1); 229-244","Rodriguésia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602015000100229&lang=pt" 
"S2175-78602015000100033-scl","Variações florísticas e estruturais do componente arbóreo de uma floresta estacional semidecidual montana em Socorro, SP","Sartori, Richieri Antonio, Carvalho, Douglas Antônio de, van den Berg, Eduardo, Marques, João José Granate de Sá e Melo, Santos, Rubens Manoel dos","Rodriguésia; 66(1); 33-49","Rodriguésia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602015000100033&lang=pt" 
"S2175-78602015000100021-scl","Divergências funcionais e estratégias de resistência à seca entre espécies decíduas e sempre verdes tropicais","Souza, Bruno Cruz de, Oliveira, Rafael Silva, Araújo, Francisca Soares de, Lima, André Luiz Alves de, Rodal, Maria Jesus Nogueira","Rodriguésia; 66(1); 21-32","Rodriguésia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602015000100021&lang=pt" 
"S2175-78602015000100203-scl","Habranthus (Amaryllidaceae) do Brasil","Amaral-Lopes, Andrielle Câmara, Cavalcanti, Taciana Barbosa","Rodriguésia; 66(1); 203-220","Rodriguésia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602015000100203&lang=pt" 
"S2175-78602015000100001-scl","Diversidade beta de plantas que oferecem néctar como recurso floral aos beija-flores em cerrados do Brasil Central","Machado, Adriana Oliveira, Oliveira, Paulo Eugênio","Rodriguésia; 66(1); 1-19","Rodriguésia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602015000100001&lang=pt" 
"S2175-78602015000100167-scl","Myrsine (Myrsinoideae- Primulaceae) no sudeste e sul do Brasil","Freitas, Maria de Fátima, Kinoshita, Luiza Sumiko","Rodriguésia; 66(1); 167-189","Rodriguésia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602015000100167&lang=pt" 
"S2175-78602015000100095-scl","Revisão taxonômica das espécies de Mimosa ser. Leiocarpae sensu lato (Leguminosae - Mimosoideae)","Santos-Silva, Juliana, Fragomeni, Simon Marcelo, Tozzi, Ana Maria Goulart de Azevedo","Rodriguésia; 66(1); 95-154","Rodriguésia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602015000100095&lang=pt" 
"S2175-78602015000100087-scl","Anatomy and micromorphometry of Caryocar brasiliense leaves","Ramos, Bárbara Helena, Silva, Kellen Lagares Ferreira, Coimbra, Ronaldo Rodrigues, Chagas, Davi Borges, Ferreira, Wagner de Melo","Rodriguésia; 66(1); 87-94","Rodriguésia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602015000100087&lang=pt" 
"S2175-78602015000100155-scl","A tribo Microlicieae (Melastomataceae) no estado do Paraná","Renato, Goldenberg, Bacci, Lucas Freitas, Moraes, Juliana Wilgozz","Rodriguésia; 66(1); 155-165","Rodriguésia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602015000100155&lang=pt" 
"S2175-78602015000100051-scl","Floristic surveys of Restinga Forests in southern Bahia, Brazil, reveal the effects of geography on community composition","Fernandes, Moabe Ferreira, Queiroz, Luciano Paganucci de","Rodriguésia; 66(1); 51-73","Rodriguésia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-78602015000100051&lang=pt" 
"S1139-76322015000100003-esp","Análisis de las derivaciones a la Atención Especializada desde la consulta de Atención Primaria","Contreras Balada, N., Gibert Agulló, A., Linares Muñoz, J. M., Ponce Villacreces, M. C., Casamada Humet, N., Sauvalle Soler, M.","Pediatría Atención Primaria; 17(65); e13-e20","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000100003&lang=pt" 
"S1139-76322015000100006-esp","Estado nutricional de la población infantil en Asturias (Estudio ESNUPI-AS): delgadez, sobrepeso, obesidad y talla baja","Domínguez Aurrecoechea, B., Sánchez Echenique, M., Ordóñez Alonso, M. A., Pérez Candás, J. I., Delfrade Osinaga, J.","Pediatría Atención Primaria; 17(65); e21-e31","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000100006&lang=pt" 
"S1139-76322015000100001-esp","Sobre la Medicina Apropiada, esa que todos llevamos dentro","Piñeiro Pérez, R.","Pediatría Atención Primaria; 17(65); 11-12","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000100001&lang=pt" 
"S1139-76322015000100017-esp","Los tubos de timpanostomía y la adenoidectomía mejoran la audición a corto plazo en las otitis medias serosas","Díaz Cirujano, A.I., Ruiz-Canela Cáceres, J.","Pediatría Atención Primaria; 17(65); 71-74","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000100017&lang=pt" 
"S1139-76322015000100011-esp","Enfoque y manejo de la tartamudez","El Kadaoui Calvo, M., Molina Gutiérrez, M.A., Gómez Andrés, D.","Pediatría Atención Primaria; 17(65); e49-e51","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000100011&lang=pt" 
"S1139-76322015000100008-esp","Sexualidad saludable en nuestros jóvenes: un programa de intervención escolar","Jiménez Candel, M.I., Mansilla Collado, J., Aranda García, E., Muñoz Jaramillo, P.","Pediatría Atención Primaria; 17(65); e33-e37","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000100008&lang=pt" 
"S1139-76322015000100007-esp","Importancia de los pesticidas para los pediatras canarios como factor de riesgo para la salud infantil","Cabrera Rodríguez, R., Guerra Rodríguez, M. E.","Pediatría Atención Primaria; 17(65); 39-45","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000100007&lang=pt" 
"S1139-76322015000100024-esp","Trastorno por déficit de atención e hiperactividad: ¿incrementa su prevalencia o se promueve su diagnóstico?","Gimeno Morales, M., Galbe Sánchez-Ventura, J.","Pediatría Atención Primaria; 17(65); e95-e98","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000100024&lang=pt" 
"S1139-76322015000100012-esp","Pensando en la dermatitis perianal","García Osés, I., Martínez de Zabarte Fernández, J.M., Puig García, C., Arnal Alonso, J. M.","Pediatría Atención Primaria; 17(65); 51-55","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000100012&lang=pt" 
"S1139-76322015000100015-esp","Casos clínicos en Endocrinología (n.º 3): niña de cinco años nacida con retraso de crecimiento intrauterino sin recuperación posterior de peso y talla","Álvarez Gil, N., Expósito Alonso, L.","Pediatría Atención Primaria; 17(65); 61-68","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000100015&lang=pt" 
"S1139-76322015000100010-esp","Síndrome de Tolosa-Hunt, un diagnóstico de exclusión","Buedo Rubio, M.I., Martín-Tamayo Blázquez, M.P., Onsurbe Ramírez, I.","Pediatría Atención Primaria; 17(65); e45-e47","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000100010&lang=pt" 
"S0103-73312015000100209-spa","Os significados da comorbidade para os pacientes vivendo com TB/HIV: repercussões no tratamento","Silva, Jacqueline Barbosa, Cardoso, Gisela Cordeiro Pereira, Netto, Antonio Ruffino, Kritski, Afrânio Lineu","Physis: Revista de Saúde Coletiva; 25(1); 209-229","Physis: Revista de Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312015000100209&lang=pt" 
"S0103-73312015000100265-spa","&quot;Se parar, parou&quot;: categorização do morrer em uma unidade de terapia intensiva da cidade do Rio de Janeiro","Silva, Nathalia Ramos da, Menezes, Rachel Aisengart","Physis: Revista de Saúde Coletiva; 25(1); 265-285","Physis: Revista de Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312015000100265&lang=pt" 
"S0103-73312015000100059-spa","Vivendo com insuficiência renal: obstáculos na terapia da hemodiálise na perspectiva das pessoas doentes e suas famílias","Mercado-Martinez, Francisco Javier, Silva, Denise Guerreiro Vieira da, Souza, Sabrina da Silva de, Zillmer, Juliana Graciela Vestana, Lopes, Soraia Geraldo Rozza, Böell, Julia Estela","Physis: Revista de Saúde Coletiva; 25(1); 59-74","Physis: Revista de Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312015000100059&lang=pt" 
"S0103-73312015000100287-spa","Apoio institucional e cogestão: uma reflexão sobre o trabalho dos apoiadores do SUS Campinas","Fernandes, Juliana Azevedo, Figueiredo, Mariana Dorsa","Physis: Revista de Saúde Coletiva; 25(1); 287-306","Physis: Revista de Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312015000100287&lang=pt" 
"S0103-73312015000100251-spa","A paixão pelo autômato: a clínica para o cuidado em saúde no templo da tecnologia","Medeiros, Roberto Henrique Amorim de, Mano, Gustavo Caetano de Mattos, Weinmann, Amadeu de Oliveira","Physis: Revista de Saúde Coletiva; 25(1); 251-263","Physis: Revista de Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312015000100251&lang=pt" 
"S0103-73312015000100187-spa","Democracia e conquista: Saúde Mental como política pública municipal","Filippon, Jonathan G., Kantorski, Luciane Prado, Saeki, Toyoko","Physis: Revista de Saúde Coletiva; 25(1); 187-208","Physis: Revista de Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312015000100187&lang=pt" 
"S0103-73312015000100171-spa","Análise do perfil sociodemográfico e do processo de trabalho do cirurgião-dentista inserido no Programa de Saúde da Família em três municípios da região serrana do Estado do Rio de Janeiro","Moraes, Liliane Barbosa de, Kligerman, Débora Cynamon, Cohen, Simone Cynamon","Physis: Revista de Saúde Coletiva; 25(1); 171-186","Physis: Revista de Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312015000100171&lang=pt" 
"S0103-73312015000100121-spa","&quot;Como ferrugem em lata velha&quot;: o discurso do estigma de pacientes institucionalizados em decorrência da hanseníase","Leite, Soraia Cristina Coelho, Sampaio, Cristina Andrade, Caldeira, Antônio Prates","Physis: Revista de Saúde Coletiva; 25(1); 121-138","Physis: Revista de Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0103-73312015000100121&lang=pt" 
