"S2007-28722013000300008-mex","La educación en sociedades líquidas","Yáñez-Velazco, Juan-Carlos","Revista iberoamericana de educación superior; 4(11); 137-137","Revista iberoamericana de educación superior","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-28722013000300008&lang=pt" 
"S1852-99922013000300010-arg","Signo de la línea negra: fisura del cartílago troclear por resonancia magnética","Martín, E, Nápoli, A, Montaño, Y, Pérez, M, Liberatoscioli, J, Bruno, C","Revista argentina de radiología; 77(3); -","Revista argentina de radiología","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922013000300010&lang=pt" 
"S1852-99922013000300011-arg","¿Arte o artificio?","Soria, N, Saliwonczyk, S","Revista argentina de radiología; 77(3); -","Revista argentina de radiología","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922013000300011&lang=pt" 
"S0074-02762013000600772-scl","Characterisation of Culex quinquefasciatus (Diptera: Culicidae) larval habitats at ground level and temporal fluctuations of larval abundance in Córdoba, Argentina","Grech, Marta, Sartor, Paolo, Estallo, Elizabet, Luduena-Almeida, Francisco, Almiron, Walter","Memórias do Instituto Oswaldo Cruz; 108(6); 772-777","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600772&lang=pt" 
"S0074-02762013000600735-scl","Detection of the B&quot;-GWGR variant in the southernmost region of Brazil: unveiling the complexity of the human immunodeficiency virus-1 subtype B epidemic","Junqueira, Dennis Maletich, Medeiros, Rubia Marilia de, Leite, Thaysse Cristina Neiva Ferreira, Guimaraes, Monick Lindenmeyer, Graf, Tiago, Pinto, Aguinaldo Roberto, Almeida, Sabrina Esteves de Matos","Memórias do Instituto Oswaldo Cruz; 108(6); 735-740","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600735&lang=pt" 
"S0074-02762013000600755-scl","Potential biomarkers for the clinical prognosis of severe dengue","Silva, Mayara Marques Carneiro da, Gil, Laura Helena Vega Gonzales, Marques Junior, Ernesto Torres de Azevedo, Calzavara-Silva, Carlos Eduardo","Memórias do Instituto Oswaldo Cruz; 108(6); 755-762","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600755&lang=pt" 
"S0074-02762013000600730-scl","Standardisation of Western blotting to detect HTLV-1 antibodies synthesised in the central nervous system of HAM/TSP patients","Ribeiro, Luiz Claudio Pereira, Goncalves, Cassia Cristina Alves, Slater, Carla Maria Sena Andrade, Carvalho, Silvia Maia Farias de, Puccioni-Sohler, Marzia","Memórias do Instituto Oswaldo Cruz; 108(6); 730-734","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600730&lang=pt" 
"S0074-02762013000600671-scl","Kazal-type serine proteinase inhibitors in the midgut of Phlebotomus papatasi","Sigle, Leah Theresa, Ramalho-Ortigao, Marcelo","Memórias do Instituto Oswaldo Cruz; 108(6); 671-678","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600671&lang=pt" 
"S0074-02762013000600763-scl","Development of the BG-Malaria trap as an alternative to human-landing catches for the capture of Anopheles darlingi","Gama, Renata Antonaci, Silva, Ivoneide Maria da, Geier, Martin, Eiras, Alvaro Eduardo","Memórias do Instituto Oswaldo Cruz; 108(6); 763-771","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600763&lang=pt" 
"S0074-02762013000600707-scl","A directed approach for the identification of transcripts harbouring the spliced leader sequence and the effect of trans-splicing knockdown in Schistosoma mansoni","Mourao, Marina de Moraes, Bitar, Maina, Lobo, Francisco Pereira, Peconick, Ana Paula, Grynberg, Priscila, Prosdocimi, Francisco, Waisberg, Michael, Cerqueira, Gustavo Coutinho, Macedo, Andrea Mara, Machado, Carlos Renato, Yoshino, Timothy, Franco, Gloria Regina","Memórias do Instituto Oswaldo Cruz; 108(6); 707-717","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600707&lang=pt" 
"S0004-282X2013000900591-scl","Urinary dysfunction with detrusor hyperactivity in women with Parkinson&#039;s disease cannot be blamed as a factor of worsening motor performance","Campos-Sousa, Raimundo Nonato, Quagliato, Elizabeth Maria Aparecida Barasnevicius, Almeida, Kelson James, Castro, Inacio Augusto Dias de, Campelo, Viriato","Arquivos de Neuro-Psiquiatria; 71(9A); 591-595","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013000900591&lang=pt" 
"S0004-282X2013000900621-scl","Validation of the Brazilian version of the Clinical Gait and Balance Scale and comparison with the Berg Balance Scale","Baggio, Jussara Almeida Oliveira, Curtarelli, Monica de Biagi, Rodrigues, Guilherme Riccioppo, Tumas, Vitor","Arquivos de Neuro-Psiquiatria; 71(9A); 621-626","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013000900621&lang=pt" 
"S0004-282X2013000900584-scl","Proton magnetic spectroscopy agreed better with magnetic resonance image to lateralization of epileptogenic zone than with surface electroencephalography","Leite, Ricardo Andre Amorim, Otaduy, Maria Concepcion Garcia, Silva, Gilson Edmar Goncalves e, Ferreira, Maria Lucia Brito, Aragao, Maria de Fatima Vasco","Arquivos de Neuro-Psiquiatria; 71(9A); 584-590","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013000900584&lang=pt" 
"S0004-282X2013000900600-scl","Neuropathic pain in patients with spinal cord injury: report of 213 patients","Teixeira, Manoel Jacobsen, Paiva, Wellingson Silva, Assis, Maruska Salles, Fonoff, Erich Talamoni, Bor-Seng-Shu, Edson, Cecon, Angelo Daros","Arquivos de Neuro-Psiquiatria; 71(9A); 600-603","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013000900600&lang=pt" 
"S0004-282X2013000900627-scl","The myasthenic patient in crisis: an update of the management in Neurointensive Care Unit","Godoy, Daniel Agustin, Mello, Leonardo Jardim Vaz de, Masotti, Luca, Napoli, Mario Di","Arquivos de Neuro-Psiquiatria; 71(9A); 627-639","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013000900627&lang=pt" 
"S0004-282X2013000900604-scl","Improvement of motor function and decreased need for postnatal shunting in children who had undergone intrauterine myelomeningocele repair","Faria, Tereza Cristina Carbonari de, Cavalheiro, Sergio, Hisaba, Wagner Jou, Moron, Antonio Fernandes, Torloni, Maria Regina, Oliveira, Ana Lucia Batista de, Borges, Carolina Peixoto","Arquivos de Neuro-Psiquiatria; 71(9A); 604-608","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013000900604&lang=pt" 
"S0004-282X2013001000681-scl","Why should we use atraumatic needles in lumbar puncture?","Matas, Sandro Luiz de Andrade","Arquivos de Neuro-Psiquiatria; 71(9B); 681-684","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000681&lang=pt" 
"S0004-282X2013001000661-scl","Leprosy neuropathy: clinical presentations","Nascimento, Osvaldo J M","Arquivos de Neuro-Psiquiatria; 71(9B); 661-666","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000661&lang=pt" 
"S0004-282X2013001000667-scl","Neurological complications in dengue infection: a review for clinical practice","Puccioni-Sohler, Marzia, Rosadas, Carolina, Cabral-Castro, Mauro Jorge","Arquivos de Neuro-Psiquiatria; 71(9B); 667-671","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000667&lang=pt" 
"S0004-282X2013001000717-scl","Steroids in neuroinfection","Abraham, Ronaldo","Arquivos de Neuro-Psiquiatria; 71(9B); 717-721","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000717&lang=pt" 
"S0004-282X2013001000710-scl","Neurocysticercosis","Takayanagui, Osvaldo M.","Arquivos de Neuro-Psiquiatria; 71(9B); 710-713","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000710&lang=pt" 
"S0004-282X2013001000747-scl","Postvaccinal neurological complications","Rabello, Getulio Dare","Arquivos de Neuro-Psiquiatria; 71(9B); 747-751","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000747&lang=pt" 
"S0004-282X2013001000731-scl","Prionic diseases","Araujo, Abelardo Q-C","Arquivos de Neuro-Psiquiatria; 71(9B); 731-737","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000731&lang=pt" 
"S0004-282X2013001000722-scl","Paleoparasitology: the origin of human parasites","Araujo, Adauto, Reinhard, Karl, Ferreira, Luiz Fernando, Pucu, Elisa, Chieffi, Pedro Paulo","Arquivos de Neuro-Psiquiatria; 71(9B); 722-726","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000722&lang=pt" 
"S0004-282X2013001000727-scl","Multiple sclerosis and herpesvirus interaction","Olival, Guilherme Sciascia do, Lima, Bruna Mendonca, Sumita, Laura M., Serafim, Vitor, Fink, Maria Cristina, Nali, Luis Henrique, Romano, Camila Malta, Thomaz, Rodrigo Barbosa, Cavenaghi, Vitor Breseghello, Tilbery, Charles Peter, Penalva-de-Oliveira, Augusto Cesar","Arquivos de Neuro-Psiquiatria; 71(9B); 727-730","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000727&lang=pt" 
"S0004-282X2013001000703-scl","Viral encephalitis","Silva, Marcus Tulius T","Arquivos de Neuro-Psiquiatria; 71(9B); 703-709","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000703&lang=pt" 
"S0004-282X2013001000699-scl","Progressive multifocal leukoencephalopathy: new concepts","Lima, Marco A.","Arquivos de Neuro-Psiquiatria; 71(9B); 699-702","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000699&lang=pt" 
"S0004-282X2013001000689-scl","Cognitive impairment and major depressive disorder in HIV infection and cerebrospinal fluid biomarkers","Almeida, Sergio Monteiro de","Arquivos de Neuro-Psiquiatria; 71(9B); 689-692","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000689&lang=pt" 
"S0004-282X2013001000738-scl","Central nervous system infectious diseases mimicking multiple sclerosis: recognizing distinguishable features using MRI","Rocha, Antonio Jose da, Littig, Ingrid Aguiar, Nunes, Renato Hoffmann, Tilbery, Charles Peter","Arquivos de Neuro-Psiquiatria; 71(9B); 738-746","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000738&lang=pt" 
"S0004-282X2013001000693-scl","Cerebrospinal fluid analysis in infectious diseases of the nervous system: when to ask, what to ask, what to expect","Machado, Luis dos Ramos, Livramento, Jose Antonio, Vianna, Liliana Scaff","Arquivos de Neuro-Psiquiatria; 71(9B); 693-698","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000693&lang=pt" 
"S0004-282X2013001000672-scl","Evolution of bacterial meningitis diagnosis in Sao Paulo State-Brazil and future challenges","Salgado, Maristela Marques, Goncalves, Maria Gisele, Fukasawa, Lucila Okuyama, Higa, Fabio Takenori, Paulino, Juliana Thalita, Sacchi, Claudio Tavares","Arquivos de Neuro-Psiquiatria; 71(9B); 672-676","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000672&lang=pt" 
"S0864-02892013000300001-cub","La medicina regenerativa en Cuba. Una revolución que partió del occidente","","Revista Cubana de Hematología, Inmunología y Hemoterapia; 29(3); 213-217","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892013000300001&lang=pt" 
"S0864-02892013000300002-cub","Hemoglobinuria paroxística nocturna: de Strübing al Eculizumab","Macía Pérez, Ivis, García Peralta, Tania, Fundora Sarraff, Teresa, Fernández Delgado, Norma","Revista Cubana de Hematología, Inmunología y Hemoterapia; 29(3); 218-232","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892013000300002&lang=pt" 
"S0864-02892013000300003-cub","La drepanocitosis y el asma bronquial","Gutiérrez-Díaz, Adys Idalia, Arencibia-Núñez, Alberto, Ramón-Rodriguez, Luis Gabriel, Svarch, Eva, Jaime-Fagundo, Juan Carlos, Machín-García, Sergio, Menendez-Veitía, Andrea, Martínez, Ainel Anoceto, Delgado-Vargas, Tamara, Serrano-Mirabal, Jesús, Valdés Cabrera, Francisco, González-Otero, Alejandro","Revista Cubana de Hematología, Inmunología y Hemoterapia; 29(3); 233-245","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892013000300003&lang=pt" 
"S0864-02892013000300004-cub","Recuento absoluto de linfocitos como factor predictivo en el trasplante hematopoyético","Romero González, Adrián, Jaime Fagundo, Juan Carlos, Pinedo González, Leslie, Quintero Sierra, Yamilé, Gil Agramonte, Mildrey, Mustelier Celza, Gelquin L","Revista Cubana de Hematología, Inmunología y Hemoterapia; 29(3); 246-255","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892013000300004&lang=pt" 
"S0864-02892013000300005-cub","Complicaciones asociadas a la transfusión masiva","Maldonado Rojas, Mónica, Piña Farías, Luis, Vásquez Rojas, Marcela, Toro Opazo, Carla","Revista Cubana de Hematología, Inmunología y Hemoterapia; 29(3); 246-258","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892013000300005&lang=pt" 
"S0864-02892013000300006-cub","Síndrome de hiperviscosidad en pacientes con mieloma múltiple","Ramón Rodríguez, Luis G, Avila Cabrera, Onel, Izquierdo Cano, Lissete, Espinosa Estrada, Edgardo, González Pinedo, Leslie, Quintero Sierra, Yamilé, Gutiérrez Díaz, Adys, Roque García, Wilfredo, Sarduy Sáez, Sandra, Hernández Padrón, Carlos","Revista Cubana de Hematología, Inmunología y Hemoterapia; 29(3); 259-271","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892013000300006&lang=pt" 
"S0864-02892013000300007-cub","Impacto del tratamiento con células madre adultas en la osteoartrosis de la rodilla","Cruz-Sánchez, Pedro M, Gámez-Pérez, Anadely, Rodríguez-Orta, Celia de los A, González Portales, Yaneisy, López González, Elena, Pérez Mesa, Dayma S, González González, Jorge Arturo, González Cordero, Francisco, Pérez Lara, Idalmis, Baganet Cobas, Aymara M, Escarpanter Bulies, Julio C, Mijares Medina, Hanoi, Cruz Pérez, Yuniel","Revista Cubana de Hematología, Inmunología y Hemoterapia; 29(3); 272-283","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892013000300007&lang=pt" 
"S0864-02892013000300008-cub","Diabetes mellitus tipo 1 en una paciente con hepatitis c durante el tratamiento con interferón alfa. Primer caso comunicado en Cuba","Ustariz García, Catalino R","Revista Cubana de Hematología, Inmunología y Hemoterapia; 29(3); 284-288","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892013000300008&lang=pt" 
"S0864-02892013000300009-cub","Atrofia hemifacial progresiva o Síndrome Parry Romberg asociado a inmunodeficiencia","Sánchez Segura, Miriam de la C, Marsán Suárez, Vianed, Macías Abraham, Consuelo, García García, Alina, Valcárcel Llerandi, Julio, del Valle Pérez, Lázaro O, Socarrás Ferrer, , Arce Hernández, Ada A","Revista Cubana de Hematología, Inmunología y Hemoterapia; 29(3); 289-297","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892013000300009&lang=pt" 
"S0864-02892013000300010-cub","Cuantificación de ácido ribonucleico para la realización de la técnica de RT- PCR","Díaz-Alonso, Carmen, Garrote-Santana, Heidys, Amor-Vigil, Ana María, Suárez-González, Yandi, González-Mugica Romero, Raúl","Revista Cubana de Hematología, Inmunología y Hemoterapia; 29(3); 298-303","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892013000300010&lang=pt" 
"S0864-02892013000300011-cub","Reflexiones sobre la introducción y desarrollo de la terapia celular en Cuba","Hernández-Ramírez, Porfirio","Revista Cubana de Hematología, Inmunología y Hemoterapia; 29(3); 304-306","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892013000300011&lang=pt" 
"S0864-02892013000300012-cub","El trasplante de folículo dental en Cuba cumple ya más de medio siglo de realizado","García Gutiérrez, Luis Carlos","Revista Cubana de Hematología, Inmunología y Hemoterapia; 29(3); 307-310","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892013000300012&lang=pt" 
"S0864-02892013000300013-cub","HEMATOLOGÍA 2013, un congreso para recordar","","Revista Cubana de Hematología, Inmunología y Hemoterapia; 29(3); 311-314","Revista Cubana de Hematología, Inmunología y Hemoterapia","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-02892013000300013&lang=pt" 
"S0034-75232013000300002-cub","Perfil de riesgo vascular aterosclerótico del fallecido por muerte cardíaca súbita","Vilches Izquierdo, Ernesto, Ochoa Montes, Luis Alberto, González Lugo, Mileidys, Ramos Marrero, Lianne, Tamayo Vicente, Nidia Doris, García Ones, Damary, Díaz Londres, Henrry","Revista Cubana de Medicina; 52(3); 146-160","Revista Cubana de Medicina","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232013000300002&lang=pt" 
"S0034-75232013000300006-cub","La sigmoidoscopia: una alternativa útil para la pesquisa del cáncer colorrectal","Montes de Oca Megías, Elizabeth, García Jordá, Elsy Valentina, Noa Pedroso, Guillermo, García Menocal, Jorge Luis, Anido Escobar, Vivianne, Ruiz Torres, Julian","Revista Cubana de Medicina; 52(3); 197-208","Revista Cubana de Medicina","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232013000300006&lang=pt" 
"S0103-51502013000300008-scl","Incapacidade funcional, sintomas depressivos e dor lombar em idosos","Figueiredo, Vânia Ferreira de, Pereira, Leani Souza Máximo, Ferreira, Paulo Henrique, Pereira, Aline de Morais, Amorim, Juleimar Soares Coelho de","Fisioterapia em Movimento; 26(3); 549-557","Fisioterapia em Movimento","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502013000300008&lang=pt" 
"S0103-51502013000300006-scl","Análise de parâmetros funcionais pulmonares e da qualidade de vida na revascularização do miocárdio","Annoni, Raquel, Silva, Wilton Rodrigues, Mariano, Mariana de Souza","Fisioterapia em Movimento; 26(3); 525-536","Fisioterapia em Movimento","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502013000300006&lang=pt" 
"S0004-282X2013001000647-scl","The Brazilian neuroinfection meeting 2013","Abraham, Ronaldo","Arquivos de Neuro-Psiquiatria; 71(9B); 647-647","Arquivos de Neuro-Psiquiatria","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2013001000647&lang=pt" 
"S0074-02762013000600812-scl","The antimicrobial susceptibility, biofilm formation and genotypic profiles of Staphylococcus haemolyticus from bloodstream infections","Silva, Patricia Vollu, Cruz, Raquel Souza, Keim, Luiz Sergio, Paula, Geraldo Renato de, Carvalho, Bernadete Teixeira Ferreira, Coelho, Leonardo Rocchetto, Carvalho, Maria Cicera da Silva, Rosa, Joel Mauricio Correa da, Figueiredo, Agnes Marie Sa, Teixeira, Lenise Arneiro","Memórias do Instituto Oswaldo Cruz; 108(6); 812-813","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600812&lang=pt" 
"S0074-02762013000600686-scl","Apoptosis of non-parasitised red blood cells in Plasmodium yoelii malaria","Totino, Paulo Renato Rivas, Pinna, Raquel Alves, De-Oliveira, Ana Cecilia Amado Xavier, Banic, Dalma Maria, Daniel-Ribeiro, Claudio Tadeu, Ferreira-da-Cruz, Maria de Fatima","Memórias do Instituto Oswaldo Cruz; 108(6); 686-690","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600686&lang=pt" 
"S0074-02762013000600801-scl","Red blood cells derived from peripheral blood and bone marrow CD34+ human haematopoietic stem cells are permissive to Plasmodium parasites infection","Fernandez-Becerra, Carmen, Lelievre, Joel, Ferrer, Mireia, Anton, Nuria, Thomson, Richard, Peligero, Cristina, Almela, Maria Jesus, Lacerda, Marcus VG, Herreros, Esperanza, del Portillo, Hernando A","Memórias do Instituto Oswaldo Cruz; 108(6); 801-803","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600801&lang=pt" 
"S0074-02762013000600804-scl","Optimisation of an asymmetric polymerase chain reaction assay for the amplification of single-stranded DNA from Wuchereria bancrofti for electrochemical detection","Venkatesan, Vasuki, Hoti, Sugeerappa Laxmanappa, Kamaraj, Nagalakshmi, Ghosh, Somnath, Rajaram, Kaushik","Memórias do Instituto Oswaldo Cruz; 108(6); 804-807","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600804&lang=pt" 
"S0074-02762013000600691-scl","Effect of treatment with cyclophosphamide in low doses upon the onset of delayed type hypersensitivity in mice chronically infected with Trypanosoma cruzi: involvement of heart interstitial dendritic cells","The, Torriceli Souza, Portella, Renata Siqueira, Guerreiro, Marcos Lazaro, Andrade, Sonia Gumes","Memórias do Instituto Oswaldo Cruz; 108(6); 691-698","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600691&lang=pt" 
"S0074-02762013000600741-scl","Inhibition of rotavirus ECwt infection in ICR suckling mice by N-acetylcysteine, peroxisome proliferator-activated receptor gamma agonists and cyclooxygenase-2 inhibitors","Guerrero, Carlos Arturo, Paula Pardo, Victor Rodriguez, Rafael Guerrero, Orlando Acosta","Memórias do Instituto Oswaldo Cruz; 108(6); 741-754","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600741&lang=pt" 
"S0074-02762013000600699-scl","Identification and characterisation of microRNAs in young adults of Angiostrongylus cantonensis via a deep-sequencing approach","Chang, Shih-Hsin, Tang, Petrus, Lai, Cheng-Hung, Kuo, Ming-Ling, Wang, Lian-Chen","Memórias do Instituto Oswaldo Cruz; 108(6); 699-706","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600699&lang=pt" 
"S0074-02762013000600679-scl","Leishmania amazonensis exhibits phosphatidylserine-dependent procoagulant activity, a process that is counteracted by sandfly saliva","Rochael, Natalia Cadaxo, Lima, Luize Goncalves, Oliveira, Sandra Maria Pereira de, Barcinski, Marcello Andre, Saraiva, Elvira Maria, Monteiro, Robson Queiroz, Pinto-da-Silva, Lucia Helena","Memórias do Instituto Oswaldo Cruz; 108(6); 679-685","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600679&lang=pt" 
"S0074-02762013000600718-scl","Characterisation of pks15/1 in clinical isolates of Mycobacterium tuberculosis from Mexico","Zenteno-Cuevas, Roberto, Silva-Hernandez, Francisco X, Mendoza-Damian, Fabiola, Ramirez-Hernandez, Maria Dolores, Vazquez-Medina, Karen, Widrobo-Garcia, Lorena, Cuellar-Sanchez, Aremy, Muniz-Salazar, Raquel, Enciso-Moreno, Leonor, Perez-Navarro, Lucia Monserrat, Enciso-Moreno, Jose Antonio","Memórias do Instituto Oswaldo Cruz; 108(6); 718-723","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600718&lang=pt" 
"S0074-02762013000600778-scl","The cuticular hydrocarbons of the Triatoma sordida species subcomplex (Hemiptera: Reduviidae)","Calderon-Fernandez, Gustavo Mario, Juarez, Marta Patricia","Memórias do Instituto Oswaldo Cruz; 108(6); 778-784","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600778&lang=pt" 
"S0074-02762013000600785-scl","Revalidation and redescription of Triatoma brasiliensis macromelasoma Galvão, 1956 and an identification key for the Triatoma brasiliensis complex (Hemiptera: Reduviidae: Triatominae)","Costa, Jane, Correia, Nathalia Cordeiro, Neiva, Vanessa Lima, Goncalves, Teresa Cristina Monte, Felix, Marcio","Memórias do Instituto Oswaldo Cruz; 108(6); 785-789","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600785&lang=pt" 
"S0074-02762013000600796-scl","Asymptomatic infection in individuals from the municipality of Barcelos (Brazilian Amazon) is not associated with the anti-Plasmodium falciparum glycosylphosphatidylinositol antibody response","Gomes, Larissa Rodrigues, Totino, Paulo Renato Rivas, Sanchez, Maria Carmen Arroyo, Daniel, Elsa Paula da Silva Kaingona, Macedo, Cristiana Santos de, Fortes, Filomeno, Coura, Jose Rodrigues, Santi, Silvia Maria Di, Werneck, Guilherme Loureiro, Suarez-Mutis, Martha Cecilia, Ferreira-da-Cruz, Maria de Fatima, Daniel-Ribeiro, Claudio Tadeu","Memórias do Instituto Oswaldo Cruz; 108(6); 796-800","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000600796&lang=pt" 
