"S0101-73302012000100017-scl","Sobre algumas relações entre qualificação, trabalho docente e gênero","Durães, Sarah Jane Alves","Educação &amp; Sociedade; 33(118); 271-288","Educação &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000100017&lang=pt" 
"S0210-56912012000200002-esp","Influencia de un programa de intervención múltiple en el cumplimiento de la higiene de manos en una unidad de cuidados intensivos","García-Vázquez, E., Murcia-Payá, J., Allegue, J.M., Canteras, M., Gómez, J.","Medicina Intensiva; 36(2); 69-76","Medicina Intensiva","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912012000200002&lang=pt" 
"S2254-28842012000100005-esp","Catéteres venosos centrales permanentes tunelizados para hemodiálisis: estudio de recirculación y dosis de diálisis con líneas normales e invertidas","Fernández Jiménez, Antonio José, Aguilar Gómez, Gustavo Samuel, Cabrera Plaza, Irene, Moulín Martín, Rocío, Marín Fabrega, Virginia, Sánchez Orellana, Tania, Marques Racionero, María José, Pérez Angulo, Lola, Ortega Aranda, Encarnación, Moya Ruiz, Julia, Ortega Aranda, Aurora, Perles Carrascosa, Gema, Morillo Pedregosa, Mercedes, Ramos Serrano, Ana Mª, Sánchez Sánchez, Luisa Mª","Enfermería Nefrológica; 15(1); 28-38","Enfermería Nefrológica","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842012000100005&lang=pt" 
"S2254-28842012000100008-esp","¿Cómo influye en los pacientes crónicos de hemodiálisis la organización de actividades de ocio durante sus sesiones?","Guenoun Sanz, María, Bauça Capellà, Mª Antonia","Enfermería Nefrológica; 15(1); 57-62","Enfermería Nefrológica","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842012000100008&lang=pt" 
"S0210-56912012000200009-esp","Tromboembolia pulmonar y ausencia congénita de vena cava inferior","Villegas-Del Ojo, J., Moreno-Millán, E., Málaga-Gil, J., Lorente-Ramos, L., García-Fernández, A.M., Prieto-Valderrey, F.","Medicina Intensiva; 36(2); 152-153","Medicina Intensiva","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912012000200009&lang=pt" 
"S1130-05582012000100010-esp","Abordaje transmandibular con extensión preauricular para el tratamiento de tumores del espacio parafaríngeo con expansión a base de cráneo","Mogedas Vegara, Alfonso, Gutiérrez Santamaría, Javier, Stern Cimino, Ismael, Bordonaba Leiva, Sergio, Sierra Perilla, Nicolás, Malet Hernández, Daniel","Revista Española de Cirugía Oral y Maxilofacial; 34(1); 42-45","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000100010&lang=pt" 
"S1130-05582012000100001-esp","Comparación biomecánica entre los sistemas convencionales y uni-lock en osteosíntesis del ángulo mandibular: Estudio fotoelástico","Cebrián-Carretero, José Luis, Sánchez-Burgos, Rocío, Carrascal-Morillo, María Teresa, Vincent-Fraile, Germán, Ortiz de Artiñano, Fernando, Burgueño-Garcia, Miguel","Revista Española de Cirugía Oral y Maxilofacial; 34(1); 1-7","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000100001&lang=pt" 
"S0365-66912012000300002-esp","Susceptibilidad antibiótica in vitro a fluoroquinolonas","Wong, C.A., Galvis, V., Tello, A., Villareal, D., Rey, J.J.","Archivos de la Sociedad Española de Oftalmología; 87(3); 72-78","Archivos de la Sociedad Española de Oftalmología","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912012000300002&lang=pt" 
"S1130-05582012000100002-esp","Plasma rico en plaquetas: fundamentos biológicos y aplicaciones en cirugía maxilofacial y estética facial","Rodríguez Flores, Jordi, Palomar Gallego, María Angustias, Torres García-Denche, Jesús","Revista Española de Cirugía Oral y Maxilofacial; 34(1); 8-17","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000100002&lang=pt" 
"S0210-56912012000200005-esp","Uso de la estrategia invasiva precoz en el síndrome coronario agudo sin elevación de ST: La paradoja continúa","Latour-Pérez, J., Fuset-Cabanes, M.P., Ruano Marco, M., Nogal Sáez, F. del, Felices Abad, F.J., Cuñat de la Hoz, J.","Medicina Intensiva; 36(2); 95-102","Medicina Intensiva","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912012000200005&lang=pt" 
"S0210-56912012000200007-esp","Síndrome de distrés respiratorio agudo, ventilación mecánica y función ventricular derecha","Gordo-Vidal, F., Enciso-Calderón, V.","Medicina Intensiva; 36(2); 138-142","Medicina Intensiva","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912012000200007&lang=pt" 
"S2254-28842012000100001-esp","","Gómez Gutiérrez, Ana Yolanda","Enfermería Nefrológica; 15(1); 5-5","Enfermería Nefrológica","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S2254-28842012000100001&lang=pt" 
"S1130-05582012000100005-esp","Colgajo lingual para cierre de fístula oronasal: aportación a la técnica","Licéaga-Escalera, Carlos, Vélez-Cruz, Madeleine","Revista Española de Cirugía Oral y Maxilofacial; 34(1); 31-34","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000100005&lang=pt" 
"S0365-66912012000300009-esp","Fototoxicidad (2): Reflectividad de la luz solar en grandes superficies","Zozaya Aldana, B.","Archivos de la Sociedad Española de Oftalmología; 87(3); 96-96","Archivos de la Sociedad Española de Oftalmología","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912012000300009&lang=pt" 
"S1130-05582012000100008-esp","¿Cuál es su abordaje?","Mogedas Vegara, Alfonso, Gutiérrez Santamaría, Javier, Stern Cimino, Ismael, Bordonaba Leiva, Sergio, Sierra Perilla, Nicolás, Malet Hernández, Daniel","Revista Española de Cirugía Oral y Maxilofacial; 34(1); 39-40","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000100008&lang=pt" 
"S1020-49892012000300006-spa","Multidrug-resistant tuberculosis in Port-au-Prince, Haiti","Ocheretina, Oksana, Morose, Willy, Gauthier, Marie, Joseph, Patrice, D&#039;Meza, Richard, Escuyer, Vincent E., Rastogi, Nalin, Vernet, Guy, Pape, Jean W., Fitzgerald, Daniel W.","Revista Panamericana de Salud Pública; 31(3); 221-224","Revista Panamericana de Salud Pública","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892012000300006&lang=pt" 
"S0365-66912012000300007-esp","Toxoplasmosis macular y clindamicina intravítrea: una alternativa al tratamiento oral","Martínez Castillo, S., Gallego-Pinazo, R., Francés-Muñoz, E., Dolz-Marco, R., Vázquez Polo, A., Díaz-Llopis, M.","Archivos de la Sociedad Española de Oftalmología; 87(3); 92-94","Archivos de la Sociedad Española de Oftalmología","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912012000300007&lang=pt" 
"S0210-56912012000200011-esp","Mucormicosis fatal no sospechada en UCI","Lara-Aguayo, P., De La Fuente-Martos, C., Morán-Fernández, E., Soriano-Rodríguez, F., Rojas-Amezcua, M., Aguilar-Alonso, E.","Medicina Intensiva; 36(2); 155-157","Medicina Intensiva","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912012000200011&lang=pt" 
"S0365-66912012000300005-esp","Coroiditis serpiginosa en paciente con carcinoma de cérvix uterino","Jordano Pérez, J.J., Córdoba Lorenzo, M., Ruiz Lomas, C., Márquez Báez, F.J., Ortega Ortiz, A.","Archivos de la Sociedad Española de Oftalmología; 87(3); 86-89","Archivos de la Sociedad Española de Oftalmología","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912012000300005&lang=pt" 
"S0210-56912012000200014-esp","Réplica A: «Implantación de marcapasos endocavitarios transitorios»","Muñoz-Bono, J., Curiel-Balsera, E., Prieto-Palomino, M.A., Macías-Guarasa, I.","Medicina Intensiva; 36(2); 160-161","Medicina Intensiva","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912012000200014&lang=pt" 
"S0210-56912012000200015-esp","Herida por arma de fuego","Cubells Romeral, M., Temprano Gómez, I., Ortuño Anderiz, F.","Medicina Intensiva; 36(2); 162-162","Medicina Intensiva","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912012000200015&lang=pt" 
"S1130-05582012000100009-esp","Carcinoma adenoide quístico","López López, Ana María, Maza Muela, Cristina, Vila Masana, Irene, Navarro Vila, Carlos, Salmerón Escobar, José Ignacio","Revista Española de Cirugía Oral y Maxilofacial; 34(1); 41-42","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000100009&lang=pt" 
"S0102-67202012000100003-scl","Colonoscopias realizadas por médicos residentes em hospital universitário: análise consecutiva de 1000 casos","Sousa, João Batista de, Silva, Silvana Marques e, Fernandes, Maria Bianca de Lacerda, Nobrega, Antonio Carlos dos Santos, Almeida, Romulo Medeiros de, Oliveira, Paulo Gonçalves de","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 25(1); 9-12","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202012000100003&lang=pt" 
"S0102-67202012000100004-scl","Adenocarcinoma da vesícula biliar: avaliação dos fatores prognósticos em 100 casos ressecados no Brasil","Pais-Costa, Sergio Renato, Farah, José Francisco de Matos, Artigiani-Neto, Ricardo, Franco, Maria Isete Fares, Martins, Sandro José, Goldenberg, Alberto","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 25(1); 13-19","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202012000100004&lang=pt" 
"S0102-67202012000100005-scl","Esofagocardioplastia no tratamento cirúrgico do megaesôfago não avançado recidivado","Aquino, José Luis Braga de, Said, Marcelo Manzano, Leandro-Merhi, Vânia Aparecida, Ramos, João Paulo Zenun, Ichinoche, Liliane, Guimarães, Daniel Machado","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 25(1); 20-24","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202012000100005&lang=pt" 
"S0102-67202012000100006-scl","Preparo mecânico dos cólons é uma rotina necessária?","Lins-Neto, Manoel Álvaro de Freitas, Leão, Myra Jurema da Rocha, Alves, Elton Correia, Fontan, Alberto Jorge","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 25(1); 25-28","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202012000100006&lang=pt" 
"S0102-67202012000100007-scl","Dor musculoesquelética em membros inferiores de pacientes obesos antes e depois da cirurgia bariàtrica","Melo, Ivana Teles de, São-Pedro, Márcia","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 25(1); 29-32","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202012000100007&lang=pt" 
"S0102-67202012000100009-scl","Incidência da deficiência de vitamina B12 em pacientes submetidos à cirurgia bariátrica pela técnica Fobi-Capella (Y-de-Roux)","Carvalho, Iara Ribeiro, Loscalzo, Izabella Tesoto, Freitas, Mayteé Fernandes Borges de, Jordão, Regina Esteves, Friano, Tatiane de Cássia","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 25(1); 36-40","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202012000100009&lang=pt" 
"S0102-67202012000100010-scl","Esplenectomia e ligadura da veia gástrica esquerda na esquistossomose mansônica: efeitos sobre pressão das varizes do esôfago e indicadores endoscópicos de risco de sangramento por varizes esofagogástricas","Evangelista-Neto, João, Pereira, Fernanda Fernandez, França, Suênia Tavares, Amaral, Fernando José, Brandt, Carlos Teixeira, Fonseca-Neto, Olival Cirilo Lucena da, Lacerda, Cláudio Moura","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 25(1); 41-48","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202012000100010&lang=pt" 
"S0102-67202012000100013-scl","Qual é a importância clínica e nutricional da síndrome de realimentação?","Viana, Larissa de Andrade, Burgos, Maria Goretti Pessoa de Araújo, Silva, Rafaella de Andrade","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 25(1); 56-59","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202012000100013&lang=pt" 
"S0102-67202012000100014-scl","Distribuição da autoria em trabalhos científicos","Petroianu, Andy","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 25(1); 60-64","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202012000100014&lang=pt" 
"S1517-83822012000100042-scl","Characterization and lytic activity of Pseudomonas fluorescens phages from sewage","Radhakrishnan, Ananthi, Ananthasubramanian, M","Brazilian Journal of Microbiology; 43(1); 356-362","Brazilian Journal of Microbiology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822012000100042&lang=pt" 
"S1517-83822012000100006-scl","Alkali pretreated of wheat straw and its enzymatic hydrolysis","Han, Lirong, Feng, Juntao, Zhang, Shuangxi, Ma, Zhiqing, Wang, Yonghong, Zhang, Xing","Brazilian Journal of Microbiology; 43(1); 53-61","Brazilian Journal of Microbiology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822012000100006&lang=pt" 
"S1020-49892012000300001-spa","Disponibilidad de datos y perfil de morbilidad en Colombia","Bernal, Oscar, Forero, Juan Camilo, Villamil, María del Pilar, Pino, Rafael","Revista Panamericana de Salud Pública; 31(3); 181-187","Revista Panamericana de Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892012000300001&lang=pt" 
"S1020-49892012000300002-spa","Quality of care, quality of life, and attitudes toward disabilities: perspectives from a qualitative focus group study in Porto Alegre, Brazil","Mattevi, Betina S., Bredemeier, Juliana, Fam, Cláudia, Fleck, Marcelo P.","Revista Panamericana de Salud Pública; 31(3); 188-196","Revista Panamericana de Salud Pública","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892012000300002&lang=pt" 
"S1020-49892012000300003-spa","Dimensiones culturales del dengue que favorecen o dificultan su prevención en México","Torres López, Teresa M., Guerrero Cordero, Joana Lizeth, Salazar Estrada, José Guadalupe","Revista Panamericana de Salud Pública; 31(3); 197-203","Revista Panamericana de Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892012000300003&lang=pt" 
"S1020-49892012000300004-spa","Discriminação autorrelatada por adolescentes de uma coorte de nascimentos brasileira: prevalência e associações","Gonçalves, Helen, Dumith, Samuel C., González, David Alejandro, Menezes, Ana M. B., Araújo, Cora L. P., Hallal, Pedro C., Bastos, João Luiz","Revista Panamericana de Salud Pública; 31(3); 204-210","Revista Panamericana de Salud Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892012000300004&lang=pt" 
"S1020-49892012000300005-spa","Alcohol y tabaco en adolescentes españoles y mexicanos y su relación con la actividad físico-deportiva y la familia","Ruiz-Risueño Abad, Jorge, Ruiz-Juan, Francisco, Zamarripa Rivera, Jorge Isabel","Revista Panamericana de Salud Pública; 31(3); 211-220","Revista Panamericana de Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892012000300005&lang=pt" 
"S1020-49892012000300007-spa","Capacidade aquisitiva e disponibilidade de medicamentos para doenças crônicas no setor público","Helfer, Ana Paula, Camargo, Aline Lins, Tavares, Noemia Urruth Leão, Kanavos, Panos, Bertoldi, Andréa Dâmaso","Revista Panamericana de Salud Pública; 31(3); 225-232","Revista Panamericana de Salud Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892012000300007&lang=pt" 
"S1020-49892012000300008-spa","Adaptación del Inventario de Resiliencia ante el Suicidio (SRI-25) en adolescentes y jóvenes de Colombia","Villalobos-Galvis, Fredy Hernán, Arévalo Ojeda, Carolina, Rojas Rivera, Fabio Darío","Revista Panamericana de Salud Pública; 31(3); 233-239","Revista Panamericana de Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892012000300008&lang=pt" 
"S1020-49892012000300009-spa","Research on chronic noncommunicable diseases in Brazil: meeting the challenges of epidemiologic transition","Moura, Erly C., Pacheco-Santos, Leonor M., Peters, Lilian R., Serruya, Suzanne J., Guimarães, Reinaldo","Revista Panamericana de Salud Pública; 31(3); 240-245","Revista Panamericana de Salud Pública","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892012000300009&lang=pt" 
"S1020-49892012000300010-spa","Estratégias e resultados da prevenção do câncer bucal em idosos de São Paulo, Brasil, 2001 a 2009","Martins, Julie Silvia, Abreu, Sílvio Carlos Coelho de, Araújo, Maria Ercília de, Bourget, Monique Marie M., Campos, Fernanda Lúcia de, Grigoletto, Marcus Vinícius Diniz, Almeida, Fernanda Campos Sousa de","Revista Panamericana de Salud Pública; 31(3); 246-252","Revista Panamericana de Salud Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892012000300010&lang=pt" 
"S1020-49892012000300011-spa","Sistema de indicadores comparables de convivencia y seguridad ciudadana: un consenso de países","Guerrero Velasco, Rodrigo, Gutiérrez Martínez, María Isabel, Fandiño-Losada, Andrés, Cardona, Sonia","Revista Panamericana de Salud Pública; 31(3); 253-259","Revista Panamericana de Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892012000300011&lang=pt" 
"S1020-49892012000300012-spa","Conceitos de acesso à saúde","Sanchez, Raquel Maia, Ciconelli, Rozana Mesquita","Revista Panamericana de Salud Pública; 31(3); 260-268","Revista Panamericana de Salud Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892012000300012&lang=pt" 
"S0210-56912012000200008-esp","Colonización e infección de la vía urinaria en el paciente críticamente enfermo","López, M.J., Cortés, J.A.","Medicina Intensiva; 36(2); 143-151","Medicina Intensiva","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912012000200008&lang=pt" 
"S0210-56912012000200003-esp","Cambios respiratorios y hemodinámicos durante una maniobra de reclutamiento pulmonar mediante incrementos y decrementos progresivos de PEEP","Monge García, M.I., Gil Cano, A., Gracia Romero, M., Díaz Monrové, J.C.","Medicina Intensiva; 36(2); 77-88","Medicina Intensiva","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912012000200003&lang=pt" 
"S1135-76062012000100001-esp","Proyecto de Hermanamiento &quot;Improving the Skills of Forensic Experts in Turkey&quot;: un reto de futuro abierto a la Comunidad Médico Forense Española","Garamendi, P.M., Bedate Gutiérrez, A., Haluk Ince, C., Büyük, Y., Esen Melez, I.","Cuadernos de Medicina Forense; 18(1); 05-07","Cuadernos de Medicina Forense","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062012000100001&lang=pt" 
"S1135-76062012000100004-esp","Trastorno por estrés agudo: Presentación de un caso","Calzada Reyes, A., Oliveros Delgado, Y.C., Acosta Imas, Y.","Cuadernos de Medicina Forense; 18(1); 27-31","Cuadernos de Medicina Forense","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062012000100004&lang=pt" 
"S1130-05582012000100004-esp","Forced extrusion for removal of impacted third molars close to the mandibular canal","Flanagan DDS, Dennis","Revista Española de Cirugía Oral y Maxilofacial; 34(1); 25-30","Revista Española de Cirugía Oral y Maxilofacial","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000100004&lang=pt" 
"S1809-29502012000100017-scl","Atualização para o controle do câncer no Brasil","Thuler, Luiz Claudio Santos, Bergmann, Anke","Fisioterapia e Pesquisa; 19(1); 91-91","Fisioterapia e Pesquisa","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502012000100017&lang=pt" 
"S1809-29502012000100001-scl","Ano novo: novas propostas","Marques, Amélia Pasqual, Guirro, Rinaldo Roberto de J.","Fisioterapia e Pesquisa; 19(1); -","Fisioterapia e Pesquisa","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502012000100001&lang=pt" 
"S1809-29502012000100013-scl","Correlação entre postura da cabeça, intensidade da dor e índice de incapacidade cervical em mulheres com queixa de dor cervical","Soares, Juliana Corrêa, Weber, Priscila, Trevisan, Maria Elaine, Trevisan, Claudia Morais, Rossi, Angela Garcia","Fisioterapia e Pesquisa; 19(1); 68-72","Fisioterapia e Pesquisa","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502012000100013&lang=pt" 
"S1135-76062012000100002-esp","Aplicaciones de técnicas físico-químicas en Antropología Forense","Piga, G., Malgosa, A.","Cuadernos de Medicina Forense; 18(1); 09-17","Cuadernos de Medicina Forense","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062012000100002&lang=pt" 
"S1135-76062012000100007-esp","Síndrome de Kounis: una posibilidad a tener en cuenta como causa de muerte súbita cardiaca","Molina, P., Presentación, C., Beltrán, P., Zorio, E.","Cuadernos de Medicina Forense; 18(1); 35-38","Cuadernos de Medicina Forense","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062012000100007&lang=pt" 
"S0104-92242012000100009-scl","Estudo microestrutural de aço carbono soldado com o processo arco submerso e adições de Fe-Ti","Paris, Aleir Fontana de, Mulazzani, Francisco, Paris, Jean-Michel de","Soldagem &amp; Inspeção; 17(1); 58-64","Soldagem &amp; Inspeção","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242012000100009&lang=pt" 
"S1130-05582012000100003-esp","Estudio histológico comparativo de la reparación ósea entre hueso alveolar y extra-alveolar en los cerdos sometidos a osteotomía con alta y baja velocidad, con refrigeración líquida","Baldo de Toledo, Henrique José, Lima de Castro, Alvimar, Monti, Lira Marcela, Pires Soubhia, Ana María","Revista Española de Cirugía Oral y Maxilofacial; 34(1); 18-24","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000100003&lang=pt" 
"S1135-76062012000100008-esp","Hemoperitoneo secundario a rotura de carcinoma hepatocelular: Hallazgos de autopsia","Subirana Domènech, M., Ortega Sánchez, M., Font Valsecchi, G., Galtés Vicente, J.I., Castellà García, J.","Cuadernos de Medicina Forense; 18(1); 39-42","Cuadernos de Medicina Forense","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-76062012000100008&lang=pt" 
"S0717-92272012000100004-chl","Síndrome de encefalopatía posterior reversible (PRES) en dos casos clínicos de eclampsia","Hasbún H, Jorge, Rodríguez G, Marcelo, Miranda G, Gonzalo","Revista chilena de neuro-psiquiatría; 50(1); 35-41","Revista chilena de neuro-psiquiatría","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272012000100004&lang=pt" 
"S0717-92272012000100005-chl","Atrofia cerebelosa y uso crónico de fenitoína: Revisión de la literatura y presentación de un caso clínico","Guirao-Bringas, Patricia, Díaz-Pérez, Gustavo","Revista chilena de neuro-psiquiatría; 50(1); 42-50","Revista chilena de neuro-psiquiatría","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272012000100005&lang=pt" 
"S0717-92272012000100006-chl","Encefalopatía hepática fulminante vinculada a hiperintensidad de la corteza cerebral en la resonancia magnética","Jiménez F, Daniel, Cartier R, Luis","Revista chilena de neuro-psiquiatría; 50(1); 51-56","Revista chilena de neuro-psiquiatría","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272012000100006&lang=pt" 
"S0717-92272012000100007-chl","Encefalomielitis aguda diseminada y colitis ulcerosa: descripción de un caso clínico","Guzmán S, Jorge, Salinas R, Rodrigo","Revista chilena de neuro-psiquiatría; 50(1); 57-61","Revista chilena de neuro-psiquiatría","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272012000100007&lang=pt" 
"S0717-92272012000100009-chl","","Lolas S, Fernando","Revista chilena de neuro-psiquiatría; 50(1); 68-69","Revista chilena de neuro-psiquiatría","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272012000100009&lang=pt" 
"S0717-92272012000100008-chl","Síntomas psicóticos, paranoides y catatónicos como debut de enfermedad de Cushing en una paciente con síndrome de Turner: Reporte de caso y revisión de la litera","Ticse A, Ray","Revista chilena de neuro-psiquiatría; 50(1); 62-67","Revista chilena de neuro-psiquiatría","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272012000100008&lang=pt" 
"S0101-32892012000100003-scl","Ativação e co-contração dos músculos gastrocnêmio e tibial anterior na marcha de mulheres utilizando diferentes alturas de saltos","Candotti, Cláudia Tarragô, Carvalho, Kátya Vieira de, Torre, Marcelo La, Noll, Matias, Varela, Marcelo","Revista Brasileira de Ciências do Esporte; 34(1); 27-39","Revista Brasileira de Ciências do Esporte","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892012000100003&lang=pt" 
"S0101-32892012000100004-scl","Efeito da idade relativa no futsal de base de Minas Gerais","Penna, Eduardo Macedo, Costa, Varley Teoldo da, Ferreira, Renato Melo, Moraes, Luiz Carlos Couto de Albuquerque","Revista Brasileira de Ciências do Esporte; 34(1); 41-51","Revista Brasileira de Ciências do Esporte","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892012000100004&lang=pt" 
"S0101-32892012000100005-scl","Estilo de vida de acadêmicos de educação física de uma universidade pública do estado de Sergipe, Brasil","Silva, Diego Augusto Santos, Pereira, Indianara Magalhães Marques, Almeida, Marcos Bezerra de, Silva, Roberto Jerônimo dos Santos, Oliveira, Antônio César Cabral de","Revista Brasileira de Ciências do Esporte; 34(1); 53-67","Revista Brasileira de Ciências do Esporte","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892012000100005&lang=pt" 
