"S0102-09352015000401039-scl","In vivo biocompatibility of nanostructured Chitosan/Peo membranes","Vulcani, V.A.S., Franzo, V.S., Rabelo, R.E., Rabbers, A.S., Assis, B.M., D&#039;Ávila, M.A., Antoni, S.M.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(4); 1039-1044","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000401039&lang=pt" 
"S1519-69842015000400565-scl","The presence of Microlobius foetidus cause changes in the antioxidant defense of Urochloa decumbens?","Silva, CB, Rondon, JN, Souza, PF, Oliveira, AMR, Santos, GO, Kulik, JD, Lima, CP, Kerber, VA, Dias, JFG, Zanin, SMW, Miguel, OG, Miguel, MD","Brazilian Journal of Biology; 75(3); 565-573","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400565&lang=pt" 
"S1519-69842015000400548-scl","Impacts of artificial reservoirs on floristic diversity and plant functional traits in dry forests after 15 years","Lopes, SF, Vale, VS, Prado Júnior, JA, Schiavini, I","Brazilian Journal of Biology; 75(3); 548-557","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400548&lang=pt" 
"S1519-69842015000400517-scl","Vertical stratification and effect of petiole and dry leaf size on arthropod feeding guilds in Cecropia pachystachya(Urticaceae)","Novais, SMA, Alvarenga, AS, Falcão, LAD, Neves, FS","Brazilian Journal of Biology; 75(3); 517-523","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400517&lang=pt" 
"S0186-03482015000200001-mex","Interetnicidad y espacios de convivencia: Españoles, indígenas y africanos en la Mérida novohispana, 1542-1620","Victoria Ojeda, Jorge, Sánchez, Aurelio","Secuencia; (92); 7-36","Secuencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-03482015000200001&lang=pt" 
"S0186-03482015000200004-mex","Población en la ciudad de Campeche: fuentes y tendencias, 1810-1861","Alcalá Ferráez, Carlos","Secuencia; (92); 83-112","Secuencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-03482015000200004&lang=pt" 
"S0186-03482015000200005-mex","Prácticas académicas y producción de saber de los intelectuales de izquierda en la universidad argentina, 1900-1930","Graciano, Osvaldo","Secuencia; (92); 113-138","Secuencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-03482015000200005&lang=pt" 
"S0034-98872015000800006-chl","¿Está indicada la profilaxis antibiótica con ciprofloxacino en la realización de cistoscopia flexible?","Cano-García, María del Carmen, Casares-Pérez, Rosario, Castillo-Gallardo, Elisabeth, Merino-Salas, Sergio, Arrabal-Martín, Miguel, Arrabal-Polo, Miguel Ángel","Revista médica de Chile; 143(8); 1001-1004","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800006&lang=pt" 
"S0034-98872015000800003-chl","Análisis de las publicaciones biomédicas chilenas indizadas en PubMed, en los años 2008 y 2009","Valdés S, Gloria, Pérez G, Fernanda, Reyes B, Humberto","Revista médica de Chile; 143(8); 979-986","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800003&lang=pt" 
"S0034-98872015000800016-chl","Enfermedad invasora por Streptococcus pyogenes como coinfección en un paciente con influenza A H1N1","Guerrero S, Gonzalo, Marín S, Felipe","Revista médica de Chile; 143(8); 1070-1075","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800016&lang=pt" 
"S0034-98872015000800015-chl","La vitamina C y algo más: Un premio Nobel poco conocido en Chile","Berger, Zoltán, Berger Salinas, Alexandra, Szánthó Pongrácz, György","Revista médica de Chile; 143(8); 1065-1069","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800015&lang=pt" 
"S0034-98872015000800013-chl","Monitorización terapéutica de antibióticos: Nuevas metodologías: biosensores","Soto, Dagoberto, Silva, Camila, Andresen V, Max, Soto, Natalia, Wong, Kwok-Yin, Andresen, Max","Revista médica de Chile; 143(8); 1050-1057","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800013&lang=pt" 
"S0034-98872015000800018-chl","Type I persistent proatlantal artery associated with fusiform subclavian artery aneurysm: Report of one case","Buljan, Krunoslav, Hegeduš, Ivana, Gilman Kuric, Tihana, Salha, Tamer, Tomić, Svetlana, Butković Soldo, Silva, Buljan, Vesna, Šošić, Đurđica","Revista médica de Chile; 143(8); 1081-1084","Revista médica de Chile","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800018&lang=pt" 
"S0034-98872015000800004-chl","Efecto de la seguridad social en la duración del ausentismo laboral en el Servicio de Salud de Ñuble: un análisis de supervivencia","Soto Caro, Ariel, Herrera Cofré, Roberto, Fuentes Solís, Rodrigo","Revista médica de Chile; 143(8); 987-994","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800004&lang=pt" 
"S0034-98872015000800009-chl","Opiniones sobre terapias complementarias por parte de los estudiantes de medicina de la Pontificia Universidad Católica de Chile. Año 2014","Contreras, Diego, Alamos, María José, Chang, Mayling, Bedregal, Paula","Revista médica de Chile; 143(8); 1020-1027","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800009&lang=pt" 
"S1518-76322015000200249-scl","Os elementos constitutivos do enunciado em suas relações dialógicas: um exemplo de análise","Maciel, Lucas Vinício de Carvalho","Linguagem em (Dis)curso; 15(2); 249-266","Linguagem em (Dis)curso","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322015000200249&lang=pt" 
"S1518-76322015000200229-scl","LA CONSTRUCCIÓN KIRCHNERISTA DE LA MEMORIA","Bermúdez, Nicolás","Linguagem em (Dis)curso; 15(2); 229-247","Linguagem em (Dis)curso","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322015000200229&lang=pt" 
"S1518-76322015000200207-scl","A TELENOVELA DAS 23H: UMA DESCRIÇÃO DO GÊNERO A PARTIR DA TEORIA SEMIOLINGUÍSTICA","Corrêa-Rosado, Leonardo Coelho, Melo, Mônica Santos de Souza","Linguagem em (Dis)curso; 15(2); 207-227","Linguagem em (Dis)curso","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322015000200207&lang=pt" 
"S0034-98872015000800017-chl","Linfoma intravascular, un desafio diagnóstico: Caso clínico","Young, Pablo, Massa, María, Finn, Bárbara C, Fleire, Gonzalo, Stemmelin, Germán R, Ruades, Amanda, Sutovsky, Daniel, Casas, José G, Dezanzo, Pablo, Vigovich, Félix, Bruetman, Julio E","Revista médica de Chile; 143(8); 1076-1080","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800017&lang=pt" 
"S0034-98872015000800014-chl","La revalidación práctica del título de médico cirujano a través de un método estandarizado: Experiencia de la Universidad de Chile","Kunakov, Natasha, Bozzo, Sergio","Revista médica de Chile; 143(8); 1058-1064","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800014&lang=pt" 
"S0034-98872015000800012-chl","Enfermedades autoinmunitarias asociadas a diabetes mellitus tipo 1A","Ferreira-Hermosillo, Aldo, Molina-Ayala, Mario Antonio","Revista médica de Chile; 143(8); 1042-1049","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800012&lang=pt" 
"S0034-98872015000800010-chl","Insatisfacción laboral como predictor del ausentismo en un hospital público","Mendoza Llanos, Rodolfo","Revista médica de Chile; 143(8); 1028-1033","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800010&lang=pt" 
"S0034-98872015000800005-chl","Fuerza prensil de mano y su asociación con la edad, género y dominancia de extremidad superior en adultos mayores autovalentes insertos en la comunidad: Un estudio exploratorio","Guede Rojas, Francisco, Chirosa Ríos, Luis Javier, Vergara Ríos, César, Fuentes Contreras, Jorge, Delgado Paredes, Francisco, Valderrama Campos, María José","Revista médica de Chile; 143(8); 995-1000","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800005&lang=pt" 
"S0034-98872015000800007-chl","Evaluación de docentes clínicos de Postgrado: desarrollo y propiedades psicométricas del instrumento MEDUC-PG14","Pizarro, Margarita, Solís, Nancy, Rojas, Viviana, Díaz, Luis Antonio, Padilla, Oslando, Letelier, Luz María, Aizman, Andrés, Sarfatis, Alberto, Olivos, Trinidad, Soza, Alejandro, Delfino, Alejandro, Latorre, Gonzalo, Ivanovic-Zuvic, Danisa, Hoyl, Trinidad, Bitran, Marcela, Arab, Juan Pablo, Riquelme, Arnoldo","Revista médica de Chile; 143(8); 1005-1014","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800007&lang=pt" 
"S0034-98872015000800002-chl","Efecto de una intervención centrada en la reducción de factores de riesgo cardiovascular en estudiantes universitarios","Leiva O, Ana María, Martínez S, María Adela, Celis-Morales, Carlos","Revista médica de Chile; 143(8); 971-978","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800002&lang=pt" 
"S1518-76322015000200267-scl","Humor, humoristas e problemas de topia discursiva","Vale, Rony Petterson Gomes do","Linguagem em (Dis)curso; 15(2); 267-283","Linguagem em (Dis)curso","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322015000200267&lang=pt" 
"S1518-76322015000200303-scl","Ler e escrever na universidade: um fazer sócio-histórico-cultural","Pereira, Rodrigo Acosta, Braga, Sandro","Linguagem em (Dis)curso; 15(2); 303-320","Linguagem em (Dis)curso","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322015000200303&lang=pt" 
"S0186-03482015000200006-mex","Desintegración de la hacienda y conformación de ejidos en el valle de Ameca, Jalisco: El caso de la hacienda El Cabezón","Navarro Ochoa, Angélica, Goyas Mejía, Ramón","Secuencia; (92); 139-166","Secuencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-03482015000200006&lang=pt" 
"S0186-03482015000200002-mex","Al césar lo que es del césar: El conflicto entre Iglesia y Estado en la California dominicana","Altable, Francisco","Secuencia; (92); 37-59","Secuencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-03482015000200002&lang=pt" 
"S1519-69842015000400768-scl","Invasion of the alien gecko Hemidactylus mabouia(Moureau de Jonnès, 1818) in a natural habitat at Praia do Sul Biological Reserve, Ilha Grande, RJ, Brazil","Telles, FBS, Militão, CM, Bergallo, HG, Rocha, CFD","Brazilian Journal of Biology; 75(3); 768-770","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400768&lang=pt" 
"S1519-69842015000400766-scl","First record of Stenochrus portoricensis Chamberlin, 1922 (Arachnida: Schizomida: Hubbardiidae) for the Pernambuco state, Brazil","Souza, AM de, Lira, AFA","Brazilian Journal of Biology; 75(3); 766-767","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400766&lang=pt" 
"S1519-69842015000400771-scl","Quantification of larval food and its pollen content in the diet of stingless bees – subsidies for toxicity bioassays studies","Rosa, AS, Fernandes, MZ, Ferreira, DL, Blochtein, B, Pires, CSS, Imperatriz-Fonseca, VL","Brazilian Journal of Biology; 75(3); 771-772","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000400771&lang=pt" 
"S0186-03482015000200007-mex","&quot;Latin American News Agency Should be Formed...&quot; Las agencias de noticias internacionales en el México posrevolucionario, 1920-1934","Rivera Mir, Sebastián","Secuencia; (92); 167-192","Secuencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-03482015000200007&lang=pt" 
"S0186-03482015000200003-mex","Francisco de Magariños: un americano tensionado entre la fidelidad a la monarquía y la construcción de una nueva república","Bonaudo, Marta","Secuencia; (92); 60-82","Secuencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-03482015000200003&lang=pt" 
"S0186-03482015000200008-mex","La construcción visual de la felicidad y la convivencia familiar en México: los anuncios publicitarios en la prensa gráfica (1930-1970)","Sosenski, Susana, López León, Ricardo","Secuencia; (92); 193-225","Secuencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-03482015000200008&lang=pt" 
"S1413-23112015000200548-scl","ERRATA","","REAd. Revista Eletrônica de Administração (Porto Alegre); 21(2); 548-548","REAd. Revista Eletrônica de Administração (Porto Alegre)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112015000200548&lang=pt" 
"S0104-11692015000400595-scl","Factors associated with knowledge of the nursing staff at a teaching hospital on blood transfusion","Tavares, Jordânia Lumênia, Barichello, Elizabeth, Mattia, Ana Lúcia De, Barbosa, Maria Helena","Revista Latino-Americana de Enfermagem; 23(4); 595-602","Revista Latino-Americana de Enfermagem","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692015000400595&lang=pt" 
"S1518-76322015000200321-scl","Dialogismo e análise do discurso - alguns efeitos do pensamento Bakhtiniano nos estudos do discurso","Costa, Nelson Barros da","Linguagem em (Dis)curso; 15(2); 321-335","Linguagem em (Dis)curso","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322015000200321&lang=pt" 
"S1518-76322015000200285-scl","Avaliação e argumentação: uma análise da produção textual no ensino médio","Abreu, Adriana Rodrigues de, Nóbrega, Adriana Nogueira Accioly","Linguagem em (Dis)curso; 15(2); 285-302","Linguagem em (Dis)curso","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322015000200285&lang=pt" 
"S0103-49792015000200327-scl","A EXPANSÃO E AS POSSIBILIDADES DE DEMOCRATIZAÇÃO DO ENSINO SUPERIOR NO BRASIL","Prates, Antonio Augusto Pereira, Barbosa, Maria Ligia de Oliveira","Caderno CRH; 28(74); 327-340","Caderno CRH","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792015000200327&lang=pt" 
"S0103-49792015000200397-scl","PARA ALÉM DO NOME QUE TEM: São Paulo, cidade do trabalho","Blass, Leila Maria da Silva","Caderno CRH; 28(74); 397-408","Caderno CRH","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792015000200397&lang=pt" 
"S0103-49792015000200341-scl","ELEMENTOS PARA UMA ANÁLISE DOS ESTUDANTES COTISTAS E BOLSISTAS NO CURSO DE PEDAGOGIA DA UFRJ","Heringer, Rosana, Honorato, Gabriela de Souza","Caderno CRH; 28(74); 341-348","Caderno CRH","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792015000200341&lang=pt" 
"S0103-49792015000200255-scl","QUAL DEMOCRATIZAÇÃO DO ENSINO SUPERIOR?","Dubet, François","Caderno CRH; 28(74); 255-266","Caderno CRH","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792015000200255&lang=pt" 
"S0103-49792015000200349-scl","TRABAJADORES ARGENTINOS: respuestas y propuestas frente a la ofensiva neoliberal","Duhalde, Santiago, Picchetti, Valentina, Ventrici, Patricia","Caderno CRH; 28(74); 349-368","Caderno CRH","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792015000200349&lang=pt" 
"S0103-49792015000200309-scl","ACOMPANHAMENTO DE EGRESSOS DO ENSINO SUPERIOR: experiência brasileira e internacional","Paul, Jean-Jacques","Caderno CRH; 28(74); 309-326","Caderno CRH","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792015000200309&lang=pt" 
"S0103-49792015000200409-scl","AS AVENTURAS DO MARXISMO NO BRASIL","Musse, Ricardo","Caderno CRH; 28(74); 409-426","Caderno CRH","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792015000200409&lang=pt" 
"S0103-49792015000200369-scl","DO ESGOTAMENTO REVOLUCIONÁRIO À LIBERALIZAÇÃO: o movimento sindical face às privatizações em Moçambique na década de 1990","Ribeiro, Fernando Bessa","Caderno CRH; 28(74); 369-382","Caderno CRH","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792015000200369&lang=pt" 
"S0103-49792015000200291-scl","NOTAS SOBRE A FORMAÇÃO DE UM SISTEMA TRANSNACIONAL DE ENSINO SUPERIOR","Martins, Carlos Benedito","Caderno CRH; 28(74); 291-308","Caderno CRH","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792015000200291&lang=pt" 
"S0103-49792015000200383-scl","NAS ARMADILHAS DO DESEJO: privações e movimentos de jovens prostitutas em zonas rurais","Nascimento, Silvana de Souza, Garcia, Loreley Gomes","Caderno CRH; 28(74); 383-396","Caderno CRH","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792015000200383&lang=pt" 
"S0103-49792015000200267-scl","DEMANDA E POLÍTICAS PÚBLICAS PARA O ENSINO SUPERIOR NOS BRICS","Schwartzman, Simon","Caderno CRH; 28(74); 267-290","Caderno CRH","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-49792015000200267&lang=pt" 
"S0104-14282015000400382-scl","Blends of ground tire rubber devulcanized by microwaves/HDPE - Part B: influence of clay addition","Sousa, Fabiula Danielli Bastos de, Gouveia, Júlia Rocha, Camargo Filho, Pedro Mário Franco de, Vidotti, Suel Eric, Scuracchio, Carlos Henrique, Amurin, Leice Gonçalves, Valera, Ticiane Sanches","Polímeros; 25(4); 382-391","Polímeros","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282015000400382&lang=pt" 
"S0104-14282015000400336-scl","Polyurethane/Poly(2-(Diethyl Amino)Ethyl Methacrylate) blend for drug delivery applications","Echeverría, María Gabriela, Pardini, Oscar Ricardo, Debandi, María Valeria, François, Nora Judit, Daraio, Marta Edith, Amalvy, Javier Ignacio","Polímeros; 25(4); 336-343","Polímeros","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282015000400336&lang=pt" 
"S2078-67862015000300003-sza","Forensic state patients at Sterkfontein Hospital: A 3-year follow-up study","Marais, B, Subramaney, U","South African Journal of Psychiatry; 21(3); 86-92","South African Journal of Psychiatry","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2078-67862015000300003&lang=pt" 
"S2078-67862015000300001-sza","Depressive symptoms among children whose parents have serious mental illness: Association with children&#039;s threat-related beliefs about mental illness","Ola, B, Suren, R, Ani, C","South African Journal of Psychiatry; 21(3); 74-78","South African Journal of Psychiatry","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2078-67862015000300001&lang=pt" 
"S2078-67862015000300006-sza","The prevalence of body dysmorphic disorder among South African university students","Dlagnikova, A, van Niekerk, R L","South African Journal of Psychiatry; 21(3); 104-106","South African Journal of Psychiatry","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2078-67862015000300006&lang=pt" 
"S2078-67862015000300004-sza","Efavirenz: A review of the epidemiology, severity and management of neuropsychiatric side-effects","Gaida, R, Truter, I, Grobler, C","South African Journal of Psychiatry; 21(3); 94-97","South African Journal of Psychiatry","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2078-67862015000300004&lang=pt" 
"S2078-67862015000300005-sza","Attendance at an outpatient follow-up clinic by HIV-positive psychiatric patients initiated on ART as inpatients","Nel, Y M, Jonsson, G","South African Journal of Psychiatry; 21(3); 98-102","South African Journal of Psychiatry","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2078-67862015000300005&lang=pt" 
"S0104-14282015000400351-scl","Polyphenolic resin synthesis: optimizing plantain peel biomass as heavy metal adsorbent","Cordero, Andrés Felipe, Gómez, Milton, Castillo, José Humberto","Polímeros; 25(4); 351-355","Polímeros","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282015000400351&lang=pt" 
"S0104-14282015000400356-scl","Synthesis and characterization of new soluble polyamides from Acenaphtohydrazinomercaptotriazole diamine","Mighani, Hossein, Kia, Najmeh","Polímeros; 25(4); 356-364","Polímeros","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282015000400356&lang=pt" 
"S0104-14282015000400344-scl","Evaluation of chemical and mechanical resistance of virgin and recycled poly (ethylene terephthalate) and poly(methylene oxide) when applied as gravel pack in petroleum wells","Pereira, Alexandre Zacarias Ignácio, Delpech, Marcia Cerqueira","Polímeros; 25(4); 344-350","Polímeros","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282015000400344&lang=pt" 
"S0104-14282015000400365-scl","Natural rubber latex: determination and interpretation of flow curves","Corrêa, Harrison Lourenço, Sousa, Ana Maria Furtado de, Furtado, Cristina Russi Guimarães","Polímeros; 25(4); 365-370","Polímeros","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282015000400365&lang=pt" 
"S2078-67862015000300002-sza","Adolescent attachment, family functioning and depressive symptoms","Rawatlal, N, Kliewer, W, Pillay, B J","South African Journal of Psychiatry; 21(3); 80-85","South African Journal of Psychiatry","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2078-67862015000300002&lang=pt" 
"S0104-14282015000400392-scl","Improving the thermal properties of fluoroelastomer (Viton GF-600S) using acidic surface modified carbon nanotube","Heidarian, Javad, Hassan, Aziz, Rahman, Nor Mas Mira Abd","Polímeros; 25(4); 392-401","Polímeros","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282015000400392&lang=pt" 
"S0104-14282015000400331-scl","Using glycerol produced from biodiesel as a plasticiser in extruded biodegradable films","Bilck, Ana Paula, Müller, Carmen Maria Olivera, Olivato, Juliana Bonametti, Mali, Suzana, Grossmann, Maria Victoria Eiras, Yamashita, Fabio","Polímeros; 25(4); 331-335","Polímeros","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282015000400331&lang=pt" 
"S0104-14282015000400408-scl","Avaliação das propriedades mecânicas e morfológicas de compósitos de PEAD com pó de Pinus taeda e alumina calcinada","Grison, Karine, Turella, Taís Caroline, Scienza, Lisete Cristine, Zattera, Ademir José","Polímeros; 25(4); 408-413","Polímeros","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282015000400408&lang=pt" 
"S0104-14282015000400402-scl","Synthesis, characterization and thermal degradation of cross-linked polystyrene using the alkyne-functionalized esters as a cross-linker agent by click chemistry method","Akat, Hakan, Saltan, Fehmi","Polímeros; 25(4); 402-407","Polímeros","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282015000400402&lang=pt" 
"S0104-14282015000400371-scl","Recycling assessment of multilayer flexible packaging films using design of experiments","Uehara, Gabriel Abreu, França, Marcos Pini, Canevarolo Junior, Sebastiao Vicente","Polímeros; 25(4); 371-381","Polímeros","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282015000400371&lang=pt" 
"S2078-67862015000300008-sza","Biological Psychiatry Congress 2015","","South African Journal of Psychiatry; 21(3); 108-131","South African Journal of Psychiatry","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2078-67862015000300008&lang=pt" 
"S2078-67862015000300007-sza","Overcrowding as a possible risk factor for inpatient suicide in a South African psychiatric hospital","Grobler, Christoffel, Strumpher, Johanita, Jacobs, Ruwayda","South African Journal of Psychiatry; 21(3); 107-107","South African Journal of Psychiatry","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2078-67862015000300007&lang=pt" 
"S0104-14282015000400001-scl","Editoral","Frollini, Elisabete","Polímeros; 25(4); E1-E1","Polímeros","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282015000400001&lang=pt" 
"S0034-98872015000800019-chl","Recurrencia de síndrome de Tako-Tsubo: un caso peruano","del Solar-Moreno, Zoraida, Ulloa-Montoya, Humberto, Orellana-Cuellar, Laura","Revista médica de Chile; 143(8); 1085-1086","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800019&lang=pt" 
"S1518-76322015000200205-scl","Apresentação","Rauen, Fábio José, Furlanetto, Maria Marta","Linguagem em (Dis)curso; 15(2); 205-206","Linguagem em (Dis)curso","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322015000200205&lang=pt" 
"S0034-98872015000800020-chl","El Proyecto BRAIN: ¿Sólo se estudia en computadoras?","Salinas F, David","Revista médica de Chile; 143(8); 1087-1088","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800020&lang=pt" 
"S0034-98872015000800021-chl","¡Sedentarismo e inactividad física no son lo mismo!: una actualización de conceptos orientada a la prescripción del ejercicio físico para la salud","Cristi-Montero, Carlos, Celis-Morales, Carlos, Ramírez-Campillo, Rodrigo, Aguilar-Farías, Nicolás, Álvarez, Cristian, Rodríguez-Rodríguez, Fernando","Revista médica de Chile; 143(8); 1089-1090","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800021&lang=pt" 
"S0034-98872015000800008-chl","El reconocimiento legal de la transexualidad en Chile mediante el procedimiento judicial de cambio de nombre: Un caso de complementariedad epistemológica entre medicina y derecho","Muñoz León, Fernando","Revista médica de Chile; 143(8); 1015-1019","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800008&lang=pt" 
"S0034-98872015000800001-chl","Influencia de la ganancia de peso durante el primer año del trasplante renal en la sobrevida de injertos y pacientes","Vega, Jorge, Huidobro E, Juan Pablo, De La Barra, Sofía, Haro, Danissa","Revista médica de Chile; 143(8); 961-970","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800001&lang=pt" 
"S0034-98872015000800011-chl","Orbitopatía de Graves en pediatría","Mendoza F, Carolina, Lacourt R, Patricia","Revista médica de Chile; 143(8); 1034-1041","Revista médica de Chile","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000800011&lang=pt" 
"S0716-10182015000500024-chl","Fe de Erratas","","Revista chilena de infectología; 32(4); 484-484","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500024&lang=pt" 
"S0716-10182015000500023-chl","Adquisición de enterobacterias multi-resistentes en viajeros a zonas tropicales","Cifuentes, Marcela","Revista chilena de infectología; 32(4); 487-487","Revista chilena de infectología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182015000500023&lang=pt" 
