"S0103-84782012000900010-scl","Índices topográficos aplicados à modelagem agrícola e ambiental","Minella, Jean Paolo Gomes, Merten, Gustavo Henrique","Ciência Rural; 42(9); 1575-1582","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000900010&lang=pt" 
"S0101-73302012000300014-scl","A universidade popular dos movimentos sociais: entrevista com o prof. Boaventura de Sousa Santos","Benzaquen, Júlia F.","Educação &amp; Sociedade; 33(120); 917-927","Educação &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000300014&lang=pt" 
"S0366-69132012000300010-scl","Matéria-prima da formação Corumbataí na região do pólo cerâmico de Santa Gertrudes, SP, com características naturais para fabricação de argila expandida","Moreno, M. M. T., Zanardo, A., Rocha, R. R., Roveri, C. D.","Cerâmica; 58(347); 342-348","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300010&lang=pt" 
"S0104-12902012000300001-scl","Editorial","Ianni, Aurea Maria Zöllner","Saúde e Sociedade; 21(3); 527-528","Saúde e Sociedade","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300001&lang=pt" 
"S0104-12902012000300012-scl","Auto-organização e psicoterapia","Pena, Liliana, Oliveira, Clara Costa","Saúde e Sociedade; 21(3); 668-674","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300012&lang=pt" 
"S0104-12902012000300023-scl","Errata","","Saúde e Sociedade; 21(3); 797-797","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300023&lang=pt" 
"S0366-69132012000300001-scl","Editorial","","Cerâmica; 58(347); 279-279","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300001&lang=pt" 
"S0366-69132012000300003-scl","Durabilidade de peças cerâmicas vermelhas com adição de rejeito de rocha ornamental isenta de granalha","Rodrigues, D. V., Xavier, G. C., Saboya, F., Maia, P. C. A, Alexandre, J.","Cerâmica; 58(347); 286-293","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300003&lang=pt" 
"S0366-69132012000300005-scl","Módulo elástico como ferramenta para avaliação da hidratação da magnésia e dos processamento de concretos refratários","Souza, T. M., Braulio, M. A. L., Bonadia, P., Pandolfelli, V. C.","Cerâmica; 58(347); 301-312","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300005&lang=pt" 
"S0366-69132012000300007-scl","Organofilização de argilas bentoníticas com tensoativos não- iônicos visando seu uso em fluidos de perfuração base óleo","Silva, I. A., Costa, J. M. R., Ferreira, H. S., Menezes, R. R., Neves, G. A., Ferreira, H. C.","Cerâmica; 58(347); 317-327","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300007&lang=pt" 
"S0366-69132012000300011-scl","Caracterização elétrica de blocos varistores à base de SnO2","Brito, R. L., Pessôa, P. A. P., Vasconcelos, J. S., Santos, L. P. S. dos, Rangel, J. H. G., Longo, E., Sousa, V. C. de, Ramirez, M. A., Oliveira, M. M.","Cerâmica; 58(347); 349-356","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300011&lang=pt" 
"S0366-69132012000300012-scl","Estudo da significância de variáveis de compactação e sinterização de pastilhas deβ-TCP utilizando planejamento de experimentos","Oliveira, R. N., Alencastro, F. S., Soares, G. D. A.","Cerâmica; 58(347); 357-362","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300012&lang=pt" 
"S0366-69132012000300013-scl","Caracterizações de argilas bentoníticas e síntese de argilas organofílicas para uso em nanocompósitos poliméricos: parte II","Barbosa, R., Morais, D. D. S., Araújo, E. M., Mélo, T. J. A.","Cerâmica; 58(347); 363-367","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300013&lang=pt" 
"S0366-69132012000300016-scl","Synthesis and characterization of Pr substituted Gd-123 high-Tc superconductors","Huse, V. R., Mote, V. D., Purushotham, Y., Dole, B. N.","Cerâmica; 58(347); 381-387","Cerâmica","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300016&lang=pt" 
"S0366-69132012000300020-scl","Estudo comparativo das argilas das olarias dos municípios de Alfenas e Areado, MG","Gaspar Junior, L. A., Varajão, A. F. D. C., Souza, M. H. O., Moreno, M. M. T.","Cerâmica; 58(347); 404-411","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300020&lang=pt" 
"S0366-69132012000300021-scl","Characteristics of some clay materials from Tamilnadu, India, and their possible ceramic uses","Manoharan, C., Sutharsan, P., Dhanapandian, S., Venkatachalapathy, R.","Cerâmica; 58(347); 412-418","Cerâmica","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300021&lang=pt" 
"S0101-73302012000300003-scl","Movimientos sociales emergentes y nuevas maneras de educar","Rockwell, Elsie","Educação &amp; Sociedade; 33(120); 697-713","Educação &amp; Sociedade","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000300003&lang=pt" 
"S0101-73302012000300004-scl","Direito à educação, diversidade e educação em direitos humanos","Candau, Vera Maria Ferrão","Educação &amp; Sociedade; 33(120); 715-726","Educação &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000300004&lang=pt" 
"S0101-73302012000300005-scl","Movimento negro e educação: ressignificando e politizando a raça","Gomes, Nilma Lino","Educação &amp; Sociedade; 33(120); 727-744","Educação &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000300005&lang=pt" 
"S0101-73302012000300006-scl","Educação do campo, desigualdades sociais e educacionais","Souza, Maria Antônia de","Educação &amp; Sociedade; 33(120); 745-763","Educação &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000300006&lang=pt" 
"S0101-73302012000300007-scl","Roteiro para uma história da educação escolar indígena: notas sobre a relação entre política indigenista e educacional","Oliveira, Luiz Antonio de, Nascimento, Rita Gomes do","Educação &amp; Sociedade; 33(120); 765-781","Educação &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000300007&lang=pt" 
"S0101-73302012000300008-scl","As desigualdades socioespaciais de acesso aos saberes: uma perspectiva de renovação da sociologia das desigualdades escolares?","Ayed, Choukri Ben","Educação &amp; Sociedade; 33(120); 783-803","Educação &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000300008&lang=pt" 
"S0101-73302012000300009-scl","Novos olhares para as desigualdades de oportunidades educacionais: a segregação residencial e a relação favela-asfalto no contexto carioca","Koslinski, Mariane Campelo, Alves, Fatima","Educação &amp; Sociedade; 33(120); 805-831","Educação &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000300009&lang=pt" 
"S0101-73302012000300011-scl","Subjetividade docente, inclusão e gênero","Lopes, Maura Corcini, Dal&#039;Igna, Maria Cláudia","Educação &amp; Sociedade; 33(120); 851-867","Educação &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000300011&lang=pt" 
"S0101-73302012000300012-scl","Adolescentes en las aulas: la irrupción de la diferencia y el fin de la expansión educativa","López, Néstor","Educação &amp; Sociedade; 33(120); 869-889","Educação &amp; Sociedade","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000300012&lang=pt" 
"S0101-73302012000300013-scl","Há algo novo a se dizer sobre as relações raciais no Brasil contemporâneo?","Silvério, Valter Roberto, Trinidad, Cristina Teodoro","Educação &amp; Sociedade; 33(120); 891-914","Educação &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000300013&lang=pt" 
"S0366-69132012000300002-scl","Corrosão de refratários utilizados na siderurgia. Parte I: propriedades microestruturais","Bragança, S. R.","Cerâmica; 58(347); 280-285","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300002&lang=pt" 
"S0366-69132012000300004-scl","Catalisadores cerâmicos à base de CuO/CeO2 aplicados na reação de oxidação preferencial do CO","Neiva, L. S., Bispo, A., Simões, A. N., Andrade, H. M. C., Gama, L.","Cerâmica; 58(347); 294-300","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300004&lang=pt" 
"S0104-12902012000300003-scl","Lidar com a doença mental - a pluralidade de sistemas de cuidados e de itinerários terapêuticos: análise comparativa de dois estudos efectuados junto de duas populações residentes em Portugal","Alves, Fátima, Bäckström, Bárbara","Saúde e Sociedade; 21(3); 543-557","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300003&lang=pt" 
"S0104-12902012000300005-scl","Território e serviço comunitário de saúde mental: as concepções presentes nos discursos dos atores do processo da reforma psiquiátrica brasileira","Leão, Adriana, Barros, Sônia","Saúde e Sociedade; 21(3); 572-586","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300005&lang=pt" 
"S0104-12902012000300006-scl","Projeto terapêutico nos serviços extra-hospitalares de saúde mental: uma reflexão crítica sobre a forma de elaboração e gestão dos projetos terapêuticos nos serviços","Fiorati, Regina Célia, Saeki, Toyoko","Saúde e Sociedade; 21(3); 587-598","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300006&lang=pt" 
"S0104-12902012000300007-scl","A interlocução da saúde mental com atenção básica no município de Vitoria/ES","Rodrigues, Euzilene da Silva, Moreira, Maria Inês Badaró","Saúde e Sociedade; 21(3); 599-611","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300007&lang=pt" 
"S0104-12902012000300008-scl","Levantamento sobre uso de álcool e outras drogas e vulnerabilidades relacionadas de estudantes de escolas públicas participantes do programa saúde do escolar/saúde e prevenção nas escolas no município de Florianópolis","Giacomozzi, Andréia Isabel, Itokasu, Maria Cristina, Luzardo, Adriana Remião, Figueiredo, Camila Detoni Sá de, Vieira, Mariana","Saúde e Sociedade; 21(3); 612-622","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300008&lang=pt" 
"S0104-12902012000300010-scl","Agentes comunitárias de saúde e a atenção à saúde sexual e reprodutiva de jovens na estratégia saúde da família","Bellenzani, Renata, Santos, Alessandro de Oliveira dos, Paiva, Vera","Saúde e Sociedade; 21(3); 637-650","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300010&lang=pt" 
"S0104-12902012000300011-scl","Ideações e tentativas de suicídio em adolescentes com práticas sexuais hetero e homoeróticas","Teixeira-Filho, Fernando Silva, Rondini, Carina Alexandra","Saúde e Sociedade; 21(3); 651-667","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300011&lang=pt" 
"S0104-12902012000300013-scl","As repercussões do cuidado na vida do cuidador familiar do idoso com demência de Alzheimer","Oliveira, Ana Paula Pessoa de, Caldana, Regina Helena Lima","Saúde e Sociedade; 21(3); 675-685","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300013&lang=pt" 
"S0104-12902012000300014-scl","O discurso dos profissionais sobre a demanda e a humanização","Junges, José Roque, Barbiani, Rosangela, Fernandes, Raquel Brondisia Panizzi, Prudente, Jessica, Schaefer, Rafaela, Kolling, Vanessa","Saúde e Sociedade; 21(3); 686-697","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300014&lang=pt" 
"S0104-12902012000300015-scl","Viver o estado terminal de um familiar: leitura salutogénica de resultados de um estudo de caso","Oliveira, Clara Costa, Costa, Ana Lúcia","Saúde e Sociedade; 21(3); 698-709","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300015&lang=pt" 
"S0104-12902012000300016-scl","Adaptação transcultural: Multidimensional Orientation Toward Dying and Death Inventory (MODDI-F) à realidade brasileira","Olivas, Marcos Antônio de, Silva, José Vitor da, Santos, Franklin Santana","Saúde e Sociedade; 21(3); 710-718","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300016&lang=pt" 
"S0104-12902012000300017-scl","Nos embates com a morte, os médicos não estão sozinhos","Falcão, Eliane Brígida Morais","Saúde e Sociedade; 21(3); 719-734","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300017&lang=pt" 
"S0104-12902012000300018-scl","Concepts associated with health from the perspective of sustainable development","Ríos-Osorio, Leonardo Alberto, Salas-Zapata, Walter Alfredo, Ortiz-Lobato, Manuel","Saúde e Sociedade; 21(3); 735-746","Saúde e Sociedade","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300018&lang=pt" 
"S0104-12902012000300019-scl","Construção do &quot;Habitat-Ação&quot; saudável por meio de fundamentação teórico-metodológica do campo da semiologia do ambiente construído","Cohen, Simone Cynamon, Barcelos, Mara Rejane Barroso","Saúde e Sociedade; 21(3); 747-759","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300019&lang=pt" 
"S0104-12902012000300021-scl","A temática ambiental em representações e práticas de profissionais de saúde da família no município de Manaus - AM/Brasil","Mendonça, Raimunda das Chagas, Giatti, Leandro Luiz, Toledo, Renata Ferraz de","Saúde e Sociedade; 21(3); 776-787","Saúde e Sociedade","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300021&lang=pt" 
"S0104-12902012000300022-scl","Estresse e Modos de Andar a Vida: uma contribuição de Canguilhem para a compreensão da Síndrome Geral de Adaptação","Santos, Maurici Tadeu Ferreira dos, Gomes, Mara H. de Andréa","Saúde e Sociedade; 21(3); 788-796","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300022&lang=pt" 
"S0366-69132012000300018-scl","Processing of red ceramic using a fast-firing cycle","Saleiro, G. T., Holanda, J. N. F.","Cerâmica; 58(347); 393-399","Cerâmica","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000300018&lang=pt" 
"S0104-12902012000300009-scl","A atenção e o cuidado à gravidez na adolescência nos âmbitos familiar, político e na sociedade: uma revisão da literatura","Pariz, Juliane, Mengarda, Celito Francisco, Frizzo, Giana Bitencourt","Saúde e Sociedade; 21(3); 623-636","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300009&lang=pt" 
"S0104-12902012000300004-scl","O processo de restabelecimento na perspectiva de pessoas com diagnóstico de transtornos do espectro esquizofrênico e de psiquiatras na rede pública de atenção psicossocial","Lopes, Tatiana Scala, Dahl, Catarina Magalhães, Serpa Jr, Octavio Domont de, Leal, Erotildes M., Campos, Rosana T. Onocko, Diaz, Alberto Giovanello","Saúde e Sociedade; 21(3); 558-571","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300004&lang=pt" 
"S0104-12902012000300002-scl","Saúde mental e o campo sociojurídico: o &quot;estado da arte do debate&quot; com a reforma psiquiátrica","Mathes, Priscilla Gomes, Silva, Felipe Basso","Saúde e Sociedade; 21(3); 529-542","Saúde e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902012000300002&lang=pt" 
"S0104-66322012000300003-scl","Study on fermentation conditions of palm juice vinegar by response surface methodology and development of a kinetic model","Ghosh, S., Chakraborty, R., Chatterjee, G., Raychaudhuri, U.","Brazilian Journal of Chemical Engineering; 29(3); 461-472","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300003&lang=pt" 
"S0104-66322012000300005-scl","Renewable resources for biosurfactant production by yarrowia lipolytica","Fontes, G. C., Ramos, N. M., Amaral, P. F. F., Nele, M., Coelho, M. A. Z.","Brazilian Journal of Chemical Engineering; 29(3); 483-494","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300005&lang=pt" 
"S0104-66322012000300008-scl","Second law analysis for free convection in non-newtonian fluids over a horizontal plate embedded in a porous medium: (prescribed heat flux)","Khan, W. A., Gorla, R. S. R.","Brazilian Journal of Chemical Engineering; 29(3); 511-518","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300008&lang=pt" 
"S0104-66322012000300013-scl","CFD-optimization algorithm to optimize the energy transport in pultruded polymer composites","Santos, L. S., Biscaia Jr., E. C., Pagano, R. L., Calado, V. M. A.","Brazilian Journal of Chemical Engineering; 29(3); 559-566","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300013&lang=pt" 
"S0104-66322012000300021-scl","Viscosities and viscosity deviations of binary mixtures of biodiesel + petrodiesel (or n-hexadecane) at different temperatures","Mesquita, F. M. R., Feitosa, F. X., Carmo, F. R. do, Santiago-Aguiar, R. S. de, Sant&#039;Ana, H. B. de","Brazilian Journal of Chemical Engineering; 29(3); 653-664","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300021&lang=pt" 
"S0104-66322012000300009-scl","Antiwear and antioxidant studies of cardanol phosphate ester additives","Mazzetto, S. E., Oliveira, L. D. M., Lomonaco, D., Veloso, P. A.","Brazilian Journal of Chemical Engineering; 29(3); 519-524","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300009&lang=pt" 
"S0104-66322012000300022-scl","Investigation of asphaltene precipitation in miscible gas injection processes: experimental study and modeling","Moradi, S., Dabiri, M., Dabir, B., Rashtchian, D., Emadi, M. A.","Brazilian Journal of Chemical Engineering; 29(3); 665-676","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300022&lang=pt" 
"S0074-02762012000600001-scl","Morphological and morphometrical assessment of spermathecae of Aedes aegypti females","Pascini, Tales Vicari, Ramalho-Ortigão, Marcelo, Martins, Gustavo Ferreira","Memórias do Instituto Oswaldo Cruz; 107(6); 705-712","Memórias do Instituto Oswaldo Cruz","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000600001&lang=pt" 
"S0104-66322012000300001-scl","Comparison between continuous and batch processing to produce xylanase by penicillium canescens 10-10c","Bakri, Y., Akeed, Y., Thonart, P.","Brazilian Journal of Chemical Engineering; 29(3); 441-448","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300001&lang=pt" 
"S0104-66322012000300002-scl","Effects of process variables and additives on mustard oil hydrolysis by porcine pancreas lipase","Goswami, D., De, S., Basu, J. K.","Brazilian Journal of Chemical Engineering; 29(3); 449-460","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300002&lang=pt" 
"S0104-66322012000300004-scl","Application of enzymes in leather processing: a comparison between chemical and coenzymatic processes","Souza, F. R. de, Gutterres, M.","Brazilian Journal of Chemical Engineering; 29(3); 473-482","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300004&lang=pt" 
"S0104-66322012000300006-scl","Improvement of the flocculation process in water treatment by using moringa oleifera seeds extract","Sánchez-Martín, J., Beltrán-Heredia, J., Peres, J. A.","Brazilian Journal of Chemical Engineering; 29(3); 495-502","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300006&lang=pt" 
"S0104-66322012000300007-scl","Effect of quinoa and potato flours on the thermomechanical and breadmaking properties ofwheat flour","Rodriguez-Sandoval, E., Sandoval, G., Cortes-Rodríguez, M.","Brazilian Journal of Chemical Engineering; 29(3); 503-510","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300007&lang=pt" 
"S0104-66322012000300011-scl","Relationship of lambda and overshoot of step response for a direct synthesis PI controller","Tan, L. W., Raja Ahmad, R. K., Ibrahim, M. N., Taip, F. S.","Brazilian Journal of Chemical Engineering; 29(3); 537-548","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300011&lang=pt" 
"S0104-66322012000300015-scl","Solvent recovery from soybean oil/n-hexane mixtures using hollow fiber membrane","Tres, M. V., Nobrega, R., Carvalho, R. B., Oliveira, J. V., Luccio, M. Di","Brazilian Journal of Chemical Engineering; 29(3); 577-584","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300015&lang=pt" 
"S0104-66322012000300016-scl","Extraction of oil and minor lipids from cold-press rapeseed cake with supercritical CO2","Uquiche, E., Romero, V., Ortíz, J., del Valle, J. M.","Brazilian Journal of Chemical Engineering; 29(3); 585-598","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300016&lang=pt" 
"S0104-66322012000300017-scl","Effective transport properties for the pyridine-granular activated carbon adsorption system","Baz-Rodríguez, S. A., Ocampo-Pérez, R., Ruelas-Leyva, J. P., Aguilar-Madera, C. G.","Brazilian Journal of Chemical Engineering; 29(3); 599-612","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300017&lang=pt" 
"S0104-66322012000300018-scl","Experimental study of lactose hydrolysis and separation in cstr-uf membrane reactor","Namvar-Mahboub, M., Pakizeh, M.","Brazilian Journal of Chemical Engineering; 29(3); 613-618","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300018&lang=pt" 
"S0104-66322012000300019-scl","Characterization and use of in natura and calcined rice husks for biosorption of heavy metals ions from aqueous effluents","Vieira, M. G. A., Almeida Neto, A. F. de, Silva, M. G. Carlos da, Nóbrega, C. C., Melo Filho, A. A.","Brazilian Journal of Chemical Engineering; 29(3); 619-634","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300019&lang=pt" 
"S0104-66322012000300020-scl","Comparison of adsorption equilibrium and kinetic models for a case study of pharmaceutical active ingredient adsorption from fermentation broths: parameter determination, simulation, sensitivity analysis and optimization","Likozar, B., Senica, D., Pavko, A.","Brazilian Journal of Chemical Engineering; 29(3); 635-652","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300020&lang=pt" 
"S0104-66322012000300010-scl","Organophilic bentonites based on argentinean and Brazilian bentonites: Part 1: influence of intrinsic properties of sodium bentonites on the final properties of organophilic bentonites prepared by solid-liquid and semisolid reactions","Paiva, L. B., Morales, A. R.","Brazilian Journal of Chemical Engineering; 29(3); 525-536","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300010&lang=pt" 
"S0104-66322012000300014-scl","Mathematical modeling of a three-phase trickle bed reactor","Silva, J. D., Abreu, C. A. M.","Brazilian Journal of Chemical Engineering; 29(3); 567-576","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300014&lang=pt" 
"S0104-66322012000300012-scl","Introducing a new formula based on an artificial neural network for prediction of droplet size in venturi scrubbers","Sharifi, A., Mohebbi, A.","Brazilian Journal of Chemical Engineering; 29(3); 549-558","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300012&lang=pt" 
"S0104-66322012000300023-scl","Safety study of an experimental apparatus for extraction with supercritical CO2","Soares, V. B., Coelho, G. L. V.","Brazilian Journal of Chemical Engineering; 29(3); 677-682","Brazilian Journal of Chemical Engineering","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322012000300023&lang=pt" 
"S1983-14472012000300025-scl","Revisão integrativa: um retrato da morte e suas implicações no ensino acadêmico","Lima, Márcia Gabriela Rodrigues de, Nietsche, Elisabeta Albertina, Santos, Solange Capaverde dos, Teixeira, Joice Ane, Bottega, Janilene Camara, Nicola, Glaucia Dal Omo, Ilha, Silomar","Revista Gaúcha de Enfermagem; 33(3); 190-197","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300025&lang=pt" 
"S1983-14472012000300026-scl","Uso e efetividade da papaína no processo de cicatrização de feridas: uma revisão sistemática","Leite, Andréa Pinto, Oliveira, Beatriz Guitton Renaud Baptista de, Soares, Marja Ferreira, Barrocas, Desirée Lessa Rodrigues","Revista Gaúcha de Enfermagem; 33(3); 198-207","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300026&lang=pt" 
"S1679-45082012000300004-scl","O sistema MELD e a mortalidade em lista de espera para transplante de fígado em países em desenvolvimento: lições aprendidas em São Paulo","Salvalaggio, Paolo, Afonso, Rogerio Carballo, Pereira, Luiz Augusto, Ferraz-Neto, Ben-Hur","Einstein (São Paulo); 10(3); 278-285","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300004&lang=pt" 
"S1679-45082012000300010-scl","Fatores associados ao uso excessivo de medicação sintomática em pacientes com enxaqueca crônica","Guendler, Vera Zukerman, Mercante, Juliane Prieto Peres, Ribeiro, Reinaldo Teixeira, Zukerman, Eliova, Peres, Mario Fernando Prieto","Einstein (São Paulo); 10(3); 312-317","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300010&lang=pt" 
"S1679-45082012000300012-scl","Polipectomia endometrial histeroscópica: tratamento ambulatorial versus convencional","Bergamo, Angela Mendes, Depes, Daniella de Batista, Pereira, Ana Maria Gomes, Santana, Taciana Cristina Duarte de, Lippi, Umberto Gazi, Lopes, Reginaldo Guedes Coelho","Einstein (São Paulo); 10(3); 323-328","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300012&lang=pt" 
"S0073-47212012000300006-scl","Condition factor of Goniopsis cruentata (Crustacea, Brachyura, Grapsidae) from Mundaú/Manguaba estuarine complex, Alagoas, Brazil","Lira, José J. P. R., Calado, Tereza C. S., Araújo, Marina S. L. C.","Iheringia. Série Zoologia; 102(3); 285-291","Iheringia. Série Zoologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000300006&lang=pt" 
