"S0482-50042012000100014-scl","Níveis séricos elevados de homocisteína em pacientes pediátricos com fenômeno de Raynaud primário","Kutilek, Stepan, Nemec, Vladimir, Bockayova, Eva","Revista Brasileira de Reumatologia; 52(1); 128-130","Revista Brasileira de Reumatologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042012000100014&lang=pt" 
"S1561-31942012000100024-cub","Dr. DAVID ARNÓ PÉREZ ZAGARRA","Sánchez Mojarrieta, Mario","Revista de Ciencias Médicas de Pinar del Río; 16(1); 231-233","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942012000100024&lang=pt" 
"S0100-736X2012000200001-scl","Prevalence and risk factors for Leptospira spp. in cattle herds in the south central region of Paraná state","Hashimoto, Vanessa Y, Dias, Juliana A, Spohr, Kledir A.H, Silva, Maria C.P, Andrade, Maria G.B, Müller, Ernst E, Freitas, Julio C","Pesquisa Veterinária Brasileira; 32(2); 99-105","Pesquisa Veterinária Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012000200001&lang=pt" 
"S0100-736X2012000200009-scl","Fatores de risco associados à infecção por Toxoplasma gondii em ovinos e caprinos no estado de Pernambuco","Pereira, Márcia de Figueiredo, Peixoto, Rodolfo de Moraes, Langoni, Hélio, Greca Junior, Haroldo, Azevedo, Sérgio Santos de, Porto, Wagnner José Nascimento, Medeiros, Elizabeth Sampaio de, Mota, Rinaldo Aparecido","Pesquisa Veterinária Brasileira; 32(2); 140-146","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012000200009&lang=pt" 
"S0100-736X2012000200015-scl","Alterações hematológicas em cães (Canis lupus familiaris) após tratamento com eletroacupuntura","Esper, Greyson Vitor Zanatta, Fernandes, Roberta Ribeiro, Zardo, Alessandra Maria Lemos Pontes, Cavalheri, Vagner Michel, Razente, Rodolfo André, Noro, Mirela","Pesquisa Veterinária Brasileira; 32(2); 179-182","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012000200015&lang=pt" 
"S0100-736X2012000200014-scl","Efeito da suplementação in vitro de selênio sobre neutrόfilos do leite e sanguíneos em vacas leiteras","Souza, Fernando N, Blagitz, Maiara G, Latorre, Andréia O., Mori, Clara S, Sucupira, Maria Claudia A, Libera, Alice M.M.P. Della","Pesquisa Veterinária Brasileira; 32(2); 174-178","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012000200014&lang=pt" 
"S0100-736X2012000200016-scl","Forma e função dos músculos perineais da viscacha (Lagostomus maximus)","Pieri, Naira C.G, Flamini, Alicia M., Barbeito, Claudio G, Casals, Juliana B, Roque, Beatriz K, Favaron, Phelipe O, Miglino, Maria Angelica, Martins, Daniele S.","Pesquisa Veterinária Brasileira; 32(2); 183-187","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012000200016&lang=pt" 
"S0100-736X2012000200004-scl","Ocorrência e fatores de risco associados à infecção por Corynebacterium pseudotuberculosis em caprinos e ovinos do semiárido paraibano","Andrade, José Sóstenes L., Azevedo, Sérgio S, Teles, José Andreey A., Higino, Silvano S.S., Azevedo, Edisio O","Pesquisa Veterinária Brasileira; 32(2); 116-120","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012000200004&lang=pt" 
"S0100-736X2012000200002-scl","Avaliação da eficácia de diferentes protocolos de preparo do Plasma Rico em Plaquetas para uso em Medicina Equina","Vendruscolo, Cynthia P., Carvalho, Armando de M, Moraes, Lívia F., Maia, Leandro, Queiroz, Diana L, Watanabe, Marcos J, Yamada, Ana Lúcia M., Alves, Ana Liz G","Pesquisa Veterinária Brasileira; 32(2); 106-110","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012000200002&lang=pt" 
"S0100-736X2012000200003-scl","Paratuberculose em caprinos e ovinos no Estado da Paraíba","Medeiros, João M.A, Garino Junior, Felício, Almeida, Arthur P, Lucena, Erasmo A, Riet-Correa, Franklin","Pesquisa Veterinária Brasileira; 32(2); 111-115","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012000200003&lang=pt" 
"S0100-736X2012000200005-scl","Surtos de infecção por Piscinoodinium pillulare e Henneguya spp. em pacus (Piaractus mesopotamicus) criados intensivamente no Sudoeste de Goiás","Sant&#039;Ana, Fabiano J.F. de, Oliveira, Sílvio L. de, Rabelo, Rogério E, Vulcani, Valcinir A.S, Silva, Samuel M.G. da, Ferreira Júnior, Jair A","Pesquisa Veterinária Brasileira; 32(2); 121-125","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012000200005&lang=pt" 
"S0100-736X2012000200006-scl","Intoxicação experimental por Indigofera suffruticosa em caprinos e ovinos","Figueiredo, Anna P.M. de, Medeiros, Rosane M.T, Dantas, Francelicia P.M., Leite, Amélia L.D, Fighera, Rafael A., Riet-Correa, Franklin","Pesquisa Veterinária Brasileira; 32(2); 126-130","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012000200006&lang=pt" 
"S0100-736X2012000200007-scl","Intercorrência entre leucose enzoótica e brucelose em búfalos (Bubalus bubalis) em sistema de produção extensivo","Chaves, Nancyleni P, Bezerra, Danilo C., Santos, Larissa S. dos, Sá, Janaira S., Santos, Hamilton P, Pereira, Hélder de M.","Pesquisa Veterinária Brasileira; 32(2); 131-134","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012000200007&lang=pt" 
"S0100-736X2012000200008-scl","Assessing the histopathology to depict the different stages of bovine tuberculosis infection in a naturally infected herd","Medeiros, Luciana S., Marassi, Carla D., Figueiredo, Eduardo E.S, Leite, Juliana, Ferreira, Ana Maria R., Lilenbaum, Walter","Pesquisa Veterinária Brasileira; 32(2); 135-139","Pesquisa Veterinária Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012000200008&lang=pt" 
"S0100-736X2012000200010-scl","Diagnóstico do controle e perfil de sensibilidade de nematódeos de ovinos ao albendazol e ao levamisol no norte de Minas Gerais","Duarte, Eduardo R., Silva, Rayana B, Vasconcelos, Viviane O., Nogueira, Flávia A., Oliveira, Neide J.F","Pesquisa Veterinária Brasileira; 32(2); 147-152","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012000200010&lang=pt" 
"S0100-736X2012000200011-scl","Neoplasmas envolvendo o sistema nervoso central de cães: 26 casos (2003-2011)","Santos, Rosmarini P., Fighera, Rafael A., Beckmann, Diego V., Brum, Juliana S., Ripplinger, Angel, P. Neto, Dakir, Baumhardt, Raquel, Mazzanti, Alexandre","Pesquisa Veterinária Brasileira; 32(2); 153-158","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012000200011&lang=pt" 
"S0100-736X2012000200012-scl","Microbiologia de swabs retais e otológicos em carnívoros silvestres do zoológico do Parque Estadual de Dois Irmãos, Pernambuco","Lima, Débora Costa Viegas de, Siqueira, Daniel Barreto, Mota, Rinaldo Aparecido, Rameh-de-Albuquerque, Luciana Carla, Souza, Dênisson Silva, Santos, André de Souza, Silva, Leonildo Bento Galiza da","Pesquisa Veterinária Brasileira; 32(2); 159-164","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012000200012&lang=pt" 
"S0100-736X2012000200013-scl","Avaliação da morfometria renal através do método ultrassonográfico de fêmeas caprinas (Capra hircus) normais da raça Saanen","Rossi, Rodolfo S., Bombonato, Pedro P, Piva, Fernanda M., Gregory, Lílian","Pesquisa Veterinária Brasileira; 32(2); 165-173","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012000200013&lang=pt" 
"S0365-05962012000100031-scl","Prevalence of dermatologic disorders in 15 patients with acromegaly","Resende, Mariângela, Bolfi, Fernanda, Nunes, Vânia dos Santos, Miot, Hélio Amante","Anais Brasileiros de Dermatologia; 87(1); 166-168","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100031&lang=pt" 
"S0365-05962012000100030-scl","Cross-sectional descriptive study of topical self-medication in a hospital dermatology department in the state of São Paulo","Padoveze, Emerson Henrique, Nascimento, Luiz Fernando Costa, Ferreira, Flávia Regina, Neves, Viviane Scarpa da Costa","Anais Brasileiros de Dermatologia; 87(1); 163-165","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100030&lang=pt" 
"S0365-05962012000100029-scl","Spontaneous cure in a case of Tinea nigra","Rossetto, André Luiz, Cruz, Rosana Cé Bella","Anais Brasileiros de Dermatologia; 87(1); 160-162","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100029&lang=pt" 
"S0365-05962012000100028-scl","Concordance between direct microscopy and fungical culture for the diagnostic of feet&#039;s onychomycosis","Souza, Paulo Ricardo Martins, Vettorato, Gerson, Pinto, Giselle Martins, Duquia, Rodrigo Pereira, Amaro, Tais Guarienti, Almeira Junior, Hiram Laranjeira de, Breunig, Juliano de Avelar","Anais Brasileiros de Dermatologia; 87(1); 157-159","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100028&lang=pt" 
"S0365-05962012000100027-scl","Do you know this syndrome?","Dellatorre, Gerson, Castro, Caio César Silva de","Anais Brasileiros de Dermatologia; 87(1); 155-156","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100027&lang=pt" 
"S0365-05962012000100002-scl","Comparative clinical evaluation of efficacy and safety of a formulation containing ciclopirox 8% in the form of a therapeutic nail lacquer in two different posologies for the treatment of onychomycosis of the toes","Schalka, Sergio, Nunes, Samanta, Gomes Neto, Antonio","Anais Brasileiros de Dermatologia; 87(1); 19-25","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100002&lang=pt" 
"S0365-05962012000100021-scl","Pityriasis amiantacea: clinical-dermatoscopic features and microscopy of hair tufts","Verardino, Gustavo Costa, Azulay-Abulafia, Luna, Macedo, Priscila Marques de, Jeunon, Thiago","Anais Brasileiros de Dermatologia; 87(1); 142-145","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100021&lang=pt" 
"S0365-05962012000100020-scl","Psoriasis, lymphoma and etanercept: is there a correlation?","Miranda, Ludmilla Queirós, Bressan, Aline Lopes, Rehfeldt, Fernanda Valente da Silva, Vasconcelos, Bárbara Nader, Gripp, Alexandre Carlos","Anais Brasileiros de Dermatologia; 87(1); 139-141","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100020&lang=pt" 
"S0365-05962012000100019-scl","Severe cutaneous and arthritic psoriasis in patient with Aids: a good outcome with therapy using etanercept","Santos, Mônica, Rabelo, Renata, Mendes, Luciana, Vilasboas, Virginia, Talhari, Carolina, Talhari, Sinésio","Anais Brasileiros de Dermatologia; 87(1); 135-138","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100019&lang=pt" 
"S0365-05962012000100005-scl","The vegetal biomembrane in the healing of chronic venous ulcers","Frade, Marco Andrey Cipriani, Assis, Raimunda Violante Campos de, Coutinho Netto, Joaquim, Andrade, Thiago Antônio Moretti de, Foss, Norma Tiraboschi","Anais Brasileiros de Dermatologia; 87(1); 45-51","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100005&lang=pt" 
"S0365-05962012000100018-scl","Buschke -Loewenstein tumor: identification of HPV type 6 and 11","Braga, Juliana Casagrande Tavoloni, Nadal, Sidney Roberto, Stiepcich, Monica, Framil, Valéria Maria de Souza, Muller, Helena","Anais Brasileiros de Dermatologia; 87(1); 131-134","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100018&lang=pt" 
"S0365-05962012000100017-scl","Clinical variability in dystrophic epidermolysis bullosa and findings with scanning electron microscopy","Almeida Jr, Hiram Larangeira de, Monteiro, Luciane Maria Alves, Goetze, Fernanda Mendes, Silva, Ricardo Marques e, Rocha, Nara Moreira","Anais Brasileiros de Dermatologia; 87(1); 127-130","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100017&lang=pt" 
"S0365-05962012000100016-scl","Breast cancer: 2 case reports","Rosmaninho, Aristóteles, Velho, Glória, Caetano, Mónica, Selores, Manuela","Anais Brasileiros de Dermatologia; 87(1); 123-126","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100016&lang=pt" 
"S0365-05962012000100015-scl","Primary systemic amyloidosis associated with multiple myeloma","Oliveira, Ederson Valei Lopes de, Pozetti, Ana Carolina Garcia, Pozetti, Eurides Maria de Oliveira, Antonio, João Roberto, Michalany, Nilceo Schwery","Anais Brasileiros de Dermatologia; 87(1); 119-122","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100015&lang=pt" 
"S0365-05962012000100014-scl","Assessment of completion of forms requesting skin biopsies","Schettini, Daniel Almeida, Schettini, Antonio Pedro Mendes, Sardinha, José Carlos Gomes, Ferreira, Luiz Carlos de Lima, Vasques, Felicien, Xerez, Luena","Anais Brasileiros de Dermatologia; 87(1); 115-118","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100014&lang=pt" 
"S0365-05962012000100022-scl","With respect to a case of erythema-tous lupus in 1916","","Anais Brasileiros de Dermatologia; 87(1); 145-145","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100022&lang=pt" 
"S0365-05962012000100023-scl","Borderline tuberculoid leprosy associated with primary cutaneous histoplasmosis","Nascimento, Carolina Ribas do, Soares, Ronita Rocelina Carvalhal Silva, Martelli, Antônio Carlos Ceribelli, Andrade, Maria Izilda, Cury Filho, Milton","Anais Brasileiros de Dermatologia; 87(1); 146-147","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100023&lang=pt" 
"S0365-05962012000100024-scl","Periungual leishmaniasis","Gomes, Ciro Martins, Morais, Orlando Oliveira de, Leite, Anglya Samara Silva, Soares, Killarney Ataíde, Motta, Jorgeth de Oliveira Carneiro da, Sampaio, Raimunda Nonata Ribeiro","Anais Brasileiros de Dermatologia; 87(1); 148-149","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100024&lang=pt" 
"S0365-05962012000100026-scl","Case for diagnosis","Januário, Gustavo, Santiago, Felicidade","Anais Brasileiros de Dermatologia; 87(1); 153-154","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100026&lang=pt" 
"S0365-05962012000100032-scl","Shark island pedicle flap for repairing of basal cell carcinoma","Wiwanitkit, Viroj","Anais Brasileiros de Dermatologia; 87(1); 169-169","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100032&lang=pt" 
"S0102-09352012000100012-scl","Ultrassonografia testicular em bovinos jovens da raça Nelore criados em sistema extensivo","Cardilli, D.J., Toniollo, G.H., Pastore, A.A., Canola, J.C., Oliveira, J.A., Mercadante, M.E.Z.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 64(1); 75-82","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352012000100012&lang=pt" 
"S0104-11692012000100001-scl","The violence and its implications for health and nursing","Robazzi, Maria Lúcia do Carmo Cruz","Revista Latino-Americana de Enfermagem; 20(1); 1-2","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100001&lang=pt" 
"S0102-69092012000100001-scl","As ciências sociais e a diversidade dos sotaques","Ortiz, Renato","Revista Brasileira de Ciências Sociais; 27(78); 7-24","Revista Brasileira de Ciências Sociais","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092012000100001&lang=pt" 
"S0102-69092012000100002-scl","A relação universidade-sociedade na periferia do capitalismo","Silva, Rogério Bezerra da","Revista Brasileira de Ciências Sociais; 27(78); 25-40","Revista Brasileira de Ciências Sociais","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092012000100002&lang=pt" 
"S0102-69092012000100004-scl","As falas do medo: convergências entre as cidades do Porto e Rio de Janeiro","Rêgo, Ximene, Fernandes, Luís","Revista Brasileira de Ciências Sociais; 27(78); 51-65","Revista Brasileira de Ciências Sociais","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092012000100004&lang=pt" 
"S0102-69092012000100006-scl","O projeto pastoral de Edir Macedo: uma igreja benevolente para indivíduos ambiciosos?","Mafra, Clara, Swatowiski, Claudia, Sampaio, Camila","Revista Brasileira de Ciências Sociais; 27(78); 81-96","Revista Brasileira de Ciências Sociais","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092012000100006&lang=pt" 
"S0102-69092012000100007-scl","Representação política de atores cívicos entre a imediaticidade da experiência e discursos de justificação","Maia, Rousiley","Revista Brasileira de Ciências Sociais; 27(78); 97-112","Revista Brasileira de Ciências Sociais","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092012000100007&lang=pt" 
"S0102-69092012000100008-scl","Da exogeneidade ao gradualismo: inovações na teoria da mudança institucional","Rezende, Flávio da Cunha","Revista Brasileira de Ciências Sociais; 27(78); 113-130","Revista Brasileira de Ciências Sociais","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092012000100008&lang=pt" 
"S0102-69092012000100009-scl","Políticas públicas e a descentralização legislativa da Assembleia Constituinte Brasileira, 1987-1988","Praça, Sérgio, Noronha, Lincoln","Revista Brasileira de Ciências Sociais; 27(78); 131-147","Revista Brasileira de Ciências Sociais","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092012000100009&lang=pt" 
"S0102-69092012000100010-scl","O caminho para Washington passa por Buenos Aires: a recepção do conceito argentino do estado de sítio e seu papel na construção da República brasileira (1890-1898)","Lynch, Christian Edward Cyril","Revista Brasileira de Ciências Sociais; 27(78); 149-169","Revista Brasileira de Ciências Sociais","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092012000100010&lang=pt" 
"S0104-11692012000100014-scl","Process of construction of an educational booklet for health promotion of pregnant women","Reberte, Luciana Magnoni, Hoga, Luiza Akiko Komura, Gomes, Ana Luisa Zaniboni","Revista Latino-Americana de Enfermagem; 20(1); 101-108","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692012000100014&lang=pt" 
"S0365-05962012000100001-scl","HLA and skin cancer","Bonamigo, Renan Rangel, Carvalho, André Vicente Esteves de, Sebastiani, Vanessa Raquel Zaleski, Silva, Cristina Martino da, Pinto, Angela Caroline de Zorzi","Anais Brasileiros de Dermatologia; 87(1); 9-18","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100001&lang=pt" 
"S0365-05962012000100003-scl","Assessment of quality of life of patients with leprosy reactional states treated in a dermatology reference center","Costa, Marina Dias, Terra, Fábio de Souza, Costa, Rosane Dias, Lyon, Sandra, Costa, Ana Maria Duarte Dias, Antunes, Carlos Maurício de Figueiredo","Anais Brasileiros de Dermatologia; 87(1); 26-35","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100003&lang=pt" 
"S0365-05962012000100004-scl","Assessment of knowledge of skin cancer prevention and its relation with sun exposure and photo protection amongst gym academy members on the south of Santa Catarina, Brazil","Fabris, Mariana Rocha, Durães, Edson Souza Machado, Martignago, Beatriz Castellar de Faria, Blanco, Luiz Felipe de Oliveira, Fabris, Thiago Rocha","Anais Brasileiros de Dermatologia; 87(1); 36-43","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100004&lang=pt" 
"S0365-05962012000100006-scl","Clinical, biometric and ultrasound assessment of the effects of daily use of a nutraceutical composed of lycopene, acerola extract, grape seed extract and Biomarine Complex in photoaged human skin","Costa, Adilson, Lindmark, Lars, Arruda, Lúcia Helena Fávaro, Assumpção, Elvira Cancio, Ota, Fernanda Sayuri, Pereira, Margareth de Oliveira, Langen, Stéphanie Selma Barros","Anais Brasileiros de Dermatologia; 87(1); 52-61","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100006&lang=pt" 
"S0365-05962012000100007-scl","Localized scleroderma: assessment of the therapeutic response to phototherapy","Buense, Roberta, Duarte, Ida Alzira Gomes, Bouer, Marcio","Anais Brasileiros de Dermatologia; 87(1); 63-69","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100007&lang=pt" 
"S0365-05962012000100008-scl","Topical estradiol does not interfere with the expression of the metalloproteinase-1 enzyme in photo exposed skin cells","Neder, Luciana, Medeiros, Sebastião Freitas de","Anais Brasileiros de Dermatologia; 87(1); 70-75","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100008&lang=pt" 
"S0365-05962012000100010-scl","Papillary atrophy of the tongue and nutritional status of hospitalized alcoholics","Cunha, Selma Freire de Carvalho da, Melo, Daniel Angelo de, Braga, Camila Bitu Moreno, Vannucchi, Helio, Cunha, Daniel Ferreira da","Anais Brasileiros de Dermatologia; 87(1); 84-89","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100010&lang=pt" 
"S0365-05962012000100011-scl","Sun exposure and sun protection habits in high school students from a city south of the country","Dupont, Letícia, Pereira, Denise Neves","Anais Brasileiros de Dermatologia; 87(1); 90-95","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100011&lang=pt" 
"S0365-05962012000100012-scl","Association of acanthosis nigricans and skin tags with insulin resistance","Barbato, Mariana Tremel, Criado, Paulo Ricardo, Silva, Ana Kris da, Averbeck, Evelyne, Guerine, Marina Bensen, Sá, Naiana Bittencourt de","Anais Brasileiros de Dermatologia; 87(1); 97-104","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100012&lang=pt" 
"S0365-05962012000100013-scl","Actinic cheilitis and squamous cell carcinoma of the lip: clinical, histopathological and immunogenetic aspects","Vieira, Renata Aparecida Martinez Antunes Ribeiro, Minicucci, Eliana Maria, Marques, Mariangela Esther Alencar, Marques, Silvio Alencar","Anais Brasileiros de Dermatologia; 87(1); 105-114","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000100013&lang=pt" 
"S1413-86702012000100002-scl","Role of hyaluronic acid and laminin as serum markers for predicting significant fibrosis in patients with chronic hepatitis B","Li, Feng, Zhu, Chang-Lai, Zhang, Hong, Huang, Hua, Wei, Qun, Zhu, Xiang, Cheng, Xiao-Yang","Brazilian Journal of Infectious Diseases; 16(1); 9-14","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000100002&lang=pt" 
"S1413-86702012000100007-scl","High prevalence of human bocavirus 1 in infants with lower acute respiratory tract disease in Argentina, 2007 - 2009","Ghietto, Lucía María, Cámara, Alicia, Zhou, Yumei, Pedranti, Mauro, Ferreyra, Silvia, Frey, Teryl, Cámara, Jorge, Adamo, Maria Pilar","Brazilian Journal of Infectious Diseases; 16(1); 38-44","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000100007&lang=pt" 
"S1413-86702012000100008-scl","Characterization and sensitivity to antibiotics of bacteria isolated from the lower respiratory tract of ventilated patients hospitalized in intensive care units","Medell, Manuel, Medell, Mariana, Martínez, Alicia, Valdés, Rodolfo","Brazilian Journal of Infectious Diseases; 16(1); 45-51","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000100008&lang=pt" 
"S1413-86702012000100010-scl","Detection of genomic mutations in katG, inhA and rpoB genes of Mycobacterium tuberculosis isolates using polymerase chain reaction and multiplex allele-specific polymerase chain reaction","Khosravi, Azar Dokht, Goodarzi, Hamed, Alavi, Seyed Mohammad","Brazilian Journal of Infectious Diseases; 16(1); 57-62","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000100010&lang=pt" 
"S1413-86702012000100012-scl","Rational design of diagnostic and vaccination strategies for tuberculosis","Borsuk, Sibele, Seixas, Fabiana Kommling, Ramos, Daniela Fernandes, Mendum, Tom, McFadden, Johnjoe, Dellagostin, Odir","Brazilian Journal of Infectious Diseases; 16(1); 68-73","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000100012&lang=pt" 
"S1413-86702012000100019-scl","Seronegative cat-scratch disease diagnosed by PCR detection of Bartonella henselae DNA in lymph node samples","Chondrogiannis, Konstantinos, Vezakis, Antonios, Derpapas, Michael, Melemeni, Aikaterini, Fragulidis, Georgios","Brazilian Journal of Infectious Diseases; 16(1); 96-99","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000100019&lang=pt" 
"S0100-879X2012000200009-scl","Percutaneous sciatic nerve block with tramadol induces analgesia and motor blockade in two animal pain models","Sousa, A.M., Ashmawi, H.A., Costa, L.S., Posso, I.P., Slullitel, A.","Brazilian Journal of Medical and Biological Research; 45(2); 147-152","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012000200009&lang=pt" 
