"S0080-62341996000100010-scl","Avaliação da gravidade do traumatismo crânio-encefálico por índices anatômicos e fisiológicos","Imai, Maria de Fátima Paiva, Koizumi, Maria Sumie","Revista da Escola de Enfermagem da USP; 30(1); 116-137","Revista da Escola de Enfermagem da USP","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62341996000100010&lang=pt" 
"S0074-02761996000200006-scl","Biological control of Aedes albopictus (Diptera: Culicidae) larvae in trap tyres by Mesocyclops longisetus (Copepoda: Cyclopidae) in two field trials","Santos, Luciana Urbano, Andrade, Carlos Fernando S, Carvalho, Gílcia A","Memórias do Instituto Oswaldo Cruz; 91(2); 161-162","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200006&lang=pt" 
"S0074-02761996000200001-scl","","","Memórias do Instituto Oswaldo Cruz; 91(2); -","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200001&lang=pt" 
"S0074-02761996000200007-scl","Kudoa thyrsithes (Myxozoa, Multivalvulida) causing &quot;milky condition&quot; in the musculature of paralichthys adspersus (Neopterygii, Pleuronectiformes, (Paralichthyidae) from Chile","Castro R, Raúl, Burgos, Rodrigo","Memórias do Instituto Oswaldo Cruz; 91(2); 163-164","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200007&lang=pt" 
"S0074-02761996000200012-scl","Evaluation of Enzyme-Linked Immunosorbent Assay for the serodiagnosis of tuberculosis in patients with AIDS in Cuba","Montoro, Ernesto, Díaz, Raúl, Echemendía, Miguel, Valdivia, José A","Memórias do Instituto Oswaldo Cruz; 91(2); 191-191","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200012&lang=pt" 
"S0074-02761996000200023-scl","The effect of different proportions of males and females over the Chrysomya albiceps (Wiedemann 1819) (Diptera, Calliphoridae) biotic potential and longevity under laboratory conditions","Queiroz, Margareth Maria de Carvalho, Mello, Rubens Pinto de, Freire, Nicolau Maués da Serra","Memórias do Instituto Oswaldo Cruz; 91(2); 243-247","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200023&lang=pt" 
"S0074-02761996000200014-scl","The use of polyvinyl alcohol glutaraldehyde as solid-phase in ELISA for plague","Araujo, Aureci Maria, Petribú, André Tavares S, Barbosa, Gustavo Henrique T Sales, Diniz, José Ricardo P, Almeida, Alzira MP de, Azevedo, Walter Mendes, Malagueño, Elizabeth, Carvalho Jr, Luiz B","Memórias do Instituto Oswaldo Cruz; 91(2); 195-198","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200014&lang=pt" 
"S0074-02761996000200010-scl","Neotropical planorbid snails with apertural lamellae: I. Biomphalaria helophila (Orbigny, 1835)","Paraense, W Lobato","Memórias do Instituto Oswaldo Cruz; 91(2); 177-186","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200010&lang=pt" 
"S0074-02761996000200016-scl","High and low doses of antimony (Sb v) in American cutaneous leishmaniasis: a five years follow-up study of 15 patients","Oliveira-Neto, MP, Schubach, A, Araujo, ML, Pirmez, C","Memórias do Instituto Oswaldo Cruz; 91(2); 207-209","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200016&lang=pt" 
"S0074-02761996000200008-scl","Monogeneans of leatherjackets, Oligoplites spp. (Osteichthyes: Carangidae), with the description of a new species of Metacamopia (Monogenea: Allodiscocotylidae) from the coast of the State of Rio de Janeiro, Brazil","Takemoto, Ricardo M, Amato, JFR, Luque, José Luis","Memórias do Instituto Oswaldo Cruz; 91(2); 165-172","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200008&lang=pt" 
"S0074-02761996000200003-scl","Human parvovirus B19 infection and hydrops fetalis in Rio de Janeiro, Brazil","Cubel, Rita CN, Garcia, Aparecida GP, Pegado, Claudia S, Ramos, Hilda I, Fonseca, Maria EF, Clewley, Jonhatan P, Cohen, Bernard J, Nascimento, Jussara P","Memórias do Instituto Oswaldo Cruz; 91(2); 147-151","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200003&lang=pt" 
"S0074-02761996000200017-scl","Trypanosoma cruzi infection in offspring born to chagasic C3H/He mice","Araújo, Silvana Marques de, Chiari, Egler","Memórias do Instituto Oswaldo Cruz; 91(2); 211-216","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200017&lang=pt" 
"S0074-02761996000200018-scl","Trypanosoma cruzi strains and autonomic nervous system pathology in experimental chagas disease","Souza, Márcia Maria de, Andrade, Sonia G, Barbosa Jr, Aryon A, Santos, Raimunda Telma Macedo, Alves, Venâncio Avancini Ferreira, Andrade, Zilton A","Memórias do Instituto Oswaldo Cruz; 91(2); 217-224","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200018&lang=pt" 
"S0074-02761996000200026-scl","Theoretical estimates of consumable food and probability of acquiring food in larvae of Chrysomya putoria (Diptera: Calliphoridae)","Godoy, WAC, Von Zuben, CJ, Reis, SF dos, Von Zuben, FJ","Memórias do Instituto Oswaldo Cruz; 91(2); 257-264","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200026&lang=pt" 
"S0074-02761996000200004-scl","Onchocerciasis in Ecuador: changes in prevalence of ocular lesions in Onchocerca volvulus infected individuals over the period 1980-1990","Cooper, Philip J, Proaño, Roberto, Beltran, Carlos, Anselmi, Mariela, Guderian, Ronald H","Memórias do Instituto Oswaldo Cruz; 91(2); 153-158","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200004&lang=pt" 
"S0074-02761996000200002-scl","Man-biting activity of Anopheles (Nyssorhynchus) albimanus and An. (Kerteszia) neivai (Diptera: Culicidae) in the Pacific Lowlands of Colombia","Solarte, Yezid, Hurtado, Camilo, Gonzalez, Ranulfo, Alexander, Bruce","Memórias do Instituto Oswaldo Cruz; 91(2); 141-146","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200002&lang=pt" 
"S0074-02761996000200025-scl","Ultrastructural aspects of the replication of dengue virus type 2 isolated in Brazil","Barth, Ortrud Monika, Cortes, Luzia MC, Farias Filho, José, Schatzmayr, Hermann G","Memórias do Instituto Oswaldo Cruz; 91(2); 255-256","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200025&lang=pt" 
"S0074-02761996000200020-scl","Biochemical, immunological and toxicological characteristics of the crystal proteins of Bacillus thuringiensis subsp. medellin","Orduz, Sergio, Diaz, Thais, Restrepo, Nora, Patiño, Maria M, Tamayo, Martha C","Memórias do Instituto Oswaldo Cruz; 91(2); 231-237","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200020&lang=pt" 
"S0074-02761996000200019-scl","Tumor necrosis factor-α in human American tegumentary leishmaniasis","Da-Cruz, Alda Maria, Oliveira, Márcia Pereira de, De Luca, Paula Mello, Mendonça, Sergio CF, Coutinho, Sergio G","Memórias do Instituto Oswaldo Cruz; 91(2); 225-229","Memórias do Instituto Oswaldo Cruz","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200019&lang=pt" 
"S0103-40141996000100023-scl","Algumas contribuições de von Neumann à Física Matemática","Wreszinski, Walter F.","Estudos Avançados; 10(26); 261-272","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100023&lang=pt" 
"S0103-40141996000100021-scl","Von Neumann e a previsão numérica de tempo e clima","Moura, Antonio Divino","Estudos Avançados; 10(26); 227-236","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100021&lang=pt" 
"S0103-40141996000100020-scl","Von Neumann e a Teoria de Álgebra de Operadores","Exel, Ruy","Estudos Avançados; 10(26); 211-225","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100020&lang=pt" 
"S0103-40141996000100018-scl","O legado filosófico de John von Neumann","Vonneuman, Nicholas A.","Estudos Avançados; 10(26); 189-204","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100018&lang=pt" 
"S0103-40141996000100017-scl","Von Neumann, o cientista e a figura humana","Simon, Imre","Estudos Avançados; 10(26); 179-188","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100017&lang=pt" 
"S0103-40141996000100007-scl","A morte de Florestan e a morte da memória","Martins, José de Souza","Estudos Avançados; 10(26); 34-41","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100007&lang=pt" 
"S0103-40141996000100006-scl","A Sociologia de Florestan Fernandes","Ianni, Octávio","Estudos Avançados; 10(26); 25-33","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100006&lang=pt" 
"S0103-40141996000100028-scl","Amilcar de Castro, escultura também é cosa mentale","Vieira, João Guimarães","Estudos Avançados; 10(26); 353-357","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100028&lang=pt" 
"S0103-40141996000100012-scl","Florestan Fernandez: una biografia completa","Quijano, Aníbal","Estudos Avançados; 10(26); 63-69","Estudos Avançados","Espanhol","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100012&lang=pt" 
"S0103-40141996000100011-scl","Sumário do Curriculum de Florestan Fernandes","","Estudos Avançados; 10(26); 55-62","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100011&lang=pt" 
"S0103-40141996000100008-scl","Presença de Florestan no IEA","Mota, Carlos Guilherme","Estudos Avançados; 10(26); 42-48","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100008&lang=pt" 
"S0103-40141996000100004-scl","Florestam um sociólogo comprometido com seu tempo","Santos, Boaventura de Souza","Estudos Avançados; 10(26); 17-21","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100004&lang=pt" 
"S0103-40141996000100003-scl","O jovem Florestan","Candido, Antonio","Estudos Avançados; 10(26); 11-15","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100003&lang=pt" 
"S0103-40141996000100019-scl","Teoria da Medida e outras contribuições","Hönig, Cham Samuel","Estudos Avançados; 10(26); 205-209","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100019&lang=pt" 
"S0103-40141996000100026-scl","Euclides da Cunha e a Escola Politécnica de São Paulo","Santana, José Carlos Barreto de","Estudos Avançados; 10(26); 311-327","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100026&lang=pt" 
"S0103-40141996000100016-scl","A obra e o legado de John von Neumann","Simon, Imre, Cordani, Umberto G.","Estudos Avançados; 10(26); 175-177","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100016&lang=pt" 
"S0103-40141996000100010-scl","Florestan Fernandes: o sociólogo militante","Sacchetta, Vladimir","Estudos Avançados; 10(26); 51-54","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100010&lang=pt" 
"S0103-40141996000100009-scl","Lembranças de Florestan","Weffort, Francisco","Estudos Avançados; 10(26); 49-50","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100009&lang=pt" 
"S0103-40141996000100005-scl","A palavra da Faculdade","Aubert, Francis Henrik","Estudos Avançados; 10(26); 23-24","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100005&lang=pt" 
"S0103-40141996000100002-scl","Homenageando Florestan Fernandes","Bosi, Alfredo","Estudos Avançados; 10(26); 7-9","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100002&lang=pt" 
"S0103-40141996000100001-scl","Editorial","","Estudos Avançados; 10(26); 1-1","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100001&lang=pt" 
"S0103-40141996000100014-scl","Florestan Fernandes: a criação de uma problemática","Cardoso, Miriam Limoeiro","Estudos Avançados; 10(26); 89-128","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100014&lang=pt" 
"S0103-40141996000100015-scl","Florestan Fernandes por ele mesmo","Freitag, Barbara","Estudos Avançados; 10(26); 129-172","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100015&lang=pt" 
"S0103-40141996000100022-scl","Von Neumann: suas contribuições à Computação","Kowaltowski, Tomasz","Estudos Avançados; 10(26); 237-260","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100022&lang=pt" 
"S0103-40141996000100024-scl","Euclides da Cunha e a República","Ventura, Roberto","Estudos Avançados; 10(26); 275-291","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100024&lang=pt" 
"S0103-40141996000100025-scl","Brutalidade antiga: sobre história e ruína em Euclides","Hardman, Francisco Foot","Estudos Avançados; 10(26); 293-310","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100025&lang=pt" 
"S0103-40141996000100027-scl","Euclides da Cunha na Alemanha","Zilly, Berthold","Estudos Avançados; 10(26); 329-350","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100027&lang=pt" 
"S0103-40141996000100013-scl","Florestan Fernandes e a educação","Saviani, Dermeval","Estudos Avançados; 10(26); 71-87","Estudos Avançados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40141996000100013&lang=pt" 
"S0104-11691996000700016-scl","Pesquisa em enfermagem: fatores implicados na categorização de dados","Chianca, Tânia Couto Machado, Garcia, Telma Ribeiro","Revista Latino-Americana de Enfermagem; 4(spe); 173-183","Revista Latino-Americana de Enfermagem","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11691996000700016&lang=pt" 
"S0104-11691996000700014-scl","Avaliação do ensino de relacionamento enfermeira-paciente","Sadala, Maria Lúcia Araújo, Stefanelli, Maguida Costa","Revista Latino-Americana de Enfermagem; 4(spe); 139-152","Revista Latino-Americana de Enfermagem","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11691996000700014&lang=pt" 
"S0104-11691996000700013-scl","A arte da comunicação na ponta dos dedos: a pessoa cega","Pagliuca, Lorita Marlena Freitag","Revista Latino-Americana de Enfermagem; 4(spe); 127-138","Revista Latino-Americana de Enfermagem","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11691996000700013&lang=pt" 
"S0104-11691996000700012-scl","Aplicação da janela de Johari em uma interação","Oliveira, Elizabete Regina Araújo, Bachion, Maria Márcia, Carvalho, Emília Campos de","Revista Latino-Americana de Enfermagem; 4(spe); 113-126","Revista Latino-Americana de Enfermagem","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11691996000700012&lang=pt" 
"S0104-11691996000700011-scl","Sucata como elemento de comunicação na enfermagem","Esperidião, Elizabeth, Teixeira, Maria Eunice Medeiros, Stacciarini, Jeanne Marie Rodrigues","Revista Latino-Americana de Enfermagem; 4(spe); 101-112","Revista Latino-Americana de Enfermagem","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11691996000700011&lang=pt" 
"S0104-11691996000700010-scl","Ensinando o toque terapêutico: relato de uma experiência","Silva, Maria Júlia Paes da, Belasco Júnior, Domingos","Revista Latino-Americana de Enfermagem; 4(spe); 91-100","Revista Latino-Americana de Enfermagem","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11691996000700010&lang=pt" 
"S0104-11691996000700009-scl","O sistema de informações no processo gerencial dos serviços de saúde: algumas reflexões","Mishima, Silvana Martins, Villa, Tereza Cristina Scatena, Gomes, Elizaheth Laus Ribas, Pratali, Maria Tereza Romão, Silva, Eliete Maria, Anselmi, Maria Luiza","Revista Latino-Americana de Enfermagem; 4(spe); 83-90","Revista Latino-Americana de Enfermagem","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11691996000700009&lang=pt" 
"S0104-11691996000700008-scl","Análise da utilização de sala de cirurgia com apoio da informática","Cologna, Maria Helena Y. Takeno, Dallora, Maria Eulália L. Valle, Hayashida, Miyeko, Riul, Sueli, Sawada, Namie Okino","Revista Latino-Americana de Enfermagem; 4(spe); 71-82","Revista Latino-Americana de Enfermagem","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11691996000700008&lang=pt" 
"S0104-11691996000700007-scl","Percepção de bloqueio/facilitação de comunicação: um experimento","Bemardina, Lucianne Dalla, Bachion, Maria Márcia, Carvalho, Emília Campos de, Souza, Luís de","Revista Latino-Americana de Enfermagem; 4(spe); 61-70","Revista Latino-Americana de Enfermagem","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11691996000700007&lang=pt" 
"S0104-11691996000700006-scl","O uso da informática na rede básica e hospitalar da cidade de Ribeirão Preto (S.P.)","Galvão, Cristina Maria, Sawada, Namie Okino","Revista Latino-Americana de Enfermagem; 4(spe); 51-59","Revista Latino-Americana de Enfermagem","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11691996000700006&lang=pt" 
"S0104-11691996000700005-scl","Técnica da complementação de frases como recurso para expressão vivencial do aluno em véspera de prova","Vietta, Edna Paciência, Labate, Renata C., Moraes, Maria C., Rodrigues, Antonia R. F., Braga, Eliana Ap. P. S.","Revista Latino-Americana de Enfermagem; 4(spe); 39-49","Revista Latino-Americana de Enfermagem","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11691996000700005&lang=pt" 
"S0104-11691996000700004-scl","Aspectos gerais da construção de um programa sobre comunicação não verbal para enfermeiros","Silva, Maria Júlia Paes da","Revista Latino-Americana de Enfermagem; 4(spe); 25-37","Revista Latino-Americana de Enfermagem","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11691996000700004&lang=pt" 
"S0104-11691996000700001-scl","Enfermagem, conhecimento e comunicação","Mendes, Isabel Amélia Costa","Revista Latino-Americana de Enfermagem; 4(spe); 1-4","Revista Latino-Americana de Enfermagem","Português, Espanhol","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11691996000700001&lang=pt" 
"S0104-11691996000700003-scl","Influência das crenças do enfermeiro na comunicação com o alcoolista","Diniz, Sebastiana A., Ruffino, Márcia Caron","Revista Latino-Americana de Enfermagem; 4(spe); 17-24","Revista Latino-Americana de Enfermagem","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11691996000700003&lang=pt" 
"S0104-11691996000700002-scl","Análise de uma situação interacional a luz dos referenciais teóricos de Rickelman e de Laing","Garcia, Telma Ribeiro, Chianca, Tânia Couto Machado, Pelá, Nilza Teresa Rotter","Revista Latino-Americana de Enfermagem; 4(spe); 5-15","Revista Latino-Americana de Enfermagem","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11691996000700002&lang=pt" 
"S0104-11691996000700015-scl","Comunicação prejudicada: fatores relacionados e características definidoras em pacientes internados com queimaduras","Meneguello, Adriana Silva, Dalri, Maria Célia Barcellos, Carvalho, Emília Campos de, Bachion, Maria Márcia","Revista Latino-Americana de Enfermagem; 4(spe); 153-172","Revista Latino-Americana de Enfermagem","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11691996000700015&lang=pt" 
"S0034-75311996000100001-cub","Nueva Junta de Gobierno de la Sociedad Cubana de Pediatría","","Revista Cubana de Pediatría; 68(1); 3-4","Revista Cubana de Pediatría","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75311996000100001&lang=pt" 
"S0034-75311996000100002-cub","Uso de antimicrobianos en la enfermedad diarreica aguda","González Corona, Enrique A., Villalón Artires, Prudencia","Revista Cubana de Pediatría; 68(1); 4-9","Revista Cubana de Pediatría","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75311996000100002&lang=pt" 
"S0034-75311996000100003-cub","Diagnóstico de distrofia muscular de Duchenne mediante análisis del ácido desoxinucleotico y su aplicación en la prevención","Rodríguez Hernández, Mayra, Ferreira Capote, Raúl, Gayol Mecías, Luis A., Quintana Aguilar, Jorge, Rendón, Rebeca, Méndez del Castillo, Dora","Revista Cubana de Pediatría; 68(1); 10-20","Revista Cubana de Pediatría","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75311996000100003&lang=pt" 
"S0034-75311996000100004-cub","Diagnóstico molecular del Síndrome X Frágil en un grupo control y miembros de 3 familias afectadas","Acevedo López, Ana María, Ferreira Capote, Raúl, Gayol Mecías, Luis A., Méndez del Castillo, Dora","Revista Cubana de Pediatría; 68(1); 21-25","Revista Cubana de Pediatría","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75311996000100004&lang=pt" 
"S0034-75311996000100005-cub","Influencia de la medicación antiepiléptica sobre los resultados escolares de niños epilépticos","Pestana Knight, Elia Margarita, Sardiñas Hernández, Norberto, Trujillo Matienzo, Clemente, de Armas Alvarez, Ana Isabel","Revista Cubana de Pediatría; 68(1); 26-31","Revista Cubana de Pediatría","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75311996000100005&lang=pt" 
"S0034-75311996000100006-cub","Evaluación psicopedagógica de un grupo de niños epilépticos que asisten a escuelas primarias","Pestana Knight, Elia Margarita, Sardiñas Hernández, Norberto, Trujillo Matienzo, Clemente, Argudín Suárez, Zaida, Muñoz Barcada, Elena","Revista Cubana de Pediatría; 68(1); 32-36","Revista Cubana de Pediatría","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75311996000100006&lang=pt" 
"S0034-75311996000100007-cub","Maduración sexual en una muestra de niños asmáticos","Abreu Suárez, Gladys, González Valdés, José A., Torriente Valle, Maggie, Chiong Molina, Dania, Pérez Brunet, Aurelia, Pavón Hernández, Margarita","Revista Cubana de Pediatría; 68(1); 37-42","Revista Cubana de Pediatría","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75311996000100007&lang=pt" 
"S0034-75311996000100008-cub","Uso de inotropos y vasodilatadores en la comunicación interventricular","de la Parte Pérez, Lincoln","Revista Cubana de Pediatría; 68(1); 43-49","Revista Cubana de Pediatría","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75311996000100008&lang=pt" 
"S0034-75311996000100009-cub","Traslocación bacteriana: un problema para reflexionar","Mena Miranda, Vivian R., Riverón Corteguera, Raúl L., Pérez Cruz, José A.","Revista Cubana de Pediatría; 68(1); 50-56","Revista Cubana de Pediatría","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75311996000100009&lang=pt" 
"S0034-75311996000100010-cub","Nuevas consideraciones fisiopatológicas sobre el síndrome de respuesta inflamatoria sistémica relacionada con la sepsis","Mena Miranda, Vivian R., Riverón Corteguera, Raúl L., Pérez Cruz, José A.","Revista Cubana de Pediatría; 68(1); 57-70","Revista Cubana de Pediatría","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75311996000100010&lang=pt" 
"S0034-75311996000100011-cub","Taller sobre análisis de variantes para la continuación de los estudios de crecimiento y desarrollo en Cuba","","Revista Cubana de Pediatría; 68(1); 71-72","Revista Cubana de Pediatría","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75311996000100011&lang=pt" 
"S0034-75151996000100001-cub","Utilización de la ultrafiltración en la producción de las inmunoglobulinas","Castellano Becerrill, María Esther, Cádiz Lahens, Armando, Sánchez Gallardo, Lorenzo, Borrero Larger, Héctor","Revista Cubana de Farmacia; 30(1); -","Revista Cubana de Farmacia","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75151996000100001&lang=pt" 
"S0034-75151996000100002-cub","Obtención de la toxina tetánica a partir de hidrolizado de caseina de producción nacional","García, Isis, Díaz, Miriam, González, Rosa, López, Zuleyka, González, Rebeca","Revista Cubana de Farmacia; 30(1); -","Revista Cubana de Farmacia","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75151996000100002&lang=pt" 
"S0034-75151996000100003-cub","Purificación de antígeno de Candida albicans para pruebas cutáneas: estudio preliminar","Díaz, Miriam, García, Isis, Giraldino, Isabel, López, Zuleyka, García, Miriam","Revista Cubana de Farmacia; 30(1); -","Revista Cubana de Farmacia","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75151996000100003&lang=pt" 
"S0034-75151996000100004-cub","Preformulación de vitamina A en tabletas","Castiñeiras Díaz, Mirta, Cairó Ojeda, Alicia, Perdomo López, Ileana, Perdomo Naranjo, Urbano","Revista Cubana de Farmacia; 30(1); -","Revista Cubana de Farmacia","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75151996000100004&lang=pt" 
"S0034-75151996000100006-cub","Farmacovigilancia en la literatura médica cubana","Peña Machado, María de los Angeles","Revista Cubana de Farmacia; 30(1); -","Revista Cubana de Farmacia","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75151996000100006&lang=pt" 
"S0034-75151996000100007-cub","Composición y propiedades antibacterianas del aceite esencial de Lippia alba (Mill.) n. e. Brown","Pino Alea, Jorge A, Ortega Luis, Ariel G, Rosado Pérez, Arístides, Rodríguez Jorge, Mayra, Baluja, Ricardo","Revista Cubana de Farmacia; 30(1); -","Revista Cubana de Farmacia","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75151996000100007&lang=pt" 
"S0034-75151996000100008-cub","Efectos antipsoriásico, antiinflamatorio y analgésico del propoleo rojo colectado en Cuba","Ledón, Nuris, Casacó, Angel, González, Ricardo, Merino, Nelson, González, Addys, Tolón, Zenaida","Revista Cubana de Farmacia; 30(1); -","Revista Cubana de Farmacia","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75151996000100008&lang=pt" 
