"S0080-62342016000300434-scl","Creation of complexity assessment tool for patients receiving home care","Bôas, Maria Leopoldina de Castro Villas, Shimizu, Helena Eri, Sanchez, Mauro Niskier","Revista da Escola de Enfermagem da USP; 50(3); 434-441","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000300434&lang=pt" 
"S1665-20372016000100127-mex","Género y violencia política en América Latina. Conceptos, debates y soluciones","Krook, Mona Lena, Restrepo Sanín, Juliana","Política y gobierno; 23(1); 127-162","Política y gobierno","Inglês, Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-20372016000100127&lang=pt" 
"S1665-20372016000100011-mex","Federalismo, drogas y violencia. Por qué el conflicto partidista intergubernamental estimuló la violencia del narcotráfico en México","Trejo, Guillermo, Ley, Sandra","Política y gobierno; 23(1); 11-56","Política y gobierno","Inglês, Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-20372016000100011&lang=pt" 
"S1665-20372016000100097-mex","¿Una lucha por corazones y mentes? Percepciones ciudadanas y actores de gobernanza formales e irregulares en la Jamaica urbana","Harbers, Imke, Jaffe, Rivke, Cummings, Victor J.N.","Política y gobierno; 23(1); 97-125","Política y gobierno","Inglês, Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-20372016000100097&lang=pt" 
"S0038-23612016000200008-sza","Tumour reduction with a Cavitron Ultrasonic Surgical Aspirator® in the palliative care of anaplastic thyroid cancer","Becker, JHR, Ghoor, F","South African Journal of Surgery; 54(2); 43-44","South African Journal of Surgery","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23612016000200008&lang=pt" 
"S0038-23612016000200013-sza","It&#039;s not inside, it&#039;s on top! - An unusual cause of right iliac fossa pain","Singh, N, Govender, M","South African Journal of Surgery; 54(2); 55-56","South African Journal of Surgery","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23612016000200013&lang=pt" 
"S0038-23612016000200010-sza","Gallbladder duplication masquerading as a dilated common bile duct with choledocholithiasis","Mewa Kinoo, S, Naidoo, R, Maharaj, K, Singh, B","South African Journal of Surgery; 54(2); 48-50","South African Journal of Surgery","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23612016000200010&lang=pt" 
"S0038-23612016000200011-sza","Transvaginal small bowel evisceration","Noorbhai, M A, Madiba, T E","South African Journal of Surgery; 54(2); 51-52","South African Journal of Surgery","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23612016000200011&lang=pt" 
"S0038-23612016000200009-sza","Solitary extramedullary plasmacytoma of the colon, rectum and anus","Mjoli, M, Vorajee, N, Howlett, J, Naidoo, Y, Madiba, T","South African Journal of Surgery; 54(2); 45-47","South African Journal of Surgery","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23612016000200009&lang=pt" 
"S0038-23612016000200012-sza","A pelvic &quot;loose&quot; body tumour causing urinary symptoms in a 73-year-old man","Rosic, T, Khumalo, V, Nethathe, D G","South African Journal of Surgery; 54(2); 53-54","South African Journal of Surgery","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23612016000200012&lang=pt" 
"S0120-35842016000100009-col","¿Frenos al empoderamiento económico? Factores que limitan la inserción laboral y la calidad del empleo de las mujeres: el caso chileno","Espino, Alma, Sauval, María","Desarrollo y Sociedad; (77); 305-360","Desarrollo y Sociedad","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35842016000100009&lang=pt" 
"S0120-35842016000100004-col","Impactos económicos de proyectos de renovación urbana en Bogotá: un análisis a partir de los multiplicadores de la SAM 2010","de la Ossa, Melisa, Pérez Burgos, Javier, Castro R., Raúl","Desarrollo y Sociedad; (77); 81-130","Desarrollo y Sociedad","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35842016000100004&lang=pt" 
"S0188-45572016000100011-mex","La práctica de las Ciencias Sociales en Nayarit y Sonora","Bracamonte Sierra, Álvaro, Valenzuela Gastélum, Iris del Carmen","Estudios sociales (Hermosillo, Son.); 24-25(47); 11-39","Estudios sociales (Hermosillo, Son.)","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-45572016000100011&lang=pt" 
"S0188-45572016000100101-mex","Influencia del programa Oportunidades en el comercio de La Concordia, Ayutla de los Libres, Guerrero","García Castro, Neftalí, Sánchez Crispín, Álvaro","Estudios sociales (Hermosillo, Son.); 24-25(47); 101-127","Estudios sociales (Hermosillo, Son.)","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-45572016000100101&lang=pt" 
"S0188-45572016000100282-mex","Rasgos socioculturales de los jóvenes en México: bienestar, cultura y política","Ortega Villa, Luz María, Ortiz Marín, Ángel Manuel, Santillán Briceño, Victoria Elena, Viloria Hernández, Esperanza","Estudios sociales (Hermosillo, Son.); 24-25(47); 282-309","Estudios sociales (Hermosillo, Son.)","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-45572016000100282&lang=pt" 
"S0102-67202016000200097-scl","MINIMALLY INVASIVE SURGERY FOR PSEUDOPAPILLARY NEOPLASM OF THE PANCREAS","NAMUR, Guilherme Naccache, RIBEIRO, Thiago Costa, SOUTO, Marcelo M., FIGUEIRA, Estela Regina Ramos, BACCHELLA, Telesforo, JUREIDINI, Ricardo","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 29(2); 97-101","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202016000200097&lang=pt" 
"S0102-67202016000200077-scl","HOSPITALIZATIONS FOR CHOLECYSTITIS AND CHOLELITHIASIS IN THE STATE OF RIO GRANDE DO SUL, BRAZIL","NUNES, Emeline Caldana, ROSA, Roger dos Santos, BORDIN, Ronaldo","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 29(2); 77-80","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202016000200077&lang=pt" 
"S0719-26812016000200004-chl","FOTOGRAFÍAS DE FRONTERA EN EL NORTE GRANDE DE CHILE (1900-1970)","Bajas Irizar, María Paz","Diálogo andino; (50); 45-57","Diálogo andino","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812016000200004&lang=pt" 
"S0102-67202016000200105-scl","INFLUENCE OF HEPATOCELLULAR CARCINOMA ETIOLOGY IN THE SURVIVAL AFTER RESECTION","LOPES, Felipe de Lucena Moreira, COELHO, Fabricio Ferreira, KRUGER, Jaime Arthur Pirolla, FONSECA, Gilton Marques, ARAUJO, Raphael Leonardo Cunha de, JEISMANN, Vagner Birk, HERMAN, Paulo","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 29(2); 105-108","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202016000200105&lang=pt" 
"S0104-77602016000200163-scl","MICROMORFOMETRIA FOLIAR DE PALICOUREA RIGIDA KUNTH. (RUBIACEAE) EM AMBIENTE DE CERRADO E CAMPO RUPESTRE","Gavilanes, Manuel Losada, Castro, Evaristo Mauro de, Pires, Marinês Ferreira, Pereira, Fabricio José, Pereira, Márcio Paulo","CERNE; 22(2); 163-170","CERNE","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000200163&lang=pt" 
"S0719-26812016000200015-chl","NO TODOS LOS CACIQUES FUERON MALLKU.: MEDIACIÓN POLÍTICA TRUNCADA EN LOS CORREGIMIENTOS DE PACAJES Y OMASUYOS (AUDIENCIA DE CHARCAS, 1570-1630)","Morrone, Ariel J.","Diálogo andino; (50); 207-217","Diálogo andino","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812016000200015&lang=pt" 
"S0104-77602016000200145-scl","ÁREAS DE CONSERVAÇÃO, POBREZA E DESIGUALDADE SOCIAL: AVALIAÇÃO UTILIZANDO INDICADORES SOCIOECONÔMICOS EM MINAS GERAIS, BRASIL","Sálvio, Geraldo Majela Moraes, Fontes, Marco Aurélio Leite, Silveira Junior, Wanderley Jorge da, Silva, Helder Antônio da","CERNE; 22(2); 145-150","CERNE","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000200145&lang=pt" 
"S0719-26812016000200009-chl","RELATOS VISUALES DE UNA &quot;ARICA CHILENA&quot;.: LOS MAGAZINES DE LA EDITORIAL ZIG-ZAG (1902-1930)","Ruz Zagal, Rodrigo, Galdames Rosas, Luis, Díaz Araya, Alberto, Meza Aliaga, Michel","Diálogo andino; (50); 115-132","Diálogo andino","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812016000200009&lang=pt" 
"S0104-77602016000200137-scl","BIOMASSA E ATIVIDADE MICROBIANA SOB DIFERENTES COBERTURAS FLORESTAIS","Braga, Rafael Malfitano, Sousa, Fabrizio Furtado de, Venturin, Nelson, Braga, Francisco de Assis","CERNE; 22(2); 137-144","CERNE","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000200137&lang=pt" 
"S0102-67202016000200121-scl","COST-EFFECTIVENESS OF PERIOPERATIVE IMMUNONUTRITION IN GASTROINTESTINAL ONCOLOGIC SURGERY: A SYSTEMATIC REVIEW","REIS, Audrey Machado dos, KABKE, Geórgia Brum, FRUCHTENICHT, Ana Valéria Gonçalves, BARREIRO, Taiane Dias, MOREIRA, Luis Fernando","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 29(2); 121-125","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202016000200121&lang=pt" 
"S0102-67202016000200102-scl","TRANEXAMIC ACID ACTION ON LIVER REGENERATION AFTER PARTIAL HEPATECTOMY: EXPERIMENTAL MODEL IN RATS","SOBRAL, Felipe Antonio, DAGA, Henrique, RASERA, Henrique Nogueira, PINHEIRO, Matheus da Rocha, CELLA, Igor Furlan, MORAIS, Igor Henrique, MARQUES, Luciana de Oliveira, COLLAÇO, Luiz Martins","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 29(2); 102-104","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202016000200102&lang=pt" 
"S0104-77602016000200181-scl","MICORRIZAS ARBUSCULARES NO CRESCIMENTO DE LEGUMINOSAS ARBÓREAS EM SUBSTRATO CONTENDO REJEITO DE MINERAÇÃO DE CARVÃO","Stoffel, Shantau Camargo Gomes, Armas, Rafael Dutra de, Giachini, Admir José, Rossi, Márcio José, Gonzalez, David, Meyer, Edenilson, Nicoleite, Carlos Henrique, Rocha-Nicoleite, Edilane, Soares, Claudio Roberto Fonseca Sousa","CERNE; 22(2); 181-188","CERNE","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000200181&lang=pt" 
"S0719-26812016000200011-chl","IMÁGENES ETNOGRÁFICAS: REPRESENTACIÓN Y DISCURSO DEL &quot;INDIO&quot; EN CHILE EN LA OBRA DE FRAY DIEGO DE OCAÑA","Gallardo Porras, Viviana","Diálogo andino; (50); 141-153","Diálogo andino","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812016000200011&lang=pt" 
"S1983-41952016000300484-scl","Evaluation of pyrite and pyrrhotite in concretes","Marcelino, A. P., Calixto, J. M., Gumieri, A. G., Ferreira, M. C., Caldeira, C. L., Silva, M. V., Costa, A. L.","Revista IBRACON de Estruturas e Materiais; 9(3); 484-493","Revista IBRACON de Estruturas e Materiais","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952016000300484&lang=pt" 
"S0104-77602016000200197-scl","APPLYING CLASSICAL FOREST REGULATION METHODS TO SMALLHOLDINGS WITH COOPERATIVE CONSTRAINTS","Rode, Rafael, Leite, Helio Garcia, Binoti, Daniel Henrique Breda, Ribeiro, Carlos Antonio Álvares Soares, Souza, Agostinho Lopes, Cosenza, Diogo Nepomuceno, Boechat, Carlos Pedro","CERNE; 22(2); 197-206","CERNE","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000200197&lang=pt" 
"S1681-150X2016000200012-sza","Expert opinion on published articles","Rasool, MN, Robertson, ICM, Ramokgopa, MT","SA Orthopaedic Journal; 15(2); 62-68","SA Orthopaedic Journal","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2016000200012&lang=pt" 
"S0717-95022016000200022-chl","Topography and Morphology of the Bovine Cranial Cervical Ganglion and its Branches","Nourinezhad, Jamal, Mazaheri, Yazdan, Saberifar, Sedigheh","International Journal of Morphology; 34(2); 545-556","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200022&lang=pt" 
"S0717-95022016000200045-chl","Postnatal Variation of Limb Bones in the Japanese Quail, Coturnix coturnix japonica","Ren, Yaru, Wang, Huan, Zhang, Zihui","International Journal of Morphology; 34(2); 708-712","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200045&lang=pt" 
"S0717-95022016000200049-chl","Efectos del Tratamiento con Vitamina E en el Tubo Neural y Médula Espinal en Embriones y Fetos de Ratones Mus musculus Expuestos al uso de Ácido Valproico","Conei Valencia, Daniel, Soler Guerra, Bárbara, Saint-Pierre Contreras, Gustavo, Ortiz Contreras, Jovita, Rojas Rauco, Mariana","International Journal of Morphology; 34(2); 732-741","International Journal of Morphology","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200049&lang=pt" 
"S0719-26812016000200003-chl","SUJETOS, PAISAJE E IMAGINARIOS DE FRONTERA EN EL NORTE DE CHILE: CONSTRUCCIÓN VISUAL/FOTOGRÁFICA DEL INDÍGENA DEL DESIERTO Y EL ALTIPLANO","Alvarado Pérez, Margarita","Diálogo andino; (50); 21-43","Diálogo andino","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812016000200003&lang=pt" 
"S0719-26812016000200005-chl","REPRESENTACIÓN INDÍGENA EN EL ÁREA CENTRO-SUR ANDINA: EL CASO DE LOS URU-CHIPAYA","Maturana Díaz, Felipe","Diálogo andino; (50); 59-73","Diálogo andino","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812016000200005&lang=pt" 
"S0122-34612016000100006-col","Estimación de la propagación eléctrica cerebral generada por la DBS en pacientes con enfermedad de Parkinson de la región sur-occidente de Colombia","Vargas Cardona, Hernán Darío, Álvarez López, Mauricio Alexander, Orozco, Alvaro Ángel","Ingeniería y Desarrollo; 34(1); 116-138","Ingeniería y Desarrollo","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-34612016000100006&lang=pt" 
"S1983-41952016000300435-scl","Comparative analysis of design models for concrete corbels","Araújo, D. L., Silva Neto, A. P., Lobo, F. A., Debs, M. K. El","Revista IBRACON de Estruturas e Materiais; 9(3); 435-470","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952016000300435&lang=pt" 
"S0104-77602016000200171-scl","ESTABILIDADE E ADAPTABILIDADE EM TESTES DE PROGÊNIES DE MYRACRODRUON URUNDEUVA SOB QUATRO SISTEMAS DE PLANTIO","Canuto, Daniela Silvia de Oliveira, Silva, Alexander Marques da, Moraes, Mario Luiz Teixeira de, Resende, Marcos Deon Vilela de","CERNE; 22(2); 171-180","CERNE","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000200171&lang=pt" 
"S0122-34612016000100009-col","Modelos del proceso de educción de requisitos: Un mapeo sistemático","Carrizo, Dante, Ortiz, Cristian","Ingeniería y Desarrollo; 34(1); 184-203","Ingeniería y Desarrollo","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-34612016000100009&lang=pt" 
"S0102-67202016000200090-scl","ANALYSIS OF BIOMECHANICAL PARAMETERS IN COLONIC ANASTOMOSIS","IWANAGA, Tiago Cavalcanti, AGUIAR, José Lamartine de Andrade, MARTINS-FILHO, Euclides Dias, KREIMER, Flávio, SILVA-FILHO, Fernando Luiz, ALBUQUERQUE, Amanda Vasconcelos de","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 29(2); 90-92","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202016000200090&lang=pt" 
"S0717-95022016000200059-chl","Evaluación de la Frecuencia, Ubicación y Tipos De Itsmos en Raíces Mesiobucales de Primeros Molares Maxilares: Un Estudio ex vivo","Matus, Daniela, Cantín, Mario","International Journal of Morphology; 34(2); 804-810","International Journal of Morphology","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200059&lang=pt" 
"S0102-67202016000200117-scl","MINIMALLY INVASIVE SURGERY FOR GASTRIC CANCER: TIME TO CHANGE THE PARADIGM","BARCHI, Leandro Cardoso, JACOB, Carlos Eduardos, BRESCIANI, Cláudio José Caldas, YAGI, Osmar Kenji, MUCERINO, Donato Roberto, LOPASSO, Fábio Pinatel, MESTER, Marcelo, RIBEIRO-JÚNIOR, Ulysses, DIAS, André Roncon, RAMOS, Marcus Fernando Kodama Pertille, CECCONELLO, Ivan, ZILBERSTEIN, Bruno","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo); 29(2); 117-120","ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-67202016000200117&lang=pt" 
"S0717-95022016000200034-chl","Caracterización y Marcación de Células Germinales Primordiales","Stevenson, A, Obaíd, M, Romina, R, Vigneaux, L","International Journal of Morphology; 34(2); 628-636","International Journal of Morphology","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200034&lang=pt" 
"S0717-95022016000200013-chl","Células de la Cresta Neural y su Relación con Cardiopatía Congénita: Revisión Sistemática de la Literatura","Ramos, Víctor, Roa, Ignacio","International Journal of Morphology; 34(2); 489-494","International Journal of Morphology","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200013&lang=pt" 
"S0719-26812016000200012-chl","LA VENTANA INDISCRETA DE SERGIO LARRAIN.: GENEALOGÍAS FOTOGRÁFICAS Y CONSTRUCCIONES ETNOGRÁFICAS DE LO MARGINAL","Palma, Marisol, Mason, Peter","Diálogo andino; (50); 155-165","Diálogo andino","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812016000200012&lang=pt" 
"S0104-77602016000200189-scl","CONTINUIDADE ESPACIAL DO NÚMERO DE ÁRVORES E DA ÁREA BASAL DE UMA FLORESTA OMBRÓFILA MISTA SOB DIFERENTES FORMAS E TAMANHOS DE UNIDADES AMOSTRAIS","Roveda, Marcelo, Filho, Afonso Figueiredo, Pelissari, Allan Libanio, Santos, Ricardo Murilo Malheiros dos","CERNE; 22(2); 189-196","CERNE","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-77602016000200189&lang=pt" 
"S0717-95022016000200050-chl","Does Diabetes Alter Immunolocalization of Galectin-1 and Galectin-3 in the Rat Ovary?","Özdenoglu, Berna, Saraydin, Serpil Ünver","International Journal of Morphology; 34(2); 742-751","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200050&lang=pt" 
"S0717-95022016000200001-chl","Anthropometric Characteristics and Body Composition in Aikido Practitioners","Reguli, Zdenko, Bernaciková, Martina, Kumstát, Michal","International Journal of Morphology; 34(2); 417-423","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200001&lang=pt" 
"S0717-95022016000200035-chl","Biological Maturity Status and Motor Performance in Fourteen-Year-old Basketball Players","Jakovljevic, Sasa, Macura, Marija, Radivoj, Mandic, Jankovic, Nenad, Pajic, Zoran, Erculj, Frane","International Journal of Morphology; 34(2); 637-643","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200035&lang=pt" 
"S0717-95022016000200002-chl","Evaluación del Conocimiento Anátomo-Quirúrgico del Sistema de la Vena Cava Inferior por Médicos Residentes de Cirugía General","Algieri, Rubén D, Ferrante, María S, Flores, Cristian, Paglilla, Paulo, Insfran, Humberto, Ottone, Nicolás Ernesto","International Journal of Morphology; 34(2); 424-430","International Journal of Morphology","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200002&lang=pt" 
"S0717-95022016000200042-chl","High-Intensity Interval Training Beneficial Effects in Diet-Induced Obesity in Mice: Adipose Tissue, Liver Structure, and Pancreatic Islets","Motta, Victor F, Aguila, Marcia B, Mandarim-de-Lacerda, Carlos A","International Journal of Morphology; 34(2); 684-691","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200042&lang=pt" 
"S0717-95022016000200047-chl","Alteraciones Morfológicas en Dientes Sometidos a Altas Temperaturas con Interés Forense","Rubio, Leticia, Sioli, José Manuel, Santos, Ignacio, Fonseca, Gabriel M, Martin-de-las-Heras, Stella","International Journal of Morphology; 34(2); 719-728","International Journal of Morphology","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200047&lang=pt" 
"S0717-95022016000200029-chl","Use of Morphometric Analyses to Assess the Efficacy of the Technique of Resin Composite Bonded to Cervical Dentin with Additional Mechanical Retentions","Kuramochi, Gisaku, Borie, Eduardo, del Sol, Mariano","International Journal of Morphology; 34(2); 597-603","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200029&lang=pt" 
"S0717-95022016000200043-chl","MatrigelBD, A Biocompatible Scaffold that Improves Gingival Mesenchymal Stem Cells Proliferation","Brizuela, Claudia, SaintJean, Nicole, Garchitorena, Nicolas, Rodriguez, Ismael, Inostroza, Carolina","International Journal of Morphology; 34(2); 692-698","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200043&lang=pt" 
"S0717-95022016000200040-chl","A Comparison of the Relationship between the Golden Ratio and Anatomical Characteristics of the Supraorbital Foramen in Bare Skulls Belonging to the Byzantine Era and Modern Era","Bakirci, S, Kafa, I. M, Coskun, I, Buyukuysal, M. C, Barut, C","International Journal of Morphology; 34(2); 671-678","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200040&lang=pt" 
"S0717-95022016000200038-chl","The Study of Cephalic Index in North Indian Population","Seema, , Verma, Poonam","International Journal of Morphology; 34(2); 660-664","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200038&lang=pt" 
"S0717-95022016000200018-chl","Antioxidant Capacity and Acute Testicular Toxicity of Leucaena leucocephala Aqueous Shoot Tips Plus Young Leaves Extracts","Burawat, Jaturon, Uabandit, Nongnut, Sripanidkulchai, Bungorn, Nualkaew, Somsak, Iamsaard, Sitthichai","International Journal of Morphology; 34(2); 514-521","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200018&lang=pt" 
"S0717-95022016000200028-chl","Teres Minor Innervation and Injection Site","Lee, Je-Hun, Jeon, Anna, Seo, ChangMin, Kim, Sooil, Jeong, Young-Gil","International Journal of Morphology; 34(2); 593-596","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200028&lang=pt" 
"S0717-95022016000200017-chl","Application of Palatal Rugae Morphology in Forensic Identification","Wu, Xiu-Ping, Han, Jian-Ning, Fen, Pan, Wang, Yu-Jin, Bing, Li","International Journal of Morphology; 34(2); 510-513","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000200017&lang=pt" 
"S2237-60892016000200100-scl","Phonemic verbal fluency and severity of anxiety disorders in young children","Toazza, Rudineia, Salum, Giovanni Abrahão, Jarros, Rafaela Behs, DeSousa, Diogo, Salles, Jerusa Fumagalli de, Manfro, Gisele Gus","Trends in Psychiatry and Psychotherapy; 38(2); 100-104","Trends in Psychiatry and Psychotherapy","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-60892016000200100&lang=pt" 
"S2237-60892016000200063-scl","Assessment of dependence and anxiety among benzodiazepine users in a provincial municipality in Rio Grande do Sul, Brazil","Schallemberger, Janaína Barden, Colet, Christiane de Fátima","Trends in Psychiatry and Psychotherapy; 38(2); 63-70","Trends in Psychiatry and Psychotherapy","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-60892016000200063&lang=pt" 
"S2237-60892016000200071-scl","Development of Brazilian prototypes for short-term psychotherapies","Serralta, Fernanda Barcellos, Ablon, John Stuart","Trends in Psychiatry and Psychotherapy; 38(2); 71-79","Trends in Psychiatry and Psychotherapy","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-60892016000200071&lang=pt" 
"S2011-75822016000200009-col","Resección total del mesorrecto por vía transanal","Jiménez, Sandra Patricia, López, Deyvis Jesús, León Labrador, Guillermo, Fuentes, Hugo Aldo, Gómez, Ramiro, Conde, Luis Fernando, Uribe, Carlos Gabriel, Hernández, Hender Alirio","Revista Colombiana de Cirugía; 31(2); 140-147","Revista Colombiana de Cirugía","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-75822016000200009&lang=pt" 
"S1983-41952016000300403-scl","A tridimensional finite element approach to model a tunnel with shotcrete and precast concrete","Fiore, P. V., Maghous, D. B., Campos Filho, A.","Revista IBRACON de Estruturas e Materiais; 9(3); 403-413","Revista IBRACON de Estruturas e Materiais","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952016000300403&lang=pt" 
"S1983-41952016000300306-scl","Numerical analysis of symmetrical and asymmetrical reinforced concrete flat slabs - an integrated slab/ column analysis","Puel, A., Loriggio, D. D.","Revista IBRACON de Estruturas e Materiais; 9(3); 306-356","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952016000300306&lang=pt" 
"S1983-41952016000300395-scl","A new approach to estimate compressive strength of concrete by the UPV method","Irrigaray, M. A. P., Pinto, R. C. de A., Padaratz, I. J.","Revista IBRACON de Estruturas e Materiais; 9(3); 395-402","Revista IBRACON de Estruturas e Materiais","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952016000300395&lang=pt" 
