"S0100-736X2012001000004-scl","Distribuição e identificação das regiões de risco para a cisticercose bovina no estado do Paraná","Guimarães-Peixoto, Rafaella P.M., Souza, Valmir K., Pinto, Paulo S.A., Santos, Tatiane O.","Pesquisa Veterinária Brasileira; 32(10); 975-979","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000004&lang=pt" 
"S1413-86702012000500016-scl","Austrian syndrome in the context of a fulminant pneumococcal native valve endocarditis","Wilbring, Manuel, Tugtekin, Sems-Malte, Matschke, Klaus, Kappert, Utz","Brazilian Journal of Infectious Diseases; 16(5); 486-488","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500016&lang=pt" 
"S1413-86702012000500014-scl","Salvage treatment of disseminated strongyloidiasis in an immunocompromised patient: therapy success with subcutaneous ivermectin","Moura, Edmilson Bastos de, Maia, Marcelo de Oliveira, Ghazi, Monalisa, Amorim, Fábio Ferreira, Pinhati, Henrique Marconi","Brazilian Journal of Infectious Diseases; 16(5); 479-481","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500014&lang=pt" 
"S1413-86702012000500008-scl","Thyroid dysfunction in Turkish patients with chronic hepatitis C receiving peginterferon plus ribavirin in the period of 2005-2010","Barut, Sener, Gunal, Ozgur, Erkorkmaz, Unal, Yildiz, Feyza","Brazilian Journal of Infectious Diseases; 16(5); 448-451","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500008&lang=pt" 
"S1413-86702012000500009-scl","Evaluation of rapid tests for human immunodeficiency virus as a tool to detect recent seroconversion","Girardi, Samira Barboza, Barreto, Angela Maria Egydio de Carvalho, Barreto, Claudia Cortese, Proietti, Anna Barbara, Carvalho, Silvia Maia Farias de, Loureiro, Paula, Sabino, Ester Cerdeira","Brazilian Journal of Infectious Diseases; 16(5); 452-456","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500009&lang=pt" 
"S1413-86702012000500012-scl","Knowledge of the patients regarding leprosy and adherence to treatment","Lira, Karlisson Bezerra, Leite, João Jaime Giffoni, Maia, Débora Castelo Branco de Souza Collares, Freitas, Rafael de Mesquita Ferreira, Feijão, Alexsandra Rodrigues","Brazilian Journal of Infectious Diseases; 16(5); 472-475","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500012&lang=pt" 
"S1413-86702012000500011-scl","Antibiotics produced by Streptomyces","Procópio, Rudi Emerson de Lima, Silva, Ingrid Reis da, Martins, Mayra Kassawara, Azevedo, João Lúcio de, Araújo, Janete Magali de","Brazilian Journal of Infectious Diseases; 16(5); 466-471","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500011&lang=pt" 
"S1413-86702012000500021-scl","Seroprevalence of hepatitis A immunity among children and adolescents in two cities of the Triângulo Mineiro region, State of Minas Gerais, Brazil","Gonçalves, Alana Arantes Santos, Oliveira, Luiz Carlos Marques de","Brazilian Journal of Infectious Diseases; 16(5); 496-497","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500021&lang=pt" 
"S1413-86702012000500013-scl","Molecular characterization of the first fluoroquinolone resistant strains of Streptococcus agalactiae isolated in Brazil","Barros, Rosana Rocha, Kegele, Fabíola Cristina Oliveira, Paula, Geraldo Renato de, Brito, Monique Araújo de, Duarte, Rafael Silva","Brazilian Journal of Infectious Diseases; 16(5); 476-478","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500013&lang=pt" 
"S1413-86702012000500018-scl","Mycobacterium tuberculosis meningitis as the first presentation of chronic granulomatous disease","Khotaei, Ghamartaj, Hirbod-Mobarakeh, Armin, Amirkashani, Davood, Manafi, Farzad, Rezaei, Nima","Brazilian Journal of Infectious Diseases; 16(5); 491-492","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500018&lang=pt" 
"S1413-86702012000500015-scl","Cytomegalovirus (CMV)-related cutaneous necrotizing vasculitis: case report and literature review","Arslan, Ferhat, Batirel, Ayse, Mert, Ali, Ozer, Serdar","Brazilian Journal of Infectious Diseases; 16(5); 482-485","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500015&lang=pt" 
"S1413-86702012000500017-scl","Paracoccidioidomycosis in pregnancy: an atypical case report","Pereira, Cláudio Maranhão, Gasparetto, Patricia Freire, Alves, Virgínia Farias, Guidi, Rafaela, Botelho, Tessa de Lucena","Brazilian Journal of Infectious Diseases; 16(5); 489-490","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500017&lang=pt" 
"S1413-86702012000500019-scl","Evaluation of in-house mpt64 real-time PCR for rapid detection of Mycobacterium tuberculosis in pulmonary and extra-pulmonary specimens","Sethi, Sunil, Yadav, Rakesh, Mewara, Abhishek, Dhatwalia, Sunil Kumar, Sharma, Meera, Gupta, Dheeraj","Brazilian Journal of Infectious Diseases; 16(5); 493-494","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500019&lang=pt" 
"S1413-86702012000500020-scl","Autoimmune and dengue fever","Wiwanitkit, Viroj","Brazilian Journal of Infectious Diseases; 16(5); 495-495","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000500020&lang=pt" 
"S0102-311X2012001000002-scl","Periodontal disease treatment and risk of preterm birth: a systematic review and meta-analysis","Rosa, Maria Inês da, Pires, Patrícia Duarte Simões, Medeiros, Lidia Rosi, Edelweiss, Maria Isabel, Martínez-Mesa, Jeovany","Cadernos de Saúde Pública; 28(10); 1823-1833","Cadernos de Saúde Pública","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000002&lang=pt" 
"S0102-311X2012001000005-scl","Sickness benefit claims due to mental disorders in Brazil: associations in a population-based study","Barbosa-Branco, Anadergh, Bültmann, Ute, Steenstra, Ivan","Cadernos de Saúde Pública; 28(10); 1854-1866","Cadernos de Saúde Pública","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000005&lang=pt" 
"S0102-311X2012001000008-scl","Padrão de atividade física em um dia típico de adultos de Niterói, Rio de Janeiro, Brasil: resultados da Pesquisa de Nutrição, Atividade Física e Saúde (PNAFS)","Anjos, Luiz Antonio dos, Barbosa, Thomaz Barcellos Côrtes, Wahrlich, Vivian, Vasconcellos, Mauricio Teixeira Leite de","Cadernos de Saúde Pública; 28(10); 1893-1902","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000008&lang=pt" 
"S0102-311X2012001000011-scl","Autoavaliação de saúde bucal: resultados da Pesquisa Mundial de Saúde - Atenção Básica em quatro municípios do Estado do Rio de Janeiro, Brasil, 2005","Mendonça, Herika Luciana Chaves de, Szwarcwald, Célia Landmann, Damacena, Giseli Nogueira","Cadernos de Saúde Pública; 28(10); 1927-1938","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000011&lang=pt" 
"S0102-311X2012001000014-scl","Factors related to poor self-perceived oral health among community-dwelling elderly individuals in São Paulo, Brazil","Andrade, Fabiola Bof de, Lebrão, Maria Lúcia, Santos, Jair Lício Ferreira, Duarte, Yeda Aparecida de Oliveira, Teixeira, Doralice Severo da Cruz","Cadernos de Saúde Pública; 28(10); 1965-1975","Cadernos de Saúde Pública","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012001000014&lang=pt" 
"S0104-42302012000500004-scl","Tumor fantasma de pulmão","Melo, Bárbara Santana D&#039;Avila, Serra, Ana Carolina Martins, Belo, Márcia Teresa Carreira Teixeira, Belo Neto, Epaminondas, Melo, Saulo Maia D&#039;Avila","Revista da Associação Médica Brasileira; 58(5); 517-518","Revista da Associação Médica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000500004&lang=pt" 
"S0104-42302012000500006-scl","Atualização em terapia nutricional domiciliar (TND)","Bernardo, Wanderley M., Borges, Alessandra","Revista da Associação Médica Brasileira; 58(5); 526-526","Revista da Associação Médica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000500006&lang=pt" 
"S0104-42302012000500003-scl","Unexpected finding in computed tomographic pulmonary angiography","Soares, Thiago Horta, Bastos, Marcos de, Moreira, Wanderval, Rezende, Suely Meireles","Revista da Associação Médica Brasileira; 58(5); 516-516","Revista da Associação Médica Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000500003&lang=pt" 
"S0104-42302012000500002-scl","Consenso internacional de especialistas em sleeve gástrico baseado na experiência de mais de 12.0000 casos operados","Ilias, Elias Jirjoss","Revista da Associação Médica Brasileira; 58(5); 514-515","Revista da Associação Médica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000500002&lang=pt" 
"S0104-42302012000500001-scl","Discussão","Saldiva, Paulo","Revista da Associação Médica Brasileira; 58(5); 513-513","Revista da Associação Médica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000500001&lang=pt" 
"S0104-42302012000500008-scl","Analysis of the concordance rates between core needle biopsy and surgical excision in patients with breast cancer","Ricci, Marcos Desidério, Calvano Filho, Carlos Marino Cabral, Oliveira Filho, Helio Rubens de, Filassi, José Roberto, Pinotti, José Aristodemo, Baracat, Edmund Chada","Revista da Associação Médica Brasileira; 58(5); 532-536","Revista da Associação Médica Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000500008&lang=pt" 
"S0104-42302012000500007-scl","Molecular analysis of rubella virus in travelers suspected of measles infection in São Paulo, Brazil","Figueiredo, Cristina A., Yu, Ana Lucia Frugis, Afonso, Ana Maria S., Curti, Suely P., Oliveira, Maria I.","Revista da Associação Médica Brasileira; 58(5); 527-531","Revista da Associação Médica Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000500007&lang=pt" 
"S0104-42302012000500013-scl","A comparative analysis of outpatient costs in HIV treatment programs","Sarti, Flavia Mori, Nishijima, Marislei, Campino, Antonio Carlos Coelho, Cyrillo, Denise Cavallini","Revista da Associação Médica Brasileira; 58(5); 561-567","Revista da Associação Médica Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000500013&lang=pt" 
"S0104-42302012000500018-scl","Traditional learning and problem-based learning: self-perception of preparedness for internship","Millan, Laís Pereira Bueno, Semer, Beatriz, Rodrigues, José Mauro da Silva, Gianini, Reinaldo José","Revista da Associação Médica Brasileira; 58(5); 594-599","Revista da Associação Médica Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000500018&lang=pt" 
"S0104-42302012000500017-scl","Low Apgar scores at 5 minutes in a low risk population: maternal and obstetrical factors and postnatal outcome","Salustiano, Eugenia Maria Assunção, Campos, Juliana Alvares Duarte Bonini, Ibidi, Silvia Maria, Ruano, Rodrigo, Zugaib, Marcelo","Revista da Associação Médica Brasileira; 58(5); 587-593","Revista da Associação Médica Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000500017&lang=pt" 
"S0104-42302012000500019-scl","Does bench model fidelity interfere in the acquisition of suture skills by novice medical students?","Denadai, Rafael, Oshiiwa, Marie, Saad-Hossne, Rogério","Revista da Associação Médica Brasileira; 58(5); 600-606","Revista da Associação Médica Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000500019&lang=pt" 
"S0104-42302012000500020-scl","Minimal and mild endometriosis negatively impact on pregnancy outcome","Carvalho, Luiz Fernando Pina, Below, Alexandra, Abrão, Mauricio S., Agarwal, Ashok","Revista da Associação Médica Brasileira; 58(5); 607-614","Revista da Associação Médica Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000500020&lang=pt" 
"S0104-42302012000500021-scl","Utilização de ácidos nucleicos fetais livres no plasma materno para o diagnóstico pré-natal: realidade do Brasil neste cenário","Romão, Renata Moscolini, Levi, José Eduardo, Carvalho, Henrique Burlacchini de, Francisco, Rossana Pulcineli Vieira, Amorim Filho, Antônio Gomes de, Zugaib, Marcelo","Revista da Associação Médica Brasileira; 58(5); 615-619","Revista da Associação Médica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000500021&lang=pt" 
"S0036-36342012000500007-mex","High prevalence of late diagnosis of HIV in Mexico during the HAART era","Crabtree-Ramírez, Brenda, Caro-Vega, Yanink, Belaunzarán-Zamudio, Francisco, Sierra-Madero, Juan","Salud Pública de México; 54(5); 506-514","Salud Pública de México","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000500007&lang=pt" 
"S0104-42302012000500009-scl","Association between HLA-DRB1* polymorphisms and hepatitis B infection in a brazilian population","Corrêa, Bruno de Melo, Lopes, Edmundo Pessoa de Almeida, Albuquerque, Maria de Fátima Pessoa Militão de, Dourado, Lúcia","Revista da Associação Médica Brasileira; 58(5); 537-542","Revista da Associação Médica Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000500009&lang=pt" 
"S0365-05962012000500004-scl","Assessment of the quality of life of pediatric patients at a center of excellence in dermatology in southern Brazil","Weber, Magda Blessmann, Lorenzini, Daniel, Reinehr, Clarissa Prieto Herman, Lovato, Bárbara","Anais Brasileiros de Dermatologia; 87(5); 697-702","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500004&lang=pt" 
"S0365-05962012000500002-scl","Action of topical mometasone on the pigmented halos of micrografting in patients with vitiligo","Saldanha, Karine Dantas Diógenes, Machado Filho, Carlos D&#039;Apparecida Santos, Paschoal, Francisco Macedo","Anais Brasileiros de Dermatologia; 87(5); 685-690","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500002&lang=pt" 
"S0365-05962012000500003-scl","Dermoscopic findings in female androgenetic alopecia","Ramos, Lya Duarte, Santili, Maria Cândida Nahás, Bezerra, Fabiane Castilho, Ruiz, Maria de Fátima Maklouf Amorim, Petri, Valeria, Patriarca, Marisa Teresinha","Anais Brasileiros de Dermatologia; 87(5); 691-694","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500003&lang=pt" 
"S0365-05962012000500005-scl","DRESS: clinicopathological features of 10 cases from an University Hospital in São Paulo","Botelho, Luciane Francisca Fernandes, Higashi, Viviane Shinsato, Padilha, Maria Helena Valle de Queiroz, Enokihara, Milvia Maria Simões e Silva, Porro, Adriana Maria","Anais Brasileiros de Dermatologia; 87(5); 703-707","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500005&lang=pt" 
"S0365-05962012000500015-scl","Corymbiform nodular amyloidosis","Gonçalves, Sheila Viana Castelo Branco, Valente, Neusa Yuriko Sakai, Passaro, Edviges Maria Cezareto, Paiva, Daniele Loureiro Mangueira, Dantas, Fernando Luiz Teixeira, Kakizaki, Priscila","Anais Brasileiros de Dermatologia; 87(5); 757-760","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500015&lang=pt" 
"S0365-05962012000500007-scl","Scientific output of Brazilian dermatologists during the last 25 years in the five highest impact factor journals in dermatology","Martins, Mariane Da Cas de Aquim, Carneiro, Marília Gabriela Linné Netto, Utzig, Joyce Benck, Kaled Neta, Eleolina Lara, Pachnicki, Majenna Andrade, Silva de Castro, Caio César","Anais Brasileiros de Dermatologia; 87(5); 714-716","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500007&lang=pt" 
"S0365-05962012000500014-scl","Calciphylaxis, a diagnostic and therapeutic challenge: report of a successful case","Roncada, Eduardo Vinicius Mendes, Abreu, Marilda Aparecida Milanez Morgado de, Pereira, Mayra Falcão, Oliveira, Claúdia Cardoso Macedo de, Nai, Gisele Alborghetti, Soares, Deusita Fernandes Gandia","Anais Brasileiros de Dermatologia; 87(5); 752-755","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500014&lang=pt" 
"S0365-05962012000500009-scl","Atopy patch test (APT) in the diagnosis of food allergy in children with atopic dermatitis","Levy, Soloni Afra Pires, Dortas Junior, Sergio Duarte, Pires, Andrea Huguenim Silva, Abe, Augusto Tiaqui, Valle, Solange Oliveira Rodrigues, Coelho, Vilma Perez, Hahnstadt, Ludwig Ruppert, França, Alfeu Tavares","Anais Brasileiros de Dermatologia; 87(5); 724-728","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500009&lang=pt" 
"S0365-05962012000500012-scl","Clinical and histological challenge in the differential diagnosis of diffuse alopecia: female androgenetic alopecia, telogen effluvium and alopecia areata - part I","Werner, Betina, Mulinari-Brenner, Fabiane","Anais Brasileiros de Dermatologia; 87(5); 742-747","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500012&lang=pt" 
"S0365-05962012000500013-scl","Autoimmune thyroiditis presenting as interstitial granulomatous dermatitis","Antunes, Joana, Pacheco, David, Travassos, Ana Rita, Soares-Almeida, Luís Miguel, Filipe, Paulo, Sacramento-Marques, Manuel","Anais Brasileiros de Dermatologia; 87(5); 748-751","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500013&lang=pt" 
"S0365-05962012000500019-scl","Graham-Little Piccardi Lassueur Syndrome: case report","Steglich, Raquel Bissacotti, Tonoli, Renata Elise, Pinto, Giselle Martins, Müller, Fernanda Melo, Guarenti, Isabelle Maffei, Duvelius, Ernani Siegmann","Anais Brasileiros de Dermatologia; 87(5); 775-777","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500019&lang=pt" 
"S0365-05962012000500022-scl","Hansen and his view on leprosy","","Anais Brasileiros de Dermatologia; 87(5); 785-785","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500022&lang=pt" 
"S0365-05962012000500023-scl","White piedra and pediculosis capitis in the same patient","Marques, Silvio Alencar, Richini-Pereira, Virgínia Bodelão, Camargo, Rosângela Maria Pires de","Anais Brasileiros de Dermatologia; 87(5); 786-787","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500023&lang=pt" 
"S0365-05962012000500025-scl","Case for diagnosis","Calistru, Ana Maria, Lisboa, Carmen, Bettencourt, Herberto, Azevedo, Filomena","Anais Brasileiros de Dermatologia; 87(5); 791-792","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500025&lang=pt" 
"S0365-05962012000500029-scl","Impetigo","Pereira, Luciana Baptista","Anais Brasileiros de Dermatologia; 87(5); 804-804","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500029&lang=pt" 
"S0365-05962012000500033-scl","In memoriam: René Garrido Neves 1929 - 2012","Campbell, Iphis, Talhari, Sinésio","Anais Brasileiros de Dermatologia; 87(5); 807-807","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500033&lang=pt" 
"S0365-05962012000500030-scl","Napsi","Tchornobay, Ana Maria","Anais Brasileiros de Dermatologia; 87(5); 805-805","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500030&lang=pt" 
"S0034-75902012000500010-scl","Cultura de consumo e significados das marcas","","Revista de Administração de Empresas; 52(5); 577-577","Revista de Administração de Empresas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902012000500010&lang=pt" 
"S0034-75902012000500009-scl","Da teoria ao paradigma da dádiva","","Revista de Administração de Empresas; 52(5); 576-576","Revista de Administração de Empresas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902012000500009&lang=pt" 
"S0034-75902012000500008-scl","A globalização através de uma nova perspectiva","Cardozo, Hugo Leonardo Guilhernandes, Gomes, Josir Simeone","Revista de Administração de Empresas; 52(5); 574-575","Revista de Administração de Empresas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902012000500008&lang=pt" 
"S0365-05962012000500031-scl","Reply","Mukai, Maira Mitsue","Anais Brasileiros de Dermatologia; 87(5); 806-806","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500031&lang=pt" 
"S0365-05962012000500001-scl","Tumor necrosis factor-alpha and the cytokine network in psoriasis","Brotas, Arles Martins, Cunha, José Marcos Tellas, Lago, Eduardo Henrique Jorge, Machado, Cristiane Chaves Nascentes, Carneiro, Sueli Coelho da Silva","Anais Brasileiros de Dermatologia; 87(5); 673-683","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500001&lang=pt" 
"S0365-05962012000500006-scl","Immunohistochemical profile of HIF-1α, VEGF-A, VEGFR2 and MMP9 proteins in tegumentary leishmaniasis","Fraga, Carlos Alberto de Carvalho, Oliveira, Marcos Vinicius Macedo de, Alves, Lucas Rodrigues, Viana, Agostinho Gonçalves, Sousa, Adriana Alkmin de, Carvalho, Sílvio Fernando Guimarães, De Paula, Alfredo Maurício Batista, Botelho, Ana Cristina de Carvalho, Guimarães, André Luiz Sena","Anais Brasileiros de Dermatologia; 87(5); 709-713","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500006&lang=pt" 
"S0365-05962012000500008-scl","Quality of life in children and teenagers with atopic dermatitis","Amaral, Cláudia Soïdo Falcão do, March, Maria de Fátima Bazhuni Pombo, Sant&#039;Anna, Clemax Couto","Anais Brasileiros de Dermatologia; 87(5); 717-723","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500008&lang=pt" 
"S0365-05962012000500010-scl","Bacterial skin colonization and infections in patients with atopic dermatitis","Petry, Vanessa, Bessa, Giancarlo Resende, Poziomczyck, Claudia Schermann, Oliveira, Caio Fernando de, Weber, Magda Blessmann, Bonamigo, Renan Rangel, d’Azevedo, Pedro Alves","Anais Brasileiros de Dermatologia; 87(5); 729-734","Anais Brasileiros de Dermatologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962012000500010&lang=pt" 
"S0034-75902012000500003-scl","Efeitos do controle nas intenções comportamentais dos consumidores insatisfeitos","Pacheco, Natália Araujo, Santos, Cristiane Pizzutti dos, Lunardo, Renaud","Revista de Administração de Empresas; 52(5); 502-516","Revista de Administração de Empresas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902012000500003&lang=pt" 
"S0034-75902012000500005-scl","Imersão social e institucional e capacidades: o setor calçadista de Nova Serrana","Vasconcelos, Geraldo Magela Rodrigues de, Oliveira, Janete Lara de","Revista de Administração de Empresas; 52(5); 531-545","Revista de Administração de Empresas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902012000500005&lang=pt" 
"S0034-75902012000500006-scl","Theory of reasoned action for continuous improvement capabilities: a behavioral approach","Yen-Tsang, Chen, Csillag, João Mário, Siegler, Janaina","Revista de Administração de Empresas; 52(5); 546-564","Revista de Administração de Empresas","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902012000500006&lang=pt" 
"S0034-75902012000500004-scl","Inovação colaborativa: uma abordagem aberta no desenvolvimento de novos produtos","Bueno, Bruna, Balestrin, Alsones","Revista de Administração de Empresas; 52(5); 517-530","Revista de Administração de Empresas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902012000500004&lang=pt" 
"S0100-879X2012001000014-scl","A simple test of muscle coactivation estimation using electromyography","Ervilha, U.F., Graven-Nielsen, T., Duarte, M.","Brazilian Journal of Medical and Biological Research; 45(10); 977-981","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001000014&lang=pt" 
"S0100-879X2012001000016-scl","Physical training prevents body weight gain but does not modify adipose tissue gene expression","Higa, T.S., Bergamo, F.C., Mazzucatto, F., Fonseca-Alaniz, M.H., Evangelista, F.S.","Brazilian Journal of Medical and Biological Research; 45(10); 988-994","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001000016&lang=pt" 
"S0100-879X2012001000002-scl","Prevalence of ERα-397 PvuII C/T, ERα-351 XbaI A/G and PGR PROGINS polymorphisms in Brazilian breast cancer-unaffected women","Giacomazzi, J., Aguiar, E., Palmero, E.I., Schmidt, A.V., Skonieski, G., Filho, D.D., Bock, H., Saraiva-Pereira, M.L., Ewald, I.P., Schuler-Faccini, L., Camey, S.A., Caleffi, M., Giugliani, R., Ashton-Prolla, P.","Brazilian Journal of Medical and Biological Research; 45(10); 891-897","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001000002&lang=pt" 
"S0100-879X2012001000010-scl","Effect of the 5-HT4 receptor and serotonin transporter on visceral hypersensitivity in rats","Yan, Chi, Xin-Guang, Liu, Hua-Hong, Wang, Jun-Xia, Li, Yi-Xuan, Li","Brazilian Journal of Medical and Biological Research; 45(10); 948-954","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001000010&lang=pt" 
"S0100-879X2012001000013-scl","Psychological stress alters the ultrastructure and increases IL-1β and TNF-α in mandibular condylar cartilage","Lv, Xin, Li, Qiang, Wu, Shun, Sun, Jing, Zhang, Min, Chen, Yong-Jin","Brazilian Journal of Medical and Biological Research; 45(10); 968-976","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001000013&lang=pt" 
