"S0102-76382009000400025-scl","Dilatações gigantes das artérias coronárias em paciente assintomático","Carvalho, Enisa de Miranda de Freitas, Salerno, Tomas A, Coy, Kevin","Brazilian Journal of Cardiovascular Surgery; 24(3); 413-415","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400025&lang=pt" 
"S0101-98802009000300012-scl","Uso de terapia biológica na doença de Crohn metastática: relato de caso e revisão da literatura","Batista, Rodrigo Rocha, Pozzobon, Bárbara Heloisa Zanchetta, Lopes, Juliana Magalhães, Albuquerque, Idblan Carvalho de, Formiga, Galdino José Sitonio","Revista Brasileira de Coloproctologia; 29(3); 372-376","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000300012&lang=pt" 
"S0101-98802009000300017-scl","Dor posterior baixa e dor pélvica: o que interessa ao proctologista?","Santos Jr, Júlio César M","Revista Brasileira de Coloproctologia; 29(3); 393-403","Revista Brasileira de Coloproctologia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802009000300017&lang=pt" 
"S1984-46702009000300011-scl","Estudo dos vestígios de peixes dos sítios arqueológicos da área de influência da Usina Hidrelétrica Machadinho, Rio Grande do Sul, Brasil","Ricken, Cláudio, Malabarba, Luiz Roberto","Zoologia (Curitiba); 26(3); 469-478","Zoologia (Curitiba)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702009000300011&lang=pt" 
"S1984-46702009000300007-scl","Padrão morfológico e ciclo de vida de Eutetranychus banksi (Acari: Tetranychidae) de diferentes locais e hospedeiros","Mattos, Viviane M., Feres, Reinaldo J. F.","Zoologia (Curitiba); 26(3); 427-442","Zoologia (Curitiba)","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-46702009000300007&lang=pt" 
"S0102-76382009000400007-scl","Prevalência e fatores de risco para insuficiência renal aguda no pós-operatório de revascularização do miocárdio","Brito, Dyego José de Araújo, Nina, Vinicius José da Silva, Nina, Rachel Vilela de Abreu Haickel, Figueiredo eto, José Albuquerque de, Oliveira, Maria Inês Gomes de, Salgado, João Victor Leal, Lages, Joyce Santos, Salgado Filho, Natalino","Brazilian Journal of Cardiovascular Surgery; 24(3); 297-304","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400007&lang=pt" 
"S0034-71402009000300001-scl","Aumento da oferta e redução de impostos nos serviços de infra-estrutura na economia brasileira: uma abordagem de equilíbrio geral","Oliveira, Maria Aparecida Silva, Teixeira, Erly Cardoso","Revista Brasileira de Economia; 63(3); 183-207","Revista Brasileira de Economia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71402009000300001&lang=pt" 
"S0102-76382009000400014-scl","Resultados do tratamento cirúrgico da coarctação de aorta em adultos","Jatene, Marcelo Biscegli, Abuchaim, Décio Cavalet Soares, Oliveira Junior, José de Lima, Riso, Arlindo, Tanamati, Carla, Miura, Nana, Lopes, Antonio Augusto, Barbero-Marcial, Miguel L","Brazilian Journal of Cardiovascular Surgery; 24(3); 346-353","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400014&lang=pt" 
"S0100-69162009000300016-scl","Raw water use charge reduction for the rural sector in the PCJ Watershed","Silva, Rogério T. da, Folegatti, Marcos V.","Engenharia Agrícola; 29(3); 492-500","Engenharia Agrícola","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000300016&lang=pt" 
"S0100-69162009000300015-scl","Compostagem da fração sólida da água residuária de suinocultura","Orrico Júnior, Marco A. P., Orrico, Ana C. A., Lucas Júnior, Jorge de","Engenharia Agrícola; 29(3); 483-491","Engenharia Agrícola","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162009000300015&lang=pt" 
"S0100-204X2009000900019-scl","Medidas corporales y concentración sérica y folicular de lípidos y glucosa en vacas Brahman fértiles y subfértiles","Alonso Villa, Néstor, Pulgarín, Erik Felipe, Andrea Tabares, Paola, Angarita, Eduardo, Ceballos, Alejandro","Pesquisa Agropecuária Brasileira; 44(9); 1198-1204","Pesquisa Agropecuária Brasileira","Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2009000900019&lang=pt" 
"S1676-26492009000300006-scl","Adaptação transcultural do inventário neurocomportamental (NBI) para o Brasil","Oliveira, Guilherme Nogueira Mendes de, Kummer, Arthur, Salgado, João Vinícius, Portela, Eduardo Jardel, Sousa-Pereira, Sílvio Roberto, Mendes, Mirian Fabíola Studart Gurgel, Marchetti, Renato Luiz, Teixeira, Antônio Lúcio","Journal of Epilepsy and Clinical Neurophysiology; 15(3); 123-129","Journal of Epilepsy and Clinical Neurophysiology","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-26492009000300006&lang=pt" 
"S1676-26492009000300004-scl","Qualidade de vida e desempenho ocupacional de pacientes submetidos à cirurgia de epilepsia","Zanni, Karina Piccin, Bianchin, Maysa Alahmar, Marques, Lucia Helena Neves","Journal of Epilepsy and Clinical Neurophysiology; 15(3); 114-117","Journal of Epilepsy and Clinical Neurophysiology","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-26492009000300004&lang=pt" 
"S1676-26492009000300002-scl","Screening of epileptic seizures in children and adolescents with hydrocephalus and ventriculoperitoneal shunt","Amorim Júnior, Raimundo Francisco de, Dantas, Suerda Emiliana Cavalcanti, Mendonça, Rodrigo de Holanda, Rolim, Abdiel de Lira, Jales, Maria Luiza de Carvalho, Lopes, Mônica Ferreira, Bezerra, Mércia Jeanne Duarte, Melo, Áurea Nogueira de","Journal of Epilepsy and Clinical Neurophysiology; 15(3); 106-109","Journal of Epilepsy and Clinical Neurophysiology","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-26492009000300002&lang=pt" 
"S1676-26492009000300005-scl","Perception and attitudes towards epilepsy: point of view of professionals allied to medicine from Mobile Emergency Service in Campinas","Fernandes, Paula T., Noronha, Ana Lúcia A., Hansen, José Roberto, Li, Li M.","Journal of Epilepsy and Clinical Neurophysiology; 15(3); 119-122","Journal of Epilepsy and Clinical Neurophysiology","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-26492009000300005&lang=pt" 
"S0006-87052009000300018-scl","Resíduos e subprodutos agroindustriais e grãos como substratos para produção do fungo entomapatogênico Lecanicillium lecanii","Machado, Ana Carolina Ribeiro, Monteiro, Antonio Carlos, Mochi, Dinalva Alves, Yoshida, Luciana","Bragantia; 68(3); 703-714","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300018&lang=pt" 
"S0006-87052009000300019-scl","Características químicas de um Latossolo sob diferentes sistemas de preparo e adubação orgânica","Scherer, Elói Erhard, Nesi, Cristiano Nunes","Bragantia; 68(3); 715-721","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300019&lang=pt" 
"S0006-87052009000300020-scl","Propriedades físicas de um Latossolo Vermelho sob cultivo de arroz de terras altas em diferentes manejos do solo e água","Kamimura, Karina Marie, Alves, Marlene Cristina, Arf, Orivaldo, Binotti, Flávio Ferreira da Silva","Bragantia; 68(3); 723-731","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300020&lang=pt" 
"S0006-87052009000300021-scl","Variabilidade espacial e disponibilidade de cobre e zinco em solos de vinhedos e adjacências","Valladares, Gustavo Souza, Azevedo, Emílio Carlos de, Camargo, Otávio Antônio de, Grego, Célia Regina, Rastoldo, Alessandra Maria Cia Silva","Bragantia; 68(3); 733-742","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300021&lang=pt" 
"S0006-87052009000300023-scl","Variabilidade espacial da densidade e da porosidade de um Latossolo Vermelho Eutroférrico sob semeadura direta por vinte anos","Siqueira, Glécio Machado, Vieira, Sidney Rosa, Decen, Sonia Carmela Falci","Bragantia; 68(3); 751-759","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300023&lang=pt" 
"S0006-87052009000300025-scl","Antecipação da colheita na qualidade fisiológica de sementes de soja","Terasawa, José Maurício, Panobianco, Maristela, Possamai, Edilberto, Koehler, Henrique Soares","Bragantia; 68(3); 765-773","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300025&lang=pt" 
"S0006-87052009000300029-scl","Possible influences of pacific decadal oscillation in the ten day based radio between actual and potential evapotranspiration in the region of Campinas, São Paulo State, Brazil","Blain, Gabriel Constantino, Kayano, Mary Toshie, Sentelhas, Paulo Cesar, Lulu, Jorge","Bragantia; 68(3); 797-805","Bragantia","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300029&lang=pt" 
"S0100-84042009000300016-scl","Revisão do Herbário URM: novas ocorrências de Aphyllophorales para a Amazônia brasileira","Gomes-Silva, Allyne Christina, Gibertoni, Tatiana Baptista","Brazilian Journal of Botany; 32(3); 587-596","Brazilian Journal of Botany","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042009000300016&lang=pt" 
"S0102-33062009000300024-scl","Flora da Paraíba, Brasil: Solanum L. (Solanaceae)","Agra, Maria de Fátima, Nurit-Silva, Kiriaki, Berger, Lúcia Raquel","Acta Botanica Brasilica; 23(3); 826-842","Acta Botanica Brasilica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000300024&lang=pt" 
"S0102-33062009000300025-scl","Relação entre heterogeneidade ambiental e distribuição de espécies em uma floresta paludosa no Município de Cristais Paulista, SP, Brasil","Teixeira, Aloysio de Pádua, Assis, Marco Antonio","Acta Botanica Brasilica; 23(3); 843-853","Acta Botanica Brasilica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000300025&lang=pt" 
"S0102-33062009000300028-scl","O gênero Epidendrum L. (Orchidaceae) no Estado do Paraná, Brasil","Stancik, Juliane Franzen, Goldenberg, Renato, Barros, Fábio de","Acta Botanica Brasilica; 23(3); 864-880","Acta Botanica Brasilica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000300028&lang=pt" 
"S0102-33062009000300030-scl","Morphoanatomy of the stem in Cyperaceae","Rodrigues, Ana Claudia, Estelita, Maria Emília Maranhão","Acta Botanica Brasilica; 23(3); 889-901","Acta Botanica Brasilica","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000300030&lang=pt" 
"S0006-87052009000300028-scl","Índice de vegetação do sensor MODIS na estimativa da produtividade agrícola da cana-de-açúcar","Picoli, Michelle Cristina Araujo, Rudorff, Bernardo Friedrich Theodor, Rizzi, Rodrigo, Giarolla, Angélica","Bragantia; 68(3); 789-795","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300028&lang=pt" 
"S0006-87052009000300030-scl","Análises estatísticas das tendências de elevação nas séries anuais de temperatura mínima do ar no Estado de São Paulo","Blain, Gabriel Constantino, Picoli, Michelle Cristina Araujo, Lulu, Jorge","Bragantia; 68(3); 807-815","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300030&lang=pt" 
"S1413-80502009000300002-scl","Dinâmica econômica das flutuações na produção de cana-de-açúcar","Satolo, Luiz Fernando, Bacchi, Mirian Rumenos Piedade","Economia Aplicada; 13(3); 377-397","Economia Aplicada","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-80502009000300002&lang=pt" 
"S1413-80502009000300003-scl","Um indicador comparativo de pobreza multidimensional a partir dos objetivos do desenvolvimento do milênio","Diniz, Marcelo Bentes, Diniz, Marcos Monteiro","Economia Aplicada; 13(3); 399-423","Economia Aplicada","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-80502009000300003&lang=pt" 
"S1413-80502009000300006-scl","Uma estimativa da contribuição tarifária para o efeito-fronteira no Brasil","Silva, Orlando Monteiro da, Almeida, Fernanda Maria de","Economia Aplicada; 13(3); 463-474","Economia Aplicada","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-80502009000300006&lang=pt" 
"S1413-80502009000300007-scl","O impacto da mobilidade de renda sobre o bem-estar econômico no Brasil","Figueiredo, Erik Alencar de","Economia Aplicada; 13(3); 475-486","Economia Aplicada","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-80502009000300007&lang=pt" 
"S1413-80502009000300005-scl","Convergência, para onde? Uma análise da dinâmica de distribuição de renda per capita a partir do modelo de misturas finitas","Catela, Eva Yamila da Silva, Gonçalves, Flávio de Oliveira","Economia Aplicada; 13(3); 441-461","Economia Aplicada","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-80502009000300005&lang=pt" 
"S1678-58782009000300002-scl","Microsegregation in Fe-C-P ternary alloys using a phase-field model","Ferreira, Alexandre Furtado, Ferreira, Leonardo de Olivé","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 31(3); 173-180","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782009000300002&lang=pt" 
"S1678-58782009000300004-scl","The lid-driven square cavity flow: numerical solution with a 1024 x 1024 grid","Marchi, Carlos Henrique, Suero, Roberta, Araki, Luciano Kiyoshi","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 31(3); 186-198","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782009000300004&lang=pt" 
"S1678-58782009000300005-scl","Turbulent natural convection in enclosures using large-eddy simulation with localized heating from horizontal bottom surface and cooling from vertical surfaces","Brito, Rogerio Fernandes, Menon, Genésio José, Pirani, Marcelo José","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 31(3); 199-209","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782009000300005&lang=pt" 
"S1678-58782009000300006-scl","Design of optimum system of viscoelastic vibration absorbers with a Frobenius norm objective function","Espíndola, José J. de, Pereira, Petroneo, Bavastri, Carlos A., Lopes, Eduardo M.","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 31(3); 210-219","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782009000300006&lang=pt" 
"S1678-58782009000300008-scl","Quasi-neutrality and local thermodynamical equilibrium in atmospheric presure arc discharges","Vilarinho, L. O., Fanara, C., Yapp, D., Richardson, I. M.","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 31(3); 224-231","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782009000300008&lang=pt" 
"S1678-58782009000300009-scl","Experimental study of the propagation of a far-field disturbance in the turbulent flow through square array tube banks","Endres, Luiz A. Magalhães, Möller, Sergio Viçosa","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 31(3); 232-242","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782009000300009&lang=pt" 
"S1678-58782009000300010-scl","Simulation of viscous flow around a circular cylinder near a moving ground","Bimbato, Alex Mendonça, Pereira, Luiz Antonio Alcântara, Hirata, Miguel Hiroo","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 31(3); 243-252","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782009000300010&lang=pt" 
"S1678-58782009000300012-scl","Evaluation of non-singular BEM algorithms for potential problems","Ribeiro, G. O., Ribeiro, T. S. A., Jorge, A. B., Cruse, T. A.","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 31(3); 261-268","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782009000300012&lang=pt" 
"S1678-58782009000300013-scl","Optimization of hybrid laminated composites using a genetic algorithm","Lopez, Rafael Holdorf, Luersen, Marco Antônio, Cursi, José Eduardo Souza de","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 31(3); 269-278","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782009000300013&lang=pt" 
"S0864-21252009000200001-cub","A propósito de las malas conductas en la publicación científica","Alfonso Manzanet, José Enrique","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200001&lang=pt" 
"S0864-21252009000200002-cub","Calidad de vida percibida en adultos mayores de la provincia de Matanzas","Dueñas González, Dianelis, Bayarre Vea, Héctor D, Triana Álvarez, Eduardo, Rodríguez Pérez, Vivian","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200002&lang=pt" 
"S0864-21252009000200003-cub","Prevención y diagnóstico tardío de SIDA en Ciudad de La Habana, 1986-2007","Bolaños Gutiérrez, María Regla, Rojo Pérez, Nereida","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200003&lang=pt" 
"S0864-21252009000200004-cub","Caracterización de los factores de riesgo en gestantes con hipertensión gestacional y crónica en un área de salud","Torres Sánchez, Yuselis, Lardoeyt Ferrer, Roberto, Lardoeyt Ferrer, Milaydes","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200004&lang=pt" 
"S0864-21252009000200005-cub","Frecuencia de dislipidémicos e hipertensos en personas mayores de 60 años de 3 consultorios","Gómez Nario, Ondina, Fernández-Britto Rodríguez, José Emilio, Ferrer Arrocha, Marlene, Núñez García, Mirta V, Meneau Peña, Teresa X, Gómez López, Alicia, Deus Montes, Yamiris","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200005&lang=pt" 
"S0864-21252009000200006-cub","El erotismo en la tercera edad","Suárez Vasallo, Emma, Quiñones Chávez, Caridad, Zalazar Álvarez, Yohana","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200006&lang=pt" 
"S0864-21252009000200007-cub","Repercusión psicosocial del huracán Wilma en la comunidad del consejo popular Miramar, del municipio Playa","Yvonne Sánchez Gil, Isis, Pérez Martínez, Víctor T, Pons García, Julia","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200007&lang=pt" 
"S0864-21252009000200008-cub","Entorno familiar, laboral, manifestaciones clínicas y enfermedades crónicas en mujeres de edad mediana","Heredia Hernández, Braulio, Lugones Botell, Miguel","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200008&lang=pt" 
"S0864-21252009000200009-cub","Estatinas, uso racional en el tratamiento de la dislipoproteinemia","Illnait Ferrer, José","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200009&lang=pt" 
"S0864-21252009000200010-cub","La violencia psicológica de género, una forma encubierta de agresión","Pérez Martínez, Víctor T, Hernández Marín, Yadira","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200010&lang=pt" 
"S0864-21252009000200011-cub","Diabetes mellitus en el anciano, un problema frecuente","Yanes Quesada, Marelys, Cruz Hernández, Jeddú, Yanes Quesada, Miguel Ángel, Calderín Bouza, Raúl, Pardías Milán, Luis, Vázquez Díaz, Guillermo","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200011&lang=pt" 
"S0864-21252009000200012-cub","Programa de desarrollo integral de la montaña: Plan Turquino Manatí, 17 años de avances","Gandul Salabarría, Luis, Luna Morales, Estela Cristina, Sierra Pérez, Doris de la C","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200012&lang=pt" 
"S0864-21252009000200013-cub","Anticoncepción de emergencia","Barcia, Javier Maure, Sancristóbal Díaz, Jorge Ramón, Rodríguez Carvajal, Mercedes de la Caridad","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200013&lang=pt" 
"S0864-21252009000200014-cub","Resúmenes sobre diabetes y género","","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200014&lang=pt" 
"S0864-21252009000200015-cub","La formación avanzada de investigadores en el ámbito de la atención primaria de salud, una necesidad impostergable","Bayarre Vea, Héctor D, Pérez Piñero, Julia S, Couturejuzón González, Lourdes, Sarduy Domínguez, Yanetsys, Castañeda Abascal, Ileana E, Díaz Llanes, Guillermo","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200015&lang=pt" 
"S0864-21252009000200016-cub","La transformación del policlínico en Cuba de cara al siglo XXI","Luna Morales, Estela Cristina, Sierra Pérez, Doris de la C, Gandul Salabarría, Luis","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200016&lang=pt" 
"S0864-21252009000200017-cub","Síndrome de muerte súbita del lactante","Avalos González, María Marlen, Poulot Limonta, Santos, Mariño Membribes, Eida Rosa, Hernández Valdés, Gudelia Miguelina","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200017&lang=pt" 
"S0864-21252009000200018-cub","Bibliomed sobre diabetes y género","","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200018&lang=pt" 
"S0864-21252009000200019-cub","Aforismos, proverbios, lemas y consejos (VII)","Díaz Novás, José, Gallego Machado, Bárbara","Revista Cubana de Medicina General Integral; 25(2); -","Revista Cubana de Medicina General Integral","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252009000200019&lang=pt" 
"S1677-54492009000300004-scl","Classificação angiográfica na revascularização do membro inferior isquêmico: pode a angiografia definir a resistência do leito receptor do enxerto?","Rossi, Fabio Henrique, Leão, Pedro Puech, Izukawa, Nilo Mitsuro, Prakasan, Akash Kuzhiparambil","Jornal Vascular Brasileiro; 8(3); 207-213","Jornal Vascular Brasileiro","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492009000300004&lang=pt" 
"S1677-54492009000300005-scl","A anquilose tíbio-társica e sua importância na insuficiência venosa crônica","Timi, Jorge Ribas, Belczak, Sergio Quilici, Futigami, Aline Yoshimi, Pradella, Fernando Morandini","Jornal Vascular Brasileiro; 8(3); 214-218","Jornal Vascular Brasileiro","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492009000300005&lang=pt" 
"S1677-54492009000300006-scl","Perfil epidemiológico de 58 portadores de síndrome de Klippel-Trénaunay-Weber acompanhados no Ambulatório da Santa Casa de São Paulo","Villela, André Luis Costa, Guedes, Luis Gustavo Schaefer, Paschoa, Victor Vinicius Augusto, David, André Bernardes, Tenório, Thiago Marques, Lamego Junior, Henrique Pereira, Guedes Neto, Henrique Jorge, Caffaro, Roberto Augusto","Jornal Vascular Brasileiro; 8(3); 219-224","Jornal Vascular Brasileiro","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492009000300006&lang=pt" 
"S1677-54492009000300007-scl","Pesquisa de marcadores de trombofilia em eventos trombóticos arteriais e venosos: registro de 6 anos de investigação","Marques, Marcos Arêas, Silveira, Paulo Roberto Mattos da, Ristow, Arno von, Gress, Marcus, Vescovi, Alberto, Massière, Bernardo, Cury Filho, José Mussa","Jornal Vascular Brasileiro; 8(3); 225-231","Jornal Vascular Brasileiro","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492009000300007&lang=pt" 
"S1677-54492009000300008-scl","Alterações inflamatórias provocadas pelo metronidazol em feridas: estudo experimental em ratos","Sampaio, Cláudia Paraguaçu Pupo, Biondo-Simões, Maria de Lourdes Pessole, Trindade, Lilian Cristine Teixeira, Farias, Rogério Estevam, Pierin, Rodrigo Jardim, Martins, Rafael César","Jornal Vascular Brasileiro; 8(3); 232-237","Jornal Vascular Brasileiro","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492009000300008&lang=pt" 
"S1677-54492009000300009-scl","Acidente por injeção medicamentosa no músculo deltoide: lesões locais e à distância, revisão de 32 casos","Duque, Fernando Luis Vieira, Chagas, Carlos Alberto Araujo","Jornal Vascular Brasileiro; 8(3); 238-246","Jornal Vascular Brasileiro","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492009000300009&lang=pt" 
"S1677-54492009000300010-scl","Exercícios físicos na doença arterial obstrutiva periférica","Locatelli, Elenir Carlot, Pelizzari, Suélen, Scapini, Kátia Bilhar, Leguisamo, Camila Pereira, Silva, Alexandre Bueno da","Jornal Vascular Brasileiro; 8(3); 247-254","Jornal Vascular Brasileiro","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492009000300010&lang=pt" 
"S1677-54492009000300012-scl","Heparin-induced thrombocytopenia and endovascular procedures: report of two cases","Werneck, Christiane Campolina Furquim, Lossing, Allan, Lindsay, Thomas F.","Jornal Vascular Brasileiro; 8(3); 259-262","Jornal Vascular Brasileiro","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492009000300012&lang=pt" 
