"S0210-56912011000200014-esp","Fallo enmascarado de captura ventricular en paciente portador de marcapasos bicameral","Canabal-Berlanga, A., Sánchez-Rodríguez, P., Raigal-Caño, A.","Medicina Intensiva; 35(2); 135-136","Medicina Intensiva","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912011000200014&lang=pt" 
"S0103-51502011000100015-scl","Eficácia de um protocolo de exercícios físicos em pacientes com insuficiência renal crônica, durante o tratamento de hemodiálise, avaliada pelo SF-36","Soares, Karoline Teles de Araújo, Viesser, Marcel Vidal, Rzniski, Tânia Aparecida Barbosa, Brum, Edison Paula","Fisioterapia em Movimento; 24(1); 133-140","Fisioterapia em Movimento","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502011000100015&lang=pt" 
"S0103-51502011000100016-scl","Mensuração da qualidade de vida de indivíduos com a doença de Parkinson por meio do questionário PDQ-39","Silva, José Adolfo Menezes Garcia, Dibai Filho, Almir Vieira, Faganello, Flávia Roberta","Fisioterapia em Movimento; 24(1); 141-146","Fisioterapia em Movimento","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502011000100016&lang=pt" 
"S0103-51502011000100017-scl","Existe associação entre doenças venosas e nível de atividade física em jovens?","Pena, Júlio César Oliveira, Macedo, Luciana Bilitário","Fisioterapia em Movimento; 24(1); 147-154","Fisioterapia em Movimento","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502011000100017&lang=pt" 
"S0103-51502011000100020-scl","A produção de conhecimento em fisioterapia: análise de periódicos nacionais (1996 a 2009)","Virtuoso, Janeisa Franck, Haupenthal, Alessandro, Pereira, Natália Duarte, Martins, Caroline Pereira, Knabben, Rodrigo José, Andrade, Alexandro","Fisioterapia em Movimento; 24(1); 173-180","Fisioterapia em Movimento","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502011000100020&lang=pt" 
"S0103-51502011000100022-scl","Recursos fisioterapêuticos em linfedema pós-mastectomia: uma revisão de literatura","Luz, Naiane Durvalina da, Lima, Andréa Conceição Gomes","Fisioterapia em Movimento; 24(1); 191-200","Fisioterapia em Movimento","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502011000100022&lang=pt" 
"S1516-35982011000300003-scl","Motilidade espermática, fertilização dos ovócitos e eclosão dos ovos de Jundiá em água contaminada por cádmio","Witeck, Laurentina, Bombardelli, Robie Allan, Sanches, Eduardo Antônio, Oliveira, José Dilson Silva de, Baggio, Diego Mendes, Souza, Bruno Estevão de","Revista Brasileira de Zootecnia; 40(3); 477-481","Revista Brasileira de Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300003&lang=pt" 
"S1516-35982011000300004-scl","Association between the morphological and productive characteristics in the selection of elephant grass clones","Cunha, Márcio Vieira da, Lira, Mario de Andrade, Santos, Mércia Virginia Ferreira dos, Freitas, Erinaldo Viana de, Dubeux Junior, José Carlos Batista, Mello, Alexandre Carneiro Leão de, Martins, Kalina Gerciane Rodovalho","Revista Brasileira de Zootecnia; 40(3); 482-488","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300004&lang=pt" 
"S1516-35982011000300007-scl","Forage production dynamics of winter annual grasses sown on different dates","Pin, Edison Antonio, Soares, André Brugnara, Possenti, Jean Carlo, Ferrazza, Jussara Maria","Revista Brasileira de Zootecnia; 40(3); 509-517","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300007&lang=pt" 
"S1516-35982011000300008-scl","Crescimento de folhas do capim-bermuda tifton 85 submetido à adubação nitrogenada após o corte","Premazzi, Linda Monica, Monteiro, Francisco Antonio, Oliveira, Ricardo Ferraz de","Revista Brasileira de Zootecnia; 40(3); 518-526","Revista Brasileira de Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300008&lang=pt" 
"S1516-35982011000300009-scl","Characterization of tropical forage grass development pattern through the morphogenetic and structural characteristics","Rodrigues, Carlindo Santos, Nascimento Júnior, Domicio do, Silva, Sila Carneiro da, Silveira, Márcia Cristina Teixeira da, Sousa, Braulio Maia de Lana, Detmann, Edenio","Revista Brasileira de Zootecnia; 40(3); 527-534","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300009&lang=pt" 
"S1516-35982011000300010-scl","Características morfogênicas e estruturais de perfilhos de capim-braquiária em locais do pasto com alturas variáveis","Santos, Manoel Eduardo Rozalino, Fonseca, Dilermando Miranda da, Braz, Thiago Gomes dos Santos, Silva, Simone Pedro da, Gomes, Virgilio Mesquita, Silva, Guilherme Portes","Revista Brasileira de Zootecnia; 40(3); 535-542","Revista Brasileira de Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300010&lang=pt" 
"S1516-35982011000300011-scl","Novos aditivos microbianos na ensilagem da cana-de-açúcar: composição bromatológica, perdas fermentativas, componentes voláteis e estabilidade aeróbia","Schmidt, Patrick, Rossi Junior, Paulo, Junges, Daniel, Dias, Laila Talarico, Almeida, Rodrigo de, Mari, Lucas José","Revista Brasileira de Zootecnia; 40(3); 543-549","Revista Brasileira de Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300011&lang=pt" 
"S1516-35982011000300012-scl","Composição botânica e estrutural e valor nutricional de pastagens de azevém consorciadas","Skonieski, Fernando Reimann, Viégas, Julio, Bermudes, Rogério Fôlha, Nörnberg, José Laerte, Ziech, Magnos Fernando, Costa, Olmar Antônio Denardin, Meinerz, Gilmar Roberto","Revista Brasileira de Zootecnia; 40(3); 550-556","Revista Brasileira de Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300012&lang=pt" 
"S1516-35982011000300013-scl","Genetic parameters for milk production by using random regression models with different alternatives of fixed regression modeling","Cobuci, Jaime Araújo, Costa, Claudio Napolis, Braccini Neto, José, Freitas, Ary Ferreira de","Revista Brasileira de Zootecnia; 40(3); 557-567","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300013&lang=pt" 
"S1516-35982011000300014-scl","Genotype × country interaction for weaning weight in the Angus populations of Brazil and Uruguay","Espasandin, Ana Carolina, Urioste, Jorge Ignacio, Campos, Leonardo Talavera, Alencar, Maurício Mello de","Revista Brasileira de Zootecnia; 40(3); 568-574","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300014&lang=pt" 
"S1516-35982011000300017-scl","Available phosphorus levels in diets for 30 to 60 kg female pigs selected for meat deposition by maintaining calcium and available phosphorus ratio","Saraiva, Alysson, Donzele, Juarez Lopes, Oliveira, Rita Flávia Miranda de, Abreu, Márvio Lobão Teixeira de, Silva, Francisco Carlos de Oliveira, Vianna, Rafael Alves, Lima, Anderson Lazarini","Revista Brasileira de Zootecnia; 40(3); 587-592","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300017&lang=pt" 
"S1516-35982011000300018-scl","Exigências de lisina digestível e de energia metabolizável para codornas de corte em crescimento","Ton, Ana Paula Silva, Furlan, Antonio Claudio, Martins, Elias Nunes, Toledo, Juliana Beatriz, Scherer, Carina, Conti, Ana Carolina Müller","Revista Brasileira de Zootecnia; 40(3); 593-601","Revista Brasileira de Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300018&lang=pt" 
"S1516-35982011000300019-scl","Digestible lysine and organic zinc for male broiler from 1 to 11 days of age: performance and body composition","Trindade Neto, Messias Alves da, Namazu, Lilian Bernadete, Kobashigawa, Estela, Takeara, Paula, Donato, Daniella Carolina Zanardo, Albuquerque, Ricardo de","Revista Brasileira de Zootecnia; 40(3); 602-608","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300019&lang=pt" 
"S1516-35982011000300020-scl","Dietary levels of lysine for male broilers from 23 to 36 days of age: performance and body composition","Trindade Neto, Messias Alves da, Toledo, Ana Louise de, Takeara, Paula, Kobashigawa, Estela, Donato, Daniella Carolina Zanardo, Albuquerque, Ricardo de","Revista Brasileira de Zootecnia; 40(3); 609-615","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300020&lang=pt" 
"S1516-35982011000300023-scl","Quantitative characteristics of carcass and meat quality of ¾ Boer + ¼ Saanen and Saanen goat kids fed diets with dry yeast","Freitas, Hanna Sakamoto, Alcalde, Claudete Regina, Lima, Luciano Soares de, Macedo, Francisco de Assis Fonseca de, Macedo, Vicente de Paulo, Molina, Bruna Susan de Labio","Revista Brasileira de Zootecnia; 40(3); 630-638","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300023&lang=pt" 
"S1516-35982011000300025-scl","Níveis de inclusão e tempo de exposição da cana-de-açúcar ao óxido de cálcio sobre parâmetros digestivos e o desempenho de novilhas Nelore","Pina, Douglas dos Santos, Valadares Filho, Sebastião de Campos, Tedeschi, Luis Orlindo, Barbosa, Analívia Martins, Azevêdo, José Augusto Gomes, Valadares, Rilene Ferreira Diniz, Souza, Natália Krish de Paiva, Fonseca, Mozart Alves","Revista Brasileira de Zootecnia; 40(3); 648-656","Revista Brasileira de Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300025&lang=pt" 
"S1516-35982011000300026-scl","Fecal excretion patterns and short term bias of internal and external markers in a digestion assay with cattle","Sampaio, Cláudia Batista, Detmann, Edenio, Valente, Tiago Neves Pereira, Costa, Viviane Aparecida Carli, Valadares Filho, Sebastião de Campos, Queiroz, Augusto Cesar de","Revista Brasileira de Zootecnia; 40(3); 657-665","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300026&lang=pt" 
"S1516-35982011000300027-scl","In situ estimation of indigestible compounds contents in cattle feed and feces using bags made from different textiles","Valente, Tiago Neves Pereira, Detmann, Edenio, Valadares Filho, Sebastião de Campos, Cunha, Maura da, Queiroz, Augusto César de, Sampaio, Cláudia Batista","Revista Brasileira de Zootecnia; 40(3); 666-675","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300027&lang=pt" 
"S1516-35982011000300028-scl","Uso de redes neurais artificiais para predição de índices zootécnicos nas fases de gestação e maternidade na suinocultura","Pandorfi, Héliton, Silva, Iran José Oliveira, Sarnighausen, Valéria Cristina Rodrigues, Vieira, Frederico Márcio Corrêa, Nascimento, Sheila Tavares, Guiselini, Cristiane","Revista Brasileira de Zootecnia; 40(3); 676-681","Revista Brasileira de Zootecnia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300028&lang=pt" 
"S1516-35982011000300029-scl","Performance of finishing beef cattle fed different diets containing whole-crop maize silage or sugarcane silage","Roman, Juliano, Jobim, Clóves Cabreira, Resende, Flávio Dutra de, Siqueira, Gustavo Rezende, Faria, Marcelo Henrique de, Oliveira Neto, Renato Alves de","Revista Brasileira de Zootecnia; 40(3); 682-689","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300029&lang=pt" 
"S0101-66282011000100003-scl","Serviço Social e medidas socioeducativas: o trabalho na perspectiva da garantia de direitos","Freitas, Tais Pereira de","Serviço Social &amp; Sociedade; (105); 30-49","Serviço Social &amp; Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282011000100003&lang=pt" 
"S0101-66282011000100004-scl","Os direitos de crianças e adolescentes na perspectiva orçamentária","Telles, Tiago Santos, Suguihiro, Vera Lucia Tieko, Barros, Mari Nilza Ferrari de","Serviço Social &amp; Sociedade; (105); 50-66","Serviço Social &amp; Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282011000100004&lang=pt" 
"S0101-66282011000100005-scl","Propriedades coletivas, cooperativismo e economia solidária no Brasil","Morais, Edson Elias de, Lanza, Fabio, Santos, Luis Miguel Luzio dos, Pelanda, Sílvia Schroeder","Serviço Social &amp; Sociedade; (105); 67-88","Serviço Social &amp; Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282011000100005&lang=pt" 
"S0101-66282011000100006-scl","Copagamentos no Sistema Público Brasileiro: anomalia ou tendência?","Andreazzi, Maria de Fatima Siliansky de, Andreazzi, Marco Antonio Ratzsch de, Baptista, Luciléia de Souza, Pimenta, Eduardo Scarlatelli","Serviço Social &amp; Sociedade; (105); 89-109","Serviço Social &amp; Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282011000100006&lang=pt" 
"S0101-66282011000100007-scl","El debate del riesgo","Laurino, Carolina González","Serviço Social &amp; Sociedade; (105); 110-130","Serviço Social &amp; Sociedade","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282011000100007&lang=pt" 
"S0101-66282011000100008-scl","Geração de renda: enfoque nas mulheres pobres e divisão sexual do trabalho","Carloto, Cássia Maria, Gomes, Anne Grace","Serviço Social &amp; Sociedade; (105); 131-146","Serviço Social &amp; Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282011000100008&lang=pt" 
"S0101-66282011000100009-scl","Tecnologias sociais: interface com as políticas públicas e o Serviço Social","Maciel, Ana Lúcia Suárez, Fernandes, Rosa Maria Castilhos","Serviço Social &amp; Sociedade; (105); 146-165","Serviço Social &amp; Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282011000100009&lang=pt" 
"S0101-66282011000100010-scl","Condição feminina de mulheres chefes de família em situação de vulnerabilidade social","Pinto, Rosa Maria Ferreiro, Micheletti, Fátima Aparecida Barbosa de Oliveira, Bernardes, Luzana Mackevícius, Fernandes, Joice Maria Pacheco Antonio, Monteiro, Gisela Vasconcellos, Silva, Magda Lucia Novaes, Barreira, Tânia Maria Horneaux de Mendonça, Makhoul, Aparecida Favorêto, Cohn, Amélia","Serviço Social &amp; Sociedade; (105); 167-179","Serviço Social &amp; Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282011000100010&lang=pt" 
"S1516-35982011000300030-scl","Natural and improved natural pastures on the reproductive performance of first-calf beef cows","Tanure, Soraya, Pötter, Bernardo Augusto Albornoz, Lobato, José Fernando Piva","Revista Brasileira de Zootecnia; 40(3); 690-699","Revista Brasileira de Zootecnia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982011000300030&lang=pt" 
"S0138-600X2011000100001-cub","Una cita con la historia","Sarduy Nápoles, Miguel","Revista Cubana de Obstetricia y Ginecología; 37(1); 1-2","Revista Cubana de Obstetricia y Ginecología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2011000100001&lang=pt" 
"S0138-600X2011000100002-cub","A propósito del método clínico","Corrales Gutiérrez, Alexis","Revista Cubana de Obstetricia y Ginecología; 37(1); 3-5","Revista Cubana de Obstetricia y Ginecología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2011000100002&lang=pt" 
"S0138-600X2011000100003-cub","Embarazo y trasplante hepático en pacientes cubanas","Samada Suárez, Marcia, Vasallo Prieto, Raúl, Martínez Changüí, Ysis, Hernández Rivero, Hanoi, Domínguez Cordovés, Janet, Moret Vara, Sheyla","Revista Cubana de Obstetricia y Ginecología; 37(1); 6-12","Revista Cubana de Obstetricia y Ginecología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2011000100003&lang=pt" 
"S0138-600X2011000100004-cub","El bajo peso al nacer y su relación con la hipertensión arterial en el embarazo","Álvarez Ponce, Vivian Asunción, Alonso Uría, Rosa María, Ballesté López, Irka, Muñiz Rizo, Milagros","Revista Cubana de Obstetricia y Ginecología; 37(1); 23-31","Revista Cubana de Obstetricia y Ginecología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2011000100004&lang=pt" 
"S0138-600X2011000100005-cub","Correlación colpohistológica en las pacientes portadoras de neoplasia intraepitelial cervical tratadas con radiocirugía","Torriente Hernández, Santa, Valdés Alvarez, Orlando, Villarreal Martinez, Aracelis, Borrego, Roy","Revista Cubana de Obstetricia y Ginecología; 37(1); 23-41","Revista Cubana de Obstetricia y Ginecología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2011000100005&lang=pt" 
"S0138-600X2011000100006-cub","Caracterización de un grupo de pacientes con neoplasia intraepitelial cervical diagnosticadas por biopsia con asa diatérmica","Torriente Hernández, Santa, Valdés Alvarez, Orlando, Villarreal Martinez, Aracelis, Lugo Sánchez, Ana","Revista Cubana de Obstetricia y Ginecología; 37(1); 42-53","Revista Cubana de Obstetricia y Ginecología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2011000100006&lang=pt" 
"S0138-600X2011000100008-cub","Reparación de los prolapsos de los órganos pélvicos con bandas de polipropileno preobturador","Borges Sandrino, René, Ramón Musibay, Enia","Revista Cubana de Obstetricia y Ginecología; 37(1); 65-75","Revista Cubana de Obstetricia y Ginecología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2011000100008&lang=pt" 
"S0138-600X2011000100010-cub","El embarazo ectópico se incrementa en el mundo","Fernández Arenas, Carmen","Revista Cubana de Obstetricia y Ginecología; 37(1); 84-99","Revista Cubana de Obstetricia y Ginecología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2011000100010&lang=pt" 
"S0138-600X2011000100011-cub","Alteraciones oculares en el síndrome alcohólico fetal","Zozaya Aldana, Beatriz, Medina Rodríguez, Isabel","Revista Cubana de Obstetricia y Ginecología; 37(1); 100-109","Revista Cubana de Obstetricia y Ginecología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2011000100011&lang=pt" 
"S0138-600X2011000100012-cub","Diagnóstico prenatal del Síndrome de Dandy-Walker clásico","Yanes Calderón, Margeris, Rojas González, Regla María, Castillo Batista, Mayelín","Revista Cubana de Obstetricia y Ginecología; 37(1); 110-116","Revista Cubana de Obstetricia y Ginecología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2011000100012&lang=pt" 
"S0138-600X2011000100013-cub","Torsión de ovario","Álvarez Sánchez, Aida de la Caridad","Revista Cubana de Obstetricia y Ginecología; 37(1); 117-124","Revista Cubana de Obstetricia y Ginecología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2011000100013&lang=pt" 
"S0138-600X2011000100014-cub","NOTICIAS","","Revista Cubana de Obstetricia y Ginecología; 37(1); 125-130","Revista Cubana de Obstetricia y Ginecología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2011000100014&lang=pt" 
"S0138-600X2011000100009-cub","Tratamiento de la enfermedad litiásica biliar en el embarazo","Laffita Labañino, Wilson","Revista Cubana de Obstetricia y Ginecología; 37(1); 76-83","Revista Cubana de Obstetricia y Ginecología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2011000100009&lang=pt" 
"S0138-600X2011000100007-cub","Caracterización de un grupo poblacional con diagnóstico de infección por Treponema Pallidum","Domínguez Domínguez, Inés, Safora Enríquez, Omayda, Rodríguez Izquierdo, Aldo","Revista Cubana de Obstetricia y Ginecología; 37(1); 54-64","Revista Cubana de Obstetricia y Ginecología","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2011000100007&lang=pt" 
"S0103-84782011000300010-scl","Monitoramento de bacias hidrográficas para identificar fontes de sedimentos em suspensão","Minella, Jean Paolo Gomes, Merten, Gustavo Henrique","Ciência Rural; 41(3); 424-432","Ciência Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300010&lang=pt" 
"S0103-84782011000300027-scl","Desempenho produtivo de Pseudoplatystoma corruscans estocados em sistemas de criação: semi-intensivo (viveiro escavado) e intensivo (tanque-rede)","Liranço, Andressa Daniela de Sousa, Romagosa, Elizabeth, Scorvo-Filho, João Donato","Ciência Rural; 41(3); 524-530","Ciência Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300027&lang=pt" 
"S0103-84782011000300012-scl","Rizóbios nativos do Rio Grande do Sul simbioticamente eficientes em Lotus glaber","Fontoura, Ricardo de Albuquerque, Frizzo, Márcio Leandro dos Santos, Sá, Enilson Luiz Saccol de, Osório Filho, Benjamin Dias, Tonon, Brenda Cristye, Binz, Andréia, Silva, Marta Coutinho da, Camargo, Flavio Anastácio de Oliveira, Selbach, Pedro Alberto","Ciência Rural; 41(3); 440-446","Ciência Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300012&lang=pt" 
"S0103-84782011000300005-scl","Optimum plot size and number of replications related to selective precision","Storck, Lindolfo, Lopes, Sidinei José, Lúcio, Alessandro Dal&#039;Col, Cargnelutti Filho, Alberto","Ciência Rural; 41(3); 390-396","Ciência Rural","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300005&lang=pt" 
"S0103-84782011000300007-scl","Correlações canônicas entre variáveis de semente, plântula, planta e produção de grãos em mamoneira","Brum, Betania, Lopes, Sidinei José, Storck, Lindolfo, Lúcio, Alessandro Dal&#039;Col, Oliveira, Paulo Henrique de, Milani, Marilia","Ciência Rural; 41(3); 404-411","Ciência Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300007&lang=pt" 
"S0103-84782011000300023-scl","Produção de leite de vacas da raça Holandesa de pequeno, médio e grande porte","Silva, Décio Adair Rebellatto da, Olivo, Clair Jorge, Campos, Ben-Hur Costa de, Tejkowski, Thiago Moreira, Meinerz, Gilmar Roberto, Saccol, Ana Gabriela de Freitas, Costa, Silvio Teixeira da","Ciência Rural; 41(3); 501-506","Ciência Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300023&lang=pt" 
"S0103-84782011000300018-scl","Microplacas de titânio em fraturas de tibiotarso em pombos domésticos","Gouvêa, Aline Silva, Alievi, Marcelo Meller, Noriega, Verônica, Dal-Bó, Ísis dos Santos, Pinto, Thadeu Mourão, Menezes, Cláudio Leonardo Montassieur de, Silva, Renato Barbosa, Silva, Luciana Machado da, Velasque, Andréa Gonçalves, Pinto, Luciana Andreatta Torelly, Coelho, Ana Júlia Andrade","Ciência Rural; 41(3); 476-482","Ciência Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300018&lang=pt" 
"S0103-84782011000300004-scl","Calli induction in leaf explants of coffee elite genotypes","Rezende, Juliana Costa de, Carvalho, Carlos Henrique Siqueira de, Pasqual, Moacir, Santos, Ana Carolina Ramia, Carvalho, Stephan Malfitano de","Ciência Rural; 41(3); 384-389","Ciência Rural","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300004&lang=pt" 
"S0103-84782011000300013-scl","Carbono e nitrogênio de um Argissolo Vermelho sob floresta, pastagem e mata nativa","Pillon, Clenio Nailto, Santos, Daiane Carvalho dos, Lima, Cláudia Liane Rodrigues de, Antunes, Lidiane Oliveira","Ciência Rural; 41(3); 447-453","Ciência Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300013&lang=pt" 
"S0103-84782011000300028-scl","Elaboração de biscoitos de chocolate com substituição parcial da farinha de trigo por polvilho azedo e farinha de albedo de laranja","Santos, Aline Alves Oliveira, Silva, Izabel Veras Cristina e, Santos, João Paulo Almeida dos, Santana, Danielle Gomes, Almeida, Meirielly Lima, Marcellini, Paulo Sergio","Ciência Rural; 41(3); 531-536","Ciência Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300028&lang=pt" 
"S0103-84782011000300026-scl","Digestibilidade in vitro de leguminosas do semiárido com inóculo cecal de avestruzes","Arruda, Alex Martins Varela de","Ciência Rural; 41(3); 519-523","Ciência Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300026&lang=pt" 
"S0103-84782011000300002-scl","Tolerance to water deficiency between two soybean cultivars: transgenic versus conventional","Catuchi, Tiago Aranda, Vítolo, Hílton Fabrício, Bertolli, Suzana Chiari, Souza, Gustavo Maia","Ciência Rural; 41(3); 373-378","Ciência Rural","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300002&lang=pt" 
"S0103-84782011000300017-scl","Influence of acepromazine on the cardiovascular actions of dobutamine in isoflurane-anesthetized horses","Monteiro, Eduardo Raposo, Souza, Juliano Ferreira Fernandes de, Baiotto, Gustavo Cancian, Figueiró, Giuliano Moraes, Rangel, Julia da Penha Piccoli, Coelho, Clarisse Simões","Ciência Rural; 41(3); 470-475","Ciência Rural","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300017&lang=pt" 
"S0103-84782011000300024-scl","Silagem de grão úmido de milho na alimentação de coelhos em crescimento","Scapinello, Claudio, Jobim, Clóves Cabreira, Faria, Haroldo Garcia de, Furlan, Antônio Claudio, Andreazzi, Márcia Aparecida, Oliveira, Andréia Fróes Galuci, Retore, Marciana","Ciência Rural; 41(3); 507-512","Ciência Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300024&lang=pt" 
"S0103-84782011000300021-scl","Isolamento de Salmonella enterica em gambás (Didelphis aurita e Didelphis albiventris) do Estado de São Paulo, Brasil","Casagrande, Renata Assis, Lopes, Luiz Fernando Larangeira, Reis, Eliane Moura dos, Rodrigues, Dália dos Prazeres, Matushima, Eliana Reiko","Ciência Rural; 41(3); 492-496","Ciência Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300021&lang=pt" 
"S0103-84782011000300009-scl","Reidratação de inflorescências de boca-de-leão após o armazenamento refrigerado e seco","Vieira, Luciana Marques, Santos, Joice Simone dos, Finger, Fernando Luiz, Barbosa, José Geraldo, Cecon, Paulo Roberto","Ciência Rural; 41(3); 418-423","Ciência Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300009&lang=pt" 
"S0103-84782011000300030-scl","Estabilidade térmica das vitaminas A e E em rações e premixes vitamínicos para camarões","Prado, João Paulo de Sousa, Cavalheiro, José Marcelino Oliveira, Silva, Fernanda Vanessa Gomes da, Queiroga Neto, Vicente, Bora, Pushkar Singh, Cavalheiro, Thiago Brandão","Ciência Rural; 41(3); 544-549","Ciência Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782011000300030&lang=pt" 
