"S0074-02762016000700450-scl","Highly active ozonides selected against drug resistant malaria","Lobo, Lis, Sousa, Bruno de, Cabral, Lília, Cristiano, Maria LS, Nogueira, Fátima","Memórias do Instituto Oswaldo Cruz; 111(7); 450-453","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016000700450&lang=pt" 
"S0034-98872016000700007-chl","Influencia de las conductas promotoras de salud de los padres en la de sus hijos adolescentes","Gaete, Jorge, Rojas-Barahona, Cristian A, Olivares, Esterbina, Chen, Mei-Yen","Revista médica de Chile; 144(7); 870-878","Revista médica de Chile","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000700007&lang=pt" 
"S0718-560X2016000300011-chl","Diversidad y origen genético de poblaciones introducidas de bagre de canal (Ictalurus punctatus Rafinesque, 1818), en el centro occidental de México","Suarez-Salgado, Diana, Herrera-Camacho, José, Lara-Rivera, Ana Laura, Parra-Bracamonte, Gaspar Manuel","Latin american journal of aquatic research; 44(3); 525-534","Latin american journal of aquatic research","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2016000300011&lang=pt" 
"S0718-560X2016000300023-chl","Supervivencia embrionaria de Galaxias maculatus (Jenyns, 1842) sometida a diferentes tratamientos profilácticos","Barile, Juan, Escudero, Manuel, Romero, Juan, Encina, Francisco","Latin american journal of aquatic research; 44(3); 643-648","Latin american journal of aquatic research","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2016000300023&lang=pt" 
"S0122-82852016000300008-col","Sobre gestión de medios: elogio a la trascendencia","Goyanes, Manuel","Palabra Clave; 19(3); 868-892","Palabra Clave","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-82852016000300008&lang=pt" 
"S0122-82852016000300004-col","Modelos de ecología de la comunicación: análisis del ecosistema comunicativo","Giraldo-Dávila, Andrés Felipe, Maya-Franco, Claudia María","Palabra Clave; 19(3); 746-768","Palabra Clave","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-82852016000300004&lang=pt" 
"S0122-82852016000300009-col","O crowdfunding como financiamento do jornalismo de investigação em Portugal","Fonseca, Ana Maria, Diz, Henrique Morais, Dos-Santos, Maria José Palma Lampreia","Palabra Clave; 19(3); 893-918","Palabra Clave","Português","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-82852016000300009&lang=pt" 
"S0122-82852016000300011-col","La participación de la audiencia en la televisión: de la audiencia activa a la social","Clares-Gavilán, Judith","Palabra Clave; 19(3); 938-941","Palabra Clave","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-82852016000300011&lang=pt" 
"S0122-82852016000300006-col","Redes sociales, acción colectiva y elecciones: los usos de Facebook por el movimiento estudiantil chileno durante la campaña electoral de 2013","Bacallao-Pino, Lázaro M.","Palabra Clave; 19(3); 810-837","Palabra Clave","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-82852016000300006&lang=pt" 
"S0122-82852016000300005-col","Hacia la comprensión del engagement de las audiencias de televisión, modelo conceptual multidimensional desde la comunicación","González-Bernal, Manuel Ignacio","Palabra Clave; 19(3); 769-809","Palabra Clave","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-82852016000300005&lang=pt" 
"S0122-82852016000300002-col","La experiencia social histórica de asistencia al cine en Monterrey (Nuevo León, México) durante las décadas de 1930 a 1960","Lozano, José Carlos, Meers, Philippe, Biltereyst, Daniel","Palabra Clave; 19(3); 691-720","Palabra Clave","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-82852016000300002&lang=pt" 
"S0100-204X2016000700880-scl","Acúmulo de forragem e valor nutritivo do híbrido de Urochloa &#039;BRS RB331 Ipyporã&#039; sob pastejo intermitente","Echeverria, Joilson Roda, Euclides, Valéria Pacheco Batista, Sbrissia, André Fischer, Montagner, Denise Baptaglin, Barbosa, Rodrigo Amorim, Nantes, Nayana Nazareth","Pesquisa Agropecuária Brasileira; 51(7); 880-889","Pesquisa Agropecuária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000700880&lang=pt" 
"S0100-204X2016000700824-scl","Qualidade pós-colheita de banana &#039;Maçã&#039; tratada com ácido giberélico avaliada por redes neurais artificiais","Aquino, César Fernandes, Salomão, Luiz Carlos Chamhum, Azevedo, Alcinei Místico","Pesquisa Agropecuária Brasileira; 51(7); 824-833","Pesquisa Agropecuária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000700824&lang=pt" 
"S0100-204X2016000700842-scl","Adubação potássica e seu efeito residual sobre a produtividade e a qualidade de tubérculos de batata","Silva, Heider Rodrigo Ferreira, Fontes, Paulo Cezar Rezende","Pesquisa Agropecuária Brasileira; 51(7); 842-848","Pesquisa Agropecuária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000700842&lang=pt" 
"S0100-204X2016000700858-scl","Vegetative growth of grasslands based on hyper-temporal NDVI data from the Modis sensor","Hott, Marcos Cicarini, Carvalho, Luis Marcelo Tavares de, Antunes, Mauro Antonio Homem, Santos, Polyanne Aguiar dos, Arantes, Tássia Borges, Resende, João Cesar de, Rocha, Wadson Sebastião Duarte da","Pesquisa Agropecuária Brasileira; 51(7); 858-868","Pesquisa Agropecuária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000700858&lang=pt" 
"S0100-204X2016000700869-scl","Temporal and spatial variation of soil respiration under mulching in a greenhouse cucumber cultivation","Mu, Lan, Fang, Lan, Liang, YinLi","Pesquisa Agropecuária Brasileira; 51(7); 869-879","Pesquisa Agropecuária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000700869&lang=pt" 
"S0100-204X2016000700890-scl","Estimation of genetic parameters for test-day milk yield in Khuzestan buffalo","Madad, Mostafa, Hossein-Zadeh, Navid Ghavi, Shadparvar, Abdol Ahad","Pesquisa Agropecuária Brasileira; 51(7); 890-897","Pesquisa Agropecuária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000700890&lang=pt" 
"S0100-204X2016000700809-scl","Número ideal de amostras para classificação comercial de cultivares de trigo no Brasil","Castro, Ricardo Lima de, Caierão, Eduardo, Silva, Márcio Só e, Scheeren, Pedro Luiz, Guarienti, Eliana Maria, Miranda, Martha Zavariz de","Pesquisa Agropecuária Brasileira; 51(7); 809-817","Pesquisa Agropecuária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000700809&lang=pt" 
"S0100-204X2016000700834-scl","Genetic parameters and agronomic evaluation of cassava genotypes","Silva, Rodrigo de Souza, Moura, Elisa Ferreira, Farias Neto, João Tomé de, Sampaio, José Edson","Pesquisa Agropecuária Brasileira; 51(7); 834-841","Pesquisa Agropecuária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000700834&lang=pt" 
"S0100-204X2016000700791-scl","Modelagem numérica para previsão de safra de arroz irrigado no Rio Grande do Sul","Silva, Michel Rocha da, Streck, Nereu Augusto, Ferraz, Simone Erotildes Teleginski, Ribas, Giovana Ghisleni, Duarte Júnior, Ary José, Nascimento, Moisés de Freitas do, Alberto, Cleber Maus, Machado, Geter Alves","Pesquisa Agropecuária Brasileira; 51(7); 791-800","Pesquisa Agropecuária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000700791&lang=pt" 
"S0100-204X2016000700818-scl","Biological nitrogen fixation in soybean under water restriction and exposed to 1-methylcyclopropene","Nascimento Junior, Vitor Camargo do, Prete, Cássio Egidio Cavenaghi, Nogueira, Marco Antonio","Pesquisa Agropecuária Brasileira; 51(7); 818-823","Pesquisa Agropecuária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000700818&lang=pt" 
"S0718-80722016000100005-chl","FUNDAMENTO Y RÉGIMEN DE LA VINCULACIÓN ENTRE EL TERCERO PERJUDICADO Y EL ASEGURADOR VOLUNTARIO DE RESPONSABILIDAD CIVIL: UNA CUESTIÓN DE DERECHO PRIVADO","Lagos Villarreal, Osvaldo","Revista chilena de derecho privado; (26); 187-228","Revista chilena de derecho privado","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-80722016000100005&lang=pt" 
"S0718-80722016000100014-chl","OBSERVACIONES AL PROYECTO DE LEY QUE REGULA LAS EMPRESAS SOCIALES","Alcalde Silva, Jaime","Revista chilena de derecho privado; (26); 355-374","Revista chilena de derecho privado","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-80722016000100014&lang=pt" 
"S0718-80722016000100011-chl","Derecho de Consumo","Momberg Uribe, Rodrigo","Revista chilena de derecho privado; (26); 319-328","Revista chilena de derecho privado","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-80722016000100011&lang=pt" 
"S0718-80722016000100015-chl","DIAGNÓSTICO Y DESARROLLO DE LA LEY N° 20.659 QUE SIMPLIFICA EL RÉGIMEN DE CONSTITUCIÓN, MODIFICACIÓN Y DISOLUCIÓN DE LAS SOCIEDADES COMERCIALES","Courbis Bascuñán, Juan Pablo","Revista chilena de derecho privado; (26); 375-399","Revista chilena de derecho privado","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-80722016000100015&lang=pt" 
"S0718-80722016000100009-chl","De los Bienes y de su dominio, posesión, uso y goce","Alcalde Silva, Jaime","Revista chilena de derecho privado; (26); 285-310","Revista chilena de derecho privado","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-80722016000100009&lang=pt" 
"S0718-80722016000100012-chl","Derecho de la Libre Competencia","Araya Jasma, Fernando","Revista chilena de derecho privado; (26); 329-338","Revista chilena de derecho privado","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-80722016000100012&lang=pt" 
"S0718-80722016000100003-chl","EL CONTRATO DE DEPÓSITO DE VALORES DE OFERTA PÚBLICA CON UNA EMPRESA DE CUSTODIA DE TALES","Guzmán Brito, Alejandro, Guerrero Becar, José Luis","Revista chilena de derecho privado; (26); 71-117","Revista chilena de derecho privado","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-80722016000100003&lang=pt" 
"S0718-80722016000100004-chl","RESPONSABILIDAD CIVIL POR VULNERACIÓN DEL DERECHO A LA IMAGEN: ANÁLISIS COMPARADO Y PROPUESTAS PARA EL DERECHO CHILENO","Larraín Páez, Cristián","Revista chilena de derecho privado; (26); 119-185","Revista chilena de derecho privado","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-80722016000100004&lang=pt" 
"S0718-80722016000100007-chl","EL LADRÓN DESVENTURADO Y LA HISTORIA DE SU MUERTE ASEGURABLE","Ferrante, Alfredo","Revista chilena de derecho privado; (26); 269-275","Revista chilena de derecho privado","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-80722016000100007&lang=pt" 
"S0718-80722016000100008-chl","Obligaciones y responsabilidad civil","Contardo González, Juan Ignacio","Revista chilena de derecho privado; (26); 279-284","Revista chilena de derecho privado","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-80722016000100008&lang=pt" 
"S0718-80722016000100010-chl","Derecho de familia, sucesorio y regímenes matrimonales","Espada Mallorquín, Susana","Revista chilena de derecho privado; (26); 311-318","Revista chilena de derecho privado","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-80722016000100010&lang=pt" 
"S0718-80722016000100006-chl","LA TRANSFERENCIA DE LA PROPIEDAD EN LA COMPRAVENTA DE BIENES MUEBLES EN EL DERECHO PRIVADO EUROPEO (DCFR Y CESL)","Fortunat Stagl, Jakob","Revista chilena de derecho privado; (26); 231-268","Revista chilena de derecho privado","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-80722016000100006&lang=pt" 
"S0718-80722016000100016-chl","ESE DOLOR DE CABEZA LLAMADO PRUEBA LEGAL TASADA: LA ANTICIPADA APLICACIÓN DEL PROYECTO DE CÓDIGO PROCESAL CIVIL, QUE LOS TRIBUNALES ORDINARIOS DE JUSTICIA SE ENCUENTRAN LLEVANDO A CABO","Padilla Parot, Ricardo","Revista chilena de derecho privado; (26); 401-410","Revista chilena de derecho privado","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-80722016000100016&lang=pt" 
"S0718-80722016000100013-chl","Derecho Mercantil","Caballero Germain, Guillermo","Revista chilena de derecho privado; (26); 339-351","Revista chilena de derecho privado","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-80722016000100013&lang=pt" 
"S0718-80722016000100017-chl","Jorge Ugarte Vial (2016). Pactos sobre transferencia de acciones","Corral Talciani, Hernán","Revista chilena de derecho privado; (26); 413-417","Revista chilena de derecho privado","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-80722016000100017&lang=pt" 
"S0718-80722016000100001-chl","INTERPRETACIÓN DE CONTRATOS: ENTRE LITERALIDAD E INTENCIÓN","Coloma Correa, Rodrigo","Revista chilena de derecho privado; (26); 9-47","Revista chilena de derecho privado","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-80722016000100001&lang=pt" 
"S0718-80722016000100002-chl","AL ESTUDIO JURÍDICO DE LOS DERIVADOS EN EL DERECHO FRANCÉS","Gaudemet, Antoine","Revista chilena de derecho privado; (26); 49-70","Revista chilena de derecho privado","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-80722016000100002&lang=pt" 
"S0100-204X2016000700849-scl","Large-scale water balance indicators for different pruning dates of tropical wine grape","Teixeira, Antônio Heriberto de Castro, Tonietto, Jorge, Leivas, Janice Freitas","Pesquisa Agropecuária Brasileira; 51(7); 849-857","Pesquisa Agropecuária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000700849&lang=pt" 
"S0100-204X2016000700801-scl","Resistência à Helicoverpa armigera em genótipos de tomateiro obtidos do cruzamento de Solanum lycopersicum com Solanum galapagense","Silva, Alex Antônio da, Andrade, Marcela Carvalho, Carvalho, Regis de Castro, Neiva, Irã Pinheiro, Santos, Daniela Costa, Maluf, Wilson Roberto","Pesquisa Agropecuária Brasileira; 51(7); 801-808","Pesquisa Agropecuária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000700801&lang=pt" 
"S0120-33472016000300003-col","Randomized cross-over clinical trial comparing two pharmacokinetic models of propofol using entropy indices","Mosquera-Dussán, Oscar Leonardo, Cárdenas, Andrés, Botero-Rosas, Daniel Alfonso, Yepes, Andrés, Oliveros, Henry, Henao, Rubén, Ríos, Fernando","Revista Colombiana de Anestesiología; 44(3); 193-200","Revista Colombiana de Anestesiología","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-33472016000300003&lang=pt" 
"S1414-40772016000200415-scl","Avaliação da política de cotas da UEPG: desvelando o direito à igualdade e à diferença","Souza, Andreliza Cristina de, Brandalise, Mary Ângela Teixeira","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 21(2); 415-438","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772016000200415&lang=pt" 
"S1562-82642016000100004-sza","Physiotherapy practice in South African intensive care units","Lottering, M, van Aswegen, H","Southern African Journal of Critical Care (Online); 32(1); 11-16","Southern African Journal of Critical Care (Online)","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1562-82642016000100004&lang=pt" 
"S0120-33472016000300012-col","Epidural anesthesia for posterior spinal fusion and lumbar surgery in a patient with glanzmann&#039;s thrombasthenia - Case report and systematic review","Cabarique-Serrano, Sergio Hernando, González-Cárdenas, Víctor Hugo, Dussán-Crosby, Jean Pierre, Páez-González, Rodolfo Enrique, Ramírez, María Alejandra","Revista Colombiana de Anestesiología; 44(3); 149-254","Revista Colombiana de Anestesiología","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-33472016000300012&lang=pt" 
"S0120-33472016000300009-col","Impact of hypothermia during craniosynostosis repair surgery","González-Cárdenas, Víctor Hugo, Vanegas-Martínez, María Victoria, Rojas-Rueda, María Elvira, Burbano-Paredes, Claudia Cecilia, Pulido-Barbosa, Nadya Tatiana","Revista Colombiana de Anestesiología; 44(3); 235-241","Revista Colombiana de Anestesiología","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-33472016000300009&lang=pt" 
"S0120-33472016000300002-col","The history of intensive care in Colombia","Matiz Camacho, Hernando","Revista Colombiana de Anestesiología; 44(3); 190-192","Revista Colombiana de Anestesiología","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-33472016000300002&lang=pt" 
"S0120-33472016000300015-col","Questions and Answers","Raffán-Sanabria, Fernando","Revista Colombiana de Anestesiología; 44(3); 263-264","Revista Colombiana de Anestesiología","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-33472016000300015&lang=pt" 
"S1562-82642016000100001-sza","Abstracts of scientific presentations at the 2016 Annual National Conference of the Critical Care Society of Southern Africa","","Southern African Journal of Critical Care (Online); 32(1); 35-39","Southern African Journal of Critical Care (Online)","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1562-82642016000100001&lang=pt" 
"S1414-40772016000200313-scl","EDITORIAL","Sobrinho, José Dias","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 21(2); 313-316","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772016000200313&lang=pt" 
"S0120-33472016000300006-col","Transcultural and linguistic adaptation of the Richmond Agitation-Sedation Scale to Spanish","Rojas-Gambasica, José Antonio, Valencia-Moreno, Albert, Nieto-Estrada, Víctor Hugo, Méndez-Osorio, Pablo, Molano-Franco, Daniel, Jiménez-Quimbaya, Álvaro Tito, Escobar-Modesto, Raúl, Cortés-Rodríguez, Nayibe, Correa, Liliana Paola","Revista Colombiana de Anestesiología; 44(3); 216-221","Revista Colombiana de Anestesiología","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-33472016000300006&lang=pt" 
"S0120-33472016000300013-col","Anesthesia for bariatric surgery in a patient with Prader-Willi syndrome: Case report","Rada-Ortega, Camilo, Gómez-Ramírez, Carlos Fernando","Revista Colombiana de Anestesiología; 44(3); 256-259","Revista Colombiana de Anestesiología","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-33472016000300013&lang=pt" 
"S1414-40772016000200541-scl","Evasão e retenção no curso de Biblioteconomia da UFRGS","Vanz, Samile Andrea de Souza, Pereira, Patrícia Mallmann Souto, Ferreira, Glória Isabel Sattamini, Machado, Geraldo Ribas","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 21(2); 541-568","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772016000200541&lang=pt" 
"S0120-33472016000300005-col","Postoperative residual paralysis in patients aged over 65 years old at the Post-Anesthesia Care Unit","González-Cárdenas, Víctor Hugo, Salazar-Ramírez, Kelly Johana, Coral-Sánchez, Gina Tatiana","Revista Colombiana de Anestesiología; 44(3); 209-215","Revista Colombiana de Anestesiología","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-33472016000300005&lang=pt" 
"S0120-33472016000300011-col","Successful systemic thrombolysis in a patient with massive pulmonary thromboembolism after prolonged cardio pulmonary and cerebral resuscitation. Case report","Chicangana, Gustavo, Zapata, Lorena, Gómez, Juan Camilo, Zuluaga, Juan Pablo","Revista Colombiana de Anestesiología; 44(3); 245-248","Revista Colombiana de Anestesiología","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-33472016000300011&lang=pt" 
"S1414-40772016000200387-scl","Análise do conteúdo das provas da área de Ciências Contábeis: edições do Provão 2002/2003 e do ENADE de 2006","Santos, Nálbia de Araújo, Afonso, Luís Eduardo","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 21(2); 387-414","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772016000200387&lang=pt" 
"S1562-82642016000100007-sza","Incidence and risk factors for thrombocytopenia in the intensive care units of a tertiary hospital in northern India","Mehta, C, George, J V, Mehta, Y, Ali, M T, Singh, M K","Southern African Journal of Critical Care (Online); 32(1); 28-31","Southern African Journal of Critical Care (Online)","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1562-82642016000100007&lang=pt" 
"S0120-33472016000300010-col","Comments on &quot;effective dose 50% (ED50) and effective dose 95% (ED95) of intrathecal bupivacaine in morbidly obese patients undergoing cesarean delivery&quot;","Bastidas, Javier, Kattan, Eduardo","Revista Colombiana de Anestesiología; 44(3); 242-244","Revista Colombiana de Anestesiología","Inglês","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-33472016000300010&lang=pt" 
"S1562-82642016000100002-sza","Physiotherapy in the intensive care unit","Hanekom, S","Southern African Journal of Critical Care (Online); 32(1); 3-4","Southern African Journal of Critical Care (Online)","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1562-82642016000100002&lang=pt" 
"S1414-40772016000200361-scl","Estilos de aprendizagem: um estudo comparativo","Schmitt, Camila da Silva, Domingues, Maria José Carvalho de Souza","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 21(2); 361-386","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772016000200361&lang=pt" 
"S1414-40772016000200455-scl","Diagnóstico da qualidade em uma IES: a percepção da comunidade acadêmica","Marinho, Sidnei Vieira, Poffo, Gabriella Depiné","Avaliação: Revista da Avaliação da Educação Superior (Campinas); 21(2); 455-478","Avaliação: Revista da Avaliação da Educação Superior (Campinas)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772016000200455&lang=pt" 
"S0718-22362016000100007-chl","Trayectorias habitacionales de las y los jóvenes: Construir un hogar propio en el área metropolitana de Buenos Aires entre 1999 y 2013","Arancibia, Milena","Ultima década; 24(44); 171-193","Ultima década","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22362016000100007&lang=pt" 
"S0718-22362016000100001-chl","Presentación","Aguilera Ruiz, Oscar","Ultima década; 24(44); 7-8","Ultima década","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22362016000100001&lang=pt" 
"S1794-38412016000200005-col","Latinoamérica, entre la utopía de salvación y la utopía del progreso","Pinto Mantilla, José Alberto","Hallazgos; 13(26); 93-115","Hallazgos","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-38412016000200005&lang=pt" 
"S1657-47022016000200006-col","DOPING GENÉTICO E EUGENIA: DIÁLOGOS ALÉM DO ESPORTE","Vieira Bomtempo, Tiago","Revista Latinoamericana de Bioética; 16(2); 82-101","Revista Latinoamericana de Bioética","Português","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-47022016000200006&lang=pt" 
"S1657-47022016000200001-col","Bioética: ¿crisis de la bioética o bioética de la crisis?","CUEVAS SILVA, JUAN MARÍA, MENDIETA IZQUIERDO, GIOVANE","Revista Latinoamericana de Bioética; 16(2); 5-15","Revista Latinoamericana de Bioética","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-47022016000200001&lang=pt" 
"S1794-38412016000200001-col","Editorial","Hurtado Tarazona, Alejandra","Hallazgos; 13(26); 11-12","Hallazgos","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-38412016000200001&lang=pt" 
"S1657-47022016000200007-col","¿POR QUÉ HABLAR DE BIOÉTICA EN LA ATENCIÓN PRIMARIA EN SALUD?","Pérez Ayala, Manuel","Revista Latinoamericana de Bioética; 16(2); 102-117","Revista Latinoamericana de Bioética","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-47022016000200007&lang=pt" 
"S1657-47022016000200003-col","DIÁLOGO BIOÉTICA-DERECHOS HUMANOS Y ÉTICA CIVIL EN EL EJERCICIO DE LA CIUDADANÍA: CASO COMUNIDAD LGTB","Joya Ramírez, Nohora","Revista Latinoamericana de Bioética; 16(2); 40-57","Revista Latinoamericana de Bioética","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-47022016000200003&lang=pt" 
"S1657-47022016000200005-col","PASIVIDAD ÉTICA ENTRE EFICIENCIA MÁXIMA Y MÍNIMA","Losada Sierra, Manuel, Barrios Tao, Hernando","Revista Latinoamericana de Bioética; 16(2); 70-81","Revista Latinoamericana de Bioética","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-47022016000200005&lang=pt" 
"S1794-38412016000200003-col","Exclusiones del canon: Reflexiones sobre un caso argentino: el folletín de El Orden de Tucumán (1883-1900)","Risco, Ana María","Hallazgos; 13(26); 41-61","Hallazgos","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-38412016000200003&lang=pt" 
"S1657-47022016000200011-col","LA INVESTIGACIÓN INTERNACIONAL DE NUEVOS MEDICAMENTOS: UNA VALORACIÓN DESDE LA JUSTICIA GLOBAL","Páez Moreno, Ricardo","Revista Latinoamericana de Bioética; 16(2); 188-213","Revista Latinoamericana de Bioética","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-47022016000200011&lang=pt" 
"S1657-47022016000200008-col","DISCAPACIDAD Y TECNOSOCIEDAD","Rozo Reyes, Claudia Marcela","Revista Latinoamericana de Bioética; 16(2); 118-139","Revista Latinoamericana de Bioética","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-47022016000200008&lang=pt" 
"S1794-38412016000200009-col","El turismo comunitario como iniciativa de desarrollo local: Caso localidades de Ciudad Bolívar y Usme zona rural de Bogotá","Burgos Doria, Rosalía","Hallazgos; 13(26); 193-214","Hallazgos","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-38412016000200009&lang=pt" 
"S1130-01082016000700010-esp","A rare presentation of gallstones: Bouveret&#039;s syndrome, a case report","Gallego-Otaegui, Lander, Sainz-Lete, Aitor, Gutiérrez-Ríos, Rodrigo, Alkorta-Zuloaga, Maialen, Arteaga-Martín, Xabier, Jiménez-Agüero, Raúl, Medrano-Gómez, Miguel Ángel, Ruiz-Montesinos, Inmaculada, Beguiristain-Gómez, Adolfo","Revista Española de Enfermedades Digestivas; 108(7); 434-436","Revista Española de Enfermedades Digestivas","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082016000700010&lang=pt" 
