"S1130-01082010000800016-esp","On time to veto the use of the word &quot;appendagitis&quot;?","Morera Ocón, F. J.","Revista Española de Enfermedades Digestivas; 102(8); 513-513","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000800016&lang=pt" 
"S0716-10182010000500010-chl","Gangrena de Fournier en asociación con el uso de anti-inflamatorios no esteroideos: Reporte de un caso pediátrico","Garcés S, Carlos, Gómez L. de M, Carolina, Florez G, Iván D, Muñoz Z, Juan D","Revista chilena de infectología; 27(4); 341-344","Revista chilena de infectología","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182010000500010&lang=pt" 
"S0716-10182010000500011-chl","Infección por Cryptosporidium parvum en una mujer embarazada, inmunocompetente, con riesgo ocupacional","Neira O, Patricia, Muñoz S, Nelson, Rosales L, M. José","Revista chilena de infectología; 27(4); 345-349","Revista chilena de infectología","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182010000500011&lang=pt" 
"S0716-10182010000500012-chl","De cómo hablar en reuniones médicas","Cuervo Maldonado, Sonia Isabel","Revista chilena de infectología; 27(4); 350-350","Revista chilena de infectología","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182010000500012&lang=pt" 
"S0716-10182010000500013-chl","Contribución a la historia de la coqueluche en Chile: Siglo XIX","Laval R, Enrique","Revista chilena de infectología; 27(4); 351-355","Revista chilena de infectología","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182010000500013&lang=pt" 
"S0716-10182010000500014-chl","Contaminación ambiental por Clostridium difficile","Riedel M, Gisela","Revista chilena de infectología; 27(4); 356-357","Revista chilena de infectología","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182010000500014&lang=pt" 
"S0716-10182010000500015-chl","Dexametasona o glicerol no reducen el deterioro auditivo en meningitis bacteriana en niños","Coria De La H, Paulina","Revista chilena de infectología; 27(4); 357-358","Revista chilena de infectología","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182010000500015&lang=pt" 
"S0716-10182010000500016-chl","Fe de erratas","","Revista chilena de infectología; 27(4); 358-358","Revista chilena de infectología","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182010000500016&lang=pt" 
"S0716-10182010000500017-chl","Síndrome de Inmunodeficiencia Adquirida VIH/SIDA","","Revista chilena de infectología; 27(4); 359-373","Revista chilena de infectología","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-10182010000500017&lang=pt" 
"S0370-41062010000400001-chl","Construir Políticas Infantiles desde la Ciencia y la Mística","JIMÉNEZ DE LA J, JORGE","Revista chilena de pediatría; 81(4); 295-299","Revista chilena de pediatría","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062010000400001&lang=pt" 
"S0370-41062010000400002-chl","A Propósito de la Casa Nacional del Niño","CALVO MACKENNA, LUIS","Revista chilena de pediatría; 81(4); 300-303","Revista chilena de pediatría","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062010000400002&lang=pt" 
"S0370-41062010000400003-chl","Profilaxia del Abandono: Cien Años de Protección de la Infancia en Chile","SCHONHAUT B, LUISA","Revista chilena de pediatría; 81(4); 304-312","Revista chilena de pediatría","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062010000400003&lang=pt" 
"S0370-41062010000400004-chl","Álbum Bicentenario","","Revista chilena de pediatría; 81(4); 313-318","Revista chilena de pediatría","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062010000400004&lang=pt" 
"S0370-41062010000400005-chl","Microesferocitosis en Pediatría","VALERO J, MIGUEL, VERDUGO L, PATRICIA, TORDECILLA C, JUAN, RODRÍGUEZ Z, NATALIE","Revista chilena de pediatría; 81(4); 319-325","Revista chilena de pediatría","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062010000400005&lang=pt" 
"S0370-41062010000400006-chl","Introducción Precoz de Sustitutos de Lactancia Materna e Incidencia de Lactancia Materna Exclusiva al Mes de Vida","CARDOSO K, INGRID, TOSO M, PAULINA, VALDÉS L, VERÓNICA, CERDA L, JAIME, MANRÍQUEZ T, VALENTINA, PAIVA C, GONZALO","Revista chilena de pediatría; 81(4); 326-332","Revista chilena de pediatría","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062010000400006&lang=pt" 
"S0370-41062010000400007-chl","Uretrocistografía en Niños: Percepción de los Padres","MOËNNE B, KARLA, SAIEH A, CARLOS, ORTEGA F, XIMENA, ESCAFFI J, JUAN ANTONIO, PÉREZ S, CAROLINA","Revista chilena de pediatría; 81(4); 333-338","Revista chilena de pediatría","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062010000400007&lang=pt" 
"S0370-41062010000400008-chl","Atresia Esofágica y Fístula Traqueoesofágica: Evolución y Complicaciones Postquirúrgicas","JAKUBSON S, LETICIA, PAZ C, FERNANDO, ZAVALA B, ALEJANDRO, HARRIS D, PAUL R, BERTRAND N, PABLO","Revista chilena de pediatría; 81(4); 339-346","Revista chilena de pediatría","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062010000400008&lang=pt" 
"S0370-41062010000400009-chl","Hipercalcemia Tumoral: A Propósito de Tres Casos","KOPP G, KATHERINE, BRACHO M, FERNANDO, CONCHA V, EMMA, VALLEJOS C, NIMIA, NICKLAS D, CAROLINA, VILLARROEL C, MILENA","Revista chilena de pediatría; 81(4); 347-352","Revista chilena de pediatría","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062010000400009&lang=pt" 
"S0370-41062010000400010-chl","D-lactoacidosis como Complicación del Síndrome de Intestino Corto","ARANCIBIA A, GABRIEL, HODGSON B, MARÍA ISABEL, HARRIS D, PAUL R","Revista chilena de pediatría; 81(4); 353-357","Revista chilena de pediatría","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062010000400010&lang=pt" 
"S0370-41062010000400011-chl","Caso Clínico-Radiológico","MAGGIOLO M, JULIO, ZÚÑIGA O, JUAN, RUBILAR O, LILIAN","Revista chilena de pediatría; 81(4); 359-363","Revista chilena de pediatría","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062010000400011&lang=pt" 
"S0370-41062010000400012-chl","Percepción de la Calidad de Atención y Accesibilidad de los Consultorios Pediátricos Públicos en Asunción y Gran Asunción","MESQUITA, M, PAVLICICH, V, BENITEZ, S","Revista chilena de pediatría; 81(4); 364-365","Revista chilena de pediatría","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062010000400012&lang=pt" 
"S0370-41062010000400013-chl","Restricción de Crecimiento Intrauterino: Causas, Características Clínicas, y Evaluación de Factores Asociados a Policitemia Sintomática","GODOY TORALES, GLADYS M, ZACUR DE JIMÉNEZ, MABEL","Revista chilena de pediatría; 81(4); 366-367","Revista chilena de pediatría","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062010000400013&lang=pt" 
"S0370-41062010000400014-chl","Investigación pediátrica en Latinoamérica","Otero, Paula, Cuestas, Eduardo, Ferrero, Fernando","Revista chilena de pediatría; 81(4); 368-368","Revista chilena de pediatría","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062010000400014&lang=pt" 
"S0370-41062010000400015-chl","Doctor Humberto Del Pozo","Beresi Reyes, Victoria","Revista chilena de pediatría; 81(4); 369-369","Revista chilena de pediatría","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0370-41062010000400015&lang=pt" 
"S0718-48162010000200001-chl","Nuestra Revista: Su importancia y proyecciones","Jofré Pavez, David","Revista de otorrinolaringología y cirugía de cabeza y cuello; 70(2); 97-98","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162010000200001&lang=pt" 
"S0718-48162010000200002-chl","TNFα modifica la respuesta de la frecuencia de batido ciliar a la carga viscosa, asociado a alteraciones en el calcio intracelular en células ciliadas respiratorias humanas","González G, Claudia, Sánchez D, Trinidad, Pérez S, Alejandra, Fonseca A, Ximena, Villalón B, Manuel","Revista de otorrinolaringología y cirugía de cabeza y cuello; 70(2); 99-108","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162010000200002&lang=pt" 
"S0718-48162010000200003-chl","Colonización nasal bacteriana en población sana de la ciudad de Santiago de Chile: ¿Existe portación de Staphylococcus aureus meticilino resistente comunitario?","Platzer M, Liesbeth, Aranís J, Carolina, Beltrán M, Constanza, Fonseca A, Ximena, García C, Patricia","Revista de otorrinolaringología y cirugía de cabeza y cuello; 70(2); 109-116","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162010000200003&lang=pt" 
"S0718-48162010000200004-chl","Otitis media con efusión en pacientes con fisura palatina: Comparación de estrategias terapéuticas","Royer F, Michel, Dorador G, Ornella, Palomares A, Mirta, Zelada B, Úrsula, Álvarez C, Drina, Villena B, Carolina","Revista de otorrinolaringología y cirugía de cabeza y cuello; 70(2); 117-122","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162010000200004&lang=pt" 
"S0718-48162010000200005-chl","Dolor en amigdalectomía: Técnica fría versus electrobisturí monopolar. Estudio prospectivo randomizado","Cornejo S, Santiago, Beltrán M, Constanza, Breinbauer K, Hayo, Fonseca A, Ximena, Serra T, Ramón","Revista de otorrinolaringología y cirugía de cabeza y cuello; 70(2); 123-128","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162010000200005&lang=pt" 
"S0718-48162010000200006-chl","Cáncer laríngeo de histología inhabitual","Landaida C, Alberto, Torrente A, Mariela","Revista de otorrinolaringología y cirugía de cabeza y cuello; 70(2); 129-132","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162010000200006&lang=pt" 
"S0718-48162010000200007-chl","Función tiroidea postratamiento de cáncer escamoso de orofaringe, hipofaringe y laringe","Ruz G, Samanta, Breinbauer K, Hayo, Torrente A, Mariela","Revista de otorrinolaringología y cirugía de cabeza y cuello; 70(2); 133-138","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162010000200007&lang=pt" 
"S0718-48162010000200008-chl","Manejo del paciente con fisura labio-palatina en Arica: Experiencia de 15 años","Godoy R, Emilio, Godoy S, Alejandro, Godoy S, Fernando, Monasterio A, Luis, Suazo A, Geldy","Revista de otorrinolaringología y cirugía de cabeza y cuello; 70(2); 139-146","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162010000200008&lang=pt" 
"S0718-48162010000200009-chl","Traqueobroncopatía osteocondroplástica: Reporte de un caso y revisión de la literatura","Celedón L, Carlos, de Grazia K, José","Revista de otorrinolaringología y cirugía de cabeza y cuello; 70(2); 147-152","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162010000200009&lang=pt" 
"S0718-48162010000200010-chl","Metástasis de adenocarcinoma de recto al conducto auditivo externo: Presentación de un caso y revisión de la literatura","Elguezabal R, Analía, Raventós E, Antoni, Landeyro S, Julieta, Gené H, Míriam, Sirvent C, Joan J","Revista de otorrinolaringología y cirugía de cabeza y cuello; 70(2); 153-158","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162010000200010&lang=pt" 
"S0718-48162010000200011-chl","Tumores que comprometen la rinofaringe, nuestra experiencia","Arias A, Roberto, Bogado C, Mariana, Sariego R, Homero","Revista de otorrinolaringología y cirugía de cabeza y cuello; 70(2); 159-164","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162010000200011&lang=pt" 
"S0718-48162010000200012-chl","Indicaciones no tradicionales de amigdalectomía","Aedo B, Cristián, Muñoz S, Daniel","Revista de otorrinolaringología y cirugía de cabeza y cuello; 70(2); 165-174","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162010000200012&lang=pt" 
"S0718-48162010000200013-chl","","","Revista de otorrinolaringología y cirugía de cabeza y cuello; 70(2); 175-180","Revista de otorrinolaringología y cirugía de cabeza y cuello","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48162010000200013&lang=pt" 
"S0034-98872010000800001-chl","Valor predictivo de la historia clínica y oximetría nocturna en la pesquisa de pacientes con apneas obstructivas del sueño","SALDÍAS P, FERNANDO, JORQUERA A, JORGE, DÍAZ P, ORLANDO","Revista médica de Chile; 138(8); 941-950","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800001&lang=pt" 
"S0034-98872010000800002-chl","Gastritis varioliforme y daño hepático crónico: Una inesperada asociación","ROBLERO, JUAN PABLO, ITURRIAGA, HERNÁN, ESTELA, RICARDO","Revista médica de Chile; 138(8); 951-956","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800002&lang=pt" 
"S0034-98872010000800003-chl","Marcadores de inflamación sistémica en pacientes ex fumadores con enfermedad pulmonar obstructiva crónica en etapa estable","MORALES S, ARTURO, DREYSE D, JORGE, DÍAZ P, ORLANDO, SALDÍAS P, FERNANDO, CARRASCO, MARCELA, LISBOA B, CARMEN","Revista médica de Chile; 138(8); 957-964","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800003&lang=pt" 
"S0034-98872010000800004-chl","Epidemiología de trastornos mentales infanto juveniles en la Provincia de Cautín","VICENTE, BENJAMÍN, SALDIVIA, SANDRA, RIOSECO, PEDRO, DE LA BARRA, FLORA, VALDIVIA, MARIO, MELIPILLAN, ROBERTO, ZÚÑIGA, MARIO, ESCOBAR, BERTHA, PIHAN, ROLANDO","Revista médica de Chile; 138(8); 965-973","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800004&lang=pt" 
"S0034-98872010000800005-chl","Efectos de una intervención integral en la reducción de factores de riesgo cardiovascular en mujeres con sobrepeso u obesidad de la Región de Los Ríos","FUENTES L, LEONORA, MUÑOZ, ARIEL A","Revista médica de Chile; 138(8); 974-981","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800005&lang=pt" 
"S0034-98872010000800006-chl","Disección aórtica tipo A: Resultados operatorios y seguimiento a mediano plazo","SELMAN A, RAFAEL, KURSBAUM E, ANDRÉS, UBILLA S, MATÍAS, TURNER G, EDUARDO, ESPINOZA S, CHRISTIAN, ESPINOZA H, JUAN, GONZÁLEZ F, RODRIGO, VILLAVICENCIO T, MAURICIO, VALLADARES J, ELIZABETH, NARANJO T, LORENZO, OPPLIGER P, ERHARD","Revista médica de Chile; 138(8); 982-987","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800006&lang=pt" 
"S0034-98872010000800007-chl","Estereotipos negativos de la vejez en personal de salud de un Hospital de la Ciudad de Querétaro, México","FRANCO S, MIREYA, VILLARREAL R, ENRIQUE, VARGAS D, EMMA R, MARTÍNEZ G, LIDIA, GALICIA R, LILIANA","Revista médica de Chile; 138(8); 988-993","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800007&lang=pt" 
"S0034-98872010000800008-chl","Estimación del impacto de la infección por Hepatitis A en zonas urbanas de Colombia 2008: Un análisis a partir de datos secundarios","ALVIS, NELSON, PÉREZ, BIBIANA, NARVAEZ, JAVIER, VELANDIA, MARTHA, DE LA HOZ, FERNANDO","Revista médica de Chile; 138(8); 994-999","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800008&lang=pt" 
"S0034-98872010000800009-chl","Reversible cerebral vasoconstriction syndrome","SAMPAIO ROCHA FILHO, PEDRO AUGUSTO, SANTOS BARBOSA, JANAYNA, MELO CORREA-LIMA, ANA ROSA","Revista médica de Chile; 138(8); 1000-1003","Revista médica de Chile","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800009&lang=pt" 
"S0034-98872010000800010-chl","Extensa metaplasia ósea endometrial y exitoso embarazo espontáneo post tratamiento","MANZUR Y, ALEJANDRO, VARELA C, SERGIO","Revista médica de Chile; 138(8); 1004-1007","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800010&lang=pt" 
"S0034-98872010000800011-chl","Longterm remission of left posterior fascicular ventricular tachycardia due to mechanical trauma","PARIZEK, PETR, POPELKA, JIRI, HAMAN, LUDEK","Revista médica de Chile; 138(8); 1008-1011","Revista médica de Chile","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800011&lang=pt" 
"S0034-98872010000800012-chl","El síndrome metabólico: De factor agravante a principal factor de riesgo patogénico en diversas enfermedades crónicas","VON BERNHARDI, ROMMY, ZANLUNGO, SILVANA, ARRESE, MARCO, ARTEAGA, ANTONIO, RIGOTTI, ATTILIO","Revista médica de Chile; 138(8); 1012-1019","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800012&lang=pt" 
"S0034-98872010000800013-chl","La microbiota intestinal: Un nuevo actor en el desarrollo de la obesidad","MORALES, PAMELA, BRIGNARDELLO, JERUSA, GOTTELAND, MARTÍN","Revista médica de Chile; 138(8); 1020-1027","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800013&lang=pt" 
"S0034-98872010000800014-chl","Metabolismo energético del corazón y sus proyecciones en el tratamiento de la insuficiencia cardíaca","CASTRO, PABLO, GABRIELLI, LUIGI, VERDEJO, HUGO, GREIG, DOUGLAS, MELLADO, ROSEMARIE, CONCEPCIÓN, ROBERTO, SEPÚLVEDA, LUIS, VUKASOVIC, JOSÉ LUIS, GARCÍA, LORENA, PIZARRO, MARCELA, PIVET, DEISY, CARRILLO, CONSTANZA, TAPIA, FABIOLA, NAVARRO, MARIO, TRONCOSO, RODRIGO, BARAONA, FERNANDO, LLEVANERAS, SILVANA, HERNÁNDEZ, CLAUDIA, GODOY, IVÁN, JALIL, JORGE E, QUINTANA, JUAN CARLOS, ORELLANA, PILAR, CHIONG, MARIO, LAVANDERO, SERGIO","Revista médica de Chile; 138(8); 1028-1039","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800014&lang=pt" 
"S0034-98872010000800015-chl","El plan AUGE: 2005 al 2009","VALDIVIESO D, VICENTE, MONTERO L, JOAQUÍN","Revista médica de Chile; 138(8); 1040-1046","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800015&lang=pt" 
"S0034-98872010000800016-chl","La comunicación médico paciente: ¿Cuáles son las habilidades efectivas?","MOORE, PHILIPPA, GÓMEZ, GRICELDA, KURTZ, SUZANNE, VARGAS, ALEX","Revista médica de Chile; 138(8); 1047-1054","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800016&lang=pt" 
"S0034-98872010000800017-chl","Descripción de los Procesos de Evaluación en la Escuela de Medicina de la Pontificia Universidad Católica de Chile: Experiencia de 10 años","SÁNCHEZ D, IGNACIO, RIQUELME P, ARNOLDO, MORENO B, RODRIGO, SALAS I, SOFÍA, PERTUZÉ R, JULIO, GARCÍA C, PATRICIA","Revista médica de Chile; 138(8); 1055-1061","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800017&lang=pt" 
"S0034-98872010000800018-chl","Agencia Acreditadora en Ciencias de la Salud","","Revista médica de Chile; 138(8); 1062-1062","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800018&lang=pt" 
"S0034-98872010000800019-chl","Utilidad de un cuestionario breve dirigido al informante para el diagnóstico temprano de casos de demencia: La versión Chilena del AD8 (AD8-Ch)","Muñoz, Carlos, Núñez, Javier, Flores, Patricia, Behrens P, María Isabel, Slachevsky, Andrea","Revista médica de Chile; 138(8); 1063-1065","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800019&lang=pt" 
"S0034-98872010000800020-chl","¿Fue Fray Camilo Henríquez también médico?","Zalaquett S, Ricardo","Revista médica de Chile; 138(8); 1066-1066","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800020&lang=pt" 
"S0034-98872010000800021-chl","Trastorno Alimentario del Sueño inducido por el hipnótico Zolpidem","Miranda, Marcelo, Seijas, Daniel, Castillo, José Luis, Pérez J, Carolina","Revista médica de Chile; 138(8); 1067-1069","Revista médica de Chile","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872010000800021&lang=pt" 
"S0101-32622010000200002-scl","Derechos humanos y género","Philipp, Rita Radl","Cadernos CEDES; 30(81); 135-155","Cadernos CEDES","Espanhol","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622010000200002&lang=pt" 
"S0101-32622010000200003-scl","Ressocialização: o desafio da educação no sistema prisional feminino","Cunha, Elizangela Lelis da","Cadernos CEDES; 30(81); 157-178","Cadernos CEDES","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622010000200003&lang=pt" 
"S0101-32622010000200005-scl","A convivência familiar e comunitária é direito da criança e do adolescente e uma realidade a ser repensada pela escola","Nery, Maria Aparecida","Cadernos CEDES; 30(81); 189-207","Cadernos CEDES","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622010000200005&lang=pt" 
"S0101-32622010000200008-scl","Educação e direitos humanos: desafios para a escola contemporânea","Fernandes, Angela Viana Machado, Paludeto, Melina Casari","Cadernos CEDES; 30(81); 233-249","Cadernos CEDES","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622010000200008&lang=pt" 
"S1135-57272010000400007-esp","Factores predictivos de cumplimiento del tratamiento de la hepatitis C crónica en personas drogodependientes de cuatro prisiones de Barcelona","Marco Mouriño, Andrés, Silva Morán, Antonio da, Ortiz Seuma, Jordi, Solé Carbó, Concepció, Roget Alemany, Mercè, Sarriera Gracia, Carmen, Teixidó Pérez, Núria, Robres Guillén, Pilar, Guerrero Moreno, Rafael Alonso","Revista Española de Salud Pública; 84(4); 423-431","Revista Española de Salud Pública","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272010000400007&lang=pt" 
"S1135-57272010000400003-esp","La continuidad asistencial entre niveles percibida por usuarios del Sistema de Salud en Cataluña","Aller Hernández, Marta Beatriz, Vargas Lorenzo, Ingrid, Sánchez Pérez, Inma, Henao Martínez, Diana, Coderch de Lassaletta, Jordi, Llopart López, Josep Ramon, Ferran Mercadé, Manel, Colomés Figuera, Lluís, Vázquez Navarrete, Mª Luisa","Revista Española de Salud Pública; 84(4); 371-387","Revista Española de Salud Pública","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272010000400003&lang=pt" 
"S1413-294X2010000200001-scl","As vivências maternas diante do abuso sexual intrafamiliar","Lima, Joana Azevêdo, Alberto, Maria de Fatima Pereira","Estudos de Psicologia (Natal); 15(2); 129-136","Estudos de Psicologia (Natal)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-294X2010000200001&lang=pt" 
"S1413-294X2010000200006-scl","Depressão e relação com idade em cuidadores de familiares portadores de síndrome demencial","Pawlowski, Josiane, Gonçalves, Tonantzin Ribeiro, Hilgert, Juliana Balbinot, Hugo, Fernando Neves, Bozzetti, Mary Clarisse, Bandeira, Denise Ruschel","Estudos de Psicologia (Natal); 15(2); 174-180","Estudos de Psicologia (Natal)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-294X2010000200006&lang=pt" 
"S1518-76322010000200007-scl","Narrative and figurative self-construction in meaningful stories","Kupferberg, Irit","Linguagem em (Dis)curso; 10(2); 369-390","Linguagem em (Dis)curso","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322010000200007&lang=pt" 
"S1010-27522010000200002-cub","EVALUACIÓN DE LOS PARÁMETROS ANALÍTICOS PARA LA DETECCIÓN MOLECULAR DE POTYVIRUS QUE AFECTAN AL CULTIVO DEL PIMIENTO EN CUBA","Díaz, Acela, Quiñones, Madelaine, Hernández, Annia, del Barrio, Gloria","Revista de Protección Vegetal; 25(2); 80-87","Revista de Protección Vegetal","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522010000200002&lang=pt" 
"S1010-27522010000200003-cub","DIVERSIDAD GENÉTICA DE ESPECIES SILVESTRES DEL GÉNERO Nicotiana I: CARACTERIZACIÓN MEDIANTE MARCADORES BIOQUÍMICOS","Valdés de la Cruz, Marlyn, González, Clara, Lara, Regla M, Román, María Isabel, Hernández, Yuniet, Hernández, Reina Margarita, Cabrera, Mileidy, Torrecilla, G","Revista de Protección Vegetal; 25(2); 88-97","Revista de Protección Vegetal","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522010000200003&lang=pt" 
"S1010-27522010000200004-cub","COMPORTAMIENTO DE POBLACIONES DE TRIPS SOBRE TRES ESPECIES DE ALIÁCEAS EN DOS SISTEMAS DE CULTIVOS EN LA PROVINCIA LA HABANA","González, Carlos, Suris, Moraima","Revista de Protección Vegetal; 25(2); 98-102","Revista de Protección Vegetal","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522010000200004&lang=pt" 
"S1010-27522010000200006-cub","EVALUACIÓN DE SUSTRATOS SÓLIDOS PARA LA PRODUCCIÓNMASIVA DE Nomuraea rileyi (FARLOW) SAMSON","Méndez, A, del Pozo, E, García, Irma, González, A","Revista de Protección Vegetal; 25(2); 108-112","Revista de Protección Vegetal","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522010000200006&lang=pt" 
